actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
94,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,out,[],203897,,,1610612743,18,26,2025-11-12T04:31:31Z,900000,False,,,0,,SUB out: Z. LaVine,[203897],1610612758.0,SAC,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,
95,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612743,18,26,2025-11-12T04:31:31Z,910000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,
96,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,out,[],1629661,,,1610612743,18,26,2025-11-12T04:31:31Z,920000,False,,,0,,SUB out: C. Johnson,[1629661],1610612743.0,DEN,,,,,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,
97,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,out,[],203932,,,1610612743,18,26,2025-11-12T04:31:31Z,930000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,
98,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,in,[],1642363,,,1610612743,18,26,2025-11-12T04:31:31Z,940000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,
99,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,in,[],1629234,,,1610612743,18,26,2025-11-12T04:31:31Z,950000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,
100,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,18,26,2025-11-12T04:31:31Z,960000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,
101,PT03M48.00S,2025-11-12T04:31:12.9Z,1,REGULAR,substitution,in,[],1631212,,,1610612743,18,26,2025-11-12T04:31:31Z,970000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,
102,PT03M35.00S,2025-11-12T04:31:34.4Z,1,REGULAR,3pt,Jump Shot,[],1631128,67.62483574244416,63.23529411764706,1610612743,18,26,2025-11-12T04:31:40Z,980000,False,66.0,252.0,1,right,MISS C. Braun 26' 3PT,[1631128],1610612743.0,DEN,,,,,,,,Braun,C. Braun,Above the Break 3,24+ Center,26.04,Missed,,,,,,,,,,,,,,,,,
103,PT03M32.00S,2025-11-12T04:31:37.4Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612758,18,26,2025-11-12T04:31:40Z,990000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,Above the Break 3,24+ Center,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,
104,PT03M18.00S,2025-11-12T04:31:52.1Z,1,REGULAR,2pt,Jump Shot,[],1628370,13.354139290407357,31.862745098039213,1610612758,20,26,2025-11-12T04:31:58Z,1000000,False,91.0,73.0,1,left,M. Monk 11' pullup Jump Shot (2 PTS),[1628370],1610612758.0,SAC,pullup,,,,,,,Monk,M. Monk,Mid-Range,8-16 Right,11.64,Made,2.0,,,,,,,,,,,,,,,,
105,PT03M02.00S,2025-11-12T04:32:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,82.21090670170827,50.73529411764706,1610612743,20,28,2025-11-12T04:32:17Z,1010000,False,4.0,115.0,1,right,N. Jokić 11' driving floating Jump Shot (12 PTS),[203999],1610612743.0,DEN,driving floating,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),8-16 Center,11.48,Made,12.0,,,,,,,,,,,,,,,,
106,PT02M51.00S,2025-11-12T04:32:18.0Z,1,REGULAR,3pt,Jump Shot,[],201566,31.882391590013142,39.950980392156865,1610612758,20,28,2025-11-12T04:33:12Z,1020000,False,50.0,247.0,1,left,MISS R. Westbrook 25' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,,,,,Westbrook,R. Westbrook,Above the Break 3,24+ Center,25.22,Missed,,,,,,,,,,,,,,,,,
107,PT02M49.00S,2025-11-12T04:32:20.0Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612758,20,28,2025-11-12T04:33:34Z,1030000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,Above the Break 3,24+ Center,,,,,,,106.0,2.0,1.0,1.0,,,,,,,,,
108,PT02M45.00S,2025-11-12T04:32:24.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628370,22.946780551905388,90.68627450980392,1610612758,20,28,2025-11-12T04:32:28Z,1040000,False,-203.0,163.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612758.0,SAC,,,,,,,,Monk,M. Monk,Above the Break 3,24+ Left Center,26.08,Missed,,,,,,,,,,,,,,,,,
109,PT02M43.00S,2025-11-12T04:32:26.0Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,20,28,2025-11-12T04:32:28Z,1050000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,,,,,Watson,P. Watson,Above the Break 3,24+ Left Center,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,
110,PT02M33.00S,2025-11-12T04:32:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,91.5407358738502,52.20588235294118,1610612743,20,28,2025-11-12T04:33:59Z,1060000,False,11.0,27.0,1,right,MISS P. Watson cutting Layup,[1631212],1610612743.0,DEN,cutting,,,,,,,Watson,P. Watson,Restricted Area,0-8 Center,2.92,Missed,,,,,,,,,,,,,,,,,
111,PT02M31.00S,2025-11-12T04:32:38.9Z,1,REGULAR,rebound,defensive,[],1642363,,,1610612758,20,28,2025-11-12T04:32:40Z,1070000,False,,,0,,N. Clifford REBOUND (Off:0 Def:1),[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,Restricted Area,0-8 Center,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,
112,PT02M27.00S,2025-11-12T04:32:42.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629234,5.863994743758213,47.549019607843135,1610612758,22,28,2025-11-12T04:32:55Z,1080000,False,12.0,3.0,1,left,D. Eubanks running alley-oop DUNK (2 PTS) (N. Clifford 1 AST),"[1629234, 1642363]",1610612758.0,SAC,running alley-oop,,,,,,,Eubanks,D. Eubanks,Restricted Area,0-8 Center,1.26,Made,2.0,N. Clifford,1642363.0,1.0,,,,,,,,,,,,,
153,PT02M15.00S,2025-11-12T04:32:52.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,22,28,2025-11-12T04:42:55Z,1110000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,,,,
117,PT02M15.00S,2025-11-12T04:33:02.1Z,1,REGULAR,foul,personal,[],1628971,,,1610612758,22,28,2025-11-12T04:42:55Z,1130000,False,,,0,,B. Brown loose ball personal FOUL (1 PF),"[1628971, 1631165]",1610612743.0,DEN,loose ball,,,,,,1627526.0,Brown,B. Brown,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,0.0,Ellis,1631165.0,,,,,
119,PT02M15.00S,2025-11-12T04:33:26.8Z,1,REGULAR,substitution,out,[],1631128,,,1610612758,22,28,2025-11-12T04:42:55Z,1150000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,
120,PT02M15.00S,2025-11-12T04:33:26.8Z,1,REGULAR,substitution,in,[],1627750,,,1610612758,22,28,2025-11-12T04:42:55Z,1160000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,
121,PT02M01.00S,2025-11-12T04:33:58.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,26.49474375821288,13.23529411764706,1610612758,25,28,2025-11-12T04:42:55Z,1170000,False,184.0,197.0,1,left,M. Monk 26' 3PT  (5 PTS) (R. Westbrook 3 AST),"[1628370, 201566]",1610612758.0,SAC,,,,,,,,Monk,M. Monk,Above the Break 3,24+ Right Center,26.91,Made,5.0,R. Westbrook,201566.0,3.0,,,,,,,,,,,,,
134,PT02M01.00S,2025-11-12T04:34:50.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612743,25,28,2025-11-12T04:36:49Z,1175000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M48.00S,2025-11-12T04:35:43.1Z,1,REGULAR,3pt,Jump Shot,[],203501,76.5604467805519,6.61764705882353,1610612743,25,31,2025-11-12T04:36:01Z,1180000,False,-217.0,168.0,1,right,T. Hardaway Jr. 27' 3PT  (3 PTS) (J. Murray 4 AST),"[203501, 1627750]",1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,Above the Break 3,24+ Left Center,27.42,Made,3.0,J. Murray,1627750.0,4.0,,,,,,,,,,,,,
125,PT01M34.00S,2025-11-12T04:35:57.5Z,1,REGULAR,2pt,Layup,[],201566,4.418528252299605,30.14705882352941,1610612758,27,31,2025-11-12T04:37:17Z,1200000,False,99.0,-11.0,1,left,R. Westbrook 9' driving Layup (2 PTS),[201566],1610612758.0,SAC,driving,,,,,,,Westbrook,R. Westbrook,Mid-Range,8-16 Right,9.99,Made,2.0,,,,,,,,,,,,,,,,
126,PT01M24.00S,2025-11-12T04:36:09.4Z,1,REGULAR,foul,personal,[],1629234,,,1610612743,27,31,2025-11-12T04:36:24Z,1210000,False,,,0,,D. Eubanks personal FOUL (1 PF),"[1629234, 203999]",1610612758.0,SAC,,,,,,,202026.0,Eubanks,D. Eubanks,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Jokić,203999.0,,,,,
128,PT01M24.00S,2025-11-12T04:36:23.7Z,1,REGULAR,substitution,out,[],203999,,,1610612743,27,31,2025-11-12T04:36:30Z,1230000,False,,,0,,SUB out: N. Jokić,[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,
129,PT01M24.00S,2025-11-12T04:36:23.7Z,1,REGULAR,substitution,in,[],202685,,,1610612743,27,31,2025-11-12T04:36:30Z,1240000,False,,,0,,SUB in: J. Valančiūnas,[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,
130,PT01M17.00S,2025-11-12T04:36:36.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,71.04139290407359,15.196078431372548,1610612743,27,31,2025-11-12T04:37:53Z,1250000,False,-174.0,220.0,1,right,MISS J. Murray 28' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,,,,,Murray,J. Murray,Above the Break 3,24+ Left Center,28.03,Missed,,,,,,,,,,,,,,,,,
131,PT01M13.00S,2025-11-12T04:36:40.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,27,31,2025-11-12T04:36:40Z,1260000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,Above the Break 3,24+ Left Center,,,,,,,130.0,2.0,2.0,0.0,,,,,,,,,
132,PT01M10.00S,2025-11-12T04:36:43.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642363,21.632720105124836,92.64705882352942,1610612758,30,31,2025-11-12T04:36:58Z,1270000,False,-213.0,151.0,1,left,N. Clifford 26' 3PT running (3 PTS) (R. Westbrook 4 AST),"[1642363, 201566]",1610612758.0,SAC,running,,,,,,,Clifford,N. Clifford,Above the Break 3,24+ Left Center,26.11,Made,3.0,R. Westbrook,201566.0,4.0,,,,,,,,,,,,,
135,PT00M55.70S,2025-11-12T04:36:59.1Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,30,31,2025-11-12T04:37:27Z,1290000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1631165]",1610612743.0,DEN,,,,,,,,Murray,J. Murray,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Ellis,1631165.0,,
149,PT00M55.70S,2025-11-12T04:36:59.1Z,1,REGULAR,steal,,[],1631165,,,1610612758,30,31,2025-11-12T04:39:45Z,1295000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
136,PT00M48.50S,2025-11-12T04:37:08.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628370,27.283180026281208,15.441176470588236,1610612758,33,31,2025-11-12T04:44:36Z,1300000,False,173.0,204.0,1,left,M. Monk 26' 3PT running (8 PTS) (N. Clifford 2 AST),"[1628370, 1642363]",1610612758.0,SAC,running,,,,,,,Monk,M. Monk,Above the Break 3,24+ Right Center,26.73,Made,8.0,N. Clifford,1642363.0,2.0,,,,,,,,,,,,,
137,PT00M33.60S,2025-11-12T04:37:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,84.70762155059133,56.127450980392155,1610612743,33,31,2025-11-12T04:37:36Z,1310000,False,31.0,91.0,1,right,MISS B. Brown 9' driving Layup - blocked,"[1628971, 1631165]",1610612743.0,DEN,driving,,,,,,,Brown,B. Brown,In The Paint (Non-RA),8-16 Center,9.62,Missed,,,,,,,,,,,,,,,,Ellis,1631165.0
166,PT00M33.60S,2025-11-12T04:37:27.4Z,1,REGULAR,block,,[],1631165,,,1610612743,33,31,2025-11-12T04:44:15Z,1315000,False,,,0,,K. Ellis BLOCK (1 BLK),[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
138,PT00M33.60S,2025-11-12T04:37:27.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,33,31,2025-11-12T04:44:15Z,1320000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,137.0,,,,,,,,,,,,
140,PT00M24.20S,2025-11-12T04:37:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612758,33,31,2025-11-12T04:38:04Z,1340000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1631212, 1629234]",1610612743.0,DEN,shooting,,,,,,1627526.0,Watson,P. Watson,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Eubanks,1629234.0,,,,,
142,PT00M24.20S,2025-11-12T04:38:16.1Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612758,33,31,2025-11-12T04:38:16Z,1360000,False,,,0,,MISS D. Eubanks Free Throw 1 of 2,[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,,,,Missed,,,,,,,,,,,,,,,,,
143,PT00M24.20S,2025-11-12T04:38:16.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,33,31,2025-11-12T04:38:16Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,
144,PT00M24.20S,2025-11-12T04:38:43.7Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612758,34,31,2025-11-12T04:38:43Z,1380000,False,,,0,,D. Eubanks Free Throw 2 of 2 (3 PTS),[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,,,,Made,3.0,,,,,,,,,,,,,,,,
146,PT00M11.40S,2025-11-12T04:39:00.9Z,1,REGULAR,2pt,Jump Shot,[],1627750,74.98357424441524,56.127450980392155,1610612743,34,33,2025-11-12T04:39:11Z,1390000,False,31.0,183.0,1,right,J. Murray 18' pullup Jump Shot (8 PTS),[1627750],1610612743.0,DEN,pullup,,,,,,,Murray,J. Murray,Mid-Range,16-24 Center,18.52,Made,8.0,,,,,,,,,,,,,,,,
147,PT00M01.80S,2025-11-12T04:39:13.8Z,1,REGULAR,2pt,Jump Shot,[],201566,13.61695137976347,75.98039215686273,1610612758,34,33,2025-11-12T04:45:46Z,1400000,False,-130.0,75.0,1,left,MISS R. Westbrook 15' pullup Shot,[201566],1610612758.0,SAC,pullup,,,,,,,Westbrook,R. Westbrook,Mid-Range,8-16 Left,15.02,Missed,,,,,,,,,,,,,,,,,
148,PT00M00.10S,2025-11-12T04:39:15.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,34,33,2025-11-12T04:45:46Z,1410000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,147.0,,,,,,,,,,,,
151,PT00M00.00S,2025-11-12T04:40:59.0Z,1,REGULAR,period,end,[],0,,,1610612758,34,33,2025-11-12T04:40:59Z,1420000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-11-12T04:42:26.4Z,2,REGULAR,substitution,out,['startperiod'],201566,,,1610612758,34,33,2025-11-12T04:43:00Z,1430000,False,,,0,,SUB out: R. Westbrook,[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-11-12T04:42:26.4Z,2,REGULAR,substitution,out,['startperiod'],1631165,,,1610612758,34,33,2025-11-12T04:43:00Z,1440000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2025-11-12T04:42:26.4Z,2,REGULAR,substitution,in,['startperiod'],203471,,,1610612758,34,33,2025-11-12T04:43:00Z,1460000,False,,,0,,SUB in: D. Schröder,[203471],1610612758.0,SAC,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-11-12T04:42:26.4Z,2,REGULAR,substitution,in,['startperiod'],201942,,,1610612758,34,33,2025-11-12T04:43:00Z,1470000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-11-12T04:43:00.7Z,2,REGULAR,period,start,[],0,,,1610612743,34,33,2025-11-12T04:43:00Z,1490000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M39.00S,2025-11-12T04:43:33.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,89.83245729303549,41.17647058823529,1610612743,34,33,2025-11-12T04:47:55Z,1500000,False,-44.0,43.0,1,right,MISS J. Valančiūnas 6' turnaround Hook,[202685],1610612743.0,DEN,turnaround,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,
162,PT11M37.00S,2025-11-12T04:43:35.5Z,2,REGULAR,rebound,defensive,[],1642363,,,1610612758,34,33,2025-11-12T04:46:39Z,1510000,False,,,0,,N. Clifford REBOUND (Off:0 Def:2),[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,In The Paint (Non-RA),0-8 Center,,,,,,,161.0,2.0,2.0,0.0,,,,,,,,,
163,PT11M31.00S,2025-11-12T04:43:43.4Z,2,REGULAR,turnover,bad pass,[],1642363,,,1610612758,34,33,2025-11-12T04:47:43Z,1520000,False,,,0,,N. Clifford bad pass TURNOVER (1 TO),"[1642363, 1631212]",1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Watson,1631212.0,,
164,PT11M31.00S,2025-11-12T04:43:43.4Z,2,REGULAR,steal,,[],1631212,,,1610612743,34,33,2025-11-12T04:50:30Z,1530000,False,,,0,,P. Watson STEAL (1 STL),[1631212],1610612743.0,DEN,,,,,,,,Watson,P. Watson,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
216,PT11M26.00S,2025-11-12T04:43:49.5Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203501,74.03088042049934,87.99019607843137,1610612743,34,33,2025-11-12T04:51:13Z,1535000,False,190.0,192.0,1,right,MISS T. Hardaway Jr. 26' running pullup 3PT,[203501],1610612743.0,DEN,running pullup,,,,,,,Hardaway Jr.,T. Hardaway Jr.,Above the Break 3,24+ Right Center,26.98,Missed,,,,,,,,,,,,,,,,,
217,PT11M24.00S,2025-11-12T04:43:51.5Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612758,34,33,2025-11-12T04:51:13Z,1537500,False,,,0,,D. Eubanks REBOUND (Off:1 Def:2),[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,Above the Break 3,24+ Right Center,,,,,,,216.0,3.0,2.0,1.0,,,,,,,,,
165,PT11M17.00S,2025-11-12T04:43:55.7Z,2,REGULAR,2pt,Jump Shot,[],1628370,14.668199737187912,20.588235294117645,1610612758,36,33,2025-11-12T04:48:23Z,1540000,False,147.0,85.0,1,left,M. Monk 17' pullup Jump Shot (10 PTS),[1628370],1610612758.0,SAC,pullup,,,,,,,Monk,M. Monk,Mid-Range,16-24 Right,17.01,Made,10.0,,,,,,,,,,,,,,,,
167,PT10M58.00S,2025-11-12T04:44:13.4Z,2,REGULAR,2pt,Jump Shot,[],1627750,80.1084099868594,75.49019607843137,1610612743,36,33,2025-11-12T04:49:03Z,1550000,False,127.0,134.0,1,right,MISS J. Murray 18' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,,,,,Murray,J. Murray,Mid-Range,16-24 Right Center,18.53,Missed,,,,,,,,,,,,,,,,,
168,PT10M58.00S,2025-11-12T04:44:13.4Z,2,REGULAR,rebound,offensive,[],202685,,,1610612743,36,33,2025-11-12T04:44:24Z,1560000,False,,,0,,J. Valančiūnas REBOUND (Off:1 Def:0),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,Mid-Range,16-24 Right Center,,,,,,,167.0,1.0,0.0,1.0,,,,,,,,,
169,PT10M57.00S,2025-11-12T04:44:22.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,89.30683311432325,47.794117647058826,1610612743,36,33,2025-11-12T04:59:34Z,1570000,False,-11.0,48.0,1,right,MISS J. Valančiūnas putback Layup - blocked,"[202685, 201942]",1610612743.0,DEN,putback,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,DeRozan,201942.0
269,PT10M57.00S,2025-11-12T04:44:22.2Z,2,REGULAR,block,,[],201942,,,1610612743,36,33,2025-11-12T05:00:18Z,1575000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
170,PT10M56.00S,2025-11-12T04:44:23.2Z,2,REGULAR,rebound,offensive,[],202685,,,1610612743,36,33,2025-11-12T04:51:46Z,1580000,False,,,0,,J. Valančiūnas REBOUND (Off:2 Def:0),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),0-8 Center,,,,,,,169.0,2.0,0.0,2.0,,,,,,,,,
171,PT10M55.00S,2025-11-12T04:44:30.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,91.5407358738502,47.794117647058826,1610612743,36,35,2025-11-12T04:59:39Z,1590000,False,-11.0,27.0,1,right,J. Valančiūnas putback Layup (2 PTS),[202685],1610612743.0,DEN,putback,,,,,,,Valančiūnas,J. Valančiūnas,Restricted Area,0-8 Center,2.92,Made,2.0,,,,,,,,,,,,,,,,
172,PT10M29.00S,2025-11-12T04:44:42.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,19.530223390275953,52.450980392156865,1610612758,36,35,2025-11-12T04:52:31Z,1600000,False,-12.0,131.0,1,left,MISS D. Schröder 13' driving floating Shot,[203471],1610612758.0,SAC,driving floating,,,,,,,Schröder,D. Schröder,In The Paint (Non-RA),8-16 Center,13.17,Missed,,,,,,,,,,,,,,,,,
173,PT10M26.00S,2025-11-12T04:44:45.2Z,2,REGULAR,rebound,defensive,[],203501,,,1610612743,36,35,2025-11-12T04:45:03Z,1610000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,In The Paint (Non-RA),8-16 Center,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,
174,PT10M15.00S,2025-11-12T04:44:56.7Z,2,REGULAR,turnover,lost ball,[],202685,,,1610612743,36,35,2025-11-12T04:53:00Z,1620000,False,,,0,,J. Valančiūnas lost ball TURNOVER (1 TO),"[202685, 201942]",1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,DeRozan,201942.0,,
175,PT10M15.00S,2025-11-12T04:44:56.7Z,2,REGULAR,steal,,[],201942,,,1610612758,36,35,2025-11-12T04:44:59Z,1630000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
176,PT10M06.00S,2025-11-12T04:45:06.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628370,17.16491458607096,50.49019607843137,1610612758,36,35,2025-11-12T04:53:26Z,1640000,False,-2.0,109.0,1,left,MISS M. Monk 10' turnaround fadeaway Shot,[1628370],1610612758.0,SAC,turnaround fadeaway,,,,,,,Monk,M. Monk,In The Paint (Non-RA),8-16 Center,10.89,Missed,,,,,,,,,,,,,,,,,
177,PT10M03.00S,2025-11-12T04:45:09.0Z,2,REGULAR,rebound,defensive,[],202685,,,1610612743,36,35,2025-11-12T04:53:26Z,1650000,False,,,0,,J. Valančiūnas REBOUND (Off:2 Def:1),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),8-16 Center,,,,,,,176.0,3.0,1.0,2.0,,,,,,,,,
