actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,out,[],1630173,,,1610612758,21,21,2026-01-02T03:25:40Z,850000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,out,[],201942,,,1610612758,21,21,2026-01-02T03:25:40Z,860000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,out,[],201566,,,1610612758,21,21,2026-01-02T03:25:40Z,870000,False,,,0,,SUB out: R. Westbrook,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,in,[],1642363,,,1610612758,21,21,2026-01-02T03:25:40Z,880000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,in,[],203471,,,1610612758,21,21,2026-01-02T03:25:40Z,890000,False,,,0,,SUB in: D. Schröder,[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M25.00S,2026-01-02T03:24:26.4Z,1,REGULAR,substitution,in,[],1631165,,,1610612758,21,21,2026-01-02T03:25:40Z,900000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M11.00S,2026-01-02T03:26:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,14.4053876478318,61.029411764705884,1610612758,21,21,2026-01-02T03:56:09Z,910000,False,-55.0,83.0,1,left,MISS M. Raynaud 9' driving floating bank Shot,[1642875],1610612758.0,SAC,driving floating bank,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Left,,,9.95,Missed,,,,,,,,,,,,,,,,
93,PT04M08.00S,2026-01-02T03:26:15.2Z,1,REGULAR,rebound,offensive,[],1642363,,,1610612758,21,21,2026-01-02T03:26:28Z,920000,False,,,0,,N. Clifford REBOUND (Off:1 Def:0),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,92.0,1.0,0.0,1.0,,,,,,
94,PT04M03.00S,2026-01-02T03:26:22.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203471,20.05584756898817,29.411764705882355,1610612758,23,21,2026-01-02T06:11:16Z,930000,False,103.0,136.0,1,left,D. Schröder 17' pullup bank Jump Shot (2 PTS),[203471],1610612758.0,SAC,pullup bank,,,Schröder,D. Schröder,,,,,Mid-Range,16-24 Right Center,,,17.05,Made,2.0,,,,,,,,,,,,,,,
95,PT04M03.00S,2026-01-02T03:26:25.4Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612758,23,21,2026-01-02T03:26:36Z,940000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Schröder 1 FT),"[1627759, 203471]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Schröder,203471.0
97,PT04M03.00S,2026-01-02T03:26:45.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203471,,,1610612758,24,21,2026-01-02T03:26:45Z,960000,False,,,0,,D. Schröder Free Throw 1 of 1 (3 PTS),[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
98,PT03M47.00S,2026-01-02T03:27:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629014,72.22404730617609,10.049019607843137,1610612738,24,21,2026-01-02T03:27:11Z,970000,False,-200.0,209.0,1,right,MISS A. Simons 28' 3PT,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,28.88,Missed,,,,,,,,,,,,,,,,
99,PT03M46.00S,2026-01-02T03:27:04.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,24,21,2026-01-02T03:27:11Z,980000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,98.0,,,,,,,,,
101,PT03M26.00S,2026-01-02T03:27:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642363,14.011169513797633,43.627450980392155,1610612758,24,21,2026-01-02T03:28:00Z,1000000,False,32.0,79.0,1,left,MISS N. Clifford 8' driving floating Shot,[1642363],1610612758.0,SAC,driving floating,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),8-16 Center,,,8.54,Missed,,,,,,,,,,,,,,,,
102,PT03M21.00S,2026-01-02T03:27:37.1Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612738,24,21,2026-01-02T03:27:45Z,1010000,False,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,,
103,PT03M15.00S,2026-01-02T03:27:43.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,72.88107752956637,9.803921568627452,1610612738,24,21,2026-01-02T03:27:53Z,1020000,False,-201.0,202.0,1,right,MISS P. Pritchard 28' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,28.52,Missed,,,,,,,,,,,,,,,,
104,PT03M12.00S,2026-01-02T03:27:46.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,24,21,2026-01-02T03:28:04Z,1030000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,103.0,,,,,,,,,
106,PT03M12.00S,2026-01-02T03:28:12.2Z,1,REGULAR,substitution,out,[],1642875,,,1610612758,24,21,2026-01-02T03:28:19Z,1050000,False,,,0,,SUB out: M. Raynaud,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M12.00S,2026-01-02T03:28:12.2Z,1,REGULAR,substitution,in,[],1629234,,,1610612758,24,21,2026-01-02T03:28:19Z,1060000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M00.00S,2026-01-02T03:28:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,16.245072273324574,44.6078431372549,1610612758,24,21,2026-01-02T03:28:34Z,1070000,False,27.0,100.0,1,left,MISS K. Murray 10' driving floating Shot,[1631099],1610612758.0,SAC,driving floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,10.38,Missed,,,,,,,,,,,,,,,,
109,PT02M56.00S,2026-01-02T03:28:33.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,24,21,2026-01-02T03:28:34Z,1080000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,108.0,2.0,2.0,0.0,,,,,,
110,PT02M51.00S,2026-01-02T03:28:38.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.45137976346912,40.19607843137255,1610612738,24,21,2026-01-02T03:28:46Z,1090000,False,-49.0,141.0,1,right,MISS J. Brown 14' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,,,14.9,Missed,,,,,,,,,,,,,,,,
111,PT02M49.00S,2026-01-02T03:28:40.0Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,24,21,2026-01-02T03:28:46Z,1100000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Mid-Range,8-16 Center,,,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,
112,PT02M36.00S,2026-01-02T03:28:53.5Z,1,REGULAR,turnover,lost ball,[],1629234,,,1610612758,24,21,2026-01-02T03:29:03Z,1110000,False,,,0,,D. Eubanks lost ball TURNOVER (1 TO),"[1629234, 1630568]",1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,Garza,1630568.0,,,,,,,,,,
113,PT02M36.00S,2026-01-02T03:28:53.5Z,1,REGULAR,steal,,[],1630568,,,1610612738,24,21,2026-01-02T03:28:56Z,1120000,False,,,0,,L. Garza STEAL (1 STL),[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
114,PT02M33.00S,2026-01-02T03:28:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1631165,,,1610612738,24,21,2026-01-02T03:29:23Z,1130000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Brown 2 FT),"[1631165, 1627759]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Brown,1627759.0
116,PT02M33.00S,2026-01-02T03:29:26.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627759,,,1610612738,24,22,2026-01-02T03:31:05Z,1150000,False,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
117,PT02M33.00S,2026-01-02T03:29:27.7Z,1,REGULAR,substitution,out,[],1631099,,,1610612738,24,22,2026-01-02T03:29:48Z,1160000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M33.00S,2026-01-02T03:29:27.7Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,24,22,2026-01-02T03:29:48Z,1170000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M33.00S,2026-01-02T03:29:27.7Z,1,REGULAR,substitution,in,[],1628370,,,1610612738,24,22,2026-01-02T03:29:48Z,1180000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M33.00S,2026-01-02T03:29:27.7Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,24,22,2026-01-02T03:29:48Z,1190000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M33.00S,2026-01-02T03:29:26.7Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1627759,,,1610612738,24,23,2026-01-02T03:31:05Z,1200000,False,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
122,PT02M21.00S,2026-01-02T03:30:06.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628370,17.296320630749015,49.50980392156863,1610612758,24,23,2026-01-02T03:42:22Z,1210000,False,2.0,110.0,1,left,MISS M. Monk 11' Hook - blocked,"[1628370, 1628401]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,,,11.01,Missed,,,,,,,,,,,White,1628401.0,,,,
164,PT02M21.00S,2026-01-02T03:30:06.1Z,1,REGULAR,block,,[],1628401,,,1610612758,24,23,2026-01-02T03:38:36Z,1215000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
123,PT02M19.00S,2026-01-02T03:30:08.1Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612758,24,23,2026-01-02T03:38:36Z,1220000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,122.0,1.0,0.0,1.0,,,,,,
124,PT02M19.00S,2026-01-02T03:30:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629234,10.5946123521682,49.01960784313725,1610612758,26,23,2026-01-02T03:30:21Z,1230000,False,5.0,47.0,1,left,D. Eubanks putback Layup (2 PTS),[1629234],1610612758.0,SAC,putback,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,4.74,Made,2.0,,,,,,,,,,,,,,,
125,PT02M00.00S,2026-01-02T03:30:27.5Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,26,23,2026-01-02T03:30:34Z,1240000,False,,,0,,J. Brown lost ball TURNOVER (3 TO),"[1627759, 1642363]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,3.0,,,,,,,Clifford,1642363.0,,,,,,,,,,
126,PT02M00.00S,2026-01-02T03:30:27.5Z,1,REGULAR,steal,,[],1642363,,,1610612758,26,23,2026-01-02T03:30:29Z,1250000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
127,PT01M53.00S,2026-01-02T03:30:33.9Z,1,REGULAR,turnover,bad pass,[],1642363,,,1610612758,26,23,2026-01-02T03:30:38Z,1260000,False,,,0,,N. Clifford bad pass TURNOVER (1 TO),"[1642363, 1628401]",1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,White,1628401.0,,,,,,,,,,
128,PT01M53.00S,2026-01-02T03:30:33.9Z,1,REGULAR,steal,,[],1628401,,,1610612738,26,23,2026-01-02T03:30:36Z,1270000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
129,PT01M41.00S,2026-01-02T03:30:46.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,67.62483574244416,17.401960784313726,1610612738,26,23,2026-01-02T03:30:51Z,1280000,False,-163.0,252.0,1,right,MISS J. Brown 30' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,30.0,Missed,,,,,,,,,,,,,,,,
130,PT01M39.00S,2026-01-02T03:30:48.1Z,1,REGULAR,rebound,defensive,[],203471,,,1610612758,26,23,2026-01-02T03:30:51Z,1290000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,
131,PT01M23.00S,2026-01-02T03:31:04.9Z,1,REGULAR,3pt,Jump Shot,[],1631165,6.258212877792378,98.2843137254902,1610612758,29,23,2026-01-02T03:31:09Z,1300000,False,-241.0,6.0,1,left,K. Ellis 24' 3PT  (3 PTS) (D. Schröder 1 AST),"[1631165, 203471]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,,,24.15,Made,3.0,D. Schröder,203471.0,1.0,,,,,,,,,,,,
133,PT01M11.00S,2026-01-02T03:31:17.3Z,1,REGULAR,foul,personal,[],1642363,,,1610612738,29,23,2026-01-02T03:36:08Z,1320000,False,,,0,,N. Clifford personal FOUL (1 PF),"[1642363, 1628401]",1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Mid-Range,16-24 Left Center,201246.0,,,,,,,,,,,,,,,,1.0,0.0,White,1628401.0
135,PT01M11.00S,2026-01-02T03:31:34.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,29,23,2026-01-02T03:31:40Z,1340000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M11.00S,2026-01-02T03:31:34.3Z,1,REGULAR,substitution,in,[],1642864,,,1610612738,29,23,2026-01-02T03:31:40Z,1350000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M02.00S,2026-01-02T03:31:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630568,88.51839684625493,48.28431372549019,1610612738,29,25,2026-01-02T03:42:48Z,1360000,False,-9.0,55.0,1,right,L. Garza driving Layup (5 PTS) (A. Simons 1 AST),"[1630568, 1629014]",1610612738.0,BOS,driving,,,Garza,L. Garza,,,,,In The Paint (Non-RA),0-8 Center,,,5.61,Made,5.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,
139,PT00M53.20S,2026-01-02T03:32:01.6Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612758,29,25,2026-01-02T03:32:06Z,1380000,False,,,0,,D. Schröder bad pass TURNOVER (1 TO),"[203471, 1630573]",1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,Hauser,1630573.0,,,,,,,,,,
140,PT00M53.20S,2026-01-02T03:32:01.6Z,1,REGULAR,steal,,[],1630573,,,1610612738,29,25,2026-01-02T03:32:04Z,1390000,False,,,0,,S. Hauser STEAL (1 STL),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
141,PT00M39.60S,2026-01-02T03:32:15.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,91.93495400788436,96.07843137254902,1610612738,29,28,2026-01-02T03:32:24Z,1400000,False,230.0,23.0,1,right,S. Hauser 3PT  (6 PTS) (D. White 3 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,23.16,Made,6.0,D. White,1628401.0,3.0,,,,,,,,,,,,
143,PT00M31.20S,2026-01-02T03:32:31.2Z,1,REGULAR,foul,personal,[],1642864,,,1610612758,29,28,2026-01-02T03:32:59Z,1420000,False,,,0,,H. González personal FOUL (1 PF),"[1642864, 203471]",1610612738.0,BOS,,,,González,H. González,,,,,Mid-Range,8-16 Right,201246.0,,,,,,,,,,,,,,,,1.0,0.0,Schröder,203471.0
145,PT00M22.70S,2026-01-02T03:32:59.6Z,1,REGULAR,3pt,Jump Shot,[],1628370,27.414586070959263,13.480392156862745,1610612758,29,28,2026-01-02T03:33:06Z,1440000,False,183.0,205.0,1,left,MISS M. Monk 27' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,27.47,Missed,,,,,,,,,,,,,,,,
146,PT00M17.60S,2026-01-02T03:33:04.7Z,1,REGULAR,rebound,defensive,[],1642864,,,1610612738,29,28,2026-01-02T03:33:04Z,1450000,False,,,0,,H. González REBOUND (Off:0 Def:1),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,145.0,1.0,1.0,0.0,,,,,,
147,PT00M01.00S,2026-01-02T03:33:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,89.43823915900131,63.48039215686274,1610612738,29,28,2026-01-02T03:33:46Z,1460000,False,67.0,47.0,1,right,MISS D. White 8' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,8.21,Missed,,,,,,,,,,,,,,,,
148,PT00M01.00S,2026-01-02T03:33:23.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,29,28,2026-01-02T03:33:46Z,1470000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,147.0,,,,,,,,,
149,PT00M00.00S,2026-01-02T03:34:00.5Z,1,REGULAR,period,end,[],0,,,1610612738,29,28,2026-01-02T03:34:00Z,1480000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2026-01-02T03:36:09.1Z,2,REGULAR,period,start,[],0,,,1610612758,29,28,2026-01-02T03:36:09Z,1490000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M40.00S,2026-01-02T03:36:28.4Z,2,REGULAR,3pt,Jump Shot,[],203471,31.61957950065703,20.833333333333336,1610612758,32,28,2026-01-02T03:36:34Z,1500000,False,146.0,245.0,1,left,D. Schröder 28' 3PT  (6 PTS) (K. Ellis 1 AST),"[203471, 1631165]",1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,,,28.48,Made,6.0,K. Ellis,1631165.0,1.0,,,,,,,,,,,,
153,PT11M19.00S,2026-01-02T03:36:49.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630568,90.09526938239159,52.94117647058824,1610612738,32,30,2026-01-02T03:36:54Z,1520000,False,15.0,41.0,1,right,L. Garza cutting Layup (7 PTS) (S. Hauser 1 AST),"[1630568, 1630573]",1610612738.0,BOS,cutting,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,,,4.32,Made,7.0,S. Hauser,1630573.0,1.0,,,,,,,,,,,,
155,PT11M04.00S,2026-01-02T03:37:03.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631165,9.674770039421814,64.70588235294117,1610612758,34,30,2026-01-02T03:37:10Z,1540000,False,-74.0,38.0,1,left,K. Ellis 8' pullup bank Jump Shot (5 PTS),[1631165],1610612758.0,SAC,pullup bank,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Left,,,8.29,Made,5.0,,,,,,,,,,,,,,,
156,PT10M39.00S,2026-01-02T03:37:29.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,88.91261498028909,65.19607843137256,1610612738,34,32,2026-01-02T03:37:38Z,1550000,False,76.0,52.0,1,right,A. Simons 9' driving bank Jump Shot (5 PTS),[1629014],1610612738.0,BOS,driving bank,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Right,,,9.19,Made,5.0,,,,,,,,,,,,,,,
157,PT10M21.00S,2026-01-02T03:37:46.7Z,2,REGULAR,3pt,Jump Shot,[],1631165,30.962549277266753,75.73529411764706,1610612758,37,32,2026-01-02T03:37:52Z,1560000,False,-129.0,239.0,1,left,K. Ellis 27' 3PT  (8 PTS) (D. Schröder 2 AST),"[1631165, 203471]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,27.1,Made,8.0,D. Schröder,203471.0,2.0,,,,,,,,,,,,
159,PT10M07.00S,2026-01-02T03:38:00.6Z,2,REGULAR,3pt,Jump Shot,[],1630573,75.64060446780552,10.294117647058822,1610612738,37,35,2026-01-02T03:38:04Z,1580000,False,-199.0,176.0,1,right,S. Hauser 26' 3PT  (9 PTS) (A. Simons 2 AST),"[1630573, 1629014]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,26.56,Made,9.0,A. Simons,1629014.0,2.0,,,,,,,,,,,,
161,PT09M52.00S,2026-01-02T03:38:15.4Z,2,REGULAR,3pt,Jump Shot,[],203471,32.802233902759525,61.51960784313726,1610612758,40,35,2026-01-02T03:38:21Z,1600000,False,-58.0,256.0,1,left,D. Schröder 26' 3PT  (9 PTS) (M. Monk 1 AST),"[203471, 1628370]",1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,,,26.22,Made,9.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,
163,PT09M51.00S,2026-01-02T03:38:24.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,40,35,2026-01-02T03:38:24Z,1620000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT09M37.00S,2026-01-02T03:41:36.2Z,2,REGULAR,3pt,Jump Shot,[],1642864,82.60512483574244,4.411764705882353,1610612738,40,38,2026-01-02T03:41:43Z,1630000,False,-228.0,111.0,1,right,H. González 25' 3PT  (3 PTS) (D. White 4 AST),"[1642864, 1628401]",1610612738.0,BOS,,,,González,H. González,,,,,Above the Break 3,24+ Left Center,,,25.35,Made,3.0,D. White,1628401.0,4.0,,,,,,,,,,,,
167,PT09M17.00S,2026-01-02T03:41:55.4Z,2,REGULAR,3pt,Jump Shot,[],1631165,29.38567674113009,78.67647058823529,1610612758,43,38,2026-01-02T03:42:03Z,1650000,False,-143.0,224.0,1,left,K. Ellis 26' 3PT step back (11 PTS) (D. Schröder 3 AST),"[1631165, 203471]",1610612758.0,SAC,step back,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,26.57,Made,11.0,D. Schröder,203471.0,3.0,,,,,,,,,,,,
168,PT08M58.00S,2026-01-02T03:42:14.1Z,2,REGULAR,3pt,Jump Shot,[],1629014,67.36202365308804,19.362745098039216,1610612738,43,41,2026-01-02T04:03:21Z,1660000,False,-153.0,254.0,1,right,A. Simons 29' 3PT pullup (8 PTS) (L. Garza 1 AST),"[1629014, 1630568]",1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,29.69,Made,8.0,L. Garza,1630568.0,1.0,,,,,,,,,,,,
170,PT08M47.00S,2026-01-02T03:42:25.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629234,7.966491458607096,40.931372549019606,1610612758,45,41,2026-01-02T03:42:30Z,1680000,False,45.0,22.0,1,left,D. Eubanks cutting Layup (4 PTS) (D. Schröder 4 AST),"[1629234, 203471]",1610612758.0,SAC,cutting,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,5.05,Made,4.0,D. Schröder,203471.0,4.0,,,,,,,,,,,,
172,PT08M34.00S,2026-01-02T03:42:38.0Z,2,REGULAR,3pt,Jump Shot,[],1629014,64.73390275952694,42.64705882352941,1610612738,45,44,2026-01-02T04:04:23Z,1700000,False,-37.0,279.0,1,right,A. Simons 28' 3PT pullup (11 PTS) (L. Garza 2 AST),"[1629014, 1630568]",1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,28.14,Made,11.0,L. Garza,1630568.0,2.0,,,,,,,,,,,,
