actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
46,PT08M27.00S,2024-10-27T19:50:35.7Z,1,REGULAR,turnover,traveling,[],1630178,,,1610612755,6,3,2024-10-27T19:50:44Z,450000,False,,,0,,T. Maxey traveling TURNOVER (1 TO),[1630178],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Maxey,T. Maxey,,,,1.0,,,203591.0,,,,,,,,,,,
47,PT08M15.00S,2024-10-27T19:50:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,88.38699080157687,50.245098039215684,1610612754,6,3,2024-10-27T19:51:07Z,460000,False,1.0,57.0,1,right,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,,
48,PT08M13.00S,2024-10-27T19:51:01.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,6,3,2024-10-27T19:51:07Z,470000,False,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Drummond,A. Drummond,,,,,,,,,,,,47.0,3.0,3.0,0.0,,,
49,PT08M07.00S,2024-10-27T19:51:07.2Z,1,REGULAR,3pt,Jump Shot,[],200768,22.946780551905388,87.74509803921569,1610612755,6,6,2024-10-27T19:54:13Z,480000,False,-189.0,163.0,1,left,K. Lowry 24' 3PT  (3 PTS) (T. Maxey 1 AST),"[200768, 1630178]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,24.95,Made,3.0,Lowry,K. Lowry,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,,
51,PT07M50.00S,2024-10-27T19:51:24.1Z,1,REGULAR,3pt,Jump Shot,[],1629614,67.49342969776609,70.58823529411765,1610612754,6,6,2024-10-27T19:51:29Z,500000,False,103.0,253.0,1,right,MISS A. Nembhard 27' 3PT,[1629614],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,27.32,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,
52,PT07M47.00S,2024-10-27T19:51:27.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,6,6,2024-10-27T19:51:29Z,510000,False,,,0,,A. Drummond REBOUND (Off:0 Def:4),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Drummond,A. Drummond,,,,,,,,,,,,51.0,4.0,4.0,0.0,,,
53,PT07M35.00S,2024-10-27T19:51:39.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,35.03613666228647,51.470588235294116,1610612755,6,6,2024-10-27T19:51:45Z,520000,False,-7.0,277.0,1,left,MISS K. Oubre Jr. 27' 3PT,[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,27.69,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
54,PT07M34.00S,2024-10-27T19:51:40.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,6,6,2024-10-27T19:51:45Z,530000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,53.0,,,,,,
56,PT07M20.00S,2024-10-27T19:52:04.1Z,1,REGULAR,3pt,Jump Shot,[],1629614,68.41327201051249,66.17647058823529,1610612754,9,6,2024-10-27T19:52:08Z,550000,False,81.0,244.0,1,right,A. Nembhard 25' 3PT  (3 PTS) (P. Siakam 2 AST),"[1629614, 1627783]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,25.74,Made,3.0,Nembhard,A. Nembhard,P. Siakam,1627783.0,2.0,,,,,,,,,,,,,,,
95,PT06M57.00S,2024-10-27T19:52:32.3Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,9,6,2024-10-27T19:59:15Z,600000,False,,,0,,T. Maxey lost ball TURNOVER (2 TO),"[1630178, 1626167]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Center,,,,Maxey,T. Maxey,,,,2.0,Turner,1626167.0,,,,,,,,,,,,
