actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
200,PT10M53.00S,2024-10-30T23:46:06.8Z,2,REGULAR,3pt,Jump Shot,[],201143,30.436925098554536,25.735294117647058,1610612738,40,34,2024-10-30T23:46:10Z,1940000,False,121.0,234.0,1,left,A. Horford 26' 3PT  (8 PTS) (D. White 1 AST),"[201143, 1628401]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.32,Made,8.0,,,,,,,,,,,,,D. White,1628401.0,1.0,,
202,PT10M36.00S,2024-10-30T23:46:26.8Z,2,REGULAR,foul,offensive,[],1631097,,,1610612754,40,34,2024-10-30T23:46:31Z,1960000,False,,,0,,B. Mathurin charge offensive FOUL (2 PF),"[1631097, 1630202]",1610612754.0,IND,charge,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,,,,,,,201246.0,2.0,0.0,Pritchard,1630202.0,,,,,,,
204,PT10M36.00S,2024-10-30T23:46:26.8Z,2,REGULAR,turnover,offensive foul,[],1631097,,,1610612754,40,34,2024-10-30T23:46:26Z,1980000,False,,,0,,B. Mathurin offensive foul TURNOVER (2 TO),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,,,,,,2.0,201246.0,,,,,,,,,,,
205,PT10M15.00S,2024-10-30T23:47:06.3Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,23.209592641261498,66.91176470588235,1610612738,40,34,2024-10-30T23:47:10Z,1990000,False,-85.0,166.0,1,left,MISS J. Brown 18' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,18.6,Missed,,,,,,,,,,,,,,,,,,
206,PT10M11.00S,2024-10-30T23:47:10.3Z,2,REGULAR,rebound,defensive,[],1630543,,,1610612754,40,34,2024-10-30T23:47:10Z,2000000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,16-24 Left Center,,,,205.0,1.0,1.0,0.0,,,,,,,,,,,,,
207,PT09M57.00S,2024-10-30T23:47:24.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,81.73455978975032,51.083792892156865,1610612754,42,34,2024-10-30T23:47:39Z,2010000,False,5.0,119.0,1,right,T. McConnell 11' Jump Shot (8 PTS) (P. Siakam 2 AST),"[204456, 1627783]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),8-16 Center,11.93,Made,8.0,,,,,,,,,,,,,P. Siakam,1627783.0,2.0,,
209,PT09M34.00S,2024-10-30T23:47:46.2Z,2,REGULAR,3pt,Jump Shot,[],1630202,32.933639947437584,25.49019607843137,1610612738,42,37,2024-10-30T23:47:49Z,2030000,False,123.0,257.0,1,left,P. Pritchard 28' 3PT  (3 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,28.48,Made,3.0,,,,,,,,,,,,,J. Brown,1627759.0,1.0,,
211,PT09M18.00S,2024-10-30T23:48:02.0Z,2,REGULAR,3pt,Jump Shot,[],1630174,69.99014454664915,78.92156862745098,1610612754,42,37,2024-10-30T23:48:14Z,2050000,False,145.0,230.0,1,right,MISS A. Nesmith 27' pullup 3PT,[1630174],1610612754.0,IND,pullup,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,27.13,Missed,,,,,,,,,,,,,,,,,,
212,PT09M15.00S,2024-10-30T23:48:05.0Z,2,REGULAR,rebound,offensive,[],1631097,,,1610612754,42,37,2024-10-30T23:48:06Z,2060000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,211.0,4.0,3.0,1.0,,,,,,,,,,,,,
213,PT09M15.00S,2024-10-30T23:48:06.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631097,90.75229960578186,47.794117647058826,1610612754,44,37,2024-10-30T23:49:10Z,2070000,False,-11.0,34.0,1,right,B. Mathurin putback Layup (2 PTS),[1631097],1610612754.0,IND,putback,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,,,,,,,,,,,,,,,,,
214,PT08M55.00S,2024-10-30T23:48:25.8Z,2,REGULAR,3pt,Jump Shot,[],1630573,4.681340341655716,97.05882352941177,1610612738,44,37,2024-10-30T23:48:29Z,2080000,False,-235.0,-8.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
215,PT08M53.00S,2024-10-30T23:48:27.8Z,2,REGULAR,rebound,defensive,[],204456,,,1610612754,44,37,2024-10-30T23:48:29Z,2090000,False,,,0,,T. McConnell REBOUND (Off:0 Def:2),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Left Corner 3,24+ Left,,,,214.0,2.0,2.0,0.0,,,,,,,,,,,,,
216,PT08M49.00S,2024-10-30T23:48:32.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631097,92.59198423127464,50.49019607843137,1610612754,44,37,2024-10-30T23:48:41Z,2100000,False,2.0,17.0,1,right,MISS B. Mathurin running reverse Layup - blocked,"[1631097, 1627759]",1610612754.0,IND,running reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0
217,PT08M49.00S,2024-10-30T23:48:32.5Z,2,REGULAR,block,,[],1627759,,,1610612754,44,37,2024-10-30T23:48:34Z,2110000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
218,PT08M46.00S,2024-10-30T23:48:35.5Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,44,37,2024-10-30T23:48:36Z,2120000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,,
219,PT08M40.00S,2024-10-30T23:48:40.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630573,8.09789750328515,50.0,1610612738,44,39,2024-10-30T23:50:13Z,2130000,False,0.0,24.0,1,left,S. Hauser cutting DUNK (2 PTS) (J. Brown 2 AST),"[1630573, 1627759]",1610612738.0,BOS,cutting,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,J. Brown,1627759.0,2.0,,
221,PT08M25.00S,2024-10-30T23:48:54.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,84.31340341655716,56.86274509803921,1610612754,44,39,2024-10-30T23:48:58Z,2150000,False,34.0,95.0,1,right,MISS P. Siakam 10' driving floating Shot,[1627783],1610612754.0,IND,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,10.1,Missed,,,,,,,,,,,,,,,,,,
222,PT08M23.00S,2024-10-30T23:48:56.9Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,44,39,2024-10-30T23:48:58Z,2160000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,221.0,3.0,3.0,0.0,,,,,,,,,,,,,
223,PT08M20.00S,2024-10-30T23:49:00.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,29.122864651773984,15.441176470588236,1610612738,44,42,2024-10-30T23:49:07Z,2170000,False,173.0,221.0,1,left,P. Pritchard 28' 3PT running (6 PTS) (J. Brown 3 AST),"[1630202, 1627759]",1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,28.08,Made,6.0,,,,,,,,,,,,,J. Brown,1627759.0,3.0,,
225,PT08M17.00S,2024-10-30T23:49:06.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,44,42,2024-10-30T23:49:06Z,2190000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M17.00S,2024-10-30T23:51:41.7Z,2,REGULAR,substitution,out,[],1627783,,,1610612754,44,42,2024-10-30T23:52:15Z,2200000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M17.00S,2024-10-30T23:51:41.7Z,2,REGULAR,substitution,out,[],1630573,,,1610612754,44,42,2024-10-30T23:52:15Z,2210000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M17.00S,2024-10-30T23:51:41.7Z,2,REGULAR,substitution,in,[],1641767,,,1610612754,44,42,2024-10-30T23:52:15Z,2220000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M17.00S,2024-10-30T23:51:41.7Z,2,REGULAR,substitution,in,[],1641775,,,1610612754,44,42,2024-10-30T23:52:15Z,2230000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M06.00S,2024-10-30T23:52:44.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641767,91.93495400788436,43.872549019607845,1610612754,46,42,2024-10-30T23:52:49Z,2240000,False,-31.0,23.0,1,right,B. Sheppard cutting Layup (2 PTS) (A. Nesmith 2 AST),"[1641767, 1630174]",1610612754.0,IND,cutting,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,3.85,Made,2.0,,,,,,,,,,,,,A. Nesmith,1630174.0,2.0,,
232,PT07M46.00S,2024-10-30T23:53:03.5Z,2,REGULAR,3pt,Jump Shot,[],1628401,8.754927726675426,95.83333333333334,1610612738,46,45,2024-10-30T23:53:07Z,2260000,False,-229.0,30.0,1,left,D. White 3PT  (10 PTS) (J. Brown 4 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.11,Made,10.0,,,,,,,,,,,,,J. Brown,1627759.0,4.0,,
234,PT07M30.00S,2024-10-30T23:53:20.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,93.24901445466492,50.73529411764706,1610612754,46,45,2024-10-30T23:53:23Z,2280000,False,4.0,11.0,1,right,MISS B. Mathurin driving Layup - blocked,"[1631097, 1627759]",1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.16,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0
235,PT07M30.00S,2024-10-30T23:53:20.1Z,2,REGULAR,block,,[],1627759,,,1610612754,46,45,2024-10-30T23:53:22Z,2290000,False,,,0,,J. Brown BLOCK (2 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
236,PT07M27.00S,2024-10-30T23:53:23.1Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,46,45,2024-10-30T23:53:23Z,2300000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,234.0,2.0,2.0,0.0,,,,,,,,,,,,,
237,PT07M26.00S,2024-10-30T23:53:24.5Z,2,REGULAR,turnover,bad pass,[],1628401,,,1610612738,46,45,2024-10-30T23:53:28Z,2310000,False,,,0,,D. White bad pass TURNOVER (2 TO),"[1628401, 1630543]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,,,,,2.0,,,,,,Jackson,1630543.0,,,,,
238,PT07M26.00S,2024-10-30T23:53:24.5Z,2,REGULAR,steal,,[],1630543,,,1610612754,46,45,2024-10-30T23:53:45Z,2320000,False,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
239,PT07M22.00S,2024-10-30T23:53:28.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631097,95.22010512483574,48.28431372549019,1610612754,48,45,2024-10-30T23:53:32Z,2330000,False,-9.0,-8.0,1,right,B. Mathurin running DUNK (4 PTS) (B. Sheppard 1 AST),"[1631097, 1641767]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.15,Made,4.0,,,,,,,,,,,,,B. Sheppard,1641767.0,1.0,,
241,PT06M56.00S,2024-10-30T23:53:53.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,13.61695137976347,47.549019607843135,1610612738,48,45,2024-10-30T23:53:57Z,2350000,False,12.0,75.0,1,left,MISS J. Brown 7' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
242,PT06M53.00S,2024-10-30T23:53:56.5Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612754,48,45,2024-10-30T23:53:57Z,2360000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:4),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,241.0,4.0,4.0,0.0,,,,,,,,,,,,,
243,PT06M48.00S,2024-10-30T23:54:03.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612754,48,45,2024-10-30T23:54:09Z,2370000,False,,,0,,P. Pritchard personal FOUL (2 PF),"[1630202, 204456]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2530.0,2.0,0.0,McConnell,204456.0,,,,,,,
245,PT06M48.00S,2024-10-30T23:54:09.7Z,2,REGULAR,substitution,out,[],204456,,,1610612754,48,45,2024-10-30T23:54:18Z,2390000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M48.00S,2024-10-30T23:54:09.7Z,2,REGULAR,substitution,in,[],1630169,,,1610612754,48,45,2024-10-30T23:54:18Z,2400000,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M47.00S,2024-10-30T23:54:33.7Z,2,REGULAR,foul,personal,['2freethrow'],1641775,,,1610612754,48,45,2024-10-30T23:54:42Z,2410000,False,,,0,,J. Walsh shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1641775, 1631097]",1610612738.0,BOS,shooting,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202901.0,1.0,0.0,Mathurin,1631097.0,,,,,,,
249,PT06M47.00S,2024-10-30T23:55:02.6Z,2,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,49,45,2024-10-30T23:55:02Z,2430000,False,,,0,,B. Mathurin Free Throw 1 of 2 (5 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
250,PT06M47.00S,2024-10-30T23:55:22.9Z,2,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,50,45,2024-10-30T23:55:22Z,2440000,False,,,0,,B. Mathurin Free Throw 2 of 2 (6 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
251,PT06M39.00S,2024-10-30T23:55:35.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.732588699080158,55.63725490196079,1610612738,50,45,2024-10-30T23:55:39Z,2450000,False,-28.0,1.0,1,left,MISS J. Brown driving Layup - blocked,"[1627759, 1630174]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,Nesmith,1630174.0
252,PT06M39.00S,2024-10-30T23:55:35.0Z,2,REGULAR,block,,[],1630174,,,1610612738,50,45,2024-10-30T23:55:37Z,2460000,False,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
253,PT06M39.00S,2024-10-30T23:55:35.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,50,45,2024-10-30T23:55:39Z,2470000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,251.0,,,,,,,,,,,,,,,,
255,PT06M31.00S,2024-10-30T23:55:57.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,38.32128777923784,36.029411764705884,1610612738,50,45,2024-10-30T23:56:02Z,2490000,False,70.0,308.0,1,left,MISS P. Pritchard 31' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,31.55,Missed,,,,,,,,,,,,,,,,,,
256,PT06M27.00S,2024-10-30T23:56:01.6Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,50,45,2024-10-30T23:56:02Z,2500000,False,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,255.0,4.0,3.0,1.0,,,,,,,,,,,,,
257,PT06M27.00S,2024-10-30T23:56:01.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,7.178055190538765,52.450980392156865,1610612738,50,45,2024-10-30T23:56:09Z,2510000,False,-12.0,15.0,1,left,MISS A. Horford tip Layup,[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
258,PT06M27.00S,2024-10-30T23:56:01.1Z,2,REGULAR,rebound,defensive,[],1630169,,,1610612754,50,45,2024-10-30T23:56:06Z,2520000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:3),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,257.0,3.0,3.0,0.0,,,,,,,,,,,,,
259,PT06M20.00S,2024-10-30T23:56:08.6Z,2,REGULAR,3pt,Jump Shot,[],1631097,66.04796320630749,53.67647058823529,1610612754,53,45,2024-10-30T23:56:13Z,2530000,False,18.0,267.0,1,right,B. Mathurin 26' 3PT pullup (9 PTS) (T. Haliburton 4 AST),"[1631097, 1630169]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,26.72,Made,9.0,,,,,,,,,,,,,T. Haliburton,1630169.0,4.0,,
261,PT05M59.00S,2024-10-30T23:56:32.0Z,2,REGULAR,foul,personal,[],1630543,,,1610612738,53,45,2024-10-30T23:56:39Z,2550000,False,,,0,,I. Jackson personal FOUL (2 PF),"[1630543, 1627759]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Center,,,,,,,,,2530.0,2.0,0.0,Brown,1627759.0,,,,,,,
263,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,53,45,2024-10-30T23:56:52Z,2570000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,53,45,2024-10-30T23:56:52Z,2580000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,out,[],1641775,,,1610612738,53,45,2024-10-30T23:56:52Z,2590000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,out,[],201143,,,1610612738,53,45,2024-10-30T23:56:52Z,2600000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,in,[],1641716,,,1610612738,53,45,2024-10-30T23:56:52Z,2610000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,53,45,2024-10-30T23:56:52Z,2620000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,in,[],201950,,,1610612738,53,45,2024-10-30T23:56:52Z,2630000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M59.00S,2024-10-30T23:56:39.0Z,2,REGULAR,substitution,in,[],1628436,,,1610612738,53,45,2024-10-30T23:56:52Z,2640000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M55.00S,2024-10-30T23:57:08.2Z,2,REGULAR,3pt,Jump Shot,[],1627759,18.610381077529567,95.34313725490196,1610612738,53,45,2024-10-30T23:57:14Z,2650000,False,-227.0,122.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
272,PT05M49.00S,2024-10-30T23:57:14.2Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,53,45,2024-10-30T23:57:14Z,2660000,False,,,0,,L. Kornet REBOUND (Off:5 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Left Center,,,,271.0,6.0,1.0,5.0,,,,,,,,,,,,,
273,PT05M49.00S,2024-10-30T23:57:14.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628436,5.590000152587891,50.0,1610612738,53,45,2024-10-30T23:57:16Z,2670000,False,0.0,0.0,1,left,MISS L. Kornet tip Layup,[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
274,PT05M49.00S,2024-10-30T23:57:14.2Z,2,REGULAR,rebound,defensive,[],1641767,,,1610612754,53,45,2024-10-31T00:01:23Z,2680000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,,,,273.0,1.0,1.0,0.0,,,,,,,,,,,,,
275,PT05M43.00S,2024-10-30T23:57:20.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,86.41590013140605,45.34313725490196,1610612754,53,45,2024-10-30T23:59:10Z,2690000,False,-23.0,75.0,1,right,MISS T. Haliburton 7' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,7.87,Missed,,,,,,,,,,,,,,,,,,
276,PT05M41.00S,2024-10-30T23:57:22.8Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,53,45,2024-10-30T23:57:25Z,2700000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,275.0,1.0,1.0,0.0,,,,,,,,,,,,,
277,PT05M36.00S,2024-10-30T23:57:27.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,18.873193166885677,8.088235294117647,1610612738,53,45,2024-10-30T23:57:35Z,2710000,False,210.0,125.0,1,left,MISS J. Tatum 24' running 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.4,Missed,,,,,,,,,,,,,,,,,,
278,PT05M36.00S,2024-10-30T23:57:27.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,53,45,2024-10-30T23:57:35Z,2720000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,,277.0,,,,,,,,,,,,,,,,
280,PT05M19.00S,2024-10-30T23:57:54.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641767,93.38042049934296,43.38235294117647,1610612754,55,45,2024-10-30T23:57:57Z,2740000,False,-33.0,10.0,1,right,B. Sheppard driving finger roll Layup (4 PTS),[1641767],1610612754.0,IND,driving finger roll,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,3.45,Made,4.0,,,,,,,,,,,,,,,,,
281,PT05M00.00S,2024-10-30T23:58:13.7Z,2,REGULAR,3pt,Jump Shot,[],201950,27.808804204993432,24.019607843137255,1610612738,55,45,2024-10-30T23:58:17Z,2750000,False,130.0,209.0,1,left,MISS J. Holiday 24' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,24.6,Missed,,,,,,,,,,,,,,,,,,
282,PT04M57.00S,2024-10-30T23:58:16.7Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,55,45,2024-10-30T23:58:17Z,2760000,False,,,0,,L. Kornet REBOUND (Off:6 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,,281.0,7.0,1.0,6.0,,,,,,,,,,,,,
283,PT04M57.00S,2024-10-30T23:58:18.1Z,2,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612738,55,45,2024-10-30T23:58:25Z,2770000,False,,,0,,I. Jackson shooting personal FOUL (3 PF) (Kornet 2 FT),"[1630543, 1628436]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,202901.0,3.0,0.0,Kornet,1628436.0,,,,,,,
