actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
46,PT07M41.00S,2025-12-05T00:20:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,3.892904073587385,39.21568627450981,1610612738,8,13,2025-12-05T00:20:07Z,460000,False,54.0,-16.0,1,left,N. Queta cutting Layup (6 PTS) (D. White 1 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,5.62,Made,6.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
48,PT07M33.00S,2025-12-05T00:20:15.7Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612764,8,13,2025-12-05T00:20:20Z,480000,False,,,0,,C. McCollum step out-of-bounds TURNOVER (2 TO),[203468],1610612764.0,WAS,step,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,,,,,,,,1628487.0,2.0,,,,,,,,,,,
49,PT07M25.00S,2025-12-05T00:20:28.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,22.421156373193167,89.95098039215686,1610612738,8,13,2025-12-05T00:20:35Z,490000,False,-200.0,158.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
50,PT07M23.00S,2025-12-05T00:20:30.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,8,13,2025-12-05T00:20:35Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,49.0,,,,,,,,,,,,,
51,PT07M23.00S,2025-12-05T00:20:34.2Z,1,REGULAR,foul,personal,[],203468,,,1610612738,8,13,2025-12-05T00:21:08Z,510000,False,,,0,,C. McCollum loose ball personal FOUL (1 PF),"[203468, 1630573]",1610612764.0,WAS,loose ball,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,,,,,1.0,0.0,Hauser,1630573.0,,,,
53,PT07M23.00S,2025-12-05T00:20:41.7Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,8,13,2025-12-05T00:20:47Z,530000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2025-12-05T00:20:41.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,8,13,2025-12-05T00:20:47Z,540000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M13.00S,2025-12-05T00:21:10.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629674,6.389618922470433,47.794117647058826,1610612738,8,15,2025-12-05T00:21:15Z,550000,False,11.0,8.0,1,left,N. Queta cutting DUNK (8 PTS) (D. White 2 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1.34,Made,8.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
57,PT06M59.00S,2025-12-05T00:21:25.0Z,1,REGULAR,foul,personal,['3freethrow'],1629014,,,1610612764,8,15,2025-12-05T00:21:30Z,570000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (McCollum 3 FT),"[1629014, 203468]",1610612738.0,BOS,shooting,,,Simons,A. Simons,,,,,Right Corner 3,24+ Right,,,,,,,,204058.0,,,,,1.0,0.0,McCollum,203468.0,,,,
59,PT06M59.00S,2025-12-05T00:21:51.6Z,1,REGULAR,freethrow,1 of 3,[],203468,,,1610612764,9,15,2025-12-05T00:21:51Z,590000,False,,,0,,C. McCollum Free Throw 1 of 3 (1 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
