actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
194,PT10M20.00S,2022-10-20T00:43:36.5Z,2,REGULAR,foul,personal,[],1630526,,,1610612750,37,30,2022-10-20T00:43:47Z,1930000,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 203497]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Gobert,203497.0
196,PT10M15.00S,2022-10-20T00:44:05.4Z,2,REGULAR,foul,personal,[],1630526,,,1610612750,37,30,2022-10-20T00:44:15Z,1950000,,,0,,J. Robinson-Earl personal FOUL (2 PF),"[1630526, 203497]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2002.0,2.0,0.0,Gobert,203497.0
198,PT10M06.00S,2022-10-20T00:44:25.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627752,6.1268068331143235,94.36274509803921,1610612750,40,30,2022-10-20T00:44:31Z,1970000,-222.0,5.0,1,left,T. Prince 3PT  (5 PTS) (D. Russell 2 AST),"[1627752, 1626156]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,22.19,Made,,,,,,,5.0,,,,D. Russell,1626156.0,2.0,,,,,
201,PT09M45.00S,2022-10-20T00:44:59.2Z,2,REGULAR,2pt,Jump Shot,[],1630544,86.28449408672799,76.22549019607843,1610612760,40,30,2022-10-20T00:45:04Z,2000000,131.0,76.0,1,right,MISS T. Mann 15' pullup Shot,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,15.17,Missed,,,,,,,,,,,,,,,,,,
202,PT09M41.00S,2022-10-20T00:45:03.2Z,2,REGULAR,rebound,offensive,[],1630581,,,1610612760,40,30,2022-10-20T00:45:04Z,2010000,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,201.0,2.0,1.0,1.0,,,,,,,,,,,,
203,PT09M36.00S,2022-10-20T00:45:07.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629647,78.9257555847569,9.558823529411764,1610612760,40,33,2022-10-20T00:45:11Z,2020000,-202.0,146.0,1,right,D. Bazley 24' 3PT  (6 PTS) (J. Giddey 1 AST),"[1629647, 1630581]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Above the Break 3,24+ Left Center,24.92,Made,,,,,,,6.0,,,,J. Giddey,1630581.0,1.0,,,,,
205,PT09M22.00S,2022-10-20T00:45:21.1Z,2,REGULAR,3pt,Jump Shot,[],1629669,21.23850197109067,90.44117647058823,1610612750,40,33,2022-10-20T00:45:31Z,2040000,-202.0,147.0,1,left,MISS J. Nowell 25' 3PT,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
206,PT09M22.00S,2022-10-20T00:45:21.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612750,40,33,2022-10-20T00:45:31Z,2050000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,205.0,,,,,,,,,,,,,,,
207,PT09M22.00S,2022-10-20T00:45:26.0Z,2,REGULAR,foul,personal,[],1630526,,,1610612750,40,33,2022-10-20T00:45:43Z,2060000,,,0,,J. Robinson-Earl loose ball personal FOUL (3 PF),"[1630526, 203497]",1610612760.0,OKC,loose ball,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203591.0,3.0,0.0,Gobert,203497.0
209,PT09M22.00S,2022-10-20T00:45:33.5Z,2,REGULAR,substitution,out,[],1629669,,,1610612750,40,33,2022-10-20T00:45:36Z,2080000,,,0,,SUB out: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT09M22.00S,2022-10-20T00:45:33.5Z,2,REGULAR,substitution,in,[],1627854,,,1610612750,40,33,2022-10-20T00:45:36Z,2090000,,,0,,SUB in: B. Forbes,[1627854],1610612750.0,MIN,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT09M12.00S,2022-10-20T00:45:57.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,8.015768725361367,46.89797794117647,1610612750,40,33,2022-10-20T00:46:26Z,2100000,16.0,23.0,1,left,MISS R. Gobert driving Layup,[203497],1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.76,Missed,,,,,,,,,,,,,,,,,,
212,PT09M10.00S,2022-10-20T00:45:59.4Z,2,REGULAR,rebound,defensive,[],1629647,,,1610612760,40,33,2022-10-20T00:46:26Z,2110000,,,0,,D. Bazley REBOUND (Off:0 Def:3),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,211.0,3.0,3.0,0.0,,,,,,,,,,,,
213,PT09M04.00S,2022-10-20T00:46:04.9Z,2,REGULAR,foul,offensive,[],1630581,,,1610612760,40,33,2022-10-20T00:46:15Z,2120000,,,0,,J. Giddey charge offensive FOUL (1 PF),"[1630581, 1627752]",1610612760.0,OKC,charge,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Prince,1627752.0
215,PT09M04.00S,2022-10-20T00:46:04.9Z,2,REGULAR,turnover,offensive foul,[],1630581,,,1610612760,40,33,2022-10-20T00:46:04Z,2140000,,,0,,J. Giddey offensive foul TURNOVER (2 TO),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2.0,,,,,,2002.0,,,,
216,PT08M57.00S,2022-10-20T00:46:29.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627854,25.04927726675427,15.931372549019606,1610612750,40,33,2022-10-20T00:46:49Z,2150000,170.0,183.0,1,left,MISS B. Forbes 25' 3PT - blocked,"[1627854, 1629647]",1610612750.0,MIN,,,,Forbes,B. Forbes,,,,,Above the Break 3,24+ Right Center,25.0,Missed,Bazley,1629647.0,,,,,,,,,,,,,,,,
217,PT08M57.00S,2022-10-20T00:46:29.0Z,2,REGULAR,block,,[],1629647,,,1610612750,40,33,2022-10-20T00:46:31Z,2160000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
218,PT08M56.00S,2022-10-20T00:46:30.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612750,40,33,2022-10-20T00:46:49Z,2170000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,216.0,,,,,,,,,,,,,,,
220,PT08M48.00S,2022-10-20T00:46:49.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626156,14.4053876478318,43.13725490196079,1610612750,42,33,2022-10-20T00:46:54Z,2190000,34.0,83.0,1,left,D. Russell 8' driving floating Jump Shot (7 PTS),[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,8.97,Made,,,,,,,7.0,,,,,,,,,,,
221,PT08M29.00S,2022-10-20T00:47:07.8Z,2,REGULAR,3pt,Jump Shot,[],1631172,94.69448094612353,3.9215686274509802,1610612760,42,33,2022-10-20T00:47:12Z,2200000,-230.0,-3.0,1,right,MISS O. Dieng 3PT,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
222,PT08M26.00S,2022-10-20T00:47:10.3Z,2,REGULAR,rebound,offensive,[],1629647,,,1610612760,42,33,2022-10-20T00:47:10Z,2210000,,,0,,D. Bazley REBOUND (Off:1 Def:3),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Left Corner 3,24+ Left,,,,,221.0,4.0,3.0,1.0,,,,,,,,,,,,
223,PT08M26.00S,2022-10-20T00:47:11.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629647,94.43166885676742,49.754901960784316,1610612760,42,33,2022-10-20T00:47:16Z,2220000,-1.0,0.0,1,right,MISS D. Bazley putback Layup - blocked,"[1629647, 203497]",1610612760.0,OKC,putback,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,0.12,Missed,Gobert,203497.0,,,,,,,,,,,,,,,,
224,PT08M26.00S,2022-10-20T00:47:11.0Z,2,REGULAR,block,,[],203497,,,1610612760,42,33,2022-10-20T00:47:12Z,2230000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
225,PT08M26.00S,2022-10-20T00:47:11.0Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612750,42,33,2022-10-20T00:47:16Z,2240000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,223.0,1.0,1.0,0.0,,,,,,,,,,,,
226,PT08M15.00S,2022-10-20T00:47:24.6Z,2,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612750,42,33,2022-10-20T00:47:34Z,2250000,,,0,,J. Robinson-Earl shooting personal FOUL (4 PF) (Gobert 2 FT),"[1630526, 203497]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2002.0,4.0,0.0,Gobert,203497.0
228,PT08M15.00S,2022-10-20T00:47:54.7Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,42,33,2022-10-20T00:47:54Z,2270000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
229,PT08M15.00S,2022-10-20T00:47:54.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,42,33,2022-10-20T00:47:54Z,2280000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,,,
230,PT08M15.00S,2022-10-20T00:47:55.2Z,2,REGULAR,substitution,out,[],203937,,,1610612750,42,33,2022-10-20T00:48:09Z,2290000,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M15.00S,2022-10-20T00:47:55.2Z,2,REGULAR,substitution,out,[],1630526,,,1610612750,42,33,2022-10-20T00:48:09Z,2300000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M15.00S,2022-10-20T00:47:55.2Z,2,REGULAR,substitution,in,[],1630183,,,1610612750,42,33,2022-10-20T00:48:09Z,2310000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M15.00S,2022-10-20T00:47:55.2Z,2,REGULAR,substitution,in,[],1630197,,,1610612750,42,33,2022-10-20T00:48:09Z,2320000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT08M15.00S,2022-10-20T00:48:18.4Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,43,33,2022-10-20T00:48:18Z,2330000,,,0,,R. Gobert Free Throw 2 of 2 (7 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
235,PT08M03.00S,2022-10-20T00:48:31.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631172,94.30026281208936,49.01960784313725,1610612760,43,33,2022-10-20T00:48:38Z,2340000,-5.0,1.0,1,right,MISS O. Dieng reverse Layup,[1631172],1610612760.0,OKC,reverse,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,0.5,Missed,,,,,,,,,,,,,,,,,,
236,PT08M01.00S,2022-10-20T00:48:33.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,43,33,2022-10-20T00:48:38Z,2350000,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,235.0,5.0,4.0,1.0,,,,,,,,,,,,
237,PT07M54.00S,2022-10-20T00:48:40.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,10.33180026281209,50.49019607843137,1610612750,43,33,2022-10-20T00:48:46Z,2360000,-2.0,45.0,1,left,MISS D. Russell driving Layup - blocked,"[1626156, 1630581]",1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,4.47,Missed,Giddey,1630581.0,,,,,,,,,,,,,,,,
238,PT07M54.00S,2022-10-20T00:48:40.4Z,2,REGULAR,block,,[],1630581,,,1610612750,43,33,2022-10-20T00:50:03Z,2370000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
239,PT07M51.00S,2022-10-20T00:48:43.4Z,2,REGULAR,rebound,offensive,[],203497,,,1610612750,43,33,2022-10-20T00:48:46Z,2380000,,,0,,R. Gobert REBOUND (Off:2 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,237.0,6.0,4.0,2.0,,,,,,,,,,,,
240,PT07M50.00S,2022-10-20T00:48:43.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,7.046649145860711,50.49019607843137,1610612750,45,33,2022-10-20T00:48:51Z,2390000,-2.0,14.0,1,left,R. Gobert putback Layup (9 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,9.0,,,,,,,,,,,
241,PT07M38.00S,2022-10-20T00:48:55.9Z,2,REGULAR,turnover,bad pass,[],1630581,,,1610612760,45,33,2022-10-20T00:49:00Z,2400000,,,0,,J. Giddey bad pass TURNOVER (3 TO),"[1630581, 1630183]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,3.0,McDaniels,1630183.0,,,,,,,,
242,PT07M38.00S,2022-10-20T00:48:55.9Z,2,REGULAR,steal,,[],1630183,,,1610612750,45,33,2022-10-20T00:48:57Z,2410000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
243,PT07M27.00S,2022-10-20T00:49:07.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,9.543363994743759,94.36274509803921,1610612750,48,33,2022-10-20T00:53:00Z,2420000,-222.0,37.0,1,left,T. Prince 3PT pullup (8 PTS) (R. Gobert 1 AST),"[1627752, 203497]",1610612750.0,MIN,pullup,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,22.49,Made,,,,,,,8.0,,,,R. Gobert,203497.0,1.0,,,,,
245,PT07M24.00S,2022-10-20T00:49:14.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,48,33,2022-10-20T00:49:14Z,2440000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M24.00S,2022-10-20T00:51:25.9Z,2,REGULAR,substitution,out,[],203497,,,1610612760,48,33,2022-10-20T00:51:55Z,2450000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M24.00S,2022-10-20T00:51:25.9Z,2,REGULAR,substitution,out,[],1631172,,,1610612760,48,33,2022-10-20T00:51:55Z,2460000,,,0,,SUB out: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M24.00S,2022-10-20T00:51:25.9Z,2,REGULAR,substitution,in,[],1626157,,,1610612760,48,33,2022-10-20T00:51:55Z,2470000,,,0,,SUB in: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M24.00S,2022-10-20T00:51:25.9Z,2,REGULAR,substitution,in,[],1629652,,,1610612760,48,33,2022-10-20T00:51:55Z,2480000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M07.00S,2022-10-20T00:52:26.3Z,2,REGULAR,3pt,Jump Shot,[],1630544,73.40670170827858,80.3921568627451,1610612760,48,36,2022-10-20T00:52:33Z,2490000,152.0,197.0,1,right,T. Mann 24' 3PT step back (6 PTS) (A. Pokusevski 1 AST),"[1630544, 1630197]",1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,24.92,Made,,,,,,,6.0,,,,A. Pokusevski,1630197.0,1.0,,,,,
253,PT06M51.00S,2022-10-20T00:52:42.1Z,2,REGULAR,3pt,Jump Shot,[],1627854,8.623521681997373,94.36274509803921,1610612750,48,36,2022-10-20T00:52:47Z,2520000,-222.0,29.0,1,left,MISS B. Forbes 3PT,[1627854],1610612750.0,MIN,,,,Forbes,B. Forbes,,,,,Left Corner 3,24+ Left,22.36,Missed,,,,,,,,,,,,,,,,,,
254,PT06M48.00S,2022-10-20T00:52:45.1Z,2,REGULAR,rebound,defensive,[],1630197,,,1610612760,48,36,2022-10-20T00:52:47Z,2530000,,,0,,A. Pokusevski REBOUND (Off:3 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Left Corner 3,24+ Left,,,,,253.0,4.0,1.0,3.0,,,,,,,,,,,,
255,PT06M41.00S,2022-10-20T00:52:52.0Z,2,REGULAR,3pt,Jump Shot,[],1630544,82.47371879106439,91.91176470588235,1610612760,48,36,2022-10-20T00:52:58Z,2540000,210.0,112.0,1,right,MISS T. Mann step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,23.77,Missed,,,,,,,,,,,,,,,,,,
256,PT06M38.00S,2022-10-20T00:52:55.0Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612750,48,36,2022-10-20T00:52:58Z,2550000,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,,255.0,2.0,2.0,0.0,,,,,,,,,,,,
257,PT06M32.00S,2022-10-20T00:53:02.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,7.178055190538765,47.549019607843135,1610612750,48,36,2022-10-20T00:53:08Z,2560000,12.0,15.0,1,left,MISS J. McDaniels reverse Layup,[1630183],1610612750.0,MIN,reverse,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
258,PT06M30.00S,2022-10-20T00:53:04.3Z,2,REGULAR,rebound,defensive,[],1630197,,,1610612760,48,36,2022-10-20T00:53:08Z,2570000,,,0,,A. Pokusevski REBOUND (Off:3 Def:2),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,257.0,5.0,2.0,3.0,,,,,,,,,,,,
259,PT06M17.00S,2022-10-20T00:53:19.1Z,2,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612760,48,36,2022-10-20T00:53:27Z,2580000,,,0,,T. Prince shooting personal FOUL (1 PF) (Bazley 2 FT),"[1627752, 1629647]",1610612750.0,MIN,shooting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Bazley,1629647.0
261,PT06M17.00S,2022-10-20T00:53:48.5Z,2,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,48,37,2022-10-20T00:54:16Z,2600000,,,0,,D. Bazley Free Throw 1 of 2 (7 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
262,PT06M17.00S,2022-10-20T00:53:49.3Z,2,REGULAR,substitution,out,[],1630581,,,1610612760,48,37,2022-10-20T00:53:59Z,2610000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M17.00S,2022-10-20T00:53:49.3Z,2,REGULAR,substitution,out,[],1630197,,,1610612760,48,37,2022-10-20T00:53:59Z,2620000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M17.00S,2022-10-20T00:53:49.3Z,2,REGULAR,substitution,in,[],1629026,,,1610612760,48,37,2022-10-20T00:53:59Z,2630000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M17.00S,2022-10-20T00:53:49.3Z,2,REGULAR,substitution,in,[],1628983,,,1610612760,48,37,2022-10-20T00:53:59Z,2640000,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M17.00S,2022-10-20T00:53:48.5Z,2,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,48,37,2022-10-20T00:54:16Z,2650000,,,0,,MISS D. Bazley Free Throw 2 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
267,PT06M15.00S,2022-10-20T00:53:50.5Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612750,48,37,2022-10-20T00:54:16Z,2660000,,,0,,T. Prince REBOUND (Off:0 Def:3),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,266.0,3.0,3.0,0.0,,,,,,,,,,,,
268,PT05M59.00S,2022-10-20T00:54:29.6Z,2,REGULAR,3pt,Jump Shot,[],1627752,12.959921156373195,5.147058823529411,1610612750,51,37,2022-10-20T00:54:35Z,2670000,224.0,69.0,1,left,T. Prince 3PT  (11 PTS) (K. Towns 6 AST),"[1627752, 1626157]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,23.48,Made,,,,,,,11.0,,,,K. Towns,1626157.0,6.0,,,,,
270,PT05M47.00S,2022-10-20T00:54:45.1Z,2,REGULAR,foul,personal,[],1627854,,,1610612760,51,37,2022-10-20T00:54:52Z,2690000,,,0,,B. Forbes personal FOUL (1 PF),"[1627854, 1628983]",1610612750.0,MIN,,,,Forbes,B. Forbes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Gilgeous-Alexander,1628983.0
272,PT05M47.00S,2022-10-20T00:54:51.8Z,2,REGULAR,substitution,out,[],1627854,,,1610612760,51,37,2022-10-20T00:54:56Z,2710000,,,0,,SUB out: B. Forbes,[1627854],1610612750.0,MIN,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT05M47.00S,2022-10-20T00:54:51.8Z,2,REGULAR,substitution,in,[],1630162,,,1610612760,51,37,2022-10-20T00:54:56Z,2720000,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT05M47.00S,2022-10-20T00:54:51.8Z,2,REGULAR,substitution,out,[],1629647,,,1610612760,51,37,2022-10-20T00:56:28Z,2725000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT05M47.00S,2022-10-20T00:54:51.8Z,2,REGULAR,substitution,in,[],1631114,,,1610612760,51,37,2022-10-20T00:56:28Z,2727500,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT05M40.00S,2022-10-20T00:55:23.6Z,2,REGULAR,2pt,Jump Shot,[],1630544,90.75229960578186,70.09803921568627,1610612760,51,37,2022-10-20T00:55:31Z,2730000,100.0,34.0,1,right,MISS T. Mann 10' pullup Shot,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,10.62,Missed,,,,,,,,,,,,,,,,,,
275,PT05M35.00S,2022-10-20T00:55:28.5Z,2,REGULAR,rebound,offensive,[],1629652,,,1610612760,51,37,2022-10-20T00:55:28Z,2740000,,,0,,L. Dort REBOUND (Off:2 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Right,,,,,274.0,3.0,1.0,2.0,,,,,,,,,,,,
276,PT05M35.00S,2022-10-20T00:55:28.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629652,94.40999984741211,50.0,1610612760,51,39,2022-10-20T00:55:28Z,2750000,0.0,0.0,1,right,L. Dort tip Layup (2 PTS),[1629652],1610612760.0,OKC,tip,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
277,PT05M18.00S,2022-10-20T00:55:45.9Z,2,REGULAR,3pt,Jump Shot,[],1626157,8.754927726675426,94.6078431372549,1610612750,51,39,2022-10-20T00:55:50Z,2760000,-223.0,30.0,1,left,MISS K. Towns 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,22.5,Missed,,,,,,,,,,,,,,,,,,
278,PT05M16.00S,2022-10-20T00:55:47.9Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,51,39,2022-10-20T00:55:50Z,2770000,,,0,,K. Williams REBOUND (Off:1 Def:4),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Left Corner 3,24+ Left,,,,,277.0,5.0,4.0,1.0,,,,,,,,,,,,
