actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
85,PT04M08.00S,2023-03-08T00:46:53.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,22,17,2023-03-08T00:46:56Z,850000,False,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,84.0,5.0,5.0,0.0,,,,
87,PT03M56.00S,2023-03-08T00:47:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,4.5499342969776615,95.09803921568627,1610612750,22,17,2023-03-08T00:47:08Z,860000,False,-225.0,-10.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,,,,,22.57,Missed,,,,,,,,,,,,,,
88,PT03M54.00S,2023-03-08T00:47:07.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,22,17,2023-03-08T00:47:08Z,870000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,
89,PT03M45.00S,2023-03-08T00:47:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630178,94.03745072273325,51.9607843137255,1610612755,22,19,2023-03-08T00:47:33Z,880000,False,10.0,4.0,1,right,T. Maxey driving Layup (7 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,1.04,Made,7.0,,,,,,,,,,,,,
90,PT03M45.00S,2023-03-08T00:47:26.5Z,1,REGULAR,violation,defensive goaltending,[],203497,,,1610612755,22,19,2023-03-08T00:47:33Z,890000,False,,,0,,R. Gobert defensive goaltending VIOLATION,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,202026.0,,,,,,,,,,,,,,,,
91,PT03M33.00S,2023-03-08T00:47:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,13.222733245729303,50.98039215686274,1610612750,22,19,2023-03-08T00:47:53Z,900000,False,-5.0,72.0,1,left,MISS A. Edwards 7' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.2,Missed,,,,,,,,,,,,,,
92,PT03M31.00S,2023-03-08T00:47:50.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,22,19,2023-03-08T00:47:53Z,910000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,
93,PT03M22.00S,2023-03-08T00:47:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,95.6143232588699,96.81372549019608,1610612755,22,19,2023-03-08T00:48:04Z,920000,False,234.0,-11.0,1,right,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,,23.44,Missed,,,,,,,,,,,,,,
94,PT03M19.00S,2023-03-08T00:48:02.7Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,22,19,2023-03-08T00:48:04Z,930000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,93.0,1.0,1.0,0.0,,,,
95,PT03M12.00S,2023-03-08T00:48:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,9.149145860709593,50.98039215686274,1610612750,22,19,2023-03-08T00:48:14Z,940000,False,-5.0,34.0,1,left,MISS R. Gobert reverse Layup,[203497],1610612750.0,MIN,reverse,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,3.39,Missed,,,,,,,,,,,,,,
96,PT03M11.00S,2023-03-08T00:48:10.3Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,22,19,2023-03-08T00:48:14Z,950000,False,,,0,,D. Melton REBOUND (Off:1 Def:3),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,95.0,4.0,3.0,1.0,,,,
97,PT03M05.00S,2023-03-08T00:48:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,70.64717477003943,26.47058823529412,1610612755,22,22,2023-03-08T01:00:12Z,960000,False,-118.0,223.0,1,right,D. Melton 25' 3PT running (6 PTS) (T. Harris 2 AST),"[1629001, 202699]",1610612755.0,PHI,running,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,25.25,Made,6.0,T. Harris,202699.0,2.0,,,,,,,,,,
99,PT03M03.00S,2023-03-08T00:48:22.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,22,22,2023-03-08T00:48:22Z,980000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,22,22,2023-03-08T00:51:27Z,990000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,out,[],203497,,,1610612750,22,22,2023-03-08T00:51:27Z,1000000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612750,22,22,2023-03-08T00:51:27Z,1010000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,out,[],202699,,,1610612750,22,22,2023-03-08T00:51:27Z,1020000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,out,[],200782,,,1610612750,22,22,2023-03-08T00:51:27Z,1030000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,22,22,2023-03-08T00:51:27Z,1040000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,22,22,2023-03-08T00:51:27Z,1050000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,in,[],1629003,,,1610612750,22,22,2023-03-08T00:51:27Z,1060000,False,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,in,[],1629667,,,1610612750,22,22,2023-03-08T00:51:27Z,1070000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M03.00S,2023-03-08T00:51:14.5Z,1,REGULAR,substitution,in,[],1627777,,,1610612750,22,22,2023-03-08T00:51:27Z,1080000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M47.00S,2023-03-08T00:52:03.9Z,1,REGULAR,3pt,Jump Shot,[],1627752,11.514454664914586,94.6078431372549,1610612750,22,22,2023-03-08T00:52:08Z,1090000,False,-223.0,56.0,1,left,MISS T. Prince 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,,22.99,Missed,,,,,,,,,,,,,,
111,PT02M45.00S,2023-03-08T00:52:05.9Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,22,22,2023-03-08T00:52:08Z,1100000,False,,,0,,D. Melton REBOUND (Off:1 Def:4),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,110.0,5.0,4.0,1.0,,,,
112,PT02M33.00S,2023-03-08T00:52:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1629003,,,1610612755,22,22,2023-03-08T00:52:26Z,1110000,False,,,0,,S. Milton bad pass out-of-bounds TURNOVER (1 TO),[1629003],1610612755.0,PHI,bad pass,,,Milton,S. Milton,,,,,Mid-Range,16-24 Left Center,1.0,,,202026.0,,,,,,,,,,,,,,,,
113,PT02M16.00S,2023-03-08T00:52:49.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629675,33.327858081471746,57.107843137254896,1610612750,22,22,2023-03-08T00:52:55Z,1120000,False,-36.0,261.0,1,left,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,26.32,Missed,,,,,,,,,,,,,,
114,PT02M14.00S,2023-03-08T00:52:51.5Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612755,22,22,2023-03-08T00:52:55Z,1130000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,
115,PT01M51.00S,2023-03-08T00:53:14.7Z,1,REGULAR,2pt,Jump Shot,[],203954,81.68528252299606,32.59803921568628,1610612755,22,22,2023-03-08T00:53:21Z,1140000,False,-87.0,120.0,1,right,MISS J. Embiid 14' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,14.8,Missed,,,,,,,,,,,,,,
116,PT01M47.00S,2023-03-08T00:53:18.7Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,22,22,2023-03-08T00:53:21Z,1150000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,
117,PT01M38.00S,2023-03-08T00:53:27.5Z,1,REGULAR,2pt,Hook,[],1629675,13.091327201051248,31.127450980392158,1610612750,22,22,2023-03-08T01:03:45Z,1160000,False,94.0,71.0,1,left,MISS N. Reid 11' driving bank Hook,[1629675],1610612750.0,MIN,driving bank,,,Reid,N. Reid,,,,,Mid-Range,8-16 Right,,,,,11.79,Missed,,,,,,,,,,,,,,
118,PT01M36.00S,2023-03-08T00:53:29.5Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,22,22,2023-03-08T00:53:31Z,1170000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,117.0,1.0,1.0,0.0,,,,
119,PT01M14.00S,2023-03-08T00:53:52.1Z,1,REGULAR,2pt,Jump Shot,[],203954,79.58278580814718,70.83333333333334,1610612755,22,22,2023-03-08T00:53:59Z,1180000,False,104.0,139.0,1,right,MISS J. Embiid 17' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,17.4,Missed,,,,,,,,,,,,,,
120,PT01M12.00S,2023-03-08T00:53:54.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,22,22,2023-03-08T00:53:59Z,1190000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,119.0,,,,,,,
122,PT01M12.00S,2023-03-08T00:54:09.6Z,1,REGULAR,substitution,out,[],1629001,,,1610612750,22,22,2023-03-08T00:54:14Z,1210000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M12.00S,2023-03-08T00:54:09.6Z,1,REGULAR,substitution,out,[],203954,,,1610612750,22,22,2023-03-08T00:54:14Z,1220000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M12.00S,2023-03-08T00:54:09.6Z,1,REGULAR,substitution,in,[],1630194,,,1610612750,22,22,2023-03-08T00:54:14Z,1230000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M12.00S,2023-03-08T00:54:09.6Z,1,REGULAR,substitution,in,[],1627863,,,1610612750,22,22,2023-03-08T00:54:14Z,1240000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT00M58.80S,2023-03-08T00:54:27.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.042706964520367,24.509803921568626,1610612750,22,22,2023-03-08T00:54:32Z,1250000,False,127.0,230.0,1,left,MISS A. Edwards 26' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,26.29,Missed,,,,,,,,,,,,,,
127,PT00M56.40S,2023-03-08T00:54:29.6Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,22,22,2023-03-08T00:54:32Z,1260000,False,,,0,,G. Niang REBOUND (Off:0 Def:2),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,126.0,2.0,2.0,0.0,,,,
128,PT00M40.00S,2023-03-08T00:54:46.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,82.07950065703022,6.61764705882353,1610612755,22,22,2023-03-08T00:54:52Z,1270000,False,-217.0,116.0,1,right,MISS G. Niang 24' step back 3PT,[1627777],1610612755.0,PHI,step back,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,,,,,24.6,Missed,,,,,,,,,,,,,,
129,PT00M36.50S,2023-03-08T00:54:49.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,22,22,2023-03-08T00:54:52Z,1280000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,128.0,2.0,2.0,0.0,,,,
130,PT00M29.90S,2023-03-08T00:54:58.2Z,1,REGULAR,foul,personal,[],1629667,,,1610612750,22,22,2023-03-08T00:55:20Z,1290000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1629667, 1630162]",1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right Center,,,,2004.0,,,,,,,,,,,,,1.0,0.0,Edwards,1630162.0
132,PT00M26.20S,2023-03-08T00:55:28.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630162,7.440867279894875,50.98039215686274,1610612750,24,22,2023-03-08T00:55:34Z,1310000,False,-5.0,17.0,1,left,A. Edwards driving DUNK (12 PTS) (J. McLaughlin 1 AST),"[1630162, 1629162]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,1.81,Made,12.0,J. McLaughlin,1629162.0,1.0,,,,,,,,,,
133,PT00M26.20S,2023-03-08T00:55:31.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629667,,,1610612750,24,22,2023-03-08T00:55:36Z,1320000,False,,,0,,J. McDaniels shooting personal FOUL (2 PF) (Edwards 1 FT),"[1629667, 1630162]",1610612755.0,PHI,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,202026.0,,,,,,,,,,,,,2.0,0.0,Edwards,1630162.0
135,PT00M26.20S,2023-03-08T00:56:00.0Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,25,22,2023-03-08T00:56:00Z,1340000,False,,,0,,A. Edwards Free Throw 1 of 1 (13 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,Made,13.0,,,,,,,,,,,,,
136,PT00M08.70S,2023-03-08T00:56:19.8Z,1,REGULAR,2pt,Jump Shot,[],1627777,93.77463863337714,76.47058823529412,1610612755,25,24,2023-03-08T00:56:24Z,1350000,False,132.0,6.0,1,right,G. Niang 13' pullup Jump Shot (2 PTS) (S. Milton 1 AST),"[1627777, 1629003]",1610612755.0,PHI,pullup,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,,,,,13.25,Made,2.0,S. Milton,1629003.0,1.0,,,,,,,,,,
138,PT00M03.20S,2023-03-08T00:56:35.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630194,,,1610612750,25,24,2023-03-08T00:56:42Z,1370000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Edwards 2 FT),"[1630194, 1630162]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Left,,,,2005.0,,,,,,,,,,,,,1.0,0.0,Edwards,1630162.0
140,PT00M03.20S,2023-03-08T00:56:56.0Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,26,24,2023-03-08T00:56:56Z,1390000,False,,,0,,A. Edwards Free Throw 1 of 2 (14 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,Made,14.0,,,,,,,,,,,,,
141,PT00M03.20S,2023-03-08T00:57:09.2Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,27,24,2023-03-08T00:57:09Z,1400000,False,,,0,,A. Edwards Free Throw 2 of 2 (15 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,Made,15.0,,,,,,,,,,,,,
142,PT00M00.50S,2023-03-08T00:57:17.7Z,1,REGULAR,foul,personal,[],1629638,,,1610612755,27,24,2023-03-08T00:57:30Z,1410000,False,,,0,,N. Alexander-Walker take personal FOUL (1 PF),"[1629638, 1629003]",1610612750.0,MIN,take,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,,2004.0,,,,,,,,,,,,,1.0,0.0,Milton,1629003.0
144,PT00M00.00S,2023-03-08T00:57:35.8Z,1,REGULAR,period,end,[],0,,,1610612755,27,24,2023-03-08T00:57:35Z,1430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2023-03-08T01:00:43.9Z,2,REGULAR,substitution,out,['startperiod'],1630162,,,1610612755,27,24,2023-03-08T01:00:58Z,1440000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2023-03-08T01:00:43.9Z,2,REGULAR,substitution,in,['startperiod'],203937,,,1610612755,27,24,2023-03-08T01:00:58Z,1450000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2023-03-08T01:01:12.2Z,2,REGULAR,period,start,[],0,,,1610612755,27,24,2023-03-08T01:01:12Z,1460000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M49.00S,2023-03-08T01:01:23.1Z,2,REGULAR,3pt,Jump Shot,[],1627777,67.62483574244416,35.294117647058826,1610612755,27,24,2023-03-08T01:01:28Z,1470000,False,-74.0,252.0,1,right,MISS G. Niang 26' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,,,,26.23,Missed,,,,,,,,,,,,,,
149,PT11M44.00S,2023-03-08T01:01:28.1Z,2,REGULAR,rebound,defensive,[],203937,,,1610612750,27,24,2023-03-08T01:01:28Z,1480000,False,,,0,,K. Anderson REBOUND (Off:0 Def:3),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,148.0,3.0,3.0,0.0,,,,
150,PT11M25.00S,2023-03-08T01:01:45.3Z,2,REGULAR,3pt,Jump Shot,[],1629162,31.488173455978973,29.65686274509804,1610612750,27,24,2023-03-08T01:01:50Z,1490000,False,102.0,243.0,1,left,MISS J. McLaughlin 26' 3PT,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Right Center,,,,,26.39,Missed,,,,,,,,,,,,,,
151,PT11M23.00S,2023-03-08T01:01:47.3Z,2,REGULAR,rebound,offensive,[],1629638,,,1610612750,27,24,2023-03-08T01:01:50Z,1500000,False,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:0),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,150.0,1.0,0.0,1.0,,,,
152,PT11M18.00S,2023-03-08T01:01:53.4Z,2,REGULAR,turnover,bad pass,[],1627752,,,1610612750,27,24,2023-03-08T01:01:56Z,1510000,False,,,0,,T. Prince bad pass TURNOVER (1 TO),"[1627752, 1630194]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Left Center,1.0,Reed,1630194.0,,,,,,,,,,,,,,,,,
153,PT11M18.00S,2023-03-08T01:01:53.4Z,2,REGULAR,steal,,[],1630194,,,1610612755,27,24,2023-03-08T01:12:22Z,1520000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
154,PT11M13.00S,2023-03-08T01:01:58.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627863,92.9862023653088,49.50980392156863,1610612755,27,26,2023-03-08T01:02:04Z,1530000,False,-2.0,13.0,1,right,D. House Jr. running Layup (2 PTS),[1627863],1610612755.0,PHI,running,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,,1.36,Made,2.0,,,,,,,,,,,,,
155,PT10M59.00S,2023-03-08T01:02:11.8Z,2,REGULAR,3pt,Jump Shot,[],1629638,9.017739816031538,4.166666666666666,1610612750,27,26,2023-03-08T01:02:18Z,1540000,False,229.0,32.0,1,left,MISS N. Alexander-Walker 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,,23.15,Missed,,,,,,,,,,,,,,
156,PT10M54.00S,2023-03-08T01:02:16.8Z,2,REGULAR,rebound,offensive,[],203937,,,1610612750,27,26,2023-03-08T01:02:36Z,1550000,False,,,0,,K. Anderson REBOUND (Off:1 Def:3),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,155.0,4.0,3.0,1.0,,,,
157,PT10M53.00S,2023-03-08T01:02:17.6Z,2,REGULAR,2pt,Jump Shot,"['2ndchance', 'pointsinthepaint']",203937,9.674770039421814,49.754901960784316,1610612750,29,26,2023-03-08T01:02:33Z,1560000,False,1.0,38.0,1,left,K. Anderson Jump Shot (2 PTS),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,3.84,Made,2.0,,,,,,,,,,,,,
158,PT10M44.00S,2023-03-08T01:02:29.1Z,2,REGULAR,foul,personal,['2freethrow'],1629162,,,1610612755,29,26,2023-03-08T01:02:35Z,1570000,False,,,0,,J. McLaughlin shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1629162, 1629667]",1610612750.0,MIN,shooting,,,McLaughlin,J. McLaughlin,,,,,Mid-Range,8-16 Right,,,,202026.0,,,,,,,,,,,,,1.0,0.0,McDaniels,1629667.0
160,PT10M44.00S,2023-03-08T01:02:56.2Z,2,REGULAR,freethrow,1 of 2,[],1629667,,,1610612755,29,26,2023-03-08T01:02:56Z,1590000,False,,,0,,MISS J. McDaniels Free Throw 1 of 2,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
161,PT10M44.00S,2023-03-08T01:02:56.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,29,26,2023-03-08T01:02:56Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,
162,PT10M44.00S,2023-03-08T01:03:08.9Z,2,REGULAR,freethrow,2 of 2,[],1629667,,,1610612755,29,27,2023-03-08T01:03:08Z,1610000,False,,,0,,J. McDaniels Free Throw 2 of 2 (1 PTS),[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
163,PT10M30.00S,2023-03-08T01:03:26.8Z,2,REGULAR,foul,personal,[],1629667,,,1610612750,29,27,2023-03-08T01:03:46Z,1620000,False,,,0,,J. McDaniels personal FOUL (3 PF),"[1629667, 1629675]",1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,202026.0,,,,,,,,,,,,,3.0,0.0,Reid,1629675.0
165,PT10M26.00S,2023-03-08T01:03:48.9Z,2,REGULAR,3pt,Jump Shot,[],1629675,11.514454664914586,96.07843137254902,1610612750,32,27,2023-03-08T01:03:53Z,1640000,False,-230.0,56.0,1,left,N. Reid 3PT  (3 PTS) (K. Anderson 1 AST),"[1629675, 203937]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,,,,,23.7,Made,3.0,K. Anderson,203937.0,1.0,,,,,,,,,,
167,PT10M14.00S,2023-03-08T01:04:00.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,93.9060446780552,50.49019607843137,1610612755,32,29,2023-03-08T01:04:04Z,1660000,False,2.0,5.0,1,right,S. Milton driving Layup (2 PTS),[1629003],1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,0.54,Made,2.0,,,,,,,,,,,,,
