actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
615,PT02M27.00S,2023-01-03T03:13:20.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203937,92.9862023653088,53.431372549019606,1610612750,114,105,2023-01-03T03:13:29Z,6110000,False,17.0,13.0,1,right,MISS K. Anderson driving Layup,[203937],1610612750.0,MIN,driving,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,2.18,Missed,,,,,,,,,,,,,,,,,,
616,PT02M26.00S,2023-01-03T03:13:24.9Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612750,114,105,2023-01-03T03:13:25Z,6120000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,615.0,,,,,,,,,,,,,,,,,
618,PT02M25.00S,2023-01-03T03:13:45.4Z,4,REGULAR,foul,personal,['2freethrow'],203484,,,1610612750,114,105,2023-01-03T03:13:56Z,6140000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (4 PF) (McDaniels 2 FT),"[203484, 1630183]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,4.0,0.0,McDaniels,1630183.0,,,,,,
620,PT02M25.00S,2023-01-03T03:14:12.6Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],1630183,,,1610612750,114,105,2023-01-03T03:14:12Z,6160000,False,,,0,,MISS J. McDaniels Free Throw 1 of 2,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
621,PT02M25.00S,2023-01-03T03:14:12.6Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,114,105,2023-01-03T03:14:12Z,6170000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,,,
622,PT02M25.00S,2023-01-03T03:14:26.2Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],1630183,,,1610612750,115,105,2023-01-03T03:14:26Z,6180000,False,,,0,,J. McDaniels Free Throw 2 of 2 (18 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,,,,18.0,,,,,
623,PT02M15.00S,2023-01-03T03:14:38.5Z,4,REGULAR,3pt,Jump Shot,[],203932,5.995400788436268,95.09803921568627,1610612743,115,105,2023-01-03T03:14:43Z,6190000,False,-225.0,4.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,22.55,Missed,,,,,,,,,,,,,,,,,,
624,PT02M12.00S,2023-01-03T03:14:41.7Z,4,REGULAR,rebound,offensive,[],203932,,,1610612743,115,105,2023-01-03T03:14:41Z,6200000,False,,,0,,A. Gordon REBOUND (Off:12 Def:4),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,,,623.0,16.0,4.0,12.0,,,,,,,,,,,,,,
625,PT02M10.00S,2023-01-03T03:14:45.7Z,4,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",203999,11.514454664914586,46.81372549019608,1610612743,115,107,2023-01-03T03:15:07Z,6210000,False,16.0,56.0,1,left,N. Jokic turnaround Hook (24 PTS) (A. Gordon 6 AST),"[203999, 203932]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.79,Made,,,,,,,,,,,,,24.0,A. Gordon,203932.0,6.0,,
627,PT02M10.00S,2023-01-03T03:14:51.2Z,4,REGULAR,violation,defensive goaltending,[],203497,,,1610612743,115,107,2023-01-03T03:15:07Z,6230000,False,,,0,,R. Gobert defensive goaltending VIOLATION,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,203593.0,,,,,,,,,,
