actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
87,PT05M36.00S,2022-11-26T01:27:03.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,20,9,2022-11-26T01:27:04Z,840000,False,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),8-16 Center,,,86.0,4.0,3.0,1.0,,,,,,,,,,,,,
88,PT05M33.00S,2022-11-26T01:27:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,92.85479632063075,48.03921568627451,1610612763,22,9,2022-11-26T01:27:12Z,850000,False,-10.0,15.0,1,right,J. Morant driving finger roll Layup (4 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,1.77,Made,,,,,4.0,,,,,,,,,,,,
89,PT05M33.00S,2022-11-26T01:27:11.0Z,1,REGULAR,foul,personal,['1freethrow'],1630530,,,1610612763,22,9,2022-11-26T01:27:18Z,860000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Morant 1 FT),"[1630530, 1629630]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,203177.0,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,0.0,Morant,1629630.0,,,,
91,PT05M33.00S,2022-11-26T01:27:31.6Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629630,,,1610612763,22,9,2022-11-26T01:27:31Z,880000,False,,,0,,MISS J. Morant Free Throw 1 of 1,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
92,PT05M30.00S,2022-11-26T01:27:33.8Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,22,9,2022-11-26T01:27:33Z,890000,False,,,0,,S. Adams REBOUND (Off:2 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,91.0,5.0,3.0,2.0,,,,,,,,,,,,,
93,PT05M30.00S,2022-11-26T01:27:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,22,9,2022-11-26T01:27:33Z,900000,False,0.0,0.0,1,right,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,
94,PT05M28.00S,2022-11-26T01:27:35.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,22,9,2022-11-26T01:27:35Z,910000,False,,,0,,S. Adams REBOUND (Off:3 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Mid-Range,8-16 Left,,,93.0,6.0,3.0,3.0,,,,,,,,,,,,,
95,PT05M28.00S,2022-11-26T01:27:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,24,9,2022-11-26T01:27:35Z,920000,False,0.0,0.0,1,right,S. Adams putback Layup (8 PTS),[203500],1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,8.0,,,,,,,,,,,,
96,PT05M16.00S,2022-11-26T01:27:47.1Z,1,REGULAR,3pt,Jump Shot,[],1626204,5.601182654402102,3.9215686274509802,1610612740,24,9,2022-11-26T01:27:50Z,930000,False,230.0,0.0,1,left,MISS L. Nance Jr. 3PT,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,
97,PT05M13.00S,2022-11-26T01:27:50.1Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,24,9,2022-11-26T01:27:50Z,940000,False,,,0,,J. Konchar REBOUND (Off:0 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Right Corner 3,24+ Right,,,96.0,2.0,2.0,0.0,,,,,,,,,,,,,
98,PT05M08.00S,2022-11-26T01:27:55.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,70.90998685939553,22.30392156862745,1610612763,27,9,2022-11-26T01:28:03Z,950000,False,-138.0,221.0,1,right,T. Jones 26' 3PT running (3 PTS) (J. Morant 4 AST),"[1626145, 1629630]",1610612763.0,MEM,running,,,Jones,T. Jones,,,,,,Above the Break 3,24+ Left Center,26.07,Made,,,,,3.0,J. Morant,1629630.0,4.0,,,,,,,,,
100,PT04M57.00S,2022-11-26T01:28:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,19.530223390275953,37.5,1610612740,27,9,2022-11-26T01:28:10Z,970000,False,62.0,131.0,1,left,MISS B. Ingram 14' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,In The Paint (Non-RA),8-16 Center,14.52,Missed,,,,,,,,,,,,,,,,,
101,PT04M54.00S,2022-11-26T01:28:09.8Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,27,9,2022-11-26T01:28:09Z,980000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,In The Paint (Non-RA),8-16 Center,,,100.0,1.0,0.0,1.0,,,,,,,,,,,,,
102,PT04M52.00S,2022-11-26T01:28:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630530,7.178055190538765,49.01960784313725,1610612740,27,11,2022-11-26T01:28:15Z,990000,False,5.0,15.0,1,left,T. Murphy III putback Layup (2 PTS),[1630530],1610612740.0,NOP,putback,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,1.58,Made,,,,,2.0,,,,,,,,,,,,
103,PT04M36.00S,2022-11-26T01:28:27.1Z,1,REGULAR,3pt,Jump Shot,[],1631223,68.15045992115637,71.32352941176471,1610612763,27,11,2022-11-26T01:28:31Z,1000000,False,107.0,247.0,1,right,MISS D. Roddy 26' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,
104,PT04M33.00S,2022-11-26T01:28:30.1Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,27,11,2022-11-26T01:28:31Z,1010000,False,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Above the Break 3,24+ Right Center,,,103.0,2.0,1.0,1.0,,,,,,,,,,,,,
105,PT04M23.00S,2022-11-26T01:28:40.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,64.33968462549278,21.07843137254902,1610612763,27,11,2022-11-26T01:28:44Z,1020000,False,-145.0,283.0,1,right,MISS J. Morant 31' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Above the Break 3,24+ Left Center,31.75,Missed,,,,,,,,,,,,,,,,,
106,PT04M20.00S,2022-11-26T01:28:43.6Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,27,11,2022-11-26T01:28:44Z,1030000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Above the Break 3,24+ Left Center,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,
107,PT04M17.00S,2022-11-26T01:28:46.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630530,5.732588699080158,50.73529411764706,1610612740,27,13,2022-11-26T01:28:58Z,1040000,False,-4.0,1.0,1,left,T. Murphy III running DUNK (4 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,4.0,J. Alvarado,1630631.0,1.0,,,,,,,,,
109,PT03M56.00S,2022-11-26T01:29:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.59198423127464,46.81372549019608,1610612763,29,13,2022-11-26T01:29:10Z,1060000,False,-16.0,17.0,1,right,J. Morant driving finger roll Layup (6 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,6.0,,,,,,,,,,,,
110,PT03M44.00S,2022-11-26T01:29:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,35.03613666228647,22.794117647058822,1610612740,29,13,2022-11-26T01:29:23Z,1070000,False,136.0,277.0,1,left,MISS T. Murphy III 30' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Right Center,30.84,Missed,,,,,,,,,,,,,,,,,
111,PT03M41.00S,2022-11-26T01:29:22.1Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,29,13,2022-11-26T01:29:23Z,1080000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Above the Break 3,24+ Right Center,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,,
112,PT03M35.00S,2022-11-26T01:29:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.38042049934296,45.83333333333333,1610612763,31,13,2022-11-26T01:29:35Z,1090000,False,-21.0,10.0,1,right,J. Morant driving finger roll Layup (8 PTS) (T. Jones 1 AST),"[1629630, 1626145]",1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,2.3,Made,,,,,8.0,T. Jones,1626145.0,1.0,,,,,,,,,
114,PT03M26.00S,2022-11-26T01:29:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.469776609724048,50.0,1610612740,31,15,2022-11-26T01:29:41Z,1110000,False,0.0,-1.0,1,left,Z. Williamson alley-oop Layup (2 PTS) (J. Alvarado 2 AST),"[1629627, 1630631]",1610612740.0,NOP,alley-oop,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,0.11,Made,,,,,2.0,J. Alvarado,1630631.0,2.0,,,,,,,,,
116,PT03M10.00S,2022-11-26T01:29:53.1Z,1,REGULAR,2pt,Jump Shot,[],1629630,90.3580814717477,68.13725490196079,1610612763,31,15,2022-11-26T01:29:57Z,1130000,False,91.0,38.0,1,right,MISS J. Morant 9' driving floating Shot - blocked,"[1629630, 1626204]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,,Mid-Range,8-16 Right,9.84,Missed,,,,,,,,,,,,,,Nance Jr.,1626204.0,,
117,PT03M10.00S,2022-11-26T01:29:53.1Z,1,REGULAR,block,,[],1626204,,,1610612763,31,15,2022-11-26T01:29:55Z,1140000,False,,,0,,L. Nance Jr. BLOCK (1 BLK),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
118,PT03M09.00S,2022-11-26T01:29:54.1Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,31,15,2022-11-26T01:29:57Z,1150000,False,,,0,,J. Morant REBOUND (Off:2 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Mid-Range,8-16 Right,,,116.0,3.0,1.0,2.0,,,,,,,,,,,,,
119,PT03M09.00S,2022-11-26T01:30:06.6Z,1,REGULAR,foul,personal,[],1626204,,,1610612763,31,15,2022-11-26T01:30:11Z,1160000,False,,,0,,L. Nance Jr. personal FOUL (1 PF),"[1626204, 1629630]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,101284.0,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,0.0,Morant,1629630.0,,,,
121,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,out,[],203500,,,1610612763,31,15,2022-11-26T01:30:24Z,1180000,False,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,out,[],1629627,,,1610612763,31,15,2022-11-26T01:30:24Z,1190000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,out,[],1630631,,,1610612763,31,15,2022-11-26T01:30:24Z,1200000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,31,15,2022-11-26T01:30:24Z,1210000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,in,[],1630230,,,1610612763,31,15,2022-11-26T01:30:24Z,1220000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M09.00S,2022-11-26T01:30:14.0Z,1,REGULAR,substitution,in,[],1628984,,,1610612763,31,15,2022-11-26T01:30:24Z,1230000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M03.00S,2022-11-26T01:30:32.5Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,31,15,2022-11-26T01:30:36Z,1240000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1628984]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,,,,,,,Graham,1628984.0
128,PT03M03.00S,2022-11-26T01:30:32.5Z,1,REGULAR,steal,,[],1628984,,,1610612740,31,15,2022-11-26T01:30:34Z,1250000,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,
129,PT02M55.00S,2022-11-26T01:30:39.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626204,6.389618922470433,48.77450980392157,1610612740,31,17,2022-11-26T01:30:44Z,1260000,False,6.0,8.0,1,left,L. Nance Jr. cutting DUNK (2 PTS) (B. Ingram 2 AST),"[1626204, 1627742]",1610612740.0,NOP,cutting,,,Nance Jr.,L. Nance Jr.,,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,2.0,B. Ingram,1627742.0,2.0,,,,,,,,,
131,PT02M41.00S,2022-11-26T01:30:53.8Z,1,REGULAR,2pt,Jump Shot,[],1629634,90.48948751642575,30.392156862745097,1610612763,33,17,2022-11-26T01:30:59Z,1280000,False,-98.0,37.0,1,right,B. Clarke 10' floating Jump Shot (2 PTS),[1629634],1610612763.0,MEM,floating,,,Clarke,B. Clarke,,,,,,Mid-Range,8-16 Left,10.47,Made,,,,,2.0,,,,,,,,,,,,
132,PT02M31.00S,2022-11-26T01:31:05.8Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,33,17,2022-11-26T01:31:10Z,1290000,False,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (2 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,203177.0,Mid-Range,16-24 Center,,,,,,,,,,,2.0,,,,,,,,
133,PT02M31.00S,2022-11-26T01:31:09.3Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,33,17,2022-11-26T01:31:26Z,1300000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M31.00S,2022-11-26T01:31:09.3Z,1,REGULAR,substitution,out,[],1629723,,,1610612763,33,17,2022-11-26T01:31:26Z,1310000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M31.00S,2022-11-26T01:31:09.3Z,1,REGULAR,substitution,in,[],1628415,,,1610612763,33,17,2022-11-26T01:31:26Z,1320000,False,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M31.00S,2022-11-26T01:31:09.3Z,1,REGULAR,substitution,in,[],1631222,,,1610612763,33,17,2022-11-26T01:31:26Z,1330000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M17.00S,2022-11-26T01:31:38.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,69.72733245729303,22.794117647058822,1610612763,36,17,2022-11-26T01:31:41Z,1340000,False,-136.0,232.0,1,right,D. Brooks 26' 3PT pullup (9 PTS),[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Left Center,26.9,Made,,,,,9.0,,,,,,,,,,,,
138,PT01M54.00S,2022-11-26T01:32:02.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,13.748357424441524,69.36274509803921,1610612740,36,17,2022-11-26T01:32:41Z,1350000,False,-97.0,77.0,1,left,MISS B. Ingram 12' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,Mid-Range,8-16 Left,12.35,Missed,,,,,,,,,,,,,,,,,
139,PT01M50.00S,2022-11-26T01:32:06.0Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,36,17,2022-11-26T01:32:08Z,1360000,False,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,Mid-Range,8-16 Left,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,
140,PT01M48.00S,2022-11-26T01:32:08.5Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612763,36,17,2022-11-26T01:32:54Z,1370000,False,,,0,,T. Murphy III shooting personal FOUL (2 PF) (Brooks 2 FT),"[1630530, 1628415]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,203177.0,Restricted Area,0-8 Center,,,,,,,,,,,,2.0,0.0,Brooks,1628415.0,,,,
142,PT01M48.00S,2022-11-26T01:32:36.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628415,,,1610612763,37,17,2022-11-26T01:33:04Z,1390000,False,,,0,,D. Brooks Free Throw 1 of 2 (10 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,
143,PT01M48.00S,2022-11-26T01:32:37.5Z,1,REGULAR,substitution,out,[],1631223,,,1610612763,37,17,2022-11-26T01:32:42Z,1400000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M48.00S,2022-11-26T01:32:37.5Z,1,REGULAR,substitution,in,[],1628991,,,1610612763,37,17,2022-11-26T01:32:42Z,1410000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M48.00S,2022-11-26T01:32:36.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628415,,,1610612763,38,17,2022-11-26T01:33:04Z,1420000,False,,,0,,D. Brooks Free Throw 2 of 2 (11 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,
146,PT01M33.00S,2022-11-26T01:33:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,8.492115637319317,96.32352941176471,1610612740,38,20,2022-11-26T01:33:20Z,1430000,False,-232.0,27.0,1,left,T. Murphy III 3PT  (7 PTS) (B. Ingram 3 AST),"[1630530, 1627742]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Left Corner 3,24+ Left,23.32,Made,,,,,7.0,B. Ingram,1627742.0,3.0,,,,,,,,,
148,PT01M16.00S,2022-11-26T01:33:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628415,67.09921156373193,57.84313725490197,1610612763,38,20,2022-11-26T01:33:37Z,1450000,False,39.0,257.0,1,right,MISS D. Brooks 25' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Center,25.98,Missed,,,,,,,,,,,,,,,,,
149,PT01M14.00S,2022-11-26T01:33:34.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,38,20,2022-11-26T01:33:37Z,1460000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Above the Break 3,24+ Center,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,
150,PT01M06.00S,2022-11-26T01:33:45.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628415,,,1610612740,38,20,2022-11-26T01:33:53Z,1470000,False,,,0,,D. Brooks personal FOUL (2 PF) (Ingram 2 FT),"[1628415, 1627742]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,1198.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2.0,0.0,Ingram,1627742.0,,,,
152,PT01M06.00S,2022-11-26T01:34:15.0Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,38,21,2022-11-26T01:34:15Z,1490000,False,,,0,,B. Ingram Free Throw 1 of 2 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
153,PT01M06.00S,2022-11-26T01:34:32.0Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,38,22,2022-11-26T01:34:32Z,1500000,False,,,0,,B. Ingram Free Throw 2 of 2 (4 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
154,PT00M45.60S,2022-11-26T01:34:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,66.3107752956636,47.05882352941176,1610612763,41,22,2022-11-26T01:35:03Z,1510000,False,-15.0,264.0,1,right,J. Jackson Jr. 26' 3PT  (3 PTS) (T. Jones 2 AST),"[1628991, 1626145]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Center,26.46,Made,,,,,3.0,T. Jones,1626145.0,2.0,,,,,,,,,
156,PT00M31.80S,2022-11-26T01:35:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,5.075558475689881,3.431372549019608,1610612740,41,22,2022-11-26T01:35:25Z,1530000,False,233.0,-5.0,1,left,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,
157,PT00M28.80S,2022-11-26T01:35:24.2Z,1,REGULAR,rebound,offensive,[],1626204,,,1610612740,41,22,2022-11-26T01:35:25Z,1540000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:0),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,Right Corner 3,24+ Right,,,156.0,1.0,0.0,1.0,,,,,,,,,,,,,
159,PT00M27.80S,2022-11-26T01:35:36.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628991,,,1610612740,41,22,2022-11-26T01:35:42Z,1560000,False,,,0,,J. Jackson Jr. shooting personal FOUL (2 PF) (Murphy III 2 FT),"[1628991, 1630530]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,203177.0,Restricted Area,0-8 Center,,,,,,,,,,,,2.0,0.0,Murphy III,1630530.0,,,,
161,PT00M27.80S,2022-11-26T01:35:45.2Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1628991,,,1610612740,41,22,2022-11-26T01:35:50Z,1580000,False,,,0,,J. Jackson Jr. technical FOUL (1 Tech),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,203177.0,,,,,,,,,,,,,,2.0,1.0,,,,,,
162,PT00M27.80S,2022-11-26T01:35:56.3Z,1,REGULAR,freethrow,1 of 1,[],1630530,,,1610612740,41,23,2022-11-26T01:35:56Z,1590000,False,,,0,,T. Murphy III technical Free Throw 1 of 1 (8 PTS),[1630530],1610612740.0,NOP,technical,,,Murphy III,T. Murphy III,,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
163,PT00M27.80S,2022-11-26T01:36:32.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630530,,,1610612740,41,24,2022-11-26T01:36:32Z,1600000,False,,,0,,T. Murphy III Free Throw 1 of 2 (9 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,
164,PT00M27.80S,2022-11-26T01:36:33.7Z,1,REGULAR,substitution,out,[],1628415,,,1610612740,41,24,2022-11-26T01:36:45Z,1610000,False,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M27.80S,2022-11-26T01:36:33.7Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,41,24,2022-11-26T01:36:45Z,1620000,False,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M27.80S,2022-11-26T01:36:33.7Z,1,REGULAR,substitution,in,[],1629630,,,1610612740,41,24,2022-11-26T01:36:45Z,1630000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M27.80S,2022-11-26T01:36:33.7Z,1,REGULAR,substitution,in,[],1630529,,,1610612740,41,24,2022-11-26T01:36:45Z,1640000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M27.80S,2022-11-26T01:37:00.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630530,,,1610612740,41,25,2022-11-26T01:37:00Z,1650000,False,,,0,,T. Murphy III Free Throw 2 of 2 (10 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,
