actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
182,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,out,['startperiod'],1630214,,,1610612763,32,37,2023-01-12T01:40:27Z,1800000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,out,['startperiod'],1629723,,,1610612763,32,37,2023-01-12T01:40:27Z,1810000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,out,['startperiod'],1628380,,,1610612763,32,37,2023-01-12T01:40:27Z,1820000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,in,['startperiod'],1630217,,,1610612763,32,37,2023-01-12T01:40:27Z,1830000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,in,['startperiod'],203500,,,1610612763,32,37,2023-01-12T01:40:27Z,1840000,False,,,0,,SUB in: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2023-01-12T01:38:45.6Z,2,REGULAR,substitution,in,['startperiod'],1627751,,,1610612763,32,37,2023-01-12T01:40:27Z,1850000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2023-01-12T01:40:29.1Z,2,REGULAR,period,start,[],0,,,1610612759,32,37,2023-01-12T01:40:29Z,1860000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT11M42.00S,2023-01-12T01:40:46.0Z,2,REGULAR,turnover,lost ball,[],1626196,,,1610612759,32,37,2023-01-12T01:40:49Z,1870000,False,,,0,,J. Richardson lost ball TURNOVER (1 TO),"[1626196, 1630217]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,,,,,Bane,1630217.0
190,PT11M42.00S,2023-01-12T01:40:46.0Z,2,REGULAR,steal,,[],1630217,,,1610612763,32,37,2023-01-12T01:52:24Z,1880000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
191,PT11M37.00S,2023-01-12T01:40:50.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630533,6.915243101182654,54.41176470588235,1610612763,32,37,2023-01-12T01:40:59Z,1890000,False,-22.0,13.0,1,left,MISS Z. Williams running reverse Layup - blocked,"[1630533, 1626196]",1610612763.0,MEM,running reverse,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,2.54,Missed,Richardson,1626196.0,,,,,,,,,,,,,,,,
192,PT11M37.00S,2023-01-12T01:40:50.3Z,2,REGULAR,block,,[],1626196,,,1610612763,32,37,2023-01-12T01:40:53Z,1900000,False,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
193,PT11M33.00S,2023-01-12T01:40:54.3Z,2,REGULAR,rebound,defensive,[],203926,,,1610612759,32,37,2023-01-12T01:44:20Z,1910000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,,,,191.0,,,,,1.0,1.0,0.0,,,,,,,,
194,PT11M29.00S,2023-01-12T01:40:59.2Z,2,REGULAR,turnover,bad pass,[],203926,,,1610612759,32,37,2023-01-12T01:41:02Z,1920000,False,,,0,,D. McDermott bad pass TURNOVER (2 TO),"[203926, 1626145]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2.0,,,,,Jones,1626145.0
195,PT11M29.00S,2023-01-12T01:40:59.2Z,2,REGULAR,steal,,[],1626145,,,1610612763,32,37,2023-01-12T01:41:00Z,1930000,False,,,0,,T. Jones STEAL (2 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
196,PT11M25.00S,2023-01-12T01:41:02.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626145,6.521024967148489,47.05882352941176,1610612763,34,37,2023-01-12T01:41:08Z,1940000,False,15.0,9.0,1,left,T. Jones running finger roll Layup (4 PTS),[1626145],1610612763.0,MEM,running finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,1.71,Made,,,,4.0,,,,,,,,,,,,,,
197,PT11M12.00S,2023-01-12T01:41:15.4Z,2,REGULAR,3pt,Jump Shot,[],1626196,69.72733245729303,22.30392156862745,1610612759,34,37,2023-01-12T01:41:20Z,1950000,False,-138.0,232.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,27.03,Missed,,,,,,,,,,,,,,,,,,
198,PT11M10.00S,2023-01-12T01:41:17.4Z,2,REGULAR,rebound,defensive,[],203500,,,1610612763,34,37,2023-01-12T01:41:20Z,1960000,False,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,,197.0,,,,,3.0,3.0,0.0,,,,,,,,
199,PT11M02.00S,2023-01-12T01:41:25.9Z,2,REGULAR,3pt,Jump Shot,[],1630533,32.14520367936925,37.99019607843137,1610612763,37,37,2023-01-12T01:41:32Z,1970000,False,60.0,250.0,1,left,Z. Williams 25' 3PT step back (3 PTS) (S. Adams 1 AST),"[1630533, 203500]",1610612763.0,MEM,step back,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,25.68,Made,,,,3.0,S. Adams,203500.0,1.0,,,,,,,,,,,
201,PT10M47.00S,2023-01-12T01:41:43.0Z,2,REGULAR,turnover,out-of-bounds,[],1626169,,,1610612759,37,37,2023-01-12T01:41:48Z,1990000,False,,,0,,S. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1626169],1610612759.0,SAS,bad pass,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1155.0,1.0,,,,,,
202,PT10M47.00S,2023-01-12T01:41:48.6Z,2,REGULAR,substitution,out,[],1626196,,,1610612763,37,37,2023-01-12T01:41:56Z,2000000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M47.00S,2023-01-12T01:41:48.6Z,2,REGULAR,substitution,out,[],1631103,,,1610612763,37,37,2023-01-12T01:41:56Z,2010000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT10M47.00S,2023-01-12T01:41:48.6Z,2,REGULAR,substitution,in,[],1629641,,,1610612763,37,37,2023-01-12T01:41:56Z,2020000,False,,,0,,SUB in: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M47.00S,2023-01-12T01:41:48.6Z,2,REGULAR,substitution,in,[],1630200,,,1610612763,37,37,2023-01-12T01:41:56Z,2030000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT10M33.00S,2023-01-12T01:42:11.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,9.937582128777924,4.411764705882353,1610612763,40,37,2023-01-12T01:42:16Z,2040000,False,228.0,41.0,1,left,S. Aldama 3PT  (4 PTS) (T. Jones 1 AST),"[1630583, 1626145]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,23.15,Made,,,,4.0,T. Jones,1626145.0,1.0,,,,,,,,,,,
208,PT10M16.00S,2023-01-12T01:42:28.0Z,2,REGULAR,3pt,Jump Shot,[],1626169,92.46057818659659,2.941176470588235,1610612759,40,37,2023-01-12T01:42:33Z,2060000,False,-235.0,18.0,1,right,MISS S. Johnson 3PT,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
209,PT10M14.00S,2023-01-12T01:42:30.0Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,40,37,2023-01-12T01:42:33Z,2070000,False,,,0,,S. Aldama REBOUND (Off:0 Def:2),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Left Corner 3,24+ Left,,,,,208.0,,,,,2.0,2.0,0.0,,,,,,,,
210,PT10M04.00S,2023-01-12T01:42:40.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630533,16.376478318002626,39.950980392156865,1610612763,40,37,2023-01-12T01:42:46Z,2080000,False,50.0,101.0,1,left,MISS Z. Williams 11' turnaround Shot,[1630533],1610612763.0,MEM,turnaround,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,11.31,Missed,,,,,,,,,,,,,,,,,,
211,PT10M01.00S,2023-01-12T01:42:43.3Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,40,37,2023-01-12T01:42:46Z,2090000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,210.0,,,,,3.0,2.0,1.0,,,,,,,,
212,PT09M51.00S,2023-01-12T01:42:53.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,89.70105124835742,44.36274509803921,1610612759,40,37,2023-01-12T01:42:58Z,2100000,False,-28.0,44.0,1,right,MISS R. Langford driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,5.25,Missed,,,,,,,,,,,,,,,,,,
213,PT09M47.00S,2023-01-12T01:42:57.5Z,2,REGULAR,rebound,defensive,[],1630217,,,1610612763,40,37,2023-01-12T01:42:58Z,2110000,False,,,0,,D. Bane REBOUND (Off:1 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,212.0,,,,,3.0,2.0,1.0,,,,,,,,
214,PT09M44.00S,2023-01-12T01:43:00.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,35.29894875164258,64.95098039215686,1610612763,43,37,2023-01-12T01:43:07Z,2120000,False,-75.0,279.0,1,left,D. Bane 28' 3PT running pullup (8 PTS),[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,28.91,Made,,,,8.0,,,,,,,,,,,,,,
215,PT09M43.00S,2023-01-12T01:43:05.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,43,37,2023-01-12T01:43:05Z,2130000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT09M28.00S,2023-01-12T01:46:21.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,92.9862023653088,63.725490196078425,1610612759,43,37,2023-01-12T01:46:27Z,2140000,False,69.0,13.0,1,right,MISS R. Langford 6' driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,6.99,Missed,,,,,,,,,,,,,,,,,,
217,PT09M24.00S,2023-01-12T01:46:25.3Z,2,REGULAR,rebound,offensive,[],1627751,,,1610612759,43,37,2023-01-12T01:46:27Z,2150000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,216.0,,,,,4.0,2.0,2.0,,,,,,,,
218,PT09M24.00S,2023-01-12T01:46:25.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612759,43,39,2023-01-12T01:46:25Z,2160000,False,0.0,0.0,1,right,J. Poeltl tip Layup (5 PTS),[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,0.0,Made,,,,5.0,,,,,,,,,,,,,,
219,PT09M11.00S,2023-01-12T01:46:39.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203500,6.915243101182654,54.166666666666664,1610612763,45,39,2023-01-12T01:46:44Z,2170000,False,-21.0,13.0,1,left,S. Adams reverse Layup (2 PTS) (T. Jones 2 AST),"[203500, 1626145]",1610612763.0,MEM,reverse,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,2.43,Made,,,,2.0,T. Jones,1626145.0,2.0,,,,,,,,,,,
221,PT08M58.00S,2023-01-12T01:46:55.1Z,2,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612759,45,39,2023-01-12T01:47:18Z,2190000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1630217, 1627751]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1155.0,,1.0,0.0,Poeltl,1627751.0,,
223,PT08M58.00S,2023-01-12T01:47:19.6Z,2,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,45,40,2023-01-12T01:47:19Z,2210000,False,,,0,,J. Poeltl Free Throw 1 of 2 (6 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,6.0,,,,,,,,,,,,,,
224,PT08M58.00S,2023-01-12T01:47:31.5Z,2,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,45,41,2023-01-12T01:47:31Z,2220000,False,,,0,,J. Poeltl Free Throw 2 of 2 (7 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,7.0,,,,,,,,,,,,,,
225,PT08M42.00S,2023-01-12T01:47:48.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,16.113666228646515,58.57843137254902,1610612763,45,41,2023-01-12T01:47:52Z,2230000,False,-43.0,99.0,1,left,MISS T. Jones 10' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,10.79,Missed,,,,,,,,,,,,,,,,,,
226,PT08M40.00S,2023-01-12T01:47:50.6Z,2,REGULAR,rebound,offensive,[],1630217,,,1610612763,45,41,2023-01-12T01:47:52Z,2240000,False,,,0,,D. Bane REBOUND (Off:2 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,225.0,,,,,4.0,2.0,2.0,,,,,,,,
227,PT08M38.00S,2023-01-12T01:47:53.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,8.229303547963205,96.07843137254902,1610612763,48,41,2023-01-12T01:47:56Z,2250000,False,-230.0,25.0,1,left,T. Jones 3PT  (7 PTS) (D. Bane 2 AST),"[1626145, 1630217]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,23.17,Made,,,,7.0,D. Bane,1630217.0,2.0,,,,,,,,,,,
229,PT08M21.00S,2023-01-12T01:48:09.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,89.96386333771353,58.57843137254902,1610612759,48,41,2023-01-12T01:48:13Z,2270000,False,43.0,42.0,1,right,MISS R. Langford driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,,,,,,,,,,,,,,
231,PT08M19.00S,2023-01-12T01:48:11.5Z,2,REGULAR,rebound,defensive,[],203500,,,1610612763,48,41,2023-01-12T01:48:13Z,2290000,False,,,0,,S. Adams REBOUND (Off:0 Def:4),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,229.0,,,,,4.0,4.0,0.0,,,,,,,,
232,PT08M13.00S,2023-01-12T01:48:17.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630583,8.360709592641262,53.67647058823529,1610612763,48,41,2023-01-12T01:48:23Z,2300000,False,-18.0,26.0,1,left,MISS S. Aldama Hook,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
233,PT08M10.00S,2023-01-12T01:48:20.9Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,48,41,2023-01-12T01:48:23Z,2310000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,232.0,,,,,5.0,3.0,2.0,,,,,,,,
234,PT08M05.00S,2023-01-12T01:48:26.1Z,2,REGULAR,3pt,Jump Shot,[],203926,92.06636005256242,94.36274509803921,1610612759,48,44,2023-01-12T01:48:33Z,2320000,False,222.0,22.0,1,right,D. McDermott 3PT  (5 PTS) (S. Johnson 1 AST),"[203926, 1626169]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Right Corner 3,24+ Right,22.29,Made,,,,5.0,S. Johnson,1626169.0,1.0,,,,,,,,,,,
236,PT07M50.00S,2023-01-12T01:48:43.5Z,2,REGULAR,foul,personal,[],1627751,,,1610612763,48,44,2023-01-12T01:48:52Z,2340000,False,,,0,,J. Poeltl personal FOUL (2 PF),"[1627751, 203500]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628172.0,,2.0,0.0,Adams,203500.0,,
238,PT07M50.00S,2023-01-12T01:48:52.0Z,2,REGULAR,substitution,out,[],1626169,,,1610612763,48,44,2023-01-12T01:49:04Z,2360000,False,,,0,,SUB out: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT07M50.00S,2023-01-12T01:48:52.0Z,2,REGULAR,substitution,out,[],1630200,,,1610612763,48,44,2023-01-12T01:49:04Z,2370000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M50.00S,2023-01-12T01:48:52.0Z,2,REGULAR,substitution,in,[],1629640,,,1610612763,48,44,2023-01-12T01:49:04Z,2380000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M50.00S,2023-01-12T01:48:52.0Z,2,REGULAR,substitution,in,[],1631110,,,1610612763,48,44,2023-01-12T01:49:04Z,2390000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT07M43.00S,2023-01-12T01:49:17.1Z,2,REGULAR,foul,personal,[],1631110,,,1610612763,48,44,2023-01-12T01:49:23Z,2400000,False,,,0,,J. Sochan personal FOUL (2 PF),"[1631110, 203500]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,101284.0,,2.0,0.0,Adams,203500.0,,
244,PT07M39.00S,2023-01-12T01:49:49.6Z,2,REGULAR,3pt,Jump Shot,[],1630217,31.61957950065703,35.049019607843135,1610612763,51,44,2023-01-12T01:49:54Z,2420000,False,75.0,245.0,1,left,D. Bane 25' 3PT pullup (11 PTS) (S. Adams 2 AST),"[1630217, 203500]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.59,Made,,,,11.0,S. Adams,203500.0,2.0,,,,,,,,,,,
246,PT07M23.00S,2023-01-12T01:50:05.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,92.85479632063075,64.70588235294117,1610612759,51,44,2023-01-12T01:50:09Z,2440000,False,74.0,15.0,1,right,MISS J. Poeltl 7' turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.5,Missed,,,,,,,,,,,,,,,,,,
247,PT07M21.00S,2023-01-12T01:50:07.0Z,2,REGULAR,rebound,defensive,[],203500,,,1610612763,51,44,2023-01-12T01:50:09Z,2450000,False,,,0,,S. Adams REBOUND (Off:0 Def:5),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,246.0,,,,,5.0,5.0,0.0,,,,,,,,
248,PT07M09.00S,2023-01-12T01:50:19.2Z,2,REGULAR,3pt,Jump Shot,[],1630583,26.231931668856767,84.06862745098039,1610612763,54,44,2023-01-12T01:50:23Z,2460000,False,-170.0,194.0,1,left,S. Aldama 25' 3PT  (7 PTS) (T. Jones 3 AST),"[1630583, 1626145]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,25.82,Made,,,,7.0,T. Jones,1626145.0,3.0,,,,,,,,,,,
250,PT07M07.00S,2023-01-12T01:50:24.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,54,44,2023-01-12T01:50:24Z,2480000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M47.00S,2023-01-12T01:53:34.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.19776609724047,54.65686274509803,1610612759,54,44,2023-01-12T01:53:39Z,2490000,False,23.0,21.0,1,right,MISS J. Poeltl driving finger roll Layup - blocked,"[1627751, 203500]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.12,Missed,Adams,203500.0,,,,,,,,,,,,,,,,
252,PT06M47.00S,2023-01-12T01:53:34.6Z,2,REGULAR,block,,[],203500,,,1610612759,54,44,2023-01-12T01:53:36Z,2500000,False,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
253,PT06M45.00S,2023-01-12T01:53:36.6Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,54,44,2023-01-12T01:53:39Z,2510000,False,,,0,,S. Aldama REBOUND (Off:0 Def:3),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,251.0,,,,,3.0,3.0,0.0,,,,,,,,
254,PT06M42.00S,2023-01-12T01:53:41.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,7.30946123521682,46.07843137254902,1610612763,54,44,2023-01-12T01:53:46Z,2520000,False,20.0,16.0,1,left,MISS D. Bane running finger roll Layup - blocked,"[1630217, 1627751]",1610612763.0,MEM,running finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.54,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
255,PT06M42.00S,2023-01-12T01:53:41.1Z,2,REGULAR,block,,[],1627751,,,1610612763,54,44,2023-01-12T01:53:43Z,2530000,False,,,0,,J. Poeltl BLOCK (5 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
256,PT06M37.00S,2023-01-12T01:53:46.1Z,2,REGULAR,rebound,offensive,[],203500,,,1610612763,54,44,2023-01-12T01:53:46Z,2540000,False,,,0,,S. Adams REBOUND (Off:1 Def:5),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,254.0,,,,,6.0,5.0,1.0,,,,,,,,
379,PT06M36.00S,2023-01-12T01:53:43.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",203500,7.35873850197109,51.73866421568627,1610612763,54,44,2023-01-12T02:14:49Z,2545000,False,-9.0,17.0,1,left,MISS S. Adams putback Layup - blocked,"[203500, 1629641]",1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,1.88,Missed,Langford,1629641.0,,,,,,,,,,,,,,,,
380,PT06M36.00S,2023-01-12T01:53:43.3Z,2,REGULAR,block,,[],1629641,,,1610612763,54,44,2023-01-12T02:14:14Z,2547500,False,,,0,,R. Langford BLOCK (1 BLK),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
381,PT06M36.00S,2023-01-12T01:53:43.3Z,2,REGULAR,rebound,defensive,[],1631110,,,1610612759,54,44,2023-01-12T02:14:49Z,2548750,False,,,0,,J. Sochan REBOUND (Off:1 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,379.0,,,,,3.0,2.0,1.0,,,,,,,,
259,PT06M33.00S,2023-01-12T01:53:49.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629640,93.11760840998686,48.529411764705884,1610612759,54,44,2023-01-12T02:14:18Z,2570000,False,-7.0,12.0,1,right,MISS K. Johnson running reverse Layup,[1629640],1610612759.0,SAS,running reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,1.43,Missed,,,,,,,,,,,,,,,,,,
260,PT06M30.00S,2023-01-12T01:53:52.5Z,2,REGULAR,rebound,defensive,[],203500,,,1610612763,54,44,2023-01-12T01:53:56Z,2580000,False,,,0,,S. Adams REBOUND (Off:1 Def:6),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,259.0,,,,,7.0,6.0,1.0,,,,,,,,
261,PT06M21.00S,2023-01-12T01:54:01.2Z,2,REGULAR,3pt,Jump Shot,[],1630533,25.706307490144546,84.06862745098039,1610612763,54,44,2023-01-12T01:54:08Z,2590000,False,-170.0,189.0,1,left,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,,,,,,,,,,,,,,,,,
