actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
89,PT06M09.00S,2022-10-25T00:24:18.2Z,1,REGULAR,freethrow,2 of 2,[],1627732,,,1610612751,18,15,2022-10-25T00:24:18Z,880000,,,0,,B. Simmons Free Throw 2 of 2 (1 PTS),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
91,PT05M53.00S,2022-10-25T00:24:40.1Z,1,REGULAR,substitution,out,[],1630583,,,1610612763,18,15,2022-10-25T00:24:54Z,900000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M53.00S,2022-10-25T00:24:40.1Z,1,REGULAR,substitution,out,[],1626220,,,1610612763,18,15,2022-10-25T00:24:54Z,910000,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M53.00S,2022-10-25T00:24:40.1Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,18,15,2022-10-25T00:24:54Z,920000,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M53.00S,2022-10-25T00:24:40.1Z,1,REGULAR,substitution,in,[],203925,,,1610612763,18,15,2022-10-25T00:24:54Z,930000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M48.00S,2022-10-25T00:25:06.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,6.389618922470433,50.73529411764706,1610612763,20,15,2022-10-25T00:25:11Z,940000,-4.0,8.0,1,left,S. Adams driving reverse DUNK (2 PTS),[203500],1610612763.0,MEM,driving reverse,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,,,,,,2.0,,,,,,
96,PT05M41.00S,2022-10-25T00:25:12.9Z,1,REGULAR,3pt,Jump Shot,[],203925,73.01248357424441,82.35294117647058,1610612751,20,15,2022-10-25T00:25:16Z,950000,162.0,201.0,1,right,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,25.82,Missed,,,,,,,,,,,,,,,,,,
97,PT05M39.00S,2022-10-25T00:25:15.0Z,1,REGULAR,rebound,offensive,[],203925,,,1610612751,20,15,2022-10-25T00:25:15Z,960000,,,0,,J. Harris REBOUND (Off:1 Def:0),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,,,96.0,1.0,0.0,1.0,,,,,,,,,,,,,,
98,PT05M38.00S,2022-10-25T00:25:16.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203925,78.40013140604468,89.70588235294117,1610612751,20,15,2022-10-25T00:25:22Z,970000,199.0,151.0,1,right,MISS J. Harris 24' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,24.91,Missed,,,,,,,,,,,,,,,,,,
99,PT05M32.00S,2022-10-25T00:25:21.8Z,1,REGULAR,rebound,offensive,[],201142,,,1610612751,20,15,2022-10-25T00:25:21Z,980000,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,98.0,1.0,0.0,1.0,,,,,,,,,,,,,,
100,PT05M30.00S,2022-10-25T00:25:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,93.64323258869908,49.50980392156863,1610612751,20,17,2022-10-25T00:25:28Z,990000,-2.0,7.0,1,right,D. Sharpe cutting Layup (2 PTS) (K. Durant 2 AST),"[1630549, 201142]",1610612751.0,BKN,cutting,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,,,,,,2.0,K. Durant,201142.0,2.0,,,
102,PT05M11.00S,2022-10-25T00:25:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,13.091327201051248,45.09803921568628,1610612763,22,17,2022-10-25T00:26:32Z,1010000,25.0,71.0,1,left,J. Morant 7' Layup (10 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,7.47,Made,,,,,,,,,,,,10.0,,,,,,
103,PT05M11.00S,2022-10-25T00:25:47.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,22,17,2022-10-25T00:25:53Z,1020000,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,2882.0,,,,,,,,,,,,,
104,PT05M11.00S,2022-10-25T00:25:51.4Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1629630,,,1610612751,22,17,2022-10-25T00:26:11Z,1030000,,,0,,J. Morant technical FOUL (1 Tech),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,2882.0,1.0,1.0,,,,,,,,,,,
105,PT05M11.00S,2022-10-25T00:26:14.2Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,22,18,2022-10-25T00:26:14Z,1040000,,,0,,K. Durant technical Free Throw 1 of 1 (9 PTS),[201142],1610612751.0,BKN,technical,,,Durant,K. Durant,,,,,,,,Made,,,,,,,,,,,,9.0,,,,,,
106,PT04M55.00S,2022-10-25T00:26:44.9Z,1,REGULAR,3pt,Jump Shot,[],201988,65.91655716162943,53.67647058823529,1610612751,22,21,2022-10-25T00:26:49Z,1050000,18.0,268.0,1,right,P. Mills 26' 3PT  (3 PTS) (K. Durant 3 AST),"[201988, 201142]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Center,26.85,Made,,,,,,,,,,,,3.0,K. Durant,201142.0,3.0,,,
108,PT04M38.00S,2022-10-25T00:27:06.7Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612763,22,21,2022-10-25T00:27:13Z,1070000,,,0,,D. Sharpe shooting personal FOUL (1 PF) (Morant 2 FT),"[1630549, 1629630]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,1.0,0.0,Morant,1629630.0,,,,,,,,,
110,PT04M38.00S,2022-10-25T00:27:30.2Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,23,21,2022-10-25T00:27:30Z,1090000,,,0,,J. Morant Free Throw 1 of 2 (11 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,,,,,,,,11.0,,,,,,
111,PT04M38.00S,2022-10-25T00:27:31.0Z,1,REGULAR,substitution,out,[],203500,,,1610612763,23,21,2022-10-25T00:27:36Z,1100000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M38.00S,2022-10-25T00:27:31.0Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,23,21,2022-10-25T00:27:36Z,1110000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M38.00S,2022-10-25T00:27:49.7Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,24,21,2022-10-25T00:27:49Z,1120000,,,0,,J. Morant Free Throw 2 of 2 (12 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,,,,,,,,12.0,,,,,,
114,PT04M18.00S,2022-10-25T00:28:11.2Z,1,REGULAR,2pt,Jump Shot,[],201142,91.40932982917214,29.166666666666668,1610612751,24,21,2022-10-25T00:28:18Z,1130000,-104.0,28.0,1,right,MISS K. Durant 10' turnaround Shot,[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,10.8,Missed,,,,,,,,,,,,,,,,,,
115,PT04M14.00S,2022-10-25T00:28:15.2Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,24,21,2022-10-25T00:28:18Z,1140000,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,114.0,2.0,2.0,0.0,,,,,,,,,,,,,,
116,PT04M11.00S,2022-10-25T00:28:18.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,28.86005256241787,26.715686274509803,1610612763,27,21,2022-10-25T00:28:23Z,1150000,116.0,219.0,1,left,J. Morant 24' 3PT pullup (15 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,24.78,Made,,,,,,,,,,,,15.0,,,,,,
117,PT03M49.00S,2022-10-25T00:28:39.2Z,1,REGULAR,2pt,Jump Shot,[],201142,91.5407358738502,76.9607843137255,1610612751,27,21,2022-10-25T00:28:44Z,1160000,135.0,27.0,1,right,MISS K. Durant 13' Jump Shot,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,13.75,Missed,,,,,,,,,,,,,,,,,,
118,PT03M47.00S,2022-10-25T00:28:41.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,27,21,2022-10-25T00:28:44Z,1170000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,8-16 Right,,,117.0,,,,,,,,,,,,,,,,,
120,PT03M47.00S,2022-10-25T00:28:56.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,27,21,2022-10-25T00:28:56Z,1190000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M45.00S,2022-10-25T00:31:52.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,87.20433639947439,59.31372549019608,1610612751,27,23,2022-10-25T00:32:03Z,1200000,47.0,68.0,1,right,K. Durant 8' driving floating bank Jump Shot (11 PTS) (B. Simmons 3 AST),"[201142, 1627732]",1610612751.0,BKN,driving floating bank,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,8.23,Made,,,,,,,,,,,,11.0,B. Simmons,1627732.0,3.0,,,
123,PT03M45.00S,2022-10-25T00:31:59.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629634,,,1610612751,27,23,2022-10-25T00:32:07Z,1220000,,,0,,B. Clarke shooting personal FOUL (1 PF) (Durant 1 FT),"[1629634, 201142]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,202037.0,1.0,0.0,Durant,201142.0,,,,,,,,,
125,PT03M45.00S,2022-10-25T00:32:21.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201142,,,1610612751,27,23,2022-10-25T00:32:24Z,1240000,,,0,,MISS K. Durant Free Throw 1 of 1,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
126,PT03M43.00S,2022-10-25T00:32:23.4Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,27,23,2022-10-25T00:32:24Z,1250000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,
127,PT03M29.00S,2022-10-25T00:32:36.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629634,7.046649145860711,48.28431372549019,1610612763,29,23,2022-10-25T00:32:42Z,1260000,9.0,14.0,1,left,B. Clarke alley-oop DUNK (2 PTS) (J. Morant 4 AST),"[1629634, 1629630]",1610612763.0,MEM,alley-oop,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,,,,,,,,2.0,J. Morant,1629630.0,4.0,,,
129,PT03M18.00S,2022-10-25T00:32:47.0Z,1,REGULAR,3pt,Jump Shot,[],203925,67.88764783180025,59.80392156862745,1610612751,29,23,2022-10-25T00:32:50Z,1280000,49.0,249.0,1,right,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Center,25.42,Missed,,,,,,,,,,,,,,,,,,
130,PT03M16.00S,2022-10-25T00:32:49.4Z,1,REGULAR,rebound,offensive,[],201988,,,1610612751,29,23,2022-10-25T00:32:49Z,1290000,,,0,,P. Mills REBOUND (Off:1 Def:0),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Center,,,129.0,1.0,0.0,1.0,,,,,,,,,,,,,,
131,PT03M09.00S,2022-10-25T00:33:01.3Z,1,REGULAR,foul,offensive,[],1627732,,,1610612751,29,23,2022-10-25T00:33:09Z,1300000,,,0,,B. Simmons offensive FOUL (1 PF),"[1627732, 1629630]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Center,,,,,,,1627962.0,1.0,0.0,Morant,1629630.0,,,,,,,,,
133,PT03M09.00S,2022-10-25T00:33:01.3Z,1,REGULAR,turnover,offensive foul,[],1627732,,,1610612751,29,23,2022-10-25T00:33:01Z,1320000,,,0,,B. Simmons offensive foul TURNOVER (2 TO),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Center,,,,,,,1627962.0,,,,,,,,,,,2.0,,
134,PT03M09.00S,2022-10-25T00:33:08.8Z,1,REGULAR,substitution,out,[],201142,,,1610612763,29,23,2022-10-25T00:33:15Z,1330000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT03M09.00S,2022-10-25T00:33:08.8Z,1,REGULAR,substitution,in,[],202681,,,1610612763,29,23,2022-10-25T00:33:15Z,1350000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT03M09.00S,2022-10-25T00:33:08.8Z,1,REGULAR,substitution,in,[],1629139,,,1610612763,29,23,2022-10-25T00:33:15Z,1360000,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT03M09.00S,2022-10-25T00:33:08.8Z,1,REGULAR,substitution,out,[],1627732,,,1610612763,29,23,2022-10-25T00:33:46Z,1365000,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT03M09.00S,2022-10-25T00:33:17.1Z,1,REGULAR,foul,technical,['1freethrow'],1627732,,,1610612763,29,23,2022-10-25T00:33:41Z,1370000,,,0,,B. Simmons technical FOUL (1 Tech),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,1627962.0,1.0,1.0,,,,,,,,,,,
139,PT03M09.00S,2022-10-25T00:33:42.5Z,1,REGULAR,freethrow,1 of 1,[],1629630,,,1610612763,30,23,2022-10-25T00:33:42Z,1380000,,,0,,J. Morant technical Free Throw 1 of 1 (16 PTS),[1629630],1610612763.0,MEM,technical,,,Morant,J. Morant,,,,,,,,Made,,,,,,,,,,,,16.0,,,,,,
141,PT02M58.00S,2022-10-25T00:34:07.8Z,1,REGULAR,foul,offensive,['inpenalty'],1626145,,,1610612763,30,23,2022-10-25T00:34:17Z,1390000,,,0,,T. Jones offensive FOUL (1 PF),"[1626145, 202681]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,16-24 Right Center,,,,,,,1627962.0,1.0,0.0,Irving,202681.0,,,,,,,,,
143,PT02M58.00S,2022-10-25T00:34:07.8Z,1,REGULAR,turnover,offensive foul,[],1626145,,,1610612763,30,23,2022-10-25T00:34:07Z,1410000,,,0,,T. Jones offensive foul TURNOVER (1 TO),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,16-24 Right Center,,,,,,,1627962.0,,,,,,,,,,,1.0,,
144,PT02M45.00S,2022-10-25T00:34:30.8Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,30,23,2022-10-25T00:34:45Z,1420000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 1629630]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Morant,1629630.0
145,PT02M45.00S,2022-10-25T00:34:30.8Z,1,REGULAR,steal,,[],1629630,,,1610612763,30,23,2022-10-25T00:34:33Z,1430000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
146,PT02M45.00S,2022-10-25T00:34:37.0Z,1,REGULAR,turnover,traveling,[],1629630,,,1610612763,30,23,2022-10-25T00:35:29Z,1440000,,,0,,J. Morant traveling TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,,,,2882.0,,,,,,,,,,,1.0,,
147,PT02M45.00S,2022-10-25T00:34:50.2Z,1,REGULAR,substitution,out,[],1629630,,,1610612751,30,23,2022-10-25T00:34:54Z,1450000,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M45.00S,2022-10-25T00:34:50.2Z,1,REGULAR,substitution,in,[],1630217,,,1610612751,30,23,2022-10-25T00:34:54Z,1460000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M34.00S,2022-10-25T00:35:08.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,80.76544021024968,27.205882352941174,1610612751,30,25,2022-10-25T00:35:15Z,1470000,-114.0,128.0,1,right,K. Irving 17' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Left Center,17.16,Made,,,,,,,,,,,,4.0,,,,,,
150,PT02M25.00S,2022-10-25T00:35:20.7Z,1,REGULAR,foul,personal,[],203925,,,1610612763,30,25,2022-10-25T00:35:31Z,1480000,,,0,,J. Harris personal FOUL (1 PF),"[203925, 1630217]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Center,,,,,,,1627962.0,1.0,0.0,Bane,1630217.0,,,,,,,,,
152,PT02M18.00S,2022-10-25T00:35:41.7Z,1,REGULAR,3pt,Jump Shot,[],1631223,25.18068331143233,83.08823529411765,1610612763,30,25,2022-10-25T00:35:49Z,1500000,-165.0,184.0,1,left,MISS D. Roddy 24' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,24.76,Missed,,,,,,,,,,,,,,,,,,
153,PT02M13.00S,2022-10-25T00:35:46.7Z,1,REGULAR,rebound,offensive,[],1626145,,,1610612763,30,25,2022-10-25T00:35:49Z,1510000,,,0,,T. Jones REBOUND (Off:1 Def:0),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,152.0,1.0,0.0,1.0,,,,,,,,,,,,,,
154,PT02M12.00S,2022-10-25T00:35:47.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,32.013797634691194,51.9607843137255,1610612763,30,25,2022-10-25T00:35:51Z,1520000,-10.0,248.0,1,left,MISS T. Jones 24' 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,24.86,Missed,,,,,,,,,,,,,,,,,,
155,PT02M08.00S,2022-10-25T00:35:50.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,30,25,2022-10-25T00:35:50Z,1530000,,,0,,K. Irving REBOUND (Off:0 Def:3),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,,,154.0,3.0,3.0,0.0,,,,,,,,,,,,,,
156,PT02M04.00S,2022-10-25T00:35:55.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629139,71.96123521681997,82.59803921568627,1610612751,30,25,2022-10-25T00:36:01Z,1540000,163.0,211.0,1,right,MISS Y. Watanabe 26' running 3PT,[1629139],1610612751.0,BKN,running,,,Watanabe,Y. Watanabe,,,,,Above the Break 3,24+ Right Center,26.67,Missed,,,,,,,,,,,,,,,,,,
157,PT02M03.00S,2022-10-25T00:35:56.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,30,25,2022-10-25T00:36:01Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,156.0,,,,,,,,,,,,,,,,,
159,PT02M01.00S,2022-10-25T00:36:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202681,92.9862023653088,50.245098039215684,1610612751,30,27,2022-10-25T00:36:19Z,1570000,1.0,13.0,1,right,K. Irving cutting Layup (6 PTS) (P. Mills 1 AST),"[202681, 201988]",1610612751.0,BKN,cutting,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,,,,6.0,P. Mills,201988.0,1.0,,,
161,PT01M42.00S,2022-10-25T00:36:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,18.528252299605782,64.48376225490196,1610612763,32,27,2022-10-25T00:37:10Z,1590000,-72.0,122.0,1,left,B. Clarke 14' Jump Shot (4 PTS) (D. Roddy 1 AST),"[1629634, 1631223]",1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Left,14.16,Made,,,,,,,,,,,,4.0,D. Roddy,1631223.0,1.0,,,
163,PT01M30.00S,2022-10-25T00:36:44.4Z,1,REGULAR,3pt,Jump Shot,[],202681,69.85873850197109,68.38235294117648,1610612751,32,27,2022-10-25T00:36:50Z,1610000,92.0,231.0,1,right,MISS K. Irving 24' pullup 3PT,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,24.84,Missed,,,,,,,,,,,,,,,,,,
164,PT01M29.00S,2022-10-25T00:36:45.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,32,27,2022-10-25T00:36:50Z,1620000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Right Center,,,163.0,,,,,,,,,,,,,,,,,
166,PT01M29.00S,2022-10-25T00:36:53.1Z,1,REGULAR,substitution,out,[],1631223,,,1610612763,32,27,2022-10-25T00:36:58Z,1640000,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT01M29.00S,2022-10-25T00:36:53.1Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,32,27,2022-10-25T00:36:58Z,1650000,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT01M21.00S,2022-10-25T00:37:15.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203925,,,1610612763,32,27,2022-10-25T00:37:22Z,1660000,,,0,,J. Harris personal FOUL (2 PF) (Clarke 2 FT),"[203925, 1629634]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Center,,,,,,,202037.0,2.0,0.0,Clarke,1629634.0,,,,,,,,,
170,PT01M21.00S,2022-10-25T00:37:39.3Z,1,REGULAR,freethrow,1 of 2,[],1629634,,,1610612763,32,27,2022-10-25T00:37:39Z,1680000,,,0,,MISS B. Clarke Free Throw 1 of 2,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
171,PT01M21.00S,2022-10-25T00:37:39.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,32,27,2022-10-25T00:37:39Z,1690000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,
172,PT01M21.00S,2022-10-25T00:37:51.7Z,1,REGULAR,freethrow,2 of 2,[],1629634,,,1610612763,33,27,2022-10-25T00:37:51Z,1700000,,,0,,B. Clarke Free Throw 2 of 2 (5 PTS),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
173,PT01M05.00S,2022-10-25T00:38:10.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629634,,,1610612751,33,27,2022-10-25T00:38:20Z,1710000,,,0,,B. Clarke shooting personal FOUL (2 PF) (Sharpe 2 FT),"[1629634, 1630549]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,2.0,0.0,Sharpe,1630549.0,,,,,,,,,
175,PT01M05.00S,2022-10-25T00:38:33.9Z,1,REGULAR,freethrow,1 of 2,[],1630549,,,1610612751,33,27,2022-10-25T00:38:33Z,1730000,,,0,,MISS D. Sharpe Free Throw 1 of 2,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
176,PT01M05.00S,2022-10-25T00:38:33.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,33,27,2022-10-25T00:38:33Z,1740000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,
177,PT01M05.00S,2022-10-25T00:38:46.6Z,1,REGULAR,freethrow,2 of 2,[],1630549,,,1610612751,33,28,2022-10-25T00:38:46Z,1750000,,,0,,D. Sharpe Free Throw 2 of 2 (3 PTS),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
178,PT00M53.10S,2022-10-25T00:39:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,7.703679369250986,54.41176470588235,1610612763,35,28,2022-10-25T00:39:06Z,1760000,-22.0,20.0,1,left,T. Jones driving finger roll Layup (2 PTS),[1626145],1610612763.0,MEM,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,,,,,2.0,,,,,,
179,PT00M44.20S,2022-10-25T00:39:12.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630549,92.85479632063075,50.73529411764706,1610612751,35,30,2022-10-25T00:39:16Z,1770000,4.0,15.0,1,right,D. Sharpe alley-oop DUNK (5 PTS) (P. Mills 2 AST),"[1630549, 201988]",1610612751.0,BKN,alley-oop,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,1.52,Made,,,,,,,,,,,,5.0,P. Mills,201988.0,2.0,,,
