actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
87,PT04M45.00S,2023-01-03T00:25:48.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,7.802233902759525,49.50980392156863,1610612755,20,18,2023-01-03T00:28:50Z,870000,False,2.0,21.0,1,left,J. Harden running Layup (2 PTS),[201935],1610612755.0,PHI,running,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,2.09,Made,2.0,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2023-01-03T00:25:56.8Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,20,18,2023-01-03T00:26:03Z,880000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 202699]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1.0,,,,,,,,,Harris,202699.0
89,PT04M37.00S,2023-01-03T00:25:56.8Z,1,REGULAR,steal,,[],202699,,,1610612755,20,18,2023-01-03T00:25:59Z,890000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
90,PT04M26.00S,2023-01-03T00:26:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,8.722076215505908,3.1862745098039227,1610612755,20,18,2023-01-03T00:26:11Z,900000,False,234.0,29.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.6,Missed,,,,,,,,,,,,,,,,,,
91,PT04M24.00S,2023-01-03T00:26:09.9Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,20,18,2023-01-03T00:26:11Z,910000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,
92,PT04M14.00S,2023-01-03T00:26:20.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,94.79303547963207,52.94117647058824,1610612740,20,18,2023-01-03T00:26:25Z,920000,False,15.0,-4.0,1,right,MISS N. Marshall driving Layup,[1630230],1610612740.0,NOP,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,,,,,
93,PT04M11.00S,2023-01-03T00:26:23.2Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,20,18,2023-01-03T00:26:25Z,930000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,
94,PT04M11.00S,2023-01-03T00:26:25.6Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,20,18,2023-01-03T00:26:33Z,940000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,1627541.0,,,,,,
96,PT04M11.00S,2023-01-03T00:26:31.1Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,20,18,2023-01-03T00:26:40Z,950000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M11.00S,2023-01-03T00:26:31.1Z,1,REGULAR,substitution,in,[],1630700,,,1610612740,20,18,2023-01-03T00:26:40Z,960000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M11.00S,2023-01-03T00:26:43.1Z,1,REGULAR,substitution,out,[],202699,,,1610612740,20,18,2023-01-03T00:26:45Z,970000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M11.00S,2023-01-03T00:26:43.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612740,20,18,2023-01-03T00:26:45Z,980000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M53.00S,2023-01-03T00:27:00.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629637,93.61038107752957,95.83333333333333,1610612740,20,21,2023-01-03T00:27:04Z,990000,False,229.0,8.0,1,right,J. Hayes 3PT  (5 PTS) (C. McCollum 3 AST),"[1629637, 203468]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Right Corner 3,24+ Right,22.93,Made,5.0,,,,,,,,C. McCollum,203468.0,3.0,,,,,,,
102,PT03M29.00S,2023-01-03T00:27:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,6.225361366622863,36.274509803921575,1610612755,22,21,2023-01-03T00:27:27Z,1010000,False,69.0,6.0,1,left,J. Harden 6' step back Jump Shot (4 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,6.89,Made,4.0,,,,,,,,,,,,,,,,,
103,PT03M04.00S,2023-01-03T00:27:49.8Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,22,21,2023-01-03T00:27:54Z,1020000,False,,,0,,N. Marshall bad pass TURNOVER (2 TO),"[1630230, 201935]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,,,,,,,,,Harden,201935.0
104,PT03M04.00S,2023-01-03T00:27:49.8Z,1,REGULAR,steal,,[],201935,,,1610612755,22,21,2023-01-03T00:27:52Z,1030000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
105,PT03M00.00S,2023-01-03T00:27:56.9Z,1,REGULAR,foul,personal,['2freethrow'],1630230,,,1610612755,22,21,2023-01-03T00:28:09Z,1040000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Harden 2 FT),"[1630230, 201935]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1627541.0,1.0,0.0,Harden,201935.0,,
107,PT03M00.00S,2023-01-03T00:28:23.8Z,1,REGULAR,freethrow,1 of 2,"['fastbreak', 'fromturnover']",201935,,,1610612755,23,21,2023-01-03T00:39:44Z,1060000,False,,,0,,J. Harden Free Throw 1 of 2 (5 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
112,PT03M00.00S,2023-01-03T00:28:23.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201935,,,1610612755,24,21,2023-01-03T00:39:44Z,1065000,False,,,0,,J. Harden Free Throw 2 of 2 (6 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
108,PT03M00.00S,2023-01-03T00:28:24.8Z,1,REGULAR,substitution,out,[],1629001,,,1610612740,24,21,2023-01-03T00:39:44Z,1070000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M00.00S,2023-01-03T00:28:24.8Z,1,REGULAR,substitution,out,[],1629637,,,1610612740,24,21,2023-01-03T00:39:44Z,1080000,False,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M00.00S,2023-01-03T00:28:24.8Z,1,REGULAR,substitution,in,[],1629680,,,1610612740,24,21,2023-01-03T00:39:44Z,1090000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M00.00S,2023-01-03T00:28:24.8Z,1,REGULAR,substitution,in,[],1629627,,,1610612740,24,21,2023-01-03T00:39:44Z,1100000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M41.00S,2023-01-03T00:29:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,89.93101182654402,44.11764705882353,1610612740,24,21,2023-01-03T00:35:44Z,1105000,False,-29.0,42.0,1,right,MISS W. Hernangomez Layup,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,In The Paint (Non-RA),0-8 Center,5.13,Missed,,,,,,,,,,,,,,,,,,
114,PT02M40.00S,2023-01-03T00:29:14.8Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,24,21,2023-01-03T00:35:44Z,1107500,False,,,0,,W. Hernangomez REBOUND (Off:2 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,113.0,2.0,0.0,2.0,,,,,,,,,,,
115,PT02M39.00S,2023-01-03T00:29:18.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626195,94.40999984741211,50.0,1610612740,24,21,2023-01-03T00:34:51Z,1108750,False,0.0,0.0,1,right,MISS W. Hernangomez tip Layup,[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
116,PT02M38.00S,2023-01-03T00:29:19.1Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,24,21,2023-01-03T00:34:51Z,1109375,False,,,0,,W. Hernangomez REBOUND (Off:3 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,,,,,,115.0,3.0,0.0,3.0,,,,,,,,,,,
117,PT02M37.00S,2023-01-03T00:29:20.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626195,94.40999984741211,50.0,1610612740,24,23,2023-01-03T00:36:19Z,1109687,False,0.0,0.0,1,right,W. Hernangomez tip Layup (2 PTS),[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
118,PT02M22.00S,2023-01-03T00:29:34.2Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,24,23,2023-01-03T00:29:39Z,1170000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (3 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,3.0,,,,1627519.0,,,,,,
119,PT02M22.00S,2023-01-03T00:29:40.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,24,23,2023-01-03T00:29:40Z,1180000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M22.00S,2023-01-03T00:32:21.2Z,1,REGULAR,substitution,out,[],201935,,,1610612740,24,23,2023-01-03T00:32:31Z,1190000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M22.00S,2023-01-03T00:32:21.2Z,1,REGULAR,substitution,in,[],1629003,,,1610612740,24,23,2023-01-03T00:32:31Z,1200000,False,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M04.00S,2023-01-03T00:33:04.8Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,24,23,2023-01-03T00:33:12Z,1210000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1629680]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,,,,,,Thybulle,1629680.0
123,PT02M04.00S,2023-01-03T00:33:04.8Z,1,REGULAR,steal,,[],1629680,,,1610612755,24,23,2023-01-03T00:33:07Z,1220000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT01M46.00S,2023-01-03T00:33:23.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627777,31.84954007884363,67.8921568627451,1610612755,27,23,2023-01-03T00:33:27Z,1230000,False,-89.0,247.0,1,left,G. Niang 26' 3PT  (3 PTS) (S. Milton 1 AST),"[1627777, 1629003]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,26.26,Made,3.0,,,,,,,,S. Milton,1629003.0,1.0,,,,,,,
126,PT01M27.00S,2023-01-03T00:33:40.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,94.3988173455979,2.941176470588232,1610612740,27,23,2023-01-03T00:33:44Z,1250000,False,-235.0,0.0,1,right,MISS N. Marshall 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
127,PT01M25.00S,2023-01-03T00:33:42.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,27,23,2023-01-03T00:33:44Z,1260000,False,,,0,,J. Embiid REBOUND (Off:1 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Left Corner 3,24+ Left,,,,,,126.0,6.0,5.0,1.0,,,,,,,,,,,
128,PT01M15.00S,2023-01-03T00:33:53.0Z,1,REGULAR,3pt,Jump Shot,[],1627777,26.19908015768725,82.59803921568627,1610612755,30,23,2023-01-03T00:33:56Z,1270000,False,-163.0,194.0,1,left,G. Niang 25' 3PT  (6 PTS) (J. Embiid 2 AST),"[1627777, 203954]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,25.32,Made,6.0,,,,,,,,J. Embiid,203954.0,2.0,,,,,,,
130,PT00M58.90S,2023-01-03T00:34:09.5Z,1,REGULAR,3pt,Jump Shot,[],203468,81.65243101182654,2.941176470588232,1610612740,30,23,2023-01-03T00:40:15Z,1290000,False,-235.0,120.0,1,right,MISS C. McCollum 26' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
131,PT00M56.90S,2023-01-03T00:34:11.5Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,30,23,2023-01-03T00:34:14Z,1300000,False,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,,
132,PT00M50.60S,2023-01-03T00:34:18.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627777,29.48423127463863,78.43137254901961,1610612755,30,23,2023-01-03T00:40:37Z,1310000,False,-142.0,225.0,1,left,MISS G. Niang 26' running 3PT,[1627777],1610612755.0,PHI,running,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,26.59,Missed,,,,,,,,,,,,,,,,,,
133,PT00M48.20S,2023-01-03T00:34:21.1Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,30,23,2023-01-03T00:34:21Z,1320000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,
134,PT00M38.80S,2023-01-03T00:34:32.1Z,1,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,30,23,2023-01-03T00:34:43Z,1330000,False,,,0,,Z. Williamson bad pass out-of-bounds TURNOVER (3 TO),[1629627],1610612740.0,NOP,bad pass,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,3.0,,,,2882.0,,,,,,
135,PT00M38.80S,2023-01-03T00:34:41.2Z,1,REGULAR,substitution,out,[],203468,,,1610612755,30,23,2023-01-03T00:34:46Z,1340000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M38.80S,2023-01-03T00:34:41.2Z,1,REGULAR,substitution,in,[],1628984,,,1610612755,30,23,2023-01-03T00:34:46Z,1350000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M34.80S,2023-01-03T00:34:54.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.356767411300922,52.69607843137255,1610612755,32,23,2023-01-03T00:42:13Z,1360000,False,-13.0,7.0,1,left,T. Maxey running Layup (2 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.53,Made,2.0,,,,,,,,,,,,,,,,,
138,PT00M34.80S,2023-01-03T00:35:03.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626195,,,1610612755,32,23,2023-01-03T00:35:14Z,1370000,False,,,0,,W. Hernangomez shooting personal FOUL (1 PF) (Maxey 1 FT),"[1626195, 1630178]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2882.0,1.0,0.0,Maxey,1630178.0,,
140,PT00M34.80S,2023-01-03T00:35:25.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630178,,,1610612755,33,23,2023-01-03T00:35:25Z,1390000,False,,,0,,T. Maxey Free Throw 1 of 1 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
141,PT00M11.40S,2023-01-03T00:35:51.6Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612740,33,23,2023-01-03T00:35:58Z,1400000,False,,,0,,J. Embiid shooting personal FOUL (2 PF) (Williamson 2 FT),"[203954, 1629627]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2882.0,2.0,0.0,Williamson,1629627.0,,
143,PT00M11.40S,2023-01-03T00:36:26.0Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,33,24,2023-01-03T00:36:26Z,1420000,False,,,0,,Z. Williamson Free Throw 1 of 2 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
144,PT00M11.40S,2023-01-03T00:36:28.7Z,1,REGULAR,substitution,out,[],1629680,,,1610612740,33,24,2023-01-03T00:36:47Z,1430000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M11.40S,2023-01-03T00:36:28.7Z,1,REGULAR,substitution,out,[],1626195,,,1610612740,33,24,2023-01-03T00:36:47Z,1440000,False,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M11.40S,2023-01-03T00:36:28.7Z,1,REGULAR,substitution,in,[],1629001,,,1610612740,33,24,2023-01-03T00:36:47Z,1450000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M11.40S,2023-01-03T00:36:28.7Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,33,24,2023-01-03T00:36:47Z,1460000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M11.40S,2023-01-03T00:36:49.1Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,33,25,2023-01-03T00:36:49Z,1470000,False,,,0,,Z. Williamson Free Throw 2 of 2 (4 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
149,PT00M00.90S,2023-01-03T00:37:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,8.196452036793687,59.55882352941176,1610612755,33,25,2023-01-03T00:37:07Z,1480000,False,-48.0,25.0,1,left,MISS T. Maxey driving floating bank Shot,[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,,,,,,,,,,,
150,PT00M00.90S,2023-01-03T00:37:02.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,33,25,2023-01-03T00:37:07Z,1490000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,149.0,2.0,2.0,0.0,,,,,,,,,,,
151,PT00M00.20S,2023-01-03T00:37:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630230,18.183311432325894,85.04901960784314,1610612740,33,25,2023-01-03T00:37:16Z,1500000,False,175.0,717.0,1,right,MISS N. Marshall 73' running 3PT,[1630230],1610612740.0,NOP,running,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left,73.77,Missed,,,,,,,,,,,,,,,,,,
152,PT00M00.10S,2023-01-03T00:37:07.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,33,25,2023-01-03T00:37:16Z,1510000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,16-24 Left,,,,,,151.0,,,,,,,,,,,,,,
153,PT00M00.00S,2023-01-03T00:37:21.1Z,1,REGULAR,period,end,[],0,,,1610612740,33,25,2023-01-03T00:37:21Z,1520000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,out,['startperiod'],203954,,,1610612740,33,25,2023-01-03T00:39:54Z,1530000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,out,['startperiod'],1629001,,,1610612740,33,25,2023-01-03T00:39:54Z,1540000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,out,['startperiod'],1630230,,,1610612740,33,25,2023-01-03T00:39:54Z,1550000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,out,['startperiod'],1630700,,,1610612740,33,25,2023-01-03T00:39:54Z,1560000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,out,['startperiod'],1629637,,,1610612740,33,25,2023-01-03T00:39:54Z,1570000,False,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612740,33,25,2023-01-03T00:39:54Z,1580000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,in,['startperiod'],1626149,,,1610612740,33,25,2023-01-03T00:39:54Z,1590000,False,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,in,['startperiod'],1630631,,,1610612740,33,25,2023-01-03T00:39:54Z,1600000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612740,33,25,2023-01-03T00:39:54Z,1610000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-01-03T00:39:34.3Z,2,REGULAR,substitution,in,['startperiod'],1630530,,,1610612740,33,25,2023-01-03T00:39:54Z,1620000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-01-03T00:39:55.5Z,2,REGULAR,period,start,[],0,,,1610612755,33,25,2023-01-03T00:39:55Z,1630000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M43.00S,2023-01-03T00:40:10.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,4.648488830486201,54.90196078431372,1610612755,33,25,2023-01-03T00:40:16Z,1640000,False,-25.0,-9.0,1,left,MISS S. Milton driving reverse Layup,[1629003],1610612755.0,PHI,driving reverse,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
166,PT11M41.00S,2023-01-03T00:40:12.9Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,33,25,2023-01-03T00:40:16Z,1650000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,165.0,2.0,2.0,0.0,,,,,,,,,,,
167,PT11M31.00S,2023-01-03T00:40:23.5Z,2,REGULAR,3pt,Jump Shot,[],202685,68.77463863337714,32.1078431372549,1610612740,33,28,2023-01-03T00:40:27Z,1660000,False,-89.0,241.0,1,right,J. Valanciunas 25' 3PT  (6 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.71,Made,6.0,,,,,,,,D. Graham,1628984.0,1.0,,,,,,,
