actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
99,PT04M46.00S,2022-10-22T22:26:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.995400788436268,52.450980392156865,1610612755,18,12,2022-10-22T22:26:12Z,970000,-12.0,4.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.29,Made,,,,,,,,,,,,,2.0,,,,,
100,PT04M25.00S,2022-10-22T22:26:29.2Z,1,REGULAR,turnover,out-of-bounds,[],1630563,,,1610612759,18,12,2022-10-22T22:26:36Z,980000,,,0,,J. Primo bad pass out-of-bounds TURNOVER (1 TO),[1630563],1610612759.0,SAS,bad pass,,,Primo,J. Primo,,,,,Mid-Range,16-24 Center,,,,,,,1.0,1628172.0,,,,,,,,,,,,
101,PT04M25.00S,2022-10-22T22:26:32.9Z,1,REGULAR,substitution,out,[],1629640,,,1610612755,18,12,2022-10-22T22:26:41Z,990000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M25.00S,2022-10-22T22:26:32.9Z,1,REGULAR,substitution,out,[],1627751,,,1610612755,18,12,2022-10-22T22:26:41Z,1000000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M25.00S,2022-10-22T22:26:32.9Z,1,REGULAR,substitution,in,[],203926,,,1610612755,18,12,2022-10-22T22:26:41Z,1010000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M25.00S,2022-10-22T22:26:32.9Z,1,REGULAR,substitution,in,[],1628380,,,1610612755,18,12,2022-10-22T22:26:41Z,1020000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M25.00S,2022-10-22T22:26:43.1Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,18,12,2022-10-22T22:26:46Z,1030000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M25.00S,2022-10-22T22:26:43.1Z,1,REGULAR,substitution,out,[],200782,,,1610612755,18,12,2022-10-22T22:26:46Z,1040000,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M25.00S,2022-10-22T22:26:43.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612755,18,12,2022-10-22T22:26:46Z,1050000,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M25.00S,2022-10-22T22:26:43.1Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,18,12,2022-10-22T22:26:46Z,1060000,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M06.00S,2022-10-22T22:27:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202699,7.178055190538765,52.94117647058824,1610612755,18,12,2022-10-22T22:27:13Z,1070000,-15.0,15.0,1,left,MISS T. Harris driving DUNK - blocked,"[202699, 1629676]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,Roby,1629676.0,,,,,,
110,PT04M06.00S,2022-10-22T22:27:08.6Z,1,REGULAR,block,,[],1629676,,,1610612755,18,12,2022-10-22T22:27:11Z,1080000,,,0,,I. Roby BLOCK (1 BLK),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT04M03.00S,2022-10-22T22:27:11.6Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,18,12,2022-10-22T22:27:13Z,1090000,,,0,,J. Primo REBOUND (Off:0 Def:1),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,Restricted Area,0-8 Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
112,PT03M50.00S,2022-10-22T22:27:26.1Z,1,REGULAR,3pt,Jump Shot,[],203926,67.09921156373193,34.31372549019608,1610612759,18,12,2022-10-22T22:27:31Z,1100000,-78.0,257.0,1,right,MISS D. McDermott 26' pullup 3PT,[203926],1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,26.85,Missed,,,,,,,,,,,,,,,,,,
113,PT03M45.00S,2022-10-22T22:27:29.8Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612759,18,12,2022-10-22T22:27:29Z,1110000,,,0,,I. Roby REBOUND (Off:1 Def:0),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Above the Break 3,24+ Center,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,,,
114,PT03M43.00S,2022-10-22T22:27:31.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626196,67.36202365308804,22.30392156862745,1610612759,18,12,2022-10-22T22:27:36Z,1120000,-138.0,254.0,1,right,MISS J. Richardson 28' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,28.96,Missed,,,,,,,,,,,,,,,,,,
115,PT03M39.00S,2022-10-22T22:27:35.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,18,12,2022-10-22T22:27:36Z,1130000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,114.0,2.0,2.0,0.0,,,,,,,,,,,,,,
116,PT03M30.00S,2022-10-22T22:27:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,18.2161629434954,37.00980392156863,1610612755,20,12,2022-10-22T22:27:49Z,1140000,65.0,119.0,1,left,J. Harden 13' step back Jump Shot (4 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,13.53,Made,,,,,,,,,,,,,4.0,,,,,
117,PT03M16.00S,2022-10-22T22:27:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,90.75229960578186,48.77450980392157,1610612759,20,12,2022-10-22T22:28:10Z,1150000,-6.0,34.0,1,right,MISS J. Primo driving Layup - blocked,"[1630563, 201935]",1610612759.0,SAS,driving,,,Primo,J. Primo,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,Harden,201935.0,,,,,,
118,PT03M16.00S,2022-10-22T22:27:59.1Z,1,REGULAR,block,,[],201935,,,1610612759,20,12,2022-10-22T22:28:02Z,1160000,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
119,PT03M13.00S,2022-10-22T22:28:02.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,12,2022-10-22T22:28:10Z,1170000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,117.0,3.0,3.0,0.0,,,,,,,,,,,,,,
120,PT03M09.00S,2022-10-22T22:28:06.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.514454664914586,54.41176470588235,1610612755,20,12,2022-10-22T22:28:15Z,1180000,-22.0,56.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,,,,,,,,,,,,,,
121,PT03M07.00S,2022-10-22T22:28:07.8Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,20,12,2022-10-22T22:28:07Z,1190000,,,0,,J. Harden REBOUND (Off:1 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,120.0,3.0,2.0,1.0,,,,,,,,,,,,,,
122,PT03M06.00S,2022-10-22T22:28:09.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629001,12.040078843626807,97.05882352941177,1610612755,20,12,2022-10-22T22:28:17Z,1200000,-235.0,61.0,1,left,MISS D. Melton 24' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,24.3,Missed,,,,,,,,,,,,,,,,,,
123,PT03M03.00S,2022-10-22T22:28:12.2Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612759,20,12,2022-10-22T22:28:17Z,1210000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Left Corner 3,24+ Left,,,122.0,2.0,1.0,1.0,,,,,,,,,,,,,,
124,PT02M54.00S,2022-10-22T22:28:21.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,75.3777923784494,12.254901960784313,1610612759,20,12,2022-10-22T22:28:25Z,1220000,-189.0,179.0,1,right,MISS J. Richardson 26' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
125,PT02M51.00S,2022-10-22T22:28:24.4Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,20,12,2022-10-22T22:28:25Z,1230000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT02M43.00S,2022-10-22T22:28:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,8.754927726675426,47.794117647058826,1610612755,20,12,2022-10-22T22:28:35Z,1240000,11.0,30.0,1,left,MISS D. Melton driving Layup,[1629001],1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,3.18,Missed,,,,,,,,,,,,,,,,,,
127,PT02M41.00S,2022-10-22T22:28:33.6Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,20,12,2022-10-22T22:28:33Z,1250000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,
128,PT02M37.00S,2022-10-22T22:28:38.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1626196,84.44480946123521,37.254901960784316,1610612759,20,14,2022-10-22T22:28:51Z,1260000,-64.0,94.0,1,right,J. Richardson 11' running pullup Jump Shot (2 PTS),[1626196],1610612759.0,SAS,running pullup,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Left,11.33,Made,,,,,,,,,,,,,2.0,,,,,
130,PT02M23.00S,2022-10-22T22:28:51.6Z,1,REGULAR,3pt,Jump Shot,[],202699,34.11629434954008,53.431372549019606,1610612755,20,14,2022-10-22T22:28:55Z,1280000,-17.0,268.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,26.88,Missed,,,,,,,,,,,,,,,,,,
131,PT02M21.00S,2022-10-22T22:28:53.6Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,20,14,2022-10-22T22:28:55Z,1290000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,,,
132,PT02M14.00S,2022-10-22T22:29:01.2Z,1,REGULAR,3pt,Jump Shot,[],1628380,67.88764783180025,27.450980392156865,1610612759,20,17,2022-10-22T22:29:05Z,1300000,-113.0,249.0,1,right,Z. Collins 27' 3PT  (3 PTS) (J. Primo 1 AST),"[1628380, 1630563]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,27.37,Made,,,,,,,,,,,,,3.0,J. Primo,1630563.0,1.0,,
134,PT02M02.00S,2022-10-22T22:29:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,20,17,2022-10-22T22:29:16Z,1320000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M02.00S,2022-10-22T22:31:27.4Z,1,REGULAR,substitution,out,[],202699,,,1610612755,20,17,2022-10-22T22:31:47Z,1330000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M02.00S,2022-10-22T22:31:27.4Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,20,17,2022-10-22T22:31:47Z,1340000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M53.00S,2022-10-22T22:32:29.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,27.94021024967148,18.137254901960784,1610612755,23,17,2022-10-22T22:32:33Z,1350000,159.0,210.0,1,left,G. Niang 26' 3PT  (3 PTS) (J. Harden 6 AST),"[1627777, 201935]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,26.37,Made,,,,,,,,,,,,,3.0,J. Harden,201935.0,6.0,,
139,PT01M38.00S,2022-10-22T22:32:44.3Z,1,REGULAR,2pt,Jump Shot,[],1629676,95.6143232588699,16.666666666666664,1610612759,23,19,2022-10-22T22:32:49Z,1370000,-167.0,-11.0,1,right,I. Roby 16' pullup Jump Shot (2 PTS) (J. Richardson 1 AST),"[1629676, 1626196]",1610612759.0,SAS,pullup,,,Roby,I. Roby,,,,,Mid-Range,16-24 Left,16.71,Made,,,,,,,,,,,,,2.0,J. Richardson,1626196.0,1.0,,
141,PT01M29.00S,2022-10-22T22:32:57.1Z,1,REGULAR,foul,personal,[],1629676,,,1610612755,23,19,2022-10-22T22:33:04Z,1390000,,,0,,I. Roby personal FOUL (1 PF),"[1629676, 1626149]",1610612759.0,SAS,,,,Roby,I. Roby,,,,,Mid-Range,16-24 Center,,,,,,,,202026.0,1.0,0.0,Harrell,1626149.0,,,,,,,,
143,PT01M13.00S,2022-10-22T22:33:34.6Z,1,REGULAR,3pt,Jump Shot,[],201935,30.436925098554536,23.52941176470588,1610612755,23,19,2022-10-22T22:33:38Z,1410000,132.0,234.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
144,PT01M10.00S,2022-10-22T22:33:37.6Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,23,19,2022-10-22T22:33:38Z,1420000,,,0,,J. Primo REBOUND (Off:0 Def:2),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,Above the Break 3,24+ Right Center,,,143.0,2.0,2.0,0.0,,,,,,,,,,,,,,
145,PT00M54.10S,2022-10-22T22:33:56.6Z,1,REGULAR,foul,offensive,[],203926,,,1610612759,23,19,2022-10-22T22:34:03Z,1430000,,,0,,D. McDermott charge offensive FOUL (1 PF),"[203926, 1626149]",1610612759.0,SAS,charge,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,1.0,0.0,Harrell,1626149.0,,,,,,,,
147,PT00M54.10S,2022-10-22T22:33:56.6Z,1,REGULAR,turnover,offensive foul,[],203926,,,1610612759,23,19,2022-10-22T22:33:56Z,1450000,,,0,,D. McDermott offensive foul TURNOVER (1 TO),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,202026.0,,,,,,,,,,,,
148,PT00M54.10S,2022-10-22T22:34:05.7Z,1,REGULAR,substitution,out,[],201935,,,1610612755,23,19,2022-10-22T22:34:10Z,1460000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M54.10S,2022-10-22T22:34:05.7Z,1,REGULAR,substitution,out,[],1626149,,,1610612755,23,19,2022-10-22T22:34:10Z,1470000,,,0,,SUB out: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M54.10S,2022-10-22T22:34:05.7Z,1,REGULAR,substitution,in,[],203954,,,1610612755,23,19,2022-10-22T22:34:10Z,1480000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M54.10S,2022-10-22T22:34:05.7Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,23,19,2022-10-22T22:34:10Z,1490000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M42.60S,2022-10-22T22:34:29.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628380,,,1610612755,23,19,2022-10-22T22:34:36Z,1500000,,,0,,Z. Collins shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628380, 203954]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1628172.0,1.0,0.0,Embiid,203954.0,,,,,,,,
154,PT00M42.60S,2022-10-22T22:34:58.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,24,19,2022-10-22T22:34:58Z,1520000,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,,,5.0,,,,,
155,PT00M42.60S,2022-10-22T22:34:59.3Z,1,REGULAR,substitution,out,[],1628380,,,1610612755,24,19,2022-10-22T22:35:25Z,1530000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M42.60S,2022-10-22T22:34:59.3Z,1,REGULAR,substitution,in,[],203476,,,1610612755,24,19,2022-10-22T22:35:25Z,1540000,,,0,,SUB in: G. Dieng,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M42.60S,2022-10-22T22:35:28.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,25,19,2022-10-22T22:35:28Z,1550000,,,0,,J. Embiid Free Throw 2 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,,,6.0,,,,,
158,PT00M29.50S,2022-10-22T22:35:42.3Z,1,REGULAR,3pt,Jump Shot,[],1626196,72.22404730617609,17.15686274509804,1610612759,25,19,2022-10-22T22:35:47Z,1560000,-164.0,209.0,1,right,MISS J. Richardson 26' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,26.55,Missed,,,,,,,,,,,,,,,,,,
159,PT00M26.20S,2022-10-22T22:35:45.6Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,25,19,2022-10-22T22:35:47Z,1570000,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,158.0,2.0,2.0,0.0,,,,,,,,,,,,,,
160,PT00M09.90S,2022-10-22T22:36:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.728646517739815,21.813725490196077,1610612755,25,19,2022-10-22T22:36:37Z,1580000,141.0,218.0,1,left,MISS T. Maxey 25' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,,
161,PT00M04.90S,2022-10-22T22:36:06.9Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,25,19,2022-10-22T22:36:06Z,1590000,,,0,,J. Primo REBOUND (Off:0 Def:3),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,Above the Break 3,24+ Right Center,,,160.0,3.0,3.0,0.0,,,,,,,,,,,,,,
162,PT00M01.70S,2022-10-22T22:36:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,92.06636005256242,56.86274509803921,1610612759,25,19,2022-10-22T22:36:22Z,1600000,34.0,22.0,1,right,MISS J. Primo running Layup,[1630563],1610612759.0,SAS,running,,,Primo,J. Primo,,,,,Restricted Area,0-8 Center,4.08,Missed,,,,,,,,,,,,,,,,,,
163,PT00M01.70S,2022-10-22T22:36:10.0Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612759,25,19,2022-10-22T22:36:22Z,1610000,,,0,,I. Roby REBOUND (Off:2 Def:1),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,162.0,3.0,1.0,2.0,,,,,,,,,,,,,,
164,PT00M00.00S,2022-10-22T22:36:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629676,94.40999984741211,50.0,1610612759,25,19,2022-10-22T22:36:14Z,1620000,0.0,0.0,1,right,MISS I. Roby tip Layup,[1629676],1610612759.0,SAS,tip,,,Roby,I. Roby,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2022-10-22T22:36:16.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,25,19,2022-10-22T22:36:16Z,1630000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,164.0,3.0,3.0,0.0,,,,,,,,,,,,,,
166,PT00M00.00S,2022-10-22T22:36:24.6Z,1,REGULAR,period,end,[],0,,,1610612755,25,19,2022-10-22T22:36:24Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-10-22T22:36:37.0Z,2,REGULAR,substitution,out,['startperiod'],1626196,,,1610612755,25,19,2022-10-22T22:38:46Z,1650000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-10-22T22:36:37.0Z,2,REGULAR,substitution,in,['startperiod'],1630170,,,1610612755,25,19,2022-10-22T22:38:46Z,1660000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-10-22T22:38:59.4Z,2,REGULAR,period,start,[],0,,,1610612755,25,19,2022-10-22T22:38:59Z,1670000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M47.00S,2022-10-22T22:39:10.9Z,2,REGULAR,turnover,bad pass,[],1627863,,,1610612755,25,19,2022-10-22T22:39:14Z,1680000,,,0,,D. House Jr. bad pass TURNOVER (1 TO),"[1627863, 1629676]",1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,,,,,,,,,Roby,1629676.0
171,PT11M47.00S,2022-10-22T22:39:10.9Z,2,REGULAR,steal,,[],1629676,,,1610612759,25,19,2022-10-22T22:57:29Z,1690000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
172,PT11M43.00S,2022-10-22T22:39:16.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630170,94.1688567674113,52.20588235294118,1610612759,25,21,2022-10-22T22:39:23Z,1700000,11.0,2.0,1,right,D. Vassell running Layup (5 PTS),[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,1.12,Made,,,,,,,,,,,,,5.0,,,,,
173,PT11M30.00S,2022-10-22T22:39:27.9Z,2,REGULAR,3pt,Jump Shot,[],1627777,10.5946123521682,4.411764705882353,1610612755,25,21,2022-10-22T22:39:32Z,1710000,228.0,47.0,1,left,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
174,PT11M27.00S,2022-10-22T22:39:30.9Z,2,REGULAR,rebound,defensive,[],203926,,,1610612759,25,21,2022-10-22T22:39:32Z,1720000,,,0,,D. McDermott REBOUND (Off:0 Def:2),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Right Corner 3,24+ Right,,,173.0,2.0,2.0,0.0,,,,,,,,,,,,,,
175,PT11M20.00S,2022-10-22T22:39:37.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630563,86.28449408672799,43.872549019607845,1610612759,25,23,2022-10-22T22:39:41Z,1730000,-31.0,76.0,1,right,J. Primo 8' pullup Jump Shot (2 PTS),[1630563],1610612759.0,SAS,pullup,,,Primo,J. Primo,,,,,In The Paint (Non-RA),8-16 Center,8.23,Made,,,,,,,,,,,,,2.0,,,,,
176,PT11M06.00S,2022-10-22T22:39:52.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,5.469776609724048,50.0,1610612755,27,23,2022-10-22T22:39:59Z,1740000,0.0,-1.0,1,left,G. Niang driving reverse Layup (5 PTS) (T. Maxey 2 AST),"[1627777, 1630178]",1610612755.0,PHI,driving reverse,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,0.11,Made,,,,,,,,,,,,,5.0,T. Maxey,1630178.0,2.0,,
178,PT10M51.00S,2022-10-22T22:40:07.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630170,94.69448094612353,51.225490196078425,1610612759,27,25,2022-10-22T22:40:13Z,1760000,6.0,-3.0,1,right,D. Vassell cutting DUNK (7 PTS) (G. Dieng 1 AST),"[1630170, 203476]",1610612759.0,SAS,cutting,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,,,,,,,,,7.0,G. Dieng,203476.0,1.0,,
182,PT10M27.00S,2022-10-22T22:41:06.6Z,2,REGULAR,2pt,Jump Shot,[],203954,4.944152431011826,9.558823529411764,1610612755,29,25,2022-10-22T22:41:37Z,1800000,202.0,-6.0,1,left,J. Embiid 20' Jump Shot (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right,20.23,Made,,,,,,,,,,,,,8.0,,,,,
