actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
145,PT11M45.00S,2022-12-24T00:37:03.0Z,2,REGULAR,steal,,[],1629003,,,1610612755,24,33,2022-12-24T00:37:05Z,1440000,False,,,0,,S. Milton STEAL (1 STL),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
146,PT11M39.00S,2022-12-24T00:37:08.7Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201935,10.95597897503285,47.79411764705882,1610612755,24,33,2022-12-24T00:39:39Z,1450000,False,11.0,50.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
147,PT11M37.00S,2022-12-24T00:37:10.7Z,2,REGULAR,rebound,defensive,[],1627826,,,1610612746,24,33,2022-12-24T00:37:12Z,1460000,False,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,146.0,4.0,3.0,1.0,,,,,,,,,,
148,PT11M30.00S,2022-12-24T00:37:18.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,95.18725361366623,48.774509803921575,1610612746,24,35,2022-12-24T00:37:25Z,1470000,False,-6.0,-7.0,1,right,N. Powell driving Layup (2 PTS),[1626181],1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,,,,,,,,,,,,,,,,,
149,PT11M10.00S,2022-12-24T00:37:45.9Z,2,REGULAR,3pt,Jump Shot,[],1629003,12.795663600525614,0.735294117647058,1610612755,24,35,2022-12-24T00:37:51Z,1480000,False,246.0,68.0,1,left,MISS S. Milton 25' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Right Corner 3,24+ Right,25.55,Missed,,,,,,,,,,,,,,,,,,
150,PT11M08.00S,2022-12-24T00:37:47.9Z,2,REGULAR,rebound,offensive,[],1627863,,,1610612755,24,35,2022-12-24T00:37:51Z,1490000,False,,,0,,D. House Jr. REBOUND (Off:1 Def:0),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,,,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,
151,PT11M06.00S,2022-12-24T00:37:49.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627863,13.452693823915894,47.05882352941176,1610612755,26,35,2022-12-24T00:37:53Z,1500000,False,15.0,74.0,1,left,D. House Jr. 7' pullup Jump Shot (2 PTS),[1627863],1610612755.0,PHI,pullup,,,House Jr.,D. House Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.54,Made,2.0,,,,,,,,,,,,,,,,,
152,PT10M51.00S,2022-12-24T00:38:04.9Z,2,REGULAR,3pt,Jump Shot,[],1626181,69.56307490144546,72.05882352941177,1610612746,26,35,2022-12-24T00:38:09Z,1510000,False,110.0,234.0,1,right,MISS N. Powell 25' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
153,PT10M49.00S,2022-12-24T00:38:07.5Z,2,REGULAR,rebound,offensive,[],201587,,,1610612746,26,35,2022-12-24T00:38:07Z,1520000,False,,,0,,N. Batum REBOUND (Off:1 Def:0),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,,,,,,,152.0,1.0,0.0,1.0,,,,,,,,,,
154,PT10M37.00S,2022-12-24T00:38:19.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628379,79.94415243101183,51.96078431372549,1610612746,26,35,2022-12-24T00:38:25Z,1530000,False,10.0,136.0,1,right,MISS L. Kennard 13' step back Shot,[1628379],1610612746.0,LAC,step back,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,13.64,Missed,,,,,,,,,,,,,,,,,,
155,PT10M34.00S,2022-12-24T00:38:22.4Z,2,REGULAR,rebound,offensive,[],1627826,,,1610612746,26,35,2022-12-24T00:38:25Z,1540000,False,,,0,,I. Zubac REBOUND (Off:2 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,154.0,5.0,3.0,2.0,,,,,,,,,,
156,PT10M25.00S,2022-12-24T00:38:31.1Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],201587,79.02431011826545,53.431372549019606,1610612746,26,37,2022-12-24T00:38:35Z,1550000,False,17.0,145.0,1,right,N. Batum 14' pullup Jump Shot (2 PTS) (N. Powell 1 AST),"[201587, 1626181]",1610612746.0,LAC,pullup,,,Batum,N. Batum,,,,,Mid-Range,8-16 Center,14.57,Made,2.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,
159,PT09M57.00S,2022-12-24T00:39:16.9Z,2,REGULAR,3pt,Jump Shot,[],201935,33.03219448094612,52.69607843137255,1610612755,29,37,2022-12-24T00:42:11Z,1580000,False,-13.0,258.0,1,left,J. Harden 25' 3PT step back (5 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,25.84,Made,5.0,,,,,,,,,,,,,,,,,
