actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
85,PT04M44.00S,2024-11-10T23:24:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630557,67.09921156373193,54.65686274509803,1610612764,14,15,2024-11-10T23:24:10Z,840000,False,23.0,257.0,1,right,MISS C. Kispert 25' 3PT - blocked,"[1630557, 1641710]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,25.79,Missed,,,,,Black,1641710.0,,,,,,,,,,,,
86,PT04M44.00S,2024-11-10T23:24:02.8Z,1,REGULAR,block,,[],1641710,,,1610612764,14,15,2024-11-10T23:24:06Z,850000,False,,,0,,A. Black BLOCK (1 BLK),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
87,PT04M41.00S,2024-11-10T23:24:05.8Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,14,15,2024-11-10T23:24:10Z,860000,False,,,0,,G. Bitadze REBOUND (Off:3 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,85.0,5.0,2.0,3.0,,,,,,,,,,,,,,
88,PT04M38.00S,2024-11-10T23:24:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,6.1268068331143235,53.431372549019606,1610612753,16,15,2024-11-10T23:24:26Z,870000,False,-17.0,5.0,1,left,F. Wagner running alley-oop Layup (6 PTS) (A. Black 1 AST),"[1630532, 1641710]",1610612753.0,ORL,running alley-oop,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.79,Made,,,,,,,,,,,,,,,6.0,A. Black,1641710.0,1.0
90,PT04M24.00S,2024-11-10T23:24:23.0Z,1,REGULAR,2pt,Jump Shot,[],1642259,87.46714848883047,68.13725490196079,1610612764,16,15,2024-11-10T23:24:32Z,890000,False,91.0,65.0,1,right,MISS A. Sarr 11' turnaround fadeaway Shot,[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,11.18,Missed,,,,,,,,,,,,,,,,,,
91,PT04M24.00S,2024-11-10T23:24:23.0Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,16,15,2024-11-10T23:24:32Z,900000,False,,,0,,F. Wagner REBOUND (Off:0 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,90.0,3.0,3.0,0.0,,,,,,,,,,,,,,
92,PT04M15.00S,2024-11-10T23:24:32.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,5.995400788436268,50.73529411764706,1610612753,18,15,2024-11-10T23:25:23Z,910000,False,-4.0,4.0,1,left,G. Bitadze cutting DUNK (6 PTS) (F. Wagner 1 AST),"[1629048, 1630532]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,,,,,,,,,,,6.0,F. Wagner,1630532.0,1.0
94,PT04M15.00S,2024-11-10T23:24:39.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,18,15,2024-11-10T23:24:39Z,930000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,out,[],1641783,,,1610612764,18,15,2024-11-10T23:27:23Z,940000,False,,,0,,SUB out: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,out,[],1629048,,,1610612764,18,15,2024-11-10T23:27:23Z,950000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,out,[],1642259,,,1610612764,18,15,2024-11-10T23:27:23Z,960000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,in,[],1628371,,,1610612764,18,15,2024-11-10T23:27:23Z,970000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,in,[],1629021,,,1610612764,18,15,2024-11-10T23:27:23Z,980000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M15.00S,2024-11-10T23:27:08.5Z,1,REGULAR,substitution,in,[],202685,,,1610612764,18,15,2024-11-10T23:27:23Z,990000,False,,,0,,SUB in: J. Valančiūnas,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M56.00S,2024-11-10T23:27:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641731,89.83245729303549,50.49019607843137,1610612764,18,17,2024-11-10T23:28:11Z,1000000,False,2.0,43.0,1,right,B. Coulibaly driving bank Jump Shot (6 PTS),[1641731],1610612764.0,WAS,driving bank,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,4.32,Made,,,,,,,,,,,,,,,6.0,,,
102,PT03M56.00S,2024-11-10T23:28:00.8Z,1,REGULAR,foul,personal,['1freethrow'],203484,,,1610612764,18,17,2024-11-10T23:28:14Z,1010000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Coulibaly 1 FT),"[203484, 1641731]",1610612753.0,ORL,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,204058.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,
104,PT03M56.00S,2024-11-10T23:28:08.6Z,1,REGULAR,substitution,out,[],1642273,,,1610612764,18,17,2024-11-10T23:28:36Z,1030000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M56.00S,2024-11-10T23:28:08.6Z,1,REGULAR,substitution,in,[],1628963,,,1610612764,18,17,2024-11-10T23:28:36Z,1040000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M56.00S,2024-11-10T23:28:27.8Z,1,REGULAR,freethrow,1 of 1,[],1641731,,,1610612764,18,18,2024-11-10T23:28:27Z,1050000,False,,,0,,B. Coulibaly Free Throw 1 of 1 (7 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
107,PT03M38.00S,2024-11-10T23:28:46.7Z,1,REGULAR,2pt,Jump Shot,[],1628371,7.178055190538765,75.24509803921569,1610612753,18,18,2024-11-10T23:29:02Z,1060000,False,-126.0,15.0,1,left,MISS J. Isaac 12' turnaround Shot,[1628371],1610612753.0,ORL,turnaround,,,Isaac,J. Isaac,,,,,Mid-Range,8-16 Left,12.71,Missed,,,,,,,,,,,,,,,,,,
108,PT03M35.00S,2024-11-10T23:28:49.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612764,18,18,2024-11-10T23:28:49Z,1070000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:1),[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Left,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,
109,PT03M13.00S,2024-11-10T23:29:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.72339027595268,53.431372549019606,1610612764,18,20,2024-11-10T23:29:18Z,1080000,False,17.0,16.0,1,right,J. Valančiūnas Layup (2 PTS) (B. Coulibaly 1 AST),"[202685, 1641731]",1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,,,,,,,,,2.0,B. Coulibaly,1641731.0,1.0
111,PT02M54.00S,2024-11-10T23:29:30.3Z,1,REGULAR,3pt,Jump Shot,[],1629021,29.517082785808146,73.52941176470588,1610612753,18,20,2024-11-10T23:29:35Z,1100000,False,-118.0,225.0,1,left,MISS M. Wagner 25' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,25.39,Missed,,,,,,,,,,,,,,,,,,
112,PT02M52.00S,2024-11-10T23:29:32.3Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,18,20,2024-11-10T23:29:35Z,1110000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,111.0,1.0,0.0,1.0,,,,,,,,,,,,,,
113,PT02M49.00S,2024-11-10T23:29:35.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203484,22.815374507227332,12.990196078431374,1610612753,18,20,2024-11-10T23:29:44Z,1120000,False,185.0,162.0,1,left,MISS K. Caldwell-Pope 24' step back 3PT,[203484],1610612753.0,ORL,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,24.59,Missed,,,,,,,,,,,,,,,,,,
114,PT02M46.00S,2024-11-10T23:29:38.5Z,1,REGULAR,rebound,offensive,[],1628371,,,1610612753,18,20,2024-11-10T23:29:44Z,1130000,False,,,0,,J. Isaac REBOUND (Off:1 Def:0),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Above the Break 3,24+ Right Center,,,113.0,1.0,0.0,1.0,,,,,,,,,,,,,,
115,PT02M43.00S,2024-11-10T23:29:41.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629021,7.046649145860711,95.09803921568627,1610612753,21,20,2024-11-10T23:29:48Z,1140000,False,-225.0,14.0,1,left,M. Wagner 3PT  (3 PTS) (F. Wagner 2 AST),"[1629021, 1630532]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Left Corner 3,24+ Left,22.59,Made,,,,,,,,,,,,,,,3.0,F. Wagner,1630532.0,2.0
117,PT02M20.00S,2024-11-10T23:30:04.6Z,1,REGULAR,turnover,lost ball,[],1630557,,,1610612764,21,20,2024-11-10T23:30:09Z,1160000,False,,,0,,C. Kispert lost ball TURNOVER (1 TO),"[1630557, 1628371]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Isaac,1628371.0,,,,
118,PT02M20.00S,2024-11-10T23:30:04.6Z,1,REGULAR,steal,,[],1628371,,,1610612753,21,20,2024-11-10T23:30:07Z,1170000,False,,,0,,J. Isaac STEAL (1 STL),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
119,PT02M01.00S,2024-11-10T23:30:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629021,26.62614980289093,79.90196078431373,1610612753,21,20,2024-11-10T23:30:31Z,1180000,False,-150.0,198.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,24.79,Missed,,,,,,,,,,,,,,,,,,
120,PT01M58.00S,2024-11-10T23:30:26.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,21,20,2024-11-10T23:30:31Z,1190000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,,
121,PT01M45.00S,2024-11-10T23:30:39.5Z,1,REGULAR,2pt,Jump Shot,[],1642267,80.3712220762155,80.63725490196079,1610612764,21,20,2024-11-10T23:30:47Z,1200000,False,153.0,132.0,1,right,MISS C. Carrington 20' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,C. Carrington,,,,,Mid-Range,16-24 Right Center,20.22,Missed,,,,,,,,,,,,,,,,,,
122,PT01M42.00S,2024-11-10T23:30:42.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,21,20,2024-11-10T23:30:47Z,1210000,False,,,0,,F. Wagner REBOUND (Off:0 Def:4),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,,,121.0,4.0,4.0,0.0,,,,,,,,,,,,,,
123,PT01M23.00S,2024-11-10T23:31:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,18.873193166885677,6.372549019607843,1610612753,24,20,2024-11-10T23:31:10Z,1220000,False,218.0,125.0,1,left,F. Wagner 25' 3PT step back (9 PTS),[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,25.13,Made,,,,,,,,,,,,,,,9.0,,,
124,PT01M06.00S,2024-11-10T23:31:20.0Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612764,24,20,2024-11-10T23:31:29Z,1230000,False,,,0,,J. Valančiūnas bad pass TURNOVER (1 TO),[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,,,,,,
125,PT01M06.00S,2024-11-10T23:31:23.5Z,1,REGULAR,substitution,out,[],203484,,,1610612753,24,20,2024-11-10T23:31:57Z,1240000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M06.00S,2024-11-10T23:31:23.5Z,1,REGULAR,substitution,out,[],1642267,,,1610612753,24,20,2024-11-10T23:31:57Z,1250000,False,,,0,,SUB out: C. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M06.00S,2024-11-10T23:31:23.5Z,1,REGULAR,substitution,in,[],203914,,,1610612753,24,20,2024-11-10T23:31:57Z,1260000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M06.00S,2024-11-10T23:31:23.5Z,1,REGULAR,substitution,in,[],1629673,,,1610612753,24,20,2024-11-10T23:31:57Z,1270000,False,,,0,,SUB in: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT00M54.00S,2024-11-10T23:31:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629021,5.995400788436268,50.0,1610612753,26,20,2024-11-10T23:32:13Z,1280000,False,0.0,4.0,1,left,M. Wagner driving finger roll Layup (5 PTS) (F. Wagner 3 AST),"[1629021, 1630532]",1610612753.0,ORL,driving finger roll,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,,,,,,5.0,F. Wagner,1630532.0,3.0
130,PT00M54.00S,2024-11-10T23:32:03.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202685,,,1610612753,26,20,2024-11-10T23:32:32Z,1290000,False,,,0,,J. Valančiūnas shooting personal FOUL (1 PF) (Wagner 1 FT),"[202685, 1629021]",1610612764.0,WAS,shooting,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,,,,,,,,,204058.0,1.0,0.0,Wagner,1629021.0,,,,,,,
132,PT00M54.00S,2024-11-10T23:32:34.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629021,,,1610612753,26,20,2024-11-10T23:32:34Z,1310000,False,,,0,,MISS M. Wagner Free Throw 1 of 1,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
133,PT00M50.50S,2024-11-10T23:32:36.5Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,26,20,2024-11-10T23:32:36Z,1320000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,,
134,PT00M31.60S,2024-11-10T23:32:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,83.26215505913272,49.50980392156863,1610612764,26,20,2024-11-10T23:33:20Z,1330000,False,-2.0,105.0,1,right,MISS C. Kispert 10' floating Shot,[1630557],1610612764.0,WAS,floating,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,10.48,Missed,,,,,,,,,,,,,,,,,,
135,PT00M29.60S,2024-11-10T23:32:59.8Z,1,REGULAR,rebound,offensive,[],1641731,,,1610612764,26,20,2024-11-10T23:32:59Z,1340000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:0),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),8-16 Center,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,,
136,PT00M29.60S,2024-11-10T23:32:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641731,94.40999984741211,50.0,1610612764,26,22,2024-11-10T23:32:59Z,1350000,False,0.0,0.0,1,right,B. Coulibaly tip Layup (9 PTS),[1641731],1610612764.0,WAS,tip,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,,,9.0,,,
137,PT00M11.70S,2024-11-10T23:33:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.229303547963205,45.09803921568628,1610612753,26,22,2024-11-10T23:33:27Z,1360000,False,25.0,25.0,1,left,MISS F. Wagner Layup - blocked,"[1630532, 1641731]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,Coulibaly,1641731.0,,,,,,,,,,,,
138,PT00M11.70S,2024-11-10T23:33:17.6Z,1,REGULAR,block,,[],1641731,,,1610612753,26,22,2024-11-10T23:33:20Z,1370000,False,,,0,,B. Coulibaly BLOCK (2 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
139,PT00M11.70S,2024-11-10T23:33:17.6Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,26,22,2024-11-10T23:33:27Z,1380000,False,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,137.0,2.0,2.0,0.0,,,,,,,,,,,,,,
140,PT00M03.50S,2024-11-10T23:33:26.9Z,1,REGULAR,turnover,out-of-bounds,[],1628963,,,1610612764,26,22,2024-11-10T23:33:42Z,1390000,False,,,0,,M. Bagley III lost ball out-of-bounds TURNOVER (1 TO),[1628963],1610612764.0,WAS,lost ball,,,Bagley III,M. Bagley III,,,,,Left Corner 3,24+ Left,,,,,,,,,204058.0,,,,,1.0,,,,,,
141,PT00M00.00S,2024-11-10T23:34:11.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,36.48160315374508,79.65686274509804,1610612753,26,22,2024-11-10T23:34:19Z,1400000,False,-148.0,290.0,1,left,MISS F. Wagner 32' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,32.61,Missed,,,,,,,,,,,,,,,,,,
142,PT00M00.00S,2024-11-10T23:34:11.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,26,22,2024-11-10T23:34:19Z,1410000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Left Center,,,141.0,,,,,,,,,,,,,,,,,
143,PT00M00.00S,2024-11-10T23:34:17.1Z,1,REGULAR,period,end,[],0,,,1610612753,26,22,2024-11-10T23:34:17Z,1420000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,out,['startperiod'],1630532,,,1610612753,26,22,2024-11-10T23:36:48Z,1430000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,out,['startperiod'],1641731,,,1610612753,26,22,2024-11-10T23:36:48Z,1440000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,out,['startperiod'],1628963,,,1610612753,26,22,2024-11-10T23:36:48Z,1450000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,in,['startperiod'],1630175,,,1610612753,26,22,2024-11-10T23:36:48Z,1460000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,in,['startperiod'],1631116,,,1610612753,26,22,2024-11-10T23:36:48Z,1470000,False,,,0,,SUB in: P. Baldwin Jr.,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2024-11-10T23:36:30.4Z,2,REGULAR,substitution,in,['startperiod'],1642273,,,1610612753,26,22,2024-11-10T23:36:48Z,1480000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-11-10T23:36:55.9Z,2,REGULAR,period,start,[],0,,,1610612753,26,22,2024-11-10T23:36:55Z,1490000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M39.00S,2024-11-10T23:37:18.3Z,2,REGULAR,turnover,out-of-bounds,[],203914,,,1610612753,26,22,2024-11-10T23:37:28Z,1500000,False,,,0,,G. Harris step out-of-bounds TURNOVER (1 TO),[203914],1610612753.0,ORL,step,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,,,,,,,,,1627526.0,,,,,1.0,,,,,,
153,PT11M28.00S,2024-11-10T23:37:35.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642273,92.85479632063075,95.83333333333334,1610612764,26,25,2024-11-10T23:37:47Z,1520000,False,229.0,15.0,1,right,K. George 3PT  (3 PTS) (J. Valančiūnas 1 AST),"[1642273, 202685]",1610612764.0,WAS,,,,George,K. George,,,,,Right Corner 3,24+ Right,22.97,Made,,,,,,,,,,,,,,,3.0,J. Valančiūnas,202685.0,1.0
155,PT11M09.00S,2024-11-10T23:37:59.5Z,2,REGULAR,foul,technical,['1freethrow'],1642273,,,1610612753,26,25,2024-11-10T23:38:19Z,1540000,False,,,0,,K. George defensive-3-second technical FOUL (1 Tech),[1642273],1610612764.0,WAS,defensive-3-second,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1627526.0,1.0,1.0,,,,,,,,,
156,PT11M09.00S,2024-11-10T23:38:20.5Z,2,REGULAR,freethrow,1 of 1,[],1630175,,,1610612753,27,25,2024-11-10T23:38:20Z,1550000,False,,,0,,C. Anthony technical Free Throw 1 of 1 (1 PTS),[1630175],1610612753.0,ORL,technical,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
157,PT10M59.00S,2024-11-10T23:38:50.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641710,12.302890932982917,41.911764705882355,1610612753,27,25,2024-11-10T23:38:55Z,1560000,False,40.0,63.0,1,left,MISS A. Black 7' driving floating bank Shot,[1641710],1610612753.0,ORL,driving floating bank,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,7.49,Missed,,,,,,,,,,,,,,,,,,
158,PT10M57.00S,2024-11-10T23:38:51.9Z,2,REGULAR,rebound,defensive,[],1630557,,,1610612764,27,25,2024-11-10T23:38:51Z,1570000,False,,,0,,C. Kispert REBOUND (Off:0 Def:3),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,157.0,3.0,3.0,0.0,,,,,,,,,,,,,,
159,PT10M53.00S,2024-11-10T23:38:55.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,92.59198423127464,3.431372549019608,1610612764,27,25,2024-11-10T23:39:09Z,1580000,False,-233.0,17.0,1,right,MISS J. Poole running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
160,PT10M49.00S,2024-11-10T23:38:59.7Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,27,25,2024-11-10T23:39:09Z,1590000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Left Corner 3,24+ Left,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,,
161,PT10M37.00S,2024-11-10T23:39:14.1Z,2,REGULAR,foul,personal,['2freethrow'],202685,,,1610612753,27,25,2024-11-10T23:39:46Z,1600000,False,,,0,,J. Valančiūnas shooting personal FOUL (2 PF) (Wagner 2 FT),"[202685, 1629021]",1610612764.0,WAS,shooting,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,,,,,,,,,1627526.0,2.0,0.0,Wagner,1629021.0,,,,,,,
163,PT10M37.00S,2024-11-10T23:39:47.9Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,28,25,2024-11-10T23:39:47Z,1620000,False,,,0,,M. Wagner Free Throw 1 of 2 (6 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Made,,,,,,,,,,,,,,,6.0,,,
164,PT10M37.00S,2024-11-10T23:40:02.2Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,29,25,2024-11-10T23:40:02Z,1630000,False,,,0,,M. Wagner Free Throw 2 of 2 (7 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
