actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
93,PT05M32.00S,2022-03-06T00:22:43.2Z,1,REGULAR,2pt,Jump Shot,[],1626179,83.65637319316689,32.84313725490196,1610612766,17,16,2022-03-06T00:22:51Z,910000,-86.0,101.0,1,right,T. Rozier 13' running pullup Jump Shot (4 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,,,13.26,Made,,,,,,,,,4.0,M. Bridges,1628970.0,1.0,,,,,
95,PT05M18.00S,2022-03-06T00:22:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,6.258212877792378,52.94117647058824,1610612759,17,18,2022-03-06T00:23:01Z,930000,-15.0,6.0,1,left,D. Vassell driving Layup (7 PTS) (D. Murray 4 AST),"[1630170, 1627749]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,,,1.6,Made,,,,,,,,,7.0,D. Murray,1627749.0,4.0,,,,,
97,PT04M59.00S,2022-03-06T00:23:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,94.1688567674113,49.754901960784316,1610612766,19,18,2022-03-06T00:23:20Z,950000,-1.0,2.0,1,right,C. Martin driving finger roll Layup (2 PTS),[1628998],1610612766.0,CHA,driving finger roll,,,Martin,C. Martin,,,,,,,0.26,Made,,,,,,,,,2.0,,,,,,,,
98,PT04M58.00S,2022-03-06T00:23:21.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,19,18,2022-03-06T00:23:21Z,960000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M58.00S,2022-03-06T00:24:43.8Z,1,REGULAR,substitution,out,[],1627749,,,1610612759,19,18,2022-03-06T00:26:01Z,970000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M58.00S,2022-03-06T00:24:43.8Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,19,18,2022-03-06T00:26:01Z,980000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M58.00S,2022-03-06T00:24:43.8Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,19,18,2022-03-06T00:26:01Z,990000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M58.00S,2022-03-06T00:24:43.8Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,19,18,2022-03-06T00:26:01Z,1000000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M36.00S,2022-03-06T00:26:39.0Z,1,REGULAR,3pt,Jump Shot,[],1629022,27.677398160315374,79.16666666666666,1610612759,19,21,2022-03-06T00:26:44Z,1010000,-146.0,208.0,1,left,L. Walker IV 25' 3PT pullup (3 PTS) (J. Primo 1 AST),"[1629022, 1630563]",1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,25.38,Made,,,,,,,,,3.0,J. Primo,1630563.0,1.0,,,,,
105,PT04M18.00S,2022-03-06T00:26:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,93.9060446780552,61.029411764705884,1610612766,19,21,2022-03-06T00:27:01Z,1030000,55.0,5.0,1,right,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,5.53,Missed,,,,,,,,,,,,,,,,,
106,PT04M15.00S,2022-03-06T00:26:59.5Z,1,REGULAR,rebound,offensive,[],1626149,,,1610612766,19,21,2022-03-06T00:26:59Z,1040000,,,0,,M. Harrell REBOUND (Off:1 Def:0),[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,105.0,1.0,0.0,1.0,,,,,,,,,,,,,
107,PT04M15.00S,2022-03-06T00:26:59.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626149,94.40999984741211,50.0,1610612766,21,21,2022-03-06T00:26:59Z,1050000,0.0,0.0,1,right,M. Harrell putback DUNK (2 PTS),[1626149],1610612766.0,CHA,putback,,,Harrell,M. Harrell,,,,,,,0.0,Made,,,,,,,,,2.0,,,,,,,,
108,PT04M08.00S,2022-03-06T00:27:05.7Z,1,REGULAR,2pt,Jump Shot,[],1629022,24.655059132720105,57.59803921568627,1610612759,21,21,2022-03-06T00:27:10Z,1060000,-38.0,179.0,1,left,MISS L. Walker IV 18' pullup Shot,[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,18.33,Missed,,,,,,,,,,,,,,,,,
109,PT04M08.00S,2022-03-06T00:27:05.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,21,21,2022-03-06T00:27:10Z,1070000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,,,,,
110,PT04M08.00S,2022-03-06T00:27:15.8Z,1,REGULAR,foul,personal,[],1629022,,,1610612766,21,21,2022-03-06T00:27:22Z,1080000,,,0,,L. Walker IV personal FOUL (1 PF),"[1629022, 1626149]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,1363.0,,,,,,,,1.0,0.0,Harrell,1626149.0,,,,,,,,,
112,PT04M08.00S,2022-03-06T00:27:20.8Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,21,21,2022-03-06T00:27:27Z,1100000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M08.00S,2022-03-06T00:27:20.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612766,21,21,2022-03-06T00:27:27Z,1110000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M08.00S,2022-03-06T00:27:20.8Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,21,21,2022-03-06T00:27:27Z,1120000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M08.00S,2022-03-06T00:27:20.8Z,1,REGULAR,substitution,in,[],1628380,,,1610612766,21,21,2022-03-06T00:27:27Z,1130000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M50.00S,2022-03-06T00:27:56.7Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612766,21,21,2022-03-06T00:28:03Z,1160000,,,0,,Z. Collins shooting personal FOUL (1 PF) (Harrell 2 FT),"[1628380, 1626149]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,1363.0,,,,,,,,1.0,0.0,Harrell,1626149.0,,,,,,,,,
120,PT03M50.00S,2022-03-06T00:28:19.8Z,1,REGULAR,freethrow,1 of 2,[],1626149,,,1610612766,21,21,2022-03-06T00:28:29Z,1180000,,,0,,MISS M. Harrell Free Throw 1 of 2,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,Missed,,,,,,,,,,,,,,,,,
121,PT03M50.00S,2022-03-06T00:28:19.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,21,21,2022-03-06T00:28:19Z,1190000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,
122,PT03M50.00S,2022-03-06T00:28:19.8Z,1,REGULAR,freethrow,2 of 2,[],1626149,,,1610612766,21,21,2022-03-06T00:28:40Z,1200000,,,0,,MISS M. Harrell Free Throw 2 of 2,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,Missed,,,,,,,,,,,,,,,,,
123,PT03M46.00S,2022-03-06T00:28:23.8Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,21,21,2022-03-06T00:28:40Z,1210000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,
124,PT03M33.00S,2022-03-06T00:28:52.7Z,1,REGULAR,2pt,Jump Shot,[],1629640,22.946780551905388,50.0,1610612759,21,23,2022-03-06T00:29:08Z,1220000,0.0,163.0,1,left,K. Johnson 16' pullup Jump Shot (10 PTS) (Z. Collins 1 AST),"[1629640, 1628380]",1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,,,16.32,Made,,,,,,,,,10.0,Z. Collins,1628380.0,1.0,,,,,
126,PT03M18.00S,2022-03-06T00:29:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,91.01511169513797,48.03921568627451,1610612766,21,23,2022-03-06T00:30:31Z,1240000,-10.0,32.0,1,right,MISS T. Rozier pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,,,3.35,Missed,,,,,,,,,,,,,,,,,
127,PT03M18.00S,2022-03-06T00:29:07.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,21,23,2022-03-06T00:29:11Z,1250000,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,126.0,2.0,2.0,0.0,,,,,,,,,,,,,
128,PT03M02.00S,2022-03-06T00:29:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630563,23.603810775295663,88.23529411764706,1610612759,21,23,2022-03-06T00:29:28Z,1260000,-191.0,169.0,1,left,MISS J. Primo 25' 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,25.54,Missed,,,,,,,,,,,,,,,,,
129,PT02M59.00S,2022-03-06T00:29:26.7Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612766,21,23,2022-03-06T00:29:28Z,1270000,,,0,,M. Harrell REBOUND (Off:1 Def:1),[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,128.0,2.0,1.0,1.0,,,,,,,,,,,,,
130,PT02M53.00S,2022-03-06T00:29:33.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,72.88107752956637,83.57843137254902,1610612766,24,23,2022-03-06T00:29:38Z,1280000,168.0,202.0,1,right,K. Oubre Jr. 26' 3PT  (6 PTS) (T. Rozier 3 AST),"[1626162, 1626179]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,26.3,Made,,,,,,,,,6.0,T. Rozier,1626179.0,3.0,,,,,
132,PT02M36.00S,2022-03-06T00:29:49.7Z,1,REGULAR,3pt,Jump Shot,[],1629022,30.56833114323259,26.225490196078432,1610612759,24,23,2022-03-06T00:29:54Z,1300000,119.0,235.0,1,left,MISS L. Walker IV 26' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,26.32,Missed,,,,,,,,,,,,,,,,,
133,PT02M33.00S,2022-03-06T00:29:52.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,24,23,2022-03-06T00:29:54Z,1310000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,
134,PT02M25.00S,2022-03-06T00:30:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626149,91.67214191852825,51.470588235294116,1610612766,26,23,2022-03-06T00:30:06Z,1320000,7.0,26.0,1,right,M. Harrell turnaround Jump Shot (4 PTS) (C. Martin 1 AST),"[1626149, 1628998]",1610612766.0,CHA,turnaround,,,Harrell,M. Harrell,,,,,,,2.68,Made,,,,,,,,,4.0,C. Martin,1628998.0,1.0,,,,,
136,PT02M11.00S,2022-03-06T00:30:13.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,29.38567674113009,23.774509803921568,1610612759,26,26,2022-03-06T00:30:18Z,1340000,131.0,224.0,1,left,K. Johnson 25' 3PT  (13 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,25.93,Made,,,,,,,,,13.0,,,,,,,,
137,PT01M56.00S,2022-03-06T00:30:29.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626149,86.15308804204993,47.794117647058826,1610612766,26,26,2022-03-06T00:30:35Z,1350000,-11.0,78.0,1,right,MISS M. Harrell 7' driving Hook,[1626149],1610612766.0,CHA,driving,,,Harrell,M. Harrell,,,,,,,7.85,Missed,,,,,,,,,,,,,,,,,
138,PT01M54.00S,2022-03-06T00:30:31.9Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,26,26,2022-03-06T00:30:35Z,1360000,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,137.0,3.0,3.0,0.0,,,,,,,,,,,,,
139,PT01M50.00S,2022-03-06T00:30:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629640,5.601182654402102,50.73529411764706,1610612759,26,28,2022-03-06T00:30:42Z,1370000,-4.0,0.0,1,left,K. Johnson driving Layup (15 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,,,0.37,Made,,,,,,,,,15.0,T. Jones,1630200.0,1.0,,,,,
141,PT01M35.00S,2022-03-06T00:30:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,91.93495400788436,50.98039215686274,1610612766,28,28,2022-03-06T00:30:54Z,1390000,5.0,23.0,1,right,C. Martin driving Layup (4 PTS),[1628998],1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,,,2.38,Made,,,,,,,,,4.0,,,,,,,,
142,PT01M22.00S,2022-03-06T00:31:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,10.726018396846255,38.23529411764706,1610612759,28,30,2022-03-06T01:04:55Z,1400000,59.0,48.0,1,left,K. Johnson 7' bank Jump Shot (17 PTS) (T. Jones 2 AST),"[1629640, 1630200]",1610612759.0,SAS,bank,,,Johnson,K. Johnson,,,,,,,7.61,Made,,,,,,,,,17.0,T. Jones,1630200.0,2.0,,,,,
143,PT01M11.00S,2022-03-06T00:31:14.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,76.82325886990802,90.68627450980392,1610612766,28,30,2022-03-06T00:31:18Z,1410000,203.0,165.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,26.22,Missed,,,,,,,,,,,,,,,,,
144,PT01M09.00S,2022-03-06T00:31:16.7Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,28,30,2022-03-06T00:31:18Z,1420000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,
145,PT01M02.00S,2022-03-06T00:31:23.8Z,1,REGULAR,turnover,lost ball,[],1629640,,,1610612759,28,30,2022-03-06T00:31:30Z,1430000,,,0,,K. Johnson lost ball TURNOVER (1 TO),"[1629640, 1626162]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,1.0,,,,,,,,,,,,,,,,,Oubre Jr.,1626162.0,
146,PT01M02.00S,2022-03-06T00:31:23.8Z,1,REGULAR,steal,,[],1626162,,,1610612766,28,30,2022-03-06T00:31:25Z,1440000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M58.20S,2022-03-06T00:31:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,93.51182654402102,53.18627450980392,1610612766,28,30,2022-03-06T00:31:36Z,1450000,16.0,8.0,1,right,MISS K. Oubre Jr. running Layup - blocked,"[1626162, 1628380]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,,,1.8,Missed,,,,,,,,,,,,,Collins,1628380.0,,,
148,PT00M58.20S,2022-03-06T00:31:28.0Z,1,REGULAR,block,,[],1628380,,,1610612766,28,30,2022-03-06T00:31:31Z,1460000,,,0,,Z. Collins BLOCK (1 BLK),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M55.10S,2022-03-06T00:31:31.1Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,28,30,2022-03-06T00:31:36Z,1470000,,,0,,P. Washington REBOUND (Off:1 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,,
150,PT00M54.30S,2022-03-06T00:31:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629023,92.59198423127464,52.94117647058824,1610612766,30,30,2022-03-06T00:34:18Z,1480000,15.0,17.0,1,right,P. Washington putback Layup (7 PTS),[1629023],1610612766.0,CHA,putback,,,Washington,P. Washington,,,,,,,2.25,Made,,,,,,,,,7.0,,,,,,,,
151,PT00M44.20S,2022-03-06T00:31:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,6.389618922470433,46.81372549019608,1610612759,30,30,2022-03-06T00:31:48Z,1490000,16.0,8.0,1,left,MISS L. Walker IV driving finger roll Layup,[1629022],1610612759.0,SAS,driving finger roll,,,Walker IV,L. Walker IV,,,,,,,1.76,Missed,,,,,,,,,,,,,,,,,
152,PT00M42.30S,2022-03-06T00:31:46.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,30,30,2022-03-06T00:31:46Z,1500000,,,0,,P. Washington REBOUND (Off:1 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,151.0,3.0,2.0,1.0,,,,,,,,,,,,,
153,PT00M29.30S,2022-03-06T00:31:57.0Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629640,,,1610612766,30,30,2022-03-06T01:06:54Z,1510000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Oubre Jr. 3 FT),"[1629640, 1626162]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,202049.0,,,,,,,,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,,
155,PT00M29.30S,2022-03-06T00:32:26.6Z,1,REGULAR,freethrow,1 of 3,[],1626162,,,1610612766,30,30,2022-03-06T01:06:47Z,1530000,,,0,,MISS K. Oubre Jr. Free Throw 1 of 3,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,
156,PT00M29.30S,2022-03-06T00:32:26.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,30,30,2022-03-06T01:06:47Z,1540000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,
157,PT00M29.30S,2022-03-06T00:32:26.6Z,1,REGULAR,freethrow,2 of 3,[],1626162,,,1610612766,31,30,2022-03-06T01:06:47Z,1550000,,,0,,K. Oubre Jr. Free Throw 2 of 3 (7 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,
158,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,31,30,2022-03-06T00:32:57Z,1560000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,out,[],1629640,,,1610612766,31,30,2022-03-06T00:32:57Z,1570000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,out,[],1630200,,,1610612766,31,30,2022-03-06T00:32:57Z,1580000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,in,[],1630163,,,1610612766,31,30,2022-03-06T00:32:57Z,1590000,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,in,[],1628966,,,1610612766,31,30,2022-03-06T00:32:57Z,1600000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M29.30S,2022-03-06T00:32:41.5Z,1,REGULAR,substitution,in,[],1627749,,,1610612766,31,30,2022-03-06T00:32:57Z,1610000,,,0,,SUB in: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M29.30S,2022-03-06T00:32:26.6Z,1,REGULAR,freethrow,3 of 3,[],1626162,,,1610612766,31,30,2022-03-06T01:06:47Z,1620000,,,0,,MISS K. Oubre Jr. Free Throw 3 of 3,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,
165,PT00M29.30S,2022-03-06T00:32:26.6Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,31,30,2022-03-06T01:06:47Z,1630000,,,0,,Z. Collins REBOUND (Off:0 Def:4),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,164.0,4.0,4.0,0.0,,,,,,,,,,,,,
166,PT00M09.40S,2022-03-06T00:33:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629022,24.655059132720105,85.7843137254902,1610612759,31,30,2022-03-06T00:33:23Z,1640000,-179.0,179.0,1,left,MISS L. Walker IV 25' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,25.33,Missed,,,,,,,,,,,,,,,,,
167,PT00M06.80S,2022-03-06T00:33:21.7Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612766,31,30,2022-03-06T00:33:21Z,1650000,,,0,,M. Harrell REBOUND (Off:1 Def:2),[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,166.0,3.0,2.0,1.0,,,,,,,,,,,,,
168,PT00M03.30S,2022-03-06T00:33:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626162,68.28186596583443,21.323529411764707,1610612766,31,30,2022-03-06T00:33:30Z,1660000,-143.0,246.0,1,right,MISS K. Oubre Jr. 28' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,,,28.45,Missed,,,,,,,,,,,,,,,,,
169,PT00M03.30S,2022-03-06T00:33:25.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,31,30,2022-03-06T00:33:30Z,1670000,,,0,,Z. Collins REBOUND (Off:0 Def:5),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,168.0,5.0,5.0,0.0,,,,,,,,,,,,,
170,PT00M00.00S,2022-03-06T00:33:37.6Z,1,REGULAR,period,end,[],0,,,1610612759,31,30,2022-03-06T00:33:37Z,1680000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-03-06T00:35:17.5Z,2,REGULAR,substitution,out,['startperiod'],1628998,,,1610612759,31,30,2022-03-06T00:36:10Z,1690000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-03-06T00:35:17.5Z,2,REGULAR,substitution,in,['startperiod'],1630550,,,1610612759,31,30,2022-03-06T00:36:10Z,1700000,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-03-06T00:36:15.8Z,2,REGULAR,period,start,[],0,,,1610612759,31,30,2022-03-06T00:36:15Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M47.00S,2022-03-06T00:36:27.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,6.783837056504599,50.0,1610612759,31,32,2022-03-06T00:36:37Z,1720000,0.0,11.0,1,left,J. Primo Layup (2 PTS),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,1.13,Made,,,,,,,,,2.0,,,,,,,,
176,PT11M32.00S,2022-03-06T00:36:43.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,84.44480946123521,56.61764705882353,1610612766,33,32,2022-03-06T00:36:48Z,1730000,33.0,94.0,1,right,L. Ball 9' Jump Shot (5 PTS) (M. Harrell 1 AST),"[1630163, 1626149]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,9.94,Made,,,,,,,,,5.0,M. Harrell,1626149.0,1.0,,,,,
178,PT11M12.00S,2022-03-06T00:37:02.8Z,2,REGULAR,3pt,Jump Shot,[],1630563,23.603810775295663,88.72549019607843,1610612759,33,32,2022-03-06T00:37:06Z,1750000,-194.0,169.0,1,left,MISS J. Primo 25' 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,25.72,Missed,,,,,,,,,,,,,,,,,
179,PT11M09.00S,2022-03-06T00:37:05.8Z,2,REGULAR,rebound,defensive,[],1630550,,,1610612766,33,32,2022-03-06T00:37:06Z,1760000,,,0,,J. Thor REBOUND (Off:0 Def:1),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,
180,PT11M00.00S,2022-03-06T00:37:14.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626149,92.72339027595268,50.0,1610612766,35,32,2022-03-06T00:37:18Z,1770000,0.0,16.0,1,right,M. Harrell cutting DUNK (6 PTS) (L. Ball 3 AST),"[1626149, 1630163]",1610612766.0,CHA,cutting,,,Harrell,M. Harrell,,,,,,,1.59,Made,,,,,,,,,6.0,L. Ball,1630163.0,3.0,,,,,
