actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
54,PT07M38.00S,2021-11-13T00:16:30.0Z,1,REGULAR,foul,personal,['1freethrow'],203486,,,1610612752,7,15,2021-11-13T00:16:40Z,540000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Walker 1 FT),"[203486, 202689]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Walker,202689.0,
56,PT07M38.00S,2021-11-13T00:16:44.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,7,15,2021-11-13T00:17:27Z,560000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M38.00S,2021-11-13T00:18:31.2Z,1,REGULAR,substitution,out,[],1626179,,,1610612752,7,15,2021-11-13T00:19:24Z,570000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M38.00S,2021-11-13T00:18:31.2Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,7,15,2021-11-13T00:19:24Z,580000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M38.00S,2021-11-13T00:18:31.2Z,1,REGULAR,substitution,in,[],1628998,,,1610612752,7,15,2021-11-13T00:19:24Z,590000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M38.00S,2021-11-13T00:18:31.2Z,1,REGULAR,substitution,in,[],201959,,,1610612752,7,15,2021-11-13T00:19:24Z,600000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M38.00S,2021-11-13T00:19:55.8Z,1,REGULAR,freethrow,1 of 1,[],202689,,,1610612752,7,16,2021-11-13T00:19:55Z,610000,,,0,,K. Walker Free Throw 1 of 1 (11 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,Made,,,,,11.0,,,,,,,,,,,,,,
62,PT07M28.00S,2021-11-13T00:20:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,86.28449408672799,50.98039215686274,1610612766,9,16,2021-11-13T00:21:30Z,620000,5.0,76.0,1,right,G. Hayward 7' driving floating Jump Shot (2 PTS),[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,7.66,Made,,,,,2.0,,,,,,,,,,,,,,
63,PT07M04.00S,2021-11-13T00:20:31.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,14.799605781865965,34.80392156862745,1610612752,9,18,2021-11-13T00:20:40Z,630000,76.0,87.0,1,left,T. Gibson 11' turnaround Jump Shot (2 PTS),[201959],1610612752.0,NYK,turnaround,,,Gibson,T. Gibson,,,,,11.52,Made,,,,,2.0,,,,,,,,,,,,,,
65,PT06M53.00S,2021-11-13T00:20:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,82.9993429697766,50.73529411764706,1610612766,9,18,2021-11-13T00:20:48Z,650000,4.0,107.0,1,right,MISS G. Hayward 10' Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2021-11-13T00:20:46.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,18,2021-11-13T00:20:46Z,660000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,65.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
67,PT06M41.00S,2021-11-13T00:20:54.6Z,1,REGULAR,3pt,Jump Shot,[],202689,30.699737187910642,24.264705882352942,1610612752,9,21,2021-11-13T00:22:52Z,670000,129.0,236.0,1,left,K. Walker 26' 3PT pullup (14 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,26.89,Made,,,,,14.0,,,,,,,,,,,,,,
70,PT06M34.00S,2021-11-13T00:21:14.2Z,1,REGULAR,foul,offensive,[],1628998,,,1610612766,9,21,2021-11-13T00:21:35Z,700000,,,0,,C. Martin charge offensive FOUL (1 PF),"[1628998, 202689]",1610612766.0,CHA,charge,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Walker,202689.0,
72,PT06M34.00S,2021-11-13T00:21:14.2Z,1,REGULAR,turnover,offensive foul,[],1628998,,,1610612766,9,21,2021-11-13T00:21:14Z,720000,,,0,,C. Martin offensive foul TURNOVER (1 TO),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,1.0,,,,,,,,,,,,202027.0,,,,,
73,PT06M34.00S,2021-11-13T00:21:25.2Z,1,REGULAR,substitution,out,[],202330,,,1610612752,9,21,2021-11-13T00:21:31Z,730000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2021-11-13T00:21:25.2Z,1,REGULAR,substitution,in,[],1626162,,,1610612752,9,21,2021-11-13T00:21:31Z,740000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M21.00S,2021-11-13T00:21:38.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203095,2.0532194480946124,91.17647058823529,1610612752,9,21,2021-11-13T00:21:43Z,750000,-206.0,-33.0,1,left,MISS E. Fournier 20' Jump Shot,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,20.86,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M18.00S,2021-11-13T00:21:41.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,9,21,2021-11-13T00:21:43Z,760000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,75.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
77,PT06M08.00S,2021-11-13T00:21:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,90.22667542706965,58.57843137254902,1610612766,9,21,2021-11-13T00:24:15Z,770000,43.0,39.0,1,right,MISS L. Ball driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,5.82,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M07.00S,2021-11-13T00:21:51.0Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,9,21,2021-11-13T00:24:15Z,780000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,77.0,,,,,,,,,,3.0,2.0,1.0,,,,,,
