actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
49,PT07M43.00S,2022-03-19T23:18:54.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,19,4,2022-03-19T23:18:54Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M28.00S,2022-03-19T23:19:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627827,6.258212877792378,53.67647058823529,1610612742,19,4,2022-03-19T23:19:16Z,500000,-18.0,6.0,1,left,MISS D. Finney-Smith driving Layup,[1627827],1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,1.94,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2022-03-19T23:19:16.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,19,4,2022-03-19T23:19:16Z,510000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,
52,PT07M28.00S,2022-03-19T23:19:17.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,19,4,2022-03-19T23:19:24Z,520000,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,,,,,,,1627529.0,,,,,,,,,,,,,,
53,PT07M09.00S,2022-03-19T23:19:58.4Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,19,4,2022-03-19T23:20:03Z,530000,,,0,,M. Plumlee bad pass TURNOVER (2 TO),"[203486, 1628467]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,2.0,Kleber,1628467.0,,,,,,,
54,PT07M09.00S,2022-03-19T23:19:58.4Z,1,REGULAR,steal,,[],1628467,,,1610612742,19,4,2022-03-19T23:20:00Z,540000,,,0,,M. Kleber STEAL (1 STL),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2022-03-19T23:20:02.4Z,1,REGULAR,foul,personal,[],1628970,,,1610612742,19,4,2022-03-19T23:20:14Z,550000,,,0,,M. Bridges take personal FOUL (1 PF),"[1628970, 1628467]",1610612766.0,CHA,take,,,Bridges,M. Bridges,,,,,,,,,,,1627529.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,,
57,PT06M57.00S,2022-03-19T23:20:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,7.178055190538765,48.529411764705884,1610612742,19,6,2022-03-19T23:20:25Z,570000,7.0,15.0,1,left,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,1.67,Made,2.0,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2022-03-19T23:20:38.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.43561103810775,21.813725490196077,1610612766,22,6,2022-03-19T23:20:43Z,580000,-141.0,216.0,1,right,P. Washington 25' 3PT  (6 PTS) (M. Plumlee 3 AST),"[1629023, 203486]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.79,Made,6.0,M. Plumlee,203486.0,3.0,,,,,,,,,,,,,,,
60,PT06M20.00S,2022-03-19T23:20:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,5.469776609724048,56.372549019607845,1610612742,22,6,2022-03-19T23:21:06Z,600000,-32.0,-1.0,1,left,MISS J. Brunson finger roll Layup,[1628973],1610612742.0,DAL,finger roll,,,Brunson,J. Brunson,,,,,3.19,Missed,,,,,,,,,,,,,,,,,,,
