actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
58,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,out,[],203484,,,1610612764,17,12,2021-10-25T23:49:35Z,580000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,in,[],201988,,,1610612764,17,12,2021-10-25T23:49:35Z,590000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,in,[],203526,,,1610612764,17,12,2021-10-25T23:49:35Z,600000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,17,12,2021-10-25T23:49:35Z,610000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M31.00S,2021-10-25T23:50:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,5.995400788436268,48.28431372549019,1610612764,17,14,2021-10-25T23:50:08Z,620000,9.0,4.0,1,left,D. Gafford reverse Layup (2 PTS) (B. Beal 3 AST),"[1629655, 203078]",1610612764.0,WAS,reverse,,,Gafford,D. Gafford,,,,,0.94,Made,2.0,B. Beal,203078.0,3.0,,,,,,,,,,,,,,,
64,PT06M19.00S,2021-10-25T23:50:17.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,17,14,2021-10-25T23:50:17Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M19.00S,2021-10-25T23:50:19.6Z,1,REGULAR,substitution,out,[],201935,,,1610612751,17,14,2021-10-25T23:50:33Z,650000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M19.00S,2021-10-25T23:50:19.6Z,1,REGULAR,substitution,in,[],201949,,,1610612751,17,14,2021-10-25T23:50:33Z,660000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M04.00S,2021-10-25T23:50:57.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201933,92.72339027595268,46.568627450980394,1610612751,17,14,2021-10-25T23:57:36Z,670000,-17.0,16.0,1,right,MISS B. Griffin turnaround Hook,[201933],1610612751.0,BKN,turnaround,,,Griffin,B. Griffin,,,,,2.34,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M00.00S,2021-10-25T23:51:01.4Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,17,14,2021-10-25T23:51:01Z,680000,,,0,,B. Griffin REBOUND (Off:2 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,67.0,3.0,1.0,2.0,,,,,,,,,,,
69,PT06M00.00S,2021-10-25T23:51:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201933,94.40999984741211,50.0,1610612751,17,14,2021-10-25T23:51:01Z,690000,0.0,0.0,1,right,MISS B. Griffin tip Layup,[201933],1610612751.0,BKN,tip,,,Griffin,B. Griffin,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M59.00S,2021-10-25T23:51:02.0Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,17,14,2021-10-25T23:51:02Z,700000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,
71,PT05M55.00S,2021-10-25T23:51:06.5Z,1,REGULAR,3pt,Jump Shot,[],203078,32.14520367936925,49.26470588235294,1610612764,17,14,2021-10-25T23:51:15Z,710000,4.0,250.0,1,left,MISS B. Beal 24' step back 3PT,[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2021-10-25T23:51:10.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,17,14,2021-10-25T23:51:15Z,720000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT05M43.00S,2021-10-25T23:51:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,93.9060446780552,49.50980392156863,1610612751,19,14,2021-10-25T23:51:28Z,730000,-2.0,5.0,1,right,J. Johnson driving reverse Layup (2 PTS) (P. Mills 1 AST),"[201949, 201988]",1610612751.0,BKN,driving reverse,,,Johnson,J. Johnson,,,,,0.54,Made,2.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,,
75,PT05M20.00S,2021-10-25T23:51:41.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,27.020367936925098,18.137254901960784,1610612764,19,14,2021-10-25T23:51:46Z,750000,159.0,201.0,1,left,MISS K. Kuzma 25' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M17.00S,2021-10-25T23:51:44.6Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,19,14,2021-10-25T23:51:46Z,760000,,,0,,B. Griffin REBOUND (Off:2 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,75.0,4.0,2.0,2.0,,,,,,,,,,,
77,PT05M06.00S,2021-10-25T23:52:02.3Z,1,REGULAR,foul,technical,['1freethrow'],203078,,,1610612751,19,14,2021-10-25T23:52:13Z,770000,,,0,,B. Beal defensive-3-second technical FOUL (1 Tech),[203078],1610612764.0,WAS,defensive-3-second,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,204059.0,0.0,1.0,,,,,
78,PT05M06.00S,2021-10-25T23:52:22.9Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,20,14,2021-10-25T23:52:22Z,780000,,,0,,K. Durant technical Free Throw 1 of 1 (3 PTS),[201142],1610612751.0,BKN,technical,,,Durant,K. Durant,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
79,PT05M06.00S,2021-10-25T23:52:23.8Z,1,REGULAR,substitution,out,[],201933,,,1610612751,20,14,2021-10-25T23:52:35Z,790000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
