actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
95,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,out,[],201143,,,1610612751,2,28,2022-02-09T00:52:54Z,940000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,in,[],201949,,,1610612751,2,28,2022-02-09T00:52:54Z,950000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612751,2,28,2022-02-09T00:52:54Z,960000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,in,[],1626196,,,1610612751,2,28,2022-02-09T00:52:54Z,970000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M42.00S,2022-02-09T00:53:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630560,4.812746386333772,95.34313725490196,1610612751,2,28,2022-02-09T00:53:39Z,980000,-227.0,-7.0,1,left,MISS C. Thomas 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,
100,PT04M40.00S,2022-02-09T00:53:37.7Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612738,2,28,2022-02-09T00:53:39Z,990000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,,
101,PT04M37.00S,2022-02-09T00:53:40.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,69.20170827858082,29.411764705882355,1610612738,2,28,2022-02-09T00:54:58Z,1000000,-103.0,237.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,
102,PT04M34.00S,2022-02-09T00:53:43.7Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,28,2022-02-09T00:53:53Z,1010000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,101.0,4.0,3.0,1.0,,,,,,,,,,,,,,
103,PT04M22.00S,2022-02-09T00:53:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629684,94.82588699080158,62.99019607843137,1610612738,2,28,2022-02-09T00:54:05Z,1020000,65.0,-4.0,1,right,MISS G. Williams 6' pullup Shot,[1629684],1610612738.0,BOS,pullup,,,Williams,G. Williams,,,,,6.51,Missed,,,,,,,,,,,,,,,,,,
104,PT04M19.00S,2022-02-09T00:53:58.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,28,2022-02-09T00:54:05Z,1030000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,103.0,5.0,3.0,2.0,,,,,,,,,,,,,,
105,PT04M19.00S,2022-02-09T00:53:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,2,28,2022-02-09T00:53:58Z,1040000,0.0,0.0,1,right,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
106,PT04M18.00S,2022-02-09T00:53:59.8Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,2,28,2022-02-09T00:53:59Z,1050000,,,0,,D. Sharpe REBOUND (Off:1 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,105.0,2.0,1.0,1.0,,,,,,,,,,,,,,
107,PT04M14.00S,2022-02-09T00:54:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612751,2,28,2022-02-09T00:54:22Z,1060000,,,0,,G. Williams shooting personal FOUL (1 PF) (Johnson 2 FT),"[1629684, 201949]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,1627534.0,1.0,0.0,Johnson,201949.0,,,,,,
109,PT04M14.00S,2022-02-09T00:54:29.0Z,1,REGULAR,freethrow,1 of 2,[],201949,,,1610612751,2,28,2022-02-09T00:54:51Z,1080000,,,0,,MISS J. Johnson Free Throw 1 of 2,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,Missed,,,,,,,,,,,,,,,,,,
110,PT04M14.00S,2022-02-09T00:54:29.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,2,28,2022-02-09T00:54:51Z,1090000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,
111,PT04M14.00S,2022-02-09T00:54:29.6Z,1,REGULAR,substitution,out,[],201988,,,1610612751,2,28,2022-02-09T00:54:34Z,1100000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M14.00S,2022-02-09T00:54:29.6Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,2,28,2022-02-09T00:54:34Z,1110000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M14.00S,2022-02-09T00:54:29.0Z,1,REGULAR,freethrow,2 of 2,[],201949,,,1610612751,2,28,2022-02-09T00:54:51Z,1120000,,,0,,MISS J. Johnson Free Throw 2 of 2,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,Missed,,,,,,,,,,,,,,,,,,
114,PT04M09.00S,2022-02-09T00:54:34.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,28,2022-02-09T00:54:51Z,1130000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,,,,,,,
115,PT03M59.00S,2022-02-09T00:55:00.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,95.6143232588699,95.58823529411765,1610612738,2,28,2022-02-09T00:55:05Z,1140000,228.0,-11.0,1,right,MISS J. Richardson 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,
116,PT03M56.00S,2022-02-09T00:55:03.4Z,1,REGULAR,rebound,defensive,[],201949,,,1610612751,2,28,2022-02-09T00:55:05Z,1150000,,,0,,J. Johnson REBOUND (Off:0 Def:1),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,,
117,PT03M46.00S,2022-02-09T00:55:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201949,6.652431011826544,61.274509803921575,1610612751,4,28,2022-02-09T00:55:18Z,1160000,-56.0,10.0,1,left,J. Johnson driving bank Jump Shot (2 PTS),[201949],1610612751.0,BKN,driving bank,,,Johnson,J. Johnson,,,,,5.73,Made,,,,,,,2.0,,,,,,,,,,,
118,PT03M40.00S,2022-02-09T00:55:21.9Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,4,28,2022-02-09T00:55:33Z,1170000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,,,,,,,,,,2003.0,,,,,,,,1.0,,
119,PT03M40.00S,2022-02-09T00:55:24.3Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,4,28,2022-02-09T00:55:31Z,1180000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M40.00S,2022-02-09T00:55:24.3Z,1,REGULAR,substitution,in,[],1630561,,,1610612751,4,28,2022-02-09T00:55:31Z,1190000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M29.00S,2022-02-09T00:55:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,32.14520367936925,50.98039215686274,1610612751,7,28,2022-02-09T00:55:54Z,1200000,-5.0,250.0,1,left,J. Carter 24' 3PT pullup (3 PTS) (J. Johnson 1 AST),"[1628975, 201949]",1610612751.0,BKN,pullup,,,Carter,J. Carter,,,,,24.97,Made,,,,,,,3.0,,,,,,J. Johnson,201949.0,1.0,,,
122,PT03M11.00S,2022-02-09T00:56:04.5Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,7,28,2022-02-09T00:56:32Z,1210000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,,,,,,,,,,1627534.0,,,,,,,,2.0,,
123,PT03M11.00S,2022-02-09T00:56:13.6Z,1,REGULAR,substitution,out,[],1627759,,,1610612751,7,28,2022-02-09T00:56:20Z,1220000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M11.00S,2022-02-09T00:56:13.6Z,1,REGULAR,substitution,out,[],203935,,,1610612751,7,28,2022-02-09T00:56:20Z,1230000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M11.00S,2022-02-09T00:56:13.6Z,1,REGULAR,substitution,in,[],1628369,,,1610612751,7,28,2022-02-09T00:56:20Z,1240000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M11.00S,2022-02-09T00:56:13.6Z,1,REGULAR,substitution,in,[],203471,,,1610612751,7,28,2022-02-09T00:56:20Z,1250000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M48.00S,2022-02-09T00:56:45.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201949,10.5946123521682,48.529411764705884,1610612751,9,28,2022-02-09T00:57:11Z,1260000,7.0,47.0,1,left,J. Johnson turnaround Jump Shot (4 PTS),[201949],1610612751.0,BKN,turnaround,,,Johnson,J. Johnson,,,,,4.77,Made,,,,,,,4.0,,,,,,,,,,,
129,PT02M29.00S,2022-02-09T00:57:19.3Z,1,REGULAR,foul,personal,[],1628975,,,1610612738,9,28,2022-02-09T01:00:41Z,1280000,,,0,,J. Carter personal FOUL (1 PF),"[1628975, 1626196]",1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,1155.0,1.0,0.0,Richardson,1626196.0,,,,,,
131,PT02M29.00S,2022-02-09T00:57:25.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,9,28,2022-02-09T00:57:30Z,1300000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M29.00S,2022-02-09T00:57:25.9Z,1,REGULAR,substitution,in,[],201143,,,1610612738,9,28,2022-02-09T00:57:30Z,1310000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M21.00S,2022-02-09T00:57:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,90.22667542706965,52.94117647058824,1610612738,9,28,2022-02-09T00:57:56Z,1320000,15.0,39.0,1,right,MISS A. Horford Layup - blocked,"[201143, 201949]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,4.21,Missed,,,,,Johnson,201949.0,,,,,,,,,,,,
134,PT02M21.00S,2022-02-09T00:57:31.4Z,1,REGULAR,block,,[],201949,,,1610612738,9,28,2022-02-09T00:57:34Z,1330000,,,0,,J. Johnson BLOCK (1 BLK),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M17.00S,2022-02-09T00:57:35.4Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,9,28,2022-02-09T00:57:35Z,1340000,,,0,,D. Sharpe REBOUND (Off:1 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,133.0,3.0,2.0,1.0,,,,,,,,,,,,,,
136,PT02M13.00S,2022-02-09T00:57:39.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630560,19.92444152431012,49.01960784313725,1610612751,9,28,2022-02-09T00:58:21Z,1350000,5.0,135.0,1,left,MISS C. Thomas 13' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,13.49,Missed,,,,,,,,,,,,,,,,,,
137,PT02M10.00S,2022-02-09T00:57:42.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,28,2022-02-09T00:58:21Z,1360000,,,0,,D. Sharpe REBOUND (Off:2 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,136.0,4.0,2.0,2.0,,,,,,,,,,,,,,
138,PT02M10.00S,2022-02-09T00:57:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,5.590000152587891,50.0,1610612751,9,28,2022-02-09T00:57:42Z,1370000,0.0,0.0,1,left,MISS D. Sharpe tip Layup,[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
139,PT02M10.00S,2022-02-09T00:57:42.6Z,1,REGULAR,rebound,offensive,[],1630560,,,1610612751,9,28,2022-02-09T00:57:42Z,1380000,,,0,,C. Thomas REBOUND (Off:1 Def:0),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,138.0,1.0,0.0,1.0,,,,,,,,,,,,,,
140,PT02M06.00S,2022-02-09T00:57:45.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630560,9.280551905387648,41.66666666666667,1610612751,11,28,2022-02-09T00:58:56Z,1390000,42.0,35.0,1,left,C. Thomas Jump Shot (2 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,5.42,Made,,,,,,,2.0,,,,,,,,,,,
141,PT01M51.00S,2022-02-09T00:58:01.0Z,1,REGULAR,3pt,Jump Shot,[],201143,67.23061760840999,62.745098039215684,1610612738,11,28,2022-02-09T00:58:58Z,1400000,64.0,256.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,
142,PT01M51.00S,2022-02-09T00:58:01.0Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,11,28,2022-02-09T00:58:58Z,1410000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:1),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,,
143,PT01M33.00S,2022-02-09T00:58:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,6.521024967148489,46.07843137254902,1610612751,13,28,2022-02-09T00:59:56Z,1420000,20.0,9.0,1,left,J. Johnson driving Layup (6 PTS),[201949],1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,2.15,Made,,,,,,,6.0,,,,,,,,,,,
144,PT01M33.00S,2022-02-09T00:58:24.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,13,28,2022-02-09T00:58:24Z,1430000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M11.00S,2022-02-09T01:00:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,86.28449408672799,42.15686274509804,1610612738,13,30,2022-02-09T01:00:23Z,1440000,-39.0,76.0,1,right,G. Williams 8' turnaround Jump Shot (2 PTS),[1629684],1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,8.59,Made,,,,,,,2.0,,,,,,,,,,,
147,PT00M45.80S,2022-02-09T01:00:44.9Z,1,REGULAR,turnover,lost ball,[],1630560,,,1610612751,13,30,2022-02-09T01:00:50Z,1450000,,,0,,C. Thomas lost ball TURNOVER (1 TO),"[1630560, 201143]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
148,PT00M45.80S,2022-02-09T01:00:44.9Z,1,REGULAR,steal,,[],201143,,,1610612738,13,30,2022-02-09T01:00:47Z,1460000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M39.40S,2022-02-09T01:00:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,93.38042049934296,59.068627450980394,1610612738,13,32,2022-02-09T01:01:01Z,1470000,45.0,10.0,1,right,D. Schroder driving Layup (2 PTS),[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,4.63,Made,,,,,,,2.0,,,,,,,,,,,
150,PT00M31.70S,2022-02-09T01:01:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628975,32.14520367936925,49.50980392156863,1610612751,16,32,2022-02-09T01:03:37Z,1480000,2.0,250.0,1,left,J. Carter 24' 3PT pullup (6 PTS),[1628975],1610612751.0,BKN,pullup,,,Carter,J. Carter,,,,,24.97,Made,,,,,,,6.0,,,,,,,,,,,
151,PT00M09.50S,2022-02-09T01:01:33.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,66.96780551905388,43.627450980392155,1610612738,16,35,2022-02-09T01:01:37Z,1490000,-32.0,258.0,1,right,G. Williams 26' 3PT  (5 PTS) (A. Horford 4 AST),"[1629684, 201143]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.0,Made,,,,,,,5.0,,,,,,A. Horford,201143.0,4.0,,,
153,PT00M00.00S,2022-02-09T01:01:47.2Z,1,REGULAR,2pt,Jump Shot,[],1630560,20.97568988173456,29.65686274509804,1610612751,16,35,2022-02-09T01:01:59Z,1510000,102.0,145.0,1,left,MISS C. Thomas 17' running pullup Shot - blocked,"[1630560, 1629684]",1610612751.0,BKN,running pullup,,,Thomas,C. Thomas,,,,,17.69,Missed,,,,,Williams,1629684.0,,,,,,,,,,,,
154,PT00M00.00S,2022-02-09T01:01:47.2Z,1,REGULAR,block,,[],1629684,,,1610612751,16,35,2022-02-09T01:01:49Z,1520000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2022-02-09T01:01:47.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,16,35,2022-02-09T01:01:59Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,
156,PT00M00.00S,2022-02-09T01:01:52.4Z,1,REGULAR,period,end,[],0,,,1610612751,16,35,2022-02-09T01:01:52Z,1540000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-02-09T01:05:29.6Z,2,REGULAR,period,start,[],0,,,1610612751,16,35,2022-02-09T01:05:29Z,1550000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT11M46.00S,2022-02-09T01:05:43.0Z,2,REGULAR,turnover,bad pass,[],201949,,,1610612751,16,35,2022-02-09T01:05:51Z,1560000,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[201949, 1629684]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0
159,PT11M46.00S,2022-02-09T01:05:43.0Z,2,REGULAR,steal,,[],1629684,,,1610612738,16,35,2022-02-09T01:05:45Z,1570000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M27.00S,2022-02-09T01:06:01.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,92.72339027595268,55.88235294117647,1610612738,16,35,2022-02-09T01:06:06Z,1580000,29.0,16.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,3.34,Missed,,,,,,,,,,,,,,,,,,
161,PT11M25.00S,2022-02-09T01:06:03.6Z,2,REGULAR,rebound,defensive,[],1628975,,,1610612751,16,35,2022-02-09T01:06:06Z,1590000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,,
162,PT11M12.00S,2022-02-09T01:06:16.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630561,6.1268068331143235,53.431372549019606,1610612751,18,35,2022-02-09T01:06:29Z,1600000,-17.0,5.0,1,left,D. Duke Jr. driving finger roll Layup (2 PTS),[1630561],1610612751.0,BKN,driving finger roll,,,Duke Jr.,D. Duke Jr.,,,,,1.79,Made,,,,,,,2.0,,,,,,,,,,,
163,PT10M56.00S,2022-02-09T01:06:32.1Z,2,REGULAR,3pt,Jump Shot,[],203471,70.25295663600527,74.75490196078431,1610612738,18,35,2022-02-09T01:06:38Z,1610000,124.0,227.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,
164,PT10M54.00S,2022-02-09T01:06:34.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,18,35,2022-02-09T01:06:38Z,1620000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,
165,PT10M54.00S,2022-02-09T01:06:38.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,35,2022-02-09T01:06:38Z,1630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M43.00S,2022-02-09T01:06:51.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201949,8.09789750328515,50.0,1610612751,20,35,2022-02-09T01:08:33Z,1640000,0.0,24.0,1,left,J. Johnson driving finger roll Layup (8 PTS),[201949],1610612751.0,BKN,driving finger roll,,,Johnson,J. Johnson,,,,,2.36,Made,,,,,,,8.0,,,,,,,,,,,
167,PT10M23.00S,2022-02-09T01:07:16.9Z,2,REGULAR,turnover,3-second-violation,[],201143,,,1610612738,20,35,2022-02-09T01:07:32Z,1650000,,,0,,A. Horford 3-second-violation TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,2003.0,,,,,,,,1.0,,
168,PT10M11.00S,2022-02-09T01:07:37.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630549,5.601182654402102,47.794117647058826,1610612751,20,35,2022-02-09T01:07:48Z,1660000,11.0,0.0,1,left,MISS D. Sharpe Layup,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,1.1,Missed,,,,,,,,,,,,,,,,,,
169,PT10M08.00S,2022-02-09T01:07:40.4Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,20,35,2022-02-09T01:07:40Z,1670000,,,0,,D. Sharpe REBOUND (Off:3 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,168.0,5.0,2.0,3.0,,,,,,,,,,,,,,
170,PT10M08.00S,2022-02-09T01:07:40.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630549,5.590000152587891,50.0,1610612751,20,35,2022-02-09T01:07:40Z,1680000,0.0,0.0,1,left,MISS D. Sharpe tip Layup,[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
171,PT10M06.00S,2022-02-09T01:07:42.0Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,20,35,2022-02-09T01:07:42Z,1690000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,
172,PT09M49.00S,2022-02-09T01:07:59.2Z,2,REGULAR,3pt,Jump Shot,[],201143,66.70499342969777,53.92156862745098,1610612738,20,35,2022-02-09T01:08:04Z,1700000,20.0,260.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,
173,PT09M47.00S,2022-02-09T01:08:01.2Z,2,REGULAR,rebound,defensive,[],201949,,,1610612751,20,35,2022-02-09T01:08:04Z,1710000,,,0,,J. Johnson REBOUND (Off:0 Def:2),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,172.0,2.0,2.0,0.0,,,,,,,,,,,,,,
174,PT09M41.00S,2022-02-09T01:08:08.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201949,10.463206307490145,42.8921568627451,1610612751,20,35,2022-02-09T01:08:13Z,1720000,36.0,46.0,1,left,MISS J. Johnson driving Layup,[201949],1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,5.8,Missed,,,,,,,,,,,,,,,,,,
175,PT09M38.00S,2022-02-09T01:08:11.4Z,2,REGULAR,rebound,offensive,[],1630561,,,1610612751,20,35,2022-02-09T01:08:13Z,1730000,,,0,,D. Duke Jr. REBOUND (Off:1 Def:1),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,174.0,2.0,1.0,1.0,,,,,,,,,,,,,,
176,PT09M37.00S,2022-02-09T01:08:11.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630561,6.915243101182654,49.50980392156863,1610612751,22,35,2022-02-09T01:08:22Z,1740000,2.0,13.0,1,left,D. Duke Jr. driving finger roll Layup (4 PTS),[1630561],1610612751.0,BKN,driving finger roll,,,Duke Jr.,D. Duke Jr.,,,,,1.27,Made,,,,,,,4.0,,,,,,,,,,,
