actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
95,PT05M34.00S,2022-03-04T00:55:51.5Z,1,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,19,11,2022-03-04T00:55:51Z,940000,,,0,,B. Adebayo Free Throw 1 of 1 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
96,PT05M22.00S,2022-03-04T00:56:08.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,19,11,2022-03-04T00:56:08Z,950000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M09.00S,2022-03-04T00:56:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,81.8166885676741,40.68627450980392,1610612751,21,11,2022-03-04T00:56:38Z,960000,-47.0,118.0,1,right,L. Aldridge 12' driving floating Jump Shot (2 PTS) (P. Mills 1 AST),"[200746, 201988]",1610612751.0,BKN,driving floating,,,Aldridge,L. Aldridge,,,,,12.72,Made,,,,,,,2.0,P. Mills,201988.0,1.0,,,,,,,,,
99,PT04M56.00S,2022-03-04T00:56:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,13.354139290407357,62.00980392156863,1610612748,21,13,2022-03-04T00:56:56Z,980000,-60.0,73.0,1,left,B. Adebayo 9' turnaround Jump Shot (7 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,9.45,Made,,,,,,,7.0,T. Herro,1629639.0,1.0,,,,,,,,,
101,PT04M41.00S,2022-03-04T00:57:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,83.919185282523,42.64705882352941,1610612751,23,13,2022-03-04T00:57:21Z,1000000,-37.0,99.0,1,right,K. Durant 10' pullup Jump Shot (9 PTS) (L. Aldridge 1 AST),"[201142, 200746]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,10.53,Made,,,,,,,9.0,L. Aldridge,200746.0,1.0,,,,,,,,,
102,PT04M27.00S,2022-03-04T00:57:15.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,26.888961892247043,47.05882352941176,1610612748,23,13,2022-03-04T00:57:37Z,1010000,15.0,200.0,1,left,MISS B. Adebayo 20' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,20.08,Missed,,,,,,,,,,,,,,,,,,,
103,PT04M27.00S,2022-03-04T00:57:15.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,23,13,2022-03-04T00:57:37Z,1020000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
105,PT04M11.00S,2022-03-04T00:57:32.0Z,1,REGULAR,3pt,Jump Shot,[],201988,94.56307490144546,4.166666666666666,1610612751,26,13,2022-03-04T00:57:40Z,1030000,-229.0,-1.0,1,right,P. Mills 3PT  (3 PTS) (J. Johnson 1 AST),"[201988, 201949]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,22.92,Made,,,,,,,3.0,J. Johnson,201949.0,1.0,,,,,,,,,
107,PT04M10.00S,2022-03-04T00:57:39.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,26,13,2022-03-04T00:57:39Z,1050000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M10.00S,2022-03-04T00:57:40.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,26,13,2022-03-04T01:00:20Z,1060000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M10.00S,2022-03-04T00:57:40.3Z,1,REGULAR,substitution,in,[],203473,,,1610612748,26,13,2022-03-04T01:00:20Z,1070000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M02.00S,2022-03-04T01:00:43.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201142,,,1610612748,26,13,2022-03-04T01:00:58Z,1080000,,,0,,K. Durant personal FOUL (1 PF) (Martin 2 FT),"[201142, 1628997]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,202049.0,,,,,,1.0,0.0,Martin,1628997.0,,,,,
112,PT04M02.00S,2022-03-04T01:00:53.6Z,1,REGULAR,substitution,out,[],1629622,,,1610612748,26,13,2022-03-04T01:00:56Z,1100000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M02.00S,2022-03-04T01:00:53.6Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,26,13,2022-03-04T01:00:56Z,1110000,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M02.00S,2022-03-04T01:01:21.1Z,1,REGULAR,freethrow,1 of 2,[],1628997,,,1610612748,26,14,2022-03-04T01:01:21Z,1120000,,,0,,C. Martin Free Throw 1 of 2 (1 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
115,PT04M02.00S,2022-03-04T01:01:39.8Z,1,REGULAR,freethrow,2 of 2,[],1628997,,,1610612748,26,15,2022-03-04T01:01:39Z,1130000,,,0,,C. Martin Free Throw 2 of 2 (2 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
116,PT03M51.00S,2022-03-04T01:01:55.6Z,1,REGULAR,turnover,traveling,[],201142,,,1610612751,26,15,2022-03-04T01:02:01Z,1140000,,,0,,K. Durant traveling TURNOVER (1 TO),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,,,
117,PT03M38.00S,2022-03-04T01:02:20.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630560,,,1610612748,26,15,2022-03-04T01:02:32Z,1150000,,,0,,C. Thomas personal FOUL (1 PF) (Herro 2 FT),"[1630560, 1629639]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Herro,1629639.0,,,,,
119,PT03M38.00S,2022-03-04T01:02:48.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629639,,,1610612748,26,16,2022-03-04T01:02:48Z,1170000,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
120,PT03M38.00S,2022-03-04T01:02:49.3Z,1,REGULAR,substitution,out,[],201142,,,1610612748,26,16,2022-03-04T01:02:53Z,1180000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M38.00S,2022-03-04T01:02:49.3Z,1,REGULAR,substitution,in,[],1629651,,,1610612748,26,16,2022-03-04T01:02:53Z,1190000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M38.00S,2022-03-04T01:03:13.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629639,,,1610612748,26,17,2022-03-04T01:03:13Z,1200000,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
123,PT03M21.00S,2022-03-04T01:03:33.7Z,1,REGULAR,3pt,Jump Shot,[],201988,77.4802890932983,88.72549019607843,1610612751,29,17,2022-03-04T01:03:39Z,1210000,194.0,159.0,1,right,P. Mills 25' 3PT  (6 PTS) (C. Thomas 1 AST),"[201988, 1630560]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.07,Made,,,,,,,6.0,C. Thomas,1630560.0,1.0,,,,,,,,,
125,PT03M04.00S,2022-03-04T01:03:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.488173455978973,72.30392156862744,1610612748,29,17,2022-03-04T01:03:54Z,1230000,-112.0,243.0,1,left,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
126,PT03M01.00S,2022-03-04T01:03:52.8Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,29,17,2022-03-04T01:03:54Z,1240000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
127,PT02M48.00S,2022-03-04T01:04:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,93.64323258869908,46.568627450980394,1610612751,29,17,2022-03-04T01:04:14Z,1250000,-17.0,7.0,1,right,MISS C. Thomas reverse Layup - blocked,"[1630560, 203473]",1610612751.0,BKN,reverse,,,Thomas,C. Thomas,,,,,1.87,Missed,,,,,,,,,,,,,,,Dedmon,203473.0,,,
128,PT02M48.00S,2022-03-04T01:04:06.3Z,1,REGULAR,block,,[],203473,,,1610612751,29,17,2022-03-04T01:04:08Z,1260000,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M43.00S,2022-03-04T01:04:11.3Z,1,REGULAR,rebound,offensive,[],1630560,,,1610612751,29,17,2022-03-04T01:04:14Z,1270000,,,0,,C. Thomas REBOUND (Off:1 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,127.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
130,PT02M41.00S,2022-03-04T01:04:13.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201949,69.20170827858082,30.392156862745097,1610612751,29,17,2022-03-04T01:04:36Z,1280000,-98.0,237.0,1,right,MISS J. Johnson 25' 3PT,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
131,PT02M41.00S,2022-03-04T01:04:13.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,29,17,2022-03-04T01:04:36Z,1290000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,130.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
132,PT02M30.00S,2022-03-04T01:04:24.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201988,74.06373193166885,50.98039215686274,1610612751,31,17,2022-03-04T01:04:46Z,1300000,5.0,191.0,1,right,P. Mills 19' pullup Jump Shot (8 PTS),[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,19.14,Made,,,,,,,8.0,,,,,,,,,,,,
133,PT02M18.00S,2022-03-04T01:04:35.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,26.62614980289093,17.647058823529413,1610612748,31,17,2022-03-04T01:04:48Z,1310000,162.0,198.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
134,PT02M18.00S,2022-03-04T01:04:35.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,31,17,2022-03-04T01:04:48Z,1320000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,133.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
135,PT02M11.00S,2022-03-04T01:04:44.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630560,74.58935611038108,84.55882352941177,1610612751,31,17,2022-03-04T01:04:53Z,1330000,173.0,186.0,1,right,MISS C. Thomas 25' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
136,PT02M06.00S,2022-03-04T01:04:49.2Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,31,17,2022-03-04T01:04:53Z,1340000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
137,PT02M03.00S,2022-03-04T01:04:51.4Z,1,REGULAR,turnover,lost ball,[],1628997,,,1610612748,31,17,2022-03-04T01:04:55Z,1350000,,,0,,C. Martin lost ball TURNOVER (1 TO),"[1628997, 200746]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,1.0,,,,,,,,,,,Aldridge,200746.0,
138,PT02M03.00S,2022-03-04T01:04:51.4Z,1,REGULAR,steal,,[],200746,,,1610612751,31,17,2022-03-04T02:01:31Z,1360000,,,0,,L. Aldridge STEAL (1 STL),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M58.00S,2022-03-04T01:05:03.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612751,31,17,2022-03-04T01:05:03Z,1370000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M58.00S,2022-03-04T01:05:05.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612751,31,17,2022-03-04T01:06:36Z,1380000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M58.00S,2022-03-04T01:05:05.3Z,1,REGULAR,substitution,in,[],1629216,,,1610612751,31,17,2022-03-04T01:06:36Z,1390000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M50.00S,2022-03-04T01:06:47.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201988,82.7365308804205,75.49019607843137,1610612751,31,17,2022-03-04T01:07:11Z,1400000,127.0,110.0,1,right,MISS P. Mills 16' pullup Shot - blocked,"[201988, 203473]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,16.83,Missed,,,,,,,,,,,,,,,Dedmon,203473.0,,,
143,PT01M50.00S,2022-03-04T01:06:47.9Z,1,REGULAR,block,,[],203473,,,1610612751,31,17,2022-03-04T01:06:52Z,1410000,,,0,,D. Dedmon BLOCK (2 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M47.00S,2022-03-04T01:06:50.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,31,17,2022-03-04T01:07:11Z,1420000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,
145,PT01M47.00S,2022-03-04T01:07:01.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,31,17,2022-03-04T01:07:01Z,1430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M37.00S,2022-03-04T01:07:13.8Z,1,REGULAR,2pt,Jump Shot,[],1629639,11.383048620236531,24.509803921568626,1610612748,31,19,2022-03-04T01:07:36Z,1440000,127.0,55.0,1,left,T. Herro 13' pullup Jump Shot (4 PTS) (G. Vincent 2 AST),"[1629639, 1629216]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,13.87,Made,,,,,,,4.0,G. Vincent,1629216.0,2.0,,,,,,,,,
147,PT01M21.00S,2022-03-04T01:07:30.7Z,1,REGULAR,turnover,bad pass,[],201988,,,1610612751,31,19,2022-03-04T01:07:38Z,1450000,,,0,,P. Mills bad pass TURNOVER (1 TO),"[201988, 1628997]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,1.0,,,,,,,,,,,Martin,1628997.0,
148,PT01M21.00S,2022-03-04T01:07:30.7Z,1,REGULAR,steal,,[],1628997,,,1610612748,31,19,2022-03-04T01:07:33Z,1460000,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M10.00S,2022-03-04T01:07:41.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628997,14.799605781865965,44.11764705882353,1610612748,31,21,2022-03-04T01:07:46Z,1470000,29.0,87.0,1,left,C. Martin 9' driving Hook (4 PTS),[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,9.15,Made,,,,,,,4.0,,,,,,,,,,,,
150,PT00M53.80S,2022-03-04T01:07:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,84.05059132720105,64.70588235294117,1610612751,31,21,2022-03-04T01:08:05Z,1480000,74.0,97.0,1,right,MISS C. Thomas 12' pullup Shot,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,12.2,Missed,,,,,,,,,,,,,,,,,,,
151,PT00M49.80S,2022-03-04T01:08:01.6Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,31,21,2022-03-04T01:08:05Z,1490000,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,150.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
153,PT00M37.30S,2022-03-04T01:08:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,13.222733245729303,41.42156862745098,1610612748,31,23,2022-03-04T01:08:21Z,1500000,43.0,72.0,1,left,G. Vincent 8' driving finger roll Layup (3 PTS) (D. Dedmon 1 AST),"[1629216, 203473]",1610612748.0,MIA,driving finger roll,,,Vincent,G. Vincent,,,,,8.36,Made,,,,,,,3.0,D. Dedmon,203473.0,1.0,,,,,,,,,
155,PT00M28.70S,2022-03-04T01:08:27.0Z,1,REGULAR,3pt,Jump Shot,[],201949,82.9993429697766,92.64705882352942,1610612751,31,23,2022-03-04T01:08:32Z,1520000,213.0,107.0,1,right,MISS J. Johnson step back 3PT,[201949],1610612751.0,BKN,step back,,,Johnson,J. Johnson,,,,,23.87,Missed,,,,,,,,,,,,,,,,,,,
156,PT00M26.00S,2022-03-04T01:08:29.6Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,31,23,2022-03-04T01:08:29Z,1530000,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,155.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
157,PT00M25.10S,2022-03-04T01:08:31.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629651,91.5407358738502,44.85294117647059,1610612751,33,23,2022-03-04T01:08:54Z,1540000,-26.0,27.0,1,right,N. Claxton turnaround Hook (2 PTS),[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,3.73,Made,,,,,,,2.0,,,,,,,,,,,,
158,PT00M07.10S,2022-03-04T01:08:57.6Z,1,REGULAR,foul,offensive,[],203473,,,1610612748,33,23,2022-03-04T01:13:57Z,1550000,,,0,,D. Dedmon offensive FOUL (1 PF),"[203473, 1630560]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,202037.0,,,,,,1.0,0.0,Thomas,1630560.0,,,,,
160,PT00M07.10S,2022-03-04T01:08:57.6Z,1,REGULAR,turnover,offensive foul,[],203473,,,1610612748,33,23,2022-03-04T01:13:57Z,1570000,,,0,,D. Dedmon offensive foul TURNOVER (1 TO),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,202037.0,1.0,,,,,,,,,,,,,
161,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,out,[],201949,,,1610612751,33,23,2022-03-04T01:09:26Z,1580000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,33,23,2022-03-04T01:09:26Z,1590000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,out,[],1629639,,,1610612751,33,23,2022-03-04T01:09:26Z,1600000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,in,[],203552,,,1610612751,33,23,2022-03-04T01:09:26Z,1610000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,in,[],201142,,,1610612751,33,23,2022-03-04T01:09:26Z,1620000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M07.10S,2022-03-04T01:09:12.1Z,1,REGULAR,substitution,in,[],1628389,,,1610612751,33,23,2022-03-04T01:09:26Z,1630000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M02.10S,2022-03-04T01:09:41.8Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612751,33,23,2022-03-04T01:09:58Z,1640000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Thomas 2 FT),"[1629216, 1630560]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,202049.0,,,,,,1.0,0.0,Thomas,1630560.0,,,,,
169,PT00M02.10S,2022-03-04T01:10:10.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630560,,,1610612751,34,23,2022-03-04T01:10:10Z,1660000,,,0,,C. Thomas Free Throw 1 of 2 (1 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
170,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,out,[],203552,,,1610612751,34,23,2022-03-04T01:10:22Z,1670000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,out,[],201142,,,1610612751,34,23,2022-03-04T01:10:22Z,1680000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,out,[],1629312,,,1610612751,34,23,2022-03-04T01:10:22Z,1690000,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,34,23,2022-03-04T01:10:22Z,1700000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,in,[],201949,,,1610612751,34,23,2022-03-04T01:10:22Z,1710000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT00M02.10S,2022-03-04T01:10:11.1Z,1,REGULAR,substitution,in,[],1629639,,,1610612751,34,23,2022-03-04T01:10:22Z,1720000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M02.10S,2022-03-04T01:10:28.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630560,,,1610612751,35,23,2022-03-04T01:10:28Z,1730000,,,0,,C. Thomas Free Throw 2 of 2 (2 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
178,PT00M01.10S,2022-03-04T01:10:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,51.98751642575559,91.91176470588235,1610612748,35,23,2022-03-04T01:11:45Z,1735000,-210.0,436.0,1,left,MISS G. Vincent 48' running pullup 3PT - blocked,"[1629216, 1630560]",1610612748.0,MIA,running pullup,,,Vincent,G. Vincent,,,,,48.39,Missed,,,,,,,,,,,,,,,Thomas,1630560.0,,,
179,PT00M01.10S,2022-03-04T01:10:10.8Z,1,REGULAR,block,,[],1630560,,,1610612748,35,23,2022-03-04T01:11:35Z,1737500,,,0,,C. Thomas BLOCK (1 BLK),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT00M00.80S,2022-03-04T01:10:11.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,35,23,2022-03-04T01:11:45Z,1738750,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,
177,PT00M00.00S,2022-03-04T01:10:39.2Z,1,REGULAR,period,end,[],0,,,1610612748,35,23,2022-03-04T01:10:39Z,1740000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,out,['startperiod'],1630560,,,1610612748,35,23,2022-03-04T01:13:24Z,1750000,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,out,['startperiod'],201949,,,1610612748,35,23,2022-03-04T01:13:24Z,1760000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,out,['startperiod'],1628389,,,1610612748,35,23,2022-03-04T01:13:24Z,1770000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
