actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
88,PT05M01.00S,2022-01-08T00:58:46.4Z,1,REGULAR,block,,[],202083,,,1610612751,9,17,2022-01-08T00:58:49Z,850000,,,0,,W. Matthews BLOCK (1 BLK),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M59.00S,2022-01-08T00:58:48.4Z,1,REGULAR,rebound,offensive,[],201142,,,1610612751,9,17,2022-01-08T00:59:42Z,860000,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,87.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
92,PT04M59.00S,2022-01-08T00:58:55.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,9,17,2022-01-08T00:59:01Z,890000,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,202053.0,,,,,,,,,,,,,
93,PT04M59.00S,2022-01-08T00:59:00.7Z,1,REGULAR,substitution,out,[],1629651,,,1610612749,9,17,2022-01-08T00:59:12Z,900000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M59.00S,2022-01-08T00:59:00.7Z,1,REGULAR,substitution,out,[],202083,,,1610612749,9,17,2022-01-08T00:59:12Z,910000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M59.00S,2022-01-08T00:59:00.7Z,1,REGULAR,substitution,in,[],200746,,,1610612749,9,17,2022-01-08T00:59:12Z,920000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M59.00S,2022-01-08T00:59:00.7Z,1,REGULAR,substitution,in,[],1630572,,,1610612749,9,17,2022-01-08T00:59:12Z,930000,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M46.00S,2022-01-08T00:59:23.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203114,83.919185282523,41.911764705882355,1610612749,9,17,2022-01-08T00:59:29Z,940000,-40.0,99.0,1,right,MISS K. Middleton 10' driving floating Shot,[203114],1610612749.0,MIL,driving floating,,,Middleton,K. Middleton,,,,,10.66,Missed,,,,,,,,,,,,,,,,,,,
98,PT04M42.00S,2022-01-08T00:59:26.6Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612749,9,17,2022-01-08T00:59:26Z,950000,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,97.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
99,PT04M42.00S,2022-01-08T00:59:26.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630572,94.40999984741211,50.0,1610612749,9,17,2022-01-08T01:00:47Z,960000,0.0,0.0,1,right,MISS S. Mamukelashvili tip Layup,[1630572],1610612749.0,MIL,tip,,,Mamukelashvili,S. Mamukelashvili,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
100,PT04M41.00S,2022-01-08T00:59:27.6Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,9,17,2022-01-08T01:00:47Z,970000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
101,PT04M39.00S,2022-01-08T00:59:33.6Z,1,REGULAR,foul,personal,[],203114,,,1610612751,9,17,2022-01-08T00:59:40Z,980000,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 201935]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,202053.0,1.0,0.0,Harden,201935.0,,,,,,,,,
103,PT04M30.00S,2022-01-08T00:59:59.3Z,1,REGULAR,2pt,Jump Shot,[],200746,21.107095926412615,53.431372549019606,1610612751,9,17,2022-01-08T01:00:02Z,1000000,-17.0,146.0,1,left,MISS L. Aldridge 14' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,14.69,Missed,,,,,,,,,,,,,,,,,,,
104,PT04M28.00S,2022-01-08T01:00:01.3Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,9,17,2022-01-08T01:00:02Z,1010000,,,0,,K. Middleton REBOUND (Off:0 Def:4),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,103.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
105,PT04M13.00S,2022-01-08T01:00:16.0Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612749,9,17,2022-01-08T01:00:29Z,1020000,,,0,,K. Durant shooting personal FOUL (2 PF) (Portis 2 FT),"[201142, 1626171]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,,202053.0,2.0,0.0,Portis,1626171.0,,,,,,,,,
107,PT04M13.00S,2022-01-08T01:00:43.5Z,1,REGULAR,freethrow,1 of 2,[],1626171,,,1610612749,9,18,2022-01-08T01:00:43Z,1040000,,,0,,B. Portis Free Throw 1 of 2 (7 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
108,PT04M13.00S,2022-01-08T01:01:00.2Z,1,REGULAR,freethrow,2 of 2,[],1626171,,,1610612749,9,19,2022-01-08T01:01:00Z,1050000,,,0,,B. Portis Free Throw 2 of 2 (8 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
109,PT04M00.00S,2022-01-08T01:01:16.0Z,1,REGULAR,3pt,Jump Shot,[],201949,3.3672798948751645,96.07843137254902,1610612751,9,19,2022-01-08T01:01:21Z,1060000,-230.0,-21.0,1,left,MISS J. Johnson 3PT,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,,
110,PT03M56.00S,2022-01-08T01:01:20.0Z,1,REGULAR,rebound,offensive,[],1630560,,,1610612751,9,19,2022-01-08T01:01:21Z,1070000,,,0,,C. Thomas REBOUND (Off:1 Def:0),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,109.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
111,PT03M50.00S,2022-01-08T01:01:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630560,13.091327201051248,49.50980392156863,1610612751,11,19,2022-01-08T01:01:29Z,1080000,2.0,71.0,1,left,C. Thomas 7' pullup Jump Shot (2 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,7.06,Made,,,,,2.0,,,,,,,,,,,,,,
112,PT03M36.00S,2022-01-08T01:01:39.4Z,1,REGULAR,2pt,Jump Shot,[],1626171,83.65637319316689,17.401960784313726,1610612749,11,21,2022-01-08T01:01:56Z,1090000,-163.0,101.0,1,right,B. Portis 19' pullup Jump Shot (10 PTS),[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,19.18,Made,,,,,10.0,,,,,,,,,,,,,,
113,PT03M22.00S,2022-01-08T01:01:53.1Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612751,11,21,2022-01-08T01:01:58Z,1100000,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 203114]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,1.0,Middleton,203114.0,,,,,,
114,PT03M22.00S,2022-01-08T01:01:53.1Z,1,REGULAR,steal,,[],203114,,,1610612749,11,21,2022-01-08T01:01:55Z,1110000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M19.00S,2022-01-08T01:01:56.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626171,94.30026281208936,50.49019607843137,1610612749,11,21,2022-01-08T01:02:13Z,1120000,2.0,1.0,1,right,MISS B. Portis running DUNK,[1626171],1610612749.0,MIL,running,,,Portis,B. Portis,,,,,0.27,Missed,,,,,,,,,,,,,,,,,,,
116,PT03M15.00S,2022-01-08T01:02:00.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,11,21,2022-01-08T01:02:00Z,1130000,,,0,,K. Durant REBOUND (Off:1 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,115.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
117,PT03M11.00S,2022-01-08T01:02:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201949,5.863994743758213,45.83333333333333,1610612751,13,21,2022-01-08T01:02:20Z,1140000,21.0,3.0,1,left,J. Johnson cutting Layup (2 PTS) (C. Thomas 1 AST),"[201949, 1630560]",1610612751.0,BKN,cutting,,,Johnson,J. Johnson,,,,,2.1,Made,,,,,2.0,,,,,,,,,C. Thomas,1630560.0,1.0,,,
119,PT03M02.00S,2022-01-08T01:02:12.6Z,1,REGULAR,2pt,Jump Shot,[],203114,94.1688567674113,76.9607843137255,1610612749,13,23,2022-01-08T01:02:30Z,1160000,135.0,2.0,1,right,K. Middleton 13' pullup Jump Shot (2 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,13.48,Made,,,,,2.0,,,,,,,,,,,,,,
120,PT02M49.00S,2022-01-08T01:02:29.1Z,1,REGULAR,violation,kicked ball,[],203918,,,1610612751,13,23,2022-01-08T01:02:33Z,1170000,,,0,,R. Hood kicked ball VIOLATION,[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,1199.0,,,,,,,,,,,,,
121,PT02M49.00S,2022-01-08T01:02:35.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,13,23,2022-01-08T01:02:35Z,1180000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,out,[],201935,,,1610612751,13,23,2022-01-08T01:05:38Z,1190000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,out,[],1626171,,,1610612751,13,23,2022-01-08T01:05:38Z,1200000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,out,[],203114,,,1610612751,13,23,2022-01-08T01:05:38Z,1210000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,in,[],201988,,,1610612751,13,23,2022-01-08T01:05:38Z,1220000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,in,[],203507,,,1610612751,13,23,2022-01-08T01:05:38Z,1230000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M49.00S,2022-01-08T01:02:35.8Z,1,REGULAR,substitution,in,[],1628400,,,1610612751,13,23,2022-01-08T01:05:38Z,1240000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M44.00S,2022-01-08T01:06:04.5Z,1,REGULAR,2pt,Jump Shot,[],201142,20.18725361366623,29.65686274509804,1610612751,15,23,2022-01-08T01:10:33Z,1250000,102.0,137.0,1,left,K. Durant 17' pullup Jump Shot (4 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,17.09,Made,,,,,4.0,,,,,,,,,,,,,,
129,PT02M44.00S,2022-01-08T01:06:08.1Z,1,REGULAR,foul,personal,['1freethrow'],1628400,,,1610612751,15,23,2022-01-08T01:06:17Z,1260000,,,0,,S. Ojeleye shooting personal FOUL (1 PF) (Durant 1 FT),"[1628400, 201142]",1610612749.0,MIL,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,202053.0,1.0,0.0,Durant,201142.0,,,,,,,,,
131,PT02M44.00S,2022-01-08T01:06:29.0Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,16,23,2022-01-08T01:06:29Z,1280000,,,0,,K. Durant Free Throw 1 of 1 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
132,PT02M19.00S,2022-01-08T01:06:55.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,94.03745072273325,49.50980392156863,1610612749,16,25,2022-01-08T01:14:40Z,1290000,-2.0,4.0,1,right,G. Antetokounmpo driving DUNK (6 PTS) (L. Galloway 1 AST),"[203507, 204038]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,0.43,Made,,,,,6.0,,,,,,,,,L. Galloway,204038.0,1.0,,,
134,PT02M00.00S,2022-01-08T01:07:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,12.040078843626807,49.01960784313725,1610612751,16,25,2022-01-08T01:07:20Z,1310000,5.0,61.0,1,left,MISS C. Thomas 6' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,6.09,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M56.00S,2022-01-08T01:07:18.3Z,1,REGULAR,rebound,offensive,[],201949,,,1610612751,16,25,2022-01-08T01:07:20Z,1320000,,,0,,J. Johnson REBOUND (Off:1 Def:0),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
136,PT01M56.00S,2022-01-08T01:07:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201949,5.590000152587891,50.0,1610612751,16,25,2022-01-08T01:07:17Z,1330000,0.0,0.0,1,left,MISS J. Johnson tip Layup,[201949],1610612751.0,BKN,tip,,,Johnson,J. Johnson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M55.00S,2022-01-08T01:07:18.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,25,2022-01-08T01:07:18Z,1340000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,136.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
138,PT01M53.00S,2022-01-08T01:07:22.9Z,1,REGULAR,foul,personal,['2freethrow'],200746,,,1610612749,16,25,2022-01-08T01:07:35Z,1350000,,,0,,L. Aldridge shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[200746, 203507]",1610612751.0,BKN,shooting,,,Aldridge,L. Aldridge,,,,,,,,,,,,1199.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
140,PT01M53.00S,2022-01-08T01:08:01.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,16,26,2022-01-08T01:08:01Z,1370000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (7 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
141,PT01M53.00S,2022-01-08T01:08:02.1Z,1,REGULAR,substitution,out,[],204038,,,1610612749,16,26,2022-01-08T01:08:06Z,1380000,,,0,,SUB out: L. Galloway,[204038],1610612749.0,MIL,,,,Galloway,L. Galloway,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M53.00S,2022-01-08T01:08:02.1Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,16,26,2022-01-08T01:08:06Z,1390000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M53.00S,2022-01-08T01:08:25.6Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,16,27,2022-01-08T01:08:25Z,1400000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
144,PT01M41.00S,2022-01-08T01:08:42.5Z,1,REGULAR,turnover,out-of-bounds,[],1630560,,,1610612751,16,27,2022-01-08T01:08:54Z,1410000,,,0,,C. Thomas step out-of-bounds TURNOVER (1 TO),[1630560],1610612751.0,BKN,step,,,Thomas,C. Thomas,,,,,,,,,,,,202053.0,,,,,1.0,,,,,,,,
145,PT01M30.00S,2022-01-08T01:09:04.3Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,16,27,2022-01-08T01:09:15Z,1420000,,,0,,G. Antetokounmpo offensive FOUL (1 PF),"[203507, 201988]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,201245.0,1.0,0.0,Mills,201988.0,,,,,,,,,
147,PT01M30.00S,2022-01-08T01:09:04.3Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,16,27,2022-01-08T01:09:04Z,1440000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,201245.0,,,,,1.0,,,,,,,,
148,PT01M20.00S,2022-01-08T01:09:26.1Z,1,REGULAR,foul,personal,[],1630572,,,1610612751,16,27,2022-01-08T01:09:35Z,1450000,,,0,,S. Mamukelashvili personal FOUL (1 PF),"[1630572, 200746]",1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,201245.0,1.0,0.0,Aldridge,200746.0,,,,,,,,,
150,PT01M15.00S,2022-01-08T01:09:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",200746,5.206964520367937,47.30392156862745,1610612751,18,27,2022-01-08T01:12:30Z,1470000,13.0,-4.0,1,left,L. Aldridge cutting Layup (2 PTS) (K. Durant 2 AST),"[200746, 201142]",1610612751.0,BKN,cutting,,,Aldridge,L. Aldridge,,,,,1.4,Made,,,,,2.0,,,,,,,,,K. Durant,201142.0,2.0,,,
152,PT01M06.00S,2022-01-08T01:09:55.2Z,1,REGULAR,3pt,Jump Shot,[],1629670,76.16622864651774,86.51960784313727,1610612749,18,27,2022-01-08T01:10:06Z,1490000,183.0,172.0,1,right,MISS J. Nwora 25' 3PT,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
153,PT01M06.00S,2022-01-08T01:09:55.2Z,1,REGULAR,rebound,defensive,[],201949,,,1610612751,18,27,2022-01-08T01:10:06Z,1500000,,,0,,J. Johnson REBOUND (Off:1 Def:1),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,152.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
154,PT01M00.00S,2022-01-08T01:10:03.8Z,1,REGULAR,violation,kicked ball,[],1630572,,,1610612751,18,27,2022-01-08T01:10:09Z,1510000,,,0,,S. Mamukelashvili kicked ball VIOLATION,[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
155,PT00M55.40S,2022-01-08T01:10:20.9Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1630572,,,1610612751,18,27,2022-01-08T01:10:31Z,1520000,,,0,,S. Mamukelashvili shooting personal FOUL (2 PF) (Durant 3 FT),"[1630572, 201142]",1610612749.0,MIL,shooting,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,201245.0,2.0,0.0,Durant,201142.0,,,,,,,,,
157,PT00M55.40S,2022-01-08T01:10:40.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,18,27,2022-01-08T01:10:51Z,1540000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support 3 FTs
158,PT00M55.40S,2022-01-08T01:10:57.1Z,1,REGULAR,freethrow,1 of 3,[],201142,,,1610612751,19,27,2022-01-08T01:10:57Z,1550000,,,0,,K. Durant Free Throw 1 of 3 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
159,PT00M55.40S,2022-01-08T01:11:12.9Z,1,REGULAR,freethrow,2 of 3,[],201142,,,1610612751,20,27,2022-01-08T01:11:12Z,1560000,,,0,,K. Durant Free Throw 2 of 3 (7 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
160,PT00M55.40S,2022-01-08T01:11:30.7Z,1,REGULAR,freethrow,3 of 3,[],201142,,,1610612751,21,27,2022-01-08T01:11:30Z,1570000,,,0,,K. Durant Free Throw 3 of 3 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
161,PT00M30.80S,2022-01-08T01:11:58.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,21,27,2022-01-08T01:12:03Z,1580000,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,1199.0,,,,,,,,,,,,,
162,PT00M21.60S,2022-01-08T01:12:22.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,22.946780551905388,53.431372549019606,1610612751,21,27,2022-01-08T01:12:41Z,1590000,-17.0,163.0,1,left,MISS K. Durant 16' Jump Shot,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,16.41,Missed,,,,,,,,,,,,,,,,,,,
163,PT00M18.50S,2022-01-08T01:12:25.9Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612749,21,27,2022-01-08T01:12:25Z,1600000,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:1),[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,162.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
164,PT00M02.30S,2022-01-08T01:12:42.1Z,1,REGULAR,2pt,Jump Shot,[],203507,75.90341655716163,39.950980392156865,1610612749,21,29,2022-01-08T01:14:30Z,1610000,-50.0,174.0,1,right,G. Antetokounmpo 18' pullup Jump Shot (10 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,18.11,Made,,,,,10.0,,,,,,,,,,,,,,
165,PT00M00.00S,2022-01-08T01:12:49.8Z,1,REGULAR,period,end,[],0,,,1610612751,21,29,2022-01-08T01:12:49Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,21,29,2022-01-08T01:16:10Z,1630000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],201949,,,1610612751,21,29,2022-01-08T01:16:10Z,1640000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],200746,,,1610612751,21,29,2022-01-08T01:16:10Z,1650000,,,0,,SUB out: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],203918,,,1610612751,21,29,2022-01-08T01:16:10Z,1660000,,,0,,SUB out: R. Hood,[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],1628400,,,1610612751,21,29,2022-01-08T01:16:10Z,1670000,,,0,,SUB out: S. Ojeleye,[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,out,['startperiod'],1630572,,,1610612751,21,29,2022-01-08T01:16:10Z,1680000,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,in,['startperiod'],1629651,,,1610612751,21,29,2022-01-08T01:16:10Z,1690000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,in,['startperiod'],1627761,,,1610612751,21,29,2022-01-08T01:16:10Z,1700000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612751,21,29,2022-01-08T01:16:10Z,1710000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,in,['startperiod'],203114,,,1610612751,21,29,2022-01-08T01:16:10Z,1720000,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-01-08T01:14:32.6Z,2,REGULAR,substitution,in,['startperiod'],1626171,,,1610612751,21,29,2022-01-08T01:16:10Z,1730000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
