actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
96,PT03M30.00S,2021-11-17T00:50:04.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627780,5.469776609724048,49.01960784313725,1610612744,25,22,2021-11-17T00:50:10Z,960000,5.0,-1.0,1,left,G. Payton II running alley-oop DUNK (4 PTS) (D. Green 1 AST),"[1627780, 203110]",1610612744.0,GSW,running alley-oop,,,Payton II,G. Payton II,,,,,,,,,,0.5,Made,4.0,D. Green,203110.0,1.0,,,,,,,,,,
98,PT03M13.00S,2021-11-17T00:50:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,94.1688567674113,38.23529411764706,1610612751,25,22,2021-11-17T00:50:38Z,980000,-59.0,2.0,1,right,MISS K. Durant fadeaway Shot,[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,,,,,,5.88,Missed,,,,,,,,,,,,,,
99,PT03M12.00S,2021-11-17T00:50:22.6Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,25,22,2021-11-17T00:50:22Z,990000,,,0,,B. Brown REBOUND (Off:1 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,98.0,3.0,2.0,1.0,,,,,
100,PT03M10.00S,2021-11-17T00:50:24.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,95.22010512483574,4.411764705882353,1610612751,28,22,2021-11-17T00:50:34Z,1000000,-228.0,-8.0,1,right,K. Durant 3PT  (10 PTS) (B. Brown 2 AST),"[201142, 1628971]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,22.8,Made,10.0,B. Brown,1628971.0,2.0,,,,,,,,,,
102,PT03M01.00S,2021-11-17T00:50:36.0Z,1,REGULAR,foul,offensive,['inpenalty'],1629673,,,1610612744,28,22,2021-11-17T00:50:59Z,1020000,,,0,,J. Poole charge offensive FOUL (2 PF),"[1629673, 201933]",1610612744.0,GSW,charge,,,Poole,J. Poole,,,,,203593.0,2.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,,
104,PT03M01.00S,2021-11-17T00:50:36.0Z,1,REGULAR,turnover,offensive foul,[],1629673,,,1610612744,28,22,2021-11-17T00:50:36Z,1040000,,,0,,J. Poole offensive foul TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,203593.0,,,,,,,,,,,1.0,,,,,,,,,
105,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,out,[],201988,,,1610612751,28,22,2021-11-17T00:50:56Z,1050000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,out,[],1629673,,,1610612751,28,22,2021-11-17T00:50:56Z,1060000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,out,[],203952,,,1610612751,28,22,2021-11-17T00:50:56Z,1070000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,in,[],1627761,,,1610612751,28,22,2021-11-17T00:50:56Z,1080000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,in,[],2738,,,1610612751,28,22,2021-11-17T00:50:56Z,1090000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M01.00S,2021-11-17T00:50:41.8Z,1,REGULAR,substitution,in,[],201939,,,1610612751,28,22,2021-11-17T00:50:56Z,1100000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M49.00S,2021-11-17T00:51:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,92.9862023653088,47.05882352941176,1610612751,30,22,2021-11-17T00:51:16Z,1110000,-15.0,13.0,1,right,J. Harden driving Layup (6 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,,,1.99,Made,6.0,,,,,,,,,,,,,
112,PT02M30.00S,2021-11-17T00:51:30.6Z,1,REGULAR,3pt,Jump Shot,[],201939,37.66425755584757,52.20588235294118,1610612744,30,25,2021-11-17T00:51:36Z,1120000,-11.0,302.0,1,left,S. Curry 30' 3PT step back (9 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,,,,,,30.17,Made,9.0,,,,,,,,,,,,,
113,PT02M15.00S,2021-11-17T00:51:46.0Z,1,REGULAR,3pt,Jump Shot,[],201933,94.30026281208936,4.166666666666666,1610612751,30,25,2021-11-17T00:51:49Z,1130000,-229.0,1.0,1,right,MISS B. Griffin 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,22.92,Missed,,,,,,,,,,,,,,
114,PT02M12.00S,2021-11-17T00:51:49.0Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,30,25,2021-11-17T00:51:49Z,1140000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,,
115,PT02M08.00S,2021-11-17T00:51:52.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,38.4526938239159,17.15686274509804,1610612744,30,28,2021-11-17T00:51:59Z,1150000,164.0,309.0,1,left,S. Curry 34' 3PT running pullup (12 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,,,,,,34.99,Made,12.0,D. Green,203110.0,2.0,,,,,,,,,,
118,PT01M54.00S,2021-11-17T00:52:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,79.97700394218134,50.49019607843137,1610612751,30,28,2021-11-17T00:52:14Z,1180000,2.0,136.0,1,right,MISS K. Durant 13' pullup Shot - blocked,"[201142, 2738]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,13.57,Missed,,,,,,,,,,,,Iguodala,2738.0,
119,PT01M54.00S,2021-11-17T00:52:07.0Z,1,REGULAR,block,,[],2738,,,1610612751,30,28,2021-11-17T00:52:11Z,1190000,,,0,,A. Iguodala BLOCK (1 BLK),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M50.00S,2021-11-17T00:52:11.0Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,30,28,2021-11-17T00:52:14Z,1200000,,,0,,N. Bjelica REBOUND (Off:0 Def:2),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,118.0,2.0,2.0,0.0,,,,,
121,PT01M48.00S,2021-11-17T00:52:13.7Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,30,28,2021-11-17T00:52:17Z,1210000,,,0,,S. Curry lost ball TURNOVER (2 TO),"[201939, 1628971]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,2.0,,,,,Brown,1628971.0,,,
122,PT01M48.00S,2021-11-17T00:52:13.7Z,1,REGULAR,steal,,[],1628971,,,1610612751,30,28,2021-11-17T00:52:15Z,1220000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M27.00S,2021-11-17T00:52:37.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202357,,,1610612751,30,28,2021-11-17T00:52:46Z,1230000,,,0,,N. Bjelica personal FOUL (1 PF) (Harden 2 FT),"[202357, 201935]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,2715.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,,
125,PT01M27.00S,2021-11-17T00:52:52.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,30,28,2021-11-17T00:52:52Z,1250000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,30,28,2021-11-17T00:56:09Z,1260000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,out,[],201933,,,1610612751,30,28,2021-11-17T00:56:09Z,1270000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,out,[],203110,,,1610612751,30,28,2021-11-17T00:56:09Z,1280000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,30,28,2021-11-17T00:56:09Z,1290000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,in,[],201949,,,1610612751,30,28,2021-11-17T00:56:09Z,1300000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M27.00S,2021-11-17T00:52:55.3Z,1,REGULAR,substitution,in,[],203490,,,1610612751,30,28,2021-11-17T00:56:09Z,1310000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M27.00S,2021-11-17T00:56:37.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612751,31,28,2021-11-17T00:56:37Z,1320000,,,0,,J. Harden Free Throw 1 of 2 (7 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
133,PT01M27.00S,2021-11-17T00:56:53.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612751,32,28,2021-11-17T00:56:53Z,1330000,,,0,,J. Harden Free Throw 2 of 2 (8 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
134,PT01M13.00S,2021-11-17T00:57:08.9Z,1,REGULAR,3pt,Jump Shot,[],201939,31.750985545335087,29.65686274509804,1610612744,32,28,2021-11-17T00:57:13Z,1340000,102.0,246.0,1,left,MISS S. Curry 26' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,26.62,Missed,,,,,,,,,,,,,,
135,PT01M10.00S,2021-11-17T00:57:11.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,32,28,2021-11-17T00:57:13Z,1350000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,134.0,2.0,2.0,0.0,,,,,
136,PT01M00.00S,2021-11-17T00:57:22.6Z,1,REGULAR,3pt,Jump Shot,[],201935,66.17936925098554,54.90196078431373,1610612751,32,28,2021-11-17T00:57:29Z,1360000,25.0,265.0,1,right,MISS J. Harden 26' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,,,26.65,Missed,,,,,,,,,,,,,,
137,PT00M58.60S,2021-11-17T00:57:24.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,32,28,2021-11-17T00:57:29Z,1370000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,,,
138,PT00M44.20S,2021-11-17T00:57:42.5Z,1,REGULAR,turnover,traveling,[],203490,,,1610612744,32,28,2021-11-17T00:57:55Z,1380000,,,0,,O. Porter Jr. traveling TURNOVER (1 TO),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,2715.0,,,,,,,,,,,1.0,,,,,,,,,
139,PT00M44.20S,2021-11-17T00:57:44.7Z,1,REGULAR,substitution,out,[],201935,,,1610612751,32,28,2021-11-17T00:57:50Z,1390000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M44.20S,2021-11-17T00:57:44.7Z,1,REGULAR,substitution,in,[],201988,,,1610612751,32,28,2021-11-17T00:57:50Z,1400000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M31.50S,2021-11-17T00:58:16.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201939,,,1610612751,32,28,2021-11-17T00:58:25Z,1420000,,,0,,S. Curry personal FOUL (2 PF) (Durant 2 FT),"[201939, 201142]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,203593.0,2.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,,
144,PT00M31.50S,2021-11-17T00:58:40.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201142,,,1610612751,33,28,2021-11-17T00:58:40Z,1440000,,,0,,K. Durant Free Throw 1 of 2 (11 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
145,PT00M31.50S,2021-11-17T00:58:57.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201142,,,1610612751,34,28,2021-11-17T00:58:57Z,1450000,,,0,,K. Durant Free Throw 2 of 2 (12 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,Made,12.0,,,,,,,,,,,,,
146,PT00M18.90S,2021-11-17T00:59:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,8.09789750328515,40.931372549019606,1610612744,34,28,2021-11-17T00:59:17Z,1460000,45.0,24.0,1,left,MISS S. Curry driving finger roll Layup - blocked,"[201939, 1627761]",1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,,,,,,5.11,Missed,,,,,,,,,,,,Bembry,1627761.0,
147,PT00M18.90S,2021-11-17T00:59:12.7Z,1,REGULAR,block,,[],1627761,,,1610612744,34,28,2021-11-17T00:59:15Z,1470000,,,0,,D. Bembry BLOCK (1 BLK),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M18.90S,2021-11-17T00:59:12.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,34,28,2021-11-17T00:59:17Z,1480000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,
149,PT00M18.90S,2021-11-17T00:59:17.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,34,28,2021-11-17T00:59:17Z,1490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M16.70S,2021-11-17T00:59:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,34,28,2021-11-17T00:59:37Z,1500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M11.40S,2021-11-17T00:59:59.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203490,20.844283837056505,73.52941176470588,1610612744,34,28,2021-11-17T01:00:05Z,1510000,-118.0,143.0,1,left,MISS O. Porter Jr. 18' pullup Shot,[203490],1610612744.0,GSW,pullup,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,18.55,Missed,,,,,,,,,,,,,,
152,PT00M06.80S,2021-11-17T01:00:04.3Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,34,28,2021-11-17T01:00:05Z,1520000,,,0,,G. Payton II REBOUND (Off:1 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,151.0,2.0,1.0,1.0,,,,,
153,PT00M06.80S,2021-11-17T01:00:04.8Z,1,REGULAR,foul,personal,['2freethrow'],1627761,,,1610612744,34,28,2021-11-17T01:00:17Z,1530000,,,0,,D. Bembry shooting personal FOUL (1 PF) (Payton II 2 FT),"[1627761, 1627780]",1610612751.0,BKN,shooting,,,Bembry,D. Bembry,,,,,203593.0,1.0,0.0,Payton II,1627780.0,,,,,,,,,,,,,,,,
155,PT00M06.80S,2021-11-17T01:00:29.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627780,,,1610612744,34,29,2021-11-17T01:00:29Z,1550000,,,0,,G. Payton II Free Throw 1 of 2 (5 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
156,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,out,[],202357,,,1610612744,34,29,2021-11-17T01:00:45Z,1560000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,out,[],201939,,,1610612744,34,29,2021-11-17T01:00:45Z,1570000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,out,[],203490,,,1610612744,34,29,2021-11-17T01:00:45Z,1580000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,34,29,2021-11-17T01:00:45Z,1590000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,in,[],1629308,,,1610612744,34,29,2021-11-17T01:00:45Z,1600000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M06.80S,2021-11-17T01:00:32.7Z,1,REGULAR,substitution,in,[],203952,,,1610612744,34,29,2021-11-17T01:00:45Z,1610000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M06.80S,2021-11-17T01:00:29.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627780,,,1610612744,34,29,2021-11-17T01:01:02Z,1620000,,,0,,MISS G. Payton II Free Throw 2 of 2,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,Missed,,,,,,,,,,,,,,
163,PT00M02.70S,2021-11-17T01:00:34.0Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,34,29,2021-11-17T01:01:02Z,1630000,,,0,,J. Kuminga REBOUND (Off:1 Def:0),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,162.0,1.0,0.0,1.0,,,,,
164,PT00M02.60S,2021-11-17T01:01:02.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630228,8.886333771353483,48.77450980392157,1610612744,34,31,2021-11-17T01:01:08Z,1640000,6.0,31.0,1,left,J. Kuminga driving bank Jump Shot (2 PTS),[1630228],1610612744.0,GSW,driving bank,,,Kuminga,J. Kuminga,,,,,,,,,,3.16,Made,2.0,,,,,,,,,,,,,
165,PT00M00.00S,2021-11-17T01:01:12.5Z,1,REGULAR,period,end,[],0,,,1610612751,34,31,2021-11-17T01:01:12Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,34,31,2021-11-17T01:04:39Z,1660000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,out,['startperiod'],1627780,,,1610612751,34,31,2021-11-17T01:04:39Z,1670000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,out,['startperiod'],1629308,,,1610612751,34,31,2021-11-17T01:04:39Z,1680000,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,out,['startperiod'],203952,,,1610612751,34,31,2021-11-17T01:04:39Z,1690000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612751,34,31,2021-11-17T01:04:39Z,1700000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,in,['startperiod'],1627814,,,1610612751,34,31,2021-11-17T01:04:39Z,1710000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,in,['startperiod'],203490,,,1610612751,34,31,2021-11-17T01:04:39Z,1720000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2021-11-17T01:02:37.9Z,2,REGULAR,substitution,in,['startperiod'],201939,,,1610612751,34,31,2021-11-17T01:04:39Z,1730000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2021-11-17T01:05:02.6Z,2,REGULAR,period,start,[],0,,,1610612744,34,31,2021-11-17T01:05:02Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M48.00S,2021-11-17T01:05:13.6Z,2,REGULAR,3pt,Jump Shot,[],201939,29.517082785808146,25.98039215686275,1610612744,34,31,2021-11-17T01:05:21Z,1750000,120.0,225.0,1,left,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,25.5,Missed,,,,,,,,,,,,,,
176,PT11M45.00S,2021-11-17T01:05:16.6Z,2,REGULAR,rebound,offensive,[],203490,,,1610612744,34,31,2021-11-17T01:05:21Z,1760000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:0),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,175.0,1.0,0.0,1.0,,,,,
177,PT11M42.00S,2021-11-17T01:05:19.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630228,34.247700394218136,53.92156862745098,1610612744,34,31,2021-11-17T01:05:24Z,1770000,-20.0,269.0,1,left,MISS J. Kuminga 27' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,27.01,Missed,,,,,,,,,,,,,,
178,PT11M42.00S,2021-11-17T01:05:19.8Z,2,REGULAR,rebound,defensive,[],1627761,,,1610612751,34,31,2021-11-17T01:05:24Z,1780000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,177.0,1.0,1.0,0.0,,,,,
179,PT11M35.00S,2021-11-17T01:05:29.9Z,2,REGULAR,foul,offensive,[],201935,,,1610612751,34,31,2021-11-17T01:05:46Z,1790000,,,0,,J. Harden offensive FOUL (1 PF),"[201935, 203490]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,203591.0,1.0,0.0,Porter Jr.,203490.0,,,,,,,,,,,,,,,,
181,PT11M35.00S,2021-11-17T01:05:29.9Z,2,REGULAR,turnover,offensive foul,[],201935,,,1610612751,34,31,2021-11-17T01:05:46Z,1810000,,,0,,J. Harden offensive foul TURNOVER (4 TO),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,203591.0,,,,,,,,,,,4.0,,,,,,,,,
182,PT11M24.00S,2021-11-17T01:05:55.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627814,13.354139290407357,34.068627450980394,1610612744,34,31,2021-11-17T01:06:37Z,1820000,80.0,73.0,1,left,MISS D. Lee 10' driving floating bank Shot,[1627814],1610612744.0,GSW,driving floating bank,,,Lee,D. Lee,,,,,,,,,,10.81,Missed,,,,,,,,,,,,,,
183,PT11M20.00S,2021-11-17T01:05:59.4Z,2,REGULAR,rebound,offensive,[],1630228,,,1610612744,34,31,2021-11-17T01:06:44Z,1830000,,,0,,J. Kuminga REBOUND (Off:2 Def:0),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,182.0,2.0,0.0,2.0,,,,,
184,PT11M20.00S,2021-11-17T01:06:00.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630228,5.590000152587891,50.0,1610612744,34,31,2021-11-17T01:06:52Z,1840000,0.0,0.0,1,left,MISS J. Kuminga tip Layup,[1630228],1610612744.0,GSW,tip,,,Kuminga,J. Kuminga,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
