actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
103,PT04M56.00S,2021-10-24T20:25:40.0Z,1,REGULAR,steal,,[],200794,,,1610612751,13,19,2021-10-24T20:28:38Z,907500,,,0,,P. Millsap STEAL (1 STL),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M52.00S,2021-10-24T20:25:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",201142,94.03745072273325,50.73529411764706,1610612751,15,19,2021-10-24T20:28:41Z,930000,4.0,4.0,1,right,K. Durant running Layup (8 PTS) (P. Millsap 1 AST),"[201142, 200794]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,0.51,Made,,,,,,,,,,,,8.0,P. Millsap,200794.0,1.0,,,
97,PT04M38.00S,2021-10-24T20:26:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202397,7.5722733245729295,48.03921568627451,1610612766,15,19,2021-10-24T20:26:12Z,950000,10.0,19.0,1,left,MISS I. Smith driving Layup,[202397],1610612766.0,CHA,driving,,,Smith,I. Smith,,,,,2.11,Missed,,,,,,,,,,,,,,,,,,
98,PT04M38.00S,2021-10-24T20:26:04.6Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,15,19,2021-10-24T20:26:12Z,960000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,,
99,PT04M33.00S,2021-10-24T20:26:10.1Z,1,REGULAR,2pt,Jump Shot,[],201142,83.919185282523,75.98039215686273,1610612751,17,19,2021-10-24T20:26:33Z,970000,130.0,99.0,1,right,K. Durant 16' pullup Jump Shot (10 PTS) (P. Mills 2 AST),"[201142, 201988]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,16.31,Made,,,,,,,,,,,,10.0,P. Mills,201988.0,2.0,,,
101,PT04M32.00S,2021-10-24T20:26:15.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,17,19,2021-10-24T20:26:15Z,990000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M32.00S,2021-10-24T20:26:19.4Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,17,19,2021-10-24T20:28:58Z,1000000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M32.00S,2021-10-24T20:26:19.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,17,19,2021-10-24T20:28:58Z,1010000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M19.00S,2021-10-24T20:29:23.1Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,17,19,2021-10-24T20:29:28Z,1020000,,,0,,G. Hayward bad pass TURNOVER (2 TO),"[202330, 1628971]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,2.0,Brown,1628971.0
107,PT04M19.00S,2021-10-24T20:29:23.1Z,1,REGULAR,steal,,[],1628971,,,1610612751,17,19,2021-10-24T20:29:28Z,1030000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M13.00S,2021-10-24T20:29:30.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628971,83.78777923784494,44.85294117647059,1610612751,19,19,2021-10-24T20:29:36Z,1040000,-26.0,100.0,1,right,B. Brown 10' floating Jump Shot (5 PTS) (K. Durant 1 AST),"[1628971, 201142]",1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,10.32,Made,,,,,,,,,,,,5.0,K. Durant,201142.0,1.0,,,
110,PT04M05.00S,2021-10-24T20:29:42.1Z,1,REGULAR,foul,personal,['2freethrow'],200794,,,1610612766,19,19,2021-10-24T20:30:08Z,1060000,,,0,,P. Millsap shooting personal FOUL (1 PF) (Martin 2 FT),"[200794, 1628998]",1610612751.0,BKN,shooting,,,Millsap,P. Millsap,,,,,,,,,,,,,1204.0,1.0,0.0,Martin,1628998.0,,,,,,,
112,PT04M05.00S,2021-10-24T20:30:09.0Z,1,REGULAR,freethrow,1 of 2,[],1628998,,,1610612766,19,20,2021-10-24T20:30:09Z,1080000,,,0,,C. Martin Free Throw 1 of 2 (1 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
113,PT04M05.00S,2021-10-24T20:30:13.1Z,1,REGULAR,freethrow,2 of 2,[],1628998,,,1610612766,19,21,2021-10-24T20:30:13Z,1090000,,,0,,C. Martin Free Throw 2 of 2 (2 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
114,PT03M58.00S,2021-10-24T20:30:30.0Z,1,REGULAR,foul,offensive,[],200746,,,1610612751,19,21,2021-10-24T20:30:45Z,1100000,,,0,,L. Aldridge offensive FOUL (1 PF),"[200746, 202330]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,1627529.0,1.0,0.0,Hayward,202330.0,,,,,,,
116,PT03M58.00S,2021-10-24T20:30:30.0Z,1,REGULAR,turnover,offensive foul,[],200746,,,1610612751,19,21,2021-10-24T20:30:30Z,1120000,,,0,,L. Aldridge offensive foul TURNOVER (1 TO),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,1627529.0,,,,,,,,,1.0,,
117,PT03M58.00S,2021-10-24T20:30:42.7Z,1,REGULAR,substitution,out,[],202330,,,1610612766,19,21,2021-10-24T20:30:46Z,1130000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M58.00S,2021-10-24T20:30:42.7Z,1,REGULAR,substitution,in,[],203486,,,1610612766,19,21,2021-10-24T20:30:46Z,1140000,,,0,,SUB in: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M39.00S,2021-10-24T20:31:00.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202397,11.645860709592641,71.81372549019608,1610612766,19,21,2021-10-24T20:31:07Z,1150000,-109.0,57.0,1,left,MISS I. Smith 12' pullup Shot,[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,12.31,Missed,,,,,,,,,,,,,,,,,,
120,PT03M38.00S,2021-10-24T20:31:01.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,19,21,2021-10-24T20:31:07Z,1160000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,
121,PT03M38.00S,2021-10-24T20:31:06.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,19,21,2021-10-24T20:31:06Z,1170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M29.00S,2021-10-24T20:31:19.4Z,1,REGULAR,foul,personal,[],1626162,,,1610612751,19,21,2021-10-24T20:31:43Z,1180000,,,0,,K. Oubre Jr. personal FOUL (2 PF),"[1626162, 201142]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,1204.0,2.0,0.0,Durant,201142.0,,,,,,,
124,PT03M22.00S,2021-10-24T20:31:42.3Z,1,REGULAR,2pt,Jump Shot,[],200746,77.4802890932983,72.05882352941177,1610612751,21,21,2021-10-24T20:31:46Z,1200000,110.0,159.0,1,right,L. Aldridge 19' Jump Shot (2 PTS) (P. Millsap 2 AST),"[200746, 200794]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,19.37,Made,,,,,,,,,,,,2.0,P. Millsap,200794.0,2.0,,,
126,PT03M04.00S,2021-10-24T20:32:00.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,31.61957950065703,42.64705882352941,1610612766,21,21,2021-10-24T20:32:04Z,1220000,37.0,245.0,1,left,MISS K. Oubre Jr. 24' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,
127,PT03M01.00S,2021-10-24T20:32:03.1Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,21,21,2021-10-24T20:32:04Z,1230000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,
128,PT02M53.00S,2021-10-24T20:32:11.4Z,1,REGULAR,3pt,Jump Shot,[],200794,68.54467805519053,27.941176470588236,1610612751,24,21,2021-10-24T20:32:16Z,1240000,-110.0,243.0,1,right,P. Millsap 26' 3PT  (3 PTS) (K. Durant 2 AST),"[200794, 201142]",1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,26.7,Made,,,,,,,,,,,,3.0,K. Durant,201142.0,2.0,,,
130,PT02M43.00S,2021-10-24T20:32:21.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,31.882391590013142,58.333333333333336,1610612766,24,21,2021-10-24T20:32:27Z,1260000,-42.0,247.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
131,PT02M39.00S,2021-10-24T20:32:25.5Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,24,21,2021-10-24T20:32:27Z,1270000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,130.0,3.0,2.0,1.0,,,,,,,,,,,,
132,PT02M38.00S,2021-10-24T20:32:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,11.777266754270697,48.529411764705884,1610612766,24,21,2021-10-24T20:32:30Z,1280000,7.0,58.0,1,left,MISS K. Oubre Jr. putback Layup,[1626162],1610612766.0,CHA,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,5.87,Missed,,,,,,,,,,,,,,,,,,
133,PT02M36.00S,2021-10-24T20:32:28.8Z,1,REGULAR,rebound,defensive,[],200794,,,1610612751,24,21,2021-10-24T20:32:30Z,1290000,,,0,,P. Millsap REBOUND (Off:0 Def:1),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,
134,PT02M33.00S,2021-10-24T20:32:40.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626162,,,1610612751,24,21,2021-10-24T20:32:52Z,1300000,,,0,,K. Oubre Jr. personal FOUL (3 PF) (Millsap 2 FT),"[1626162, 200794]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,1148.0,3.0,0.0,Millsap,200794.0,,,,,,,
136,PT02M33.00S,2021-10-24T20:33:10.9Z,1,REGULAR,freethrow,1 of 2,[],200794,,,1610612751,25,21,2021-10-24T20:33:10Z,1320000,,,0,,P. Millsap Free Throw 1 of 2 (4 PTS),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
137,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,out,[],201142,,,1610612751,25,21,2021-10-24T20:33:23Z,1330000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,out,[],200746,,,1610612751,25,21,2021-10-24T20:33:23Z,1340000,,,0,,SUB out: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,out,[],1626162,,,1610612751,25,21,2021-10-24T20:33:23Z,1350000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,in,[],201935,,,1610612751,25,21,2021-10-24T20:33:23Z,1360000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,25,21,2021-10-24T20:33:23Z,1370000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M33.00S,2021-10-24T20:33:11.5Z,1,REGULAR,substitution,in,[],1629667,,,1610612751,25,21,2021-10-24T20:33:23Z,1380000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M33.00S,2021-10-24T20:33:32.2Z,1,REGULAR,freethrow,2 of 2,[],200794,,,1610612751,26,21,2021-10-24T20:33:32Z,1390000,,,0,,P. Millsap Free Throw 2 of 2 (5 PTS),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
144,PT02M15.00S,2021-10-24T20:33:50.3Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,26,21,2021-10-24T20:33:54Z,1400000,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 200794]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,1.0,Millsap,200794.0
145,PT02M15.00S,2021-10-24T20:33:50.3Z,1,REGULAR,steal,,[],200794,,,1610612751,26,21,2021-10-24T20:33:52Z,1410000,,,0,,P. Millsap STEAL (2 STL),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M06.00S,2021-10-24T20:33:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200794,71.43561103810775,76.7156862745098,1610612751,26,21,2021-10-24T20:34:02Z,1420000,134.0,216.0,1,right,MISS P. Millsap 25' 3PT,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
147,PT02M04.00S,2021-10-24T20:34:01.1Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,26,21,2021-10-24T20:34:02Z,1430000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,
148,PT01M58.00S,2021-10-24T20:34:07.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203486,5.601182654402102,52.450980392156865,1610612766,26,23,2021-10-24T21:25:06Z,1440000,-12.0,0.0,1,left,M. Plumlee reverse Layup (4 PTS) (C. Martin 1 AST),"[203486, 1628998]",1610612766.0,CHA,reverse,,,Plumlee,M. Plumlee,,,,,1.23,Made,,,,,,,,,,,,4.0,C. Martin,1628998.0,1.0,,,
150,PT01M44.00S,2021-10-24T20:34:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,81.94809461235218,53.431372549019606,1610612751,28,23,2021-10-24T20:34:27Z,1460000,17.0,117.0,1,right,J. Harden 11' driving floating Jump Shot (2 PTS),[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,11.85,Made,,,,,,,,,,,,2.0,,,,,,
151,PT01M25.00S,2021-10-24T20:34:40.1Z,1,REGULAR,3pt,Jump Shot,[],1628998,25.312089356110377,85.5392156862745,1610612766,28,23,2021-10-24T20:34:47Z,1470000,-178.0,185.0,1,left,MISS C. Martin 25' 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,
152,PT01M25.00S,2021-10-24T20:34:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,28,23,2021-10-24T20:34:47Z,1480000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,
153,PT01M25.00S,2021-10-24T20:34:48.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628971,,,1610612766,28,23,2021-10-24T20:34:57Z,1490000,,,0,,B. Brown loose ball personal FOUL (1 PF) (Plumlee 2 FT),"[1628971, 203486]",1610612751.0,BKN,loose ball,,,Brown,B. Brown,,,,,,,,,,,,,1148.0,1.0,0.0,Plumlee,203486.0,,,,,,,
155,PT01M25.00S,2021-10-24T20:35:08.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203486,,,1610612766,28,23,2021-10-24T20:35:08Z,1510000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,
156,PT01M25.00S,2021-10-24T20:35:08.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,28,23,2021-10-24T20:35:08Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,
157,PT01M25.00S,2021-10-24T20:35:08.9Z,1,REGULAR,substitution,out,[],200794,,,1610612766,28,23,2021-10-24T20:35:21Z,1530000,,,0,,SUB out: P. Millsap,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M25.00S,2021-10-24T20:35:08.9Z,1,REGULAR,substitution,out,[],202397,,,1610612766,28,23,2021-10-24T20:35:21Z,1540000,,,0,,SUB out: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M25.00S,2021-10-24T20:35:08.9Z,1,REGULAR,substitution,in,[],203925,,,1610612766,28,23,2021-10-24T20:35:21Z,1550000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M25.00S,2021-10-24T20:35:08.9Z,1,REGULAR,substitution,in,[],1630163,,,1610612766,28,23,2021-10-24T20:35:21Z,1560000,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
161,PT01M25.00S,2021-10-24T20:35:36.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203486,,,1610612766,28,24,2021-10-24T20:35:36Z,1570000,,,0,,M. Plumlee Free Throw 2 of 2 (5 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
162,PT01M13.00S,2021-10-24T20:35:49.6Z,1,REGULAR,3pt,Jump Shot,[],201935,66.96780551905388,50.73529411764706,1610612751,31,24,2021-10-24T20:35:54Z,1580000,4.0,258.0,1,right,J. Harden 25' 3PT pullup (5 PTS),[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,25.8,Made,,,,,,,,,,,,5.0,,,,,,
163,PT01M05.00S,2021-10-24T20:35:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629667,20.581471747700395,9.803921568627452,1610612766,31,27,2021-10-24T20:36:03Z,1590000,201.0,141.0,1,left,J. McDaniels 24' 3PT  (3 PTS) (C. Martin 2 AST),"[1629667, 1628998]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,24.55,Made,,,,,,,,,,,,3.0,C. Martin,1628998.0,2.0,,,
165,PT00M47.80S,2021-10-24T20:36:16.1Z,1,REGULAR,3pt,Jump Shot,[],201935,66.44218134034165,53.18627450980392,1610612751,31,27,2021-10-24T20:36:20Z,1610000,16.0,263.0,1,right,MISS J. Harden 26' pullup 3PT,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,
166,PT00M45.10S,2021-10-24T20:36:18.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,31,27,2021-10-24T20:36:20Z,1620000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,165.0,2.0,2.0,0.0,,,,,,,,,,,,
167,PT00M40.00S,2021-10-24T20:36:24.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,28.86005256241787,27.696078431372552,1610612766,31,27,2021-10-24T20:39:58Z,1630000,112.0,219.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,24.56,Missed,,,,,,,,,,,,,,,,,,
168,PT00M36.80S,2021-10-24T20:36:27.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,31,27,2021-10-24T20:36:32Z,1640000,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,167.0,3.0,3.0,0.0,,,,,,,,,,,,
169,PT00M28.80S,2021-10-24T20:36:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,82.07950065703022,47.794117647058826,1610612751,31,27,2021-10-24T20:36:40Z,1650000,-11.0,116.0,1,right,MISS J. Harden 11' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,11.65,Missed,,,,,,,,,,,,,,,,,,
170,PT00M25.10S,2021-10-24T20:36:39.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,31,27,2021-10-24T20:36:40Z,1660000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,169.0,2.0,2.0,0.0,,,,,,,,,,,,
171,PT00M04.20S,2021-10-24T20:37:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,4.681340341655716,53.18627450980392,1610612766,31,27,2021-10-24T20:37:12Z,1670000,-16.0,-8.0,1,left,MISS L. Ball driving reverse Layup,[1630163],1610612766.0,CHA,driving reverse,,,Ball,L. Ball,,,,,1.8,Missed,,,,,,,,,,,,,,,,,,
172,PT00M01.70S,2021-10-24T20:37:02.7Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,31,27,2021-10-24T20:37:12Z,1680000,,,0,,J. Harris REBOUND (Off:0 Def:3),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,171.0,3.0,3.0,0.0,,,,,,,,,,,,
173,PT00M00.00S,2021-10-24T20:37:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,94.69448094612353,50.73529411764706,1610612751,31,27,2021-10-24T20:37:20Z,1690000,4.0,-3.0,1,right,MISS P. Mills running finger roll Layup,[201988],1610612751.0,BKN,running finger roll,,,Mills,P. Mills,,,,,0.45,Missed,,,,,,,,,,,,,,,,,,
174,PT00M00.00S,2021-10-24T20:37:08.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,31,27,2021-10-24T20:37:08Z,1700000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,
175,PT00M00.00S,2021-10-24T20:37:11.4Z,1,REGULAR,period,end,[],0,,,1610612751,31,27,2021-10-24T20:37:11Z,1710000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2021-10-24T20:37:27.1Z,2,REGULAR,substitution,out,['startperiod'],1628971,,,1610612751,31,27,2021-10-24T20:39:34Z,1720000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2021-10-24T20:37:27.1Z,2,REGULAR,substitution,out,['startperiod'],203486,,,1610612751,31,27,2021-10-24T20:39:34Z,1730000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2021-10-24T20:37:27.1Z,2,REGULAR,substitution,in,['startperiod'],201949,,,1610612751,31,27,2021-10-24T20:39:34Z,1740000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2021-10-24T20:37:27.1Z,2,REGULAR,substitution,in,['startperiod'],1628970,,,1610612751,31,27,2021-10-24T20:39:34Z,1750000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2021-10-24T20:39:40.4Z,2,REGULAR,period,start,[],0,,,1610612766,31,27,2021-10-24T20:39:40Z,1760000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT11M49.00S,2021-10-24T20:39:56.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,12.959921156373195,52.69607843137255,1610612766,31,27,2021-10-24T20:40:03Z,1770000,-13.0,69.0,1,left,MISS M. Bridges 7' driving Hook,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,7.06,Missed,,,,,,,,,,,,,,,,,,
182,PT11M46.00S,2021-10-24T20:39:59.2Z,2,REGULAR,rebound,offensive,[],1629667,,,1610612766,31,27,2021-10-24T20:39:59Z,1780000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,181.0,1.0,0.0,1.0,,,,,,,,,,,,
183,PT11M37.00S,2021-10-24T20:40:08.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630163,12.434296977660972,39.705882352941174,1610612766,31,29,2021-10-24T20:40:13Z,1790000,51.0,64.0,1,left,L. Ball 8' driving floating bank Jump Shot (9 PTS),[1630163],1610612766.0,CHA,driving floating bank,,,Ball,L. Ball,,,,,8.25,Made,,,,,,,,,,,,9.0,,,,,,
184,PT11M18.00S,2021-10-24T20:40:27.4Z,2,REGULAR,3pt,Jump Shot,[],201935,68.67608409986859,63.48039215686274,1610612751,34,29,2021-10-24T20:40:32Z,1800000,67.0,242.0,1,right,J. Harden 25' 3PT step back (8 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.11,Made,,,,,,,,,,,,8.0,,,,,,
