actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
91,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,20,10,2022-04-08T23:56:24Z,910000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,20,10,2022-04-08T23:56:24Z,920000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,20,10,2022-04-08T23:56:24Z,930000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,in,[],1630205,,,1610612739,20,10,2022-04-08T23:56:24Z,940000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,in,[],1629650,,,1610612739,20,10,2022-04-08T23:56:24Z,950000,,,0,,SUB in: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M27.00S,2022-04-08T23:55:27.8Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,20,10,2022-04-08T23:56:24Z,960000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M07.00S,2022-04-08T23:56:57.6Z,1,REGULAR,3pt,Jump Shot,[],1630205,5.469776609724048,95.58823529411765,1610612739,20,10,2022-04-08T23:57:02Z,970000,-228.0,-1.0,1,left,MISS L. Stevens 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,22.79,Missed,,,,,,,,,,,,
98,PT04M04.00S,2022-04-08T23:57:00.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,20,10,2022-04-08T23:57:02Z,980000,,,0,,K. Irving REBOUND (Off:0 Def:3),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,97.0,3.0,3.0,0.0,,,,,,,,
99,PT03M52.00S,2022-04-08T23:57:12.8Z,1,REGULAR,3pt,Jump Shot,[],1630556,86.5473061760841,5.392156862745098,1610612751,20,10,2022-04-08T23:57:39Z,990000,-223.0,74.0,1,right,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,23.5,Missed,,,,,,,,,,,,
100,PT03M49.00S,2022-04-08T23:57:15.8Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,20,10,2022-04-08T23:57:17Z,1000000,,,0,,B. Brown REBOUND (Off:2 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,99.0,4.0,2.0,2.0,,,,,,,,
101,PT03M42.00S,2022-04-08T23:57:23.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202681,89.96386333771353,79.16666666666666,1610612751,22,10,2022-04-08T23:57:28Z,1010000,146.0,42.0,1,right,K. Irving 15' fadeaway Jump Shot (2 PTS) (B. Brown 3 AST),"[202681, 1628971]",1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,,,,,,,15.17,Made,,,,,,,2.0,B. Brown,1628971.0,3.0,,
103,PT03M14.00S,2022-04-08T23:57:50.7Z,1,REGULAR,3pt,Jump Shot,[],1630205,21.632720105124836,12.254901960784313,1610612739,22,10,2022-04-08T23:57:56Z,1030000,189.0,151.0,1,left,MISS L. Stevens 24' 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,24.16,Missed,,,,,,,,,,,,
104,PT03M10.00S,2022-04-08T23:57:54.7Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,22,10,2022-04-08T23:57:56Z,1040000,,,0,,K. Love REBOUND (Off:1 Def:0),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,103.0,1.0,0.0,1.0,,,,,,,,
105,PT03M03.00S,2022-04-08T23:58:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629636,10.463206307490145,48.03921568627451,1610612739,22,10,2022-04-08T23:58:06Z,1050000,10.0,46.0,1,left,MISS D. Garland driving Layup - blocked,"[1629636, 1628971]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,,,,,4.69,Missed,,,,,Brown,1628971.0,,,,,,
106,PT03M03.00S,2022-04-08T23:58:01.9Z,1,REGULAR,block,,[],1628971,,,1610612739,22,10,2022-04-08T23:58:04Z,1060000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M00.00S,2022-04-08T23:58:04.9Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,22,10,2022-04-08T23:58:06Z,1070000,,,0,,K. Love REBOUND (Off:2 Def:0),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,105.0,2.0,0.0,2.0,,,,,,,,
108,PT02M56.00S,2022-04-08T23:58:09.5Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612739,22,10,2022-04-08T23:58:13Z,1080000,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 201142]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,1.0,,,,,,,,,,,,,Durant,201142.0
109,PT02M56.00S,2022-04-08T23:58:09.5Z,1,REGULAR,steal,,[],201142,,,1610612751,22,10,2022-04-08T23:58:12Z,1090000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M42.00S,2022-04-08T23:58:23.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,93.38042049934296,95.09803921568627,1610612751,22,10,2022-04-08T23:58:28Z,1100000,225.0,10.0,1,right,MISS K. Irving 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,22.57,Missed,,,,,,,,,,,,
111,PT02M42.00S,2022-04-08T23:58:23.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,22,10,2022-04-08T23:58:28Z,1110000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,
112,PT02M42.00S,2022-04-08T23:58:30.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,22,10,2022-04-08T23:58:30Z,1120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M42.00S,2022-04-08T23:58:31.5Z,1,REGULAR,substitution,out,[],202681,,,1610612739,22,10,2022-04-08T23:58:39Z,1130000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M42.00S,2022-04-08T23:58:31.5Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,22,10,2022-04-08T23:58:39Z,1140000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M42.00S,2022-04-08T23:58:31.5Z,1,REGULAR,substitution,in,[],201988,,,1610612739,22,10,2022-04-08T23:58:39Z,1150000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M42.00S,2022-04-08T23:58:31.5Z,1,REGULAR,substitution,in,[],200765,,,1610612739,22,10,2022-04-08T23:58:39Z,1160000,,,0,,SUB in: R. Rondo,[200765],1610612739.0,CLE,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M32.00S,2022-04-08T23:59:00.3Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612739,22,10,2022-04-08T23:59:13Z,1170000,,,0,,B. Brown shooting personal FOUL (1 PF) (LeVert 2 FT),"[1628971, 1627747]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,1198.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,
119,PT02M32.00S,2022-04-08T23:59:31.2Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,22,10,2022-04-08T23:59:31Z,1190000,,,0,,MISS C. LeVert Free Throw 1 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Missed,,,,,,,,,,,,
120,PT02M32.00S,2022-04-08T23:59:31.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,22,10,2022-04-08T23:59:31Z,1200000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,
121,PT02M32.00S,2022-04-08T23:59:33.7Z,1,REGULAR,substitution,out,[],1628971,,,1610612739,22,10,2022-04-08T23:59:38Z,1210000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M32.00S,2022-04-08T23:59:33.7Z,1,REGULAR,substitution,out,[],1629650,,,1610612739,22,10,2022-04-08T23:59:38Z,1220000,,,0,,SUB out: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M32.00S,2022-04-08T23:59:33.7Z,1,REGULAR,substitution,in,[],203552,,,1610612739,22,10,2022-04-08T23:59:38Z,1230000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M32.00S,2022-04-08T23:59:33.7Z,1,REGULAR,substitution,in,[],1628374,,,1610612739,22,10,2022-04-08T23:59:38Z,1240000,,,0,,SUB in: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M32.00S,2022-04-08T23:59:51.2Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,22,11,2022-04-08T23:59:51Z,1250000,,,0,,C. LeVert Free Throw 2 of 2 (1 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
126,PT02M12.00S,2022-04-09T00:00:15.9Z,1,REGULAR,foul,personal,[],1630205,,,1610612751,22,11,2022-04-09T00:00:26Z,1260000,,,0,,L. Stevens personal FOUL (1 PF),"[1630205, 201142]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,2715.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
128,PT02M03.00S,2022-04-09T00:00:41.4Z,1,REGULAR,foul,personal,['2freethrow'],1630205,,,1610612751,22,11,2022-04-09T00:00:51Z,1280000,,,0,,L. Stevens shooting personal FOUL (2 PF) (Durant 2 FT),"[1630205, 201142]",1610612739.0,CLE,shooting,,,Stevens,L. Stevens,,,,,1198.0,2.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
130,PT02M03.00S,2022-04-09T00:01:06.1Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,23,11,2022-04-09T00:01:06Z,1300000,,,0,,K. Durant Free Throw 1 of 2 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,Made,,,,,,,8.0,,,,,
131,PT02M03.00S,2022-04-09T00:01:25.2Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,24,11,2022-04-09T00:01:25Z,1310000,,,0,,K. Durant Free Throw 2 of 2 (9 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,Made,,,,,,,9.0,,,,,
132,PT01M52.00S,2022-04-09T00:01:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,17.296320630749015,58.57843137254902,1610612739,24,13,2022-04-09T00:02:01Z,1320000,-43.0,110.0,1,left,C. LeVert 11' pullup Jump Shot (3 PTS) (R. Rondo 1 AST),"[1627747, 200765]",1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,,,,,,,11.82,Made,,,,,,,3.0,R. Rondo,200765.0,1.0,,
134,PT01M38.00S,2022-04-09T00:01:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,82.7365308804205,40.44117647058824,1610612751,26,13,2022-04-09T00:01:57Z,1340000,-48.0,110.0,1,right,K. Durant 11' pullup Jump Shot (11 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,,11.98,Made,,,,,,,11.0,,,,,
135,PT01M19.00S,2022-04-09T00:02:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,14.668199737187912,34.80392156862745,1610612739,26,15,2022-04-09T00:02:15Z,1350000,76.0,85.0,1,left,L. Markkanen 11' turnaround fadeaway Jump Shot (4 PTS),[1628374],1610612739.0,CLE,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,,,,,,,11.43,Made,,,,,,,4.0,,,,,
136,PT01M05.00S,2022-04-09T00:02:26.3Z,1,REGULAR,2pt,Jump Shot,[],201142,88.91261498028909,76.7156862745098,1610612751,28,15,2022-04-09T00:02:30Z,1360000,134.0,52.0,1,right,K. Durant 14' Jump Shot (13 PTS) (S. Curry 1 AST),"[201142, 203552]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,14.33,Made,,,,,,,13.0,S. Curry,203552.0,1.0,,
138,PT00M58.80S,2022-04-09T00:02:37.5Z,1,REGULAR,foul,offensive,[],1628374,,,1610612739,28,15,2022-04-09T00:02:56Z,1380000,,,0,,L. Markkanen offensive FOUL (2 PF),"[1628374, 1629651]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,2715.0,2.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
140,PT00M58.80S,2022-04-09T00:02:37.5Z,1,REGULAR,turnover,offensive foul,[],1628374,,,1610612739,28,15,2022-04-09T00:02:37Z,1400000,,,0,,L. Markkanen offensive foul TURNOVER (2 TO),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,2715.0,,,,,2.0,,,,,,,,,,,,,,
141,PT00M44.00S,2022-04-09T00:03:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203552,74.06373193166885,14.950980392156863,1610612751,31,15,2022-04-09T00:03:14Z,1410000,-175.0,191.0,1,right,S. Curry 25' 3PT  (7 PTS) (K. Durant 2 AST),"[203552, 201142]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,25.94,Made,,,,,,,7.0,K. Durant,201142.0,2.0,,
143,PT00M28.80S,2022-04-09T00:03:28.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630205,14.4053876478318,40.68627450980392,1610612739,31,17,2022-04-09T00:03:31Z,1430000,47.0,83.0,1,left,L. Stevens 9' turnaround fadeaway Jump Shot (2 PTS) (R. Rondo 2 AST),"[1630205, 200765]",1610612739.0,CLE,turnaround fadeaway,,,Stevens,L. Stevens,,,,,,,,,,,9.51,Made,,,,,,,2.0,R. Rondo,200765.0,2.0,,
145,PT00M08.90S,2022-04-09T00:03:52.8Z,1,REGULAR,3pt,Jump Shot,[],201142,92.06636005256242,94.85294117647058,1610612751,34,17,2022-04-09T00:03:56Z,1450000,224.0,22.0,1,right,K. Durant 3PT  (16 PTS) (P. Mills 1 AST),"[201142, 201988]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,22.54,Made,,,,,,,16.0,P. Mills,201988.0,1.0,,
147,PT00M01.30S,2022-04-09T00:04:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612739,34,17,2022-04-09T00:04:18Z,1470000,,,0,,K. Edwards shooting personal FOUL (1 PF) (LeVert 2 FT),"[1630556, 1627747]",1610612751.0,BKN,shooting,,,Edwards,K. Edwards,,,,,202049.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,
149,PT00M01.30S,2022-04-09T00:04:29.6Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,34,18,2022-04-09T00:04:29Z,1490000,,,0,,C. LeVert Free Throw 1 of 2 (4 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Made,,,,,,,4.0,,,,,
150,PT00M01.30S,2022-04-09T00:04:30.3Z,1,REGULAR,substitution,out,[],201567,,,1610612739,34,18,2022-04-09T00:04:33Z,1500000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M01.30S,2022-04-09T00:04:30.3Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,34,18,2022-04-09T00:04:33Z,1510000,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M01.30S,2022-04-09T00:04:47.1Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,34,19,2022-04-09T00:04:47Z,1520000,,,0,,C. LeVert Free Throw 2 of 2 (5 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Made,,,,,,,5.0,,,,,
153,PT00M00.00S,2022-04-09T00:04:54.0Z,1,REGULAR,period,end,[],0,,,1610612751,34,19,2022-04-09T00:04:54Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,34,19,2022-04-09T00:07:48Z,1540000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,out,['startperiod'],1630205,,,1610612751,34,19,2022-04-09T00:07:48Z,1550000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,out,['startperiod'],1628374,,,1610612751,34,19,2022-04-09T00:07:48Z,1560000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,in,['startperiod'],202681,,,1610612751,34,19,2022-04-09T00:07:48Z,1570000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,in,['startperiod'],1629636,,,1610612751,34,19,2022-04-09T00:07:48Z,1580000,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,in,['startperiod'],201567,,,1610612751,34,19,2022-04-09T00:07:48Z,1590000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,out,['startperiod'],201988,,,1610612751,34,19,2022-04-09T00:08:03Z,1600000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-04-09T00:05:00.3Z,2,REGULAR,substitution,in,['startperiod'],1628971,,,1610612751,34,19,2022-04-09T00:08:03Z,1610000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-04-09T00:08:06.7Z,2,REGULAR,period,start,[],0,,,1610612739,34,19,2022-04-09T00:08:06Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M48.00S,2022-04-09T00:08:18.3Z,2,REGULAR,3pt,Jump Shot,[],201567,22.815374507227332,89.70588235294117,1610612739,34,22,2022-04-09T00:08:22Z,1630000,-199.0,162.0,1,left,K. Love 25' 3PT  (3 PTS) (R. Rondo 3 AST),"[201567, 200765]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,25.62,Made,,,,,,,3.0,R. Rondo,200765.0,3.0,,
165,PT11M31.00S,2022-04-09T00:08:35.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,87.07293035479631,57.84313725490197,1610612751,34,22,2022-04-09T00:08:40Z,1650000,39.0,69.0,1,right,MISS N. Claxton 7' driving floating Shot,[1629651],1610612751.0,BKN,driving floating,,,Claxton,N. Claxton,,,,,,,,,,,7.94,Missed,,,,,,,,,,,,
166,PT11M30.00S,2022-04-09T00:08:36.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,34,22,2022-04-09T00:08:40Z,1660000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,
167,PT11M30.00S,2022-04-09T00:08:39.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,34,22,2022-04-09T00:08:39Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M23.00S,2022-04-09T00:09:01.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202681,85.62746386333771,57.84313725490197,1610612751,36,22,2022-04-09T00:09:03Z,1680000,39.0,83.0,1,right,K. Irving 9' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,,,,9.14,Made,,,,,,,4.0,,,,,
169,PT11M10.00S,2022-04-09T00:09:13.4Z,2,REGULAR,3pt,Jump Shot,[],201567,24.52365308804205,87.00980392156863,1610612739,36,22,2022-04-09T00:09:16Z,1690000,-185.0,178.0,1,left,MISS K. Love 25' 3PT - blocked,"[201567, 1628971]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,25.67,Missed,,,,,Brown,1628971.0,,,,,,
170,PT11M10.00S,2022-04-09T00:09:13.4Z,2,REGULAR,block,,[],1628971,,,1610612739,36,22,2022-04-09T00:09:15Z,1700000,,,0,,B. Brown BLOCK (2 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M09.00S,2022-04-09T00:09:14.4Z,2,REGULAR,rebound,defensive,[],203552,,,1610612751,36,22,2022-04-09T00:09:16Z,1710000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,
172,PT11M09.00S,2022-04-09T00:09:19.4Z,2,REGULAR,foul,personal,[],1630171,,,1610612751,36,22,2022-04-09T00:09:26Z,1720000,,,0,,I. Okoro personal FOUL (2 PF),"[1630171, 203552]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,2715.0,2.0,0.0,Curry,203552.0,,,,,,,,,,,,,,,
174,PT10M56.00S,2022-04-09T00:09:52.8Z,2,REGULAR,foul,personal,[],201567,,,1610612751,36,22,2022-04-09T00:10:02Z,1740000,,,0,,K. Love personal FOUL (1 PF),"[201567, 1630556]",1610612739.0,CLE,,,,Love,K. Love,,,,,202049.0,1.0,0.0,Edwards,1630556.0,,,,,,,,,,,,,,,
176,PT10M56.00S,2022-04-09T00:10:05.6Z,2,REGULAR,substitution,out,[],1630171,,,1610612751,36,22,2022-04-09T00:10:22Z,1760000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M56.00S,2022-04-09T00:10:05.6Z,2,REGULAR,substitution,in,[],1626224,,,1610612751,36,22,2022-04-09T00:10:22Z,1770000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M40.00S,2022-04-09T00:10:40.8Z,2,REGULAR,3pt,Jump Shot,[],203552,72.7496714848883,16.666666666666664,1610612751,36,22,2022-04-09T00:10:45Z,1780000,-167.0,204.0,1,right,MISS S. Curry 26' step back 3PT,[203552],1610612751.0,BKN,step back,,,Curry,S. Curry,,,,,,,,,,,26.32,Missed,,,,,,,,,,,,
179,PT10M36.00S,2022-04-09T00:10:44.5Z,2,REGULAR,rebound,defensive,[],1627747,,,1610612739,36,22,2022-04-09T00:10:44Z,1790000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,
180,PT10M33.00S,2022-04-09T00:10:50.7Z,2,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612739,36,22,2022-04-09T00:10:58Z,1800000,,,0,,N. Claxton shooting personal FOUL (1 PF) (LeVert 2 FT),"[1629651, 1627747]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,202049.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,
182,PT10M33.00S,2022-04-09T00:11:19.7Z,2,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,36,23,2022-04-09T00:11:57Z,1820000,,,0,,C. LeVert Free Throw 1 of 2 (6 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Made,,,,,,,6.0,,,,,
183,PT10M33.00S,2022-04-09T00:11:19.7Z,2,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,36,23,2022-04-09T00:11:57Z,1830000,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Missed,,,,,,,,,,,,
184,PT10M31.00S,2022-04-09T00:11:21.7Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,36,23,2022-04-09T00:11:57Z,1840000,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,183.0,3.0,3.0,0.0,,,,,,,,
