actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
57,PT08M02.00S,2021-12-04T00:48:55.1Z,1,REGULAR,stoppage,other,[],0,,,1610612751,11,12,2021-12-04T00:48:55Z,560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2021-12-04T00:49:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,92.85479632063075,50.98039215686274,1610612751,13,12,2021-12-04T00:49:13Z,570000,5.0,15.0,1,right,J. Harden driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,,,,1.55,Made,Harden,J. Harden,,,,,,,2.0,,,,,,,,,,,,
59,PT07M45.00S,2021-12-04T00:49:15.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627752,5.469776609724048,46.81372549019608,1610612750,13,14,2021-12-04T00:49:19Z,580000,16.0,-1.0,1,left,T. Prince driving DUNK (2 PTS) (D. Russell 2 AST),"[1627752, 1626156]",1610612750.0,MIN,driving,,,,,,1.59,Made,Prince,T. Prince,,,,,,,2.0,D. Russell,1626156.0,2.0,,,,,,,,,
61,PT07M37.00S,2021-12-04T00:49:27.8Z,1,REGULAR,foul,personal,[],1629020,,,1610612751,13,14,2021-12-04T00:49:43Z,600000,,,0,,J. Vanderbilt personal FOUL (1 PF),"[1629020, 201142]",1610612750.0,MIN,,,,,,,,,Vanderbilt,J. Vanderbilt,,,,,202007.0,,,,,,,,1.0,0.0,Durant,201142.0,,,
63,PT07M27.00S,2021-12-04T00:49:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,79.97700394218134,48.03921568627451,1610612751,15,14,2021-12-04T00:49:57Z,620000,-10.0,136.0,1,right,K. Durant 13' Jump Shot (2 PTS) (J. Harden 3 AST),"[201142, 201935]",1610612751.0,BKN,,,,,,,13.61,Made,Durant,K. Durant,,,,,,,2.0,J. Harden,201935.0,3.0,,,,,,,,,
65,PT07M17.00S,2021-12-04T00:50:02.8Z,1,REGULAR,3pt,Jump Shot,[],1627752,26.10052562417871,82.59803921568627,1610612750,15,17,2021-12-04T00:50:11Z,640000,-163.0,193.0,1,left,T. Prince 25' 3PT running (5 PTS) (D. Russell 3 AST),"[1627752, 1626156]",1610612750.0,MIN,running,,,,,,25.25,Made,Prince,T. Prince,,,,,,,5.0,D. Russell,1626156.0,3.0,,,,,,,,,
67,PT07M10.00S,2021-12-04T00:50:15.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,17,2021-12-04T00:50:15Z,660000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2021-12-04T00:53:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,81.68528252299606,61.274509803921575,1610612751,17,17,2021-12-04T00:53:22Z,670000,56.0,120.0,1,right,K. Durant 13' Jump Shot (4 PTS) (J. Harden 4 AST),"[201142, 201935]",1610612751.0,BKN,,,,,,,13.23,Made,Durant,K. Durant,,,,,,,4.0,J. Harden,201935.0,4.0,,,,,,,,,
70,PT06M46.00S,2021-12-04T00:53:42.3Z,1,REGULAR,foul,personal,[],1627761,,,1610612750,17,17,2021-12-04T00:53:50Z,690000,,,0,,D. Bembry personal FOUL (1 PF),"[1627761, 1629020]",1610612751.0,BKN,,,,,,,,,Bembry,D. Bembry,,,,,201640.0,,,,,,,,1.0,0.0,Vanderbilt,1629020.0,,,
72,PT06M34.00S,2021-12-04T00:54:07.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,26.888961892247043,19.607843137254903,1610612750,17,17,2021-12-04T00:54:11Z,710000,152.0,200.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,,,,25.14,Missed,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
