actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
89,PT04M44.00S,2021-11-03T23:59:49.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,14,18,2021-11-03T23:59:51Z,890000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,88.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
90,PT04M25.00S,2021-11-04T00:00:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,83.52496714848883,56.372549019607845,1610612751,16,18,2021-11-04T00:00:11Z,900000,32.0,102.0,1,right,K. Durant 10' pullup Jump Shot (6 PTS) (J. Harden 6 AST),"[201142, 201935]",1610612751.0,BKN,pullup,,,,,,10.73,Made,Durant,K. Durant,,,,,6.0,J. Harden,201935.0,6.0,,,,,,,,,,,
92,PT04M07.00S,2021-11-04T00:00:26.2Z,1,REGULAR,turnover,lost ball,[],203992,,,1610612737,16,18,2021-11-04T00:00:30Z,920000,,,0,,B. Bogdanovic lost ball TURNOVER (2 TO),"[203992, 201935]",1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,2.0,Harden,201935.0,,,
93,PT04M07.00S,2021-11-04T00:00:26.2Z,1,REGULAR,steal,,[],201935,,,1610612751,16,18,2021-11-04T00:00:28Z,930000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
94,PT04M03.00S,2021-11-04T00:00:30.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628971,94.30026281208936,49.754901960784316,1610612751,18,18,2021-11-04T00:01:03Z,940000,-1.0,1.0,1,right,B. Brown running alley-oop DUNK (6 PTS) (J. Harden 7 AST),"[1628971, 201935]",1610612751.0,BKN,running alley-oop,,,,,,0.16,Made,Brown,B. Brown,,,,,6.0,J. Harden,201935.0,7.0,,,,,,,,,,,
96,PT03M45.00S,2021-11-04T00:00:47.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,31.488173455978973,46.81372549019608,1610612737,18,21,2021-11-04T00:00:55Z,960000,16.0,243.0,1,left,D. Hunter 24' 3PT  (6 PTS) (T. Young 3 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,,,,24.4,Made,Hunter,D. Hunter,,,,,6.0,T. Young,1629027.0,3.0,,,,,,,,,,,
98,PT03M32.00S,2021-11-04T00:01:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,83.52496714848883,47.549019607843135,1610612751,18,21,2021-11-04T00:07:18Z,980000,-12.0,102.0,1,right,MISS B. Brown 10' Jump Shot,[1628971],1610612751.0,BKN,,,,,,,10.31,Missed,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
99,PT03M32.00S,2021-11-04T00:01:00.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,18,21,2021-11-04T00:01:24Z,990000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,98.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
100,PT03M28.00S,2021-11-04T00:01:09.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203992,6.1268068331143235,49.754901960784316,1610612737,18,23,2021-11-04T00:01:49Z,1000000,1.0,5.0,1,left,B. Bogdanovic running Layup (2 PTS) (T. Young 4 AST),"[203992, 1629027]",1610612737.0,ATL,running,,,,,,0.52,Made,Bogdanovic,B. Bogdanovic,,,,,2.0,T. Young,1629027.0,4.0,,,,,,,,,,,
101,PT03M28.00S,2021-11-04T00:01:14.2Z,1,REGULAR,foul,personal,['1freethrow'],201935,,,1610612737,18,23,2021-11-04T00:01:43Z,1010000,,,0,,J. Harden shooting personal FOUL (2 PF) (Bogdanovic 1 FT),"[201935, 203992]",1610612751.0,BKN,shooting,,,,,,,,Harden,J. Harden,,,,,,,,,201639.0,2.0,0.0,Bogdanovic,203992.0,,,,,,
103,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,out,[],1628971,,,1610612737,18,23,2021-11-04T00:01:41Z,1030000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
104,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,out,[],201935,,,1610612737,18,23,2021-11-04T00:01:41Z,1040000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
105,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,out,[],201933,,,1610612737,18,23,2021-11-04T00:01:41Z,1050000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
106,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,out,[],203991,,,1610612737,18,23,2021-11-04T00:01:41Z,1060000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
107,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,in,[],200746,,,1610612737,18,23,2021-11-04T00:01:41Z,1070000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
108,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,in,[],201988,,,1610612737,18,23,2021-11-04T00:01:41Z,1080000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
109,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,in,[],1627761,,,1610612737,18,23,2021-11-04T00:01:41Z,1090000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,,,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,
110,PT03M28.00S,2021-11-04T00:01:25.9Z,1,REGULAR,substitution,in,[],1629629,,,1610612737,18,23,2021-11-04T00:01:41Z,1100000,,,0,,SUB in: C. Reddish,[1629629],1610612737.0,ATL,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,
111,PT03M28.00S,2021-11-04T00:01:44.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203992,,,1610612737,18,24,2021-11-04T00:01:44Z,1110000,,,0,,B. Bogdanovic Free Throw 1 of 1 (3 PTS),[203992],1610612737.0,ATL,,,,,,,,Made,Bogdanovic,B. Bogdanovic,,,,,3.0,,,,,,,,,,,,,,
112,PT03M13.00S,2021-11-04T00:02:00.6Z,1,REGULAR,2pt,Jump Shot,[],201142,92.32917214191852,72.54901960784314,1610612751,20,24,2021-11-04T00:02:05Z,1120000,113.0,20.0,1,right,K. Durant 11' pullup Jump Shot (8 PTS),[201142],1610612751.0,BKN,pullup,,,,,,11.44,Made,Durant,K. Durant,,,,,8.0,,,,,,,,,,,,,,
114,PT03M01.00S,2021-11-04T00:02:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.995400788436268,49.50980392156863,1610612737,20,24,2021-11-04T00:02:17Z,1130000,2.0,4.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,,,,0.46,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
115,PT02M58.00S,2021-11-04T00:02:15.5Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,20,24,2021-11-04T00:02:17Z,1140000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,,,,,,Harris,J. Harris,114.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
116,PT02M45.00S,2021-11-04T00:02:28.1Z,1,REGULAR,2pt,Jump Shot,[],200746,77.4802890932983,49.26470588235294,1610612751,22,24,2021-11-04T00:02:31Z,1150000,-4.0,159.0,1,right,L. Aldridge 15' pullup Jump Shot (2 PTS),[200746],1610612751.0,BKN,pullup,,,,,,15.92,Made,Aldridge,L. Aldridge,,,,,2.0,,,,,,,,,,,,,,
117,PT02M33.00S,2021-11-04T00:02:44.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,22,24,2021-11-04T00:02:44Z,1160000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,out,[],203925,,,1610612737,22,24,2021-11-04T00:05:40Z,1170000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,,,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,
122,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,out,[],203992,,,1610612737,22,24,2021-11-04T00:05:40Z,1180000,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
123,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,in,[],1628975,,,1610612737,22,24,2021-11-04T00:05:40Z,1190000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,
124,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,in,[],1628989,,,1610612737,22,24,2021-11-04T00:05:40Z,1200000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,
125,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,22,24,2021-11-04T00:05:57Z,1210000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
126,PT02M33.00S,2021-11-04T00:02:46.0Z,1,REGULAR,substitution,in,[],201568,,,1610612737,22,24,2021-11-04T00:05:57Z,1220000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,,,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,
127,PT02M24.00S,2021-11-04T00:06:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,13.485545335085414,38.23529411764706,1610612737,22,24,2021-11-04T00:06:28Z,1230000,59.0,74.0,1,left,MISS T. Young 9' driving floating Shot - blocked,"[1629027, 200746]",1610612737.0,ATL,driving floating,,,,,,9.48,Missed,Young,T. Young,,,,,,,,,,,,,,,,,Aldridge,200746.0,
128,PT02M24.00S,2021-11-04T00:06:20.1Z,1,REGULAR,block,,[],200746,,,1610612737,22,24,2021-11-04T00:06:22Z,1240000,,,0,,L. Aldridge BLOCK (1 BLK),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
129,PT02M20.00S,2021-11-04T00:06:24.1Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612751,22,24,2021-11-04T00:06:28Z,1250000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,127.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
130,PT02M16.00S,2021-11-04T00:06:28.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201142,94.43166885676742,48.28431372549019,1610612751,24,24,2021-11-04T00:06:35Z,1260000,-9.0,0.0,1,right,K. Durant driving DUNK (10 PTS) (P. Mills 1 AST),"[201142, 201988]",1610612751.0,BKN,driving,,,,,,0.86,Made,Durant,K. Durant,,,,,10.0,P. Mills,201988.0,1.0,,,,,,,,,,,
132,PT02M00.00S,2021-11-04T00:06:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,10.33180026281209,40.68627450980392,1610612737,24,24,2021-11-04T00:06:51Z,1280000,47.0,45.0,1,left,MISS C. Reddish 6' driving Layup - blocked,"[1629629, 201142]",1610612737.0,ATL,driving,,,,,,6.45,Missed,Reddish,C. Reddish,,,,,,,,,,,,,,,,,Durant,201142.0,
133,PT02M00.00S,2021-11-04T00:06:43.7Z,1,REGULAR,block,,[],201142,,,1610612737,24,24,2021-11-04T00:06:46Z,1290000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
134,PT01M57.00S,2021-11-04T00:06:46.7Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612751,24,24,2021-11-04T00:06:51Z,1300000,,,0,,J. Carter REBOUND (Off:0 Def:2),[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,132.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
135,PT01M47.00S,2021-11-04T00:06:57.0Z,1,REGULAR,3pt,Jump Shot,[],200746,69.59592641261499,25.49019607843137,1610612751,27,24,2021-11-04T00:07:02Z,1310000,-123.0,233.0,1,right,L. Aldridge 26' 3PT  (5 PTS) (J. Carter 1 AST),"[200746, 1628975]",1610612751.0,BKN,,,,,,,26.35,Made,Aldridge,L. Aldridge,,,,,5.0,J. Carter,1628975.0,1.0,,,,,,,,,,,
137,PT01M30.00S,2021-11-04T00:07:13.1Z,1,REGULAR,3pt,Jump Shot,[],201568,29.911300919842315,29.901960784313726,1610612737,27,24,2021-11-04T00:07:18Z,1330000,100.0,229.0,1,left,MISS D. Gallinari 24' step back 3PT,[201568],1610612737.0,ATL,step back,,,,,,24.98,Missed,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,
138,PT01M27.00S,2021-11-04T00:07:16.1Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,27,24,2021-11-04T00:07:18Z,1340000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,,,,,,Young,T. Young,137.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
139,PT01M21.00S,2021-11-04T00:07:23.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,32.53942181340342,61.51960784313726,1610612737,27,24,2021-11-04T00:07:32Z,1350000,-58.0,253.0,1,left,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,,,,25.99,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
140,PT01M17.00S,2021-11-04T00:07:27.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,27,24,2021-11-04T00:07:27Z,1360000,,,0,,K. Durant REBOUND (Off:0 Def:4),[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,139.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
141,PT01M09.00S,2021-11-04T00:07:34.8Z,1,REGULAR,3pt,Jump Shot,[],201988,69.33311432325887,28.676470588235293,1610612751,30,24,2021-11-04T00:07:40Z,1370000,-107.0,236.0,1,right,P. Mills 25' 3PT  (3 PTS) (K. Durant 1 AST),"[201988, 201142]",1610612751.0,BKN,,,,,,,25.88,Made,Mills,P. Mills,,,,,3.0,K. Durant,201142.0,1.0,,,,,,,,,,,
143,PT00M54.50S,2021-11-04T00:07:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,6.1268068331143235,49.50980392156863,1610612737,30,26,2021-11-04T00:08:20Z,1390000,2.0,5.0,1,left,K. Huerter cutting Layup (2 PTS) (C. Reddish 1 AST),"[1628989, 1629629]",1610612737.0,ATL,cutting,,,,,,0.57,Made,Huerter,K. Huerter,,,,,2.0,C. Reddish,1629629.0,1.0,,,,,,,,,,,
144,PT00M40.90S,2021-11-04T00:08:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,94.43166885676742,50.0,1610612751,32,26,2021-11-04T00:08:24Z,1400000,0.0,0.0,1,right,K. Durant driving Layup (12 PTS),[201142],1610612751.0,BKN,driving,,,,,,0.02,Made,Durant,K. Durant,,,,,12.0,,,,,,,,,,,,,,
145,PT00M33.00S,2021-11-04T00:08:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,5.732588699080158,49.01960784313725,1610612737,32,28,2021-11-04T00:08:41Z,1410000,5.0,1.0,1,left,D. Gallinari cutting Layup (2 PTS),[201568],1610612737.0,ATL,cutting,,,,,,0.51,Made,Gallinari,D. Gallinari,,,,,2.0,,,,,,,,,,,,,,
148,PT00M18.10S,2021-11-04T00:08:35.9Z,1,REGULAR,3pt,Jump Shot,[],200746,67.62483574244416,54.65686274509803,1610612751,35,28,2021-11-04T00:08:43Z,1430000,23.0,252.0,1,right,L. Aldridge 25' 3PT  (8 PTS) (P. Mills 2 AST),"[200746, 201988]",1610612751.0,BKN,,,,,,,25.29,Made,Aldridge,L. Aldridge,,,,,8.0,P. Mills,201988.0,2.0,,,,,,,,,,,
150,PT00M02.70S,2021-11-04T00:08:54.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,13.61695137976347,50.0,1610612737,35,28,2021-11-04T00:09:16Z,1450000,0.0,75.0,1,left,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,,,,7.55,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
151,PT00M02.70S,2021-11-04T00:08:54.6Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,35,28,2021-11-04T00:09:16Z,1460000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,150.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
152,PT00M00.00S,2021-11-04T00:09:01.2Z,1,REGULAR,period,end,[],0,,,1610612751,35,28,2021-11-04T00:09:01Z,1470000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,35,28,2021-11-04T00:12:17Z,1480000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,out,['startperiod'],1629027,,,1610612751,35,28,2021-11-04T00:12:17Z,1490000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,,,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,out,['startperiod'],1628381,,,1610612751,35,28,2021-11-04T00:12:17Z,1500000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,in,['startperiod'],200794,,,1610612751,35,28,2021-11-04T00:12:17Z,1510000,,,0,,SUB in: P. Millsap,[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,in,['startperiod'],101150,,,1610612751,35,28,2021-11-04T00:12:17Z,1520000,,,0,,SUB in: L. Williams,[101150],1610612737.0,ATL,,,,,,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-11-04T00:09:20.8Z,2,REGULAR,substitution,in,['startperiod'],203476,,,1610612751,35,28,2021-11-04T00:12:17Z,1530000,,,0,,SUB in: G. Dieng,[203476],1610612737.0,ATL,,,,,,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-11-04T00:12:34.9Z,2,REGULAR,period,start,[],0,,,1610612751,35,28,2021-11-04T00:12:34Z,1540000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M44.00S,2021-11-04T00:12:56.6Z,2,REGULAR,3pt,Jump Shot,[],201988,65.52233902759527,48.77450980392157,1610612751,35,28,2021-11-04T00:13:18Z,1560000,-6.0,272.0,1,right,MISS P. Mills 27' pullup 3PT,[201988],1610612751.0,BKN,pullup,,,,,,27.17,Missed,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
164,PT11M42.00S,2021-11-04T00:12:58.6Z,2,REGULAR,rebound,defensive,[],203476,,,1610612737,35,28,2021-11-04T00:13:18Z,1570000,,,0,,G. Dieng REBOUND (Off:0 Def:1),[203476],1610612737.0,ATL,,,,,,,,,Dieng,G. Dieng,163.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
165,PT11M31.00S,2021-11-04T00:13:02.8Z,2,REGULAR,turnover,bad pass,[],203476,,,1610612737,35,28,2021-11-04T00:13:07Z,1580000,,,0,,G. Dieng bad pass TURNOVER (1 TO),"[203476, 1627761]",1610612737.0,ATL,,,,,,,,,Dieng,G. Dieng,,,,,,,,,,,,,,1.0,Bembry,1627761.0,,,
166,PT11M31.00S,2021-11-04T00:13:02.8Z,2,REGULAR,steal,,[],1627761,,,1610612751,35,28,2021-11-04T00:13:04Z,1590000,,,0,,D. Bembry STEAL (1 STL),[1627761],1610612751.0,BKN,,,,,,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,
167,PT11M29.00S,2021-11-04T00:13:08.8Z,2,REGULAR,foul,personal,['2freethrow'],101150,,,1610612751,35,28,2021-11-04T00:13:26Z,1600000,,,0,,L. Williams shooting personal FOUL (1 PF) (Bembry 2 FT),"[101150, 1627761]",1610612737.0,ATL,shooting,,,,,,,,Williams,L. Williams,,,,,,,,,201639.0,1.0,0.0,Bembry,1627761.0,,,,,,
169,PT11M29.00S,2021-11-04T00:13:32.2Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627761,,,1610612751,36,28,2021-11-04T00:13:51Z,1620000,,,0,,D. Bembry Free Throw 1 of 2 (1 PTS),[1627761],1610612751.0,BKN,,,,,,,,Made,Bembry,D. Bembry,,,,,1.0,,,,,,,,,,,,,,
170,PT11M29.00S,2021-11-04T00:13:32.2Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1627761,,,1610612751,37,28,2021-11-04T00:13:51Z,1630000,,,0,,D. Bembry Free Throw 2 of 2 (2 PTS),[1627761],1610612751.0,BKN,,,,,,,,Made,Bembry,D. Bembry,,,,,2.0,,,,,,,,,,,,,,
171,PT11M15.00S,2021-11-04T00:14:01.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,5.338370565045992,58.333333333333336,1610612737,37,30,2021-11-04T00:14:11Z,1640000,-42.0,-2.0,1,left,C. Reddish driving Layup (2 PTS) (L. Williams 1 AST),"[1629629, 101150]",1610612737.0,ATL,driving,,,,,,4.18,Made,Reddish,C. Reddish,,,,,2.0,L. Williams,101150.0,1.0,,,,,,,,,,,
172,PT11M07.00S,2021-11-04T00:14:12.6Z,2,REGULAR,foul,personal,[],203476,,,1610612751,37,30,2021-11-04T00:14:28Z,1650000,,,0,,G. Dieng personal FOUL (1 PF),"[203476, 201988]",1610612737.0,ATL,,,,,,,,,Dieng,G. Dieng,,,,,,,,,201638.0,1.0,0.0,Mills,201988.0,,,,,,
174,PT11M04.00S,2021-11-04T00:14:39.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,37,30,2021-11-04T00:14:39Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M57.00S,2021-11-04T00:14:54.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,81.15965834428384,35.294117647058826,1610612751,37,30,2021-11-04T00:15:03Z,1680000,-74.0,125.0,1,right,MISS L. Aldridge 14' turnaround Shot,[200746],1610612751.0,BKN,turnaround,,,,,,14.47,Missed,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
176,PT10M54.00S,2021-11-04T00:14:57.5Z,2,REGULAR,rebound,offensive,[],1627761,,,1610612751,37,30,2021-11-04T00:15:03Z,1690000,,,0,,D. Bembry REBOUND (Off:1 Def:0),[1627761],1610612751.0,BKN,,,,,,,,,Bembry,D. Bembry,175.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
177,PT10M52.00S,2021-11-04T00:14:59.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627761,91.67214191852825,48.77450980392157,1610612751,37,30,2021-11-04T00:15:06Z,1700000,-6.0,26.0,1,right,MISS D. Bembry putback Layup,[1627761],1610612751.0,BKN,putback,,,,,,2.65,Missed,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,
178,PT10M49.00S,2021-11-04T00:15:02.5Z,2,REGULAR,rebound,defensive,[],101150,,,1610612737,37,30,2021-11-04T00:15:02Z,1710000,,,0,,L. Williams REBOUND (Off:0 Def:1),[101150],1610612737.0,ATL,,,,,,,,,Williams,L. Williams,177.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
179,PT10M43.00S,2021-11-04T00:15:08.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],101150,8.886333771353483,49.01960784313725,1610612737,37,30,2021-11-04T00:15:12Z,1720000,5.0,31.0,1,left,MISS L. Williams driving Layup,[101150],1610612737.0,ATL,driving,,,,,,3.14,Missed,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
180,PT10M41.00S,2021-11-04T00:15:10.3Z,2,REGULAR,rebound,defensive,[],200746,,,1610612751,37,30,2021-11-04T00:15:12Z,1730000,,,0,,L. Aldridge REBOUND (Off:0 Def:2),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,179.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
181,PT10M37.00S,2021-11-04T00:15:15.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627761,94.95729303547962,4.166666666666666,1610612751,40,30,2021-11-04T00:15:22Z,1740000,-229.0,-5.0,1,right,D. Bembry 3PT  (5 PTS) (J. Carter 2 AST),"[1627761, 1628975]",1610612751.0,BKN,,,,,,,22.93,Made,Bembry,D. Bembry,,,,,5.0,J. Carter,1628975.0,2.0,,,,,,,,,,,
183,PT10M11.00S,2021-11-04T00:15:39.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,8.229303547963205,39.950980392156865,1610612737,40,32,2021-11-04T00:15:53Z,1760000,50.0,25.0,1,left,K. Huerter driving bank Jump Shot (4 PTS),[1628989],1610612737.0,ATL,driving bank,,,,,,5.6,Made,Huerter,K. Huerter,,,,,4.0,,,,,,,,,,,,,,
184,PT10M00.00S,2021-11-04T00:15:51.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,86.41590013140605,36.029411764705884,1610612751,40,32,2021-11-04T00:16:13Z,1770000,-70.0,75.0,1,right,MISS L. Aldridge 10' turnaround fadeaway Shot,[200746],1610612751.0,BKN,turnaround fadeaway,,,,,,10.27,Missed,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
