actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
86,PT05M16.00S,2025-12-28T00:22:48.8Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,15,18,2025-12-28T00:23:26Z,860000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,8-16 Right,,,,,,,,85.0,,2.0,1.0,1.0,,,,,,,,
87,PT05M16.00S,2025-12-28T00:22:53.7Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612756,15,18,2025-12-28T00:23:36Z,870000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Goodwin 2 FT),"[1630530, 1630692]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Right,202007.0,1.0,0.0,Goodwin,1630692.0,,,,,,,,,,,,,,,
89,PT05M16.00S,2025-12-28T00:23:01.6Z,1,REGULAR,substitution,out,[],1631121,,,1610612756,15,18,2025-12-28T00:23:07Z,890000,False,,,0,,SUB out: B. McGowens,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M16.00S,2025-12-28T00:23:01.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612756,15,18,2025-12-28T00:23:07Z,900000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M16.00S,2025-12-28T00:23:01.6Z,1,REGULAR,substitution,in,[],1629627,,,1610612756,15,18,2025-12-28T00:23:07Z,910000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M16.00S,2025-12-28T00:23:01.6Z,1,REGULAR,substitution,in,[],1629673,,,1610612756,15,18,2025-12-28T00:23:07Z,920000,False,,,0,,SUB in: J. Poole,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M16.00S,2025-12-28T00:23:45.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630692,,,1610612756,15,19,2025-12-28T00:23:45Z,930000,False,,,0,,J. Goodwin Free Throw 1 of 2 (1 PTS),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
94,PT05M16.00S,2025-12-28T00:24:05.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630692,,,1610612756,15,20,2025-12-28T00:24:05Z,940000,False,,,0,,J. Goodwin Free Throw 2 of 2 (2 PTS),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
95,PT04M52.00S,2025-12-28T00:24:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,93.51182654402102,46.568627450980394,1610612740,15,20,2025-12-28T00:24:39Z,950000,False,-17.0,8.0,1,right,MISS D. Queen reverse Layup,[1642852],1610612740.0,NOP,reverse,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.92,,,,,,,,,,,
96,PT04M50.00S,2025-12-28T00:24:34.1Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,15,20,2025-12-28T00:24:39Z,960000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:2),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,95.0,,3.0,2.0,1.0,,,,,,,,
97,PT04M45.00S,2025-12-28T00:24:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626220,12.171484888304862,51.71568627450981,1610612756,15,20,2025-12-28T00:24:57Z,970000,False,-9.0,62.0,1,left,MISS R. O'Neale 6' running Layup,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.25,,,,,,,,,,,
98,PT04M42.00S,2025-12-28T00:24:42.1Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,15,20,2025-12-28T00:24:57Z,980000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,97.0,,1.0,1.0,0.0,,,,,,,,
99,PT04M27.00S,2025-12-28T00:24:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,89.04402102496715,4.6568627450980395,1610612740,18,20,2025-12-28T00:25:00Z,990000,False,-227.0,50.0,1,right,T. Murphy III 3PT  (9 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,,,,,,Made,9.0,,23.23,,,,,,J. Alvarado,1630631.0,1.0,,,
101,PT04M17.00S,2025-12-28T00:25:08.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,28.991458607095925,75.49019607843137,1610612756,18,20,2025-12-28T00:25:53Z,1010000,False,-127.0,220.0,1,left,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.43,,,,,,,,,,,
102,PT04M15.00S,2025-12-28T00:25:10.3Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,18,20,2025-12-28T00:25:53Z,1020000,False,,,0,,D. Queen REBOUND (Off:0 Def:4),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,,,,,,,101.0,,4.0,4.0,0.0,,,,,,,,
103,PT04M06.00S,2025-12-28T00:25:17.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,87.59855453350855,2.696078431372549,1610612740,18,20,2025-12-28T00:26:16Z,1030000,False,-237.0,64.0,1,right,MISS J. Poole 24' 3PT,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,24.5,,,,,,,,,,,
104,PT04M03.00S,2025-12-28T00:25:20.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,18,20,2025-12-28T00:25:30Z,1040000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:3),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,,103.0,,3.0,3.0,0.0,,,,,,,,
105,PT03M59.00S,2025-12-28T00:25:25.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,28.465834428383708,73.0392156862745,1610612756,18,23,2025-12-28T00:26:35Z,1050000,False,-115.0,215.0,1,left,R. O'Neale 24' 3PT running pullup (6 PTS),[1626220],1610612756.0,PHX,running pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,,24.4,,,,,,,,,,,
106,PT03M44.00S,2025-12-28T00:25:41.3Z,1,REGULAR,foul,personal,[],1626220,,,1610612740,18,23,2025-12-28T00:26:13Z,1060000,False,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 1630530]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left Center,1627529.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,,,,
108,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,out,[],1642852,,,1610612740,18,23,2025-12-28T00:25:56Z,1080000,False,,,0,,SUB out: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,out,[],1626220,,,1610612740,18,23,2025-12-28T00:25:56Z,1090000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,out,[],1642345,,,1610612740,18,23,2025-12-28T00:25:56Z,1100000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,in,[],1642274,,,1610612740,18,23,2025-12-28T00:25:56Z,1110000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,in,[],1630587,,,1610612740,18,23,2025-12-28T00:25:56Z,1120000,False,,,0,,SUB in: I. Livers,[1630587],1610612756.0,PHX,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M44.00S,2025-12-28T00:25:46.4Z,1,REGULAR,substitution,in,[],1631109,,,1610612740,18,23,2025-12-28T00:25:56Z,1130000,False,,,0,,SUB in: M. Williams,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M38.00S,2025-12-28T00:26:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.51182654402102,47.794117647058826,1610612740,20,23,2025-12-28T00:27:02Z,1140000,False,-11.0,8.0,1,right,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,1.39,,,,,,,,,,,
116,PT03M27.00S,2025-12-28T00:26:21.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,14.931011826544022,50.0,1610612756,20,25,2025-12-28T00:26:26Z,1160000,False,0.0,88.0,1,left,D. Brooks 8' turnaround Jump Shot (10 PTS),[1628415],1610612756.0,PHX,turnaround,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,10.0,,8.79,,,,,,,,,,,
117,PT03M18.00S,2025-12-28T00:26:31.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,71.56701708278581,80.3921568627451,1610612740,20,25,2025-12-28T00:28:21Z,1170000,False,152.0,215.0,1,right,MISS T. Murphy III 26' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.31,,,,,,,,,,,
118,PT03M16.00S,2025-12-28T00:26:34.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,20,25,2025-12-28T00:26:34Z,1180000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,,,,117.0,,1.0,0.0,1.0,,,,,,,,
119,PT03M14.00S,2025-12-28T00:26:36.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630631,75.64060446780552,13.970588235294118,1610612740,23,25,2025-12-28T00:26:40Z,1190000,False,-180.0,176.0,1,right,J. Alvarado 25' 3PT  (3 PTS) (Y. Missi 1 AST),"[1630631, 1642274]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,25.22,,,,,,Y. Missi,1642274.0,1.0,,,
121,PT03M12.00S,2025-12-28T00:26:41.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,23,25,2025-12-28T00:26:41Z,1210000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M12.00S,2025-12-28T00:29:12.5Z,1,REGULAR,substitution,out,[],1628415,,,1610612756,23,25,2025-12-28T00:29:28Z,1220000,False,,,0,,SUB out: D. Brooks,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M12.00S,2025-12-28T00:29:12.5Z,1,REGULAR,substitution,in,[],1642853,,,1610612756,23,25,2025-12-28T00:29:28Z,1230000,False,,,0,,SUB in: R. Fleming,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M09.00S,2025-12-28T00:29:38.1Z,1,REGULAR,turnover,bad pass,[],1630587,,,1610612756,23,25,2025-12-28T00:29:46Z,1250000,False,,,0,,I. Livers bad pass TURNOVER (1 TO),"[1630587, 1630631]",1610612756.0,PHX,,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Alvarado,1630631.0
126,PT03M09.00S,2025-12-28T00:29:38.1Z,1,REGULAR,steal,,[],1630631,,,1610612740,23,25,2025-12-28T00:29:40Z,1260000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
127,PT03M07.00S,2025-12-28T00:29:42.0Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612740,23,25,2025-12-28T00:29:52Z,1270000,False,,,0,,I. Livers shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1630587, 1630530]",1610612756.0,PHX,shooting,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,1627529.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,,,,
129,PT03M07.00S,2025-12-28T00:30:04.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630530,,,1610612740,24,25,2025-12-28T00:30:04Z,1290000,False,,,0,,T. Murphy III Free Throw 1 of 2 (10 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
130,PT03M07.00S,2025-12-28T00:30:19.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630530,,,1610612740,25,25,2025-12-28T00:30:19Z,1300000,False,,,0,,T. Murphy III Free Throw 2 of 2 (11 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
131,PT02M52.00S,2025-12-28T00:30:37.4Z,1,REGULAR,turnover,bad pass,[],1630692,,,1610612756,25,25,2025-12-28T00:30:42Z,1310000,False,,,0,,J. Goodwin bad pass TURNOVER (1 TO),"[1630692, 1642274]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Missi,1642274.0
132,PT02M52.00S,2025-12-28T00:30:37.4Z,1,REGULAR,steal,,[],1642274,,,1610612740,25,25,2025-12-28T00:30:40Z,1320000,False,,,0,,Y. Missi STEAL (1 STL),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
133,PT02M42.00S,2025-12-28T00:30:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,92.59198423127464,46.81372549019608,1610612740,25,25,2025-12-28T00:31:24Z,1330000,False,-16.0,17.0,1,right,MISS Z. Williamson cutting Layup,[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.33,,,,,,,,,,,
134,PT02M41.00S,2025-12-28T00:30:49.9Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,25,25,2025-12-28T00:31:24Z,1340000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,133.0,,2.0,1.0,1.0,,,,,,,,
135,PT02M40.00S,2025-12-28T00:30:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629627,94.03745072273325,52.20588235294118,1610612740,27,25,2025-12-28T00:31:30Z,1350000,False,11.0,4.0,1,right,Z. Williamson putback Layup (4 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.15,,,,,,,,,,,
136,PT02M25.00S,2025-12-28T00:31:02.9Z,1,REGULAR,3pt,Jump Shot,[],1630692,24.392247043363994,85.7843137254902,1610612756,27,25,2025-12-28T00:31:10Z,1360000,False,-179.0,177.0,1,left,MISS J. Goodwin 25' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.15,,,,,,,,,,,
137,PT02M25.00S,2025-12-28T00:31:02.9Z,1,REGULAR,rebound,offensive,[],1630587,,,1610612756,27,25,2025-12-28T00:31:10Z,1370000,False,,,0,,I. Livers REBOUND (Off:1 Def:0),[1630587],1610612756.0,PHX,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,,,,,,,,136.0,,1.0,0.0,1.0,,,,,,,,
138,PT02M21.00S,2025-12-28T00:31:08.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642853,22.158344283837057,11.029411764705882,1610612756,27,25,2025-12-28T00:31:17Z,1380000,False,195.0,156.0,1,left,MISS R. Fleming 24' 3PT,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,24.95,,,,,,,,,,,
139,PT02M20.00S,2025-12-28T00:31:09.4Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,27,25,2025-12-28T00:36:07Z,1390000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,138.0,,1.0,0.0,1.0,,,,,,,,
168,PT02M19.00S,2025-12-28T00:31:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,4.77989487516426,49.754901960784316,1610612756,27,25,2025-12-28T00:35:52Z,1395000,False,1.0,-8.0,1,left,MISS M. Williams tip Layup,[1631109],1610612756.0,PHX,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,0.77,,,,,,,,,,,
169,PT02M18.00S,2025-12-28T00:31:12.5Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,27,25,2025-12-28T00:35:52Z,1397500,False,,,0,,J. Goodwin REBOUND (Off:2 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,168.0,,3.0,1.0,2.0,,,,,,,,
140,PT02M15.00S,2025-12-28T00:31:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630692,7.178055190538765,47.05882352941176,1610612756,27,25,2025-12-28T00:35:52Z,1400000,False,15.0,15.0,1,left,MISS J. Goodwin Layup - blocked,"[1630692, 1629627]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.1,,,,Williamson,1629627.0,,,,,,
141,PT02M15.00S,2025-12-28T00:31:14.6Z,1,REGULAR,block,,[],1629627,,,1610612756,27,25,2025-12-28T00:31:16Z,1410000,False,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
142,PT02M14.00S,2025-12-28T00:31:15.6Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,27,25,2025-12-28T00:32:59Z,1420000,False,,,0,,M. Williams REBOUND (Off:2 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,140.0,,2.0,0.0,2.0,,,,,,,,
143,PT02M14.00S,2025-12-28T00:31:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,7.30946123521682,46.32352941176471,1610612756,27,27,2025-12-28T00:33:04Z,1430000,False,18.0,16.0,1,left,M. Williams putback Layup (2 PTS),[1631109],1610612756.0,PHX,putback,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.45,,,,,,,,,,,
144,PT01M59.00S,2025-12-28T00:31:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.24901445466492,46.32352941176471,1610612740,29,27,2025-12-28T00:33:48Z,1440000,False,-18.0,11.0,1,right,Z. Williamson cutting Layup (6 PTS) (J. Poole 1 AST),"[1629627, 1629673]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,,2.14,,,,,,J. Poole,1629673.0,1.0,,,
147,PT01M54.00S,2025-12-28T00:31:41.6Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,29,27,2025-12-28T00:31:53Z,1470000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M54.00S,2025-12-28T00:31:41.6Z,1,REGULAR,substitution,in,[],1631221,,,1610612756,29,27,2025-12-28T00:31:53Z,1480000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M39.00S,2025-12-28T00:32:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630692,27.414586070959263,77.20588235294117,1610612756,29,27,2025-12-28T00:32:20Z,1490000,False,-136.0,205.0,1,left,MISS J. Goodwin 24' step back 3PT,[1630692],1610612756.0,PHX,step back,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,24.62,,,,,,,,,,,
150,PT01M36.00S,2025-12-28T00:32:14.7Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,29,27,2025-12-28T00:32:20Z,1500000,False,,,0,,M. Williams REBOUND (Off:3 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,149.0,,3.0,0.0,3.0,,,,,,,,
151,PT01M35.00S,2025-12-28T00:32:17.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630631,,,1610612756,29,27,2025-12-28T00:32:22Z,1510000,False,,,0,,J. Alvarado personal FOUL (1 PF) (Williams 2 FT),"[1630631, 1631109]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,1627529.0,1.0,0.0,Williams,1631109.0,,,,,,,,,,,,,,,
153,PT01M35.00S,2025-12-28T00:32:40.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631109,,,1610612756,29,28,2025-12-28T00:32:40Z,1530000,False,,,0,,M. Williams Free Throw 1 of 2 (3 PTS),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
154,PT01M35.00S,2025-12-28T00:32:54.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631109,,,1610612756,29,29,2025-12-28T00:32:54Z,1540000,False,,,0,,M. Williams Free Throw 2 of 2 (4 PTS),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
155,PT01M22.00S,2025-12-28T00:33:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.11760840998686,47.05882352941176,1610612740,31,29,2025-12-28T00:33:18Z,1550000,False,-15.0,12.0,1,right,Z. Williamson driving Layup (8 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,1.91,,,,,,,,,,,
156,PT01M21.00S,2025-12-28T00:33:19.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612756,31,29,2025-12-28T00:33:19Z,1560000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M21.00S,2025-12-28T00:34:36.2Z,1,REGULAR,substitution,out,[],1630530,,,1610612756,31,29,2025-12-28T00:34:55Z,1570000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M21.00S,2025-12-28T00:34:36.2Z,1,REGULAR,substitution,in,[],1642877,,,1610612756,31,29,2025-12-28T00:34:55Z,1580000,False,,,0,,SUB in: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M06.00S,2025-12-28T00:35:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631221,6.915243101182654,45.588235294117645,1610612756,31,29,2025-12-28T00:35:13Z,1590000,False,22.0,13.0,1,left,MISS C. Gillespie driving Layup,[1631221],1610612756.0,PHX,driving,,,Gillespie,C. Gillespie,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.54,,,,,,,,,,,
161,PT01M03.00S,2025-12-28T00:35:07.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,31,29,2025-12-28T00:35:13Z,1610000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,159.0,,2.0,1.0,1.0,,,,,,,,
162,PT00M48.30S,2025-12-28T00:35:22.4Z,1,REGULAR,3pt,Jump Shot,[],1630631,86.41590013140605,95.83333333333334,1610612740,31,29,2025-12-28T00:35:27Z,1620000,False,229.0,75.0,1,right,MISS J. Alvarado 24' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,24.12,,,,,,,,,,,
163,PT00M46.30S,2025-12-28T00:35:24.4Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,31,29,2025-12-28T00:35:27Z,1630000,False,,,0,,C. Gillespie REBOUND (Off:1 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,,,,,,,,162.0,,2.0,1.0,1.0,,,,,,,,
164,PT00M40.90S,2025-12-28T00:35:30.8Z,1,REGULAR,3pt,Jump Shot,[],1642853,8.754927726675426,2.450980392156863,1610612756,31,29,2025-12-28T00:35:35Z,1640000,False,238.0,30.0,1,left,MISS R. Fleming 3PT,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.96,,,,,,,,,,,
165,PT00M37.90S,2025-12-28T00:35:33.7Z,1,REGULAR,rebound,offensive,[],1630587,,,1610612756,31,29,2025-12-28T00:35:33Z,1650000,False,,,0,,I. Livers REBOUND (Off:2 Def:0),[1630587],1610612756.0,PHX,,,,Livers,I. Livers,,,,,Right Corner 3,24+ Right,,,,,,,,164.0,,2.0,0.0,2.0,,,,,,,,
