actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
91,PT05M39.00S,2021-12-18T03:24:47.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203500,,,1610612763,18,14,2021-12-18T03:25:14Z,910000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,
92,PT05M36.00S,2021-12-18T03:24:50.7Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,18,14,2021-12-18T03:25:14Z,920000,,,0,,M. Harkless REBOUND (Off:0 Def:2),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT05M26.00S,2021-12-18T03:25:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,89.04402102496715,49.754901960784316,1610612758,20,14,2021-12-18T03:25:28Z,930000,-1.0,50.0,1,right,T. Haliburton driving floating Jump Shot (2 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,5.05,Made,,,,,2.0,,,,,,,,,,,,,
94,PT05M13.00S,2021-12-18T03:25:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,11.514454664914586,54.90196078431373,1610612763,20,14,2021-12-18T03:25:43Z,940000,-25.0,56.0,1,left,MISS K. Anderson 6' floating Shot,[203937],1610612763.0,MEM,floating,,,Anderson,K. Anderson,,,,,6.09,Missed,,,,,,,,,,,,,,,,,,
95,PT05M07.00S,2021-12-18T03:25:42.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,20,14,2021-12-18T03:25:42Z,950000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT05M05.00S,2021-12-18T03:25:47.2Z,1,REGULAR,turnover,out-of-bounds,[],203090,,,1610612758,20,14,2021-12-18T03:26:01Z,960000,,,0,,M. Harkless bad pass out-of-bounds TURNOVER (1 TO),[203090],1610612758.0,SAC,bad pass,,,Harkless,M. Harkless,,,,,,,,,,,,200833.0,,,,,,,,,,1.0,,
97,PT05M05.00S,2021-12-18T03:25:50.3Z,1,REGULAR,substitution,out,[],203500,,,1610612763,20,14,2021-12-18T03:25:59Z,970000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M05.00S,2021-12-18T03:25:50.3Z,1,REGULAR,substitution,in,[],1630214,,,1610612763,20,14,2021-12-18T03:25:59Z,980000,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M52.00S,2021-12-18T03:26:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626145,6.521024967148489,96.32352941176471,1610612763,20,17,2021-12-18T03:26:17Z,990000,-232.0,9.0,1,left,T. Jones 3PT  (3 PTS) (X. Tillman 1 AST),"[1626145, 1630214]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,23.18,Made,,,,,3.0,,,,,,X. Tillman,1630214.0,1.0,,,,,
101,PT04M41.00S,2021-12-18T03:26:23.7Z,1,REGULAR,3pt,Jump Shot,[],203090,76.2976346911958,86.51960784313727,1610612758,20,17,2021-12-18T03:26:28Z,1010000,183.0,170.0,1,right,MISS M. Harkless 24' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,
102,PT04M38.00S,2021-12-18T03:26:26.7Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,20,17,2021-12-18T03:39:19Z,1020000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,101.0,2.0,1.0,1.0,,,,,,,,,,,,,,
103,PT04M37.00S,2021-12-18T03:26:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,92.06636005256242,46.32352941176471,1610612758,22,17,2021-12-18T03:40:20Z,1030000,-18.0,22.0,1,right,H. Barnes putback Layup (8 PTS),[203084],1610612758.0,SAC,putback,,,Barnes,H. Barnes,,,,,2.88,Made,,,,,8.0,,,,,,,,,,,,,
104,PT04M29.00S,2021-12-18T03:26:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,7.30946123521682,51.71568627450981,1610612763,22,19,2021-12-18T03:26:41Z,1040000,-9.0,16.0,1,left,D. Brooks running Layup (5 PTS),[1628415],1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,1.83,Made,,,,,5.0,,,,,,,,,,,,,
105,PT04M21.00S,2021-12-18T03:26:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,92.72339027595268,43.13725490196079,1610612758,22,19,2021-12-18T03:27:01Z,1050000,-34.0,16.0,1,right,MISS T. Haliburton driving Layup,[1630169],1610612758.0,SAC,driving,,,Haliburton,T. Haliburton,,,,,3.78,Missed,,,,,,,,,,,,,,,,,,
106,PT04M17.00S,2021-12-18T03:26:48.7Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,22,19,2021-12-18T03:27:01Z,1060000,,,0,,T. Jones REBOUND (Off:0 Def:2),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,,,,
108,PT04M15.00S,2021-12-18T03:27:06.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627741,,,1610612763,22,19,2021-12-18T03:27:14Z,1080000,,,0,,B. Hield shooting personal FOUL (1 PF) (Melton 2 FT),"[1627741, 1629001]",1610612758.0,SAC,shooting,,,Hield,B. Hield,,,,,,,,,,,,1363.0,1.0,0.0,Melton,1629001.0,,,,,,,,
110,PT04M15.00S,2021-12-18T03:27:15.8Z,1,REGULAR,freethrow,1 of 2,[],1629001,,,1610612763,22,20,2021-12-18T03:27:15Z,1100000,,,0,,D. Melton Free Throw 1 of 2 (4 PTS),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
111,PT04M15.00S,2021-12-18T03:27:16.6Z,1,REGULAR,substitution,out,[],1627741,,,1610612763,22,20,2021-12-18T03:27:30Z,1110000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M15.00S,2021-12-18T03:27:16.6Z,1,REGULAR,substitution,out,[],203084,,,1610612763,22,20,2021-12-18T03:27:30Z,1120000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M15.00S,2021-12-18T03:27:16.6Z,1,REGULAR,substitution,in,[],1630186,,,1610612763,22,20,2021-12-18T03:27:30Z,1130000,,,0,,SUB in: J. Ramsey,[1630186],1610612758.0,SAC,,,,Ramsey,J. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M15.00S,2021-12-18T03:27:16.6Z,1,REGULAR,substitution,in,[],1629002,,,1610612763,22,20,2021-12-18T03:27:30Z,1140000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M15.00S,2021-12-18T03:27:15.8Z,1,REGULAR,freethrow,2 of 2,[],1629001,,,1610612763,22,20,2021-12-18T03:27:36Z,1150000,,,0,,MISS D. Melton Free Throw 2 of 2,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,Missed,,,,,,,,,,,,,,,,,,
116,PT04M14.00S,2021-12-18T03:27:16.8Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,22,20,2021-12-18T03:27:36Z,1160000,,,0,,C. Metu REBOUND (Off:0 Def:4),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,115.0,4.0,4.0,0.0,,,,,,,,,,,,,,
117,PT03M57.00S,2021-12-18T03:27:50.5Z,1,REGULAR,2pt,Jump Shot,[],1629002,87.33574244415243,79.90196078431373,1610612758,22,20,2021-12-18T03:27:57Z,1170000,150.0,67.0,1,right,MISS C. Metu 16' pullup Shot,[1629002],1610612758.0,SAC,pullup,,,Metu,C. Metu,,,,,16.36,Missed,,,,,,,,,,,,,,,,,,
118,PT03M54.00S,2021-12-18T03:27:53.5Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,22,20,2021-12-18T03:27:57Z,1180000,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,,,,
119,PT03M50.00S,2021-12-18T03:27:57.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203937,11.645860709592641,48.529411764705884,1610612763,22,22,2021-12-18T03:28:19Z,1190000,7.0,57.0,1,left,K. Anderson running Jump Shot (2 PTS),[203937],1610612763.0,MEM,running,,,Anderson,K. Anderson,,,,,5.75,Made,,,,,2.0,,,,,,,,,,,,,
120,PT03M38.00S,2021-12-18T03:28:09.1Z,1,REGULAR,3pt,Jump Shot,[],203090,89.96386333771353,95.83333333333334,1610612758,25,22,2021-12-18T03:28:22Z,1200000,229.0,42.0,1,right,M. Harkless 3PT  (3 PTS) (T. Haliburton 2 AST),"[203090, 1630169]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.3,Made,,,,,3.0,,,,,,T. Haliburton,1630169.0,2.0,,,,,
122,PT03M26.00S,2021-12-18T03:28:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,14.14257555847569,58.82352941176471,1610612763,25,22,2021-12-18T03:28:28Z,1220000,-44.0,80.0,1,left,MISS T. Jones 9' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,9.17,Missed,,,,,,,,,,,,,,,,,,
123,PT03M23.00S,2021-12-18T03:28:25.6Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,25,22,2021-12-18T03:28:28Z,1230000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,
124,PT03M20.00S,2021-12-18T03:28:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630169,93.24901445466492,51.71568627450981,1610612758,27,22,2021-12-18T03:28:39Z,1240000,9.0,11.0,1,right,T. Haliburton running Layup (4 PTS),[1630169],1610612758.0,SAC,running,,,Haliburton,T. Haliburton,,,,,1.4,Made,,,,,4.0,,,,,,,,,,,,,
125,PT03M20.00S,2021-12-18T03:28:35.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,27,22,2021-12-18T03:28:35Z,1250000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M20.00S,2021-12-18T03:31:11.0Z,1,REGULAR,substitution,out,[],1626145,,,1610612763,27,22,2021-12-18T03:31:34Z,1260000,,,0,,SUB out: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M20.00S,2021-12-18T03:31:11.0Z,1,REGULAR,substitution,out,[],1628415,,,1610612763,27,22,2021-12-18T03:31:34Z,1270000,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M20.00S,2021-12-18T03:31:11.0Z,1,REGULAR,substitution,in,[],1629723,,,1610612763,27,22,2021-12-18T03:31:34Z,1280000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M20.00S,2021-12-18T03:31:11.0Z,1,REGULAR,substitution,in,[],1629681,,,1610612763,27,22,2021-12-18T03:31:34Z,1290000,,,0,,SUB in: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M06.00S,2021-12-18T03:31:45.3Z,1,REGULAR,3pt,Jump Shot,[],1629681,7.440867279894875,3.1862745098039214,1610612763,27,25,2021-12-18T03:31:52Z,1300000,234.0,17.0,1,left,K. Tillie 3PT  (3 PTS) (D. Melton 1 AST),"[1629681, 1629001]",1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,23.47,Made,,,,,3.0,,,,,,D. Melton,1629001.0,1.0,,,,,
132,PT02M41.00S,2021-12-18T03:32:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630186,68.28186596583443,36.27450980392157,1610612758,27,25,2021-12-18T03:32:15Z,1320000,-69.0,246.0,1,right,MISS J. Ramsey 25' 3PT,[1630186],1610612758.0,SAC,,,,Ramsey,J. Ramsey,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,
133,PT02M38.00S,2021-12-18T03:32:12.9Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,27,25,2021-12-18T03:32:15Z,1330000,,,0,,K. Anderson REBOUND (Off:0 Def:3),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,132.0,3.0,3.0,0.0,,,,,,,,,,,,,,
134,PT02M30.00S,2021-12-18T03:32:21.8Z,1,REGULAR,3pt,Jump Shot,[],1629001,30.436925098554536,65.44117647058823,1610612763,27,25,2021-12-18T03:32:49Z,1340000,-77.0,234.0,1,left,MISS D. Melton 24' 3PT,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,
135,PT02M21.00S,2021-12-18T03:32:30.8Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,27,25,2021-12-18T03:32:49Z,1350000,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,,
144,PT02M20.00S,2021-12-18T03:32:47.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630214,6.964520367936925,48.552389705882355,1610612763,27,25,2021-12-18T03:36:51Z,1355000,7.0,13.0,1,left,MISS X. Tillman tip DUNK,[1630214],1610612763.0,MEM,tip,,,Tillman,X. Tillman,,,,,1.49,Missed,,,,,,,,,,,,,,,,,,
145,PT02M19.00S,2021-12-18T03:32:48.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,27,25,2021-12-18T03:39:30Z,1357500,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT02M10.00S,2021-12-18T03:32:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630186,70.38436268068331,26.47058823529412,1610612758,27,25,2021-12-18T04:23:46Z,1360000,-118.0,226.0,1,right,MISS J. Ramsey 25' 3PT,[1630186],1610612758.0,SAC,,,,Ramsey,J. Ramsey,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
137,PT02M10.00S,2021-12-18T03:32:49.1Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,27,25,2021-12-18T04:23:46Z,1370000,,,0,,K. Anderson REBOUND (Off:0 Def:4),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,136.0,4.0,4.0,0.0,,,,,,,,,,,,,,
138,PT02M07.00S,2021-12-18T03:32:52.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630214,5.995400788436268,53.431372549019606,1610612763,27,27,2021-12-18T03:48:38Z,1380000,-17.0,4.0,1,left,X. Tillman running Layup (2 PTS) (K. Anderson 1 AST),"[1630214, 203937]",1610612763.0,MEM,running,,,Tillman,X. Tillman,,,,,1.76,Made,,,,,2.0,,,,,,K. Anderson,203937.0,1.0,,,,,
140,PT01M50.00S,2021-12-18T03:33:01.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,92.32917214191852,47.30392156862745,1610612758,29,27,2021-12-18T03:33:07Z,1400000,-13.0,20.0,1,right,D. Jones DUNK (2 PTS) (T. Haliburton 3 AST),"[1627745, 1630169]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,2.38,Made,,,,,2.0,,,,,,T. Haliburton,1630169.0,3.0,,,,,
142,PT01M30.00S,2021-12-18T03:33:21.8Z,1,REGULAR,3pt,Jump Shot,[],1629681,30.962549277266753,65.93137254901961,1610612763,29,27,2021-12-18T03:34:44Z,1420000,-80.0,239.0,1,left,MISS K. Tillie 25' 3PT,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,
143,PT01M25.00S,2021-12-18T03:33:26.8Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,29,27,2021-12-18T03:33:26Z,1430000,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,142.0,2.0,2.0,0.0,,,,,,,,,,,,,,
146,PT01M11.00S,2021-12-18T03:33:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1629681,,,1610612758,29,27,2021-12-18T03:33:53Z,1440000,,,0,,K. Tillie shooting personal FOUL (1 PF) (Jones 2 FT),"[1629681, 1627745]",1610612763.0,MEM,shooting,,,Tillie,K. Tillie,,,,,,,,,,,,200833.0,1.0,0.0,Jones,1627745.0,,,,,,,,
148,PT01M11.00S,2021-12-18T03:34:14.3Z,1,REGULAR,freethrow,1 of 2,[],1627745,,,1610612758,30,27,2021-12-18T03:34:14Z,1460000,,,0,,D. Jones Free Throw 1 of 2 (3 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
149,PT01M11.00S,2021-12-18T03:34:16.3Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,30,27,2021-12-18T03:34:28Z,1470000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M11.00S,2021-12-18T03:34:16.3Z,1,REGULAR,substitution,out,[],203937,,,1610612758,30,27,2021-12-18T03:34:28Z,1480000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M11.00S,2021-12-18T03:34:16.3Z,1,REGULAR,substitution,in,[],1629620,,,1610612758,30,27,2021-12-18T03:34:28Z,1490000,,,0,,SUB in: J. Robinson,[1629620],1610612758.0,SAC,,,,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M11.00S,2021-12-18T03:34:16.3Z,1,REGULAR,substitution,in,[],1628991,,,1610612758,30,27,2021-12-18T03:34:28Z,1500000,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M11.00S,2021-12-18T03:34:32.8Z,1,REGULAR,freethrow,2 of 2,[],1627745,,,1610612758,31,27,2021-12-18T03:34:32Z,1510000,,,0,,D. Jones Free Throw 2 of 2 (4 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
154,PT00M47.60S,2021-12-18T03:34:58.8Z,1,REGULAR,2pt,Jump Shot,[],1629723,5.863994743758213,80.88235294117648,1610612763,31,27,2021-12-18T03:35:06Z,1520000,-154.0,3.0,1,left,MISS J. Konchar 15' pullup Shot,[1629723],1610612763.0,MEM,pullup,,,Konchar,J. Konchar,,,,,15.44,Missed,,,,,,,,,,,,,,,,,,
155,PT00M44.90S,2021-12-18T03:35:01.5Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,31,27,2021-12-18T03:35:06Z,1530000,,,0,,C. Metu REBOUND (Off:0 Def:5),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,154.0,5.0,5.0,0.0,,,,,,,,,,,,,,
156,PT00M44.50S,2021-12-18T03:35:04.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629001,,,1610612758,31,27,2021-12-18T03:35:27Z,1540000,,,0,,D. Melton personal FOUL (1 PF) (Metu 2 FT),"[1629001, 1629002]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,200833.0,1.0,0.0,Metu,1629002.0,,,,,,,,
158,PT00M44.50S,2021-12-18T03:35:35.5Z,1,REGULAR,freethrow,1 of 2,[],1629002,,,1610612758,31,27,2021-12-18T03:35:56Z,1560000,,,0,,MISS C. Metu Free Throw 1 of 2,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Missed,,,,,,,,,,,,,,,,,,
159,PT00M44.50S,2021-12-18T03:35:35.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,31,27,2021-12-18T03:35:56Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,
160,PT00M44.50S,2021-12-18T03:35:37.5Z,1,REGULAR,substitution,out,[],1629681,,,1610612758,31,27,2021-12-18T03:35:44Z,1580000,,,0,,SUB out: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M44.50S,2021-12-18T03:35:37.5Z,1,REGULAR,substitution,in,[],1630217,,,1610612758,31,27,2021-12-18T03:35:44Z,1590000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M44.50S,2021-12-18T03:35:35.5Z,1,REGULAR,freethrow,2 of 2,[],1629002,,,1610612758,31,27,2021-12-18T03:35:56Z,1600000,,,0,,MISS C. Metu Free Throw 2 of 2,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT00M41.60S,2021-12-18T03:35:38.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,31,27,2021-12-18T03:35:56Z,1610000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,162.0,1.0,1.0,0.0,,,,,,,,,,,,,,
164,PT00M32.00S,2021-12-18T03:36:04.5Z,1,REGULAR,2pt,Jump Shot,[],1630217,23.99802890932983,49.26470588235294,1610612763,31,27,2021-12-18T03:36:15Z,1620000,4.0,173.0,1,left,MISS D. Bane 17' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,17.31,Missed,,,,,,,,,,,,,,,,,,
165,PT00M28.00S,2021-12-18T03:36:08.5Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,31,27,2021-12-18T03:36:15Z,1630000,,,0,,C. Metu REBOUND (Off:0 Def:6),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,164.0,6.0,6.0,0.0,,,,,,,,,,,,,,
166,PT00M25.80S,2021-12-18T03:36:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203090,93.64323258869908,54.41176470588235,1610612758,31,27,2021-12-18T03:36:19Z,1640000,22.0,7.0,1,right,MISS M. Harkless running Layup - blocked,"[203090, 1628991]",1610612758.0,SAC,running,,,Harkless,M. Harkless,,,,,2.33,Missed,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,
167,PT00M25.80S,2021-12-18T03:36:10.8Z,1,REGULAR,block,,[],1628991,,,1610612758,31,27,2021-12-18T03:36:14Z,1650000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M25.80S,2021-12-18T03:36:10.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,31,27,2021-12-18T03:36:19Z,1660000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,
169,PT00M25.50S,2021-12-18T03:36:18.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,31,27,2021-12-18T03:36:18Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M25.50S,2021-12-18T03:36:25.0Z,1,REGULAR,substitution,out,[],1630186,,,1610612758,31,27,2021-12-18T03:36:31Z,1680000,,,0,,SUB out: J. Ramsey,[1630186],1610612758.0,SAC,,,,Ramsey,J. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M25.50S,2021-12-18T03:36:25.0Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,31,27,2021-12-18T03:36:31Z,1690000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
310,PT00M12.70S,2021-12-18T03:36:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629620,90.09526938239159,52.69607843137255,1610612758,31,27,2021-12-18T03:58:34Z,1695000,13.0,41.0,1,right,MISS J. Robinson driving Layup - blocked,"[1629620, 1629001]",1610612758.0,SAC,driving,,,Robinson,J. Robinson,,,,,4.28,Missed,,,,,,,,,,,,,,Melton,1629001.0,,,
311,PT00M12.70S,2021-12-18T03:36:38.7Z,1,REGULAR,block,,[],1629001,,,1610612758,31,27,2021-12-18T03:58:34Z,1697500,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
312,PT00M12.70S,2021-12-18T03:36:38.7Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,31,27,2021-12-18T03:58:34Z,1698750,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,310.0,1.0,1.0,0.0,,,,,,,,,,,,,,
174,PT00M08.30S,2021-12-18T03:36:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629001,6.389618922470433,46.568627450980394,1610612763,31,29,2021-12-18T03:58:41Z,1720000,17.0,8.0,1,left,D. Melton running Layup (6 PTS),[1629001],1610612763.0,MEM,running,,,Melton,D. Melton,,,,,1.88,Made,,,,,6.0,,,,,,,,,,,,,
175,PT00M00.00S,2021-12-18T03:37:08.5Z,1,REGULAR,3pt,Jump Shot,[],1629002,70.77858081471747,17.401960784313726,1610612758,31,29,2021-12-18T03:37:15Z,1730000,-163.0,222.0,1,right,MISS C. Metu 27' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,27.56,Missed,,,,,,,,,,,,,,,,,,
