actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
95,PT04M11.00S,2022-03-19T02:28:02.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,29.911300919842315,25.98039215686275,1610612738,15,18,2022-03-19T02:28:07Z,930000,120.0,229.0,1,left,MISS A. Horford 25' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,
96,PT04M08.00S,2022-03-19T02:28:05.1Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,15,18,2022-03-19T02:28:07Z,940000,,,0,,C. Metu REBOUND (Off:0 Def:2),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,95.0,2.0,2.0,0.0,,,,
97,PT04M01.00S,2022-03-19T02:28:11.6Z,1,REGULAR,3pt,Jump Shot,[],1630558,66.44218134034165,40.68627450980392,1610612758,18,18,2022-03-19T02:28:18Z,950000,-47.0,263.0,1,right,D. Mitchell 26' 3PT  (4 PTS) (D. Sabonis 2 AST),"[1630558, 1627734]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,26.7,Made,4.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,
99,PT03M44.00S,2022-03-19T02:28:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629684,8.754927726675426,3.1862745098039214,1610612738,18,18,2022-03-19T02:28:34Z,970000,234.0,30.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,
100,PT03M41.00S,2022-03-19T02:28:31.4Z,1,REGULAR,rebound,defensive,[],203200,,,1610612758,18,18,2022-03-19T02:28:34Z,980000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,,
101,PT03M34.00S,2022-03-19T02:28:38.5Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612758,18,18,2022-03-19T02:28:43Z,990000,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1627759]",1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,1.0,,,,,,,,,Brown,1627759.0,,
102,PT03M34.00S,2022-03-19T02:28:38.5Z,1,REGULAR,steal,,[],1627759,,,1610612738,18,18,2022-03-19T02:28:40Z,1000000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M27.00S,2022-03-19T02:28:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,8.886333771353483,51.225490196078425,1610612738,18,18,2022-03-19T02:29:03Z,1010000,-6.0,31.0,1,left,MISS J. Brown running Layup - blocked,"[1627759, 1629002]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.16,Missed,,,,,,,,,,,,,,,,,Metu,1629002.0
105,PT03M27.00S,2022-03-19T02:28:45.6Z,1,REGULAR,block,,[],1629002,,,1610612738,18,18,2022-03-19T02:29:03Z,1015000,,,0,,C. Metu BLOCK (1 BLK),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M27.00S,2022-03-19T02:28:45.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,18,18,2022-03-19T02:29:47Z,1020000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,103.0,2.0,1.0,1.0,,,,
113,PT03M27.00S,2022-03-19T02:28:56.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,10.988830486202366,54.41176470588235,1610612738,18,20,2022-03-19T02:31:23Z,1025000,-22.0,51.0,1,left,J. Brown putback Layup (12 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,5.54,Made,12.0,,,,,,,,,,,,,,,,,
106,PT03M04.00S,2022-03-19T02:29:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628978,79.05716162943496,7.598039215686274,1610612758,18,20,2022-03-19T02:29:15Z,1030000,-212.0,144.0,1,right,MISS D. DiVincenzo 25' 3PT,[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,
107,PT03M01.00S,2022-03-19T02:29:11.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,20,2022-03-19T02:29:15Z,1040000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,106.0,1.0,1.0,0.0,,,,
108,PT02M48.00S,2022-03-19T02:29:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.63929040735874,48.529411764705884,1610612738,18,22,2022-03-19T02:29:35Z,1050000,7.0,104.0,1,left,J. Brown 10' fadeaway Jump Shot (14 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,10.42,Made,14.0,,,,,,,,,,,,,,,,,
109,PT02M29.00S,2022-03-19T02:29:42.8Z,1,REGULAR,3pt,Jump Shot,[],203200,89.04402102496715,96.32352941176471,1610612758,21,22,2022-03-19T02:29:50Z,1060000,232.0,50.0,1,right,J. Holiday 3PT  (9 PTS) (D. Sabonis 3 AST),"[203200, 1627734]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,23.7,Made,9.0,D. Sabonis,1627734.0,3.0,,,,,,,,,,,,,,
111,PT02M10.00S,2022-03-19T02:30:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,3.7614980289093296,63.970588235294116,1610612738,21,24,2022-03-19T02:30:17Z,1080000,-70.0,-17.0,1,left,J. Brown 7' turnaround fadeaway Jump Shot (16 PTS) (M. Smart 4 AST),"[1627759, 203935]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,7.2,Made,16.0,M. Smart,203935.0,4.0,,,,,,,,,,,,,,
114,PT01M59.00S,2022-03-19T02:30:18.8Z,1,REGULAR,foul,offensive,[],1629002,,,1610612758,21,24,2022-03-19T02:30:29Z,1100000,,,0,,C. Metu charge offensive FOUL (1 PF),"[1629002, 1629684]",1610612758.0,SAC,charge,,,Metu,C. Metu,,,,,,,,,,,1627541.0,,1.0,0.0,Williams,1629684.0,,,,,,,,
116,PT01M59.00S,2022-03-19T02:30:18.8Z,1,REGULAR,turnover,offensive foul,[],1629002,,,1610612758,21,24,2022-03-19T02:30:18Z,1120000,,,0,,C. Metu offensive foul TURNOVER (2 TO),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,1627541.0,2.0,,,,,,,,,,,,
117,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,out,[],1630558,,,1610612738,21,24,2022-03-19T02:30:50Z,1130000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,24,2022-03-19T02:30:50Z,1140000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,out,[],201143,,,1610612738,21,24,2022-03-19T02:30:50Z,1150000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,in,[],203090,,,1610612738,21,24,2022-03-19T02:30:50Z,1160000,,,0,,SUB in: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,21,24,2022-03-19T02:30:50Z,1170000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M59.00S,2022-03-19T02:30:28.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,24,2022-03-19T02:30:50Z,1180000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M47.00S,2022-03-19T02:30:53.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,5.206964520367937,52.94117647058824,1610612738,21,26,2022-03-19T02:30:58Z,1190000,-15.0,-4.0,1,left,M. Smart cutting Layup (2 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,1.51,Made,2.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
125,PT01M34.00S,2022-03-19T02:31:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.06636005256242,47.30392156862745,1610612758,21,26,2022-03-19T02:31:10Z,1210000,-13.0,22.0,1,right,MISS D. Sabonis Layup,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,2.59,Missed,,,,,,,,,,,,,,,,,,
126,PT01M33.00S,2022-03-19T02:31:07.8Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,21,26,2022-03-19T02:31:07Z,1220000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,125.0,4.0,3.0,1.0,,,,
127,PT01M31.00S,2022-03-19T02:31:08.9Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,21,26,2022-03-19T02:31:13Z,1230000,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1628401]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,1.0,,,,,,,,,White,1628401.0,,
128,PT01M31.00S,2022-03-19T02:31:08.9Z,1,REGULAR,steal,,[],1628401,,,1610612738,21,26,2022-03-19T02:31:11Z,1240000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M23.00S,2022-03-19T02:31:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,31.225361366622867,62.5,1610612738,21,29,2022-03-19T02:31:24Z,1250000,-62.0,241.0,1,left,J. Tatum 24' 3PT  (5 PTS) (M. Smart 5 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.9,Made,5.0,M. Smart,203935.0,5.0,,,,,,,,,,,,,,
131,PT01M06.00S,2022-03-19T02:31:34.5Z,1,REGULAR,3pt,Jump Shot,[],1629002,84.31340341655716,3.9215686274509802,1610612758,24,29,2022-03-19T02:31:39Z,1270000,-230.0,95.0,1,right,C. Metu 24' 3PT  (6 PTS) (D. DiVincenzo 3 AST),"[1629002, 1628978]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,24.92,Made,6.0,D. DiVincenzo,1628978.0,3.0,,,,,,,,,,,,,,
133,PT00M41.70S,2022-03-19T02:31:59.8Z,1,REGULAR,3pt,Jump Shot,[],203935,16.113666228646515,3.9215686274509802,1610612738,24,32,2022-03-19T02:34:14Z,1290000,230.0,99.0,1,left,M. Smart 25' 3PT step back (5 PTS) (G. Williams 2 AST),"[203935, 1629684]",1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,25.08,Made,5.0,G. Williams,1629684.0,2.0,,,,,,,,,,,,,,
135,PT00M29.50S,2022-03-19T02:32:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.9862023653088,45.09803921568628,1610612758,26,32,2022-03-19T02:32:19Z,1310000,-25.0,13.0,1,right,D. Sabonis cutting Layup (7 PTS) (D. DiVincenzo 4 AST),"[1627734, 1628978]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,2.79,Made,7.0,D. DiVincenzo,1628978.0,4.0,,,,,,,,,,,,,,
137,PT00M10.40S,2022-03-19T02:32:36.9Z,1,REGULAR,3pt,Jump Shot,[],203935,26.888961892247043,82.35294117647058,1610612738,26,32,2022-03-19T02:32:42Z,1330000,-162.0,200.0,1,left,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,
138,PT00M06.90S,2022-03-19T02:32:40.5Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,26,32,2022-03-19T02:32:40Z,1340000,,,0,,C. Metu REBOUND (Off:0 Def:3),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,137.0,3.0,3.0,0.0,,,,
139,PT00M00.00S,2022-03-19T02:32:49.5Z,1,REGULAR,turnover,bad pass,[],1629002,,,1610612758,26,32,2022-03-19T02:32:56Z,1350000,,,0,,C. Metu bad pass TURNOVER (3 TO),"[1629002, 1628464]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,3.0,,,,,,,,,Theis,1628464.0,,
140,PT00M00.00S,2022-03-19T02:32:49.5Z,1,REGULAR,steal,,[],1628464,,,1610612738,26,32,2022-03-19T02:32:52Z,1360000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M00.00S,2022-03-19T02:32:53.9Z,1,REGULAR,period,end,[],0,,,1610612738,26,32,2022-03-19T02:32:53Z,1370000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,out,['startperiod'],203200,,,1610612738,26,32,2022-03-19T02:35:57Z,1380000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,out,['startperiod'],1627734,,,1610612738,26,32,2022-03-19T02:35:57Z,1390000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,26,32,2022-03-19T02:35:57Z,1400000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,in,['startperiod'],1627745,,,1610612738,26,32,2022-03-19T02:35:57Z,1410000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,in,['startperiod'],1630558,,,1610612738,26,32,2022-03-19T02:35:57Z,1420000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-03-19T02:35:11.4Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,26,32,2022-03-19T02:35:57Z,1430000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-03-19T02:35:47.1Z,2,REGULAR,period,start,[],0,,,1610612758,26,32,2022-03-19T02:35:58Z,1440000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT11M37.00S,2022-03-19T02:36:09.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627745,92.85479632063075,45.588235294117645,1610612758,28,32,2022-03-19T02:36:13Z,1450000,-22.0,15.0,1,right,D. Jones Layup (2 PTS) (D. DiVincenzo 5 AST),"[1627745, 1628978]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,2.65,Made,2.0,D. DiVincenzo,1628978.0,5.0,,,,,,,,,,,,,,
151,PT11M21.00S,2022-03-19T02:36:32.2Z,2,REGULAR,foul,personal,[],203090,,,1610612738,28,32,2022-03-19T02:36:44Z,1470000,,,0,,M. Harkless personal FOUL (1 PF),"[203090, 1628464]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,201245.0,,1.0,0.0,Theis,1628464.0,,,,,,,,
153,PT11M14.00S,2022-03-19T02:36:48.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,25.706307490144546,83.33333333333334,1610612738,28,35,2022-03-19T02:36:54Z,1490000,-167.0,189.0,1,left,J. Tatum 25' 3PT pullup (8 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.21,Made,8.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,
155,PT10M59.00S,2022-03-19T02:37:07.1Z,2,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612758,28,35,2022-03-19T02:37:13Z,1510000,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (2 TO),[1628978],1610612758.0,SAC,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,201245.0,2.0,,,,,,,,,,,,
156,PT10M41.00S,2022-03-19T02:37:26.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,32.276609724047304,43.627450980392155,1610612738,28,38,2022-03-19T02:37:32Z,1520000,32.0,251.0,1,left,J. Tatum 25' 3PT pullup (11 PTS) (P. Pritchard 2 AST),"[1628369, 1630202]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.29,Made,11.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,,,,,
158,PT10M16.00S,2022-03-19T02:37:51.6Z,2,REGULAR,3pt,Jump Shot,[],1630558,69.07030223390277,32.35294117647059,1610612758,28,38,2022-03-19T02:37:58Z,1540000,-88.0,238.0,1,right,MISS D. Mitchell 25' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
159,PT10M12.00S,2022-03-19T02:37:55.6Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,28,38,2022-03-19T02:37:58Z,1550000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,158.0,1.0,1.0,0.0,,,,
160,PT10M02.00S,2022-03-19T02:38:05.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,29.122864651773984,72.79411764705883,1610612738,28,41,2022-03-19T02:39:49Z,1560000,-114.0,221.0,1,left,J. Tatum 24' 3PT step back (14 PTS) (G. Williams 3 AST),"[1628369, 1629684]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,24.89,Made,14.0,G. Williams,1629684.0,3.0,,,,,,,,,,,,,,
162,PT09M45.00S,2022-03-19T02:38:22.7Z,2,REGULAR,3pt,Jump Shot,[],1628978,76.95466491458606,8.57843137254902,1610612758,28,41,2022-03-19T02:40:23Z,1580000,-207.0,164.0,1,right,MISS D. DiVincenzo 26' pullup 3PT,[1628978],1610612758.0,SAC,pullup,,,DiVincenzo,D. DiVincenzo,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,
163,PT09M41.00S,2022-03-19T02:38:26.7Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,28,41,2022-03-19T02:38:28Z,1590000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,162.0,1.0,1.0,0.0,,,,
164,PT09M37.00S,2022-03-19T02:38:35.4Z,2,REGULAR,foul,offensive,[],1628464,,,1610612738,28,41,2022-03-19T02:38:43Z,1600000,,,0,,D. Theis offensive FOUL (1 PF),"[1628464, 1629002]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,201245.0,,1.0,0.0,Metu,1629002.0,,,,,,,,
166,PT09M37.00S,2022-03-19T02:38:35.4Z,2,REGULAR,turnover,offensive foul,[],1628464,,,1610612738,28,41,2022-03-19T02:38:35Z,1620000,,,0,,D. Theis offensive foul TURNOVER (1 TO),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,201245.0,1.0,,,,,,,,,,,,
167,PT09M37.00S,2022-03-19T02:38:42.9Z,2,REGULAR,substitution,out,[],203090,,,1610612758,28,41,2022-03-19T02:38:51Z,1630000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,
168,PT09M37.00S,2022-03-19T02:38:42.9Z,2,REGULAR,substitution,in,[],203084,,,1610612758,28,41,2022-03-19T02:38:51Z,1640000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
169,PT09M21.00S,2022-03-19T02:39:08.8Z,2,REGULAR,foul,personal,[],1628401,,,1610612758,28,41,2022-03-19T02:39:18Z,1650000,,,0,,D. White personal FOUL (1 PF),"[1628401, 1627745]",1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,2530.0,,1.0,0.0,Jones,1627745.0,,,,,,,,
171,PT09M13.00S,2022-03-19T02:39:35.0Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629002,92.72339027595268,61.029411764705884,1610612758,28,41,2022-03-19T02:39:44Z,1670000,55.0,16.0,1,right,MISS C. Metu turnaround Hook,[1629002],1610612758.0,SAC,turnaround,,,Metu,C. Metu,,,,,5.73,Missed,,,,,,,,,,,,,,,,,,
172,PT09M10.00S,2022-03-19T02:39:38.0Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,28,41,2022-03-19T02:39:44Z,1680000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,
173,PT08M51.00S,2022-03-19T02:39:57.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,7.966491458607096,51.225490196078425,1610612738,28,41,2022-03-19T02:40:01Z,1690000,-6.0,22.0,1,left,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,2.32,Missed,,,,,,,,,,,,,,,,,,
174,PT08M48.00S,2022-03-19T02:40:00.2Z,2,REGULAR,rebound,defensive,[],1627745,,,1610612758,28,41,2022-03-19T02:40:01Z,1700000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,
175,PT08M41.00S,2022-03-19T02:40:10.8Z,2,REGULAR,turnover,out-of-bounds,[],1630558,,,1610612758,28,41,2022-03-19T02:40:29Z,1710000,,,0,,D. Mitchell lost ball out-of-bounds TURNOVER (3 TO),[1630558],1610612758.0,SAC,lost ball,,,Mitchell,D. Mitchell,,,,,,,,,,,2530.0,3.0,,,,,,,,,,,,
176,PT08M28.00S,2022-03-19T02:40:39.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628464,5.863994743758213,49.26470588235294,1610612738,28,43,2022-03-19T02:44:38Z,1720000,4.0,3.0,1,left,D. Theis alley-oop DUNK (2 PTS) (D. White 1 AST),"[1628464, 1628401]",1610612738.0,BOS,alley-oop,,,Theis,D. Theis,,,,,0.45,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
178,PT08M28.00S,2022-03-19T02:40:46.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,28,43,2022-03-19T02:40:46Z,1740000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,out,[],1629002,,,1610612758,28,43,2022-03-19T02:43:44Z,1750000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,out,[],1630558,,,1610612758,28,43,2022-03-19T02:43:44Z,1760000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,out,[],1627745,,,1610612758,28,43,2022-03-19T02:43:44Z,1770000,,,0,,SUB out: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,in,[],203200,,,1610612758,28,43,2022-03-19T02:43:44Z,1780000,,,0,,SUB in: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
183,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,28,43,2022-03-19T02:43:44Z,1790000,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M28.00S,2022-03-19T02:42:45.9Z,2,REGULAR,substitution,in,[],1626168,,,1610612758,28,43,2022-03-19T02:43:44Z,1800000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M11.00S,2022-03-19T02:44:01.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203084,92.59198423127464,45.83333333333333,1610612758,28,43,2022-03-19T02:45:28Z,1810000,-21.0,17.0,1,right,MISS H. Barnes driving reverse Layup,[203084],1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,
186,PT08M09.00S,2022-03-19T02:44:03.1Z,2,REGULAR,rebound,offensive,[],1627734,,,1610612758,28,43,2022-03-19T02:44:07Z,1820000,,,0,,D. Sabonis REBOUND (Off:2 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,185.0,5.0,3.0,2.0,,,,
