actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
93,PT05M58.00S,2021-12-09T03:24:14.0Z,1,REGULAR,2pt,Jump Shot,[],1630558,77.87450722733246,48.28431372549019,1610612758,18,18,2021-12-09T03:24:21Z,890000,-9.0,155.0,1,right,D. Mitchell 15' fadeaway Jump Shot (2 PTS),[1630558],1610612758.0,SAC,fadeaway,,,Mitchell,D. Mitchell,,,,,15.57,Made,2.0,,,,,,,,,,,,,,,,,,
94,PT05M50.00S,2021-12-09T03:24:28.5Z,1,REGULAR,foul,personal,[],1630558,,,1610612753,18,18,2021-12-09T03:24:39Z,900000,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1628976]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Carter Jr.,1628976.0,,,
96,PT05M40.00S,2021-12-09T03:24:55.5Z,1,REGULAR,3pt,Jump Shot,[],1630175,26.62614980289093,78.18627450980392,1610612753,18,21,2021-12-09T03:25:01Z,920000,-141.0,198.0,1,left,C. Anthony 24' 3PT  (6 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.29,Made,6.0,,,,,,,,,,,,,,,,,,
97,PT05M28.00S,2021-12-09T03:25:06.6Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.96780551905388,41.911764705882355,1610612758,18,21,2021-12-09T03:25:12Z,930000,-40.0,258.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,,
98,PT05M25.00S,2021-12-09T03:25:09.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,18,21,2021-12-09T03:25:12Z,940000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,97.0,3.0,3.0,0.0,,,,,,,
99,PT05M11.00S,2021-12-09T03:25:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,17.427726675427067,40.68627450980392,1610612753,18,23,2021-12-09T03:25:31Z,950000,47.0,111.0,1,left,T. Ross 12' pullup Jump Shot (2 PTS) (G. Harris 1 AST),"[203082, 203914]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,12.07,Made,2.0,,,,G. Harris,203914.0,1.0,,,,,,,,,,,,
101,PT05M02.00S,2021-12-09T03:25:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203458,93.51182654402102,45.588235294117645,1610612758,20,23,2021-12-09T03:25:39Z,970000,-22.0,8.0,1,right,A. Len running Layup (2 PTS) (D. Mitchell 1 AST),"[203458, 1630558]",1610612758.0,SAC,running,,,Len,A. Len,,,,,2.37,Made,2.0,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,
103,PT04M42.00S,2021-12-09T03:25:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,14.931011826544022,41.17647058823529,1610612753,20,23,2021-12-09T03:25:58Z,990000,44.0,88.0,1,left,MISS W. Carter Jr. 9' floating Shot,[1628976],1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,9.83,Missed,,,,,,,,,,,,,,,,,,,
104,PT04M39.00S,2021-12-09T03:25:56.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,20,23,2021-12-09T03:25:58Z,1000000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,103.0,1.0,1.0,0.0,,,,,,,
105,PT04M34.00S,2021-12-09T03:26:02.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,67.09921156373193,47.30392156862745,1610612758,23,23,2021-12-09T03:26:10Z,1010000,-13.0,257.0,1,right,D. Fox 25' 3PT step back (9 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.72,Made,9.0,,,,,,,,,,,,,,,,,,
106,PT04M19.00S,2021-12-09T03:26:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,11.383048620236531,49.26470588235294,1610612753,23,25,2021-12-09T03:26:21Z,1020000,4.0,55.0,1,left,C. Anthony pullup Jump Shot (8 PTS),[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,5.46,Made,8.0,,,,,,,,,,,,,,,,,,
107,PT04M09.00S,2021-12-09T03:26:26.5Z,1,REGULAR,3pt,Jump Shot,[],203084,87.99277266754271,95.09803921568627,1610612758,26,25,2021-12-09T03:26:33Z,1030000,225.0,60.0,1,right,H. Barnes 3PT  (8 PTS) (D. Mitchell 2 AST),"[203084, 1630558]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,23.34,Made,8.0,,,,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,
109,PT04M08.00S,2021-12-09T03:26:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,26,25,2021-12-09T03:26:34Z,1050000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,out,[],203084,,,1610612753,26,25,2021-12-09T03:29:39Z,1060000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,26,25,2021-12-09T03:29:39Z,1070000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,out,[],203914,,,1610612753,26,25,2021-12-09T03:29:39Z,1080000,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,26,25,2021-12-09T03:29:39Z,1090000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,out,[],1630175,,,1610612753,26,25,2021-12-09T03:29:39Z,1100000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,in,[],1628963,,,1610612753,26,25,2021-12-09T03:29:39Z,1110000,,,0,,SUB in: M. Bagley III,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,26,25,2021-12-09T03:29:39Z,1120000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,in,[],201577,,,1610612753,26,25,2021-12-09T03:29:39Z,1130000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,26,25,2021-12-09T03:29:39Z,1140000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M08.00S,2021-12-09T03:26:39.3Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,26,25,2021-12-09T03:29:39Z,1150000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M52.00S,2021-12-09T03:29:44.6Z,1,REGULAR,2pt,Jump Shot,[],203082,11.777266754270697,26.225490196078432,1610612753,26,27,2021-12-09T03:29:50Z,1160000,119.0,58.0,1,left,T. Ross 13' floating Jump Shot (4 PTS) (F. Wagner 2 AST),"[203082, 1630532]",1610612753.0,ORL,floating,,,Ross,T. Ross,,,,,13.24,Made,4.0,,,,F. Wagner,1630532.0,2.0,,,,,,,,,,,,
121,PT03M40.00S,2021-12-09T03:29:56.6Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.96780551905388,56.127450980392155,1610612758,26,27,2021-12-09T03:30:02Z,1170000,31.0,258.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
122,PT03M38.00S,2021-12-09T03:29:58.6Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612758,26,27,2021-12-09T03:30:02Z,1180000,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,121.0,1.0,0.0,1.0,,,,,,,
123,PT03M36.00S,2021-12-09T03:30:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,93.51182654402102,44.6078431372549,1610612758,28,27,2021-12-09T03:34:53Z,1190000,-27.0,8.0,1,right,M. Bagley III putback Layup (2 PTS),[1628963],1610612758.0,SAC,putback,,,Bagley III,M. Bagley III,,,,,2.83,Made,2.0,,,,,,,,,,,,,,,,,,
124,PT03M27.00S,2021-12-09T03:30:09.8Z,1,REGULAR,3pt,Jump Shot,[],203082,29.38567674113009,29.411764705882355,1610612753,28,30,2021-12-09T03:30:16Z,1200000,103.0,224.0,1,left,T. Ross 24' 3PT pullup (7 PTS),[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,24.62,Made,7.0,,,,,,,,,,,,,,,,,,
126,PT03M08.00S,2021-12-09T03:30:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,82.21090670170827,58.57843137254902,1610612758,28,30,2021-12-09T03:30:35Z,1220000,43.0,115.0,1,right,MISS D. Fox 12' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,12.25,Missed,,,,,,,,,,,,,,,,,,,
127,PT03M05.00S,2021-12-09T03:30:31.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,28,30,2021-12-09T03:30:35Z,1230000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,
128,PT02M59.00S,2021-12-09T03:30:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,28,30,2021-12-09T03:30:41Z,1240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M48.00S,2021-12-09T03:31:04.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,10.726018396846255,50.245098039215684,1610612753,28,32,2021-12-09T03:31:10Z,1250000,-1.0,48.0,1,left,R. Lopez Hook (2 PTS) (F. Wagner 3 AST),"[201577, 1630532]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,4.83,Made,2.0,,,,F. Wagner,1630532.0,3.0,,,,,,,,,,,,
131,PT02M35.00S,2021-12-09T03:31:17.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,92.19776609724047,2.696078431372549,1610612758,28,32,2021-12-09T03:31:21Z,1270000,-237.0,21.0,1,right,MISS B. Hield 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,23.74,Missed,,,,,,,,,,,,,,,,,,,
132,PT02M32.00S,2021-12-09T03:31:20.8Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,28,32,2021-12-09T03:31:21Z,1280000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,131.0,1.0,1.0,0.0,,,,,,,
133,PT02M30.00S,2021-12-09T03:31:22.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203082,33.459264126149804,54.65686274509803,1610612753,28,32,2021-12-09T03:31:33Z,1290000,-23.0,262.0,1,left,MISS T. Ross 26' running pullup 3PT,[203082],1610612753.0,ORL,running pullup,,,Ross,T. Ross,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
134,PT02M27.00S,2021-12-09T03:31:25.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,28,32,2021-12-09T03:31:33Z,1300000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,133.0,2.0,2.0,0.0,,,,,,,
135,PT02M19.00S,2021-12-09T03:31:37.2Z,1,REGULAR,foul,personal,[],1630181,,,1610612758,28,32,2021-12-09T03:32:01Z,1310000,,,0,,R. Hampton personal FOUL (1 PF),"[1630181, 1628963]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,1627529.0,,,,,1.0,0.0,Bagley III,1628963.0,,,
137,PT02M19.00S,2021-12-09T03:31:53.0Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,28,32,2021-12-09T03:31:56Z,1330000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M19.00S,2021-12-09T03:31:53.0Z,1,REGULAR,substitution,in,[],1630169,,,1610612758,28,32,2021-12-09T03:31:56Z,1340000,,,0,,SUB in: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M09.00S,2021-12-09T03:32:11.3Z,1,REGULAR,2pt,Jump Shot,[],1630558,89.30683311432325,13.970588235294118,1610612758,28,32,2021-12-09T03:37:37Z,1350000,-180.0,48.0,1,right,MISS D. Mitchell 18' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,18.64,Missed,,,,,,,,,,,,,,,,,,,
140,PT02M05.00S,2021-12-09T03:32:15.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,28,32,2021-12-09T03:32:32Z,1360000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,
141,PT01M46.00S,2021-12-09T03:32:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,6.652431011826544,42.40196078431372,1610612753,28,32,2021-12-09T03:32:44Z,1370000,38.0,10.0,1,left,MISS R. Hampton driving Layup,[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,3.93,Missed,,,,,,,,,,,,,,,,,,,
142,PT01M44.00S,2021-12-09T03:32:35.9Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,28,32,2021-12-09T03:32:44Z,1380000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,,
143,PT01M37.00S,2021-12-09T03:32:43.4Z,1,REGULAR,2pt,Jump Shot,[],1630558,75.50919842312747,27.941176470588236,1610612758,30,32,2021-12-09T03:32:48Z,1390000,-110.0,178.0,1,right,D. Mitchell 20' pullup Jump Shot (4 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,20.91,Made,4.0,,,,,,,,,,,,,,,,,,
144,PT01M19.00S,2021-12-09T03:33:02.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,11.514454664914586,45.588235294117645,1610612753,30,34,2021-12-09T03:33:07Z,1400000,22.0,56.0,1,left,R. Lopez Hook (4 PTS) (C. Okeke 1 AST),"[201577, 1629643]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,5.99,Made,4.0,,,,C. Okeke,1629643.0,1.0,,,,,,,,,,,,
146,PT01M03.00S,2021-12-09T03:33:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.38042049934296,44.85294117647059,1610612758,32,34,2021-12-09T03:33:24Z,1420000,-26.0,10.0,1,right,B. Hield driving Layup (2 PTS) (T. Haliburton 3 AST),"[1627741, 1630169]",1610612758.0,SAC,driving,,,Hield,B. Hield,,,,,2.75,Made,2.0,,,,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,
148,PT00M44.00S,2021-12-09T03:33:40.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,32,34,2021-12-09T03:33:40Z,1440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M43.20S,2021-12-09T03:34:00.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,32,34,2021-12-09T03:34:00Z,1450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M38.00S,2021-12-09T03:34:17.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,32,34,2021-12-09T03:34:24Z,1460000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,202049.0,,,,,,,,,,,
151,PT00M29.50S,2021-12-09T03:34:38.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628963,72.22404730617609,81.37254901960785,1610612758,35,34,2021-12-09T03:34:43Z,1470000,157.0,209.0,1,right,M. Bagley III 26' 3PT  (5 PTS) (D. Mitchell 3 AST),"[1628963, 1630558]",1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,26.1,Made,5.0,,,,D. Mitchell,1630558.0,3.0,,,,,,,,,,,,
153,PT00M11.00S,2021-12-09T03:35:07.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203458,,,1610612753,35,34,2021-12-09T03:35:16Z,1490000,,,0,,A. Len shooting personal FOUL (1 PF) (Wagner 2 FT),"[203458, 1630532]",1610612758.0,SAC,shooting,,,Len,A. Len,,,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Wagner,1630532.0,,,
155,PT00M11.00S,2021-12-09T03:35:28.2Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,35,35,2021-12-09T03:35:28Z,1510000,,,0,,F. Wagner Free Throw 1 of 2 (6 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
156,PT00M11.00S,2021-12-09T03:35:40.4Z,1,REGULAR,substitution,out,[],201577,,,1610612753,35,35,2021-12-09T03:35:50Z,1520000,,,0,,SUB out: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M11.00S,2021-12-09T03:35:40.4Z,1,REGULAR,substitution,in,[],1629021,,,1610612753,35,35,2021-12-09T03:35:50Z,1530000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M11.00S,2021-12-09T03:36:00.3Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,35,36,2021-12-09T03:36:00Z,1540000,,,0,,F. Wagner Free Throw 2 of 2 (7 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
159,PT00M02.80S,2021-12-09T03:36:10.9Z,1,REGULAR,3pt,Jump Shot,[],1628963,92.72339027595268,4.411764705882353,1610612758,38,36,2021-12-09T03:36:15Z,1550000,-228.0,16.0,1,right,M. Bagley III 3PT  (8 PTS) (T. Haliburton 4 AST),"[1628963, 1630169]",1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,22.85,Made,8.0,,,,T. Haliburton,1630169.0,4.0,,,,,,,,,,,,
161,PT00M00.10S,2021-12-09T03:36:19.7Z,1,REGULAR,3pt,Jump Shot,[],203082,54.61563731931669,87.74509803921569,1610612753,38,36,2021-12-09T03:36:57Z,1570000,-189.0,461.0,1,left,MISS T. Ross 49' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,49.8,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M00.10S,2021-12-09T03:36:19.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,38,36,2021-12-09T03:36:57Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,
163,PT00M00.00S,2021-12-09T03:36:24.2Z,1,REGULAR,period,end,[],0,,,1610612753,38,36,2021-12-09T03:36:24Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-12-09T03:38:43.1Z,2,REGULAR,substitution,out,['startperiod'],1629021,,,1610612753,38,36,2021-12-09T03:39:00Z,1600000,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-12-09T03:38:43.1Z,2,REGULAR,substitution,in,['startperiod'],201577,,,1610612753,38,36,2021-12-09T03:39:00Z,1610000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-09T03:38:59.8Z,2,REGULAR,period,start,[],0,,,1610612753,38,36,2021-12-09T03:39:00Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M40.00S,2021-12-09T03:39:18.2Z,2,REGULAR,2pt,Jump Shot,[],1630532,13.61695137976347,68.38235294117648,1610612753,38,36,2021-12-09T03:39:29Z,1630000,-92.0,75.0,1,left,MISS F. Wagner 11' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,11.89,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M37.00S,2021-12-09T03:39:21.2Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612758,38,36,2021-12-09T03:39:29Z,1640000,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,167.0,2.0,1.0,1.0,,,,,,,
169,PT11M23.00S,2021-12-09T03:39:35.6Z,2,REGULAR,3pt,Jump Shot,[],1630169,77.08607095926413,8.57843137254902,1610612758,38,36,2021-12-09T03:39:44Z,1650000,-207.0,163.0,1,right,MISS T. Haliburton 26' 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,,
170,PT11M22.00S,2021-12-09T03:39:36.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612753,38,36,2021-12-09T03:39:44Z,1660000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,
171,PT11M22.00S,2021-12-09T03:39:42.7Z,2,REGULAR,foul,personal,[],203458,,,1610612753,38,36,2021-12-09T03:40:00Z,1670000,,,0,,A. Len loose ball personal FOUL (2 PF),"[203458, 201577]",1610612758.0,SAC,loose ball,,,Len,A. Len,,,,,,,,,,,,,,202049.0,,,,,2.0,0.0,Lopez,201577.0,,,
173,PT11M07.00S,2021-12-09T03:40:07.1Z,2,REGULAR,3pt,Jump Shot,[],203082,25.969119579500656,85.5392156862745,1610612753,38,36,2021-12-09T03:40:14Z,1690000,-178.0,192.0,1,left,MISS T. Ross 26' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
174,PT11M02.00S,2021-12-09T03:40:12.1Z,2,REGULAR,rebound,defensive,[],1627741,,,1610612758,38,36,2021-12-09T03:40:14Z,1700000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,
175,PT10M53.00S,2021-12-09T03:40:21.2Z,2,REGULAR,3pt,Jump Shot,[],1627741,67.49342969776609,38.970588235294116,1610612758,41,36,2021-12-09T03:40:27Z,1710000,-55.0,253.0,1,right,B. Hield 25' 3PT  (5 PTS) (T. Haliburton 5 AST),"[1627741, 1630169]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,25.9,Made,5.0,,,,T. Haliburton,1630169.0,5.0,,,,,,,,,,,,
177,PT10M38.00S,2021-12-09T03:40:35.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,10.988830486202366,50.0,1610612753,41,36,2021-12-09T03:45:18Z,1730000,0.0,51.0,1,left,MISS F. Wagner driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,5.08,Missed,,,,,,,,,,,,,,,,,,,
178,PT10M36.00S,2021-12-09T03:40:37.9Z,2,REGULAR,rebound,offensive,[],201577,,,1610612753,41,36,2021-12-09T03:45:18Z,1740000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,177.0,1.0,0.0,1.0,,,,,,,
179,PT10M32.00S,2021-12-09T03:40:45.4Z,2,REGULAR,foul,personal,['2freethrow'],203458,,,1610612753,41,36,2021-12-09T03:40:58Z,1750000,,,0,,A. Len shooting personal FOUL (3 PF) (Hampton 2 FT),"[203458, 1630181]",1610612758.0,SAC,shooting,,,Len,A. Len,,,,,,,,,,,,,,1627529.0,,,,,3.0,0.0,Hampton,1630181.0,,,
181,PT10M32.00S,2021-12-09T03:41:06.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630181,,,1610612753,41,36,2021-12-09T03:41:06Z,1770000,,,0,,MISS R. Hampton Free Throw 1 of 2,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
182,PT10M32.00S,2021-12-09T03:41:06.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,41,36,2021-12-09T03:41:06Z,1780000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,
183,PT10M32.00S,2021-12-09T03:41:08.8Z,2,REGULAR,substitution,out,[],203458,,,1610612753,41,36,2021-12-09T03:41:12Z,1790000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
