actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
87,PT03M12.00S,2021-11-21T03:24:41.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,29.77989487516426,22.54901960784314,1610612762,19,22,2021-11-21T03:24:47Z,870000,137.0,227.0,1,left,MISS R. O'Neale 26' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,,
88,PT03M08.00S,2021-11-21T03:24:45.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,19,22,2021-11-21T03:24:45Z,880000,,,0,,H. Barnes REBOUND (Off:0 Def:3),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,87.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
89,PT03M05.00S,2021-11-21T03:24:48.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203084,93.9060446780552,46.568627450980394,1610612758,21,22,2021-11-21T03:33:56Z,890000,-17.0,5.0,1,right,H. Barnes running finger roll Layup (9 PTS),[203084],1610612758.0,SAC,running finger roll,,,Barnes,H. Barnes,,,,,1.79,Made,,,,,,,9.0,,,,,,,,,,,,
90,PT03M05.00S,2021-11-21T03:24:56.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,21,22,2021-11-21T03:24:56Z,900000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,out,[],1628368,,,1610612762,21,22,2021-11-21T03:27:54Z,910000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,out,[],202355,,,1610612762,21,22,2021-11-21T03:27:54Z,920000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,out,[],1626220,,,1610612762,21,22,2021-11-21T03:27:54Z,930000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,out,[],202711,,,1610612762,21,22,2021-11-21T03:27:54Z,940000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,out,[],1628378,,,1610612762,21,22,2021-11-21T03:27:54Z,950000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612762,21,22,2021-11-21T03:27:54Z,960000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,in,[],203903,,,1610612762,21,22,2021-11-21T03:27:54Z,970000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,in,[],200752,,,1610612762,21,22,2021-11-21T03:27:54Z,980000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,in,[],201144,,,1610612762,21,22,2021-11-21T03:27:54Z,990000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M05.00S,2021-11-21T03:24:58.6Z,1,REGULAR,substitution,in,[],203497,,,1610612762,21,22,2021-11-21T03:27:54Z,1000000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M51.00S,2021-11-21T03:28:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,16.245072273324574,47.549019607843135,1610612762,21,24,2021-11-21T03:34:29Z,1010000,12.0,100.0,1,left,M. Conley 10' driving floating Jump Shot (10 PTS),[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,10.1,Made,,,,,,,10.0,,,,,,,,,,,,
103,PT02M29.00S,2021-11-21T03:28:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,84.05059132720105,45.588235294117645,1610612758,23,24,2021-11-21T03:35:00Z,1020000,-22.0,97.0,1,right,A. Len 9' floating Jump Shot (2 PTS) (D. Mitchell 1 AST),"[203458, 1630558]",1610612758.0,SAC,floating,,,Len,A. Len,,,,,9.99,Made,,,,,,,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,
105,PT02M13.00S,2021-11-21T03:28:46.3Z,1,REGULAR,3pt,Jump Shot,[],203903,5.469776609724048,95.58823529411765,1610612762,23,27,2021-11-21T03:28:52Z,1040000,-228.0,-1.0,1,left,J. Clarkson 3PT  (3 PTS) (R. Gobert 1 AST),"[203903, 203497]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,22.79,Made,,,,,,,3.0,R. Gobert,203497.0,1.0,,,,,,,,,
107,PT02M03.00S,2021-11-21T03:28:55.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630558,67.23061760840999,48.529411764705884,1610612758,26,27,2021-11-21T03:35:38Z,1060000,-7.0,256.0,1,right,D. Mitchell 25' 3PT pullup (3 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,25.56,Made,,,,,,,3.0,,,,,,,,,,,,
108,PT01M47.00S,2021-11-21T03:29:12.0Z,1,REGULAR,2pt,Jump Shot,[],201144,13.61695137976347,71.81372549019608,1610612762,26,27,2021-11-21T03:35:59Z,1070000,-109.0,75.0,1,left,MISS M. Conley 13' step back Shot,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,13.27,Missed,,,,,,,,,,,,,,,,,,,
109,PT01M44.00S,2021-11-21T03:29:15.0Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,26,27,2021-11-21T03:29:20Z,1080000,,,0,,A. Len REBOUND (Off:0 Def:4),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,108.0,,,4.0,4.0,0.0,,,,,,,,,,,,,
110,PT01M33.00S,2021-11-21T03:29:26.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203458,85.49605781865965,50.49019607843137,1610612758,26,27,2021-11-21T03:36:27Z,1090000,2.0,84.0,1,right,MISS A. Len 8' turnaround Hook,[203458],1610612758.0,SAC,turnaround,,,Len,A. Len,,,,,8.38,Missed,,,,,,,,,,,,,,,,,,,
111,PT01M31.00S,2021-11-21T03:29:28.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,26,27,2021-11-21T03:29:32Z,1100000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,110.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
112,PT01M23.00S,2021-11-21T03:29:37.2Z,1,REGULAR,3pt,Jump Shot,[],203903,23.603810775295663,84.06862745098039,1610612762,26,27,2021-11-21T03:37:00Z,1110000,-170.0,169.0,1,left,MISS J. Clarkson 24' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,24.02,Missed,,,,,,,,,,,,,,,,,,,
113,PT01M18.00S,2021-11-21T03:29:42.2Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,26,27,2021-11-21T03:29:43Z,1120000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,112.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
114,PT01M14.00S,2021-11-21T03:29:44.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630558,93.38042049934296,45.83333333333333,1610612758,28,27,2021-11-21T05:06:35Z,1130000,-21.0,10.0,1,right,D. Mitchell running Layup (5 PTS) (M. Harkless 1 AST),"[1630558, 203090]",1610612758.0,SAC,running,,,Mitchell,D. Mitchell,,,,,2.3,Made,,,,,,,5.0,M. Harkless,203090.0,1.0,,,,,,,,,
116,PT00M50.00S,2021-11-21T03:30:16.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,28,27,2021-11-21T03:30:16Z,1150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT00M50.00S,2021-11-21T03:30:17.9Z,1,REGULAR,substitution,out,[],203458,,,1610612762,28,27,2021-11-21T03:30:22Z,1160000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT00M50.00S,2021-11-21T03:30:17.9Z,1,REGULAR,substitution,in,[],1626158,,,1610612762,28,27,2021-11-21T03:30:22Z,1170000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT00M45.80S,2021-11-21T03:30:45.2Z,1,REGULAR,3pt,Jump Shot,[],204060,17.296320630749015,92.8921568627451,1610612762,28,27,2021-11-21T03:30:51Z,1180000,-214.0,110.0,1,left,MISS J. Ingles 24' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,,
120,PT00M43.10S,2021-11-21T03:30:47.9Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,28,27,2021-11-21T03:30:51Z,1190000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,119.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
121,PT00M34.20S,2021-11-21T03:30:59.5Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612758,28,27,2021-11-21T03:31:14Z,1200000,,,0,,B. Hield bad pass out-of-bounds TURNOVER (1 TO),[1627741],1610612758.0,SAC,bad pass,,,Hield,B. Hield,,,,,,,,,,,,,,,,,1628159.0,,,,,1.0,,,
122,PT00M26.40S,2021-11-21T03:31:20.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,28,27,2021-11-21T03:31:20Z,1210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT00M14.80S,2021-11-21T03:31:45.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201144,17.559132720105126,42.64705882352941,1610612762,28,29,2021-11-21T03:31:53Z,1220000,37.0,113.0,1,left,M. Conley 11' pullup Jump Shot (12 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,11.85,Made,,,,,,,12.0,,,,,,,,,,,,
124,PT00M01.80S,2021-11-21T03:32:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,83.52496714848883,56.372549019607845,1610612758,28,29,2021-11-21T03:32:08Z,1230000,32.0,102.0,1,right,MISS D. Mitchell 10' floating Shot,[1630558],1610612758.0,SAC,floating,,,Mitchell,D. Mitchell,,,,,10.73,Missed,,,,,,,,,,,,,,,,,,,
125,PT00M01.80S,2021-11-21T03:32:00.7Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,28,29,2021-11-21T03:32:08Z,1240000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,124.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
126,PT00M00.00S,2021-11-21T03:32:07.5Z,1,REGULAR,period,end,[],0,,,1610612762,28,29,2021-11-21T03:32:07Z,1250000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT12M00.00S,2021-11-21T03:32:51.4Z,2,REGULAR,substitution,out,['startperiod'],1627741,,,1610612762,28,29,2021-11-21T03:34:51Z,1260000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT12M00.00S,2021-11-21T03:32:51.4Z,2,REGULAR,substitution,out,['startperiod'],203084,,,1610612762,28,29,2021-11-21T03:34:51Z,1270000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT12M00.00S,2021-11-21T03:32:51.4Z,2,REGULAR,substitution,in,['startperiod'],1629002,,,1610612762,28,29,2021-11-21T03:34:51Z,1280000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT12M00.00S,2021-11-21T03:32:51.4Z,2,REGULAR,substitution,in,['startperiod'],1630169,,,1610612762,28,29,2021-11-21T03:34:51Z,1290000,,,0,,SUB in: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT12M00.00S,2021-11-21T03:34:53.2Z,2,REGULAR,period,start,[],0,,,1610612762,28,29,2021-11-21T03:34:53Z,1300000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT11M46.00S,2021-11-21T03:35:05.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201144,9.543363994743759,42.15686274509804,1610612762,28,29,2021-11-21T03:35:12Z,1310000,39.0,37.0,1,left,MISS M. Conley driving Layup,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,5.4,Missed,,,,,,,,,,,,,,,,,,,
133,PT11M44.00S,2021-11-21T03:35:07.6Z,2,REGULAR,rebound,defensive,[],1629002,,,1610612758,28,29,2021-11-21T03:35:12Z,1320000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,132.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
134,PT11M40.00S,2021-11-21T03:35:13.8Z,2,REGULAR,foul,personal,['2freethrow'],203903,,,1610612758,28,29,2021-11-21T03:35:32Z,1330000,,,0,,J. Clarkson shooting personal FOUL (1 PF) (Mitchell 2 FT),"[203903, 1630558]",1610612762.0,UTA,shooting,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Mitchell,1630558.0,,,,
136,PT11M40.00S,2021-11-21T03:35:38.2Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630558,,,1610612758,28,29,2021-11-21T03:35:38Z,1350000,,,0,,MISS D. Mitchell Free Throw 1 of 2,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
137,PT11M40.00S,2021-11-21T03:35:38.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,28,29,2021-11-21T03:35:38Z,1360000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,
138,PT11M40.00S,2021-11-21T03:35:53.2Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630558,,,1610612758,29,29,2021-11-21T03:35:53Z,1370000,,,0,,D. Mitchell Free Throw 2 of 2 (6 PTS),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
139,PT11M28.00S,2021-11-21T03:36:06.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,5.995400788436268,52.450980392156865,1610612762,29,29,2021-11-21T03:39:34Z,1380000,-12.0,4.0,1,left,MISS R. Gobert cutting DUNK - blocked,"[203497, 1626158]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,1.29,Missed,,Holmes,1626158.0,,,,,,,,,,,,,,,,
140,PT11M28.00S,2021-11-21T03:36:06.8Z,2,REGULAR,block,,[],1626158,,,1610612762,29,29,2021-11-21T03:36:10Z,1390000,,,0,,R. Holmes BLOCK (1 BLK),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT11M24.00S,2021-11-21T03:36:10.8Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,29,29,2021-11-21T03:38:11Z,1400000,,,0,,J. Clarkson REBOUND (Off:1 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,139.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
142,PT11M20.00S,2021-11-21T03:36:15.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,6.389618922470433,44.36274509803921,1610612762,29,29,2021-11-21T05:05:40Z,1410000,28.0,8.0,1,left,MISS J. Clarkson driving finger roll Layup,[203903],1610612762.0,UTA,driving finger roll,,,Clarkson,J. Clarkson,,,,,2.92,Missed,,,,,,,,,,,,,,,,,,,
143,PT11M17.00S,2021-11-21T03:36:18.0Z,2,REGULAR,rebound,defensive,[],1629002,,,1610612758,29,29,2021-11-21T03:36:31Z,1420000,,,0,,C. Metu REBOUND (Off:0 Def:2),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,142.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
144,PT11M08.00S,2021-11-21T03:36:40.2Z,2,REGULAR,foul,personal,['2freethrow'],203497,,,1610612758,29,29,2021-11-21T03:36:57Z,1430000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Holmes 2 FT),"[203497, 1626158]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Holmes,1626158.0,,,,
146,PT11M08.00S,2021-11-21T03:36:58.6Z,2,REGULAR,freethrow,1 of 2,[],1626158,,,1610612758,29,29,2021-11-21T03:36:58Z,1450000,,,0,,MISS R. Holmes Free Throw 1 of 2,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
147,PT11M08.00S,2021-11-21T03:36:58.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,29,29,2021-11-21T03:36:58Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,
148,PT11M08.00S,2021-11-21T03:37:21.3Z,2,REGULAR,freethrow,2 of 2,[],1626158,,,1610612758,30,29,2021-11-21T03:37:21Z,1470000,,,0,,R. Holmes Free Throw 2 of 2 (5 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
149,PT10M55.00S,2021-11-21T03:37:36.1Z,2,REGULAR,3pt,Jump Shot,[],200752,22.815374507227332,10.049019607843137,1610612762,30,29,2021-11-21T03:37:44Z,1480000,200.0,162.0,1,left,MISS R. Gay 25' 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
150,PT10M51.00S,2021-11-21T03:37:40.1Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,30,29,2021-11-21T03:37:44Z,1490000,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,149.0,,,4.0,3.0,1.0,,,,,,,,,,,,,
151,PT10M49.00S,2021-11-21T03:37:41.3Z,2,REGULAR,turnover,lost ball,[],203497,,,1610612762,30,29,2021-11-21T03:37:53Z,1500000,,,0,,R. Gobert lost ball TURNOVER (1 TO),"[203497, 1630169]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
152,PT10M49.00S,2021-11-21T03:37:41.3Z,2,REGULAR,steal,,[],1630169,,,1610612758,30,29,2021-11-21T03:37:44Z,1510000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT10M40.00S,2021-11-21T03:37:50.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630169,81.94809461235218,39.705882352941174,1610612758,32,29,2021-11-21T03:42:04Z,1520000,-51.0,117.0,1,right,T. Haliburton 12' driving floating Jump Shot (2 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,12.8,Made,,,,,,,2.0,,,,,,,,,,,,
154,PT10M29.00S,2021-11-21T03:38:05.5Z,2,REGULAR,foul,personal,[],1630169,,,1610612762,32,29,2021-11-21T03:43:13Z,1530000,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 203497]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Gobert,203497.0,,,,
156,PT10M29.00S,2021-11-21T03:38:24.5Z,2,REGULAR,foul,technical,['1freethrow'],204012,,,1610612762,32,29,2021-11-21T03:43:59Z,1550000,,,0,,TEAM foul technical,[204012],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,202027.0,,,,,,,,
157,PT10M29.00S,2021-11-21T03:38:35.4Z,2,REGULAR,freethrow,1 of 1,[],203903,,,1610612762,32,30,2021-11-21T03:38:35Z,1560000,,,0,,J. Clarkson technical Free Throw 1 of 1 (4 PTS),[203903],1610612762.0,UTA,technical,,,Clarkson,J. Clarkson,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
158,PT10M21.00S,2021-11-21T03:39:00.5Z,2,REGULAR,turnover,bad pass,[],201144,,,1610612762,32,30,2021-11-21T03:39:15Z,1570000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203090]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,1.0,Harkless,203090.0,
159,PT10M21.00S,2021-11-21T03:39:00.5Z,2,REGULAR,steal,,[],203090,,,1610612758,32,30,2021-11-21T03:39:04Z,1580000,,,0,,M. Harkless STEAL (1 STL),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M21.00S,2021-11-21T03:39:07.2Z,2,REGULAR,foul,personal,[],204060,,,1610612758,32,30,2021-11-21T03:44:12Z,1590000,,,0,,J. Ingles take personal FOUL (1 PF),"[204060, 203090]",1610612762.0,UTA,take,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Harkless,203090.0,,,,
162,PT10M21.00S,2021-11-21T03:39:16.3Z,2,REGULAR,substitution,out,[],201144,,,1610612758,32,30,2021-11-21T03:39:26Z,1610000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT10M21.00S,2021-11-21T03:39:16.3Z,2,REGULAR,substitution,in,[],1630235,,,1610612758,32,30,2021-11-21T03:39:26Z,1620000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M12.00S,2021-11-21T03:39:40.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629002,91.14651773981603,48.77450980392157,1610612758,32,30,2021-11-21T03:39:49Z,1630000,-6.0,31.0,1,right,MISS C. Metu driving DUNK,[1629002],1610612758.0,SAC,driving,,,Metu,C. Metu,,,,,3.13,Missed,,,,,,,,,,,,,,,,,,,
165,PT10M09.00S,2021-11-21T03:39:43.1Z,2,REGULAR,rebound,offensive,[],1630558,,,1610612758,32,30,2021-11-21T03:39:43Z,1640000,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,164.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
166,PT10M04.00S,2021-11-21T03:39:48.3Z,2,REGULAR,turnover,bad pass,[],1630558,,,1610612758,32,30,2021-11-21T03:39:54Z,1650000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1630558, 204060]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,1.0,Ingles,204060.0,
167,PT10M04.00S,2021-11-21T03:39:48.3Z,2,REGULAR,steal,,[],204060,,,1610612762,32,30,2021-11-21T03:39:50Z,1660000,,,0,,J. Ingles STEAL (1 STL),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT09M46.00S,2021-11-21T03:40:06.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],200752,25.443495400788436,55.63725490196079,1610612762,32,30,2021-11-21T03:45:17Z,1670000,-28.0,187.0,1,left,MISS R. Gay 18' step back Shot,[200752],1610612762.0,UTA,step back,,,Gay,R. Gay,,,,,18.88,Missed,,,,,,,,,,,,,,,,,,,
169,PT09M42.00S,2021-11-21T03:40:10.0Z,2,REGULAR,rebound,defensive,[],1629002,,,1610612758,32,30,2021-11-21T03:40:16Z,1680000,,,0,,C. Metu REBOUND (Off:0 Def:3),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,168.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
170,PT09M34.00S,2021-11-21T03:40:18.2Z,2,REGULAR,3pt,Jump Shot,[],1629002,71.69842312746385,76.9607843137255,1610612758,32,30,2021-11-21T03:40:26Z,1690000,135.0,214.0,1,right,MISS C. Metu 25' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
171,PT09M30.00S,2021-11-21T03:40:22.2Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,32,30,2021-11-21T03:40:26Z,1700000,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,170.0,,,5.0,4.0,1.0,,,,,,,,,,,,,
172,PT09M21.00S,2021-11-21T03:40:31.0Z,2,REGULAR,3pt,Jump Shot,[],204060,26.49474375821288,81.61764705882352,1610612762,32,33,2021-11-21T03:40:38Z,1710000,-158.0,197.0,1,left,J. Ingles 25' 3PT pullup (3 PTS),[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,25.23,Made,,,,,,,3.0,,,,,,,,,,,,
