actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
447,PT06M18.00S,2026-02-25T01:42:51.3Z,3,REGULAR,substitution,in,[],1629614,,,1610612755,77,86,2026-02-25T01:43:13Z,4330000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT06M12.00S,2026-02-25T01:43:37.1Z,3,REGULAR,3pt,Jump Shot,[],1642845,65.65374507227332,63.725490196078425,1610612755,77,86,2026-02-25T01:44:27Z,4340000,False,69.0,270.0,1,right,MISS V. Edgecombe 27' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,27.9,Missed,,,,,,,,,,,,,,,,,,
449,PT06M10.00S,2026-02-25T01:43:39.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612754,77,86,2026-02-25T01:43:39Z,4350000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,448.0,,,,,,,,,,,,,
451,PT05M53.00S,2026-02-25T01:44:01.0Z,3,REGULAR,3pt,Jump Shot,[],1630643,34.510512483574246,51.9607843137255,1610612754,77,86,2026-02-25T01:44:05Z,4370000,False,-10.0,272.0,1,left,MISS J. Huff 27' 3PT,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,27.21,Missed,,,,,,,,,,,,,,,,,,
452,PT05M49.00S,2026-02-25T01:44:05.0Z,3,REGULAR,rebound,defensive,[],1642845,,,1610612755,77,86,2026-02-25T01:44:05Z,4380000,False,,,0,,V. Edgecombe REBOUND (Off:1 Def:4),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,,,,,,,451.0,5.0,4.0,1.0,,,,,,,,,,
453,PT05M36.00S,2026-02-25T01:44:18.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,94.82588699080158,50.0,1610612755,77,88,2026-02-25T01:44:22Z,4390000,False,0.0,-4.0,1,right,T. Maxey driving floating bank Jump Shot (23 PTS),[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.39,Made,23.0,,,,,,,,,,,,,,,,,
454,PT05M17.00S,2026-02-25T01:44:36.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,17.69053876478318,41.66666666666667,1610612754,79,88,2026-02-25T01:44:39Z,4400000,False,42.0,114.0,1,left,A. Nembhard 12' driving floating Jump Shot (21 PTS) (J. Huff 4 AST),"[1629614, 1630643]",1610612754.0,IND,driving floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,12.12,Made,21.0,J. Huff,1630643.0,4.0,,,,,,,,,,,,,,
456,PT05M00.00S,2026-02-25T01:44:52.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,87.86136662286465,51.470588235294116,1610612755,79,88,2026-02-25T01:44:57Z,4420000,False,7.0,62.0,1,right,MISS T. Maxey 6' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,,,,,,,,,,,,
457,PT04M57.00S,2026-02-25T01:44:55.5Z,3,REGULAR,rebound,defensive,[],1641767,,,1610612754,79,88,2026-02-25T01:44:57Z,4430000,False,,,0,,B. Sheppard REBOUND (Off:1 Def:2),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,456.0,3.0,2.0,1.0,,,,,,,,,,
458,PT04M52.00S,2026-02-25T01:45:01.2Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629614,16.113666228646515,43.38235294117647,1610612754,81,88,2026-02-25T01:45:05Z,4440000,False,33.0,99.0,1,left,A. Nembhard 10' running pullup Jump Shot (23 PTS),[1629614],1610612754.0,IND,running pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,10.44,Made,23.0,,,,,,,,,,,,,,,,,
