actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
82,PT06M56.00S,2025-11-04T00:23:52.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,17,2025-11-04T00:23:53Z,820000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,81.0,5.0,4.0,1.0,,,,,,,,,,,,
83,PT06M49.00S,2025-11-04T00:23:58.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.30946123521682,50.98039215686274,1610612749,9,19,2025-11-04T00:24:10Z,830000,False,-5.0,16.0,1,left,G. Antetokounmpo driving DUNK (6 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.69,Made,,,,,,,,,,,,,,,6.0,,,
84,PT06M47.00S,2025-11-04T00:24:05.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,9,19,2025-11-04T00:24:05Z,840000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M47.00S,2025-11-04T00:26:03.5Z,1,REGULAR,substitution,out,[],1641716,,,1610612754,9,19,2025-11-04T00:26:38Z,850000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M47.00S,2025-11-04T00:26:03.5Z,1,REGULAR,substitution,in,[],1642277,,,1610612754,9,19,2025-11-04T00:26:38Z,860000,False,,,0,,SUB in: J. Furphy,[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M31.00S,2025-11-04T00:27:17.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,92.72339027595268,51.225490196078425,1610612754,11,19,2025-11-04T00:27:25Z,870000,False,6.0,16.0,1,right,I. Jackson cutting DUNK (6 PTS) (Q. Jackson 1 AST),"[1630543, 1631245]",1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,,,,,,,,,,,6.0,Q. Jackson,1631245.0,1.0
89,PT06M13.00S,2025-11-04T00:27:36.5Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,11,19,2025-11-04T00:27:39Z,890000,False,,,0,,G. Antetokounmpo lost ball TURNOVER (2 TO),"[203507, 1627783]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2.0,Siakam,1627783.0,,,,
90,PT06M13.00S,2025-11-04T00:27:36.5Z,1,REGULAR,steal,,[],1627783,,,1610612754,11,19,2025-11-04T00:27:37Z,900000,False,,,0,,P. Siakam STEAL (3 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT05M58.00S,2025-11-04T00:27:49.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630543,90.09526938239159,48.28431372549019,1610612754,11,19,2025-11-04T01:30:24Z,910000,False,-9.0,41.0,1,right,MISS I. Jackson driving floating Shot,[1630543],1610612754.0,IND,driving floating,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,4.15,Missed,,,,,,,,,,,,,,,,,,
93,PT05M56.00S,2025-11-04T00:27:51.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,11,19,2025-11-04T00:27:53Z,930000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,91.0,6.0,5.0,1.0,,,,,,,,,,,,
94,PT05M51.00S,2025-11-04T00:27:58.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631260,17.296320630749015,3.1862745098039214,1610612749,11,19,2025-11-04T00:28:06Z,940000,False,234.0,110.0,1,left,MISS A. Green 25' running pullup 3PT,[1631260],1610612749.0,MIL,running pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
95,PT05M46.00S,2025-11-04T00:28:03.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,11,19,2025-11-04T00:28:06Z,950000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,
96,PT05M37.00S,2025-11-04T00:28:13.3Z,1,REGULAR,foul,personal,[],1631260,,,1610612754,11,19,2025-11-04T00:28:25Z,960000,False,,,0,,A. Green personal FOUL (2 PF),"[1631260, 1631245]",1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,101284.0,2.0,0.0,Jackson,1631245.0,,,,,,,
98,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,out,[],1630543,,,1610612754,11,19,2025-11-04T00:28:42Z,980000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,11,19,2025-11-04T00:28:42Z,990000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,out,[],1631260,,,1610612754,11,19,2025-11-04T00:28:42Z,1000000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,in,[],1628396,,,1610612754,11,19,2025-11-04T00:28:42Z,1010000,False,,,0,,SUB in: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,in,[],1641716,,,1610612754,11,19,2025-11-04T00:28:42Z,1020000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M37.00S,2025-11-04T00:28:19.7Z,1,REGULAR,substitution,in,[],1627752,,,1610612754,11,19,2025-11-04T00:28:42Z,1030000,False,,,0,,SUB in: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M26.00S,2025-11-04T00:28:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,81.42247043363994,41.66666666666667,1610612754,11,19,2025-11-04T00:29:04Z,1040000,False,-42.0,122.0,1,right,MISS A. Nesmith 12' turnaround fadeaway Shot,[1630174],1610612754.0,IND,turnaround fadeaway,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,12.9,Missed,,,,,,,,,,,,,,,,,,
105,PT05M23.00S,2025-11-04T00:29:02.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,11,19,2025-11-04T00:29:17Z,1050000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,104.0,2.0,2.0,0.0,,,,,,,,,,,,
106,PT05M16.00S,2025-11-04T00:29:09.4Z,1,REGULAR,3pt,Jump Shot,[],1629018,17.821944809461236,5.88235294117647,1610612749,11,22,2025-11-04T00:29:13Z,1060000,False,221.0,115.0,1,left,G. Trent Jr. 24' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[1629018, 203507]",1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,24.88,Made,,,,,,,,,,,,,,,6.0,G. Antetokounmpo,203507.0,1.0
109,PT05M06.00S,2025-11-04T00:29:25.6Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612754,11,22,2025-11-04T00:29:30Z,1090000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Jackson 2 FT),"[1627752, 1631245]",1610612749.0,MIL,shooting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,1627529.0,1.0,0.0,Jackson,1631245.0,,,,,,,
111,PT05M06.00S,2025-11-04T00:29:55.5Z,1,REGULAR,freethrow,1 of 2,[],1631245,,,1610612754,12,22,2025-11-04T00:29:55Z,1110000,False,,,0,,Q. Jackson Free Throw 1 of 2 (1 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
112,PT05M06.00S,2025-11-04T00:30:11.8Z,1,REGULAR,freethrow,2 of 2,[],1631245,,,1610612754,13,22,2025-11-04T00:30:11Z,1120000,False,,,0,,Q. Jackson Free Throw 2 of 2 (2 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
114,PT05M06.00S,2025-11-04T00:30:27.0Z,1,REGULAR,foul,personal,['1freethrow'],1631245,,,1610612749,13,22,2025-11-04T00:31:39Z,1140000,False,,,0,,Q. Jackson away-from-play personal FOUL (1 PF) (Rollins 1 FT),"[1631245, 1631157]",1610612754.0,IND,away-from-play,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,101284.0,1.0,0.0,Rollins,1631157.0,,,,,,,
117,PT05M06.00S,2025-11-04T00:32:03.2Z,1,REGULAR,freethrow,1 of 1,[],1631157,,,1610612749,13,22,2025-11-04T00:32:03Z,1170000,False,,,0,,MISS R. Rollins away-from-play Free Throw 1 of 1,[1631157],1610612749.0,MIL,away-from-play,,,Rollins,R. Rollins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
118,PT05M06.00S,2025-11-04T00:32:03.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,13,22,2025-11-04T00:32:07Z,1180000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,
119,PT05M06.00S,2025-11-04T00:32:06.4Z,1,REGULAR,substitution,out,[],1631245,,,1610612749,13,22,2025-11-04T00:32:08Z,1190000,False,,,0,,SUB out: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT05M06.00S,2025-11-04T00:32:06.4Z,1,REGULAR,substitution,in,[],1642484,,,1610612749,13,22,2025-11-04T00:32:08Z,1200000,False,,,0,,SUB in: R. Dennis,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M58.00S,2025-11-04T00:32:28.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,33.85348226018397,57.107843137254896,1610612749,13,22,2025-11-04T00:32:32Z,1210000,False,-36.0,266.0,1,left,MISS M. Turner 26' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.81,Missed,,,,,,,,,,,,,,,,,,
122,PT04M54.00S,2025-11-04T00:32:32.2Z,1,REGULAR,rebound,defensive,[],1642277,,,1610612754,13,22,2025-11-04T00:32:32Z,1220000,False,,,0,,J. Furphy REBOUND (Off:0 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Above the Break 3,24+ Center,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,
123,PT04M37.00S,2025-11-04T00:32:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642484,81.553876478318,37.00980392156863,1610612754,13,22,2025-11-04T00:32:54Z,1230000,False,-65.0,121.0,1,right,MISS R. Dennis 13' driving floating Shot,[1642484],1610612754.0,IND,driving floating,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),8-16 Center,13.73,Missed,,,,,,,,,,,,,,,,,,
124,PT04M36.00S,2025-11-04T00:32:48.9Z,1,REGULAR,rebound,offensive,[],1628396,,,1610612754,13,22,2025-11-04T00:32:54Z,1240000,False,,,0,,T. Bradley REBOUND (Off:1 Def:0),[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,In The Paint (Non-RA),8-16 Center,,,,,123.0,1.0,0.0,1.0,,,,,,,,,,,,
125,PT04M28.00S,2025-11-04T00:33:00.8Z,1,REGULAR,foul,offensive,[],1630174,,,1610612754,13,22,2025-11-04T00:33:18Z,1250000,False,,,0,,A. Nesmith offensive FOUL (2 PF),"[1630174, 1629018]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1627529.0,2.0,0.0,Trent Jr.,1629018.0,,,,,,,
127,PT04M28.00S,2025-11-04T00:33:00.8Z,1,REGULAR,turnover,offensive foul,[],1630174,,,1610612754,13,22,2025-11-04T00:33:18Z,1270000,False,,,0,,A. Nesmith offensive foul TURNOVER (1 TO),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,203054.0,,,,,1.0,,,,,,
128,PT04M28.00S,2025-11-04T00:33:07.0Z,1,REGULAR,substitution,out,[],1631157,,,1610612749,13,22,2025-11-04T00:33:12Z,1280000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT04M28.00S,2025-11-04T00:33:07.0Z,1,REGULAR,substitution,out,[],203507,,,1610612749,13,22,2025-11-04T00:33:12Z,1290000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT04M28.00S,2025-11-04T00:33:07.0Z,1,REGULAR,substitution,in,[],1628398,,,1610612749,13,22,2025-11-04T00:33:12Z,1300000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT04M28.00S,2025-11-04T00:33:07.0Z,1,REGULAR,substitution,in,[],1630175,,,1610612749,13,22,2025-11-04T00:33:12Z,1310000,False,,,0,,SUB in: C. Anthony,[1630175],1610612749.0,MIL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT04M28.00S,2025-11-04T00:33:19.5Z,1,REGULAR,substitution,out,[],1630174,,,1610612749,13,22,2025-11-04T00:33:21Z,1320000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT04M28.00S,2025-11-04T00:33:19.5Z,1,REGULAR,substitution,in,[],1627783,,,1610612749,13,22,2025-11-04T00:33:21Z,1330000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT04M19.00S,2025-11-04T00:33:36.9Z,1,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612749,13,22,2025-11-04T00:33:41Z,1340000,False,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (1 TO),[1630175],1610612749.0,MIL,bad pass,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,,,,,,,203054.0,,,,,1.0,,,,,,
135,PT04M11.00S,2025-11-04T00:33:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1641716,,,1610612754,13,22,2025-11-04T00:33:55Z,1350000,False,,,0,,J. Walker bad pass out-of-bounds TURNOVER (2 TO),[1641716],1610612754.0,IND,bad pass,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,,,,,,,,,203054.0,,,,,2.0,,,,,,
136,PT03M50.00S,2025-11-04T00:34:20.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,12.959921156373195,25.0,1610612749,13,22,2025-11-04T00:34:24Z,1360000,False,125.0,69.0,1,left,MISS K. Kuzma 14' turnaround fadeaway bank Shot,[1628398],1610612749.0,MIL,turnaround fadeaway bank,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,14.29,Missed,,,,,,,,,,,,,,,,,,
137,PT03M48.00S,2025-11-04T00:34:22.1Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,13,22,2025-11-04T00:34:24Z,1370000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,
138,PT03M42.00S,2025-11-04T00:34:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641716,91.01511169513797,49.26470588235294,1610612754,15,22,2025-11-04T00:34:32Z,1380000,False,-4.0,32.0,1,right,J. Walker running finger roll Layup (2 PTS) (P. Siakam 2 AST),"[1641716, 1627783]",1610612754.0,IND,running finger roll,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,3.22,Made,,,,,,,,,,,,,,,2.0,P. Siakam,1627783.0,2.0
140,PT03M29.00S,2025-11-04T00:34:44.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642277,,,1610612749,15,22,2025-11-04T00:34:49Z,1400000,False,,,0,,J. Furphy shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[1642277, 1629018]",1610612754.0,IND,shooting,,,Furphy,J. Furphy,,,,,Mid-Range,8-16 Right,,,,,,,,,101284.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,,
142,PT03M29.00S,2025-11-04T00:35:12.0Z,1,REGULAR,freethrow,1 of 2,[],1629018,,,1610612749,15,23,2025-11-04T00:35:12Z,1420000,False,,,0,,G. Trent Jr. Free Throw 1 of 2 (7 PTS),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
143,PT03M29.00S,2025-11-04T00:35:12.6Z,1,REGULAR,substitution,out,[],1642277,,,1610612749,15,23,2025-11-04T00:35:18Z,1430000,False,,,0,,SUB out: J. Furphy,[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT03M29.00S,2025-11-04T00:35:12.6Z,1,REGULAR,substitution,in,[],1641767,,,1610612749,15,23,2025-11-04T00:35:18Z,1440000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT03M29.00S,2025-11-04T00:35:31.4Z,1,REGULAR,freethrow,2 of 2,[],1629018,,,1610612749,15,24,2025-11-04T00:35:31Z,1450000,False,,,0,,G. Trent Jr. Free Throw 2 of 2 (8 PTS),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,Made,,,,,,,,,,,,,,,8.0,,,
146,PT03M21.00S,2025-11-04T00:35:41.5Z,1,REGULAR,3pt,Jump Shot,[],1642484,76.03482260183968,12.990196078431374,1610612754,15,24,2025-11-04T00:35:47Z,1460000,False,-185.0,173.0,1,right,MISS R. Dennis 25' 3PT,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
147,PT03M16.00S,2025-11-04T00:35:46.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,15,24,2025-11-04T00:35:47Z,1470000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,
148,PT03M05.00S,2025-11-04T00:35:56.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,5.601182654402102,97.05882352941177,1610612749,15,24,2025-11-04T00:36:00Z,1480000,False,-235.0,0.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
149,PT03M03.00S,2025-11-04T00:35:58.7Z,1,REGULAR,rebound,defensive,[],1641767,,,1610612754,15,24,2025-11-04T00:36:00Z,1490000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Left Corner 3,24+ Left,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,
150,PT02M54.00S,2025-11-04T00:36:08.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,84.1819973718791,38.970588235294116,1610612754,15,24,2025-11-04T00:36:13Z,1500000,False,-55.0,96.0,1,right,MISS P. Siakam 11' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,11.09,Missed,,,,,,,,,,,,,,,,,,
151,PT02M52.00S,2025-11-04T00:36:10.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,15,24,2025-11-04T00:36:18Z,1510000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,150.0,2.0,2.0,0.0,,,,,,,,,,,,
152,PT02M40.00S,2025-11-04T00:36:20.7Z,1,REGULAR,3pt,Jump Shot,[],1629018,28.86005256241787,8.088235294117647,1610612749,15,24,2025-11-04T00:36:24Z,1520000,False,210.0,219.0,1,left,MISS G. Trent Jr. 30' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,30.3,Missed,,,,,,,,,,,,,,,,,,
153,PT02M38.00S,2025-11-04T00:36:22.7Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,15,24,2025-11-04T00:36:24Z,1530000,False,,,0,,J. Walker REBOUND (Off:0 Def:2),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,,,,,152.0,2.0,2.0,0.0,,,,,,,,,,,,
154,PT02M31.00S,2025-11-04T00:36:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612754,15,24,2025-11-04T00:36:41Z,1540000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Siakam 2 FT),"[1628398, 1627783]",1610612749.0,MIL,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1627529.0,1.0,0.0,Siakam,1627783.0,,,,,,,
156,PT02M31.00S,2025-11-04T00:36:40.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,24,2025-11-04T00:36:40Z,1560000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT02M31.00S,2025-11-04T00:39:01.4Z,1,REGULAR,substitution,out,[],1628396,,,1610612754,15,24,2025-11-04T00:39:13Z,1570000,False,,,0,,SUB out: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT02M31.00S,2025-11-04T00:39:01.4Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,15,24,2025-11-04T00:39:13Z,1580000,False,,,0,,SUB out: M. Turner,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT02M31.00S,2025-11-04T00:39:01.4Z,1,REGULAR,substitution,in,[],1630643,,,1610612754,15,24,2025-11-04T00:39:13Z,1590000,False,,,0,,SUB in: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT02M31.00S,2025-11-04T00:39:01.4Z,1,REGULAR,substitution,in,[],1626171,,,1610612754,15,24,2025-11-04T00:39:13Z,1600000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT02M31.00S,2025-11-04T00:39:47.4Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,16,24,2025-11-04T00:40:07Z,1610000,False,,,0,,P. Siakam Free Throw 1 of 2 (4 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
162,PT02M31.00S,2025-11-04T00:39:47.4Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,16,24,2025-11-04T00:40:07Z,1620000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT02M28.00S,2025-11-04T00:39:50.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,16,24,2025-11-04T00:40:07Z,1630000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,162.0,3.0,3.0,0.0,,,,,,,,,,,,
164,PT02M16.00S,2025-11-04T00:40:17.8Z,1,REGULAR,3pt,Jump Shot,[],1626171,14.273981603153747,3.1862745098039214,1610612749,16,24,2025-11-04T00:40:22Z,1640000,False,234.0,82.0,1,left,MISS B. Portis 24' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,24.79,Missed,,,,,,,,,,,,,,,,,,
165,PT02M13.00S,2025-11-04T00:40:20.8Z,1,REGULAR,rebound,offensive,[],1628398,,,1610612749,16,24,2025-11-04T00:40:22Z,1650000,False,,,0,,K. Kuzma REBOUND (Off:1 Def:3),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,164.0,4.0,3.0,1.0,,,,,,,,,,,,
166,PT02M12.00S,2025-11-04T00:40:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628398,10.5946123521682,43.627450980392155,1610612749,16,26,2025-11-04T00:40:24Z,1660000,False,32.0,47.0,1,left,K. Kuzma putback Layup (2 PTS),[1628398],1610612749.0,MIL,putback,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.69,Made,,,,,,,,,,,,,,,2.0,,,
