actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
174,PT00M00.00S,2026-03-01T22:36:04.0Z,1,REGULAR,period,end,[],0,,,1610612754,34,34,2026-03-01T22:36:04Z,1730000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,out,['startperiod'],1641738,,,1610612754,34,34,2026-03-01T22:38:27Z,1740000,False,,,0,,SUB out: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,out,['startperiod'],1641707,,,1610612754,34,34,2026-03-01T22:38:27Z,1750000,False,,,0,,SUB out: T. Hendricks,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,out,['startperiod'],1641712,,,1610612754,34,34,2026-03-01T22:38:27Z,1760000,False,,,0,,SUB out: R. Rupert,[1641712],1610612763.0,MEM,,,,Rupert,R. Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,in,['startperiod'],1641767,,,1610612754,34,34,2026-03-01T22:38:27Z,1770000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,in,['startperiod'],1642377,,,1610612754,34,34,2026-03-01T22:38:27Z,1780000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2026-03-01T22:38:09.5Z,2,REGULAR,substitution,in,['startperiod'],1641765,,,1610612754,34,34,2026-03-01T22:38:27Z,1790000,False,,,0,,SUB in: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2026-03-01T22:38:47.5Z,2,REGULAR,period,start,[],0,,,1610612763,34,34,2026-03-01T22:38:47Z,1800000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT11M37.00S,2026-03-01T22:39:09.6Z,2,REGULAR,2pt,Jump Shot,[],1642383,5.863994743758213,33.82352941176471,1610612763,34,34,2026-03-01T22:39:16Z,1810000,False,81.0,3.0,1,left,MISS W. Clayton Jr. 8' floating Shot,[1642383],1610612763.0,MEM,floating,,,Clayton Jr.,W. Clayton Jr.,,,,,Mid-Range,0-8 Center,8.09,Missed,,,,,,,,,,,,,,,,,,
183,PT11M35.00S,2026-03-01T22:39:11.6Z,2,REGULAR,rebound,defensive,[],1630643,,,1610612754,34,34,2026-03-01T22:39:20Z,1820000,False,,,0,,J. Huff REBOUND (Off:1 Def:2),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Mid-Range,0-8 Center,,,,,182.0,,,,,,,,,,,,,3.0,2.0,1.0
184,PT11M25.00S,2026-03-01T22:39:21.6Z,2,REGULAR,3pt,Jump Shot,[],1641767,92.59198423127464,3.1862745098039214,1610612754,37,34,2026-03-01T22:39:25Z,1830000,False,-234.0,17.0,1,right,B. Sheppard 3PT  (3 PTS) (O. Toppin 4 AST),"[1641767, 1630167]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Left Corner 3,24+ Left,23.47,Made,,,,3.0,O. Toppin,1630167.0,4.0,,,,,,,,,,,
186,PT11M20.00S,2026-03-01T22:39:26.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,7.966491458607096,50.0,1610612763,37,36,2026-03-01T22:43:13Z,1850000,False,0.0,22.0,1,left,J. Wells driving finger roll Layup (11 PTS) (W. Clayton Jr. 4 AST),"[1642377, 1642383]",1610612763.0,MEM,driving finger roll,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.24,Made,,,,11.0,W. Clayton Jr.,1642383.0,4.0,,,,,,,,,,,
187,PT10M59.00S,2026-03-01T22:39:47.1Z,2,REGULAR,2pt,Jump Shot,[],204456,93.11760840998686,77.69607843137256,1610612754,39,36,2026-03-01T22:39:50Z,1860000,False,138.0,12.0,1,right,T. McConnell 13' pullup Jump Shot (4 PTS),[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,Mid-Range,8-16 Right,13.9,Made,,,,4.0,,,,,,,,,,,,,,
190,PT10M40.00S,2026-03-01T22:40:06.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641765,7.835085413929041,57.35294117647059,1610612763,39,38,2026-03-01T22:40:10Z,1880000,False,-37.0,21.0,1,left,O. Prosper driving finger roll Layup (6 PTS) (W. Clayton Jr. 5 AST),"[1641765, 1642383]",1610612763.0,MEM,driving finger roll,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,4.24,Made,,,,6.0,W. Clayton Jr.,1642383.0,5.0,,,,,,,,,,,
192,PT10M23.00S,2026-03-01T22:40:23.5Z,2,REGULAR,3pt,Jump Shot,[],1630643,93.38042049934296,2.696078431372549,1610612754,42,38,2026-03-01T22:40:27Z,1900000,False,-237.0,10.0,1,right,J. Huff 3PT  (8 PTS) (T. McConnell 2 AST),"[1630643, 204456]",1610612754.0,IND,,,,Huff,J. Huff,,,,,Left Corner 3,24+ Left,23.67,Made,,,,8.0,T. McConnell,204456.0,2.0,,,,,,,,,,,
194,PT10M04.00S,2026-03-01T22:40:42.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641713,7.440867279894875,47.794117647058826,1610612763,42,38,2026-03-01T22:40:45Z,1920000,False,11.0,17.0,1,left,MISS G. Jackson driving Layup - blocked,"[1641713, 1643007]",1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,2.06,Missed,Peter,1643007.0,,,,,,,,,,,,,,,,
195,PT10M04.00S,2026-03-01T22:40:42.3Z,2,REGULAR,block,,[],1643007,,,1610612763,42,38,2026-03-01T22:40:44Z,1930000,False,,,0,,T. Peter BLOCK (1 BLK),[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
196,PT10M01.00S,2026-03-01T22:40:45.3Z,2,REGULAR,rebound,offensive,[],1641713,,,1610612763,42,38,2026-03-01T22:40:45Z,1940000,False,,,0,,G. Jackson REBOUND (Off:1 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,194.0,,,,,,,,,,,,,2.0,1.0,1.0
197,PT10M01.00S,2026-03-01T22:40:45.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641713,8.360709592641262,45.588235294117645,1610612763,42,38,2026-03-01T22:40:57Z,1950000,False,22.0,26.0,1,left,MISS G. Jackson putback DUNK - blocked,"[1641713, 1630643]",1610612763.0,MEM,putback,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,3.42,Missed,Huff,1630643.0,,,,,,,,,,,,,,,,
198,PT10M01.00S,2026-03-01T22:40:45.5Z,2,REGULAR,block,,[],1630643,,,1610612763,42,38,2026-03-01T22:40:47Z,1960000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
199,PT09M59.00S,2026-03-01T22:40:47.5Z,2,REGULAR,rebound,offensive,[],1641713,,,1610612763,42,38,2026-03-01T22:40:50Z,1970000,False,,,0,,G. Jackson REBOUND (Off:2 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,197.0,,,,,,,,,,,,,3.0,1.0,2.0
200,PT09M57.00S,2026-03-01T22:40:49.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642377,16.245072273324574,45.34313725490196,1610612763,42,40,2026-03-01T22:40:54Z,1980000,False,23.0,100.0,1,left,J. Wells 10' driving floating Jump Shot (13 PTS) (G. Jackson 1 AST),"[1642377, 1641713]",1610612763.0,MEM,driving floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,10.29,Made,,,,13.0,G. Jackson,1641713.0,1.0,,,,,,,,,,,
202,PT09M41.00S,2026-03-01T22:41:05.1Z,2,REGULAR,3pt,Jump Shot,[],1643007,67.49342969776609,75.49019607843137,1610612754,45,40,2026-03-01T22:41:09Z,2000000,False,127.0,253.0,1,right,T. Peter 28' 3PT  (6 PTS) (O. Toppin 5 AST),"[1643007, 1630167]",1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Right Center,28.34,Made,,,,6.0,O. Toppin,1630167.0,5.0,,,,,,,,,,,
204,PT09M23.00S,2026-03-01T22:41:23.3Z,2,REGULAR,3pt,Jump Shot,[],1642285,33.065045992115635,46.07843137254902,1610612763,45,43,2026-03-01T22:41:29Z,2020000,False,20.0,258.0,1,left,C. Spencer 25' 3PT pullup (3 PTS) (O. Prosper 1 AST),"[1642285, 1641765]",1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,25.9,Made,,,,3.0,O. Prosper,1641765.0,1.0,,,,,,,,,,,
206,PT09M09.00S,2026-03-01T22:41:36.8Z,2,REGULAR,3pt,Jump Shot,[],1643007,91.14651773981603,96.56862745098039,1610612754,45,43,2026-03-01T22:41:43Z,2040000,False,233.0,31.0,1,right,MISS T. Peter 3PT,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,Right Corner 3,24+ Right,23.48,Missed,,,,,,,,,,,,,,,,,,
207,PT09M04.00S,2026-03-01T22:41:41.8Z,2,REGULAR,rebound,defensive,[],1642383,,,1610612763,45,43,2026-03-01T22:41:43Z,2050000,False,,,0,,W. Clayton Jr. REBOUND (Off:0 Def:1),[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,Right Corner 3,24+ Right,,,,,206.0,,,,,,,,,,,,,1.0,1.0,0.0
208,PT09M00.00S,2026-03-01T22:41:46.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642285,33.327858081471746,47.794117647058826,1610612763,45,46,2026-03-01T22:41:50Z,2060000,False,11.0,261.0,1,left,C. Spencer 26' 3PT running pullup (6 PTS) (W. Clayton Jr. 6 AST),"[1642285, 1642383]",1610612763.0,MEM,running pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,26.1,Made,,,,6.0,W. Clayton Jr.,1642383.0,6.0,,,,,,,,,,,
210,PT08M43.00S,2026-03-01T22:42:03.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,84.83902759526939,56.127450980392155,1610612754,47,46,2026-03-01T22:48:49Z,2080000,False,31.0,90.0,1,right,T. McConnell 9' pullup Jump Shot (6 PTS),[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),8-16 Center,9.51,Made,,,,6.0,,,,,,,,,,,,,,
211,PT08M42.00S,2026-03-01T22:42:08.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,47,46,2026-03-01T22:42:08Z,2090000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,out,[],1643007,,,1610612763,47,46,2026-03-01T22:44:49Z,2100000,False,,,0,,SUB out: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,out,[],204456,,,1610612763,47,46,2026-03-01T22:44:49Z,2110000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,out,[],1642383,,,1610612763,47,46,2026-03-01T22:44:49Z,2120000,False,,,0,,SUB out: W. Clayton Jr.,[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,in,[],1641716,,,1610612763,47,46,2026-03-01T22:44:49Z,2130000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,in,[],1631245,,,1610612763,47,46,2026-03-01T22:44:49Z,2140000,False,,,0,,SUB in: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M42.00S,2026-03-01T22:43:52.2Z,2,REGULAR,substitution,in,[],1630590,,,1610612763,47,46,2026-03-01T22:44:49Z,2150000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M26.00S,2026-03-01T22:45:20.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641713,6.652431011826544,52.69607843137255,1610612763,47,48,2026-03-01T22:45:24Z,2160000,False,-13.0,10.0,1,left,G. Jackson cutting DUNK (7 PTS) (C. Spencer 3 AST),"[1641713, 1642285]",1610612763.0,MEM,cutting,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,1.68,Made,,,,7.0,C. Spencer,1642285.0,3.0,,,,,,,,,,,
220,PT08M10.00S,2026-03-01T22:45:36.1Z,2,REGULAR,turnover,bad pass,[],1630643,,,1610612754,47,48,2026-03-01T22:45:39Z,2180000,False,,,0,,J. Huff bad pass TURNOVER (1 TO),"[1630643, 1642377]",1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Wells,1642377.0,,,,,,,,
221,PT08M10.00S,2026-03-01T22:45:36.1Z,2,REGULAR,steal,,[],1642377,,,1610612763,47,48,2026-03-01T22:45:37Z,2190000,False,,,0,,J. Wells STEAL (1 STL),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
222,PT07M57.00S,2026-03-01T22:45:48.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630590,8.360709592641262,41.42156862745098,1610612763,47,48,2026-03-01T22:45:52Z,2200000,False,43.0,26.0,1,left,MISS S. Pippen Jr. driving finger roll Layup,[1630590],1610612763.0,MEM,driving finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.02,Missed,,,,,,,,,,,,,,,,,,
223,PT07M55.00S,2026-03-01T22:45:50.7Z,2,REGULAR,rebound,defensive,[],1631245,,,1610612754,47,48,2026-03-01T22:45:52Z,2210000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:3),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,222.0,,,,,,,,,,,,,3.0,3.0,0.0
224,PT07M44.00S,2026-03-01T22:46:02.6Z,2,REGULAR,turnover,lost ball,[],1630643,,,1610612754,47,48,2026-03-01T22:46:05Z,2220000,False,,,0,,J. Huff lost ball TURNOVER (2 TO),"[1630643, 1642377]",1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,Wells,1642377.0,,,,,,,,
225,PT07M44.00S,2026-03-01T22:46:02.6Z,2,REGULAR,steal,,[],1642377,,,1610612763,47,48,2026-03-01T22:46:04Z,2230000,False,,,0,,J. Wells STEAL (2 STL),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
226,PT07M37.00S,2026-03-01T22:46:09.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641713,31.882391590013142,62.5,1610612763,47,48,2026-03-01T22:46:13Z,2240000,False,-62.0,247.0,1,left,MISS G. Jackson 25' 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
227,PT07M35.00S,2026-03-01T22:46:11.3Z,2,REGULAR,rebound,defensive,[],1641767,,,1610612754,47,48,2026-03-01T22:46:18Z,2250000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Center,,,,,226.0,,,,,,,,,,,,,1.0,1.0,0.0
228,PT07M24.00S,2026-03-01T22:46:22.5Z,2,REGULAR,3pt,Jump Shot,[],1641767,71.69842312746385,17.15686274509804,1610612754,50,48,2026-03-01T22:46:27Z,2260000,False,-164.0,214.0,1,right,B. Sheppard 26' 3PT  (6 PTS) (Q. Jackson 2 AST),"[1641767, 1631245]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,26.93,Made,,,,6.0,Q. Jackson,1631245.0,2.0,,,,,,,,,,,
230,PT07M16.00S,2026-03-01T22:46:31.5Z,2,REGULAR,foul,personal,[],1631245,,,1610612763,50,48,2026-03-01T22:46:36Z,2280000,False,,,0,,Q. Jackson take personal FOUL (2 PF),"[1631245, 1630590]",1610612754.0,IND,take,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2004.0,2.0,0.0,Pippen Jr.,1630590.0,,,
232,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,out,[],1630167,,,1610612763,50,48,2026-03-01T22:46:52Z,2300000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,out,[],1641765,,,1610612763,50,48,2026-03-01T22:46:52Z,2310000,False,,,0,,SUB out: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,out,[],1642285,,,1610612763,50,48,2026-03-01T22:46:52Z,2320000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,in,[],1641738,,,1610612763,50,48,2026-03-01T22:46:52Z,2330000,False,,,0,,SUB in: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,in,[],1641712,,,1610612763,50,48,2026-03-01T22:46:52Z,2340000,False,,,0,,SUB in: R. Rupert,[1641712],1610612763.0,MEM,,,,Rupert,R. Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M16.00S,2026-03-01T22:46:36.3Z,2,REGULAR,substitution,in,[],1641707,,,1610612763,50,48,2026-03-01T22:46:52Z,2350000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M14.00S,2026-03-01T22:47:03.7Z,2,REGULAR,foul,offensive,[],1641707,,,1610612763,50,48,2026-03-01T22:47:08Z,2360000,False,,,0,,T. Hendricks offensive FOUL (2 PF),"[1641707, 1631245]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2004.0,2.0,0.0,Jackson,1631245.0,,,
240,PT07M14.00S,2026-03-01T22:47:03.7Z,2,REGULAR,turnover,offensive foul,[],1641707,,,1610612763,50,48,2026-03-01T22:47:03Z,2380000,False,,,0,,T. Hendricks offensive foul TURNOVER (1 TO),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,,,2004.0,,,,,,,
241,PT07M02.00S,2026-03-01T22:47:32.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641767,94.43166885676742,97.54901960784314,1610612754,50,48,2026-03-01T22:47:36Z,2390000,False,238.0,0.0,1,right,MISS B. Sheppard 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
242,PT06M59.00S,2026-03-01T22:47:35.1Z,2,REGULAR,rebound,defensive,[],1641713,,,1610612763,50,48,2026-03-01T22:47:36Z,2400000,False,,,0,,G. Jackson REBOUND (Off:2 Def:2),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Right Corner 3,24+ Right,,,,,241.0,,,,,,,,,,,,,4.0,2.0,2.0
243,PT06M55.00S,2026-03-01T22:47:39.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641713,7.703679369250986,49.50980392156863,1610612763,50,50,2026-03-01T22:47:43Z,2410000,False,2.0,20.0,1,left,G. Jackson running finger roll Layup (9 PTS),[1641713],1610612763.0,MEM,running finger roll,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,2.01,Made,,,,9.0,,,,,,,,,,,,,,
244,PT06M47.00S,2026-03-01T22:47:48.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641738,91.80354796320631,59.80392156862745,1610612754,50,50,2026-03-01T22:47:56Z,2420000,False,49.0,25.0,1,right,MISS K. Brown driving Layup - blocked,"[1641738, 1641713]",1610612754.0,IND,driving,,,Brown,K. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,Jackson,1641713.0,,,,,,,,,,,,,,,,
245,PT06M47.00S,2026-03-01T22:47:48.5Z,2,REGULAR,block,,[],1641713,,,1610612754,50,50,2026-03-01T22:47:50Z,2430000,False,,,0,,G. Jackson BLOCK (2 BLK),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
246,PT06M46.00S,2026-03-01T22:47:49.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,50,50,2026-03-01T22:47:56Z,2440000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,244.0,,,,,,,,,,,,,,,
248,PT06M39.00S,2026-03-01T22:48:18.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631245,92.32917214191852,52.450980392156865,1610612754,52,50,2026-03-01T22:48:24Z,2460000,False,12.0,20.0,1,right,Q. Jackson driving DUNK (2 PTS) (K. Brown 1 AST),"[1631245, 1641738]",1610612754.0,IND,driving,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,2.31,Made,,,,2.0,K. Brown,1641738.0,1.0,,,,,,,,,,,
250,PT06M39.00S,2026-03-01T22:48:22.4Z,2,REGULAR,foul,personal,['1freethrow'],1641707,,,1610612754,52,50,2026-03-01T22:48:28Z,2480000,False,,,0,,T. Hendricks shooting personal FOUL (3 PF) (Jackson 1 FT),"[1641707, 1631245]",1610612763.0,MEM,shooting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2004.0,3.0,0.0,Jackson,1631245.0,,,
252,PT06M39.00S,2026-03-01T22:48:29.3Z,2,REGULAR,substitution,out,[],1641767,,,1610612754,52,50,2026-03-01T22:48:49Z,2500000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M39.00S,2026-03-01T22:48:29.3Z,2,REGULAR,substitution,in,[],1643007,,,1610612754,52,50,2026-03-01T22:48:49Z,2510000,False,,,0,,SUB in: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M39.00S,2026-03-01T22:48:51.5Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1631245,,,1610612754,52,50,2026-03-01T22:48:53Z,2520000,False,,,0,,MISS Q. Jackson Free Throw 1 of 1,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
255,PT06M38.00S,2026-03-01T22:48:52.5Z,2,REGULAR,rebound,defensive,[],1641713,,,1610612763,52,50,2026-03-01T22:48:55Z,2530000,False,,,0,,G. Jackson REBOUND (Off:2 Def:3),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,254.0,,,,,,,,,,,,,5.0,3.0,2.0
256,PT06M25.00S,2026-03-01T22:49:04.9Z,2,REGULAR,2pt,Jump Shot,[],1642377,14.14257555847569,92.40196078431373,1610612763,52,52,2026-03-01T22:49:08Z,2540000,False,-212.0,80.0,1,left,J. Wells 22' Jump Shot (15 PTS) (S. Pippen Jr. 2 AST),"[1642377, 1630590]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left,22.67,Made,,,,15.0,S. Pippen Jr.,1630590.0,2.0,,,,,,,,,,,
258,PT06M03.00S,2026-03-01T22:49:26.6Z,2,REGULAR,3pt,Jump Shot,[],1643007,74.45795006570303,90.93137254901961,1610612754,52,52,2026-03-01T22:49:32Z,2560000,False,205.0,188.0,1,right,MISS T. Peter 27' 3PT,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Right Center,27.77,Missed,,,,,,,,,,,,,,,,,,
259,PT06M01.00S,2026-03-01T22:49:28.6Z,2,REGULAR,rebound,defensive,[],1641707,,,1610612763,52,52,2026-03-01T22:49:34Z,2570000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:3),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,,258.0,,,,,,,,,,,,,4.0,3.0,1.0
260,PT05M55.00S,2026-03-01T22:49:34.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630590,29.911300919842315,68.13725490196079,1610612763,52,52,2026-03-01T22:49:39Z,2580000,False,-91.0,229.0,1,left,MISS S. Pippen Jr. 24' running pullup 3PT,[1630590],1610612763.0,MEM,running pullup,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Left Center,24.6,Missed,,,,,,,,,,,,,,,,,,
