actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
87,PT05M58.00S,2025-10-31T23:25:16.3Z,1,REGULAR,2pt,Jump Shot,[],1630174,85.89027595269383,75.49019607843137,1610612754,20,10,2025-10-31T23:25:21Z,840000,False,127.0,80.0,1,right,MISS A. Nesmith 15' pullup Shot,[1630174],1610612754.0,IND,pullup,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,15.06,Missed,,,,,,,,,,,,,,,,,,
88,PT05M58.00S,2025-10-31T23:25:16.3Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,20,10,2025-10-31T23:27:42Z,850000,False,,,0,,J. Huff REBOUND (Off:1 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Mid-Range,8-16 Right,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,
89,PT05M51.00S,2025-10-31T23:25:23.5Z,1,REGULAR,turnover,bad pass,[],1641716,,,1610612754,20,10,2025-10-31T23:25:25Z,860000,False,,,0,,J. Walker bad pass TURNOVER (1 TO),"[1641716, 1630552]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,Johnson,1630552.0,,,,,,,,
90,PT05M51.00S,2025-10-31T23:25:23.5Z,1,REGULAR,steal,,[],1630552,,,1610612737,20,10,2025-10-31T23:25:24Z,870000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
91,PT05M46.00S,2025-10-31T23:25:27.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629638,5.732588699080158,99.75490196078431,1610612737,20,13,2025-10-31T23:25:32Z,880000,False,-249.0,1.0,1,left,N. Alexander-Walker 24' 3PT running (5 PTS) (J. Johnson 1 AST),"[1629638, 1630552]",1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,24.88,Made,5.0,,,,,,,,,,J. Johnson,1630552.0,1.0,,,,,
93,PT05M35.00S,2025-10-31T23:25:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642484,87.86136662286465,48.28431372549019,1610612754,20,13,2025-10-31T23:25:43Z,900000,False,-9.0,62.0,1,right,MISS R. Dennis 6' driving floating Shot,[1642484],1610612754.0,IND,driving floating,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
94,PT05M31.00S,2025-10-31T23:25:42.3Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,20,13,2025-10-31T23:25:43Z,910000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,
95,PT05M26.00S,2025-10-31T23:25:51.5Z,1,REGULAR,foul,personal,['2freethrow'],1641716,,,1610612737,20,13,2025-10-31T23:26:06Z,920000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1641716, 1630168]",1610612754.0,IND,shooting,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Okongwu,1630168.0
97,PT05M26.00S,2025-10-31T23:26:18.8Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,20,13,2025-10-31T23:26:47Z,940000,False,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
98,PT05M26.00S,2025-10-31T23:26:18.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,20,13,2025-10-31T23:26:47Z,950000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,
99,PT05M26.00S,2025-10-31T23:26:19.5Z,1,REGULAR,substitution,out,[],1641716,,,1610612737,20,13,2025-10-31T23:26:28Z,960000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M26.00S,2025-10-31T23:26:19.5Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,20,13,2025-10-31T23:26:28Z,970000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M26.00S,2025-10-31T23:26:19.5Z,1,REGULAR,substitution,in,[],1627783,,,1610612737,20,13,2025-10-31T23:26:28Z,980000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M26.00S,2025-10-31T23:26:19.5Z,1,REGULAR,substitution,in,[],1630811,,,1610612737,20,13,2025-10-31T23:26:28Z,990000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M26.00S,2025-10-31T23:26:18.8Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,20,13,2025-10-31T23:26:47Z,1000000,False,,,0,,MISS O. Okongwu Free Throw 2 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
104,PT05M24.00S,2025-10-31T23:26:20.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,20,13,2025-10-31T23:26:47Z,1010000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,103.0,3.0,3.0,0.0,,,,,,,,,,,
105,PT05M12.00S,2025-10-31T23:26:59.0Z,1,REGULAR,3pt,Jump Shot,[],1630174,65.1281208935611,49.26470588235294,1610612754,20,13,2025-10-31T23:27:10Z,1020000,False,-4.0,275.0,1,right,MISS A. Nesmith 27' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,27.53,Missed,,,,,,,,,,,,,,,,,,
106,PT05M06.00S,2025-10-31T23:27:05.0Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,20,13,2025-10-31T23:27:12Z,1030000,False,,,0,,M. Gueye REBOUND (Off:0 Def:2),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,
107,PT05M06.00S,2025-10-31T23:27:05.6Z,1,REGULAR,foul,personal,[],1641767,,,1610612737,20,13,2025-10-31T23:27:18Z,1040000,False,,,0,,B. Sheppard personal FOUL (1 PF),"[1641767, 1630811]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Wallace,1630811.0
109,PT04M54.00S,2025-10-31T23:27:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630811,20.05584756898817,4.166666666666666,1610612737,20,16,2025-10-31T23:27:44Z,1060000,False,229.0,136.0,1,left,K. Wallace 26' 3PT  (3 PTS) (L. Kennard 1 AST),"[1630811, 1628379]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Right Center,26.65,Made,3.0,,,,,,,,,,L. Kennard,1628379.0,1.0,,,,,
114,PT04M36.00S,2025-10-31T23:28:19.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631243,,,1610612754,20,16,2025-10-31T23:29:38Z,1110000,False,,,0,,M. Gueye personal FOUL (1 PF) (Siakam 2 FT),"[1631243, 1627783]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Siakam,1627783.0
123,PT04M36.00S,2025-10-31T23:29:20.8Z,1,REGULAR,substitution,out,[],1629638,,,1610612754,20,16,2025-10-31T23:30:56Z,1135000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT04M36.00S,2025-10-31T23:29:20.8Z,1,REGULAR,substitution,in,[],1630700,,,1610612754,20,16,2025-10-31T23:30:56Z,1137500,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M36.00S,2025-10-31T23:30:01.9Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,21,16,2025-10-31T23:30:23Z,1140000,False,,,0,,P. Siakam Free Throw 1 of 2 (9 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
118,PT04M36.00S,2025-10-31T23:30:01.9Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,21,16,2025-10-31T23:30:23Z,1150000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
119,PT04M35.00S,2025-10-31T23:30:02.9Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,21,16,2025-10-31T23:30:23Z,1160000,False,,,0,,M. Gueye REBOUND (Off:0 Def:3),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,118.0,3.0,3.0,0.0,,,,,,,,,,,
120,PT04M19.00S,2025-10-31T23:30:37.5Z,1,REGULAR,2pt,Jump Shot,[],1628379,20.367936925098554,14.728860294117647,1610612737,21,18,2025-10-31T23:32:59Z,1170000,False,176.0,139.0,1,left,L. Kennard 22' Jump Shot (2 PTS) (K. Wallace 1 AST),"[1628379, 1630811]",1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,22.46,Made,2.0,,,,,,,,,,K. Wallace,1630811.0,1.0,,,,,
122,PT04M15.00S,2025-10-31T23:30:45.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,21,18,2025-10-31T23:30:45Z,1190000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT04M15.00S,2025-10-31T23:33:18.9Z,1,REGULAR,substitution,out,[],1630174,,,1610612754,21,18,2025-10-31T23:35:26Z,1205000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT04M15.00S,2025-10-31T23:33:18.9Z,1,REGULAR,substitution,in,[],1630644,,,1610612754,21,18,2025-10-31T23:35:26Z,1207500,False,,,0,,SUB in: M. McClung,[1630644],1610612754.0,IND,,,,McClung,M. McClung,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M53.00S,2025-10-31T23:34:09.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631243,,,1610612754,21,18,2025-10-31T23:34:18Z,1210000,False,,,0,,M. Gueye shooting personal FOUL (2 PF) (Siakam 2 FT),"[1631243, 1627783]",1610612737.0,ATL,shooting,,,Gueye,M. Gueye,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,1151.0,2.0,0.0,Siakam,1627783.0
128,PT03M53.00S,2025-10-31T23:34:35.5Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,22,18,2025-10-31T23:34:55Z,1230000,False,,,0,,P. Siakam Free Throw 1 of 2 (10 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
129,PT03M53.00S,2025-10-31T23:34:35.5Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,22,18,2025-10-31T23:34:55Z,1240000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
130,PT03M51.00S,2025-10-31T23:34:37.5Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,22,18,2025-10-31T23:34:55Z,1250000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,
131,PT03M44.00S,2025-10-31T23:35:03.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630644,,,1610612737,22,18,2025-10-31T23:35:15Z,1260000,False,,,0,,M. McClung personal FOUL (1 PF) (Kennard 2 FT),"[1630644, 1628379]",1610612754.0,IND,,,,McClung,M. McClung,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Kennard,1628379.0
135,PT03M44.00S,2025-10-31T23:35:30.7Z,1,REGULAR,freethrow,1 of 2,[],1628379,,,1610612737,22,19,2025-10-31T23:35:30Z,1280000,False,,,0,,L. Kennard Free Throw 1 of 2 (3 PTS),[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
136,PT03M44.00S,2025-10-31T23:35:44.2Z,1,REGULAR,freethrow,2 of 2,[],1628379,,,1610612737,22,20,2025-10-31T23:35:44Z,1290000,False,,,0,,L. Kennard Free Throw 2 of 2 (4 PTS),[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
137,PT03M31.00S,2025-10-31T23:35:58.6Z,1,REGULAR,turnover,bad pass,[],1630644,,,1610612754,22,20,2025-10-31T23:36:02Z,1300000,False,,,0,,M. McClung bad pass TURNOVER (1 TO),"[1630644, 1630700]",1610612754.0,IND,,,,McClung,M. McClung,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Daniels,1630700.0,,,,,,,,
138,PT03M31.00S,2025-10-31T23:35:58.6Z,1,REGULAR,steal,,[],1630700,,,1610612737,22,20,2025-10-31T23:36:01Z,1310000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
139,PT03M26.00S,2025-10-31T23:36:03.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631243,6.1268068331143235,52.69607843137255,1610612737,22,22,2025-10-31T23:36:42Z,1320000,False,-13.0,5.0,1,left,M. Gueye running alley-oop DUNK (2 PTS) (K. Wallace 2 AST),"[1631243, 1630811]",1610612737.0,ATL,running alley-oop,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,1.44,Made,2.0,,,,,,,,,,K. Wallace,1630811.0,2.0,,,,,
141,PT03M10.00S,2025-10-31T23:36:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642484,87.86136662286465,36.27450980392157,1610612754,22,22,2025-10-31T23:36:23Z,1340000,False,-69.0,62.0,1,right,MISS R. Dennis 9' driving floating bank Shot,[1642484],1610612754.0,IND,driving floating bank,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),8-16 Left,9.22,Missed,,,,,,,,,,,,,,,,,,
142,PT03M07.00S,2025-10-31T23:36:22.3Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,22,22,2025-10-31T23:36:23Z,1350000,False,,,0,,M. Gueye REBOUND (Off:0 Def:4),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),8-16 Left,,,,,,141.0,4.0,4.0,0.0,,,,,,,,,,,
143,PT03M00.00S,2025-10-31T23:36:29.4Z,1,REGULAR,3pt,Jump Shot,[],1630168,26.49474375821288,9.068627450980392,1610612737,22,22,2025-10-31T23:36:34Z,1360000,False,205.0,197.0,1,left,MISS O. Okongwu 28' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,28.38,Missed,,,,,,,,,,,,,,,,,,
144,PT02M58.00S,2025-10-31T23:36:31.4Z,1,REGULAR,rebound,defensive,[],1642484,,,1610612754,22,22,2025-10-31T23:36:34Z,1370000,False,,,0,,R. Dennis REBOUND (Off:0 Def:1),[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,Above the Break 3,24+ Right Center,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,
145,PT02M47.00S,2025-10-31T23:36:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630644,66.17936925098554,19.607843137254903,1610612754,22,22,2025-10-31T23:36:48Z,1380000,False,-152.0,265.0,1,right,MISS M. McClung 30' 3PT,[1630644],1610612754.0,IND,,,,McClung,M. McClung,,,,,Above the Break 3,24+ Left Center,30.58,Missed,,,,,,,,,,,,,,,,,,
146,PT02M43.00S,2025-10-31T23:36:47.1Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,22,22,2025-10-31T23:36:48Z,1390000,False,,,0,,J. Huff REBOUND (Off:2 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,,,,,,145.0,2.0,0.0,2.0,,,,,,,,,,,
147,PT02M39.00S,2025-10-31T23:36:51.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630644,68.80749014454665,12.745098039215685,1610612754,22,22,2025-10-31T23:36:56Z,1400000,False,-186.0,241.0,1,right,MISS M. McClung 30' 3PT,[1630644],1610612754.0,IND,,,,McClung,M. McClung,,,,,Above the Break 3,24+ Left Center,30.44,Missed,,,,,,,,,,,,,,,,,,
148,PT02M33.00S,2025-10-31T23:36:57.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,22,22,2025-10-31T23:36:58Z,1410000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,
149,PT02M23.00S,2025-10-31T23:37:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,10.726018396846255,47.30392156862745,1610612737,22,22,2025-10-31T23:37:12Z,1420000,False,13.0,48.0,1,left,MISS L. Kennard driving floating Shot,[1628379],1610612737.0,ATL,driving floating,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,5.02,Missed,,,,,,,,,,,,,,,,,,
150,PT02M19.00S,2025-10-31T23:37:10.8Z,1,REGULAR,rebound,defensive,[],1642484,,,1610612754,22,22,2025-10-31T23:37:12Z,1430000,False,,,0,,R. Dennis REBOUND (Off:0 Def:2),[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,149.0,2.0,2.0,0.0,,,,,,,,,,,
151,PT02M13.00S,2025-10-31T23:37:15.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630643,64.20827858081472,43.872549019607845,1610612754,22,22,2025-10-31T23:37:20Z,1440000,False,-31.0,284.0,1,right,MISS J. Huff 28' running 3PT,[1630643],1610612754.0,IND,running,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,28.55,Missed,,,,,,,,,,,,,,,,,,
152,PT02M12.00S,2025-10-31T23:37:16.1Z,1,REGULAR,rebound,defensive,[],1630811,,,1610612737,22,22,2025-10-31T23:37:20Z,1450000,False,,,0,,K. Wallace REBOUND (Off:0 Def:1),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Center,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,
153,PT02M05.00S,2025-10-31T23:37:23.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630700,11.514454664914586,46.07843137254902,1610612737,22,24,2025-10-31T23:38:43Z,1460000,False,20.0,56.0,1,left,D. Daniels driving floating Jump Shot (4 PTS) (K. Wallace 3 AST),"[1630700, 1630811]",1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,4.0,,,,,,,,,,K. Wallace,1630811.0,3.0,,,,,
156,PT01M44.00S,2025-10-31T23:37:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630644,72.22404730617609,82.84313725490196,1610612754,25,24,2025-10-31T23:37:58Z,1490000,False,164.0,209.0,1,right,M. McClung 26' 3PT  (3 PTS) (R. Dennis 1 AST),"[1630644, 1642484]",1610612754.0,IND,,,,McClung,M. McClung,,,,,Above the Break 3,24+ Right Center,26.55,Made,3.0,,,,,,,,,,R. Dennis,1642484.0,1.0,,,,,
158,PT01M26.00S,2025-10-31T23:38:13.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627783,,,1610612737,25,24,2025-10-31T23:38:25Z,1510000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Daniels 2 FT),"[1627783, 1630700]",1610612754.0,IND,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Daniels,1630700.0
160,PT01M26.00S,2025-10-31T23:38:41.7Z,1,REGULAR,freethrow,1 of 2,[],1630700,,,1610612737,25,25,2025-10-31T23:38:41Z,1530000,False,,,0,,D. Daniels Free Throw 1 of 2 (5 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
161,PT01M26.00S,2025-10-31T23:38:57.0Z,1,REGULAR,freethrow,2 of 2,[],1630700,,,1610612737,25,26,2025-10-31T23:38:57Z,1540000,False,,,0,,D. Daniels Free Throw 2 of 2 (6 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
162,PT01M09.00S,2025-10-31T23:39:15.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,79.58278580814718,20.098039215686274,1610612754,27,26,2025-10-31T23:39:20Z,1550000,False,-150.0,139.0,1,right,P. Siakam 20' step back Jump Shot (12 PTS),[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,20.44,Made,12.0,,,,,,,,,,,,,,,,,
163,PT00M57.80S,2025-10-31T23:39:28.9Z,1,REGULAR,3pt,Jump Shot,[],1630168,32.670827858081466,44.6078431372549,1610612737,27,29,2025-10-31T23:39:32Z,1560000,False,27.0,255.0,1,left,O. Okongwu 25' 3PT  (3 PTS) (D. Daniels 1 AST),"[1630168, 1630700]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.6,Made,3.0,,,,,,,,,,D. Daniels,1630700.0,1.0,,,,,
165,PT00M44.30S,2025-10-31T23:39:44.9Z,1,REGULAR,3pt,Jump Shot,[],1641767,71.69842312746385,90.68627450980392,1610612754,27,29,2025-10-31T23:39:49Z,1580000,False,203.0,214.0,1,right,MISS B. Sheppard 29' 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Right Center,29.49,Missed,,,,,,,,,,,,,,,,,,
166,PT00M40.80S,2025-10-31T23:39:48.4Z,1,REGULAR,rebound,offensive,[],1642484,,,1610612754,27,29,2025-11-01T02:33:09Z,1590000,False,,,0,,R. Dennis REBOUND (Off:1 Def:2),[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,Above the Break 3,24+ Right Center,,,,,,165.0,3.0,2.0,1.0,,,,,,,,,,,
167,PT00M40.10S,2025-10-31T23:39:49.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,66.44218134034165,31.372549019607842,1610612754,27,29,2025-10-31T23:39:53Z,1600000,False,-93.0,263.0,1,right,MISS P. Siakam 27' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,27.89,Missed,,,,,,,,,,,,,,,,,,
168,PT00M37.00S,2025-10-31T23:39:52.3Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,27,29,2025-10-31T23:39:52Z,1610000,False,,,0,,J. Huff REBOUND (Off:3 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,,,,,,167.0,3.0,0.0,3.0,,,,,,,,,,,
169,PT00M34.30S,2025-10-31T23:39:55.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627783,93.64323258869908,51.9607843137255,1610612754,27,29,2025-10-31T23:40:04Z,1620000,False,10.0,7.0,1,right,MISS P. Siakam cutting DUNK - blocked,"[1627783, 1630168]",1610612754.0,IND,cutting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.22,Missed,,Okongwu,1630168.0,,,,,,,,,,,,,,,
170,PT00M34.30S,2025-10-31T23:39:55.0Z,1,REGULAR,block,,[],1630168,,,1610612754,27,29,2025-10-31T23:39:57Z,1630000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
171,PT00M29.40S,2025-10-31T23:39:59.9Z,1,REGULAR,rebound,defensive,[],1630811,,,1610612737,27,29,2025-10-31T23:40:00Z,1640000,False,,,0,,K. Wallace REBOUND (Off:0 Def:2),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Restricted Area,0-8 Center,,,,,,169.0,2.0,2.0,0.0,,,,,,,,,,,
172,PT00M20.20S,2025-10-31T23:40:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630168,9.806176084099869,1.9607843137254901,1610612737,27,32,2025-10-31T23:40:12Z,1650000,False,240.0,40.0,1,left,O. Okongwu 24' 3PT  (6 PTS) (K. Wallace 4 AST),"[1630168, 1630811]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,24.35,Made,6.0,,,,,,,,,,K. Wallace,1630811.0,4.0,,,,,
174,PT00M00.80S,2025-10-31T23:40:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642484,95.3515111695138,55.14705882352941,1610612754,27,32,2025-10-31T23:40:33Z,1670000,False,26.0,-9.0,1,right,MISS R. Dennis driving finger roll Layup,[1642484],1610612754.0,IND,driving finger roll,,,Dennis,R. Dennis,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
175,PT00M00.80S,2025-10-31T23:40:29.9Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,27,32,2025-10-31T23:40:33Z,1680000,False,,,0,,J. Huff REBOUND (Off:4 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,174.0,4.0,0.0,4.0,,,,,,,,,,,
