actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
192,PT11M41.00S,2025-10-23T00:16:15.5Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612737,34,36,2025-10-23T00:16:18Z,1920000,False,,,0,,L. Kennard REBOUND (Off:0 Def:2),[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Right,,,191.0,2.0,2.0,0.0,,,,,,,,,,,,,,
193,PT11M28.00S,2025-10-23T00:16:31.7Z,2,REGULAR,foul,offensive,[],204001,,,1610612737,34,36,2025-10-23T00:16:37Z,1930000,False,,,0,,K. Porziņģis charge offensive FOUL (1 PF),"[204001, 1642347]",1610612737.0,ATL,charge,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627541.0,,1.0,0.0,Shead,1642347.0,,,,,,,,
195,PT11M28.00S,2025-10-23T00:16:31.7Z,2,REGULAR,turnover,offensive foul,[],204001,,,1610612737,34,36,2025-10-23T00:16:31Z,1950000,False,,,0,,K. Porziņģis offensive foul TURNOVER (1 TO),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627541.0,1.0,,,,,,,,,,,,
196,PT11M10.00S,2025-10-23T00:17:00.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1641711,93.24901445466492,18.137254901960784,1610612761,34,38,2025-10-23T00:17:06Z,1960000,False,-159.0,11.0,1,right,G. Dick 15' pullup Jump Shot (7 PTS) (R. Barrett 2 AST),"[1641711, 1629628]",1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,Mid-Range,8-16 Left,15.97,Made,,,,,,,,,,,7.0,R. Barrett,1629628.0,2.0,,,,
198,PT11M00.00S,2025-10-23T00:17:10.2Z,2,REGULAR,2pt,Jump Shot,[],1629638,22.683968462549277,75.73529411764706,1610612737,34,38,2025-10-23T00:17:14Z,1980000,False,-129.0,161.0,1,left,MISS N. Alexander-Walker 20' pullup Shot,[1629638],1610612737.0,ATL,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Left Center,20.59,Missed,,,,,,,,,,,,,,,,,,
199,PT10M57.00S,2025-10-23T00:17:13.2Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,34,38,2025-10-23T00:17:14Z,1990000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,198.0,1.0,1.0,0.0,,,,,,,,,,,,,,
200,PT10M50.00S,2025-10-23T00:17:20.2Z,2,REGULAR,2pt,Jump Shot,[],1630567,89.17542706964521,73.2843137254902,1610612761,34,40,2025-10-23T00:19:54Z,2000000,False,116.0,49.0,1,right,S. Barnes 12' fadeaway Jump Shot (6 PTS),[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,12.64,Made,,,,,,,,,,,6.0,,,,,,,
201,PT10M36.00S,2025-10-23T00:17:33.9Z,2,REGULAR,3pt,Jump Shot,[],204001,33.196452036793694,58.333333333333336,1610612737,34,40,2025-10-23T00:17:48Z,2010000,False,-42.0,260.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,26.28,Missed,,,,,,,,,,,,,,,,,,
202,PT10M33.00S,2025-10-23T00:17:36.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,34,40,2025-10-23T00:17:48Z,2020000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,201.0,,,,,,,,,,,,,,,,,
203,PT10M33.00S,2025-10-23T00:17:47.9Z,2,REGULAR,foul,personal,[],1642367,,,1610612737,34,40,2025-10-23T00:18:03Z,2030000,False,,,0,,J. Mogbo loose ball personal FOUL (1 PF),"[1642367, 1628379]",1610612761.0,TOR,loose ball,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,,,,,,,1627541.0,,1.0,0.0,Kennard,1628379.0,,,,,,,,
205,PT10M33.00S,2025-10-23T00:18:14.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,34,40,2025-10-23T00:18:14Z,2050000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT10M33.00S,2025-10-23T00:20:25.8Z,2,REGULAR,substitution,out,[],204001,,,1610612737,34,40,2025-10-23T00:20:48Z,2070000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT10M33.00S,2025-10-23T00:20:25.8Z,2,REGULAR,substitution,out,[],1641711,,,1610612737,34,40,2025-10-23T00:20:48Z,2080000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT10M33.00S,2025-10-23T00:20:25.8Z,2,REGULAR,substitution,in,[],1630552,,,1610612737,34,40,2025-10-23T00:20:48Z,2090000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT10M33.00S,2025-10-23T00:20:25.8Z,2,REGULAR,substitution,in,[],1642419,,,1610612737,34,40,2025-10-23T00:20:48Z,2100000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT10M21.00S,2025-10-23T00:21:13.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629638,7.703679369250986,48.529411764705884,1610612737,34,40,2025-10-23T00:22:17Z,2110000,False,7.0,20.0,1,left,MISS N. Alexander-Walker driving finger roll Layup,[1629638],1610612737.0,ATL,driving finger roll,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,2.12,Missed,,,,,,,,,,,,,,,,,,
212,PT10M19.00S,2025-10-23T00:21:15.7Z,2,REGULAR,rebound,defensive,[],1642419,,,1610612761,34,40,2025-10-23T00:21:18Z,2120000,False,,,0,,J. Battle REBOUND (Off:0 Def:1),[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Restricted Area,0-8 Center,,,211.0,1.0,1.0,0.0,,,,,,,,,,,,,,
213,PT10M17.00S,2025-10-23T00:21:17.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630567,92.9862023653088,50.245098039215684,1610612761,34,42,2025-10-23T00:21:24Z,2130000,False,1.0,13.0,1,right,S. Barnes running DUNK (8 PTS) (J. Shead 1 AST),"[1630567, 1642347]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,,,8.0,J. Shead,1642347.0,1.0,,,,
215,PT10M03.00S,2025-10-23T00:21:41.9Z,2,REGULAR,foul,technical,['1freethrow'],1642367,,,1610612737,34,42,2025-10-23T00:21:53Z,2150000,False,,,0,,J. Mogbo defensive-3-second technical FOUL (1 Tech),[1642367],1610612761.0,TOR,defensive-3-second,,,Mogbo,J. Mogbo,,,,,,,,,,,,,1627541.0,,1.0,1.0,,,,,,,,,,
216,PT10M03.00S,2025-10-23T00:21:56.7Z,2,REGULAR,freethrow,1 of 1,[],1628379,,,1610612737,35,42,2025-10-23T00:21:56Z,2160000,False,,,0,,L. Kennard technical Free Throw 1 of 1 (1 PTS),[1628379],1610612737.0,ATL,technical,,,Kennard,L. Kennard,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
217,PT09M48.00S,2025-10-23T00:22:26.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612737,35,42,2025-10-23T00:22:36Z,2170000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,,,,,,,,,,,,
218,PT09M35.00S,2025-10-23T00:22:48.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,68.80749014454665,68.13725490196079,1610612761,35,42,2025-10-23T00:22:54Z,2180000,False,91.0,241.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
219,PT09M31.00S,2025-10-23T00:22:52.6Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,35,42,2025-10-23T00:22:54Z,2190000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,218.0,2.0,2.0,0.0,,,,,,,,,,,,,,
220,PT09M23.00S,2025-10-23T00:23:00.3Z,2,REGULAR,2pt,Jump Shot,[],1629638,6.652431011826544,68.87254901960785,1610612737,35,42,2025-10-23T00:23:04Z,2200000,False,-94.0,10.0,1,left,MISS N. Alexander-Walker 9' step back Shot,[1629638],1610612737.0,ATL,step back,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Left,9.49,Missed,,,,,,,,,,,,,,,,,,
221,PT09M20.00S,2025-10-23T00:23:03.3Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612761,35,42,2025-10-23T00:23:04Z,2210000,False,,,0,,R. Barrett REBOUND (Off:1 Def:3),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,220.0,4.0,3.0,1.0,,,,,,,,,,,,,,
222,PT09M17.00S,2025-10-23T00:23:07.9Z,2,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612761,35,42,2025-10-23T00:23:28Z,2220000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630168, 1629628]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,,1.0,0.0,Barrett,1629628.0,,,,,,,,
224,PT09M17.00S,2025-10-23T00:23:30.4Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,35,43,2025-10-23T00:23:30Z,2240000,False,,,0,,R. Barrett Free Throw 1 of 2 (11 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,,,11.0,,,,,,,
225,PT09M17.00S,2025-10-23T00:23:32.3Z,2,REGULAR,substitution,out,[],1630567,,,1610612761,35,43,2025-10-23T00:23:36Z,2250000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M17.00S,2025-10-23T00:23:32.3Z,2,REGULAR,substitution,in,[],1630534,,,1610612761,35,43,2025-10-23T00:23:36Z,2260000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT09M17.00S,2025-10-23T00:23:48.0Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,35,44,2025-10-23T00:23:48Z,2270000,False,,,0,,R. Barrett Free Throw 2 of 2 (12 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,,,12.0,,,,,,,
228,PT09M00.00S,2025-10-23T00:24:06.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,12.828515111695138,45.83333333333333,1610612737,37,44,2025-10-23T00:24:12Z,2280000,False,21.0,68.0,1,left,O. Okongwu 7' Hook (7 PTS) (J. Johnson 3 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,7.12,Made,,,,,,,,,,,7.0,J. Johnson,1630552.0,3.0,,,,
230,PT08M47.00S,2025-10-23T00:24:19.2Z,2,REGULAR,3pt,Jump Shot,[],1642347,69.59592641261499,68.87254901960785,1610612761,37,47,2025-10-23T00:24:24Z,2300000,False,94.0,233.0,1,right,J. Shead 25' 3PT  (5 PTS) (R. Barrett 3 AST),"[1642347, 1629628]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,25.17,Made,,,,,,,,,,,5.0,R. Barrett,1629628.0,3.0,,,,
232,PT08M33.00S,2025-10-23T00:24:32.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,15.982260183968464,55.88235294117647,1610612737,37,47,2025-10-23T00:24:37Z,2320000,False,-29.0,98.0,1,left,MISS J. Johnson 10' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,10.2,Missed,,,,,,,,,,,,,,,,,,
233,PT08M30.00S,2025-10-23T00:24:35.5Z,2,REGULAR,rebound,defensive,[],1642367,,,1610612761,37,47,2025-10-23T00:24:37Z,2330000,False,,,0,,J. Mogbo REBOUND (Off:1 Def:1),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),8-16 Center,,,232.0,2.0,1.0,1.0,,,,,,,,,,,,,,
234,PT08M26.00S,2025-10-23T00:24:40.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642347,93.51182654402102,50.0,1610612761,37,47,2025-10-23T00:24:46Z,2340000,False,0.0,8.0,1,right,MISS J. Shead running Layup,[1642347],1610612761.0,TOR,running,,,Shead,J. Shead,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,,,,
235,PT08M23.00S,2025-10-23T00:24:43.4Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612737,37,47,2025-10-23T00:24:46Z,2350000,False,,,0,,L. Kennard REBOUND (Off:0 Def:3),[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,Restricted Area,0-8 Center,,,234.0,3.0,3.0,0.0,,,,,,,,,,,,,,
236,PT08M16.00S,2025-10-23T00:24:49.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,8.886333771353483,45.34313725490196,1610612737,39,47,2025-10-23T00:24:54Z,2360000,False,23.0,31.0,1,left,O. Okongwu Layup (9 PTS) (J. Johnson 4 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,3.88,Made,,,,,,,,,,,9.0,J. Johnson,1630552.0,4.0,,,,
238,PT07M51.00S,2025-10-23T00:25:14.4Z,2,REGULAR,3pt,Jump Shot,[],1630534,88.38699080157687,96.32352941176471,1610612761,39,47,2025-10-23T00:25:20Z,2380000,False,232.0,57.0,1,right,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,23.84,Missed,,,,,,,,,,,,,,,,,,
239,PT07M48.00S,2025-10-23T00:25:17.4Z,2,REGULAR,rebound,offensive,[],1642419,,,1610612761,39,47,2025-10-23T00:25:20Z,2390000,False,,,0,,J. Battle REBOUND (Off:1 Def:1),[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Right Corner 3,24+ Right,,,238.0,2.0,1.0,1.0,,,,,,,,,,,,,,
240,PT07M42.00S,2025-10-23T00:25:24.1Z,2,REGULAR,turnover,bad pass,[],1642347,,,1610612761,39,47,2025-10-23T00:25:28Z,2400000,False,,,0,,J. Shead bad pass TURNOVER (2 TO),"[1642347, 1630811]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,,,,,,,,,,,Wallace,1630811.0
241,PT07M42.00S,2025-10-23T00:25:24.1Z,2,REGULAR,steal,,[],1630811,,,1610612737,39,47,2025-10-23T00:25:26Z,2410000,False,,,0,,K. Wallace STEAL (1 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
242,PT07M39.00S,2025-10-23T00:25:27.8Z,2,REGULAR,turnover,bad pass,[],1630811,,,1610612737,39,47,2025-10-23T00:25:31Z,2420000,False,,,0,,K. Wallace bad pass TURNOVER (1 TO),"[1630811, 1642347]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,,,,,,,,,,Shead,1642347.0
243,PT07M39.00S,2025-10-23T00:25:27.8Z,2,REGULAR,steal,,[],1642347,,,1610612761,39,47,2025-10-23T00:25:29Z,2430000,False,,,0,,J. Shead STEAL (1 STL),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
244,PT07M37.00S,2025-10-23T00:25:33.3Z,2,REGULAR,foul,personal,[],1628379,,,1610612761,39,47,2025-10-23T00:25:38Z,2440000,False,,,0,,L. Kennard personal FOUL (2 PF),"[1628379, 1642419]",1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,,,,2882.0,,2.0,0.0,Battle,1642419.0,,,,,,,,
246,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,out,[],1628379,,,1610612761,39,47,2025-10-23T00:26:12Z,2460000,False,,,0,,SUB out: L. Kennard,[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,out,[],1629638,,,1610612761,39,47,2025-10-23T00:26:12Z,2470000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,out,[],1642367,,,1610612761,39,47,2025-10-23T00:26:12Z,2480000,False,,,0,,SUB out: J. Mogbo,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,out,[],1629628,,,1610612761,39,47,2025-10-23T00:26:12Z,2490000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,out,[],1642347,,,1610612761,39,47,2025-10-23T00:26:12Z,2500000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,in,[],1629027,,,1610612761,39,47,2025-10-23T00:26:12Z,2510000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,in,[],1630700,,,1610612761,39,47,2025-10-23T00:26:12Z,2520000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,in,[],1627751,,,1610612761,39,47,2025-10-23T00:26:12Z,2530000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,in,[],1630193,,,1610612761,39,47,2025-10-23T00:26:12Z,2540000,False,,,0,,SUB in: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M37.00S,2025-10-23T00:25:38.9Z,2,REGULAR,substitution,in,[],1627742,,,1610612761,39,47,2025-10-23T00:26:12Z,2550000,False,,,0,,SUB in: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT07M37.00S,2025-10-23T00:26:45.7Z,2,REGULAR,substitution,out,[],1630811,,,1610612761,39,47,2025-10-23T00:26:59Z,2570000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT07M37.00S,2025-10-23T00:26:45.7Z,2,REGULAR,substitution,in,[],1629638,,,1610612761,39,47,2025-10-23T00:26:59Z,2580000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT07M20.00S,2025-10-23T00:28:24.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,71.69842312746385,18.627450980392158,1610612761,39,47,2025-10-23T00:28:29Z,2590000,False,-157.0,214.0,1,right,MISS I. Quickley 26' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
260,PT07M17.00S,2025-10-23T00:28:27.6Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,39,47,2025-10-23T00:28:29Z,2600000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,259.0,2.0,2.0,0.0,,,,,,,,,,,,,,
261,PT07M06.00S,2025-10-23T00:28:38.6Z,2,REGULAR,3pt,Jump Shot,[],1630168,32.933639947437584,50.73529411764706,1610612737,39,47,2025-10-23T00:28:43Z,2610000,False,-4.0,257.0,1,left,MISS O. Okongwu 25' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
262,PT07M03.00S,2025-10-23T00:28:41.6Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612761,39,47,2025-10-23T00:28:43Z,2620000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,261.0,1.0,1.0,0.0,,,,,,,,,,,,,,
263,PT06M46.00S,2025-10-23T00:28:59.1Z,2,REGULAR,3pt,Jump Shot,[],1642419,97.05978975032852,96.56862745098039,1610612761,39,47,2025-10-23T00:29:04Z,2630000,False,233.0,-25.0,1,right,MISS J. Battle 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
264,PT06M43.00S,2025-10-23T00:29:02.1Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,39,47,2025-10-23T00:29:04Z,2640000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,263.0,3.0,3.0,0.0,,,,,,,,,,,,,,
265,PT06M26.00S,2025-10-23T00:29:19.0Z,2,REGULAR,turnover,lost ball,[],1630552,,,1610612737,39,47,2025-10-23T00:29:23Z,2650000,False,,,0,,J. Johnson lost ball TURNOVER (1 TO),"[1630552, 1630534]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,,,,,,Agbaji,1630534.0
266,PT06M26.00S,2025-10-23T00:29:19.0Z,2,REGULAR,steal,,[],1630534,,,1610612761,39,47,2025-10-23T00:29:21Z,2660000,False,,,0,,O. Agbaji STEAL (1 STL),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
267,PT06M22.00S,2025-10-23T00:29:23.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627742,92.85479632063075,49.754901960784316,1610612761,39,49,2025-10-23T00:29:35Z,2670000,False,-1.0,15.0,1,right,B. Ingram running finger roll Layup (8 PTS) (O. Agbaji 1 AST),"[1627742, 1630534]",1610612761.0,TOR,running finger roll,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,,,,,8.0,O. Agbaji,1630534.0,1.0,,,,
269,PT06M22.00S,2025-10-23T00:29:28.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,39,49,2025-10-23T00:29:28Z,2690000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT06M22.00S,2025-10-23T00:31:41.3Z,2,REGULAR,substitution,out,[],1630552,,,1610612737,39,49,2025-10-23T00:32:08Z,2700000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M22.00S,2025-10-23T00:31:41.3Z,2,REGULAR,substitution,in,[],1642258,,,1610612737,39,49,2025-10-23T00:32:08Z,2710000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT06M04.00S,2025-10-23T00:32:42.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,13.222733245729303,49.754901960784316,1610612737,39,49,2025-10-23T00:32:49Z,2720000,False,1.0,72.0,1,left,MISS O. Okongwu 7' driving Hook,[1630168],1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
273,PT06M00.00S,2025-10-23T00:32:46.3Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612761,39,49,2025-10-23T00:32:49Z,2730000,False,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,272.0,3.0,3.0,0.0,,,,,,,,,,,,,,
274,PT05M54.00S,2025-10-23T00:32:52.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.11760840998686,51.225490196078425,1610612761,39,49,2025-10-23T00:33:44Z,2740000,False,6.0,12.0,1,right,MISS B. Ingram driving Layup - blocked,"[1627742, 1642258]",1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,Risacher,1642258.0,,
