actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
85,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,in,[],1642347,,,1610612737,17,16,2025-11-08T00:58:34Z,850000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,in,[],1642867,,,1610612737,17,16,2025-11-08T00:58:34Z,860000,False,,,0,,SUB in: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,out,[],1629628,,,1610612737,17,16,2025-11-08T00:58:45Z,870000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,in,[],1641711,,,1610612737,17,16,2025-11-08T00:58:45Z,880000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M39.00S,2025-11-08T00:59:00.7Z,1,REGULAR,foul,personal,['2freethrow'],1641711,,,1610612737,17,16,2025-11-08T00:59:24Z,890000,False,,,0,,G. Dick shooting personal FOUL (1 PF) (Johnson 2 FT),"[1641711, 1630552]",1610612761.0,TOR,shooting,,,Dick,G. Dick,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202053.0,1.0,0.0,Johnson,1630552.0,,,
91,PT04M39.00S,2025-11-08T00:59:25.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630552,,,1610612737,18,16,2025-11-08T00:59:25Z,910000,False,,,0,,J. Johnson Free Throw 1 of 2 (7 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
92,PT04M39.00S,2025-11-08T00:59:39.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630552,,,1610612737,19,16,2025-11-08T00:59:39Z,920000,False,,,0,,J. Johnson Free Throw 2 of 2 (8 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
93,PT04M18.00S,2025-11-08T01:00:01.0Z,1,REGULAR,3pt,Jump Shot,[],1641711,67.88764783180025,38.72549019607843,1610612761,19,19,2025-11-08T01:00:07Z,930000,False,-56.0,249.0,1,right,G. Dick 25' 3PT pullup (3 PTS) (B. Ingram 1 AST),"[1641711, 1627742]",1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,Above the Break 3,24+ Center,25.57,Made,3.0,,,,,,,,,,,,,,,B. Ingram,1627742.0,1.0
95,PT04M10.00S,2025-11-08T01:00:09.3Z,1,REGULAR,3pt,Jump Shot,[],1629638,30.042706964520367,25.49019607843137,1610612737,19,19,2025-11-08T01:00:15Z,950000,False,123.0,230.0,1,left,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
96,PT04M07.00S,2025-11-08T01:00:12.3Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612761,19,19,2025-11-08T01:00:15Z,960000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,
97,PT04M01.00S,2025-11-08T01:00:18.5Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.48685939553219,76.22549019607843,1610612761,19,19,2025-11-08T01:00:24Z,970000,False,131.0,206.0,1,right,MISS B. Ingram 24' 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,24.43,Missed,,,,,,,,,,,,,,,,,,
98,PT03M57.00S,2025-11-08T01:00:22.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,19,19,2025-11-08T01:00:24Z,980000,False,,,0,,J. Johnson REBOUND (Off:0 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,97.0,3.0,3.0,0.0,,,,,,,,,,,,,
99,PT03M50.00S,2025-11-08T01:00:29.6Z,1,REGULAR,foul,personal,['2freethrow'],1642867,,,1610612737,19,19,2025-11-08T01:01:12Z,990000,False,,,0,,C. Murray-Boyles shooting personal FOUL (1 PF) (Alexander-Walker 2 FT),"[1642867, 1629638]",1610612761.0,TOR,shooting,,,Murray-Boyles,C. Murray-Boyles,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Alexander-Walker,1629638.0,,,
101,PT03M50.00S,2025-11-08T01:00:57.7Z,1,REGULAR,freethrow,1 of 2,[],1629638,,,1610612737,19,19,2025-11-08T01:01:21Z,1010000,False,,,0,,MISS N. Alexander-Walker Free Throw 1 of 2,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT03M50.00S,2025-11-08T01:00:57.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,19,19,2025-11-08T01:01:21Z,1020000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,
103,PT03M50.00S,2025-11-08T01:00:58.8Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,19,19,2025-11-08T01:01:02Z,1030000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M50.00S,2025-11-08T01:00:58.8Z,1,REGULAR,substitution,in,[],1630811,,,1610612737,19,19,2025-11-08T01:01:02Z,1040000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M50.00S,2025-11-08T01:00:57.7Z,1,REGULAR,freethrow,2 of 2,[],1629638,,,1610612737,20,19,2025-11-08T01:01:21Z,1050000,False,,,0,,N. Alexander-Walker Free Throw 2 of 2 (6 PTS),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
106,PT03M30.00S,2025-11-08T01:01:34.2Z,1,REGULAR,3pt,Jump Shot,[],1627742,87.99277266754271,95.34313725490196,1610612761,20,19,2025-11-08T01:01:40Z,1060000,False,227.0,60.0,1,right,MISS B. Ingram 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
107,PT03M26.00S,2025-11-08T01:01:38.2Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,20,19,2025-11-08T01:01:40Z,1070000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,,,
109,PT03M20.00S,2025-11-08T01:02:07.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,20,19,2025-11-08T01:02:07Z,1090000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M20.00S,2025-11-08T01:04:22.5Z,1,REGULAR,substitution,out,[],1629638,,,1610612737,20,19,2025-11-08T01:04:48Z,1100000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M20.00S,2025-11-08T01:04:22.5Z,1,REGULAR,substitution,in,[],1630700,,,1610612737,20,19,2025-11-08T01:04:48Z,1110000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M14.00S,2025-11-08T01:05:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,7.835085413929041,44.36274509803921,1610612737,22,19,2025-11-08T01:05:14Z,1120000,False,28.0,21.0,1,left,D. Daniels driving Layup (2 PTS) (V. Krejčí 1 AST),"[1630700, 1630249]",1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,3.52,Made,2.0,,,,,,,,,,,,,,,V. Krejčí,1630249.0,1.0
113,PT02M51.00S,2025-11-08T01:05:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.40932982917214,50.245098039215684,1610612761,22,19,2025-11-08T01:05:36Z,1130000,False,1.0,28.0,1,right,MISS B. Ingram cutting Layup,[1627742],1610612761.0,TOR,cutting,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
114,PT02M47.00S,2025-11-08T01:05:33.6Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612761,22,19,2025-11-08T01:05:36Z,1140000,False,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,113.0,2.0,1.0,1.0,,,,,,,,,,,,,
115,PT02M47.00S,2025-11-08T01:05:34.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627742,94.40999984741211,50.0,1610612761,22,21,2025-11-08T01:05:42Z,1150000,False,0.0,0.0,1,right,B. Ingram tip Layup (10 PTS),[1627742],1610612761.0,TOR,tip,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,0.0,Made,10.0,,,,,,,,,,,,,,,,,
116,PT02M44.00S,2025-11-08T01:05:45.0Z,1,REGULAR,violation,kicked ball,[],1627742,,,1610612737,22,21,2025-11-08T01:05:57Z,1160000,False,,,0,,B. Ingram kicked ball VIOLATION,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,1627529.0,,,,,,,
117,PT02M35.00S,2025-11-08T01:06:11.2Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612737,22,21,2025-11-08T01:06:15Z,1170000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1642347]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,Shead,1642347.0,,,,,,,,,,
118,PT02M35.00S,2025-11-08T01:06:11.2Z,1,REGULAR,steal,,[],1642347,,,1610612761,22,21,2025-11-08T01:06:13Z,1180000,False,,,0,,J. Shead STEAL (1 STL),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
119,PT02M25.00S,2025-11-08T01:06:21.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630572,73.14388961892247,81.61764705882352,1610612761,22,24,2025-11-08T01:06:27Z,1190000,False,158.0,200.0,1,right,S. Mamukelashvili 25' 3PT  (3 PTS) (J. Shead 1 AST),"[1630572, 1642347]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,25.49,Made,3.0,,,,,,,,,,,,,,,J. Shead,1642347.0,1.0
121,PT02M13.00S,2025-11-08T01:06:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630168,32.670827858081466,46.568627450980394,1610612737,22,24,2025-11-08T01:06:37Z,1210000,False,17.0,255.0,1,left,MISS O. Okongwu 25' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
122,PT02M11.00S,2025-11-08T01:06:34.3Z,1,REGULAR,rebound,defensive,[],1642867,,,1610612761,22,24,2025-11-08T01:06:37Z,1220000,False,,,0,,C. Murray-Boyles REBOUND (Off:0 Def:1),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Center,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,
123,PT02M00.00S,2025-11-08T01:06:47.7Z,1,REGULAR,turnover,out-of-bounds,[],1642867,,,1610612761,22,24,2025-11-08T01:06:55Z,1230000,False,,,0,,C. Murray-Boyles lost ball out-of-bounds TURNOVER (1 TO),[1642867],1610612761.0,TOR,lost ball,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,1627529.0,,,,,,,
124,PT02M00.00S,2025-11-08T01:06:52.8Z,1,REGULAR,substitution,out,[],1627742,,,1610612737,22,24,2025-11-08T01:06:56Z,1240000,False,,,0,,SUB out: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M00.00S,2025-11-08T01:06:52.8Z,1,REGULAR,substitution,in,[],1630567,,,1610612737,22,24,2025-11-08T01:06:56Z,1250000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M44.00S,2025-11-08T01:07:20.0Z,1,REGULAR,turnover,traveling,[],1630811,,,1610612737,22,24,2025-11-08T01:07:27Z,1260000,False,,,0,,K. Wallace traveling TURNOVER (1 TO),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,2534.0,,,,,,,
127,PT01M26.00S,2025-11-08T01:07:48.5Z,1,REGULAR,turnover,bad pass,[],1642867,,,1610612761,22,24,2025-11-08T01:07:53Z,1270000,False,,,0,,C. Murray-Boyles bad pass TURNOVER (2 TO),"[1642867, 1630811]",1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,16-24 Left Center,,,,,,,,2.0,Wallace,1630811.0,,,,,,,,,,
128,PT01M26.00S,2025-11-08T01:07:48.5Z,1,REGULAR,steal,,[],1630811,,,1610612737,22,24,2025-11-08T01:07:50Z,1280000,False,,,0,,K. Wallace STEAL (1 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
129,PT01M22.00S,2025-11-08T01:07:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612737,22,24,2025-11-08T01:08:21Z,1290000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Daniels 2 FT),"[1630567, 1630700]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Daniels,1630700.0,,,
131,PT01M22.00S,2025-11-08T01:08:23.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630700,,,1610612737,23,24,2025-11-08T01:08:23Z,1310000,False,,,0,,D. Daniels Free Throw 1 of 2 (3 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
132,PT01M22.00S,2025-11-08T01:08:39.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630700,,,1610612737,24,24,2025-11-08T01:08:39Z,1320000,False,,,0,,D. Daniels Free Throw 2 of 2 (4 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
133,PT01M10.00S,2025-11-08T01:08:52.3Z,1,REGULAR,3pt,Jump Shot,[],1641711,91.67214191852825,96.07843137254902,1610612761,24,24,2025-11-08T01:08:58Z,1330000,False,230.0,26.0,1,right,MISS G. Dick 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
134,PT01M06.00S,2025-11-08T01:08:56.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,24,24,2025-11-08T01:08:58Z,1340000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,133.0,2.0,2.0,0.0,,,,,,,,,,,,,
135,PT01M00.00S,2025-11-08T01:09:02.4Z,1,REGULAR,3pt,Jump Shot,[],1630168,31.750985545335087,62.254901960784316,1610612737,24,24,2025-11-08T01:09:07Z,1350000,False,-61.0,246.0,1,left,MISS O. Okongwu 25' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.35,Missed,,,,,,,,,,,,,,,,,,
136,PT00M57.00S,2025-11-08T01:09:06.3Z,1,REGULAR,rebound,offensive,[],1630249,,,1610612737,24,24,2025-11-08T01:09:06Z,1360000,False,,,0,,V. Krejčí REBOUND (Off:1 Def:0),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Center,,,,135.0,1.0,0.0,1.0,,,,,,,,,,,,,
137,PT00M49.10S,2025-11-08T01:09:14.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630811,19.136005256241788,51.9607843137255,1610612737,26,24,2025-11-08T01:09:20Z,1370000,False,-10.0,127.0,1,left,K. Wallace 12' driving floating Jump Shot (2 PTS),[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,12.78,Made,2.0,,,,,,,,,,,,,,,,,
139,PT00M40.20S,2025-11-08T01:09:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641711,82.86793692509855,51.9607843137255,1610612761,26,24,2025-11-08T01:09:32Z,1380000,False,10.0,109.0,1,right,MISS G. Dick 10' driving floating Shot,[1641711],1610612761.0,TOR,driving floating,,,Dick,G. Dick,,,,,In The Paint (Non-RA),8-16 Center,10.89,Missed,,,,,,,,,,,,,,,,,,
140,PT00M36.20S,2025-11-08T01:09:29.1Z,1,REGULAR,rebound,defensive,[],1630811,,,1610612737,26,24,2025-11-08T01:09:32Z,1390000,False,,,0,,K. Wallace REBOUND (Off:0 Def:1),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,
141,PT00M29.90S,2025-11-08T01:09:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,5.863994743758213,52.450980392156865,1610612737,26,24,2025-11-08T01:09:41Z,1400000,False,-12.0,3.0,1,left,MISS D. Daniels driving Layup,[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.26,Missed,,,,,,,,,,,,,,,,,,
142,PT00M26.70S,2025-11-08T01:09:38.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,26,24,2025-11-08T01:09:38Z,1410000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,141.0,2.0,2.0,0.0,,,,,,,,,,,,,
143,PT00M24.10S,2025-11-08T01:09:41.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642347,71.04139290407359,78.18627450980392,1610612761,26,24,2025-11-08T01:09:57Z,1420000,False,141.0,220.0,1,right,MISS J. Shead 26' running 3PT,[1642347],1610612761.0,TOR,running,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,26.1,Missed,,,,,,,,,,,,,,,,,,
144,PT00M21.20S,2025-11-08T01:09:44.0Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612761,26,24,2025-11-08T01:09:57Z,1430000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:1),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,143.0,2.0,1.0,1.0,,,,,,,,,,,,,
145,PT00M21.20S,2025-11-08T01:09:45.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1630572,94.40999984741211,50.0,1610612761,26,26,2025-11-08T01:09:52Z,1440000,False,0.0,0.0,1,right,S. Mamukelashvili tip Layup (5 PTS),[1630572],1610612761.0,TOR,tip,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
146,PT00M03.90S,2025-11-08T01:10:03.2Z,1,REGULAR,3pt,Jump Shot,[],1630811,32.933639947437584,50.245098039215684,1610612737,26,26,2025-11-08T01:19:17Z,1450000,False,-1.0,257.0,1,left,MISS K. Wallace 25' 3PT,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
147,PT00M00.70S,2025-11-08T01:10:06.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,26,26,2025-11-08T01:10:06Z,1460000,False,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,146.0,3.0,3.0,0.0,,,,,,,,,,,,,
148,PT00M00.00S,2025-11-08T01:10:13.9Z,1,REGULAR,period,end,[],0,,,1610612761,26,26,2025-11-08T01:10:13Z,1470000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,out,['startperiod'],1631243,,,1610612761,26,26,2025-11-08T01:12:51Z,1480000,False,,,0,,SUB out: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,out,['startperiod'],1630249,,,1610612761,26,26,2025-11-08T01:12:51Z,1490000,False,,,0,,SUB out: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,out,['startperiod'],1642867,,,1610612761,26,26,2025-11-08T01:12:51Z,1500000,False,,,0,,SUB out: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,out,['startperiod'],1642347,,,1610612761,26,26,2025-11-08T01:12:51Z,1510000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,out,['startperiod'],1630572,,,1610612761,26,26,2025-11-08T01:12:51Z,1520000,False,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612761,26,26,2025-11-08T01:12:51Z,1530000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,in,['startperiod'],1642258,,,1610612761,26,26,2025-11-08T01:12:51Z,1540000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,in,['startperiod'],1627751,,,1610612761,26,26,2025-11-08T01:12:51Z,1550000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,in,['startperiod'],1630193,,,1610612761,26,26,2025-11-08T01:12:51Z,1560000,False,,,0,,SUB in: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-11-08T01:12:20.5Z,2,REGULAR,substitution,in,['startperiod'],1629628,,,1610612761,26,26,2025-11-08T01:12:51Z,1570000,False,,,0,,SUB in: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-11-08T01:12:58.2Z,2,REGULAR,period,start,[],0,,,1610612737,26,26,2025-11-08T01:12:58Z,1580000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M37.00S,2025-11-08T01:13:21.2Z,2,REGULAR,3pt,Jump Shot,[],1630811,13.222733245729303,3.431372549019608,1610612737,29,26,2025-11-08T01:13:26Z,1590000,False,233.0,72.0,1,left,K. Wallace 24' 3PT  (5 PTS) (D. Daniels 2 AST),"[1630811, 1630700]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Right Corner 3,24+ Right,24.36,Made,5.0,,,,,,,,,,,,,,,D. Daniels,1630700.0,2.0
162,PT11M20.00S,2025-11-08T01:13:36.4Z,2,REGULAR,3pt,Jump Shot,[],1630567,70.38436268068331,22.794117647058822,1610612761,29,26,2025-11-08T01:13:42Z,1610000,False,-136.0,226.0,1,right,MISS S. Barnes 26' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
163,PT11M18.00S,2025-11-08T01:13:38.4Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,29,26,2025-11-08T01:13:42Z,1620000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,162.0,1.0,1.0,0.0,,,,,,,,,,,,,
164,PT11M13.00S,2025-11-08T01:13:45.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],204001,34.11629434954008,46.32352941176471,1610612737,29,26,2025-11-08T01:13:54Z,1630000,False,18.0,268.0,1,left,MISS K. Porziņģis 26' running 3PT,[204001],1610612737.0,ATL,running,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,26.88,Missed,,,,,,,,,,,,,,,,,,
