actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
87,PT05M28.00S,2026-02-06T00:55:21.8Z,1,REGULAR,block,,[],1629111,,,1610612762,15,16,2026-02-06T00:55:24Z,870000,False,,,0,,J. Landale BLOCK (2 BLK),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
88,PT05M27.00S,2026-02-06T00:55:22.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,15,16,2026-02-06T00:57:31Z,880000,False,,,0,,J. Johnson REBOUND (Off:1 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,86.0,2.0,1.0,1.0,,,,,,,,,,,,,,
90,PT05M21.00S,2026-02-06T00:55:43.4Z,1,REGULAR,substitution,out,[],1642258,,,1610612737,15,16,2026-02-06T00:55:56Z,900000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M21.00S,2026-02-06T00:55:43.4Z,1,REGULAR,substitution,out,[],1629111,,,1610612737,15,16,2026-02-06T00:55:56Z,910000,False,,,0,,SUB out: J. Landale,[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M21.00S,2026-02-06T00:55:43.4Z,1,REGULAR,substitution,in,[],1630557,,,1610612737,15,16,2026-02-06T00:55:56Z,920000,False,,,0,,SUB in: C. Kispert,[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M21.00S,2026-02-06T00:55:43.4Z,1,REGULAR,substitution,in,[],1642854,,,1610612737,15,16,2026-02-06T00:55:56Z,930000,False,,,0,,SUB in: A. Newell,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M11.00S,2026-02-06T00:56:19.7Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612737,15,16,2026-02-06T00:56:40Z,940000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Johnson 2 FT),"[1642268, 1630552]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,Johnson,1630552.0,,,,,,,,
96,PT05M11.00S,2026-02-06T00:56:41.9Z,1,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,16,16,2026-02-06T00:56:41Z,960000,False,,,0,,J. Johnson Free Throw 1 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
97,PT05M11.00S,2026-02-06T00:56:55.4Z,1,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,17,16,2026-02-06T00:56:55Z,970000,False,,,0,,J. Johnson Free Throw 2 of 2 (2 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
98,PT04M56.00S,2026-02-06T00:57:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,92.32917214191852,53.67647058823529,1610612762,17,16,2026-02-06T00:57:19Z,980000,False,18.0,20.0,1,right,MISS L. Markkanen driving floating Shot,[1628374],1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
99,PT04M54.00S,2026-02-06T00:57:14.5Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612737,17,16,2026-02-06T00:57:19Z,990000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,
100,PT04M47.00S,2026-02-06T00:57:21.6Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612737,17,16,2026-02-06T00:57:27Z,1000000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1642262]",1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,,,,,,,,Williams,1642262.0
101,PT04M47.00S,2026-02-06T00:57:21.6Z,1,REGULAR,steal,,[],1642262,,,1610612762,17,16,2026-02-06T00:57:23Z,1010000,False,,,0,,C. Williams STEAL (1 STL),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
102,PT04M44.00S,2026-02-06T00:57:24.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642268,93.24901445466492,51.71568627450981,1610612762,17,18,2026-02-06T00:57:33Z,1020000,False,9.0,11.0,1,right,I. Collier running DUNK (7 PTS) (C. Williams 1 AST),"[1642268, 1642262]",1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,,,,,,,7.0,,,C. Williams,1642262.0,1.0,,
104,PT04M28.00S,2026-02-06T00:57:40.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642854,5.732588699080158,51.225490196078425,1610612737,17,18,2026-02-06T00:57:48Z,1040000,False,-6.0,1.0,1,left,MISS A. Newell cutting DUNK - blocked,"[1642854, 1642262]",1610612737.0,ATL,cutting,,,Newell,A. Newell,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,Williams,1642262.0,,,,,
105,PT04M28.00S,2026-02-06T00:57:40.6Z,1,REGULAR,block,,[],1642262,,,1610612737,17,18,2026-02-06T00:57:44Z,1050000,False,,,0,,C. Williams BLOCK (2 BLK),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
106,PT04M25.00S,2026-02-06T00:57:43.6Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,17,18,2026-02-06T00:57:48Z,1060000,False,,,0,,I. Collier REBOUND (Off:0 Def:2),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,104.0,2.0,2.0,0.0,,,,,,,,,,,,,,
107,PT04M19.00S,2026-02-06T00:57:49.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,71.43561103810775,19.852941176470587,1610612762,17,18,2026-02-06T00:57:57Z,1070000,False,-151.0,216.0,1,right,MISS L. Markkanen 26' running 3PT,[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.34,Missed,,,,,,,,,,,,,,,,,,
108,PT04M15.00S,2026-02-06T00:57:53.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,17,18,2026-02-06T00:57:57Z,1080000,False,,,0,,J. Johnson REBOUND (Off:1 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,107.0,3.0,2.0,1.0,,,,,,,,,,,,,,
109,PT04M12.00S,2026-02-06T00:57:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630552,5.863994743758213,47.794117647058826,1610612737,17,18,2026-02-06T00:58:03Z,1090000,False,11.0,3.0,1,left,MISS J. Johnson running Layup - blocked,"[1630552, 1642262]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,Williams,1642262.0,,,,,
110,PT04M12.00S,2026-02-06T00:57:56.0Z,1,REGULAR,block,,[],1642262,,,1610612737,17,18,2026-02-06T00:57:59Z,1100000,False,,,0,,C. Williams BLOCK (3 BLK),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT04M09.00S,2026-02-06T00:57:59.0Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,17,18,2026-02-06T00:58:03Z,1110000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
112,PT04M08.00S,2026-02-06T00:58:01.9Z,1,REGULAR,foul,offensive,[],1642268,,,1610612762,17,18,2026-02-06T00:58:09Z,1120000,False,,,0,,I. Collier charge offensive FOUL (2 PF),"[1642268, 1630557]",1610612762.0,UTA,charge,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,2.0,0.0,Kispert,1630557.0,,,,,,,,
114,PT04M08.00S,2026-02-06T00:58:01.9Z,1,REGULAR,turnover,offensive foul,[],1642268,,,1610612762,17,18,2026-02-06T00:58:01Z,1140000,False,,,0,,I. Collier offensive foul TURNOVER (1 TO),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
115,PT03M55.00S,2026-02-06T00:58:33.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203468,17.16491458607096,72.79411764705883,1610612737,17,18,2026-02-06T00:58:42Z,1150000,False,-114.0,109.0,1,left,MISS C. McCollum 15' step back Shot,[203468],1610612737.0,ATL,step back,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,15.77,Missed,,,,,,,,,,,,,,,,,,
116,PT03M52.00S,2026-02-06T00:58:36.6Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,17,18,2026-02-06T00:58:42Z,1160000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,115.0,1.0,0.0,1.0,,,,,,,,,,,,,,
118,PT03M44.00S,2026-02-06T00:59:20.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203468,32.933639947437584,52.94117647058824,1610612737,17,18,2026-02-06T00:59:26Z,1180000,False,-15.0,257.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
119,PT03M40.00S,2026-02-06T00:59:24.9Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,17,18,2026-02-06T00:59:26Z,1190000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Center,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,,
120,PT03M29.00S,2026-02-06T00:59:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612762,17,18,2026-02-06T01:00:05Z,1200000,False,,,0,,D. Daniels shooting personal FOUL (2 PF) (Williams 2 FT),"[1630700, 1642262]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,2.0,0.0,Williams,1642262.0,,,,,,,,
122,PT03M29.00S,2026-02-06T01:00:12.3Z,1,REGULAR,freethrow,1 of 2,[],1642262,,,1610612762,17,18,2026-02-06T01:00:12Z,1220000,False,,,0,,MISS C. Williams Free Throw 1 of 2,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
123,PT03M29.00S,2026-02-06T01:00:12.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,17,18,2026-02-06T01:00:12Z,1230000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,
124,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,out,[],1630552,,,1610612762,17,18,2026-02-06T01:00:26Z,1240000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,out,[],1630700,,,1610612762,17,18,2026-02-06T01:00:26Z,1250000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,out,[],1642846,,,1610612762,17,18,2026-02-06T01:00:26Z,1260000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,17,18,2026-02-06T01:00:26Z,1270000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,in,[],1631243,,,1610612762,17,18,2026-02-06T01:00:26Z,1280000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,in,[],1629638,,,1610612762,17,18,2026-02-06T01:00:26Z,1290000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,in,[],1629004,,,1610612762,17,18,2026-02-06T01:00:26Z,1300000,False,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M29.00S,2026-02-06T01:00:13.3Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,17,18,2026-02-06T01:00:26Z,1310000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M29.00S,2026-02-06T01:00:35.1Z,1,REGULAR,freethrow,2 of 2,[],1642262,,,1610612762,17,19,2026-02-06T01:00:35Z,1320000,False,,,0,,C. Williams Free Throw 2 of 2 (1 PTS),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
133,PT03M16.00S,2026-02-06T01:00:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,5.206964520367937,52.69607843137255,1610612737,19,19,2026-02-06T01:00:58Z,1330000,False,-13.0,-4.0,1,left,C. Kispert driving reverse Layup (2 PTS) (C. McCollum 1 AST),"[1630557, 203468]",1610612737.0,ATL,driving reverse,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,,,,,,,2.0,,,C. McCollum,203468.0,1.0,,
135,PT03M06.00S,2026-02-06T01:00:58.6Z,1,REGULAR,foul,personal,['2freethrow'],1642854,,,1610612762,19,19,2026-02-06T01:01:18Z,1350000,False,,,0,,A. Newell shooting personal FOUL (1 PF) (Filipowski 2 FT),"[1642854, 1642271]",1610612737.0,ATL,shooting,,,Newell,A. Newell,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,Filipowski,1642271.0,,,,,,,,
137,PT03M06.00S,2026-02-06T01:01:26.5Z,1,REGULAR,freethrow,1 of 2,[],1642271,,,1610612762,19,20,2026-02-06T01:02:14Z,1370000,False,,,0,,K. Filipowski Free Throw 1 of 2 (7 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,,,,,,,7.0,,,,,,,
138,PT03M06.00S,2026-02-06T01:01:26.5Z,1,REGULAR,violation,lane,[],203468,,,1610612762,19,20,2026-02-06T01:02:14Z,1380000,False,,,0,,C. McCollum lane VIOLATION,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT03M06.00S,2026-02-06T01:01:26.5Z,1,REGULAR,freethrow,2 of 2,[],1642271,,,1610612762,19,20,2026-02-06T01:02:14Z,1390000,False,,,0,,MISS K. Filipowski Free Throw 2 of 2,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
140,PT03M04.00S,2026-02-06T01:01:28.5Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,19,20,2026-02-06T01:02:14Z,1400000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT02M52.00S,2026-02-06T01:02:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631243,5.206964520367937,51.71568627450981,1610612737,21,20,2026-02-06T01:02:32Z,1410000,False,-9.0,-4.0,1,left,M. Gueye reverse Layup (2 PTS) (C. McCollum 2 AST),"[1631243, 203468]",1610612737.0,ATL,reverse,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,0.93,Made,,,,,,,,,,,2.0,,,C. McCollum,203468.0,2.0,,
143,PT02M35.00S,2026-02-06T01:02:41.8Z,1,REGULAR,3pt,Jump Shot,[],1641729,66.17936925098554,56.61764705882353,1610612762,21,23,2026-02-06T01:02:47Z,1430000,False,33.0,265.0,1,right,B. Sensabaugh 26' 3PT  (3 PTS) (I. Collier 3 AST),"[1641729, 1642268]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,26.75,Made,,,,,,,,,,,3.0,,,I. Collier,1642268.0,3.0,,
145,PT02M22.00S,2026-02-06T01:02:55.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642854,5.206964520367937,51.470588235294116,1610612737,23,23,2026-02-06T01:03:01Z,1450000,False,-7.0,-4.0,1,left,A. Newell cutting DUNK (2 PTS) (N. Alexander-Walker 1 AST),"[1642854, 1629638]",1610612737.0,ATL,cutting,,,Newell,A. Newell,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,,,,,,,2.0,,,N. Alexander-Walker,1629638.0,1.0,,
147,PT02M09.00S,2026-02-06T01:03:09.2Z,1,REGULAR,turnover,out-of-bounds,[],1641729,,,1610612762,23,23,2026-02-06T01:03:16Z,1470000,False,,,0,,B. Sensabaugh bad pass out-of-bounds TURNOVER (1 TO),[1641729],1610612762.0,UTA,bad pass,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,204058.0,1.0,,,,,,,,,,,,
148,PT01M56.00S,2026-02-06T01:03:27.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629638,15.982260183968464,46.568627450980394,1610612737,23,23,2026-02-06T01:03:33Z,1480000,False,17.0,98.0,1,left,MISS N. Alexander-Walker 9' turnaround Shot,[1629638],1610612737.0,ATL,turnaround,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,9.92,Missed,,,,,,,,,,,,,,,,,,
149,PT01M53.00S,2026-02-06T01:03:30.0Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,23,23,2026-02-06T01:03:33Z,1490000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),8-16 Center,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,
150,PT01M43.00S,2026-02-06T01:03:39.7Z,1,REGULAR,3pt,Jump Shot,[],1641729,68.15045992115637,74.26470588235294,1610612762,23,26,2026-02-06T01:03:45Z,1500000,False,121.0,247.0,1,right,B. Sensabaugh 27' 3PT pullup (6 PTS) (I. Collier 4 AST),"[1641729, 1642268]",1610612762.0,UTA,pullup,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,27.51,Made,,,,,,,,,,,6.0,,,I. Collier,1642268.0,4.0,,
151,PT01M32.00S,2026-02-06T01:03:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,5.206964520367937,53.431372549019606,1610612737,25,26,2026-02-06T01:03:55Z,1510000,False,-17.0,-4.0,1,left,C. Kispert driving Layup (4 PTS) (N. Alexander-Walker 2 AST),"[1630557, 1629638]",1610612737.0,ATL,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,,,,,4.0,,,N. Alexander-Walker,1629638.0,2.0,,
153,PT01M14.00S,2026-02-06T01:04:08.0Z,1,REGULAR,3pt,Jump Shot,[],1642262,92.46057818659659,4.166666666666666,1610612762,25,26,2026-02-06T01:04:14Z,1530000,False,-229.0,18.0,1,right,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,22.99,Missed,,,,,,,,,,,,,,,,,,
154,PT01M11.00S,2026-02-06T01:04:11.0Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612737,25,26,2026-02-06T01:04:14Z,1540000,False,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,,,153.0,2.0,2.0,0.0,,,,,,,,,,,,,,
155,PT01M05.00S,2026-02-06T01:04:17.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629638,6.783837056504599,53.431372549019606,1610612737,25,26,2026-02-06T01:05:46Z,1550000,False,-17.0,11.0,1,left,MISS N. Alexander-Walker driving bank Hook,[1629638],1610612737.0,ATL,driving bank,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
156,PT01M03.00S,2026-02-06T01:04:19.2Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,25,26,2026-02-06T01:04:23Z,1560000,False,,,0,,K. Filipowski REBOUND (Off:2 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,155.0,3.0,1.0,2.0,,,,,,,,,,,,,,
157,PT00M52.40S,2026-02-06T01:04:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,88.64980289093299,49.26470588235294,1610612762,25,26,2026-02-06T01:04:36Z,1570000,False,-4.0,54.0,1,right,MISS K. Filipowski driving Layup - blocked,"[1642271, 203468]",1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,McCollum,203468.0,,,,,
158,PT00M52.40S,2026-02-06T01:04:31.6Z,1,REGULAR,block,,[],203468,,,1610612762,25,26,2026-02-06T01:04:34Z,1580000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
159,PT00M49.30S,2026-02-06T01:04:34.7Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,25,26,2026-02-06T01:04:36Z,1590000,False,,,0,,M. Gueye REBOUND (Off:0 Def:2),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,,157.0,2.0,2.0,0.0,,,,,,,,,,,,,,
160,PT00M47.50S,2026-02-06T01:04:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1641729,,,1610612737,25,26,2026-02-06T01:05:02Z,1600000,False,,,0,,B. Sensabaugh shooting personal FOUL (1 PF) (McCollum 2 FT),"[1641729, 203468]",1610612762.0,UTA,shooting,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,McCollum,203468.0,,,,,,,,
163,PT00M47.50S,2026-02-06T01:05:05.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203468,,,1610612737,26,26,2026-02-06T01:05:05Z,1620000,False,,,0,,C. McCollum Free Throw 1 of 2 (1 PTS),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
164,PT00M47.50S,2026-02-06T01:05:18.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203468,,,1610612737,27,26,2026-02-06T01:05:18Z,1630000,False,,,0,,C. McCollum Free Throw 2 of 2 (2 PTS),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
165,PT00M34.10S,2026-02-06T01:05:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,84.44480946123521,51.225490196078425,1610612762,27,26,2026-02-06T01:05:42Z,1640000,False,6.0,94.0,1,right,MISS I. Collier 9' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,9.39,Missed,,,,,,,,,,,,,,,,,,
166,PT00M31.40S,2026-02-06T01:05:37.4Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,27,26,2026-02-06T01:05:42Z,1650000,False,,,0,,K. Filipowski REBOUND (Off:3 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,,,165.0,4.0,1.0,3.0,,,,,,,,,,,,,,
167,PT00M31.40S,2026-02-06T01:05:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642271,91.14651773981603,48.28431372549019,1610612762,27,28,2026-02-06T01:06:01Z,1660000,False,-9.0,31.0,1,right,K. Filipowski putback Layup (9 PTS),[1642271],1610612762.0,UTA,putback,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,,,,,,,9.0,,,,,,,
168,PT00M31.40S,2026-02-06T01:05:48.5Z,1,REGULAR,foul,personal,['1freethrow'],1631243,,,1610612762,27,28,2026-02-06T01:06:37Z,1670000,False,,,0,,M. Gueye shooting personal FOUL (1 PF) (Filipowski 1 FT),"[1631243, 1642271]",1610612737.0,ATL,shooting,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,Filipowski,1642271.0,,,,,,,,
170,PT00M31.40S,2026-02-06T01:06:46.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1642271,,,1610612762,27,29,2026-02-06T01:06:46Z,1690000,False,,,0,,K. Filipowski Free Throw 1 of 1 (10 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
