actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
92,PT05M51.00S,2022-10-23T00:59:00.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629029,11.777266754270697,77.45098039215686,1610612742,17,6,2022-10-23T00:59:07Z,910000,-137.0,58.0,1,left,L. Doncic 14' turnaround fadeaway Jump Shot (13 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,14.91,Made,13.0,,,,,,,,,,,,,,,
93,PT05M26.00S,2022-10-23T00:59:24.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,65.1281208935611,75.24509803921569,1610612763,17,6,2022-10-23T01:03:01Z,920000,126.0,275.0,1,right,MISS J. Morant 30' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,30.28,Missed,,,,,,,,,,,,,,,,
94,PT05M23.00S,2022-10-23T00:59:27.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,17,6,2022-10-23T00:59:29Z,930000,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,93.0,2.0,1.0,1.0,,,,,,,,
95,PT05M14.00S,2022-10-23T00:59:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,23.866622864651774,86.51960784313727,1610612742,20,6,2022-10-23T01:03:11Z,940000,-183.0,172.0,1,left,L. Doncic 25' 3PT pullup (16 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,25.07,Made,16.0,,,,,,,,,,,,,,,
96,PT05M13.00S,2022-10-23T00:59:41.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,20,6,2022-10-23T00:59:41Z,950000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M00.00S,2022-10-23T01:02:50.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629630,92.59198423127464,48.77450980392157,1610612763,20,6,2022-10-23T01:02:55Z,960000,-6.0,17.0,1,right,MISS J. Morant driving DUNK - blocked,"[1629630, 1627827]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,1.82,Missed,,,,,,,,,,,,,Finney-Smith,1627827.0,,
102,PT05M00.00S,2022-10-23T01:02:50.9Z,1,REGULAR,block,,[],1627827,,,1610612763,20,6,2022-10-23T01:03:02Z,965000,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
98,PT04M58.00S,2022-10-23T01:02:52.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,20,6,2022-10-23T01:02:55Z,970000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,
99,PT04M53.00S,2022-10-23T01:02:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,6.1268068331143235,51.225490196078425,1610612742,20,6,2022-10-23T01:03:19Z,980000,-6.0,5.0,1,left,MISS C. Wood Layup,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,0.8,Missed,,,,,,,,,,,,,,,,
101,PT04M53.00S,2022-10-23T01:02:59.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,20,6,2022-10-23T01:03:19Z,1000000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,99.0,,,,,,,,,,,
104,PT04M51.00S,2022-10-23T01:03:19.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629723,,,1610612742,20,6,2022-10-23T01:03:39Z,1020000,,,0,,J. Konchar shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[1629723, 203501]",1610612763.0,MEM,shooting,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,,,,1.0,0.0,Hardaway Jr.,203501.0,,,,
107,PT04M51.00S,2022-10-23T01:03:39.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203501,,,1610612742,21,6,2022-10-23T01:03:39Z,1040000,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
108,PT04M51.00S,2022-10-23T01:03:54.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203501,,,1610612742,22,6,2022-10-23T01:03:54Z,1050000,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (2 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
110,PT04M29.00S,2022-10-23T01:04:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,93.9060446780552,49.26470588235294,1610612763,22,8,2022-10-23T01:18:53Z,1070000,-4.0,5.0,1,right,D. Roddy driving Layup (2 PTS) (T. Jones 1 AST),"[1631223, 1626145]",1610612763.0,MEM,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,0.61,Made,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,
112,PT04M08.00S,2022-10-23T01:04:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,22.815374507227332,87.74509803921569,1610612742,25,8,2022-10-23T01:05:21Z,1090000,-189.0,162.0,1,left,L. Doncic 24' 3PT turnaround fadeaway (19 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,24.87,Made,19.0,,,,,,,,,,,,,,,
113,PT03M50.00S,2022-10-23T01:05:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,92.32917214191852,62.254901960784316,1610612763,25,8,2022-10-23T01:05:23Z,1100000,61.0,20.0,1,right,MISS D. Roddy 6' driving floating bank Shot,[1631223],1610612763.0,MEM,driving floating bank,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,6.44,Missed,,,,,,,,,,,,,,,,
114,PT03M50.00S,2022-10-23T01:05:17.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,25,8,2022-10-23T01:05:23Z,1110000,,,0,,L. Doncic REBOUND (Off:1 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,113.0,3.0,2.0,1.0,,,,,,,,
115,PT03M43.00S,2022-10-23T01:05:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203493,6.1268068331143235,45.588235294117645,1610612742,27,8,2022-10-23T01:05:30Z,1120000,22.0,5.0,1,left,R. Bullock running Layup (2 PTS) (L. Doncic 3 AST),"[203493, 1629029]",1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,Restricted Area,0-8 Center,,,2.27,Made,2.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,
117,PT03M31.00S,2022-10-23T01:05:38.9Z,1,REGULAR,turnover,traveling,[],1629630,,,1610612763,27,8,2022-10-23T01:05:45Z,1140000,,,0,,J. Morant traveling TURNOVER (2 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,1179.0,2.0,,,,,,,,,,,,,,,,,,
118,PT03M31.00S,2022-10-23T01:05:43.3Z,1,REGULAR,substitution,out,[],203493,,,1610612742,27,8,2022-10-23T01:06:03Z,1150000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M31.00S,2022-10-23T01:05:43.3Z,1,REGULAR,substitution,out,[],203500,,,1610612742,27,8,2022-10-23T01:06:03Z,1160000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M31.00S,2022-10-23T01:05:43.3Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,27,8,2022-10-23T01:06:03Z,1170000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M31.00S,2022-10-23T01:05:43.3Z,1,REGULAR,substitution,in,[],1629634,,,1610612742,27,8,2022-10-23T01:06:03Z,1180000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M21.00S,2022-10-23T01:06:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,5.863994743758213,51.225490196078425,1610612742,29,8,2022-10-23T01:19:02Z,1190000,-6.0,3.0,1,left,L. Doncic driving finger roll Layup (21 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,0.66,Made,21.0,,,,,,,,,,,,,,,
123,PT03M20.00S,2022-10-23T01:06:23.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612763,29,8,2022-10-23T01:06:23Z,1200000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M20.00S,2022-10-23T01:07:11.6Z,1,REGULAR,substitution,out,[],1629723,,,1610612763,29,8,2022-10-23T01:07:49Z,1210000,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M20.00S,2022-10-23T01:07:11.6Z,1,REGULAR,substitution,in,[],1630217,,,1610612763,29,8,2022-10-23T01:07:49Z,1220000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M08.00S,2022-10-23T01:08:02.6Z,1,REGULAR,3pt,Jump Shot,[],1626145,89.96386333771353,5.392156862745098,1610612763,29,11,2022-10-23T01:08:07Z,1230000,-223.0,42.0,1,right,T. Jones 3PT  (3 PTS) (J. Morant 1 AST),"[1626145, 1629630]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,22.69,Made,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,
128,PT02M47.00S,2022-10-23T01:08:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,13.87976346911958,34.068627450980394,1610612742,31,11,2022-10-23T01:19:19Z,1250000,80.0,78.0,1,left,C. Wood 11' driving finger roll Layup (2 PTS),[1626174],1610612742.0,DAL,driving finger roll,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Right,,,11.15,Made,2.0,,,,,,,,,,,,,,,
129,PT02M47.00S,2022-10-23T01:08:30.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629630,,,1610612742,31,11,2022-10-23T01:08:39Z,1260000,,,0,,J. Morant shooting personal FOUL (2 PF) (Wood 1 FT),"[1629630, 1626174]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,Mid-Range,8-16 Right,1626301.0,,,,,,,,,,,,2.0,0.0,Wood,1626174.0,,,,
131,PT02M47.00S,2022-10-23T01:08:52.8Z,1,REGULAR,freethrow,1 of 1,[],1626174,,,1610612742,32,11,2022-10-23T01:08:52Z,1280000,,,0,,C. Wood Free Throw 1 of 1 (3 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
132,PT02M42.00S,2022-10-23T01:08:58.5Z,1,REGULAR,3pt,Jump Shot,[],1626145,84.83902759526939,5.637254901960785,1610612763,32,11,2022-10-23T01:09:03Z,1290000,-222.0,90.0,1,right,MISS T. Jones 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left,,,23.94,Missed,,,,,,,,,,,,,,,,
133,PT02M38.00S,2022-10-23T01:09:02.5Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,32,11,2022-10-23T01:09:03Z,1300000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,
134,PT02M34.00S,2022-10-23T01:09:12.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631223,,,1610612742,32,11,2022-10-23T01:09:23Z,1310000,,,0,,D. Roddy shooting personal FOUL (1 PF) (Wood 2 FT),"[1631223, 1626174]",1610612763.0,MEM,shooting,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,1179.0,,,,,,,,,,,,1.0,0.0,Wood,1626174.0,,,,
136,PT02M34.00S,2022-10-23T01:09:38.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626174,,,1610612742,33,11,2022-10-23T01:09:38Z,1330000,,,0,,C. Wood Free Throw 1 of 2 (4 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
137,PT02M34.00S,2022-10-23T01:09:54.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626174,,,1610612742,34,11,2022-10-23T01:09:54Z,1340000,,,0,,C. Wood Free Throw 2 of 2 (5 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
138,PT02M13.00S,2022-10-23T01:10:17.8Z,1,REGULAR,3pt,Jump Shot,[],1626145,67.7562417871222,63.970588235294116,1610612763,34,11,2022-10-23T01:10:21Z,1350000,70.0,251.0,1,right,MISS T. Jones 26' pullup 3PT,[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,26.02,Missed,,,,,,,,,,,,,,,,
139,PT02M09.00S,2022-10-23T01:10:21.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,34,11,2022-10-23T01:10:21Z,1360000,,,0,,L. Doncic REBOUND (Off:1 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,,,,,,,138.0,4.0,3.0,1.0,,,,,,,,
140,PT02M01.00S,2022-10-23T01:10:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.389618922470433,46.32352941176471,1610612742,34,11,2022-10-23T01:10:43Z,1370000,18.0,8.0,1,left,MISS L. Doncic driving finger roll Layup,[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,1.99,Missed,,,,,,,,,,,,,,,,
141,PT01M57.00S,2022-10-23T01:10:33.7Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612742,34,11,2022-10-23T01:10:43Z,1380000,,,0,,M. Kleber REBOUND (Off:1 Def:0),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,,,,,,,,,140.0,1.0,0.0,1.0,,,,,,,,
142,PT01M57.00S,2022-10-23T01:10:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628467,5.590000152587891,50.0,1610612742,36,11,2022-10-23T01:10:32Z,1390000,0.0,0.0,1,left,M. Kleber tip Layup (2 PTS),[1628467],1610612742.0,DAL,tip,,,Kleber,M. Kleber,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
143,PT01M36.00S,2022-10-23T01:10:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630217,65.78515111695138,64.2156862745098,1610612763,36,11,2022-10-23T01:10:57Z,1400000,71.0,269.0,1,right,MISS D. Bane 27' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,27.83,Missed,,,,,,,,,,,,,,,,
144,PT01M34.00S,2022-10-23T01:10:55.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,36,11,2022-10-23T01:10:57Z,1410000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,,,,,,,,,143.0,2.0,2.0,0.0,,,,,,,,
145,PT01M24.00S,2022-10-23T01:11:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,5.601182654402102,50.73529411764706,1610612742,36,11,2022-10-23T01:11:14Z,1420000,-4.0,0.0,1,left,MISS C. Wood Layup - blocked,"[1626174, 1629634]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,0.37,Missed,,,,,,,,,,,,,Clarke,1629634.0,,
186,PT01M24.00S,2022-10-23T01:11:06.2Z,1,REGULAR,block,,[],1629634,,,1610612742,36,11,2022-10-23T01:18:46Z,1425000,,,0,,B. Clarke BLOCK (1 BLK),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
146,PT01M21.00S,2022-10-23T01:11:09.2Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,36,11,2022-10-23T01:18:46Z,1430000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,145.0,2.0,1.0,1.0,,,,,,,,
147,PT01M12.00S,2022-10-23T01:11:18.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628467,26.757555847568987,82.1078431372549,1610612742,36,11,2022-10-23T01:11:35Z,1440000,-161.0,199.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,,,25.57,Missed,,,,,,,,,,,,,,,,
148,PT01M10.00S,2022-10-23T01:11:20.0Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,36,11,2022-10-23T01:11:35Z,1450000,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Left Center,,,,,,,,,147.0,1.0,1.0,0.0,,,,,,,,
149,PT01M10.00S,2022-10-23T01:11:31.5Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612763,36,11,2022-10-23T01:12:04Z,1460000,,,0,,D. Finney-Smith transition take personal FOUL (1 PF) (Clarke 1 FT),"[1627827, 1629634]",1610612742.0,DAL,transition take,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,1179.0,,,,,,,,,,,,1.0,0.0,Clarke,1629634.0,,,,
151,PT01M10.00S,2022-10-23T01:12:05.4Z,1,REGULAR,freethrow,1 of 1,[],1626145,,,1610612763,36,12,2022-10-23T01:12:05Z,1480000,,,0,,T. Jones transition take Free Throw 1 of 1 (4 PTS),[1626145],1610612763.0,MEM,transition take,,,Jones,T. Jones,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
152,PT01M10.00S,2022-10-23T01:12:06.3Z,1,REGULAR,substitution,out,[],1627827,,,1610612742,36,12,2022-10-23T01:12:20Z,1490000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M10.00S,2022-10-23T01:12:06.3Z,1,REGULAR,substitution,out,[],1629630,,,1610612742,36,12,2022-10-23T01:12:20Z,1500000,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT01M10.00S,2022-10-23T01:12:06.3Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,36,12,2022-10-23T01:12:20Z,1510000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M10.00S,2022-10-23T01:12:06.3Z,1,REGULAR,substitution,in,[],1631222,,,1610612742,36,12,2022-10-23T01:12:20Z,1520000,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M55.20S,2022-10-23T01:12:33.3Z,1,REGULAR,3pt,Jump Shot,[],1631222,74.58935611038108,15.196078431372548,1610612763,36,15,2022-10-23T01:12:37Z,1530000,-174.0,186.0,1,right,J. LaRavia 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1631222, 1630217]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,25.5,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,
158,PT00M36.40S,2022-10-23T01:12:54.7Z,1,REGULAR,turnover,lost ball,[],1626174,,,1610612742,36,15,2022-10-23T01:12:59Z,1550000,,,0,,C. Wood lost ball TURNOVER (1 TO),"[1626174, 1630217]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,Bane,1630217.0
159,PT00M36.40S,2022-10-23T01:12:54.7Z,1,REGULAR,steal,,[],1630217,,,1610612763,36,15,2022-10-23T01:12:56Z,1560000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
161,PT00M27.90S,2022-10-23T01:13:25.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630217,89.83245729303549,55.14705882352941,1610612763,36,17,2022-10-23T01:13:34Z,1580000,26.0,43.0,1,right,D. Bane driving Hook (2 PTS),[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,5.02,Made,2.0,,,,,,,,,,,,,,,
162,PT00M05.10S,2022-10-23T01:13:53.3Z,1,REGULAR,3pt,Jump Shot,[],1630182,7.966491458607096,94.85294117647058,1610612742,39,17,2022-10-23T01:13:57Z,1590000,-224.0,22.0,1,left,J. Green 3PT  (3 PTS) (C. Wood 1 AST),"[1630182, 1626174]",1610612742.0,DAL,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,22.54,Made,3.0,C. Wood,1626174.0,1.0,,,,,,,,,,,,
164,PT00M00.10S,2022-10-23T01:14:01.2Z,1,REGULAR,2pt,Jump Shot,[],1626145,82.47371879106439,67.8921568627451,1610612763,39,17,2022-10-23T01:19:33Z,1610000,89.0,112.0,1,right,MISS T. Jones 14' pullup Shot,[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,14.35,Missed,,,,,,,,,,,,,,,,
165,PT00M00.10S,2022-10-23T01:14:01.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,39,17,2022-10-23T01:14:05Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,164.0,,,,,,,,,,,
166,PT00M00.00S,2022-10-23T01:14:04.7Z,1,REGULAR,period,end,[],0,,,1610612763,39,17,2022-10-23T01:14:04Z,1630000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-10-23T01:14:28.8Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612763,39,17,2022-10-23T01:16:48Z,1640000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-10-23T01:14:28.8Z,2,REGULAR,substitution,out,['startperiod'],1631223,,,1610612763,39,17,2022-10-23T01:16:48Z,1650000,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-10-23T01:14:28.8Z,2,REGULAR,substitution,in,['startperiod'],203915,,,1610612763,39,17,2022-10-23T01:16:48Z,1660000,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-10-23T01:14:28.8Z,2,REGULAR,substitution,in,['startperiod'],1630583,,,1610612763,39,17,2022-10-23T01:16:48Z,1670000,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-10-23T01:16:50.9Z,2,REGULAR,period,start,[],0,,,1610612742,39,17,2022-10-23T01:16:50Z,1680000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M46.00S,2022-10-23T01:17:09.2Z,2,REGULAR,turnover,out-of-bounds,[],1630182,,,1610612742,39,17,2022-10-23T01:17:41Z,1690000,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630182],1610612742.0,DAL,lost ball,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,1193.0,1.0,,,,,,,,,,,,,,,,,,
173,PT11M32.00S,2022-10-23T01:17:25.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631222,68.9388961892247,66.17647058823529,1610612763,39,17,2022-10-23T01:17:44Z,1700000,81.0,239.0,1,right,MISS J. LaRavia 25' 3PT,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,25.28,Missed,,,,,,,,,,,,,,,,
174,PT11M28.00S,2022-10-23T01:17:28.8Z,2,REGULAR,rebound,defensive,[],1626174,,,1610612742,39,17,2022-10-23T01:17:28Z,1710000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Right Center,,,,,,,,,173.0,3.0,3.0,0.0,,,,,,,,
175,PT11M21.00S,2022-10-23T01:17:35.7Z,2,REGULAR,3pt,Jump Shot,[],1626174,32.53942181340342,39.950980392156865,1610612742,42,17,2022-10-23T01:17:47Z,1720000,50.0,253.0,1,left,C. Wood 25' 3PT  (8 PTS) (T. Hardaway Jr. 1 AST),"[1626174, 203501]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,,,25.83,Made,8.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,
