actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
82,PT06M15.00S,2025-12-21T00:23:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612742,10,15,2025-12-21T00:23:10Z,820000,False,0.0,0.0,1,right,A. Davis putback Layup (4 PTS),[203076],1610612742.0,DAL,putback,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,,
83,PT05M58.00S,2025-12-21T00:23:29.8Z,1,REGULAR,foul,personal,['2freethrow'],1630230,,,1610612755,10,15,2025-12-21T00:23:37Z,830000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (McCain 2 FT),"[1630230, 1642272]",1610612742.0,DAL,shooting,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2534.0,,,,,1.0,0.0,McCain,1642272.0,,,,,
85,PT05M58.00S,2025-12-21T00:23:56.9Z,1,REGULAR,freethrow,1 of 2,[],1642272,,,1610612755,11,15,2025-12-21T00:23:57Z,850000,False,,,0,,J. McCain Free Throw 1 of 2 (3 PTS),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
86,PT05M58.00S,2025-12-21T00:23:58.3Z,1,REGULAR,substitution,out,[],1642845,,,1610612755,11,15,2025-12-21T00:24:08Z,860000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M58.00S,2025-12-21T00:23:58.3Z,1,REGULAR,substitution,out,[],1642948,,,1610612755,11,15,2025-12-21T00:24:08Z,870000,False,,,0,,SUB out: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M58.00S,2025-12-21T00:23:58.3Z,1,REGULAR,substitution,in,[],1629656,,,1610612755,11,15,2025-12-21T00:24:08Z,880000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M58.00S,2025-12-21T00:23:58.3Z,1,REGULAR,substitution,in,[],1630314,,,1610612755,11,15,2025-12-21T00:24:08Z,890000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M58.00S,2025-12-21T00:24:16.6Z,1,REGULAR,freethrow,2 of 2,[],1642272,,,1610612755,12,15,2025-12-21T00:24:16Z,900000,False,,,0,,J. McCain Free Throw 2 of 2 (4 PTS),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
91,PT05M53.00S,2025-12-21T00:24:25.2Z,1,REGULAR,turnover,out-of-bounds,[],1630314,,,1610612742,12,15,2025-12-21T00:24:36Z,910000,False,,,0,,B. Williams bad pass out-of-bounds TURNOVER (1 TO),[1630314],1610612742.0,DAL,bad pass,,,Williams,B. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,,,,
92,PT05M37.00S,2025-12-21T00:24:50.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642843,,,1610612755,12,15,2025-12-21T00:24:55Z,920000,False,,,0,,C. Flagg shooting personal FOUL (1 PF) (Barlow 2 FT),"[1642843, 1631230]",1610612742.0,DAL,shooting,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,1.0,0.0,Barlow,1631230.0,,,,,
94,PT05M37.00S,2025-12-21T00:25:16.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631230,,,1610612755,13,15,2025-12-21T00:25:16Z,940000,False,,,0,,D. Barlow Free Throw 1 of 2 (3 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
95,PT05M37.00S,2025-12-21T00:25:16.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631230,,,1610612755,13,15,2025-12-21T00:25:33Z,950000,False,,,0,,MISS D. Barlow Free Throw 2 of 2,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
96,PT05M35.00S,2025-12-21T00:25:18.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,13,15,2025-12-21T00:25:33Z,960000,False,,,0,,A. Davis REBOUND (Off:1 Def:5),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,95.0,6.0,5.0,1.0,,,,,,,,,,,,,,
97,PT05M19.00S,2025-12-21T00:25:48.1Z,1,REGULAR,turnover,lost ball,[],1630230,,,1610612742,13,15,2025-12-21T00:25:53Z,970000,False,,,0,,N. Marshall lost ball TURNOVER (3 TO),"[1630230, 1629656]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,,,,,,,,3.0,,Grimes,1629656.0,,,,,,,,,
98,PT05M19.00S,2025-12-21T00:25:48.1Z,1,REGULAR,steal,,[],1629656,,,1610612755,13,15,2025-12-21T00:25:50Z,980000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
99,PT05M15.00S,2025-12-21T00:25:52.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,15.325229960578188,5.637254901960785,1610612755,16,15,2025-12-21T00:25:57Z,990000,False,222.0,92.0,1,left,T. Maxey 24' 3PT running (6 PTS) (Q. Grimes 1 AST),"[1630178, 1629656]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right,24.0,Made,,,,,,,6.0,,,,,,,Q. Grimes,1629656.0,1.0,,
101,PT05M13.00S,2025-12-21T00:26:00.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,16,15,2025-12-21T00:26:00Z,1010000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M13.00S,2025-12-21T00:28:41.0Z,1,REGULAR,substitution,out,[],1630230,,,1610612742,16,15,2025-12-21T00:28:44Z,1020000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M13.00S,2025-12-21T00:28:41.0Z,1,REGULAR,substitution,in,[],202691,,,1610612742,16,15,2025-12-21T00:28:44Z,1030000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M55.00S,2025-12-21T00:29:07.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642843,94.69448094612353,52.450980392156865,1610612742,16,17,2025-12-21T00:29:22Z,1040000,False,12.0,-3.0,1,right,C. Flagg bank Hook (6 PTS),[1642843],1610612742.0,DAL,bank,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,6.0,,,,,,,,,,,
105,PT04M36.00S,2025-12-21T00:29:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,11.251642575558476,49.01960784313725,1610612755,18,17,2025-12-21T00:29:28Z,1050000,False,5.0,53.0,1,left,T. Maxey driving floating Jump Shot (8 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.35,Made,,,,,,,8.0,,,,,,,,,,,
106,PT04M29.00S,2025-12-21T00:29:38.8Z,1,REGULAR,foul,personal,[],1631230,,,1610612742,18,17,2025-12-21T00:29:44Z,1060000,False,,,0,,D. Barlow personal FOUL (2 PF),"[1631230, 203076]",1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627519.0,,,,,2.0,0.0,Davis,203076.0,,,,,
108,PT04M29.00S,2025-12-21T00:29:44.3Z,1,REGULAR,substitution,out,[],1631230,,,1610612742,18,17,2025-12-21T00:29:54Z,1080000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M29.00S,2025-12-21T00:29:44.3Z,1,REGULAR,substitution,out,[],203076,,,1610612742,18,17,2025-12-21T00:29:54Z,1090000,False,,,0,,SUB out: A. Davis,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M29.00S,2025-12-21T00:29:44.3Z,1,REGULAR,substitution,in,[],1631133,,,1610612742,18,17,2025-12-21T00:29:54Z,1100000,False,,,0,,SUB in: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M29.00S,2025-12-21T00:29:44.3Z,1,REGULAR,substitution,in,[],1629655,,,1610612742,18,17,2025-12-21T00:29:54Z,1110000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M16.00S,2025-12-21T00:30:12.6Z,1,REGULAR,foul,personal,['2freethrow'],1631133,,,1610612742,18,17,2025-12-21T00:30:30Z,1120000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Flagg 2 FT),"[1631133, 1642843]",1610612755.0,PHI,shooting,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,1.0,0.0,Flagg,1642843.0,,,,,
114,PT04M16.00S,2025-12-21T00:30:42.3Z,1,REGULAR,freethrow,1 of 2,[],1642843,,,1610612742,18,18,2025-12-21T00:30:42Z,1140000,False,,,0,,C. Flagg Free Throw 1 of 2 (7 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
115,PT04M16.00S,2025-12-21T00:31:00.2Z,1,REGULAR,freethrow,2 of 2,[],1642843,,,1610612742,18,19,2025-12-21T00:31:00Z,1150000,False,,,0,,C. Flagg Free Throw 2 of 2 (8 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
116,PT03M59.00S,2025-12-21T00:31:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.915243101182654,61.274509803921575,1610612755,18,19,2025-12-21T00:31:23Z,1160000,False,-56.0,13.0,1,left,MISS T. Maxey driving Layup - blocked,"[1630178, 1629655]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.78,Missed,,,,,,,,,,,,,,,,,Gafford,1629655.0
117,PT03M59.00S,2025-12-21T00:31:15.9Z,1,REGULAR,block,,[],1629655,,,1610612755,18,19,2025-12-21T00:31:18Z,1170000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT03M58.00S,2025-12-21T00:31:16.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,18,19,2025-12-21T00:31:23Z,1180000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,116.0,,,,,,,,,,,,,,,,,
120,PT03M58.00S,2025-12-21T00:31:24.1Z,1,REGULAR,substitution,out,[],1642843,,,1610612755,18,19,2025-12-21T00:31:27Z,1200000,False,,,0,,SUB out: C. Flagg,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M58.00S,2025-12-21T00:31:24.1Z,1,REGULAR,substitution,in,[],1629023,,,1610612755,18,19,2025-12-21T00:31:27Z,1210000,False,,,0,,SUB in: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M55.00S,2025-12-21T00:31:36.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,21.50131406044678,94.36274509803921,1610612755,18,19,2025-12-21T00:31:42Z,1220000,False,-222.0,150.0,1,left,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.75,Missed,,,,,,,,,,,,,,,,,,
123,PT03M54.00S,2025-12-21T00:31:37.8Z,1,REGULAR,rebound,offensive,[],1631133,,,1610612755,18,19,2025-12-21T00:36:14Z,1230000,False,,,0,,J. Walker REBOUND (Off:1 Def:0),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,122.0,1.0,0.0,1.0,,,,,,,,,,,,,,
147,PT03M53.00S,2025-12-21T00:31:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631133,7.6215505913272015,49.04258578431372,1610612755,18,19,2025-12-21T00:37:21Z,1235000,False,5.0,19.0,1,left,MISS J. Walker putback Layup,[1631133],1610612755.0,PHI,putback,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
148,PT03M53.00S,2025-12-21T00:31:39.3Z,1,REGULAR,rebound,offensive,[],1631133,,,1610612755,18,19,2025-12-21T00:36:23Z,1237500,False,,,0,,J. Walker REBOUND (Off:2 Def:0),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,147.0,2.0,0.0,2.0,,,,,,,,,,,,,,
124,PT03M52.00S,2025-12-21T00:31:41.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631133,5.590000152587891,50.0,1610612755,18,19,2025-12-21T00:37:25Z,1240000,False,0.0,0.0,1,left,MISS J. Walker tip Layup,[1631133],1610612755.0,PHI,tip,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
125,PT03M52.00S,2025-12-21T00:31:41.9Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,18,19,2025-12-21T00:32:30Z,1250000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,124.0,1.0,0.0,1.0,,,,,,,,,,,,,,
126,PT03M52.00S,2025-12-21T00:32:00.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629023,,,1610612755,18,19,2025-12-21T00:32:07Z,1260000,False,,,0,,P. Washington shooting personal FOUL (2 PF) (Bona 2 FT),"[1629023, 1641737]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626301.0,,,,,2.0,0.0,Bona,1641737.0,,,,,
128,PT03M52.00S,2025-12-21T00:32:14.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641737,,,1610612755,19,19,2025-12-21T00:32:14Z,1280000,False,,,0,,A. Bona Free Throw 1 of 2 (1 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
129,PT03M52.00S,2025-12-21T00:32:15.3Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,19,19,2025-12-21T00:32:19Z,1290000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M52.00S,2025-12-21T00:32:15.3Z,1,REGULAR,substitution,in,[],1642845,,,1610612755,19,19,2025-12-21T00:32:19Z,1300000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M52.00S,2025-12-21T00:32:30.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641737,,,1610612755,20,19,2025-12-21T00:32:30Z,1310000,False,,,0,,A. Bona Free Throw 2 of 2 (2 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
132,PT03M43.00S,2025-12-21T00:32:42.9Z,1,REGULAR,turnover,out-of-bounds,[],202691,,,1610612742,20,19,2025-12-21T00:33:29Z,1320000,False,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (1 TO),[202691],1610612742.0,DAL,bad pass,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,1626301.0,1.0,,,,,,,,,,,,
133,PT03M31.00S,2025-12-21T00:33:04.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642845,19.398817345597898,48.28431372549019,1610612755,22,19,2025-12-21T00:33:11Z,1330000,False,9.0,130.0,1,left,V. Edgecombe 13' step back Jump Shot (5 PTS) (Q. Grimes 2 AST),"[1642845, 1629656]",1610612755.0,PHI,step back,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,13.01,Made,,,,,,,5.0,,,,,,,Q. Grimes,1629656.0,2.0,,
135,PT03M21.00S,2025-12-21T00:33:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,95.6143232588699,46.568627450980394,1610612742,22,21,2025-12-21T00:33:47Z,1350000,False,-17.0,-11.0,1,right,B. Williams driving Layup (2 PTS),[1630314],1610612742.0,DAL,driving,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,,,2.0,,,,,,,,,,,
136,PT03M10.00S,2025-12-21T00:33:27.4Z,1,REGULAR,2pt,Jump Shot,[],1642845,16.376478318002626,30.392156862745097,1610612755,24,21,2025-12-21T00:35:37Z,1360000,False,98.0,101.0,1,left,V. Edgecombe 14' pullup Jump Shot (7 PTS),[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Right,14.1,Made,,,,,,,7.0,,,,,,,,,,,
137,PT03M10.00S,2025-12-21T00:33:35.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631108,,,1610612755,24,21,2025-12-21T00:33:40Z,1370000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Edgecombe 1 FT),"[1631108, 1642845]",1610612742.0,DAL,shooting,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,,,1627519.0,,,,,1.0,0.0,Edgecombe,1642845.0,,,,,
139,PT03M10.00S,2025-12-21T00:33:55.2Z,1,REGULAR,freethrow,1 of 1,[],1642845,,,1610612755,25,21,2025-12-21T00:33:55Z,1390000,False,,,0,,V. Edgecombe Free Throw 1 of 1 (8 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
140,PT02M58.00S,2025-12-21T00:34:07.3Z,1,REGULAR,3pt,Jump Shot,[],1631108,67.36202365308804,68.87254901960785,1610612742,25,21,2025-12-21T00:34:11Z,1400000,False,94.0,254.0,1,right,MISS M. Christie 27' pullup 3PT,[1631108],1610612742.0,DAL,pullup,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,27.13,Missed,,,,,,,,,,,,,,,,,,
141,PT02M57.00S,2025-12-21T00:34:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,25,21,2025-12-21T00:34:11Z,1410000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,140.0,,,,,,,,,,,,,,,,,
143,PT02M46.00S,2025-12-21T00:34:27.6Z,1,REGULAR,3pt,Jump Shot,[],1642845,30.962549277266753,29.411764705882355,1610612755,28,21,2025-12-21T00:44:25Z,1430000,False,103.0,239.0,1,left,V. Edgecombe 25' 3PT pullup (11 PTS) (Q. Grimes 3 AST),"[1642845, 1629656]",1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Right Center,25.98,Made,,,,,,,11.0,,,,,,,Q. Grimes,1629656.0,3.0,,
144,PT02M46.00S,2025-12-21T00:34:34.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631108,,,1610612755,28,21,2025-12-21T00:34:47Z,1440000,False,,,0,,M. Christie shooting personal FOUL (2 PF) (Edgecombe 1 FT),"[1631108, 1642845]",1610612742.0,DAL,shooting,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,,,1627519.0,,,,,2.0,0.0,Edgecombe,1642845.0,,,,,
146,PT02M46.00S,2025-12-21T00:34:55.3Z,1,REGULAR,freethrow,1 of 1,[],1642845,,,1610612755,29,21,2025-12-21T00:34:55Z,1460000,False,,,0,,V. Edgecombe Free Throw 1 of 1 (12 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
149,PT02M31.00S,2025-12-21T00:35:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,91.40932982917214,48.28431372549019,1610612742,29,21,2025-12-21T00:35:18Z,1470000,False,-9.0,28.0,1,right,MISS B. Williams driving reverse Layup,[1630314],1610612742.0,DAL,driving reverse,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,,,,,,,,,,,,,,
150,PT02M29.00S,2025-12-21T00:35:13.6Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,29,21,2025-12-21T00:35:13Z,1480000,False,,,0,,A. Bona REBOUND (Off:1 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,149.0,2.0,1.0,1.0,,,,,,,,,,,,,,
151,PT02M25.00S,2025-12-21T00:35:19.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642272,14.4053876478318,45.09803921568628,1610612755,29,21,2025-12-21T00:35:46Z,1490000,False,25.0,83.0,1,left,MISS J. McCain 8' running finger roll Layup,[1642272],1610612755.0,PHI,running finger roll,,,McCain,J. McCain,,,,,In The Paint (Non-RA),8-16 Center,8.64,Missed,,,,,,,,,,,,,,,,,,
152,PT02M24.00S,2025-12-21T00:35:20.6Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,29,21,2025-12-21T00:40:09Z,1500000,False,,,0,,A. Bona REBOUND (Off:2 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),8-16 Center,,,151.0,3.0,1.0,2.0,,,,,,,,,,,,,,
189,PT02M24.00S,2025-12-21T00:35:29.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641737,5.568331143232584,50.245098039215684,1610612755,31,21,2025-12-21T00:40:47Z,1510000,False,-1.0,0.0,1,left,A. Bona tip DUNK (4 PTS),[1641737],1610612755.0,PHI,tip,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,,,4.0,,,,,,,,,,,
154,PT02M23.00S,2025-12-21T00:35:39.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612742,31,21,2025-12-21T00:40:41Z,1520000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT02M23.00S,2025-12-21T00:36:49.4Z,1,REGULAR,substitution,out,[],1631108,,,1610612742,31,21,2025-12-21T00:40:41Z,1540000,False,,,0,,SUB out: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT02M23.00S,2025-12-21T00:36:49.4Z,1,REGULAR,substitution,in,[],1626156,,,1610612742,31,21,2025-12-21T00:40:41Z,1550000,False,,,0,,SUB in: D. Russell,[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT02M12.00S,2025-12-21T00:37:10.2Z,1,REGULAR,3pt,Jump Shot,[],202691,65.52233902759527,68.13725490196079,1610612742,31,21,2025-12-21T00:37:14Z,1560000,False,91.0,272.0,1,right,MISS K. Thompson 28' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,28.63,Missed,,,,,,,,,,,,,,,,,,
159,PT02M10.00S,2025-12-21T00:37:12.2Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,31,21,2025-12-21T00:37:14Z,1570000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT02M02.00S,2025-12-21T00:37:20.7Z,1,REGULAR,3pt,Jump Shot,[],1642845,28.203022339027594,83.08823529411765,1610612755,31,21,2025-12-21T00:37:27Z,1580000,False,-165.0,213.0,1,left,MISS V. Edgecombe 26' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,26.94,Missed,,,,,,,,,,,,,,,,,,
161,PT01M57.00S,2025-12-21T00:37:24.7Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,31,21,2025-12-21T00:37:24Z,1590000,False,,,0,,A. Bona REBOUND (Off:3 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Above the Break 3,24+ Left Center,,,160.0,4.0,1.0,3.0,,,,,,,,,,,,,,
162,PT01M56.00S,2025-12-21T00:37:25.7Z,1,REGULAR,turnover,lost ball,[],1641737,,,1610612755,31,21,2025-12-21T00:37:31Z,1600000,False,,,0,,A. Bona lost ball TURNOVER (1 TO),"[1641737, 202691]",1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,Thompson,202691.0,,,,,,,,,
163,PT01M56.00S,2025-12-21T00:37:25.7Z,1,REGULAR,steal,,[],202691,,,1610612742,31,21,2025-12-21T00:37:27Z,1610000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
165,PT01M48.00S,2025-12-21T00:37:49.4Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,31,21,2025-12-21T00:37:57Z,1630000,False,,,0,,K. Thompson bad pass TURNOVER (2 TO),"[202691, 1642272]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,,,,,,,,2.0,,McCain,1642272.0,,,,,,,,,
