actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
92,PT05M04.00S,2026-04-04T23:26:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,17.95335085413929,56.86274509803921,1610612755,21,23,2026-04-04T23:27:19Z,910000,False,-34.0,116.0,1,left,T. Maxey 12' fadeaway Jump Shot (8 PTS),[1630178],1610612755.0,PHI,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,Maxey,T. Maxey,,,,,Made,8.0,12.13,,,,,,,,,,,
93,PT04M56.00S,2026-04-04T23:26:48.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629656,,,1610612765,21,23,2026-04-04T23:26:56Z,920000,False,,,0,,Q. Grimes personal FOUL (1 PF) (Jenkins 2 FT),"[1629656, 1642450]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,1628171.0,,Grimes,Q. Grimes,1.0,0.0,Jenkins,1642450.0,,,,,,,,,,,,,,
95,PT04M56.00S,2026-04-04T23:27:21.7Z,1,REGULAR,freethrow,1 of 2,[],1642450,,,1610612765,21,23,2026-04-04T23:27:21Z,940000,False,,,0,,MISS D. Jenkins Free Throw 1 of 2,[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Missed,,,,,,,,,,,,,
96,PT04M56.00S,2026-04-04T23:27:21.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,21,23,2026-04-04T23:27:21Z,950000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,
97,PT04M56.00S,2026-04-04T23:27:43.1Z,1,REGULAR,freethrow,2 of 2,[],1642450,,,1610612765,21,24,2026-04-04T23:27:43Z,960000,False,,,0,,D. Jenkins Free Throw 2 of 2 (5 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,5.0,,,,,,,,,,,,
98,PT04M39.00S,2026-04-04T23:28:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,8.754927726675426,51.9607843137255,1610612755,21,24,2026-04-04T23:28:08Z,970000,False,-10.0,30.0,1,left,MISS T. Maxey cutting Layup,[1630178],1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,,,Maxey,T. Maxey,,,,,Missed,,3.14,,,,,,,,,,,
99,PT04M36.00S,2026-04-04T23:28:04.2Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612765,21,24,2026-04-04T23:28:08Z,980000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Huerter,K. Huerter,,,,,,,,,,,98.0,1.0,1.0,0.0,,,,
100,PT04M30.00S,2026-04-04T23:28:09.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,81.8166885676741,2.941176470588235,1610612765,21,24,2026-04-04T23:28:14Z,990000,False,-235.0,118.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Huerter,K. Huerter,,,,,Missed,,26.34,,,,,,,,,,,
101,PT04M28.00S,2026-04-04T23:28:12.6Z,1,REGULAR,rebound,offensive,[],1642450,,,1610612765,21,24,2026-04-04T23:28:12Z,1000000,False,,,0,,D. Jenkins REBOUND (Off:2 Def:0),[1642450],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Jenkins,D. Jenkins,,,,,,,,,,,100.0,2.0,0.0,2.0,,,,
102,PT04M19.00S,2026-04-04T23:28:22.2Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1630178,,,1610612765,21,24,2026-04-04T23:28:33Z,1010000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Jenkins 3 FT),"[1630178, 1642450]",1610612755.0,PHI,shooting,,,,,,Left Corner 3,24+ Left,1830.0,,Maxey,T. Maxey,1.0,0.0,Jenkins,1642450.0,,,,,,,,,,,,,,
104,PT04M19.00S,2026-04-04T23:29:19.6Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1642450,,,1610612765,21,25,2026-04-04T23:29:19Z,1030000,False,,,0,,D. Jenkins Free Throw 1 of 3 (6 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,6.0,,,,,,,,,,,,
105,PT04M19.00S,2026-04-04T23:29:34.7Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1642450,,,1610612765,21,26,2026-04-04T23:29:34Z,1040000,False,,,0,,D. Jenkins Free Throw 2 of 3 (7 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,7.0,,,,,,,,,,,,
106,PT04M19.00S,2026-04-04T23:29:36.9Z,1,REGULAR,substitution,out,[],1631105,,,1610612765,21,26,2026-04-04T23:29:42Z,1050000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,,,,,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,
107,PT04M19.00S,2026-04-04T23:29:36.9Z,1,REGULAR,substitution,out,[],202699,,,1610612765,21,26,2026-04-04T23:29:42Z,1060000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
108,PT04M19.00S,2026-04-04T23:29:36.9Z,1,REGULAR,substitution,in,[],1641842,,,1610612765,21,26,2026-04-04T23:29:42Z,1070000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,
109,PT04M19.00S,2026-04-04T23:29:36.9Z,1,REGULAR,substitution,in,[],1630194,,,1610612765,21,26,2026-04-04T23:29:42Z,1080000,False,,,0,,SUB in: P. Reed,[1630194],1610612765.0,DET,,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,
110,PT04M19.00S,2026-04-04T23:29:57.7Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1642450,,,1610612765,21,27,2026-04-04T23:29:57Z,1090000,False,,,0,,D. Jenkins Free Throw 3 of 3 (8 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,8.0,,,,,,,,,,,,
111,PT04M07.00S,2026-04-04T23:30:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,8.754927726675426,55.88235294117647,1610612755,21,27,2026-04-04T23:30:17Z,1100000,False,-29.0,30.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Maxey,T. Maxey,,,,,Missed,,4.19,,,,,,,,,,,
112,PT04M03.00S,2026-04-04T23:30:16.6Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,21,27,2026-04-04T23:30:16Z,1110000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,Bona,A. Bona,,,,,,,,,,,111.0,1.0,0.0,1.0,,,,
113,PT04M03.00S,2026-04-04T23:30:16.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1641737,5.590000152587891,50.0,1610612755,23,27,2026-04-04T23:30:22Z,1120000,False,0.0,0.0,1,left,A. Bona tip DUNK (2 PTS),[1641737],1610612755.0,PHI,tip,,,,,,Restricted Area,0-8 Center,,,Bona,A. Bona,,,,,Made,2.0,0.0,,,,,,,,,,,
114,PT03M51.00S,2026-04-04T23:30:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641842,93.51182654402102,44.6078431372549,1610612765,23,27,2026-04-04T23:30:34Z,1130000,False,-27.0,8.0,1,right,MISS R. Holland II driving finger roll Layup,[1641842],1610612765.0,DET,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Holland II,R. Holland II,,,,,Missed,,2.83,,,,,,,,,,,
115,PT03M49.00S,2026-04-04T23:30:31.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,23,27,2026-04-04T23:30:34Z,1140000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,114.0,1.0,1.0,0.0,,,,
116,PT03M43.00S,2026-04-04T23:30:37.1Z,1,REGULAR,3pt,Jump Shot,[],1629656,33.590670170827856,31.127450980392158,1610612755,23,27,2026-04-04T23:30:43Z,1150000,False,94.0,263.0,1,left,MISS Q. Grimes 27' 3PT,[1629656],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Grimes,Q. Grimes,,,,,Missed,,27.97,,,,,,,,,,,
117,PT03M40.00S,2026-04-04T23:30:40.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612765,23,27,2026-04-04T23:30:43Z,1160000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Huerter,K. Huerter,,,,,,,,,,,116.0,2.0,2.0,0.0,,,,
118,PT03M36.00S,2026-04-04T23:30:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641842,94.1688567674113,44.11764705882353,1610612765,23,29,2026-04-04T23:30:49Z,1170000,False,-29.0,2.0,1,right,R. Holland II running Layup (2 PTS) (K. Huerter 1 AST),"[1641842, 1628989]",1610612765.0,DET,running,,,,,,Restricted Area,0-8 Center,,,Holland II,R. Holland II,,,,,Made,2.0,2.95,K. Huerter,1628989.0,1.0,,,,,,,,
120,PT03M36.00S,2026-04-04T23:30:52.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,23,29,2026-04-04T23:30:52Z,1190000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M36.00S,2026-04-04T23:33:12.9Z,1,REGULAR,substitution,out,[],1642450,,,1610612755,23,29,2026-04-04T23:33:23Z,1200000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,
122,PT03M36.00S,2026-04-04T23:33:12.9Z,1,REGULAR,substitution,in,[],1631204,,,1610612755,23,29,2026-04-04T23:33:23Z,1210000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,,,,,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,
123,PT03M18.00S,2026-04-04T23:33:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612755,23,29,2026-04-04T23:34:08Z,1220000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Barlow 2 FT),"[1630194, 1631230]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,1830.0,,Reed,P. Reed,1.0,0.0,Barlow,1631230.0,,,,,,,,,,,,,,
125,PT03M18.00S,2026-04-04T23:34:30.9Z,1,REGULAR,freethrow,1 of 2,[],1631230,,,1610612755,24,29,2026-04-04T23:34:30Z,1240000,False,,,0,,D. Barlow Free Throw 1 of 2 (1 PTS),[1631230],1610612755.0,PHI,,,,,,,,,,,Barlow,D. Barlow,,,,,Made,1.0,,,,,,,,,,,,
126,PT03M18.00S,2026-04-04T23:34:45.1Z,1,REGULAR,freethrow,2 of 2,[],1631230,,,1610612755,25,29,2026-04-04T23:34:45Z,1250000,False,,,0,,D. Barlow Free Throw 2 of 2 (2 PTS),[1631230],1610612755.0,PHI,,,,,,,,,,,Barlow,D. Barlow,,,,,Made,2.0,,,,,,,,,,,,
127,PT03M00.00S,2026-04-04T23:35:04.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628989,92.32917214191852,53.67647058823529,1610612765,25,29,2026-04-04T23:35:56Z,1260000,False,18.0,20.0,1,right,MISS K. Huerter driving bank Hook,[1628989],1610612765.0,DET,driving bank,,,,,,Restricted Area,0-8 Center,,,Huerter,K. Huerter,,,,,Missed,,2.69,,,,,,,,,,,
128,PT02M57.00S,2026-04-04T23:35:07.9Z,1,REGULAR,rebound,offensive,[],1631204,,,1610612765,25,29,2026-04-04T23:35:09Z,1270000,False,,,0,,M. Sasser REBOUND (Off:1 Def:0),[1631204],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Sasser,M. Sasser,,,,,,,,,,,127.0,1.0,0.0,1.0,,,,
129,PT02M49.00S,2026-04-04T23:35:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,92.72339027595268,52.69607843137255,1610612765,25,31,2026-04-04T23:35:21Z,1280000,False,13.0,16.0,1,right,C. LeVert driving Layup (2 PTS),[1627747],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,,,LeVert,C. LeVert,,,,,Made,2.0,2.09,,,,,,,,,,,
131,PT02M31.00S,2026-04-04T23:35:34.8Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,25,31,2026-04-04T23:35:40Z,1300000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1630194]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Maxey,T. Maxey,,,,,,,,,,,,,,,Reed,1630194.0,,
132,PT02M31.00S,2026-04-04T23:35:34.8Z,1,REGULAR,steal,,[],1630194,,,1610612765,25,31,2026-04-04T23:35:37Z,1310000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,
133,PT02M23.00S,2026-04-04T23:35:41.3Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612765,25,31,2026-04-04T23:35:45Z,1320000,False,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 1630178]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Huerter,K. Huerter,,,,,,,,,,,,,,,Maxey,1630178.0,,
134,PT02M23.00S,2026-04-04T23:35:41.3Z,1,REGULAR,steal,,[],1630178,,,1610612755,25,31,2026-04-04T23:35:43Z,1330000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
135,PT02M20.00S,2026-04-04T23:35:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,5.601182654402102,45.09803921568628,1610612755,27,31,2026-04-04T23:35:51Z,1340000,False,25.0,0.0,1,left,T. Maxey running finger roll Layup (10 PTS),[1630178],1610612755.0,PHI,running finger roll,,,,,,Restricted Area,0-8 Center,,,Maxey,T. Maxey,,,,,Made,10.0,2.45,,,,,,,,,,,
136,PT02M04.00S,2026-04-04T23:36:00.4Z,1,REGULAR,3pt,Jump Shot,[],1641842,81.15965834428384,4.411764705882353,1610612765,27,31,2026-04-04T23:36:06Z,1350000,False,-228.0,125.0,1,right,MISS R. Holland II 25' 3PT,[1641842],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Holland II,R. Holland II,,,,,Missed,,25.97,,,,,,,,,,,
137,PT02M03.00S,2026-04-04T23:36:01.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,27,31,2026-04-04T23:36:06Z,1360000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,136.0,,,,,,,
139,PT01M59.00S,2026-04-04T23:36:22.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631204,68.01905387647832,16.666666666666664,1610612765,27,34,2026-04-04T23:36:27Z,1380000,False,-167.0,248.0,1,right,M. Sasser 29' 3PT step back (3 PTS) (C. LeVert 1 AST),"[1631204, 1627747]",1610612765.0,DET,step back,,,,,,Above the Break 3,24+ Left Center,,,Sasser,M. Sasser,,,,,Made,3.0,29.89,C. LeVert,1627747.0,1.0,,,,,,,,
141,PT01M37.00S,2026-04-04T23:36:48.9Z,1,REGULAR,substitution,out,[],1626162,,,1610612755,27,34,2026-04-04T23:36:54Z,1400000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
142,PT01M37.00S,2026-04-04T23:36:48.9Z,1,REGULAR,substitution,in,[],1626166,,,1610612755,27,34,2026-04-04T23:36:54Z,1410000,False,,,0,,SUB in: C. Payne,[1626166],1610612755.0,PHI,,,,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,
143,PT01M30.00S,2026-04-04T23:37:13.9Z,1,REGULAR,2pt,Jump Shot,[],1630178,4.944152431011826,12.745098039215685,1610612755,29,34,2026-04-04T23:37:17Z,1420000,False,186.0,-6.0,1,left,T. Maxey 18' step back Jump Shot (12 PTS) (D. Barlow 1 AST),"[1630178, 1631230]",1610612755.0,PHI,step back,,,,,,Mid-Range,16-24 Right,,,Maxey,T. Maxey,,,,,Made,12.0,18.64,D. Barlow,1631230.0,1.0,,,,,,,,
145,PT01M20.00S,2026-04-04T23:37:24.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630178,,,1610612765,29,34,2026-04-04T23:37:35Z,1440000,False,,,0,,T. Maxey shooting personal FOUL (2 PF) (Reed 2 FT),"[1630178, 1630194]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,1830.0,,Maxey,T. Maxey,2.0,0.0,Reed,1630194.0,,,,,,,,,,,,,,
147,PT01M20.00S,2026-04-04T23:37:56.0Z,1,REGULAR,freethrow,1 of 2,[],1630194,,,1610612765,29,35,2026-04-04T23:37:56Z,1460000,False,,,0,,P. Reed Free Throw 1 of 2 (1 PTS),[1630194],1610612765.0,DET,,,,,,,,,,,Reed,P. Reed,,,,,Made,1.0,,,,,,,,,,,,
148,PT01M20.00S,2026-04-04T23:38:13.8Z,1,REGULAR,freethrow,2 of 2,[],1630194,,,1610612765,29,36,2026-04-04T23:38:13Z,1470000,False,,,0,,P. Reed Free Throw 2 of 2 (2 PTS),[1630194],1610612765.0,DET,,,,,,,,,,,Reed,P. Reed,,,,,Made,2.0,,,,,,,,,,,,
149,PT01M05.00S,2026-04-04T23:38:31.2Z,1,REGULAR,3pt,Jump Shot,[],1629656,16.376478318002626,3.1862745098039214,1610612755,29,36,2026-04-04T23:38:34Z,1480000,False,234.0,101.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Grimes,Q. Grimes,,,,,Missed,,25.51,,,,,,,,,,,
150,PT01M03.00S,2026-04-04T23:38:33.2Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,29,36,2026-04-04T23:38:34Z,1490000,False,,,0,,M. Sasser REBOUND (Off:1 Def:1),[1631204],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Sasser,M. Sasser,,,,,,,,,,,149.0,2.0,1.0,1.0,,,,
151,PT00M58.40S,2026-04-04T23:38:39.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641842,91.5407358738502,49.26470588235294,1610612765,29,36,2026-04-04T23:41:25Z,1500000,False,-4.0,27.0,1,right,MISS R. Holland II running reverse Layup,[1641842],1610612765.0,DET,running reverse,,,,,,Restricted Area,0-8 Center,,,Holland II,R. Holland II,,,,,Missed,,2.73,,,,,,,,,,,
152,PT00M57.70S,2026-04-04T23:38:40.3Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,29,36,2026-04-04T23:38:50Z,1510000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Reed,P. Reed,,,,,,,,,,,151.0,1.0,0.0,1.0,,,,
153,PT00M57.70S,2026-04-04T23:38:42.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1630194,94.40999984741211,50.0,1610612765,29,38,2026-04-04T23:39:27Z,1520000,False,0.0,0.0,1,right,P. Reed tip DUNK (4 PTS),[1630194],1610612765.0,DET,tip,,,,,,Restricted Area,0-8 Center,,,Reed,P. Reed,,,,,Made,4.0,0.0,,,,,,,,,,,
154,PT00M41.70S,2026-04-04T23:38:58.8Z,1,REGULAR,3pt,Jump Shot,[],1626166,34.11629434954008,56.61764705882353,1610612755,29,38,2026-04-04T23:39:03Z,1530000,False,-33.0,268.0,1,left,MISS C. Payne 27' 3PT,[1626166],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,Payne,C. Payne,,,,,Missed,,27.02,,,,,,,,,,,
155,PT00M38.80S,2026-04-04T23:39:01.7Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,29,38,2026-04-04T23:39:03Z,1540000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Holland II,R. Holland II,,,,,,,,,,,154.0,1.0,1.0,0.0,,,,
156,PT00M33.40S,2026-04-04T23:39:07.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627747,69.33311432325887,74.26470588235294,1610612765,29,41,2026-04-04T23:42:12Z,1550000,False,121.0,236.0,1,right,C. LeVert 26' 3PT running pullup (5 PTS),[1627747],1610612765.0,DET,running pullup,,,,,,Above the Break 3,24+ Right Center,,,LeVert,C. LeVert,,,,,Made,5.0,26.52,,,,,,,,,,,
157,PT00M22.00S,2026-04-04T23:39:37.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630194,,,1610612755,29,41,2026-04-04T23:39:48Z,1560000,False,,,0,,P. Reed personal FOUL (2 PF) (Maxey 2 FT),"[1630194, 1630178]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,200834.0,,Reed,P. Reed,2.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,,
160,PT00M22.00S,2026-04-04T23:39:58.3Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,30,41,2026-04-04T23:39:58Z,1580000,False,,,0,,T. Maxey Free Throw 1 of 2 (13 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,Made,13.0,,,,,,,,,,,,
161,PT00M22.00S,2026-04-04T23:40:01.3Z,1,REGULAR,substitution,out,[],1641842,,,1610612755,30,41,2026-04-04T23:40:06Z,1590000,False,,,0,,SUB out: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,
162,PT00M22.00S,2026-04-04T23:40:01.3Z,1,REGULAR,substitution,out,[],1630194,,,1610612755,30,41,2026-04-04T23:40:06Z,1600000,False,,,0,,SUB out: P. Reed,[1630194],1610612765.0,DET,,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,
163,PT00M22.00S,2026-04-04T23:40:01.3Z,1,REGULAR,substitution,in,[],1629130,,,1610612755,30,41,2026-04-04T23:40:06Z,1610000,False,,,0,,SUB in: D. Robinson,[1629130],1610612765.0,DET,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
164,PT00M22.00S,2026-04-04T23:40:01.3Z,1,REGULAR,substitution,in,[],1631105,,,1610612755,30,41,2026-04-04T23:40:06Z,1620000,False,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,,,,,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,
165,PT00M22.00S,2026-04-04T23:40:29.0Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,31,41,2026-04-04T23:40:29Z,1630000,False,,,0,,T. Maxey Free Throw 2 of 2 (14 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,Made,14.0,,,,,,,,,,,,
166,PT00M00.40S,2026-04-04T23:40:57.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631204,91.67214191852825,58.57843137254902,1610612765,31,41,2026-04-04T23:43:35Z,1640000,False,43.0,26.0,1,right,MISS M. Sasser driving bank Hook,[1631204],1610612765.0,DET,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,,,Sasser,M. Sasser,,,,,Missed,,5.01,,,,,,,,,,,
167,PT00M00.40S,2026-04-04T23:40:57.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,31,41,2026-04-04T23:41:43Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,166.0,,,,,,,
168,PT00M00.00S,2026-04-04T23:41:10.5Z,1,REGULAR,period,end,[],0,,,1610612765,31,41,2026-04-04T23:41:43Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612765,31,41,2026-04-04T23:43:42Z,1670000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,out,['startperiod'],1629656,,,1610612765,31,41,2026-04-04T23:43:42Z,1680000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,out,['startperiod'],1631204,,,1610612765,31,41,2026-04-04T23:43:42Z,1690000,False,,,0,,SUB out: M. Sasser,[1631204],1610612765.0,DET,,,,,,,,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,out,['startperiod'],1629130,,,1610612765,31,41,2026-04-04T23:43:42Z,1700000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,in,['startperiod'],202331,,,1610612765,31,41,2026-04-04T23:43:42Z,1710000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,in,['startperiod'],1642845,,,1610612765,31,41,2026-04-04T23:43:42Z,1720000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,,,,,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2026-04-04T23:43:14.4Z,2,REGULAR,substitution,in,['startperiod'],1641842,,,1610612765,31,41,2026-04-04T23:43:42Z,1730000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,
