actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
339,PT01M05.00S,2026-03-26T00:05:52.8Z,2,REGULAR,rebound,defensive,[],1641824,,,1610612741,66,45,2026-03-26T00:05:54Z,3390000,False,,,0,,M. Buzelis REBOUND (Off:2 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,338.0,4.0,2.0,2.0,,,,,,,,,,,,,,
340,PT01M02.00S,2026-03-26T00:05:58.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631230,,,1610612741,66,45,2026-03-26T00:06:10Z,3400000,False,,,0,,D. Barlow personal FOUL (2 PF) (Buzelis 2 FT),"[1631230, 1641824]",1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,2715.0,,,2.0,0.0,Buzelis,1641824.0
342,PT01M02.00S,2026-03-26T00:06:29.4Z,2,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,66,46,2026-03-26T00:12:35Z,3420000,False,,,0,,M. Buzelis Free Throw 1 of 2 (7 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,,,,,,,,7.0,,,,,,,,,,
343,PT01M02.00S,2026-03-26T00:06:29.4Z,2,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,66,47,2026-03-26T00:12:35Z,3430000,False,,,0,,M. Buzelis Free Throw 2 of 2 (8 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
344,PT00M43.30S,2026-03-26T00:07:10.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.933639947437584,50.73529411764706,1610612755,68,47,2026-03-26T00:07:15Z,3440000,False,-4.0,22.0,1,left,J. Embiid finger roll Layup (23 PTS) (V. Edgecombe 2 AST),"[203954, 1642845]",1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.24,Made,,,,,,,,23.0,V. Edgecombe,1642845.0,2.0,,,,,,,
346,PT00M29.80S,2026-03-26T00:07:26.2Z,2,REGULAR,3pt,Jump Shot,[],1630581,87.17148488830486,97.54901960784314,1610612741,68,50,2026-03-26T00:07:29Z,3460000,False,238.0,68.0,1,right,J. Giddey 24' 3PT  (16 PTS) (I. Okoro 1 AST),"[1630581, 1630171]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,24.73,Made,,,,,,,,16.0,I. Okoro,1630171.0,1.0,,,,,,,
348,PT00M08.00S,2026-03-26T00:07:54.4Z,2,REGULAR,3pt,Jump Shot,[],202331,6.356767411300922,5.392156862745097,1610612755,71,50,2026-03-26T00:07:58Z,3480000,False,223.0,7.0,1,left,P. George 3PT  (5 PTS) (V. Edgecombe 3 AST),"[202331, 1642845]",1610612755.0,PHI,,,,George,P. George,,,,,Right Corner 3,24+ Right,22.31,Made,,,,,,,,5.0,V. Edgecombe,1642845.0,3.0,,,,,,,
350,PT00M02.60S,2026-03-26T00:08:02.2Z,2,REGULAR,3pt,Jump Shot,[],1641824,71.66557161629436,85.29411764705883,1610612741,71,50,2026-03-26T00:08:07Z,3500000,False,176.0,214.0,1,right,MISS M. Buzelis 27' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,27.72,Missed,,,,,,,,,,,,,,,,,,
351,PT00M00.20S,2026-03-26T00:08:07.1Z,2,REGULAR,rebound,offensive,[],1630171,,,1610612741,71,50,2026-03-26T00:08:07Z,3510000,False,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,350.0,2.0,1.0,1.0,,,,,,,,,,,,,,
352,PT00M00.20S,2026-03-26T00:08:07.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630171,94.40999984741211,50.0,1610612741,71,52,2026-03-26T00:08:07Z,3520000,False,0.0,0.0,1,right,I. Okoro tip Layup (7 PTS),[1630171],1610612741.0,CHI,tip,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,7.0,,,,,,,,,,
353,PT00M00.00S,2026-03-26T00:08:24.1Z,2,REGULAR,period,end,[],0,,,1610612755,71,52,2026-03-26T00:08:24Z,3530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT12M00.00S,2026-03-26T00:11:05.7Z,3,REGULAR,substitution,out,['startperiod'],1627824,,,1610612755,71,52,2026-03-26T00:23:11Z,3540000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PT12M00.00S,2026-03-26T00:11:05.7Z,3,REGULAR,substitution,in,['startperiod'],1630172,,,1610612755,71,52,2026-03-26T00:23:11Z,3550000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
