actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
85,PT05M28.00S,2025-12-24T00:25:07.4Z,1,REGULAR,foul,personal,['1freethrow'],1630178,,,1610612751,12,14,2025-12-24T00:25:13Z,850000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1630178, 1629008]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,2004.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,
89,PT05M28.00S,2025-12-24T00:25:18.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,12,14,2025-12-24T00:34:02Z,870000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M28.00S,2025-12-24T00:28:39.3Z,1,REGULAR,freethrow,1 of 1,[],1629008,,,1610612751,12,15,2025-12-24T00:28:39Z,890000,False,,,0,,M. Porter Jr. Free Throw 1 of 1 (12 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
91,PT05M08.00S,2025-12-24T00:29:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.14257555847569,65.68627450980392,1610612755,14,15,2025-12-24T00:29:06Z,900000,False,-78.0,80.0,1,left,J. Embiid 11' fadeaway Jump Shot (8 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Left,11.23,Made,,,,,,,8.0,,,,,,,,,,,
92,PT04M50.00S,2025-12-24T00:29:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641730,94.30026281208936,52.69607843137255,1610612751,14,17,2025-12-24T00:29:28Z,910000,False,13.0,1.0,1,right,N. Clowney driving Layup (2 PTS) (D. Sharpe 3 AST),"[1641730, 1630549]",1610612751.0,BKN,driving,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,2.0,D. Sharpe,1630549.0,3.0,,,,,,,,
94,PT04M37.00S,2025-12-24T00:29:36.1Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612755,14,17,2025-12-24T00:29:41Z,930000,False,,,0,,D. Sharpe shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630549, 203954]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,2004.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
96,PT04M37.00S,2025-12-24T00:30:12.7Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,15,17,2025-12-24T00:30:12Z,950000,False,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
97,PT04M37.00S,2025-12-24T00:30:14.1Z,1,REGULAR,substitution,out,[],1642856,,,1610612755,15,17,2025-12-24T00:30:23Z,960000,False,,,0,,SUB out: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M37.00S,2025-12-24T00:30:14.1Z,1,REGULAR,substitution,out,[],1629611,,,1610612755,15,17,2025-12-24T00:30:23Z,970000,False,,,0,,SUB out: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M37.00S,2025-12-24T00:30:14.1Z,1,REGULAR,substitution,in,[],1630533,,,1610612755,15,17,2025-12-24T00:30:23Z,980000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M37.00S,2025-12-24T00:30:14.1Z,1,REGULAR,substitution,in,[],1642849,,,1610612755,15,17,2025-12-24T00:30:23Z,990000,False,,,0,,SUB in: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M37.00S,2025-12-24T00:30:42.0Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,16,17,2025-12-24T00:30:42Z,1000000,False,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
102,PT04M22.00S,2025-12-24T00:30:58.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,95.0886990801577,51.470588235294116,1610612751,16,19,2025-12-24T00:31:03Z,1010000,False,7.0,-6.0,1,right,M. Porter Jr. driving DUNK (14 PTS) (D. Sharpe 4 AST),"[1629008, 1630549]",1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,14.0,D. Sharpe,1630549.0,4.0,,,,,,,,
104,PT04M08.00S,2025-12-24T00:31:12.6Z,1,REGULAR,2pt,Jump Shot,[],1642272,10.068988173455978,68.38235294117648,1610612755,16,19,2025-12-24T00:31:16Z,1030000,False,-92.0,42.0,1,left,MISS J. McCain 10' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,McCain,J. McCain,,,,,Mid-Range,8-16 Left,10.11,Missed,,,,,,,,,,,,,,,,,,
105,PT04M06.00S,2025-12-24T00:31:14.6Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,16,19,2025-12-24T00:31:16Z,1040000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,,,104.0,,,,,,,,,,,,,3.0,2.0,1.0,,
106,PT03M56.00S,2025-12-24T00:31:26.4Z,1,REGULAR,turnover,lost ball,[],1642849,,,1610612751,16,19,2025-12-24T00:31:32Z,1050000,False,,,0,,N. Traore lost ball TURNOVER (1 TO),"[1642849, 1642272]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,McCain,1642272.0,,,,,
107,PT03M56.00S,2025-12-24T00:31:26.4Z,1,REGULAR,steal,,[],1642272,,,1610612755,16,19,2025-12-24T00:31:29Z,1060000,False,,,0,,J. McCain STEAL (2 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
108,PT03M56.00S,2025-12-24T00:31:31.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629008,,,1610612755,16,19,2025-12-24T00:31:47Z,1070000,False,,,0,,M. Porter Jr. loose ball personal FOUL (1 PF) (Edwards 2 FT),"[1629008, 1642348]",1610612751.0,BKN,loose ball,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,2004.0,1.0,0.0,Edwards,1642348.0,,,,,,,,,,,,
110,PT03M56.00S,2025-12-24T00:31:59.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642348,,,1610612755,17,19,2025-12-24T00:31:59Z,1090000,False,,,0,,J. Edwards Free Throw 1 of 2 (1 PTS),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
111,PT03M56.00S,2025-12-24T00:32:01.6Z,1,REGULAR,substitution,out,[],202331,,,1610612755,17,19,2025-12-24T00:32:07Z,1100000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M56.00S,2025-12-24T00:32:01.6Z,1,REGULAR,substitution,out,[],1641730,,,1610612755,17,19,2025-12-24T00:32:07Z,1110000,False,,,0,,SUB out: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M56.00S,2025-12-24T00:32:01.6Z,1,REGULAR,substitution,in,[],201569,,,1610612755,17,19,2025-12-24T00:32:07Z,1120000,False,,,0,,SUB in: E. Gordon,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M56.00S,2025-12-24T00:32:01.6Z,1,REGULAR,substitution,in,[],1642874,,,1610612755,17,19,2025-12-24T00:32:07Z,1130000,False,,,0,,SUB in: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M56.00S,2025-12-24T00:32:25.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642348,,,1610612755,18,19,2025-12-24T00:32:25Z,1140000,False,,,0,,J. Edwards Free Throw 2 of 2 (2 PTS),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
116,PT03M39.00S,2025-12-24T00:32:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,94.69448094612353,54.166666666666664,1610612751,18,19,2025-12-24T00:32:50Z,1150000,False,21.0,-3.0,1,right,MISS D. Sharpe reverse Layup,[1630549],1610612751.0,BKN,reverse,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
117,PT03M35.00S,2025-12-24T00:32:48.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,18,19,2025-12-24T00:32:48Z,1160000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,116.0,,,,,,,,,,,,,1.0,1.0,0.0,,
118,PT03M33.00S,2025-12-24T00:32:53.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642874,,,1610612755,18,19,2025-12-24T00:33:01Z,1170000,False,,,0,,D. Wolf shooting personal FOUL (1 PF) (McCain 2 FT),"[1642874, 1642272]",1610612751.0,BKN,shooting,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,,,,1627539.0,1.0,0.0,McCain,1642272.0,,,,,,,,,,,,
120,PT03M33.00S,2025-12-24T00:33:27.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1642272,,,1610612755,19,19,2025-12-24T00:33:27Z,1190000,False,,,0,,J. McCain Free Throw 1 of 2 (3 PTS),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
121,PT03M33.00S,2025-12-24T00:33:39.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1642272,,,1610612755,20,19,2025-12-24T00:33:39Z,1200000,False,,,0,,J. McCain Free Throw 2 of 2 (4 PTS),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
122,PT03M19.00S,2025-12-24T00:33:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642874,94.30026281208936,46.81372549019608,1610612751,20,19,2025-12-24T00:33:58Z,1210000,False,-16.0,1.0,1,right,MISS D. Wolf driving Layup,[1642874],1610612751.0,BKN,driving,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
123,PT03M16.00S,2025-12-24T00:33:57.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,20,19,2025-12-24T00:33:57Z,1220000,False,,,0,,D. Sharpe REBOUND (Off:2 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,122.0,,,,,,,,,,,,,4.0,2.0,2.0,,
124,PT03M16.00S,2025-12-24T00:33:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,94.40999984741211,50.0,1610612751,20,21,2025-12-24T00:33:57Z,1230000,False,0.0,0.0,1,right,D. Sharpe tip Layup (2 PTS),[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
125,PT03M00.00S,2025-12-24T00:34:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.389618922470433,52.94117647058824,1610612755,22,21,2025-12-24T00:34:17Z,1240000,False,-15.0,8.0,1,left,E. Gordon driving Layup (2 PTS) (T. Maxey 1 AST),"[201569, 1630178]",1610612755.0,PHI,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,1.65,Made,,,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,,,
127,PT02M45.00S,2025-12-24T00:34:30.4Z,1,REGULAR,turnover,traveling,[],1642849,,,1610612751,22,21,2025-12-24T00:34:36Z,1260000,False,,,0,,N. Traore traveling TURNOVER (2 TO),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Mid-Range,16-24 Center,,,,1626300.0,,,,,,,,,2.0,,,,,,,
128,PT02M45.00S,2025-12-24T00:34:34.9Z,1,REGULAR,substitution,out,[],203954,,,1610612755,22,21,2025-12-24T00:34:38Z,1270000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M45.00S,2025-12-24T00:34:34.9Z,1,REGULAR,substitution,in,[],203083,,,1610612755,22,21,2025-12-24T00:34:38Z,1280000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M45.00S,2025-12-24T00:34:39.5Z,1,REGULAR,substitution,out,[],1629008,,,1610612755,22,21,2025-12-24T00:34:43Z,1290000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M45.00S,2025-12-24T00:34:39.5Z,1,REGULAR,substitution,in,[],1631213,,,1610612755,22,21,2025-12-24T00:34:43Z,1300000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M29.00S,2025-12-24T00:35:06.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642272,23.078186596583443,43.13725490196079,1610612755,22,21,2025-12-24T00:35:10Z,1310000,False,34.0,164.0,1,left,MISS J. McCain 16' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,McCain,J. McCain,,,,,Mid-Range,16-24 Center,16.79,Missed,,,,,,,,,,,,,,,,,,
133,PT02M25.00S,2025-12-24T00:35:10.0Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,22,21,2025-12-24T00:35:10Z,1320000,False,,,0,,D. Sharpe REBOUND (Off:2 Def:3),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,16-24 Center,,,132.0,,,,,,,,,,,,,5.0,3.0,2.0,,
134,PT02M11.00S,2025-12-24T00:35:26.4Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612751,22,21,2025-12-24T00:35:35Z,1330000,False,,,0,,T. Maxey shooting personal FOUL (2 PF) (Williams 2 FT),"[1630178, 1630533]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,2004.0,2.0,0.0,Williams,1630533.0,,,,,,,,,,,,
136,PT02M11.00S,2025-12-24T00:35:51.7Z,1,REGULAR,freethrow,1 of 2,[],1630533,,,1610612751,22,22,2025-12-24T00:35:51Z,1350000,False,,,0,,Z. Williams Free Throw 1 of 2 (1 PTS),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
137,PT02M11.00S,2025-12-24T00:35:53.0Z,1,REGULAR,substitution,out,[],1630178,,,1610612751,22,22,2025-12-24T00:36:09Z,1360000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M11.00S,2025-12-24T00:35:53.0Z,1,REGULAR,substitution,out,[],1642272,,,1610612751,22,22,2025-12-24T00:36:09Z,1370000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M11.00S,2025-12-24T00:35:53.0Z,1,REGULAR,substitution,in,[],200768,,,1610612751,22,22,2025-12-24T00:36:09Z,1380000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M11.00S,2025-12-24T00:35:53.0Z,1,REGULAR,substitution,in,[],202331,,,1610612751,22,22,2025-12-24T00:36:09Z,1390000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M11.00S,2025-12-24T00:36:27.3Z,1,REGULAR,freethrow,2 of 2,[],1630533,,,1610612751,22,23,2025-12-24T00:36:27Z,1400000,False,,,0,,Z. Williams Free Throw 2 of 2 (2 PTS),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
142,PT01M56.00S,2025-12-24T00:36:52.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630533,,,1610612755,22,23,2025-12-24T00:37:01Z,1410000,False,,,0,,Z. Williams shooting personal FOUL (1 PF) (George 2 FT),"[1630533, 202331]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Right Center,,,,1627539.0,1.0,0.0,George,202331.0,,,,,,,,,,,,
144,PT01M56.00S,2025-12-24T00:37:13.7Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612755,23,23,2025-12-24T00:37:13Z,1430000,False,,,0,,P. George Free Throw 1 of 2 (5 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
145,PT01M56.00S,2025-12-24T00:37:31.1Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612755,24,23,2025-12-24T00:37:31Z,1440000,False,,,0,,P. George Free Throw 2 of 2 (6 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
146,PT01M32.00S,2025-12-24T00:37:55.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642874,92.72339027595268,58.333333333333336,1610612751,24,23,2025-12-24T00:38:01Z,1450000,False,42.0,16.0,1,right,MISS D. Wolf turnaround bank Hook,[1642874],1610612751.0,BKN,turnaround bank,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,,,,,,,,,,,,
147,PT01M29.00S,2025-12-24T00:37:58.5Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,24,23,2025-12-24T00:38:01Z,1460000,False,,,0,,D. Sharpe REBOUND (Off:3 Def:3),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,146.0,,,,,,,,,,,,,6.0,3.0,3.0,,
148,PT01M29.00S,2025-12-24T00:37:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,94.40999984741211,50.0,1610612751,24,25,2025-12-24T00:37:58Z,1470000,False,0.0,0.0,1,right,D. Sharpe tip Layup (4 PTS),[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,,
149,PT01M17.00S,2025-12-24T00:38:10.5Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,24,25,2025-12-24T00:38:14Z,1480000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630549]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,Sharpe,1630549.0,,,,,
150,PT01M17.00S,2025-12-24T00:38:10.5Z,1,REGULAR,steal,,[],1630549,,,1610612751,24,25,2025-12-24T00:44:47Z,1490000,False,,,0,,D. Sharpe STEAL (1 STL),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
151,PT01M15.00S,2025-12-24T00:38:15.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642348,,,1610612751,24,25,2025-12-24T00:38:22Z,1500000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Williams 2 FT),"[1642348, 1630533]",1610612755.0,PHI,shooting,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,1627539.0,1.0,0.0,Williams,1630533.0,,,,,,,,,,,,
153,PT01M15.00S,2025-12-24T00:38:47.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630533,,,1610612751,24,26,2025-12-24T00:38:47Z,1520000,False,,,0,,Z. Williams Free Throw 1 of 2 (3 PTS),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
154,PT01M15.00S,2025-12-24T00:38:55.9Z,1,REGULAR,substitution,out,[],1642348,,,1610612751,24,26,2025-12-24T00:39:00Z,1530000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M15.00S,2025-12-24T00:38:55.9Z,1,REGULAR,substitution,in,[],1642272,,,1610612751,24,26,2025-12-24T00:39:00Z,1540000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M15.00S,2025-12-24T00:39:19.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630533,,,1610612751,24,27,2025-12-24T00:39:19Z,1550000,False,,,0,,Z. Williams Free Throw 2 of 2 (4 PTS),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
157,PT00M58.50S,2025-12-24T00:39:42.4Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612755,24,27,2025-12-24T00:39:51Z,1560000,False,,,0,,P. George lost ball out-of-bounds TURNOVER (2 TO),[202331],1610612755.0,PHI,lost ball,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,2004.0,,,,,,,,,2.0,,,,,,,
158,PT00M45.60S,2025-12-24T00:40:05.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642874,83.52496714848883,5.392156862745098,1610612751,24,27,2025-12-24T00:40:10Z,1570000,False,-223.0,102.0,1,right,MISS D. Wolf 24' 3PT,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
159,PT00M43.50S,2025-12-24T00:40:07.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,24,27,2025-12-24T00:40:10Z,1580000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,158.0,,,,,,,,,,,,,,,,,
161,PT00M34.00S,2025-12-24T00:40:39.0Z,1,REGULAR,turnover,out-of-bounds,[],1642874,,,1610612751,24,27,2025-12-24T00:40:44Z,1600000,False,,,0,,D. Wolf step out-of-bounds TURNOVER (1 TO),[1642874],1610612751.0,BKN,step,,,Wolf,D. Wolf,,,,,Mid-Range,8-16 Left,,,,2004.0,,,,,,,,,1.0,,,,,,,
162,PT00M16.00S,2025-12-24T00:41:08.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201569,28.07161629434954,86.51960784313727,1610612755,27,27,2025-12-24T00:41:12Z,1610000,False,-183.0,211.0,1,left,E. Gordon 27' 3PT  (5 PTS) (K. Lowry 1 AST),"[201569, 200768]",1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,27.93,Made,,,,,,,5.0,K. Lowry,200768.0,1.0,,,,,,,,
164,PT00M02.40S,2025-12-24T00:41:15.9Z,1,REGULAR,3pt,Jump Shot,[],1631213,75.1149802890933,11.519607843137255,1610612751,27,27,2025-12-24T00:46:09Z,1630000,False,-192.0,181.0,1,right,MISS T. Martin 26' 3PT - blocked,"[1631213, 202331]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,George,202331.0
165,PT00M02.40S,2025-12-24T00:41:15.9Z,1,REGULAR,block,,[],202331,,,1610612751,27,27,2025-12-24T00:41:55Z,1640000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
166,PT00M02.40S,2025-12-24T00:41:15.9Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612755,27,27,2025-12-24T00:46:09Z,1650000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,,,164.0,,,,,,,,,,,,,1.0,1.0,0.0,,
168,PT00M00.20S,2025-12-24T00:41:16.7Z,1,REGULAR,heave,,[],0,,,1610612755,27,27,2025-12-24T00:45:35Z,1655000,False,,,0,,PHI Heave,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,51.06,,,,,,,,,,,,,,,,,,,
169,PT00M00.20S,2025-12-24T00:41:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,27,27,2025-12-24T00:45:39Z,1657500,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,168.0,,,,,,,,,,,,,,,,,
167,PT00M00.00S,2025-12-24T00:42:03.1Z,1,REGULAR,period,end,[],0,,,1610612755,27,27,2025-12-24T00:42:03Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-12-24T00:43:07.4Z,2,REGULAR,substitution,out,['startperiod'],1630549,,,1610612755,27,27,2025-12-24T00:44:13Z,1670000,False,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-12-24T00:43:07.4Z,2,REGULAR,substitution,in,['startperiod'],1629651,,,1610612755,27,27,2025-12-24T00:44:13Z,1680000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
