actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
459,PT00M37.40S,2023-12-07T01:39:56.8Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630165,88.78120893561103,55.392156862745104,1610612765,81,80,2023-12-07T01:40:01Z,4450000,False,27.0,53.0,1,right,K. Hayes floating Jump Shot (11 PTS) (J. Wiseman 1 AST),"[1630165, 1630164]",1610612765.0,DET,floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,,,,,,,11.0,,,J. Wiseman,1630164.0,1.0,,,,,,
461,PT00M37.40S,2023-12-07T01:40:00.4Z,3,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612765,81,80,2023-12-07T01:40:32Z,4470000,False,,,0,,J. Jackson Jr. shooting personal FOUL (2 PF) (Hayes 1 FT),"[1628991, 1630165]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628954.0,,,,,,,,,,2.0,0.0,Hayes,1630165.0
463,PT00M37.40S,2023-12-07T01:40:33.2Z,3,REGULAR,freethrow,1 of 1,['fromturnover'],1630165,,,1610612765,82,80,2023-12-07T01:40:33Z,4490000,False,,,0,,K. Hayes Free Throw 1 of 1 (12 PTS),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
464,PT00M21.40S,2023-12-07T01:40:42.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,10.33180026281209,44.36274509803921,1610612763,82,82,2023-12-07T01:52:43Z,4500000,False,28.0,45.0,1,left,J. Jackson Jr. driving Layup (21 PTS) (D. Bane 7 AST),"[1628991, 1630217]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.28,Made,,,,,,,21.0,,,D. Bane,1630217.0,7.0,,,,,,
465,PT00M03.00S,2023-12-07T01:41:01.6Z,3,REGULAR,2pt,Jump Shot,[],1630165,73.14388961892247,42.64705882352941,1610612765,82,82,2023-12-07T01:41:07Z,4510000,False,-37.0,200.0,1,right,MISS K. Hayes 20' fadeaway Shot,[1630165],1610612765.0,DET,fadeaway,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Center,20.33,Missed,,,,,,,,,,,,,,,,,,
466,PT00M01.10S,2023-12-07T01:41:05.9Z,3,REGULAR,rebound,offensive,[],1630164,,,1610612765,82,82,2023-12-07T01:41:05Z,4520000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:0),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Mid-Range,16-24 Center,,,465.0,1.0,0.0,1.0,,,,,,,,,,,,,,
467,PT00M01.10S,2023-12-07T01:41:06.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630164,93.77463863337714,49.754901960784316,1610612765,84,82,2023-12-07T01:45:33Z,4530000,False,-1.0,6.0,1,right,J. Wiseman putback Layup (4 PTS),[1630164],1610612765.0,DET,putback,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,,,4.0,,,,,,,,,,,
468,PT00M00.10S,2023-12-07T01:41:11.5Z,3,REGULAR,3pt,Jump Shot,[],1629669,66.44218134034165,12.009803921568627,1610612763,84,82,2023-12-07T01:41:37Z,4540000,False,190.0,572.0,1,left,MISS J. Nowell 60' 3PT,[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Left Center,60.28,Missed,,,,,,,,,,,,,,,,,,
469,PT00M00.10S,2023-12-07T01:41:11.5Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612763,84,82,2023-12-07T01:41:37Z,4550000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,468.0,,,,,,,,,,,,,,,,,
470,PT00M00.00S,2023-12-07T01:41:17.2Z,3,REGULAR,period,end,[],0,,,1610612763,84,82,2023-12-07T01:41:17Z,4560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,PT12M00.00S,2023-12-07T01:43:20.7Z,4,REGULAR,substitution,out,['startperiod'],1630217,,,1610612763,84,82,2023-12-07T01:43:41Z,4570000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
473,PT12M00.00S,2023-12-07T01:43:20.7Z,4,REGULAR,substitution,in,['startperiod'],1629723,,,1610612763,84,82,2023-12-07T01:43:41Z,4580000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
474,PT12M00.00S,2023-12-07T01:43:57.5Z,4,REGULAR,period,start,[],0,,,1610612763,84,82,2023-12-07T01:43:57Z,4590000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PT11M38.00S,2023-12-07T01:44:18.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,8.229303547963205,59.068627450980394,1610612763,84,82,2023-12-07T01:53:33Z,4600000,False,-45.0,25.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
476,PT11M36.00S,2023-12-07T01:44:20.2Z,4,REGULAR,rebound,defensive,[],1641709,,,1610612765,84,82,2023-12-07T01:55:09Z,4610000,False,,,0,,A. Thompson REBOUND (Off:2 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,475.0,4.0,2.0,2.0,,,,,,,,,,,,,,
478,PT11M25.00S,2023-12-07T01:44:51.8Z,4,REGULAR,foul,offensive,[],1630164,,,1610612765,84,82,2023-12-07T01:45:15Z,4630000,False,,,0,,J. Wiseman offensive FOUL (2 PF),"[1630164, 1629669]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,1628954.0,,,,,,,,,,2.0,0.0,Nowell,1629669.0
480,PT11M25.00S,2023-12-07T01:44:51.8Z,4,REGULAR,turnover,offensive foul,[],1630164,,,1610612765,84,82,2023-12-07T01:44:51Z,4650000,False,,,0,,J. Wiseman offensive foul TURNOVER (1 TO),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,1628954.0,1.0,,,,,,,,,,,,
482,PT11M08.00S,2023-12-07T01:45:19.7Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1631246,6.521024967148489,95.58823529411765,1610612763,84,85,2023-12-07T01:45:26Z,4670000,False,-228.0,9.0,1,left,V. Williams Jr. 3PT  (3 PTS) (J. Konchar 1 AST),"[1631246, 1629723]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Left Corner 3,24+ Left,22.81,Made,,,,,,,3.0,,,J. Konchar,1629723.0,1.0,,,,,,
484,PT10M50.00S,2023-12-07T01:45:38.2Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,82.47371879106439,49.01960784313725,1610612765,84,85,2023-12-07T01:55:48Z,4690000,False,-5.0,112.0,1,right,MISS K. Hayes 11' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
485,PT10M46.00S,2023-12-07T01:45:42.2Z,4,REGULAR,rebound,defensive,[],1629723,,,1610612763,84,85,2023-12-07T01:57:08Z,4700000,False,,,0,,J. Konchar REBOUND (Off:1 Def:3),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),8-16 Center,,,484.0,4.0,3.0,1.0,,,,,,,,,,,,,,
486,PT10M40.00S,2023-12-07T01:45:48.8Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,7.046649145860711,47.549019607843135,1610612763,84,85,2023-12-07T01:56:39Z,4710000,False,12.0,14.0,1,left,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1630164]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,Wiseman,1630164.0,,,,,,,,,
487,PT10M40.00S,2023-12-07T01:45:48.8Z,4,REGULAR,block,,[],1630164,,,1610612763,84,85,2023-12-07T01:45:53Z,4720000,False,,,0,,J. Wiseman BLOCK (2 BLK),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
488,PT10M34.00S,2023-12-07T01:45:54.8Z,4,REGULAR,rebound,defensive,[],1630165,,,1610612765,84,85,2023-12-07T01:45:55Z,4730000,False,,,0,,K. Hayes REBOUND (Off:1 Def:2),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,486.0,3.0,2.0,1.0,,,,,,,,,,,,,,
489,PT10M31.00S,2023-12-07T01:45:57.8Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1631093,94.30026281208936,3.431372549019608,1610612765,84,85,2023-12-07T01:57:27Z,4740000,False,-233.0,1.0,1,right,MISS J. Ivey running 3PT,[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
490,PT10M28.00S,2023-12-07T01:46:00.8Z,4,REGULAR,rebound,defensive,[],1629669,,,1610612763,84,85,2023-12-07T01:48:20Z,4750000,False,,,0,,J. Nowell REBOUND (Off:0 Def:1),[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,Left Corner 3,24+ Left,,,489.0,1.0,1.0,0.0,,,,,,,,,,,,,,
491,PT10M14.00S,2023-12-07T01:46:14.6Z,4,REGULAR,3pt,Jump Shot,[],1629723,31.750985545335087,44.11764705882353,1610612763,84,88,2023-12-07T01:46:23Z,4760000,False,29.0,246.0,1,left,J. Konchar 24' 3PT  (9 PTS) (J. Nowell 3 AST),"[1629723, 1629669]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Center,24.78,Made,,,,,,,9.0,,,J. Nowell,1629669.0,3.0,,,,,,
493,PT09M51.00S,2023-12-07T01:46:38.1Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1630164,91.80354796320631,46.32352941176471,1610612765,84,88,2023-12-07T01:46:42Z,4780000,False,-18.0,25.0,1,right,MISS J. Wiseman turnaround Hook,[1630164],1610612765.0,DET,turnaround,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
494,PT09M47.00S,2023-12-07T01:46:42.1Z,4,REGULAR,rebound,defensive,[],1629723,,,1610612763,84,88,2023-12-07T01:46:42Z,4790000,False,,,0,,J. Konchar REBOUND (Off:1 Def:4),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,493.0,5.0,4.0,1.0,,,,,,,,,,,,,,
