actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
39,PT09M01.00S,2024-03-11T23:16:26.1Z,1,REGULAR,turnover,lost ball,[],203995,,,1610612766,8,6,2024-03-11T23:16:30Z,390000,False,,,0,,V. Micic lost ball TURNOVER (1 TO),"[203995, 1630595]",1610612766.0,CHA,,,,,,,Mid-Range,16-24 Center,,,Micic,V. Micic,,,,,,,,,1.0,Cunningham,1630595.0,,,,,,,
40,PT09M01.00S,2024-03-11T23:16:26.1Z,1,REGULAR,steal,,[],1630595,,,1610612765,8,6,2024-03-11T23:16:28Z,400000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,,,,Mid-Range,16-24 Center,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
41,PT08M57.00S,2024-03-11T23:16:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630595,8.09789750328515,45.09803921568628,1610612765,10,6,2024-03-11T23:16:40Z,410000,False,25.0,24.0,1,left,C. Cunningham running Layup (2 PTS),[1630595],1610612765.0,DET,running,,,,,,Restricted Area,0-8 Center,3.4,Made,Cunningham,C. Cunningham,,,,,2.0,,,,,,,,,,,,,
42,PT08M41.00S,2024-03-11T23:16:45.8Z,1,REGULAR,3pt,Jump Shot,[],1641706,92.85479632063075,94.6078431372549,1610612766,10,9,2024-03-11T23:22:14Z,420000,False,223.0,15.0,1,right,B. Miller 3PT  (3 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,22.35,Made,Miller,B. Miller,,,,,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,
44,PT08M20.00S,2024-03-11T23:17:07.3Z,1,REGULAR,3pt,Jump Shot,[],1630595,4.944152431011826,94.85294117647058,1610612765,10,9,2024-03-11T23:17:13Z,440000,False,-224.0,-6.0,1,left,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,22.44,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
45,PT08M16.00S,2024-03-11T23:17:11.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,10,9,2024-03-11T23:17:13Z,450000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Richards,N. Richards,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
46,PT07M59.00S,2024-03-11T23:17:28.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,96.13994743758212,95.34313725490196,1610612766,10,12,2024-03-11T23:18:38Z,460000,False,227.0,-16.0,1,right,G. Williams 3PT  (5 PTS) (V. Micic 1 AST),"[1629684, 203995]",1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,22.73,Made,Williams,G. Williams,,,,,5.0,V. Micic,203995.0,1.0,,,,,,,,,,
48,PT07M50.00S,2024-03-11T23:17:39.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,8.886333771353483,75.0,1610612765,12,12,2024-03-11T23:17:59Z,480000,False,-125.0,31.0,1,left,C. Cunningham 12' driving floating bank Jump Shot (4 PTS) (J. Ivey 1 AST),"[1630595, 1631093]",1610612765.0,DET,driving floating bank,,,,,,Mid-Range,8-16 Left,12.88,Made,Cunningham,C. Cunningham,,,,,4.0,J. Ivey,1631093.0,1.0,,,,,,,,,,
50,PT07M50.00S,2024-03-11T23:17:47.6Z,1,REGULAR,foul,personal,['1freethrow'],203995,,,1610612765,12,12,2024-03-11T23:17:54Z,500000,False,,,0,,V. Micic shooting personal FOUL (1 PF) (Cunningham 1 FT),"[203995, 1630595]",1610612766.0,CHA,shooting,,,,,,Mid-Range,8-16 Left,,,Micic,V. Micic,,,,,,,,,,,,1626300.0,1.0,0.0,Cunningham,1630595.0,,
52,PT07M50.00S,2024-03-11T23:18:08.8Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612765,13,12,2024-03-11T23:18:08Z,520000,False,,,0,,C. Cunningham Free Throw 1 of 1 (5 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,Cunningham,C. Cunningham,,,,,5.0,,,,,,,,,,,,,
53,PT07M36.00S,2024-03-11T23:18:24.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,90.88370565045992,47.05882352941176,1610612766,13,14,2024-03-11T23:18:32Z,530000,False,-15.0,33.0,1,right,N. Richards cutting DUNK (4 PTS) (G. Williams 1 AST),"[1630208, 1629684]",1610612766.0,CHA,cutting,,,,,,Restricted Area,0-8 Center,3.63,Made,Richards,N. Richards,,,,,4.0,G. Williams,1629684.0,1.0,,,,,,,,,,
55,PT07M20.00S,2024-03-11T23:18:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,14.14257555847569,4.901960784313726,1610612765,13,14,2024-03-11T23:19:31Z,550000,False,225.0,80.0,1,left,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,23.94,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
56,PT07M18.00S,2024-03-11T23:18:41.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,13,14,2024-03-11T23:18:45Z,560000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,,,55.0,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2024-03-11T23:19:11.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,79.7634691195795,91.68964460784314,1610612766,13,14,2024-03-11T23:19:18Z,580000,False,208.0,138.0,1,right,MISS B. Miller 24' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Right Center,24.98,Missed,Miller,B. Miller,,,,,,,,,,,,,,,,,,
59,PT07M01.00S,2024-03-11T23:19:14.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,14,2024-03-11T23:19:18Z,590000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Stewart,I. Stewart,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT06M56.00S,2024-03-11T23:19:20.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630191,30.699737187910642,28.921568627450984,1610612765,16,14,2024-03-11T23:20:07Z,600000,False,105.0,236.0,1,left,I. Stewart 25' 3PT running (3 PTS) (C. Cunningham 2 AST),"[1630191, 1630595]",1610612765.0,DET,running,,,,,,Above the Break 3,24+ Right Center,25.86,Made,Stewart,I. Stewart,,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,
63,PT06M35.00S,2024-03-11T23:19:48.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,16,14,2024-03-11T23:19:49Z,630000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
