actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
92,PT05M29.00S,2023-11-28T00:23:55.6Z,1,REGULAR,substitution,in,[],1631204,,,1610612765,17,14,2023-11-28T00:24:03Z,910000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M29.00S,2023-11-28T00:23:55.6Z,1,REGULAR,substitution,in,[],1641731,,,1610612765,17,14,2023-11-28T00:24:03Z,920000,False,,,0,,SUB in: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M29.00S,2023-11-28T00:23:54.7Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,17,14,2023-11-28T00:24:24Z,930000,False,,,0,,MISS J. Duren Free Throw 2 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
95,PT05M26.00S,2023-11-28T00:23:57.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,17,14,2023-11-28T00:24:24Z,940000,False,,,0,,D. Gafford REBOUND (Off:1 Def:4),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,94.0,5.0,4.0,1.0,,,,,,,,,,,,,,
96,PT05M12.00S,2023-11-28T00:24:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612764,17,14,2023-11-28T00:25:04Z,950000,False,,,0,,I. Stewart shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1630191, 1628398]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,203054.0,,,,1.0,0.0,Kuzma,1628398.0
98,PT05M12.00S,2023-11-28T00:25:05.7Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,17,15,2023-11-28T00:25:05Z,970000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
99,PT05M12.00S,2023-11-28T00:25:20.6Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,17,16,2023-11-28T00:25:20Z,980000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
100,PT04M57.00S,2023-11-28T00:25:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,6.521024967148489,44.11764705882353,1610612765,17,16,2023-11-28T00:25:40Z,990000,False,29.0,9.0,1,left,MISS J. Duren Layup,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
102,PT04M55.00S,2023-11-28T00:25:38.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,17,16,2023-11-28T00:25:40Z,1010000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,100.0,2.0,1.0,1.0,,,,,,,,,,,,,,
103,PT04M54.00S,2023-11-28T00:25:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,4.28712220762155,47.549019607843135,1610612765,17,16,2023-11-28T00:31:28Z,1020000,False,12.0,-12.0,1,left,MISS J. Duren putback Layup - blocked,"[1631105, 1629655]",1610612765.0,DET,putback,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,Gafford,1629655.0,,,,,,,,,,,
104,PT04M54.00S,2023-11-28T00:25:39.8Z,1,REGULAR,block,,[],1629655,,,1610612765,17,16,2023-11-28T00:25:42Z,1030000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
105,PT04M54.00S,2023-11-28T00:25:39.8Z,1,REGULAR,rebound,offensive,[],1631204,,,1610612765,17,16,2023-11-28T00:25:45Z,1040000,False,,,0,,M. Sasser REBOUND (Off:1 Def:0),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Restricted Area,0-8 Center,,,103.0,1.0,0.0,1.0,,,,,,,,,,,,,,
289,PT04M52.00S,2023-11-28T00:25:46.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630587,27.38173455978975,81.86274509803921,1610612765,17,16,2023-11-28T00:58:49Z,1045000,False,-159.0,205.0,1,left,MISS I. Livers 25' 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,,
290,PT04M52.00S,2023-11-28T00:25:46.7Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,17,16,2023-11-28T00:58:49Z,1047500,False,,,0,,J. Duren REBOUND (Off:2 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,289.0,3.0,1.0,2.0,,,,,,,,,,,,,,
106,PT04M51.00S,2023-11-28T00:25:53.7Z,1,REGULAR,foul,personal,[],1630557,,,1610612765,17,16,2023-11-28T00:26:07Z,1050000,False,,,0,,C. Kispert personal FOUL (1 PF),"[1630557, 1631105]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,203054.0,,,,1.0,0.0,Duren,1631105.0
108,PT04M46.00S,2023-11-28T00:26:06.6Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,17,16,2023-11-28T00:59:19Z,1070000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1641731]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,Coulibaly,1641731.0,,,,
109,PT04M46.00S,2023-11-28T00:26:06.6Z,1,REGULAR,steal,,[],1641731,,,1610612764,17,16,2023-11-28T00:26:39Z,1080000,False,,,0,,B. Coulibaly STEAL (1 STL),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
110,PT04M31.00S,2023-11-28T00:26:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630557,92.85479632063075,45.588235294117645,1610612764,17,16,2023-11-28T00:33:46Z,1090000,False,-22.0,15.0,1,right,MISS C. Kispert driving finger roll Layup,[1630557],1610612764.0,WAS,driving finger roll,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,,,,,,,,
111,PT04M31.00S,2023-11-28T00:26:21.8Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,17,16,2023-11-28T00:26:32Z,1100000,False,,,0,,D. Gafford REBOUND (Off:2 Def:4),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,110.0,6.0,4.0,2.0,,,,,,,,,,,,,,
112,PT04M31.00S,2023-11-28T00:26:25.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631105,,,1610612764,17,16,2023-11-28T00:26:34Z,1110000,False,,,0,,J. Duren shooting personal FOUL (2 PF) (Gafford 2 FT),"[1631105, 1629655]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203054.0,,,,2.0,0.0,Gafford,1629655.0
114,PT04M31.00S,2023-11-28T00:26:52.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629655,,,1610612764,17,17,2023-11-28T00:26:52Z,1130000,False,,,0,,D. Gafford Free Throw 1 of 2 (5 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
115,PT04M31.00S,2023-11-28T00:27:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,17,17,2023-11-28T00:27:01Z,1140000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,out,[],1631105,,,1610612764,17,17,2023-11-28T00:29:48Z,1150000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612764,17,17,2023-11-28T00:29:48Z,1160000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,out,[],1630191,,,1610612764,17,17,2023-11-28T00:29:48Z,1170000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,in,[],202692,,,1610612764,17,17,2023-11-28T00:29:48Z,1180000,False,,,0,,SUB in: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,in,[],1630165,,,1610612764,17,17,2023-11-28T00:29:48Z,1190000,False,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M31.00S,2023-11-28T00:29:17.8Z,1,REGULAR,substitution,in,[],1630164,,,1610612764,17,17,2023-11-28T00:29:48Z,1200000,False,,,0,,SUB in: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT04M31.00S,2023-11-28T00:29:59.3Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629655,,,1610612764,17,18,2023-11-28T00:29:59Z,1210000,False,,,0,,D. Gafford Free Throw 2 of 2 (6 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
123,PT04M07.00S,2023-11-28T00:30:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,9.411957950065702,43.627450980392155,1610612765,17,18,2023-11-28T00:30:31Z,1220000,False,32.0,36.0,1,left,MISS A. Burks driving Layup - blocked,"[202692, 1629655]",1610612765.0,DET,driving,,,Burks,A. Burks,,,,,In The Paint (Non-RA),0-8 Center,4.81,Missed,,,,,,Gafford,1629655.0,,,,,,,,,,,
291,PT04M07.00S,2023-11-28T00:30:24.3Z,1,REGULAR,block,,[],1629655,,,1610612765,17,18,2023-11-28T00:59:35Z,1225000,False,,,0,,D. Gafford BLOCK (2 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT04M07.00S,2023-11-28T00:30:24.3Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,17,18,2023-11-28T00:30:59Z,1230000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:0),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,,,123.0,1.0,0.0,1.0,,,,,,,,,,,,,,
125,PT04M07.00S,2023-11-28T00:30:33.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,17,18,2023-11-28T00:30:40Z,1240000,False,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1662.0,,,,,,,
126,PT04M07.00S,2023-11-28T00:30:37.3Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,17,18,2023-11-28T00:30:41Z,1250000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT04M07.00S,2023-11-28T00:30:37.3Z,1,REGULAR,substitution,in,[],201568,,,1610612764,17,18,2023-11-28T00:30:41Z,1260000,False,,,0,,SUB in: D. Gallinari,[201568],1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M44.00S,2023-11-28T00:31:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,73.01248357424441,18.137254901960784,1610612764,17,21,2023-11-28T00:31:06Z,1270000,False,-159.0,201.0,1,right,K. Kuzma 25' 3PT  (5 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.66,Made,,,,,5.0,,,,,,,,,,,,,
129,PT03M34.00S,2023-11-28T00:31:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,5.863994743758213,50.98039215686274,1610612765,17,21,2023-11-28T00:35:55Z,1280000,False,-5.0,3.0,1,left,MISS J. Wiseman cutting Layup - blocked,"[1630164, 1641731]",1610612765.0,DET,cutting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.55,Missed,,,,,,Coulibaly,1641731.0,,,,,,,,,,,
130,PT03M34.00S,2023-11-28T00:31:13.0Z,1,REGULAR,block,,[],1641731,,,1610612765,17,21,2023-11-28T00:31:15Z,1290000,False,,,0,,B. Coulibaly BLOCK (1 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
131,PT03M31.00S,2023-11-28T00:31:16.0Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,17,21,2023-11-28T00:31:17Z,1300000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,,
132,PT03M29.00S,2023-11-28T00:31:17.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,76.95466491458606,90.44117647058823,1610612764,17,21,2023-11-28T00:36:04Z,1310000,False,202.0,164.0,1,right,MISS J. Poole 26' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.04,Missed,,,,,,,,,,,,,,,,,,
133,PT03M25.00S,2023-11-28T00:31:21.8Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,17,21,2023-11-28T00:31:24Z,1320000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Right Center,,,132.0,2.0,1.0,1.0,,,,,,,,,,,,,,
134,PT03M14.00S,2023-11-28T00:31:33.0Z,1,REGULAR,3pt,Jump Shot,[],1631204,30.305519053876477,67.40196078431373,1610612765,17,21,2023-11-28T00:31:43Z,1330000,False,-87.0,232.0,1,left,MISS M. Sasser 24' step back 3PT,[1631204],1610612765.0,DET,step back,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Left Center,24.82,Missed,,,,,,,,,,,,,,,,,,
135,PT03M10.00S,2023-11-28T00:31:37.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,17,21,2023-11-28T00:31:39Z,1340000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT02M58.00S,2023-11-28T00:31:48.8Z,1,REGULAR,2pt,Jump Shot,[],201568,76.2976346911958,71.32352941176471,1610612764,17,23,2023-11-28T00:36:44Z,1350000,False,107.0,170.0,1,right,D. Gallinari 20' pullup Jump Shot (2 PTS) (K. Kuzma 3 AST),"[201568, 1628398]",1610612764.0,WAS,pullup,,,Gallinari,D. Gallinari,,,,,Mid-Range,16-24 Right Center,20.09,Made,,,,,2.0,,,K. Kuzma,1628398.0,3.0,,,,,,,,
137,PT02M41.00S,2023-11-28T00:32:06.1Z,1,REGULAR,2pt,Jump Shot,[],202692,22.158344283837057,62.5,1610612765,19,23,2023-11-28T00:32:10Z,1360000,False,-62.0,156.0,1,left,A. Burks 16' pullup Jump Shot (2 PTS) (I. Livers 1 AST),"[202692, 1630587]",1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Mid-Range,16-24 Left Center,16.79,Made,,,,,2.0,,,I. Livers,1630587.0,1.0,,,,,,,,
138,PT02M16.00S,2023-11-28T00:32:30.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,96.00854139290408,73.77450980392157,1610612764,19,25,2023-11-28T00:32:36Z,1370000,False,119.0,-15.0,1,right,J. Poole 11' fadeaway Jump Shot (6 PTS),[1629673],1610612764.0,WAS,fadeaway,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,11.98,Made,,,,,6.0,,,,,,,,,,,,,
140,PT01M59.00S,2023-11-28T00:32:57.6Z,1,REGULAR,substitution,out,[],1629673,,,1610612765,19,25,2023-11-28T00:33:03Z,1390000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M59.00S,2023-11-28T00:32:57.6Z,1,REGULAR,substitution,out,[],1628398,,,1610612765,19,25,2023-11-28T00:33:03Z,1400000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M59.00S,2023-11-28T00:32:57.6Z,1,REGULAR,substitution,in,[],1630166,,,1610612765,19,25,2023-11-28T00:33:03Z,1410000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M59.00S,2023-11-28T00:32:57.6Z,1,REGULAR,substitution,in,[],1629013,,,1610612765,19,25,2023-11-28T00:33:03Z,1420000,False,,,0,,SUB in: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M53.00S,2023-11-28T00:33:19.2Z,1,REGULAR,foul,personal,['2freethrow'],1630557,,,1610612765,19,25,2023-11-28T00:33:27Z,1430000,False,,,0,,C. Kispert shooting personal FOUL (2 PF) (Wiseman 2 FT),"[1630557, 1630164]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203054.0,,,,2.0,0.0,Wiseman,1630164.0
146,PT01M53.00S,2023-11-28T00:33:42.1Z,1,REGULAR,freethrow,1 of 2,[],1630164,,,1610612765,19,25,2023-11-28T00:33:42Z,1450000,False,,,0,,MISS J. Wiseman Free Throw 1 of 2,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
147,PT01M53.00S,2023-11-28T00:33:42.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,19,25,2023-11-28T00:33:42Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,
148,PT01M53.00S,2023-11-28T00:33:55.4Z,1,REGULAR,freethrow,2 of 2,[],1630164,,,1610612765,20,25,2023-11-28T00:33:55Z,1470000,False,,,0,,J. Wiseman Free Throw 2 of 2 (1 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
149,PT01M40.00S,2023-11-28T00:34:09.8Z,1,REGULAR,3pt,Jump Shot,[],201568,62.89421813403416,48.529411764705884,1610612764,20,25,2023-11-28T00:34:16Z,1480000,False,-7.0,296.0,1,right,MISS D. Gallinari 29' 3PT,[201568],1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Center,29.64,Missed,,,,,,,,,,,,,,,,,,
150,PT01M36.00S,2023-11-28T00:34:13.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,20,25,2023-11-28T00:34:16Z,1490000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Center,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT01M27.00S,2023-11-28T00:34:22.7Z,1,REGULAR,3pt,Jump Shot,[],1631204,17.0335085413929,95.34313725490196,1610612765,20,25,2023-11-28T00:34:31Z,1500000,False,-227.0,108.0,1,left,MISS M. Sasser 25' step back 3PT,[1631204],1610612765.0,DET,step back,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
152,PT01M25.00S,2023-11-28T00:34:24.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,20,25,2023-11-28T00:34:27Z,1510000,False,,,0,,D. Avdija REBOUND (Off:0 Def:3),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,151.0,3.0,3.0,0.0,,,,,,,,,,,,,,
153,PT01M14.00S,2023-11-28T00:34:44.7Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1630165,,,1610612764,20,25,2023-11-28T00:34:53Z,1520000,False,,,0,,K. Hayes defensive-3-second technical FOUL (1 Tech),[1630165],1610612765.0,DET,defensive-3-second,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1662.0,,,,0.0,1.0,,
154,PT01M14.00S,2023-11-28T00:35:01.9Z,1,REGULAR,freethrow,1 of 1,[],201568,,,1610612764,20,26,2023-11-28T00:35:01Z,1530000,False,,,0,,D. Gallinari technical Free Throw 1 of 1 (3 PTS),[201568],1610612764.0,WAS,technical,,,Gallinari,D. Gallinari,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
155,PT01M08.00S,2023-11-28T00:35:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629013,65.91655716162943,45.34313725490196,1610612764,20,29,2023-11-28T00:35:26Z,1540000,False,-23.0,268.0,1,right,L. Shamet 26' 3PT  (3 PTS) (D. Avdija 2 AST),"[1629013, 1630166]",1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,26.89,Made,,,,,3.0,,,D. Avdija,1630166.0,2.0,,,,,,,,
157,PT00M56.50S,2023-11-28T00:35:36.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630164,5.469776609724048,50.49019607843137,1610612765,22,29,2023-11-28T00:35:40Z,1560000,False,-2.0,-1.0,1,left,J. Wiseman cutting DUNK (3 PTS) (A. Burks 1 AST),"[1630164, 202692]",1610612765.0,DET,cutting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.27,Made,,,,,3.0,,,A. Burks,202692.0,1.0,,,,,,,,
159,PT00M47.80S,2023-11-28T00:35:46.4Z,1,REGULAR,3pt,Jump Shot,[],1641731,72.09264126149803,21.323529411764707,1610612764,22,29,2023-11-28T00:35:56Z,1580000,False,-143.0,210.0,1,right,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
160,PT00M43.00S,2023-11-28T00:35:51.2Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,22,29,2023-11-28T00:35:51Z,1590000,False,,,0,,K. Hayes REBOUND (Off:0 Def:2),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Left Center,,,159.0,2.0,2.0,0.0,,,,,,,,,,,,,,
161,PT00M40.10S,2023-11-28T00:35:56.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630166,,,1610612765,22,29,2023-11-28T00:36:53Z,1600000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Burks 2 FT),"[1630166, 202692]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1662.0,,,,1.0,0.0,Burks,202692.0
163,PT00M40.10S,2023-11-28T00:36:27.7Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612765,23,29,2023-11-28T00:36:27Z,1620000,False,,,0,,A. Burks Free Throw 1 of 2 (3 PTS),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
164,PT00M40.10S,2023-11-28T00:36:46.2Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612765,24,29,2023-11-28T00:36:46Z,1630000,False,,,0,,A. Burks Free Throw 2 of 2 (4 PTS),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
165,PT00M24.70S,2023-11-28T00:37:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,92.85479632063075,51.225490196078425,1610612764,24,31,2023-11-28T00:37:15Z,1640000,False,6.0,15.0,1,right,C. Kispert driving Layup (4 PTS) (D. Gallinari 1 AST),"[1630557, 201568]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,4.0,,,D. Gallinari,201568.0,1.0,,,,,,,,
167,PT00M03.70S,2023-11-28T00:37:30.3Z,1,REGULAR,3pt,Jump Shot,[],1630587,27.94021024967148,22.794117647058822,1610612765,27,31,2023-11-28T00:37:36Z,1660000,False,136.0,210.0,1,left,I. Livers 25' 3PT  (3 PTS) (M. Sasser 1 AST),"[1630587, 1631204]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,25.03,Made,,,,,3.0,,,M. Sasser,1631204.0,1.0,,,,,,,,
169,PT00M00.30S,2023-11-28T00:37:39.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,71.43561103810775,76.7156862745098,1610612764,27,31,2023-11-28T00:42:29Z,1680000,False,134.0,216.0,1,right,MISS D. Avdija 25' floating 3PT,[1630166],1610612764.0,WAS,floating,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
170,PT00M00.10S,2023-11-28T00:37:39.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,27,31,2023-11-28T00:37:51Z,1690000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,169.0,,,,,,,,,,,,,,,,,
