actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
89,PT04M36.00S,2022-12-24T01:25:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203501,6.389618922470433,43.872549019607845,1610612742,18,15,2022-12-24T01:25:24Z,880000,False,31.0,8.0,1,left,T. Hardaway Jr. running finger roll Layup (2 PTS),[203501],1610612742.0,DAL,running finger roll,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,3.15,Made,,2.0,,,,,,,,,,,,,,,,
90,PT04M26.00S,2022-12-24T01:25:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.46057818659659,44.6078431372549,1610612745,18,15,2022-12-24T01:52:22Z,890000,False,-27.0,18.0,1,right,MISS J. Green driving reverse Layup,[1630224],1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,,,
91,PT04M25.00S,2022-12-24T01:25:25.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,18,15,2022-12-24T01:31:08Z,900000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,90.0,,,,,,,,,,,,,,,,,
92,PT04M25.00S,2022-12-24T01:25:35.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630578,,,1610612742,18,15,2022-12-24T01:30:09Z,910000,False,,,0,,A. Sengun loose ball personal FOUL (2 PF) (Hardaway Jr. 2 FT),"[1630578, 203501]",1610612745.0,HOU,loose ball,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,101283.0,2.0,0.0,Hardaway Jr.,203501.0,,,,,
95,PT04M25.00S,2022-12-24T01:26:27.7Z,1,REGULAR,freethrow,1 of 2,[],203501,,,1610612742,18,16,2022-12-24T01:26:27Z,940000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (3 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
96,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,out,[],1631095,,,1610612742,18,16,2022-12-24T01:26:46Z,950000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,out,[],1630578,,,1610612742,18,16,2022-12-24T01:26:46Z,960000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,out,[],203915,,,1610612742,18,16,2022-12-24T01:26:46Z,970000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,out,[],1626174,,,1610612742,18,16,2022-12-24T01:26:46Z,980000,False,,,0,,SUB out: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,in,[],1630586,,,1610612742,18,16,2022-12-24T01:26:46Z,990000,False,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,in,[],1631106,,,1610612742,18,16,2022-12-24T01:26:46Z,1000000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,in,[],203939,,,1610612742,18,16,2022-12-24T01:26:46Z,1010000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M25.00S,2022-12-24T01:26:28.2Z,1,REGULAR,substitution,in,[],1628373,,,1610612742,18,16,2022-12-24T01:26:46Z,1020000,False,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M25.00S,2022-12-24T01:26:56.2Z,1,REGULAR,freethrow,2 of 2,[],203501,,,1610612742,18,17,2022-12-24T01:26:56Z,1030000,False,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (4 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
105,PT04M11.00S,2022-12-24T01:26:56.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,89.17542706964521,83.08823529411765,1610612745,20,17,2022-12-24T01:27:03Z,1040000,False,165.0,49.0,1,right,J. Green 17' fadeaway Jump Shot (6 PTS),[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,Mid-Range,16-24 Right,17.26,Made,,6.0,,,,,,,,,,,,,,,,
106,PT03M57.00S,2022-12-24T01:27:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,12.959921156373195,64.95098039215686,1610612742,20,19,2022-12-24T01:27:17Z,1050000,False,-75.0,69.0,1,left,L. Doncic 10' driving floating Jump Shot (7 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Left,10.2,Made,,7.0,,,,,,,,,,,,,,,,
108,PT03M57.00S,2022-12-24T01:27:16.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631106,,,1610612742,20,19,2022-12-24T01:27:25Z,1070000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (Doncic 1 FT),"[1631106, 1629029]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,200832.0,1.0,0.0,Doncic,1629029.0,,,,,
110,PT03M57.00S,2022-12-24T01:28:01.8Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,20,19,2022-12-24T01:28:09Z,1090000,False,,,0,,MISS L. Doncic Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
111,PT03M57.00S,2022-12-24T01:28:01.8Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,20,19,2022-12-24T01:28:09Z,1100000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,110.0,,,,,1.0,0.0,1.0,,,,,,,,,,
112,PT03M45.00S,2022-12-24T01:28:12.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,29.911300919842315,74.26470588235294,1610612742,20,19,2022-12-24T01:28:19Z,1110000,False,-121.0,229.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,,,,,,,,,,,,,,,,,
113,PT03M44.00S,2022-12-24T01:28:13.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,20,19,2022-12-24T01:28:19Z,1120000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,112.0,,,,,3.0,3.0,0.0,,,,,,,,,,
114,PT03M29.00S,2022-12-24T01:28:28.6Z,1,REGULAR,3pt,Jump Shot,[],1630227,94.03745072273325,96.56862745098039,1610612745,23,19,2022-12-24T01:28:33Z,1130000,False,233.0,4.0,1,right,D. Nix 3PT  (3 PTS) (K. Martin Jr. 1 AST),"[1630227, 1630231]",1610612745.0,HOU,,,,Nix,D. Nix,,,,,Right Corner 3,24+ Right,23.28,Made,,3.0,K. Martin Jr.,1630231.0,1.0,,,,,,,,,,,,,
116,PT03M11.00S,2022-12-24T01:28:45.2Z,1,REGULAR,turnover,bad pass,[],1628373,,,1610612742,23,19,2022-12-24T01:28:49Z,1150000,False,,,0,,F. Ntilikina bad pass TURNOVER (1 TO),"[1628373, 1630231]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,,,Martin Jr.,1630231.0
117,PT03M11.00S,2022-12-24T01:28:45.2Z,1,REGULAR,steal,,[],1630231,,,1610612745,23,19,2022-12-24T01:28:47Z,1160000,False,,,0,,K. Martin Jr. STEAL (2 STL),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
118,PT02M58.00S,2022-12-24T01:28:58.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630227,76.82325886990802,89.4607843137255,1610612745,23,19,2022-12-24T01:29:04Z,1170000,False,197.0,165.0,1,right,MISS D. Nix 25' 3PT,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
119,PT02M58.00S,2022-12-24T01:28:58.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,23,19,2022-12-24T01:29:04Z,1180000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,118.0,,,,,1.0,1.0,0.0,,,,,,,,,,
120,PT02M49.00S,2022-12-24T01:29:07.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629029,13.091327201051248,35.049019607843135,1610612742,23,21,2022-12-24T02:11:54Z,1190000,False,75.0,71.0,1,left,L. Doncic 10' fadeaway Jump Shot (9 PTS),[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,10.29,Made,,9.0,,,,,,,,,,,,,,,,
121,PT02M33.00S,2022-12-24T01:29:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631106,88.91261498028909,50.0,1610612745,23,21,2022-12-24T01:29:32Z,1200000,False,0.0,52.0,1,right,MISS T. Eason driving floating Shot,[1631106],1610612745.0,HOU,driving floating,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
122,PT02M33.00S,2022-12-24T01:29:23.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,23,21,2022-12-24T01:29:32Z,1210000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,121.0,,,,,,,,,,,,,,,,,
124,PT02M33.00S,2022-12-24T01:29:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,23,21,2022-12-24T01:29:44Z,1230000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M33.00S,2022-12-24T01:31:49.4Z,1,REGULAR,substitution,out,[],203493,,,1610612742,23,21,2022-12-24T01:32:07Z,1240000,False,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M33.00S,2022-12-24T01:31:49.4Z,1,REGULAR,substitution,in,[],202722,,,1610612742,23,21,2022-12-24T01:32:07Z,1250000,False,,,0,,SUB in: D. Bertans,[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M20.00S,2022-12-24T01:32:42.0Z,1,REGULAR,2pt,Jump Shot,[],1629029,24.26084099868594,53.92156862745098,1610612742,23,21,2022-12-24T01:32:51Z,1270000,False,-20.0,176.0,1,left,MISS L. Doncic 17' pullup Shot,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,17.67,Missed,,,,,,,,,,,,,,,,,,
129,PT02M17.00S,2022-12-24T01:32:44.8Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,23,21,2022-12-24T01:32:44Z,1280000,False,,,0,,D. Powell REBOUND (Off:2 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Mid-Range,16-24 Center,,,128.0,,,,,2.0,0.0,2.0,,,,,,,,,,
130,PT02M06.00S,2022-12-24T01:32:56.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629029,9.411957950065702,40.44117647058824,1610612742,23,23,2022-12-24T01:33:03Z,1290000,False,48.0,36.0,1,left,L. Doncic Hook (11 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,5.98,Made,,11.0,,,,,,,,,,,,,,,,
131,PT01M51.00S,2022-12-24T01:33:13.7Z,1,REGULAR,foul,personal,['2freethrow'],202722,,,1610612745,23,23,2022-12-24T01:33:24Z,1300000,False,,,0,,D. Bertans shooting personal FOUL (1 PF) (Green 2 FT),"[202722, 1630224]",1610612742.0,DAL,shooting,,,Bertans,D. Bertans,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Green,1630224.0,,,,,
133,PT01M51.00S,2022-12-24T01:33:38.5Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,23,23,2022-12-24T01:33:38Z,1320000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
134,PT01M51.00S,2022-12-24T01:33:38.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,23,23,2022-12-24T01:33:38Z,1330000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,
135,PT01M51.00S,2022-12-24T01:33:39.3Z,1,REGULAR,substitution,out,[],1630231,,,1610612745,23,23,2022-12-24T01:33:48Z,1340000,False,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M51.00S,2022-12-24T01:33:39.3Z,1,REGULAR,substitution,in,[],1631095,,,1610612745,23,23,2022-12-24T01:33:48Z,1350000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M51.00S,2022-12-24T01:33:54.8Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,24,23,2022-12-24T01:33:54Z,1360000,False,,,0,,J. Green Free Throw 2 of 2 (7 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
138,PT01M40.00S,2022-12-24T01:34:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,9.280551905387648,46.81372549019608,1610612742,24,25,2022-12-24T01:34:13Z,1370000,False,16.0,35.0,1,left,T. Hardaway Jr. cutting Layup (6 PTS) (L. Doncic 3 AST),"[203501, 1629029]",1610612742.0,DAL,cutting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,3.82,Made,,6.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,
140,PT01M23.00S,2022-12-24T01:34:50.3Z,1,REGULAR,jumpball,recovered,[],1628373,,,1610612745,24,25,2022-12-24T01:34:50Z,1390000,False,,,0,,Jump Ball F. Ntilikina vs. J. Green: Tip to F. Ntilikina,"[1628373, 1628373, 1630224]",1610612742.0,DAL,heldball,F. Ntilikina,1628373.0,Ntilikina,F. Ntilikina,Ntilikina,1628373.0,Green,1630224.0,,,,,,,,,,,,,,,,,,,,,,
143,PT01M23.00S,2022-12-24T01:34:50.3Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,24,25,2022-12-24T01:34:50Z,1420000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1628373]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,1.0,,,Ntilikina,1628373.0
144,PT01M23.00S,2022-12-24T01:34:50.3Z,1,REGULAR,steal,,[],1628373,,,1610612742,24,25,2022-12-24T01:34:50Z,1430000,False,,,0,,F. Ntilikina STEAL (1 STL),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M22.00S,2022-12-24T01:34:54.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630227,,,1610612742,24,25,2022-12-24T01:35:03Z,1440000,False,,,0,,D. Nix shooting personal FOUL (1 PF) (Ntilikina 2 FT),"[1630227, 1628373]",1610612745.0,HOU,shooting,,,Nix,D. Nix,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,101283.0,1.0,0.0,Ntilikina,1628373.0,,,,,
147,PT01M22.00S,2022-12-24T01:35:18.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628373,,,1610612742,24,26,2022-12-24T01:35:18Z,1460000,False,,,0,,F. Ntilikina Free Throw 1 of 2 (1 PTS),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
148,PT01M22.00S,2022-12-24T01:35:18.9Z,1,REGULAR,substitution,out,[],1630224,,,1610612742,24,26,2022-12-24T01:35:22Z,1470000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M22.00S,2022-12-24T01:35:18.9Z,1,REGULAR,substitution,in,[],1629726,,,1610612742,24,26,2022-12-24T01:35:22Z,1480000,False,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M22.00S,2022-12-24T01:35:38.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628373,,,1610612742,24,27,2022-12-24T01:35:38Z,1490000,False,,,0,,F. Ntilikina Free Throw 2 of 2 (2 PTS),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
151,PT01M06.00S,2022-12-24T01:35:55.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,68.9388961892247,71.07843137254902,1610612745,24,27,2022-12-24T02:30:31Z,1500000,False,105.0,239.0,1,right,MISS J. Smith Jr. 26' step back 3PT,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.17,Missed,,,,,,,,,,,,,,,,,,
152,PT01M03.00S,2022-12-24T01:35:58.8Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,24,27,2022-12-24T01:36:01Z,1510000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,,,151.0,,,,,1.0,0.0,1.0,,,,,,,,,,
153,PT01M03.00S,2022-12-24T01:35:59.0Z,1,REGULAR,turnover,bad pass,[],1631106,,,1610612745,24,27,2022-12-24T01:36:04Z,1520000,False,,,0,,T. Eason bad pass TURNOVER (1 TO),"[1631106, 202722]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1.0,,,Bertans,202722.0
154,PT01M03.00S,2022-12-24T01:35:59.0Z,1,REGULAR,steal,,[],202722,,,1610612742,24,27,2022-12-24T01:36:00Z,1530000,False,,,0,,D. Bertans STEAL (1 STL),[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
155,PT00M57.90S,2022-12-24T01:36:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,22.552562417871222,90.93137254901961,1610612742,24,30,2022-12-24T01:36:11Z,1540000,False,-205.0,159.0,1,left,L. Doncic 25' 3PT step back (14 PTS) (F. Ntilikina 1 AST),"[1629029, 1628373]",1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.95,Made,,14.0,F. Ntilikina,1628373.0,1.0,,,,,,,,,,,,,
157,PT00M39.50S,2022-12-24T01:36:26.8Z,1,REGULAR,turnover,bad pass,[],1630227,,,1610612745,24,30,2022-12-24T01:36:31Z,1560000,False,,,0,,D. Nix bad pass TURNOVER (1 TO),"[1630227, 1629029]",1610612745.0,HOU,,,,Nix,D. Nix,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,,,Doncic,1629029.0
158,PT00M39.50S,2022-12-24T01:36:26.8Z,1,REGULAR,steal,,[],1629029,,,1610612742,24,30,2022-12-24T01:36:29Z,1570000,False,,,0,,L. Doncic STEAL (2 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
159,PT00M31.70S,2022-12-24T01:36:34.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,35.69316688567674,61.029411764705884,1610612742,24,30,2022-12-24T01:36:39Z,1580000,False,-55.0,283.0,1,left,MISS L. Doncic 28' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,28.83,Missed,,,,,,,,,,,,,,,,,,
160,PT00M28.90S,2022-12-24T01:36:37.5Z,1,REGULAR,rebound,offensive,[],202722,,,1610612742,24,30,2022-12-24T01:36:37Z,1590000,False,,,0,,D. Bertans REBOUND (Off:1 Def:0),[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,Above the Break 3,24+ Center,,,159.0,,,,,1.0,0.0,1.0,,,,,,,,,,
161,PT00M15.80S,2022-12-24T01:36:50.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202722,4.28712220762155,96.81372549019608,1610612742,24,30,2022-12-24T01:36:56Z,1600000,False,-234.0,-12.0,1,left,MISS D. Bertans 3PT,[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,Left Corner 3,24+ Left,23.44,Missed,,,,,,,,,,,,,,,,,,
162,PT00M15.70S,2022-12-24T01:36:50.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,24,30,2022-12-24T01:36:56Z,1610000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,161.0,,,,,4.0,3.0,1.0,,,,,,,,,,
163,PT00M03.10S,2022-12-24T01:37:05.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629029,,,1610612745,24,30,2022-12-24T01:37:11Z,1620000,False,,,0,,L. Doncic personal FOUL (1 PF) (Nix 2 FT),"[1629029, 1630227]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627524.0,1.0,0.0,Nix,1630227.0,,,,,
165,PT00M03.10S,2022-12-24T01:37:34.3Z,1,REGULAR,freethrow,1 of 2,[],1630227,,,1610612745,24,30,2022-12-24T01:37:54Z,1640000,False,,,0,,MISS D. Nix Free Throw 1 of 2,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
166,PT00M03.10S,2022-12-24T01:37:34.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,24,30,2022-12-24T01:37:54Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,
167,PT00M03.10S,2022-12-24T01:37:34.3Z,1,REGULAR,freethrow,2 of 2,[],1630227,,,1610612745,24,30,2022-12-24T01:37:54Z,1660000,False,,,0,,MISS D. Nix Free Throw 2 of 2,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
168,PT00M03.10S,2022-12-24T01:37:34.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,24,30,2022-12-24T01:37:54Z,1670000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,167.0,,,,,2.0,2.0,0.0,,,,,,,,,,
169,PT00M00.00S,2022-12-24T01:37:53.5Z,1,REGULAR,3pt,Jump Shot,[],1628373,30.305519053876477,81.37254901960785,1610612742,24,30,2022-12-24T02:33:01Z,1680000,False,-157.0,232.0,1,left,MISS F. Ntilikina 28' running 3PT,[1628373],1610612742.0,DAL,running,,,Ntilikina,F. Ntilikina,,,,,Above the Break 3,24+ Left Center,28.04,Missed,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2022-12-24T01:37:53.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,24,30,2022-12-24T01:37:58Z,1690000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,169.0,,,,,,,,,,,,,,,,,
171,PT00M00.00S,2022-12-24T01:38:06.3Z,1,REGULAR,period,end,[],0,,,1610612742,24,30,2022-12-24T01:38:06Z,1700000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-12-24T01:38:14.2Z,2,REGULAR,substitution,out,['startperiod'],1630586,,,1610612742,24,30,2022-12-24T01:40:38Z,1710000,False,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-12-24T01:38:14.2Z,2,REGULAR,substitution,out,['startperiod'],203501,,,1610612742,24,30,2022-12-24T01:40:38Z,1720000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-12-24T01:38:14.2Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612742,24,30,2022-12-24T01:40:38Z,1730000,False,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
