actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
95,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,out,[],203926,,,1610612759,17,33,2022-02-12T00:52:42Z,950000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,in,[],203992,,,1610612759,17,33,2022-02-12T00:52:42Z,960000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,in,[],201568,,,1610612759,17,33,2022-02-12T00:52:42Z,970000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,17,33,2022-02-12T00:52:42Z,980000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,17,33,2022-02-12T00:52:42Z,990000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M49.00S,2022-02-12T00:52:46.7Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,17,34,2022-02-12T00:52:46Z,1000000,,,0,,J. Poeltl Free Throw 2 of 2 (6 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
101,PT04M38.00S,2022-02-12T00:53:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1627749,,,1610612737,17,34,2022-02-12T00:53:21Z,1010000,,,0,,D. Murray shooting personal FOUL (1 PF) (Young 2 FT),"[1627749, 1629027]",1610612759.0,SAS,shooting,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Young,1629027.0
107,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,18,34,2022-02-12T00:56:46Z,1025000,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
108,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,19,34,2022-02-12T00:56:46Z,1027500,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
103,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,19,34,2022-02-12T00:56:46Z,1030000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,19,34,2022-02-12T00:56:46Z,1040000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,19,34,2022-02-12T00:56:46Z,1050000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M38.00S,2022-02-12T00:53:31.5Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,19,34,2022-02-12T00:56:46Z,1060000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M33.00S,2022-02-12T00:53:52.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,19,34,2022-02-12T00:56:46Z,1090000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M21.00S,2022-02-12T00:57:00.2Z,1,REGULAR,3pt,Jump Shot,[],1630563,12.828515111695138,94.6078431372549,1610612759,19,34,2022-02-12T00:57:05Z,1100000,-223.0,68.0,1,left,MISS J. Primo 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,23.32,Missed,,,,,,,,,,,,,,,,,,
111,PT04M18.00S,2022-02-12T00:57:03.2Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,19,34,2022-02-12T00:57:05Z,1110000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,
112,PT04M08.00S,2022-02-12T00:57:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629631,93.11760840998686,49.50980392156863,1610612737,21,34,2022-02-12T00:57:17Z,1120000,-2.0,12.0,1,right,D. Hunter cutting DUNK (6 PTS) (J. Collins 1 AST),"[1629631, 1628381]",1610612737.0,ATL,cutting,,,Hunter,D. Hunter,,,,,1.25,Made,,,,,,,6.0,,,,J. Collins,1628381.0,1.0,,,,,
114,PT03M59.00S,2022-02-12T00:57:21.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,27.414586070959263,78.43137254901961,1610612759,21,37,2022-02-12T00:57:26Z,1140000,-142.0,205.0,1,left,D. Murray 24' 3PT  (10 PTS) (Z. Collins 1 AST),"[1627749, 1628380]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,24.97,Made,,,,,,,10.0,,,,Z. Collins,1628380.0,1.0,,,,,
116,PT03M34.00S,2022-02-12T00:57:46.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,67.36202365308804,59.068627450980394,1610612737,21,37,2022-02-12T00:57:51Z,1160000,45.0,254.0,1,right,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,
117,PT03M32.00S,2022-02-12T00:57:48.2Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,21,37,2022-02-12T00:57:51Z,1170000,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,116.0,3.0,3.0,0.0,,,,,,,,,,,,
118,PT03M27.00S,2022-02-12T00:57:55.3Z,1,REGULAR,foul,personal,['2freethrow'],1629027,,,1610612759,21,37,2022-02-12T00:58:21Z,1180000,,,0,,T. Young shooting personal FOUL (1 PF) (Murray 2 FT),"[1629027, 1627749]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Murray,1627749.0
120,PT03M27.00S,2022-02-12T00:58:22.6Z,1,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,21,37,2022-02-12T00:58:22Z,1200000,,,0,,MISS D. Murray Free Throw 1 of 2,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Missed,,,,,,,,,,,,,,,,,,
121,PT03M27.00S,2022-02-12T00:58:22.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,21,37,2022-02-12T00:58:22Z,1210000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,
122,PT03M27.00S,2022-02-12T00:58:23.3Z,1,REGULAR,substitution,out,[],1629631,,,1610612759,21,37,2022-02-12T00:58:29Z,1220000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M27.00S,2022-02-12T00:58:23.3Z,1,REGULAR,substitution,out,[],1628381,,,1610612759,21,37,2022-02-12T00:58:29Z,1230000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M27.00S,2022-02-12T00:58:23.3Z,1,REGULAR,substitution,in,[],1630168,,,1610612759,21,37,2022-02-12T00:58:29Z,1240000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M27.00S,2022-02-12T00:58:23.3Z,1,REGULAR,substitution,in,[],1626153,,,1610612759,21,37,2022-02-12T00:58:29Z,1250000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M27.00S,2022-02-12T00:58:41.5Z,1,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,21,38,2022-02-12T00:58:41Z,1260000,,,0,,D. Murray Free Throw 2 of 2 (11 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
127,PT03M08.00S,2022-02-12T00:59:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201568,85.49605781865965,58.57843137254902,1610612737,23,38,2022-02-12T00:59:11Z,1270000,43.0,84.0,1,right,D. Gallinari 9' fadeaway Jump Shot (2 PTS),[201568],1610612737.0,ATL,fadeaway,,,Gallinari,D. Gallinari,,,,,9.41,Made,,,,,,,2.0,,,,,,,,,,,
128,PT02M54.00S,2022-02-12T00:59:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,5.206964520367937,52.20588235294118,1610612759,23,38,2022-02-12T00:59:23Z,1280000,-11.0,-4.0,1,left,MISS D. Murray reverse Layup,[1627749],1610612759.0,SAS,reverse,,,Murray,D. Murray,,,,,1.16,Missed,,,,,,,,,,,,,,,,,,
129,PT02M51.00S,2022-02-12T00:59:19.5Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,23,38,2022-02-12T00:59:23Z,1290000,,,0,,D. Gallinari REBOUND (Off:0 Def:2),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,,,,
130,PT02M49.00S,2022-02-12T00:59:24.1Z,1,REGULAR,foul,personal,[],1629022,,,1610612737,23,38,2022-02-12T03:03:50Z,1300000,,,0,,L. Walker IV take personal FOUL (1 PF),"[1629022, 1629027]",1610612759.0,SAS,take,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Young,1629027.0
132,PT02M49.00S,2022-02-12T00:59:44.0Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,23,38,2022-02-12T00:59:48Z,1320000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M49.00S,2022-02-12T00:59:44.0Z,1,REGULAR,substitution,in,[],1630200,,,1610612737,23,38,2022-02-12T00:59:48Z,1330000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M47.00S,2022-02-12T01:00:00.6Z,1,REGULAR,foul,personal,[],1628966,,,1610612737,23,38,2022-02-12T01:00:14Z,1340000,,,0,,K. Bates-Diop personal FOUL (1 PF),"[1628966, 1629027]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Young,1629027.0
136,PT02M30.00S,2022-02-12T01:00:34.5Z,1,REGULAR,2pt,Jump Shot,[],201568,74.19513797634691,26.96078431372549,1610612737,23,38,2022-02-12T01:00:39Z,1360000,-115.0,190.0,1,right,MISS D. Gallinari 22' pullup Shot,[201568],1610612737.0,ATL,pullup,,,Gallinari,D. Gallinari,,,,,22.23,Missed,,,,,,,,,,,,,,,,,,
137,PT02M27.00S,2022-02-12T01:00:37.5Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612759,23,38,2022-02-12T01:00:39Z,1370000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,
138,PT02M23.00S,2022-02-12T01:00:46.8Z,1,REGULAR,foul,offensive,[],1628966,,,1610612759,23,38,2022-02-12T01:00:54Z,1380000,,,0,,K. Bates-Diop off-the-ball offensive FOUL (2 PF),"[1628966, 1626153]",1610612759.0,SAS,off-the-ball,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Wright,1626153.0
140,PT02M23.00S,2022-02-12T01:00:46.8Z,1,REGULAR,turnover,offensive foul,[],1628966,,,1610612759,23,38,2022-02-12T01:00:46Z,1400000,,,0,,K. Bates-Diop offensive foul TURNOVER (1 TO),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,1.0,,,,,,101283.0,,,,
141,PT02M23.00S,2022-02-12T01:00:53.3Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,23,38,2022-02-12T01:01:00Z,1410000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M23.00S,2022-02-12T01:00:53.3Z,1,REGULAR,substitution,out,[],1628966,,,1610612737,23,38,2022-02-12T01:01:00Z,1420000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M23.00S,2022-02-12T01:00:53.3Z,1,REGULAR,substitution,in,[],1628989,,,1610612737,23,38,2022-02-12T01:01:00Z,1430000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M23.00S,2022-02-12T01:00:53.3Z,1,REGULAR,substitution,in,[],1629640,,,1610612737,23,38,2022-02-12T01:01:00Z,1440000,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M12.00S,2022-02-12T01:01:16.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626153,70.12155059132719,25.0,1610612737,26,38,2022-02-12T01:01:21Z,1450000,-125.0,228.0,1,right,D. Wright 26' 3PT  (3 PTS) (K. Huerter 3 AST),"[1626153, 1628989]",1610612737.0,ATL,,,,Wright,D. Wright,,,,,26.04,Made,,,,,,,3.0,,,,K. Huerter,1628989.0,3.0,,,,,
147,PT01M54.00S,2022-02-12T01:01:34.0Z,1,REGULAR,turnover,lost ball,[],1629022,,,1610612759,26,38,2022-02-12T01:01:38Z,1470000,,,0,,L. Walker IV lost ball TURNOVER (1 TO),"[1629022, 1626153]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,1.0,Wright,1626153.0,,,,,,,,
148,PT01M54.00S,2022-02-12T01:01:34.0Z,1,REGULAR,steal,,[],1626153,,,1610612737,26,38,2022-02-12T01:01:37Z,1480000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M42.00S,2022-02-12T01:01:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203992,92.19776609724047,46.07843137254902,1610612737,26,38,2022-02-12T01:01:51Z,1490000,-20.0,21.0,1,right,MISS B. Bogdanovic Layup,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,
150,PT01M39.00S,2022-02-12T01:01:49.4Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,26,38,2022-02-12T01:01:49Z,1500000,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,,,
151,PT01M38.00S,2022-02-12T01:01:50.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626153,68.01905387647832,28.431372549019606,1610612737,26,38,2022-02-12T01:01:54Z,1510000,-108.0,248.0,1,right,MISS D. Wright 27' 3PT,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,
152,PT01M35.00S,2022-02-12T01:01:53.2Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,26,38,2022-02-12T01:01:54Z,1520000,,,0,,O. Okongwu REBOUND (Off:2 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,151.0,2.0,0.0,2.0,,,,,,,,,,,,
153,PT01M33.00S,2022-02-12T01:01:55.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201568,66.44218134034165,50.245098039215684,1610612737,29,38,2022-02-12T01:01:59Z,1530000,1.0,263.0,1,right,D. Gallinari 26' 3PT  (5 PTS) (O. Okongwu 1 AST),"[201568, 1630168]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.29,Made,,,,,,,5.0,,,,O. Okongwu,1630168.0,1.0,,,,,
155,PT01M17.00S,2022-02-12T01:02:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,23.866622864651774,11.76470588235294,1610612759,29,41,2022-02-12T01:02:15Z,1550000,191.0,172.0,1,left,K. Johnson 25' 3PT  (8 PTS) (J. Primo 1 AST),"[1629640, 1630563]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.7,Made,,,,,,,8.0,,,,J. Primo,1630563.0,1.0,,,,,
157,PT01M02.00S,2022-02-12T01:02:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,90.88370565045992,55.63725490196079,1610612737,29,41,2022-02-12T01:02:31Z,1570000,28.0,33.0,1,right,MISS O. Okongwu Layup,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,4.36,Missed,,,,,,,,,,,,,,,,,,
158,PT00M58.90S,2022-02-12T01:02:29.4Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,29,41,2022-02-12T01:08:06Z,1580000,,,0,,O. Okongwu REBOUND (Off:3 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,157.0,3.0,0.0,3.0,,,,,,,,,,,,
159,PT00M52.60S,2022-02-12T01:02:36.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,74.45795006570303,86.02941176470588,1610612737,29,41,2022-02-12T01:02:41Z,1590000,180.0,188.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,
160,PT00M49.30S,2022-02-12T01:02:39.5Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,29,41,2022-02-12T01:02:41Z,1600000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,
161,PT00M43.90S,2022-02-12T01:02:48.9Z,1,REGULAR,foul,personal,[],203992,,,1610612759,29,41,2022-02-12T01:02:58Z,1610000,,,0,,B. Bogdanovic personal FOUL (1 PF),"[203992, 1629640]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Johnson,1629640.0
163,PT00M33.70S,2022-02-12T01:03:27.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,28.203022339027594,24.019607843137255,1610612759,29,41,2022-02-12T01:03:32Z,1630000,130.0,213.0,1,left,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,24.91,Missed,,,,,,,,,,,,,,,,,,
164,PT00M30.80S,2022-02-12T01:03:30.0Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,29,41,2022-02-12T01:03:32Z,1640000,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,163.0,2.0,2.0,0.0,,,,,,,,,,,,
165,PT00M09.90S,2022-02-12T01:03:50.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,90.3580814717477,96.32352941176471,1610612737,29,41,2022-02-12T01:03:55Z,1650000,232.0,38.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,
166,PT00M07.00S,2022-02-12T01:03:53.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,29,41,2022-02-12T01:03:55Z,1660000,,,0,,K. Johnson REBOUND (Off:1 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,165.0,4.0,3.0,1.0,,,,,,,,,,,,
167,PT00M04.20S,2022-02-12T01:03:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,7.966491458607096,42.40196078431372,1610612759,29,43,2022-02-12T01:04:03Z,1670000,38.0,22.0,1,left,J. Primo running Layup (2 PTS) (K. Johnson 3 AST),"[1630563, 1629640]",1610612759.0,SAS,running,,,Primo,J. Primo,,,,,4.41,Made,,,,,,,2.0,,,,K. Johnson,1629640.0,3.0,,,,,
169,PT00M04.20S,2022-02-12T01:04:06.7Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203992,,,1610612759,29,43,2022-02-12T01:04:25Z,1690000,,,0,,B. Bogdanovic shooting personal FOUL (2 PF) (Primo 1 FT),"[203992, 1630563]",1610612737.0,ATL,shooting,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,200832.0,2.0,0.0,Primo,1630563.0
171,PT00M04.20S,2022-02-12T01:04:27.5Z,1,REGULAR,freethrow,1 of 1,[],1630563,,,1610612759,29,43,2022-02-12T01:04:29Z,1710000,,,0,,MISS J. Primo Free Throw 1 of 1,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,Missed,,,,,,,,,,,,,,,,,,
172,PT00M03.10S,2022-02-12T01:04:28.6Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,29,43,2022-02-12T01:04:29Z,1720000,,,0,,D. Gallinari REBOUND (Off:0 Def:3),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,171.0,3.0,3.0,0.0,,,,,,,,,,,,
173,PT00M00.00S,2022-02-12T01:04:37.0Z,1,REGULAR,period,end,[],0,,,1610612737,29,43,2022-02-12T01:04:37Z,1730000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-02-12T01:07:15.0Z,2,REGULAR,period,start,[],0,,,1610612737,29,43,2022-02-12T01:07:15Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M47.00S,2022-02-12T01:07:27.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,80.76544021024968,59.31372549019608,1610612737,31,43,2022-02-12T01:07:32Z,1750000,47.0,128.0,1,right,B. Bogdanovic 13' turnaround Jump Shot (2 PTS),[203992],1610612737.0,ATL,turnaround,,,Bogdanovic,B. Bogdanovic,,,,,13.65,Made,,,,,,,2.0,,,,,,,,,,,
176,PT11M33.00S,2022-02-12T01:07:41.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,5.469776609724048,49.754901960784316,1610612759,31,45,2022-02-12T01:07:46Z,1760000,1.0,-1.0,1,left,T. Jones cutting Layup (2 PTS) (Z. Collins 2 AST),"[1630200, 1628380]",1610612759.0,SAS,cutting,,,Jones,T. Jones,,,,,0.16,Made,,,,,,,2.0,,,,Z. Collins,1628380.0,2.0,,,,,
178,PT11M19.00S,2022-02-12T01:07:55.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203992,92.19776609724047,52.450980392156865,1610612737,33,45,2022-02-12T01:46:26Z,1780000,12.0,21.0,1,right,B. Bogdanovic driving Layup (4 PTS) (O. Okongwu 2 AST),"[203992, 1630168]",1610612737.0,ATL,driving,,,Bogdanovic,B. Bogdanovic,,,,,2.42,Made,,,,,,,4.0,,,,O. Okongwu,1630168.0,2.0,,,,,
179,PT10M58.00S,2022-02-12T01:08:15.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,15.456636005256241,36.27450980392157,1610612759,33,47,2022-02-12T01:08:20Z,1790000,69.0,93.0,1,left,T. Jones 11' driving floating Jump Shot (4 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,11.54,Made,,,,,,,4.0,,,,,,,,,,,
180,PT10M41.00S,2022-02-12T01:08:34.2Z,2,REGULAR,3pt,Jump Shot,[],1628989,68.28186596583443,67.40196078431373,1610612737,33,47,2022-02-12T01:15:59Z,1800000,87.0,246.0,1,right,MISS K. Huerter 26' step back 3PT,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,
181,PT10M39.00S,2022-02-12T01:08:36.2Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,33,47,2022-02-12T01:15:59Z,1810000,,,0,,D. Gallinari REBOUND (Off:1 Def:3),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,180.0,4.0,3.0,1.0,,,,,,,,,,,,
182,PT10M39.00S,2022-02-12T01:08:39.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201568,94.40999984741211,50.0,1610612737,33,47,2022-02-12T01:16:14Z,1820000,0.0,0.0,1,right,MISS D. Gallinari tip Layup,[201568],1610612737.0,ATL,tip,,,Gallinari,D. Gallinari,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
183,PT10M38.00S,2022-02-12T01:08:40.0Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,33,47,2022-02-12T01:16:14Z,1830000,,,0,,D. Gallinari REBOUND (Off:2 Def:3),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,182.0,5.0,3.0,2.0,,,,,,,,,,,,
233,PT10M38.00S,2022-02-12T01:08:42.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201568,92.55913272010513,49.754901960784316,1610612737,33,47,2022-02-12T01:16:35Z,1835000,-1.0,17.0,1,right,MISS D. Gallinari tip Layup,[201568],1610612737.0,ATL,tip,,,Gallinari,D. Gallinari,,,,,1.74,Missed,,,,,,,,,,,,,,,,,,
