actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
90,PT04M31.00S,2022-04-07T00:22:58.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,89.43823915900131,46.07843137254902,1610612737,17,20,2022-04-07T00:23:02Z,900000,-20.0,47.0,1,right,C. Capela turnaround Hook (4 PTS),[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,5.07,Made,,,,,,,4.0,,,,,,,,,,,,
91,PT04M17.00S,2022-04-07T00:23:12.7Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,17,20,2022-04-07T00:23:16Z,910000,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 203991]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,1.0,Capela,203991.0,,,,,,,,,
92,PT04M17.00S,2022-04-07T00:23:12.7Z,1,REGULAR,steal,,[],203991,,,1610612737,17,20,2022-04-07T00:23:15Z,920000,,,0,,C. Capela STEAL (3 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M09.00S,2022-04-07T00:23:20.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,68.28186596583443,65.19607843137256,1610612737,20,20,2022-04-07T00:23:25Z,930000,76.0,246.0,1,right,D. Hunter 25' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1629631, 203992]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,25.72,Made,,,,,,,3.0,,,,B. Bogdanovic,203992.0,1.0,,,,,,
95,PT03M47.00S,2022-04-07T00:23:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,20,20,2022-04-07T00:23:45Z,950000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,out,[],1628989,,,1610612764,20,20,2022-04-07T00:23:58Z,960000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,out,[],203991,,,1610612764,20,20,2022-04-07T00:23:58Z,970000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,out,[],204001,,,1610612764,20,20,2022-04-07T00:23:58Z,980000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,in,[],1626153,,,1610612764,20,20,2022-04-07T00:23:58Z,990000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612764,20,20,2022-04-07T00:23:58Z,1000000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M47.00S,2022-04-07T00:23:46.7Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,20,20,2022-04-07T00:23:58Z,1010000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M45.00S,2022-04-07T00:24:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,5.732588699080158,50.0,1610612764,20,22,2022-04-07T00:24:17Z,1020000,0.0,1.0,1,left,K. Caldwell-Pope Layup (7 PTS) (I. Smith 1 AST),"[203484, 202397]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,0.14,Made,,,,,,,7.0,,,,I. Smith,202397.0,1.0,,,,,,
104,PT03M31.00S,2022-04-07T00:24:27.2Z,1,REGULAR,3pt,Jump Shot,[],1629631,67.88764783180025,34.068627450980394,1610612737,23,22,2022-04-07T00:24:32Z,1040000,-80.0,249.0,1,right,D. Hunter 26' 3PT  (6 PTS) (O. Okongwu 1 AST),"[1629631, 1630168]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,26.18,Made,,,,,,,6.0,,,,O. Okongwu,1630168.0,1.0,,,,,,
106,PT03M20.00S,2022-04-07T00:24:37.9Z,1,REGULAR,2pt,Jump Shot,[],202397,6.521024967148489,19.852941176470587,1610612764,23,24,2022-04-07T00:24:42Z,1060000,151.0,9.0,1,left,I. Smith 15' pullup Jump Shot (2 PTS),[202397],1610612764.0,WAS,pullup,,,Smith,I. Smith,,,,,15.1,Made,,,,,,,2.0,,,,,,,,,,,,
107,PT03M09.00S,2022-04-07T00:24:49.5Z,1,REGULAR,3pt,Jump Shot,[],203992,76.69185282522996,11.27450980392157,1610612737,26,24,2022-04-07T00:24:54Z,1070000,-194.0,167.0,1,right,B. Bogdanovic 25' 3PT  (3 PTS) (T. Young 3 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,25.54,Made,,,,,,,3.0,,,,T. Young,1629027.0,3.0,,,,,,
109,PT02M56.00S,2022-04-07T00:25:02.0Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612764,26,24,2022-04-07T00:25:05Z,1090000,,,0,,I. Smith bad pass TURNOVER (1 TO),"[202397, 1626153]",1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,1.0,Wright,1626153.0,,,,,,,,,
110,PT02M56.00S,2022-04-07T00:25:02.0Z,1,REGULAR,steal,,[],1626153,,,1610612737,26,24,2022-04-07T00:25:04Z,1100000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M52.00S,2022-04-07T00:25:06.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203992,74.45795006570303,85.7843137254902,1610612737,29,24,2022-04-07T00:25:11Z,1110000,179.0,188.0,1,right,B. Bogdanovic 25' 3PT running pullup (6 PTS) (D. Wright 1 AST),"[203992, 1626153]",1610612737.0,ATL,running pullup,,,Bogdanovic,B. Bogdanovic,,,,,25.92,Made,,,,,,,6.0,,,,D. Wright,1626153.0,1.0,,,,,,
113,PT02M51.00S,2022-04-07T00:25:12.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,29,24,2022-04-07T00:25:12Z,1130000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M51.00S,2022-04-07T00:27:35.6Z,1,REGULAR,substitution,out,[],203484,,,1610612764,29,24,2022-04-07T00:27:53Z,1140000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M51.00S,2022-04-07T00:27:35.6Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,29,24,2022-04-07T00:27:53Z,1150000,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M33.00S,2022-04-07T00:28:26.8Z,1,REGULAR,3pt,Jump Shot,[],1629060,11.383048620236531,4.166666666666666,1610612764,29,24,2022-04-07T00:28:31Z,1160000,229.0,55.0,1,left,MISS R. Hachimura 3PT,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
117,PT02M30.00S,2022-04-07T00:28:29.8Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612737,29,24,2022-04-07T00:28:31Z,1170000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT02M09.00S,2022-04-07T00:28:49.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,72.35545335085413,81.37254901960785,1610612737,29,24,2022-04-07T00:28:55Z,1180000,157.0,207.0,1,right,MISS T. Young 26' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
119,PT02M06.00S,2022-04-07T00:28:52.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,29,24,2022-04-07T00:28:55Z,1190000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,
120,PT01M54.00S,2022-04-07T00:29:06.1Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612764,29,24,2022-04-07T00:29:39Z,1200000,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Gafford 2 FT),"[1630168, 1629655]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Gafford,1629655.0,
122,PT01M54.00S,2022-04-07T00:29:40.0Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,29,25,2022-04-07T00:29:40Z,1220000,,,0,,D. Gafford Free Throw 1 of 2 (5 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
123,PT01M54.00S,2022-04-07T00:29:41.9Z,1,REGULAR,substitution,out,[],1629631,,,1610612764,29,25,2022-04-07T00:29:46Z,1230000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M54.00S,2022-04-07T00:29:41.9Z,1,REGULAR,substitution,in,[],201568,,,1610612764,29,25,2022-04-07T00:29:46Z,1240000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M54.00S,2022-04-07T00:30:02.1Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612764,29,26,2022-04-07T00:30:02Z,1250000,,,0,,D. Gafford Free Throw 2 of 2 (6 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
126,PT01M44.00S,2022-04-07T00:30:23.3Z,1,REGULAR,foul,personal,['2freethrow'],1629060,,,1610612737,29,26,2022-04-07T00:30:58Z,1260000,,,0,,R. Hachimura shooting personal FOUL (2 PF) (Young 2 FT),"[1629060, 1629027]",1610612764.0,WAS,shooting,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,201638.0,2.0,0.0,Young,1629027.0,
128,PT01M44.00S,2022-04-07T00:30:48.3Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,30,26,2022-04-07T00:30:48Z,1280000,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
129,PT01M44.00S,2022-04-07T00:31:01.4Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,31,26,2022-04-07T00:31:01Z,1290000,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
130,PT01M28.00S,2022-04-07T00:31:18.9Z,1,REGULAR,2pt,Jump Shot,[],202397,14.273981603153747,21.323529411764707,1610612764,31,26,2022-04-07T00:31:23Z,1300000,143.0,82.0,1,left,MISS I. Smith 16' pullup Shot,[202397],1610612764.0,WAS,pullup,,,Smith,I. Smith,,,,,16.5,Missed,,,,,,,,,,,,,,,,,,,
131,PT01M24.00S,2022-04-07T00:31:22.9Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,31,26,2022-04-07T00:31:23Z,1310000,,,0,,D. Gallinari REBOUND (Off:1 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,130.0,2.0,1.0,1.0,,,,,,,,,,,,,
132,PT01M15.00S,2022-04-07T00:31:31.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,93.11760840998686,50.49019607843137,1610612737,33,26,2022-04-07T00:31:35Z,1320000,2.0,12.0,1,right,O. Okongwu DUNK (2 PTS) (D. Wright 2 AST),"[1630168, 1626153]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,1.25,Made,,,,,,,2.0,,,,D. Wright,1626153.0,2.0,,,,,,
134,PT01M02.00S,2022-04-07T00:31:44.7Z,1,REGULAR,3pt,Jump Shot,[],202397,10.200394218134035,4.166666666666666,1610612764,33,29,2022-04-07T00:31:54Z,1340000,229.0,43.0,1,left,I. Smith 3PT  (5 PTS) (D. Avdija 1 AST),"[202397, 1630166]",1610612764.0,WAS,,,,Smith,I. Smith,,,,,23.33,Made,,,,,,,5.0,,,,D. Avdija,1630166.0,1.0,,,,,,
136,PT00M49.00S,2022-04-07T00:32:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,93.24901445466492,50.98039215686274,1610612737,35,29,2022-04-07T00:32:05Z,1360000,5.0,11.0,1,right,O. Okongwu driving Layup (4 PTS) (T. Young 4 AST),"[1630168, 1629027]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,1.2,Made,,,,,,,4.0,,,,T. Young,1629027.0,4.0,,,,,,
138,PT00M35.30S,2022-04-07T00:32:16.7Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612764,35,29,2022-04-07T00:32:20Z,1380000,,,0,,I. Smith bad pass TURNOVER (2 TO),"[202397, 1630168]",1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,2.0,Okongwu,1630168.0,,,,,,,,,
139,PT00M35.30S,2022-04-07T00:32:16.7Z,1,REGULAR,steal,,[],1630168,,,1610612737,35,29,2022-04-07T00:32:18Z,1390000,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M30.60S,2022-04-07T00:32:21.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203992,90.62089356110381,4.166666666666666,1610612737,38,29,2022-04-07T00:32:28Z,1400000,-229.0,36.0,1,right,B. Bogdanovic 3PT running pullup (9 PTS) (T. Young 5 AST),"[203992, 1629027]",1610612737.0,ATL,running pullup,,,Bogdanovic,B. Bogdanovic,,,,,23.2,Made,,,,,,,9.0,,,,T. Young,1629027.0,5.0,,,,,,
142,PT00M13.80S,2022-04-07T00:32:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,9.543363994743759,54.166666666666664,1610612764,38,31,2022-04-07T00:32:45Z,1420000,-21.0,37.0,1,left,D. Avdija driving floating Jump Shot (2 PTS),[1630166],1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,4.26,Made,,,,,,,2.0,,,,,,,,,,,,
143,PT00M02.20S,2022-04-07T00:32:57.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,93.24901445466492,50.245098039215684,1610612737,40,31,2022-04-07T00:33:02Z,1430000,1.0,11.0,1,right,O. Okongwu cutting DUNK (6 PTS) (T. Young 6 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,1.11,Made,,,,,,,6.0,,,,T. Young,1629027.0,6.0,,,,,,
145,PT00M01.00S,2022-04-07T00:33:04.8Z,1,REGULAR,3pt,Jump Shot,[],202397,45.81143232588699,83.33333333333334,1610612764,40,31,2022-04-07T00:33:27Z,1450000,-167.0,378.0,1,left,MISS I. Smith 41' pullup 3PT,[202397],1610612764.0,WAS,pullup,,,Smith,I. Smith,,,,,41.32,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M01.00S,2022-04-07T00:33:04.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,40,31,2022-04-07T00:33:27Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,
147,PT00M00.00S,2022-04-07T00:33:08.3Z,1,REGULAR,period,end,[],0,,,1610612764,40,31,2022-04-07T00:33:08Z,1470000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-04-07T00:35:28.2Z,2,REGULAR,substitution,out,['startperiod'],1629027,,,1610612764,40,31,2022-04-07T00:35:40Z,1480000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-04-07T00:35:28.2Z,2,REGULAR,substitution,in,['startperiod'],1628989,,,1610612764,40,31,2022-04-07T00:35:40Z,1490000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-04-07T00:35:42.1Z,2,REGULAR,period,start,[],0,,,1610612737,40,31,2022-04-07T00:35:42Z,1500000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M49.00S,2022-04-07T00:35:52.1Z,2,REGULAR,3pt,Jump Shot,[],1626153,70.38436268068331,24.264705882352942,1610612737,40,31,2022-04-07T00:35:59Z,1510000,-129.0,226.0,1,right,MISS D. Wright 26' 3PT,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
152,PT11M44.00S,2022-04-07T00:35:57.1Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,40,31,2022-04-07T00:35:59Z,1520000,,,0,,D. Gallinari REBOUND (Off:2 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,151.0,3.0,1.0,2.0,,,,,,,,,,,,,
153,PT11M38.00S,2022-04-07T00:36:02.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203992,66.70499342969777,54.90196078431373,1610612737,40,31,2022-04-07T00:36:06Z,1530000,25.0,260.0,1,right,MISS B. Bogdanovic 26' step back 3PT,[203992],1610612737.0,ATL,step back,,,Bogdanovic,B. Bogdanovic,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
154,PT11M36.00S,2022-04-07T00:36:04.3Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612764,40,31,2022-04-07T00:36:06Z,1540000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,153.0,2.0,2.0,0.0,,,,,,,,,,,,,
155,PT11M22.00S,2022-04-07T00:36:19.3Z,2,REGULAR,3pt,Jump Shot,[],1630166,10.5946123521682,2.2058823529411766,1610612764,40,31,2022-04-07T00:36:25Z,1550000,239.0,47.0,1,left,MISS D. Avdija 24' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,24.36,Missed,,,,,,,,,,,,,,,,,,,
156,PT11M18.00S,2022-04-07T00:36:23.3Z,2,REGULAR,rebound,offensive,[],1629060,,,1610612764,40,31,2022-04-07T00:36:25Z,1560000,,,0,,R. Hachimura REBOUND (Off:1 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,155.0,3.0,2.0,1.0,,,,,,,,,,,,,
157,PT11M18.00S,2022-04-07T00:36:23.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629060,7.178055190538765,46.568627450980394,1610612764,40,33,2022-04-07T00:36:27Z,1570000,17.0,15.0,1,left,R. Hachimura putback Layup (2 PTS),[1629060],1610612764.0,WAS,putback,,,Hachimura,R. Hachimura,,,,,2.28,Made,,,,,,,2.0,,,,,,,,,,,,
158,PT11M03.00S,2022-04-07T00:36:38.6Z,2,REGULAR,turnover,bad pass,[],1630168,,,1610612737,40,33,2022-04-07T00:36:42Z,1580000,,,0,,O. Okongwu bad pass TURNOVER (1 TO),"[1630168, 202397]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,1.0,Smith,202397.0,,,,,,,,,
159,PT11M03.00S,2022-04-07T00:36:38.6Z,2,REGULAR,steal,,[],202397,,,1610612764,40,33,2022-04-07T00:36:41Z,1590000,,,0,,I. Smith STEAL (1 STL),[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M53.00S,2022-04-07T00:36:48.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629655,6.389618922470433,51.470588235294116,1610612764,40,35,2022-04-07T00:36:54Z,1600000,-7.0,8.0,1,left,D. Gafford Layup (8 PTS) (D. Avdija 2 AST),"[1629655, 1630166]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,1.06,Made,,,,,,,8.0,,,,D. Avdija,1630166.0,2.0,,,,,,
162,PT10M41.00S,2022-04-07T00:37:00.5Z,2,REGULAR,3pt,Jump Shot,[],201568,73.14388961892247,17.401960784313726,1610612737,43,35,2022-04-07T00:37:06Z,1620000,-163.0,200.0,1,right,D. Gallinari 25' 3PT  (12 PTS) (B. Bogdanovic 2 AST),"[201568, 203992]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.79,Made,,,,,,,12.0,,,,B. Bogdanovic,203992.0,2.0,,,,,,
164,PT10M22.00S,2022-04-07T00:37:18.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,6.389618922470433,50.0,1610612764,43,37,2022-04-07T00:37:24Z,1640000,0.0,8.0,1,left,C. Kispert driving Layup (2 PTS) (D. Avdija 3 AST),"[1630557, 1630166]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,0.76,Made,,,,,,,2.0,,,,D. Avdija,1630166.0,3.0,,,,,,
166,PT10M09.00S,2022-04-07T00:37:37.6Z,2,REGULAR,violation,kicked ball,[],1629060,,,1610612737,43,37,2022-04-07T00:37:44Z,1660000,,,0,,R. Hachimura kicked ball VIOLATION,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,2003.0,,,,,
167,PT10M03.00S,2022-04-07T00:37:58.9Z,2,REGULAR,3pt,Jump Shot,[],203992,68.67608409986859,29.901960784313726,1610612737,43,37,2022-04-07T00:38:04Z,1670000,-100.0,242.0,1,right,MISS B. Bogdanovic 26' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,,
168,PT10M01.00S,2022-04-07T00:38:00.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,43,37,2022-04-07T00:38:04Z,1680000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,
169,PT10M01.00S,2022-04-07T00:38:04.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,43,37,2022-04-07T00:38:04Z,1690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT10M01.00S,2022-04-07T00:38:06.2Z,2,REGULAR,substitution,out,[],1629655,,,1610612764,43,37,2022-04-07T00:38:15Z,1700000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT10M01.00S,2022-04-07T00:38:06.2Z,2,REGULAR,substitution,in,[],204001,,,1610612764,43,37,2022-04-07T00:38:15Z,1710000,,,0,,SUB in: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT09M49.00S,2022-04-07T00:38:30.2Z,2,REGULAR,2pt,Jump Shot,[],1629060,21.895532194480946,50.0,1610612764,43,37,2022-04-07T00:38:34Z,1720000,0.0,153.0,1,left,MISS R. Hachimura 15' turnaround Shot,[1629060],1610612764.0,WAS,turnaround,,,Hachimura,R. Hachimura,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,,
173,PT09M46.00S,2022-04-07T00:38:33.2Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,43,37,2022-04-07T00:38:34Z,1730000,,,0,,D. Gallinari REBOUND (Off:2 Def:2),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,172.0,4.0,2.0,2.0,,,,,,,,,,,,,
174,PT09M37.00S,2022-04-07T00:38:41.9Z,2,REGULAR,2pt,Jump Shot,[],1628989,79.05716162943496,36.51960784313725,1610612737,43,37,2022-04-07T00:38:46Z,1740000,-67.0,144.0,1,right,MISS K. Huerter 15' step back Shot,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,15.94,Missed,,,,,,,,,,,,,,,,,,,
175,PT09M33.00S,2022-04-07T00:38:45.9Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,43,37,2022-04-07T00:38:46Z,1750000,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,174.0,1.0,0.0,1.0,,,,,,,,,,,,,
176,PT09M33.00S,2022-04-07T00:38:46.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,94.40999984741211,50.0,1610612737,45,37,2022-04-07T00:38:46Z,1760000,0.0,0.0,1,right,O. Okongwu tip Layup (8 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,0.0,Made,,,,,,,8.0,,,,,,,,,,,,
177,PT09M23.00S,2022-04-07T00:38:56.9Z,2,REGULAR,3pt,Jump Shot,[],1630166,28.465834428383708,76.9607843137255,1610612764,45,40,2022-04-07T00:39:01Z,1770000,-135.0,215.0,1,left,D. Avdija 25' 3PT  (5 PTS) (C. Kispert 2 AST),"[1630166, 1630557]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,25.38,Made,,,,,,,5.0,,,,C. Kispert,1630557.0,2.0,,,,,,
179,PT09M10.00S,2022-04-07T00:39:09.6Z,2,REGULAR,3pt,Jump Shot,[],201568,76.16622864651774,84.80392156862744,1610612737,48,40,2022-04-07T00:39:14Z,1790000,174.0,172.0,1,right,D. Gallinari 24' 3PT  (15 PTS) (O. Okongwu 2 AST),"[201568, 1630168]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,24.43,Made,,,,,,,15.0,,,,O. Okongwu,1630168.0,2.0,,,,,,
