actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
63,PT06M28.00S,2025-10-22T02:28:39.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,26.067674113009204,87.5,1610612747,11,12,2025-10-22T02:28:45Z,630000,False,-188.0,193.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.87,Missed,,,,,,,,,,,,,,,,,,
64,PT06M25.00S,2025-10-22T02:28:42.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,12,2025-10-22T02:28:45Z,640000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,
65,PT06M17.00S,2025-10-22T02:28:50.5Z,1,REGULAR,3pt,Jump Shot,[],1627741,69.95729303547964,17.40196078431373,1610612744,11,12,2025-10-22T02:28:58Z,650000,False,-163.0,230.0,1,right,MISS B. Hield 28' 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,28.18,Missed,,,,,,,,,,,,,,,,,,
66,PT06M14.00S,2025-10-22T02:28:53.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,11,12,2025-10-22T02:28:58Z,660000,False,,,0,,L. Dončić REBOUND (Off:0 Def:4),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,65.0,4.0,4.0,0.0,,,,,,,,,,,,,
67,PT06M12.00S,2025-10-22T02:28:56.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630559,6.356767411300922,44.607843137254896,1610612747,11,12,2025-10-22T02:29:04Z,670000,False,27.0,7.0,1,left,MISS A. Reaves running Layup - blocked,"[1630559, 1627780]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,Payton II,1627780.0
68,PT06M12.00S,2025-10-22T02:28:56.6Z,1,REGULAR,block,,[],1627780,,,1610612747,11,12,2025-10-22T02:28:59Z,680000,False,,,0,,G. Payton II BLOCK (1 BLK),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2025-10-22T02:28:56.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,11,12,2025-10-22T02:29:04Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,67.0,,,,,,,,,,,,,,,,
71,PT06M09.00S,2025-10-22T02:29:14.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,11,12,2025-10-22T02:29:19Z,710000,False,,,0,,L. Dončić bad pass TURNOVER (2 TO),"[1629029, 201939]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,,2.0,Curry,201939.0,,,,,,,,,,
72,PT06M09.00S,2025-10-22T02:29:14.3Z,1,REGULAR,steal,,[],201939,,,1610612744,11,12,2025-10-22T02:29:15Z,720000,False,,,0,,S. Curry STEAL (3 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
73,PT06M04.00S,2025-10-22T02:29:21.6Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612744,11,12,2025-10-22T02:29:27Z,730000,False,,,0,,B. Hield bad pass out-of-bounds TURNOVER (1 TO),[1627741],1610612744.0,GSW,bad pass,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,,,,204059.0,,,,,,
74,PT05M46.00S,2025-10-22T02:29:48.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630559,33.952036793692514,57.59803921568628,1610612747,11,12,2025-10-22T02:29:52Z,740000,False,-38.0,267.0,1,left,MISS A. Reaves 26' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
75,PT05M43.00S,2025-10-22T02:29:51.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,12,2025-10-22T02:29:52Z,750000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,
76,PT05M40.00S,2025-10-22T02:29:56.9Z,1,REGULAR,foul,personal,[],1629028,,,1610612744,11,12,2025-10-22T02:30:24Z,760000,False,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 201939]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1155.0,1.0,0.0,Curry,201939.0,,
78,PT05M40.00S,2025-10-22T02:30:07.1Z,1,REGULAR,substitution,out,[],203110,,,1610612744,11,12,2025-10-22T02:30:17Z,780000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2025-10-22T02:30:07.1Z,1,REGULAR,substitution,in,[],201143,,,1610612744,11,12,2025-10-22T02:30:17Z,790000,False,,,0,,SUB in: A. Horford,[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2025-10-22T02:30:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,94.00459921156373,43.872549019607845,1610612744,11,12,2025-10-22T02:31:26Z,800000,False,-31.0,4.0,1,right,MISS G. Payton II cutting Layup,[1627780],1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,3.08,Missed,,,,,,,,,,,,,,,,,,
