actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
89,PT05M18.00S,2025-12-02T03:27:38.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631222,86.51445466491458,60.049019607843135,1610612747,17,13,2025-12-02T03:27:42Z,860000,False,50.0,74.0,1,right,MISS J. LaRavia 8' turnaround Hook,[1631222],1610612747.0,LAL,turnaround,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),8-16 Right,,,8.97,Missed,,,,,,,,,,,,,,,,
90,PT05M16.00S,2025-12-02T03:27:40.4Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,17,13,2025-12-02T03:27:42Z,870000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,
91,PT05M07.00S,2025-12-02T03:27:49.1Z,1,REGULAR,2pt,Jump Shot,[],1626164,21.337056504599218,68.87254901960785,1610612756,17,15,2025-12-02T03:27:55Z,880000,False,-94.0,148.0,1,left,D. Booker 17' step back Jump Shot (6 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,17.56,Made,6.0,,,,,,,,,,,,,,,
92,PT04M50.00S,2025-12-02T03:28:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,85.3318002628121,48.28431372549019,1610612747,19,15,2025-12-02T04:18:23Z,890000,False,-9.0,85.0,1,right,L. Dončić 8' driving floating Jump Shot (10 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,8.58,Made,10.0,,,,,,,,,,,,,,,
93,PT04M39.00S,2025-12-02T03:28:19.2Z,1,REGULAR,foul,personal,[],1631222,,,1610612756,19,15,2025-12-02T03:28:39Z,900000,False,,,0,,J. LaRavia personal FOUL (1 PF),"[1631222, 1626164]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Mid-Range,16-24 Left Center,1626300.0,,,,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,
95,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,19,15,2025-12-02T03:28:40Z,920000,False,,,0,,SUB out: D. Ayton,[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,out,[],1626220,,,1610612756,19,15,2025-12-02T03:28:40Z,930000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,out,[],1631109,,,1610612756,19,15,2025-12-02T03:28:40Z,940000,False,,,0,,SUB out: M. Williams,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,in,[],1629637,,,1610612756,19,15,2025-12-02T03:28:40Z,950000,False,,,0,,SUB in: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,in,[],1630692,,,1610612756,19,15,2025-12-02T03:28:40Z,960000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M39.00S,2025-12-02T03:28:27.2Z,1,REGULAR,substitution,in,[],1642345,,,1610612756,19,15,2025-12-02T03:28:40Z,970000,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M29.00S,2025-12-02T03:28:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,8.196452036793687,57.59803921568628,1610612756,19,17,2025-12-02T03:29:02Z,980000,False,-38.0,25.0,1,left,D. Booker driving Layup (8 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,4.52,Made,8.0,,,,,,,,,,,,,,,
102,PT04M21.00S,2025-12-02T03:29:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,87.9599211563732,59.55882352941176,1610612747,19,17,2025-12-02T03:29:11Z,990000,False,48.0,61.0,1,right,MISS A. Reaves 7' turnaround Shot,[1630559],1610612747.0,LAL,turnaround,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,7.73,Missed,,,,,,,,,,,,,,,,
103,PT04M18.00S,2025-12-02T03:29:09.6Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,19,17,2025-12-02T03:29:11Z,1000000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,
104,PT04M07.00S,2025-12-02T03:29:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,8.196452036793687,51.96078431372549,1610612756,19,19,2025-12-02T04:18:55Z,1010000,False,-10.0,25.0,1,left,D. Brooks driving Layup (8 PTS),[1628415],1610612756.0,PHX,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,2.64,Made,8.0,,,,,,,,,,,,,,,
105,PT03M58.00S,2025-12-02T03:29:30.5Z,1,REGULAR,foul,personal,[],1628415,,,1610612747,19,19,2025-12-02T03:30:20Z,1020000,False,,,0,,D. Brooks personal FOUL (2 PF),"[1628415, 1629029]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,201639.0,,,,,,,,,,,,,,2.0,0.0,Dončić,1629029.0,,
107,PT03M58.00S,2025-12-02T03:29:44.9Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,19,19,2025-12-02T03:30:02Z,1040000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M58.00S,2025-12-02T03:29:44.9Z,1,REGULAR,substitution,out,[],1628415,,,1610612747,19,19,2025-12-02T03:30:02Z,1050000,False,,,0,,SUB out: D. Brooks,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M58.00S,2025-12-02T03:29:44.9Z,1,REGULAR,substitution,in,[],1629216,,,1610612747,19,19,2025-12-02T03:30:02Z,1060000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M58.00S,2025-12-02T03:29:44.9Z,1,REGULAR,substitution,in,[],1628502,,,1610612747,19,19,2025-12-02T03:30:02Z,1070000,False,,,0,,SUB in: N. Hayes-Davis,[1628502],1610612756.0,PHX,,,,Hayes-Davis,N. Hayes-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M48.00S,2025-12-02T03:30:12.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,92.95335085413929,71.32352941176471,1610612747,21,19,2025-12-02T03:30:17Z,1080000,False,107.0,14.0,1,right,L. Dončić 10' fadeaway Jump Shot (12 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,10.75,Made,12.0,,,,,,,,,,,,,,,
112,PT03M33.00S,2025-12-02T03:30:27.7Z,1,REGULAR,3pt,Jump Shot,[],1630692,27.38173455978975,81.86274509803921,1610612756,21,19,2025-12-02T03:46:55Z,1090000,False,-159.0,205.0,1,left,MISS J. Goodwin 25' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,25.95,Missed,,,,,,,,,,,,,,,,
113,PT03M26.00S,2025-12-02T03:30:34.7Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,21,19,2025-12-02T03:30:41Z,1100000,False,,,0,,R. Dunn REBOUND (Off:2 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,112.0,2.0,0.0,2.0,,,,,,,,,,,
114,PT03M26.00S,2025-12-02T03:30:34.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642346,5.590000152587891,50.0,1610612756,21,21,2025-12-02T03:30:34Z,1110000,False,0.0,0.0,1,left,R. Dunn tip DUNK (2 PTS),[1642346],1610612756.0,PHX,tip,,,Dunn,R. Dunn,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
115,PT03M18.00S,2025-12-02T03:30:42.1Z,1,REGULAR,3pt,Jump Shot,[],1631222,79.15571616294349,5.14705882352942,1610612747,21,21,2025-12-02T03:30:47Z,1120000,False,-224.0,143.0,1,right,MISS J. LaRavia 26' 3PT,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,26.62,Missed,,,,,,,,,,,,,,,,
116,PT03M14.00S,2025-12-02T03:30:46.1Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,21,21,2025-12-02T03:30:47Z,1130000,False,,,0,,R. Dunn REBOUND (Off:2 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,115.0,3.0,1.0,2.0,,,,,,,,,,,
117,PT02M53.00S,2025-12-02T03:31:07.8Z,1,REGULAR,2pt,Jump Shot,[],1630692,7.013797634691201,82.84313725490196,1610612756,21,23,2025-12-02T03:31:12Z,1140000,False,-164.0,13.0,1,left,J. Goodwin 16' step back Jump Shot (2 PTS) (D. Booker 3 AST),"[1630692, 1626164]",1610612756.0,PHX,step back,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Left,,,16.47,Made,2.0,,,,,,,D. Booker,1626164.0,3.0,,,,,,
119,PT02M38.00S,2025-12-02T03:31:23.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,80.07555847568989,3.9215686274509807,1610612747,24,23,2025-12-02T03:31:27Z,1160000,False,-230.0,135.0,1,right,L. Dončić 26' 3PT step back (15 PTS),[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,26.69,Made,15.0,,,,,,,,,,,,,,,
120,PT02M27.00S,2025-12-02T03:31:34.2Z,1,REGULAR,3pt,Jump Shot,[],1626164,29.747043363994734,78.43137254901961,1610612756,24,26,2025-12-02T03:31:38Z,1170000,False,-142.0,227.0,1,left,D. Booker 26' 3PT pullup (11 PTS) (J. Goodwin 1 AST),"[1626164, 1630692]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,26.79,Made,11.0,,,,,,,J. Goodwin,1630692.0,1.0,,,,,,
124,PT02M12.00S,2025-12-02T03:31:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,73.11103810775296,83.08823529411765,1610612747,27,26,2025-12-02T03:31:54Z,1210000,False,165.0,200.0,1,right,L. Dončić 25' 3PT step back (18 PTS),[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,25.98,Made,18.0,,,,,,,,,,,,,,,
125,PT02M05.00S,2025-12-02T03:32:04.9Z,1,REGULAR,foul,offensive,[],1626164,,,1610612756,27,26,2025-12-02T03:32:31Z,1220000,False,,,0,,D. Booker offensive FOUL (1 PF),"[1626164, 1629637]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Hayes,1629637.0,,
127,PT02M05.00S,2025-12-02T03:32:04.9Z,1,REGULAR,turnover,offensive foul,[],1626164,,,1610612756,27,26,2025-12-02T03:32:04Z,1240000,False,,,0,,D. Booker offensive foul TURNOVER (1 TO),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,202035.0,1.0,,,,,,,,,,,,,,,,,,
128,PT02M05.00S,2025-12-02T03:32:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,27,26,2025-12-02T03:32:13Z,1250000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M05.00S,2025-12-02T03:35:17.2Z,1,REGULAR,substitution,out,[],1629060,,,1610612747,27,26,2025-12-02T03:35:31Z,1260000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M05.00S,2025-12-02T03:35:17.2Z,1,REGULAR,substitution,out,[],1626164,,,1610612747,27,26,2025-12-02T03:35:31Z,1270000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M05.00S,2025-12-02T03:35:17.2Z,1,REGULAR,substitution,in,[],2544,,,1610612747,27,26,2025-12-02T03:35:31Z,1280000,False,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M05.00S,2025-12-02T03:35:17.2Z,1,REGULAR,substitution,in,[],1631221,,,1610612747,27,26,2025-12-02T03:35:31Z,1290000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M52.00S,2025-12-02T03:35:59.1Z,1,REGULAR,foul,personal,['2freethrow'],1628502,,,1610612747,27,26,2025-12-02T03:36:13Z,1300000,False,,,0,,N. Hayes-Davis shooting personal FOUL (1 PF) (Hayes 2 FT),"[1628502, 1629637]",1610612756.0,PHX,shooting,,,Hayes-Davis,N. Hayes-Davis,,,,,In The Paint (Non-RA),0-8 Center,201639.0,,,,,,,,,,,,,,1.0,0.0,Hayes,1629637.0,,
135,PT01M52.00S,2025-12-02T03:36:20.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629637,,,1610612747,28,26,2025-12-02T03:36:20Z,1320000,False,,,0,,J. Hayes Free Throw 1 of 2 (1 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
136,PT01M52.00S,2025-12-02T03:36:35.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629637,,,1610612747,29,26,2025-12-02T03:36:35Z,1330000,False,,,0,,J. Hayes Free Throw 2 of 2 (2 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
137,PT01M41.00S,2025-12-02T03:36:51.7Z,1,REGULAR,turnover,out-of-bounds,[],1642345,,,1610612756,29,26,2025-12-02T03:36:57Z,1340000,False,,,0,,O. Ighodaro bad pass out-of-bounds TURNOVER (1 TO),[1642345],1610612756.0,PHX,bad pass,,,Ighodaro,O. Ighodaro,,,,,Mid-Range,8-16 Left,201639.0,1.0,,,,,,,,,,,,,,,,,,
138,PT01M22.00S,2025-12-02T03:37:13.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,89.79960578186596,49.754901960784316,1610612747,31,26,2025-12-02T04:27:19Z,1350000,False,-1.0,43.0,1,right,L. Dončić driving floating Jump Shot (20 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,4.34,Made,20.0,,,,,,,,,,,,,,,
140,PT01M12.00S,2025-12-02T03:37:23.6Z,1,REGULAR,3pt,Jump Shot,[],1631221,29.221419185282528,79.90196078431373,1610612756,31,29,2025-12-02T04:20:58Z,1370000,False,-150.0,222.0,1,left,C. Gillespie 26' 3PT pullup (6 PTS) (J. Goodwin 2 AST),"[1631221, 1630692]",1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,26.78,Made,6.0,,,,,,,J. Goodwin,1630692.0,2.0,,,,,,
142,PT00M55.30S,2025-12-02T03:37:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,81.7838370565046,62.00980392156863,1610612747,31,29,2025-12-02T04:21:17Z,1390000,False,60.0,119.0,1,right,MISS G. Vincent 13' driving floating Shot,[1629216],1610612747.0,LAL,driving floating,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,13.3,Missed,,,,,,,,,,,,,,,,
143,PT00M52.20S,2025-12-02T03:37:43.3Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,31,29,2025-12-02T03:37:43Z,1400000,False,,,0,,R. Dunn REBOUND (Off:2 Def:2),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,142.0,4.0,2.0,2.0,,,,,,,,,,,
146,PT00M35.10S,2025-12-02T03:38:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628502,14.50394218134035,49.01960784313726,1610612756,31,31,2025-12-02T03:38:06Z,1410000,False,5.0,84.0,1,left,N. Hayes-Davis 8' floating Jump Shot (2 PTS) (C. Gillespie 1 AST),"[1628502, 1631221]",1610612756.0,PHX,floating,,,Hayes-Davis,N. Hayes-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,8.39,Made,2.0,,,,,,,C. Gillespie,1631221.0,1.0,,,,,,
149,PT00M18.40S,2025-12-02T03:38:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.3515111695138,84.80392156862746,1610612747,31,31,2025-12-02T03:38:49Z,1440000,False,174.0,226.0,1,right,MISS L. Dončić 28' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,28.54,Missed,,,,,,,,,,,,,,,,
150,PT00M15.40S,2025-12-02T03:38:48.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,31,31,2025-12-02T03:38:48Z,1450000,False,,,0,,R. Dunn REBOUND (Off:2 Def:3),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,,149.0,5.0,3.0,2.0,,,,,,,,,,,
151,PT00M03.90S,2025-12-02T03:39:04.4Z,1,REGULAR,foul,personal,[],2544,,,1610612756,31,31,2025-12-02T03:39:13Z,1460000,False,,,0,,L. James personal FOUL (1 PF),"[2544, 1631221]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Gillespie,1631221.0,,
153,PT00M03.90S,2025-12-02T03:39:11.3Z,1,REGULAR,substitution,out,[],1642346,,,1610612756,31,31,2025-12-02T03:39:17Z,1480000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M03.90S,2025-12-02T03:39:11.3Z,1,REGULAR,substitution,out,[],1628502,,,1610612756,31,31,2025-12-02T03:39:17Z,1490000,False,,,0,,SUB out: N. Hayes-Davis,[1628502],1610612756.0,PHX,,,,Hayes-Davis,N. Hayes-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M03.90S,2025-12-02T03:39:11.3Z,1,REGULAR,substitution,in,[],1626220,,,1610612756,31,31,2025-12-02T03:39:17Z,1500000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M03.90S,2025-12-02T03:39:11.3Z,1,REGULAR,substitution,in,[],1628415,,,1610612756,31,31,2025-12-02T03:39:17Z,1510000,False,,,0,,SUB in: D. Brooks,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M01.90S,2025-12-02T03:39:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630692,19.103153745072277,92.6470588235294,1610612756,31,31,2025-12-02T03:40:09Z,1520000,False,-213.0,127.0,1,left,MISS J. Goodwin 24' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,24.82,Missed,,,,,,,,,,,,,,,,
158,PT00M01.00S,2025-12-02T03:39:36.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,31,31,2025-12-02T04:02:46Z,1530000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,157.0,,,,,,,,,,,,,,
159,PT00M00.00S,2025-12-02T03:39:41.7Z,1,REGULAR,period,end,[],0,,,1610612756,31,31,2025-12-02T04:02:46Z,1540000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,out,['startperiod'],1629637,,,1610612756,31,31,2025-12-02T04:02:46Z,1550000,False,,,0,,SUB out: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,out,['startperiod'],1631222,,,1610612756,31,31,2025-12-02T04:02:46Z,1560000,False,,,0,,SUB out: J. LaRavia,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612756,31,31,2025-12-02T04:02:46Z,1570000,False,,,0,,SUB out: L. Dončić,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,out,['startperiod'],1626220,,,1610612756,31,31,2025-12-02T04:02:46Z,1580000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,out,['startperiod'],1628415,,,1610612756,31,31,2025-12-02T04:02:46Z,1590000,False,,,0,,SUB out: D. Brooks,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,in,['startperiod'],1642261,,,1610612756,31,31,2025-12-02T04:02:46Z,1600000,False,,,0,,SUB in: D. Knecht,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,in,['startperiod'],1629028,,,1610612756,31,31,2025-12-02T04:02:46Z,1610000,False,,,0,,SUB in: D. Ayton,[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,in,['startperiod'],1630559,,,1610612756,31,31,2025-12-02T04:02:46Z,1620000,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,in,['startperiod'],1642346,,,1610612756,31,31,2025-12-02T04:02:46Z,1630000,False,,,0,,SUB in: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2025-12-02T03:41:44.1Z,2,REGULAR,substitution,in,['startperiod'],1628502,,,1610612756,31,31,2025-12-02T04:02:46Z,1640000,False,,,0,,SUB in: N. Hayes-Davis,[1628502],1610612756.0,PHX,,,,Hayes-Davis,N. Hayes-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-12-02T03:43:17.5Z,2,REGULAR,period,start,[],0,,,1610612747,31,31,2025-12-02T03:43:17Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M47.00S,2025-12-02T03:43:37.5Z,2,REGULAR,2pt,Jump Shot,[],2544,93.34756898817345,18.382352941176478,1610612747,33,31,2025-12-02T03:43:42Z,1660000,False,-158.0,10.0,1,right,L. James 15' turnaround fadeaway Jump Shot (4 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,,,15.84,Made,4.0,,,,,,,,,,,,,,,
172,PT11M38.00S,2025-12-02T03:43:50.3Z,2,REGULAR,3pt,Jump Shot,[],1642346,6.8823915900131425,5.392156862745097,1610612756,33,31,2025-12-02T03:43:54Z,1670000,False,223.0,12.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Right Corner 3,24+ Right,,,22.33,Missed,,,,,,,,,,,,,,,,
173,PT11M35.00S,2025-12-02T03:43:53.3Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612747,33,31,2025-12-02T03:43:54Z,1680000,False,,,0,,D. Ayton REBOUND (Off:1 Def:4),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Right Corner 3,24+ Right,,,,,,172.0,5.0,4.0,1.0,,,,,,,,,,,
174,PT11M24.00S,2025-12-02T03:44:03.8Z,2,REGULAR,3pt,Jump Shot,[],1629216,77.973061760841,95.09803921568627,1610612747,33,31,2025-12-02T03:44:08Z,1690000,False,225.0,155.0,1,right,MISS G. Vincent 27' 3PT,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,,,27.34,Missed,,,,,,,,,,,,,,,,
175,PT11M24.00S,2025-12-02T03:44:03.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,33,31,2025-12-02T03:44:08Z,1700000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,174.0,,,,,,,,,,,,,,
177,PT11M13.00S,2025-12-02T03:44:36.9Z,2,REGULAR,turnover,bad pass,[],1630559,,,1610612747,33,31,2025-12-02T03:44:41Z,1720000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1630692]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,Goodwin,1630692.0,,,,,,,,,
