actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
91,PT05M00.00S,2025-03-16T00:58:56.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,18,20,2025-03-16T00:59:31Z,880000,False,,,0,,M. Bridges REBOUND (Off:0 Def:4),[1628969],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Bridges,M. Bridges,90.0,4.0,4.0,0.0,,,,,,,,,,,,,,
92,PT04M49.00S,2025-03-16T00:59:05.5Z,1,REGULAR,3pt,Jump Shot,[],1630540,14.980289093298296,3.8985906862745026,1610612752,18,23,2025-03-16T00:59:44Z,890000,False,231.0,88.0,1,left,M. McBride 24' 3PT  (5 PTS) (J. Hart 3 AST),"[1630540, 1628404]",1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,24.68,Made,5.0,McBride,M. McBride,,,,,J. Hart,1628404.0,3.0,,,,,,,,,,,
94,PT04M35.00S,2025-03-16T00:59:21.6Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,18,23,2025-03-16T01:00:03Z,910000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,,,,Mid-Range,8-16 Center,,,,Green,D. Green,,,,,,,,1626300.0,,,,,,,1.0,,,
95,PT04M35.00S,2025-03-16T00:59:24.8Z,1,REGULAR,substitution,out,[],203110,,,1610612752,18,23,2025-03-16T00:59:30Z,920000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
96,PT04M35.00S,2025-03-16T00:59:24.8Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,18,23,2025-03-16T00:59:30Z,930000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,,,,,,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
97,PT04M35.00S,2025-03-16T00:59:24.8Z,1,REGULAR,substitution,in,[],1627780,,,1610612752,18,23,2025-03-16T00:59:30Z,940000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,,,,,,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,
98,PT04M35.00S,2025-03-16T00:59:24.8Z,1,REGULAR,substitution,in,[],1629013,,,1610612752,18,23,2025-03-16T00:59:30Z,950000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
99,PT04M23.00S,2025-03-16T00:59:48.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630540,22.552562417871222,89.4607843137255,1610612752,18,23,2025-03-16T01:00:34Z,960000,False,-197.0,159.0,1,left,MISS M. McBride 25' step back 3PT,[1630540],1610612752.0,NYK,step back,,,,,,Above the Break 3,24+ Left Center,25.37,Missed,,McBride,M. McBride,,,,,,,,,,,,,,,,,,
100,PT04M19.00S,2025-03-16T00:59:52.7Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,18,23,2025-03-16T01:00:34Z,970000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:2),[1630228],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,Kuminga,J. Kuminga,99.0,3.0,2.0,1.0,,,,,,,,,,,,,,
101,PT04M13.00S,2025-03-16T00:59:56.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,67.88354139290408,78.40839460784314,1610612744,21,23,2025-03-16T01:00:51Z,980000,False,142.0,249.0,1,right,S. Curry 28' 3PT running (6 PTS) (J. Kuminga 2 AST),"[201939, 1630228]",1610612744.0,GSW,running,,,,,,Above the Break 3,24+ Right Center,28.7,Made,6.0,Curry,S. Curry,,,,,J. Kuminga,1630228.0,2.0,,,,,,,,,,,
103,PT03M46.00S,2025-03-16T01:00:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,16.95137976346912,47.748161764705884,1610612752,21,25,2025-03-16T01:01:08Z,1000000,False,11.0,107.0,1,left,M. Bridges 10' driving floating Jump Shot (4 PTS) (M. McBride 1 AST),"[1628969, 1630540]",1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.74,Made,4.0,Bridges,M. Bridges,,,,,M. McBride,1630540.0,1.0,,,,,,,,,,,
105,PT03M33.00S,2025-03-16T01:00:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,85.0197109067017,57.23039215686275,1610612744,23,25,2025-03-16T01:01:28Z,1020000,False,36.0,88.0,1,right,J. Kuminga 9' turnaround fadeaway Jump Shot (4 PTS),[1630228],1610612744.0,GSW,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,9.54,Made,4.0,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
106,PT03M22.00S,2025-03-16T01:00:49.0Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612752,23,25,2025-03-16T01:01:40Z,1030000,False,,,0,,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[1628404],1610612752.0,NYK,bad pass,,,,,,In The Paint (Non-RA),8-16 Left,,,,Hart,J. Hart,,,,,,,,2714.0,,,,,,,1.0,,,
107,PT03M11.00S,2025-03-16T01:01:08.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,78.97503285151117,5.859375,1610612744,23,25,2025-03-16T01:02:20Z,1040000,False,-221.0,145.0,1,right,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
108,PT03M08.00S,2025-03-16T01:01:11.6Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612752,23,25,2025-03-16T01:02:20Z,1050000,False,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,,,,Shamet,L. Shamet,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,
109,PT02M48.00S,2025-03-16T01:01:31.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,5.256241787122207,34.04564950980392,1610612752,23,25,2025-03-16T01:03:11Z,1060000,False,80.0,-3.0,1,left,MISS M. Bridges 7' fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,,,,Mid-Range,0-8 Center,7.99,Missed,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
110,PT02M46.00S,2025-03-16T01:01:33.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,23,25,2025-03-16T01:03:11Z,1070000,False,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,,,,Mid-Range,0-8 Center,,,,Curry,S. Curry,109.0,2.0,2.0,0.0,,,,,,,,,,,,,,
111,PT02M38.00S,2025-03-16T01:01:40.2Z,1,REGULAR,3pt,Jump Shot,[],1627741,91.93495400788436,95.83333333333334,1610612744,26,25,2025-03-16T01:03:40Z,1080000,False,229.0,23.0,1,right,B. Hield 3PT step back (3 PTS) (J. Kuminga 3 AST),"[1627741, 1630228]",1610612744.0,GSW,step back,,,,,,Right Corner 3,24+ Right,23.04,Made,3.0,Hield,B. Hield,,,,,J. Kuminga,1630228.0,3.0,,,,,,,,,,,
113,PT02M27.00S,2025-03-16T01:01:54.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,26,25,2025-03-16T01:01:54Z,1100000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M27.00S,2025-03-16T01:02:23.3Z,1,REGULAR,substitution,out,[],201939,,,1610612752,26,25,2025-03-16T01:03:22Z,1110000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
115,PT02M27.00S,2025-03-16T01:02:23.3Z,1,REGULAR,substitution,out,[],1628404,,,1610612752,26,25,2025-03-16T01:03:22Z,1120000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,,,,,,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,
116,PT02M27.00S,2025-03-16T01:02:23.3Z,1,REGULAR,substitution,in,[],202710,,,1610612752,26,25,2025-03-16T01:03:22Z,1130000,False,,,0,,SUB in: J. Butler III,[202710],1610612744.0,GSW,,,,,,,,,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
117,PT02M27.00S,2025-03-16T01:02:23.3Z,1,REGULAR,substitution,in,[],1628384,,,1610612752,26,25,2025-03-16T01:03:22Z,1140000,False,,,0,,SUB in: O. Anunoby,[1628384],1610612752.0,NYK,,,,,,,,,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
118,PT02M17.00S,2025-03-16T01:03:49.9Z,1,REGULAR,2pt,Jump Shot,[],1629013,16.81997371879106,70.57291666666667,1610612752,26,25,2025-03-16T01:05:22Z,1150000,False,-103.0,106.0,1,left,MISS L. Shamet 14' pullup Shot,[1629013],1610612752.0,NYK,pullup,,,,,,Mid-Range,8-16 Left,14.74,Missed,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
119,PT02M14.00S,2025-03-16T01:03:52.9Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,26,25,2025-03-16T01:05:22Z,1160000,False,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Left,,,,Payton II,G. Payton II,118.0,1.0,1.0,0.0,,,,,,,,,,,,,,
120,PT02M02.00S,2025-03-16T01:04:05.0Z,1,REGULAR,3pt,Jump Shot,[],1642366,80.02628120893561,5.859375,1610612744,26,25,2025-03-16T01:06:18Z,1170000,False,-221.0,135.0,1,right,MISS Q. Post 25' 3PT,[1642366],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,Post,Q. Post,,,,,,,,,,,,,,,,,,
121,PT01M59.00S,2025-03-16T01:04:08.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,26,25,2025-03-16T01:06:18Z,1180000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,,,,Robinson,M. Robinson,120.0,1.0,1.0,0.0,,,,,,,,,,,,,,
122,PT01M53.00S,2025-03-16T01:04:13.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628384,9.543363994743759,52.20588235294118,1610612752,26,27,2025-03-16T01:06:39Z,1190000,False,-11.0,37.0,1,left,O. Anunoby driving floating Jump Shot (7 PTS) (M. McBride 2 AST),"[1628384, 1630540]",1610612752.0,NYK,driving floating,,,,,,Restricted Area,0-8 Center,3.88,Made,7.0,Anunoby,O. Anunoby,,,,,M. McBride,1630540.0,2.0,,,,,,,,,,,
123,PT01M43.00S,2025-03-16T01:04:23.9Z,1,REGULAR,3pt,Jump Shot,[],1627741,63.935200394218136,54.71813725490196,1610612744,26,27,2025-03-16T01:07:12Z,1200000,False,24.0,287.0,1,right,MISS B. Hield 28' 3PT,[1627741],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,28.75,Missed,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
124,PT01M40.00S,2025-03-16T01:04:26.9Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,26,27,2025-03-16T01:07:12Z,1210000,False,,,0,,J. Kuminga REBOUND (Off:2 Def:2),[1630228],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,,,,Kuminga,J. Kuminga,123.0,4.0,2.0,2.0,,,,,,,,,,,,,,
125,PT01M39.00S,2025-03-16T01:04:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630228,94.61235216819973,52.91819852941176,1610612744,26,27,2025-03-16T01:07:30Z,1220000,False,15.0,-2.0,1,right,MISS J. Kuminga reverse Layup,[1630228],1610612744.0,GSW,reverse,,,,,,Restricted Area,0-8 Center,1.47,Missed,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
126,PT01M37.00S,2025-03-16T01:04:31.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,26,27,2025-03-16T01:07:30Z,1230000,False,,,0,,M. Bridges REBOUND (Off:0 Def:5),[1628969],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Bridges,M. Bridges,125.0,5.0,5.0,0.0,,,,,,,,,,,,,,
127,PT01M23.00S,2025-03-16T01:04:43.4Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612752,26,27,2025-03-16T01:07:55Z,1240000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1627741]",1610612752.0,NYK,,,,,,,Mid-Range,8-16 Left,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1.0,Hield,1627741.0,
128,PT01M23.00S,2025-03-16T01:04:43.4Z,1,REGULAR,steal,,[],1627741,,,1610612744,26,27,2025-03-16T01:10:55Z,1250000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Left,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
129,PT01M17.00S,2025-03-16T01:04:50.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202710,88.83048620236531,54.42325367647059,1610612744,26,27,2025-03-16T01:08:22Z,1260000,False,22.0,52.0,1,right,MISS J. Butler III running Layup,[202710],1610612744.0,GSW,running,,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
130,PT01M15.00S,2025-03-16T01:04:52.5Z,1,REGULAR,rebound,defensive,[],1630540,,,1610612752,26,27,2025-03-16T01:08:22Z,1270000,False,,,0,,M. McBride REBOUND (Off:0 Def:1),[1630540],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,,McBride,M. McBride,129.0,1.0,1.0,0.0,,,,,,,,,,,,,,
131,PT01M02.00S,2025-03-16T01:05:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,14.323258869908017,62.002144607843135,1610612752,26,29,2025-03-16T01:08:40Z,1280000,False,-60.0,82.0,1,left,M. Bridges 10' step back Jump Shot (6 PTS),[1628969],1610612752.0,NYK,step back,,,,,,In The Paint (Non-RA),8-16 Left,10.17,Made,6.0,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
132,PT00M45.70S,2025-03-16T01:05:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,88.5676741130092,40.908394607843135,1610612744,26,29,2025-03-16T01:10:12Z,1290000,False,-45.0,55.0,1,right,MISS G. Payton II 7' cutting Layup,[1627780],1610612744.0,GSW,cutting,,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,
133,PT00M43.30S,2025-03-16T01:05:24.9Z,1,REGULAR,rebound,offensive,[],1642366,,,1610612744,26,29,2025-03-16T01:10:12Z,1300000,False,,,0,,Q. Post REBOUND (Off:1 Def:0),[1642366],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Post,Q. Post,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,
134,PT00M40.40S,2025-03-16T01:05:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,91.85282522996059,50.55147058823529,1610612744,28,29,2025-03-16T01:10:49Z,1310000,False,3.0,24.0,1,right,J. Butler III driving Layup (2 PTS) (Q. Post 1 AST),"[202710, 1642366]",1610612744.0,GSW,driving,,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,Butler III,J. Butler III,,,,,Q. Post,1642366.0,1.0,,,,,,,,,,,
135,PT00M29.80S,2025-03-16T01:05:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630540,12.855206964520377,59.08011642156863,1610612752,28,29,2025-03-16T01:11:18Z,1320000,False,-45.0,68.0,1,left,MISS M. McBride 8' driving floating Shot,[1630540],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,8.2,Missed,,McBride,M. McBride,,,,,,,,,,,,,,,,,,
136,PT00M27.80S,2025-03-16T01:05:41.0Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,28,29,2025-03-16T01:11:18Z,1330000,False,,,0,,Q. Post REBOUND (Off:1 Def:1),[1642366],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Post,Q. Post,135.0,2.0,1.0,1.0,,,,,,,,,,,,,,
137,PT00M19.50S,2025-03-16T01:05:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612744,28,29,2025-03-16T01:12:30Z,1340000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1629011, 1630228]",1610612752.0,NYK,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Robinson,M. Robinson,,,,,,,,2714.0,1.0,0.0,Kuminga,1630228.0,,,,,,
139,PT00M19.50S,2025-03-16T01:06:21.7Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,28,29,2025-03-16T01:06:21Z,1360000,False,,,0,,MISS J. Kuminga Free Throw 1 of 2,[1630228],1610612744.0,GSW,,,,,,,,,,Missed,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
140,PT00M19.50S,2025-03-16T01:06:21.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,28,29,2025-03-16T01:06:21Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,
141,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,out,[],1627741,,,1610612744,28,29,2025-03-16T01:06:32Z,1380000,False,,,0,,SUB out: B. Hield,[1627741],1610612744.0,GSW,,,,,,,,,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
142,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,out,[],1642366,,,1610612744,28,29,2025-03-16T01:06:32Z,1390000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,,,,,,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,
143,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,out,[],1630540,,,1610612744,28,29,2025-03-16T01:06:32Z,1400000,False,,,0,,SUB out: M. McBride,[1630540],1610612752.0,NYK,,,,,,,,,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,
144,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,out,[],1629011,,,1610612744,28,29,2025-03-16T01:06:32Z,1410000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
145,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,28,29,2025-03-16T01:06:32Z,1420000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,,,,,,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
146,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,28,29,2025-03-16T01:06:32Z,1430000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,,,,,,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
147,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,in,[],1626157,,,1610612744,28,29,2025-03-16T01:06:32Z,1440000,False,,,0,,SUB in: K. Towns,[1626157],1610612752.0,NYK,,,,,,,,,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
148,PT00M19.50S,2025-03-16T01:06:22.5Z,1,REGULAR,substitution,in,[],1626166,,,1610612744,28,29,2025-03-16T01:06:32Z,1450000,False,,,0,,SUB in: C. Payne,[1626166],1610612752.0,NYK,,,,,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,
149,PT00M19.50S,2025-03-16T01:06:52.8Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,29,29,2025-03-16T01:06:52Z,1460000,False,,,0,,J. Kuminga Free Throw 2 of 2 (5 PTS),[1630228],1610612744.0,GSW,,,,,,,,,,Made,5.0,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
150,PT00M03.40S,2025-03-16T01:07:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,8.387401445466494,41.97303921568627,1610612752,29,31,2025-03-16T01:13:07Z,1470000,False,40.0,26.0,1,left,M. Bridges cutting Layup (8 PTS) (O. Anunoby 1 AST),"[1628969, 1628384]",1610612752.0,NYK,cutting,,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,8.0,Bridges,M. Bridges,,,,,O. Anunoby,1628384.0,1.0,,,,,,,,,,,
152,PT00M00.70S,2025-03-16T01:07:19.8Z,1,REGULAR,3pt,Jump Shot,[],202710,58.59272339027595,15.908394607843135,1610612744,32,31,2025-03-16T01:29:54Z,1490000,False,-170.0,337.0,1,right,J. Butler III 37' 3PT driving floating bank (5 PTS),[202710],1610612744.0,GSW,driving floating bank,,,,,,Above the Break 3,24+ Left Center,37.74,Made,5.0,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
153,PT00M00.00S,2025-03-16T01:07:22.2Z,1,REGULAR,period,end,[],0,,,1610612752,32,31,2025-03-16T01:07:22Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,out,['startperiod'],1630228,,,1610612752,32,31,2025-03-16T01:10:48Z,1510000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,out,['startperiod'],1626172,,,1610612752,32,31,2025-03-16T01:10:48Z,1520000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,,,,,,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,out,['startperiod'],1628969,,,1610612752,32,31,2025-03-16T01:10:48Z,1530000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,in,['startperiod'],1642366,,,1610612752,32,31,2025-03-16T01:10:48Z,1540000,False,,,0,,SUB in: Q. Post,[1642366],1610612744.0,GSW,,,,,,,,,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,in,['startperiod'],203110,,,1610612752,32,31,2025-03-16T01:10:48Z,1550000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-03-16T01:10:25.0Z,2,REGULAR,substitution,in,['startperiod'],1630173,,,1610612752,32,31,2025-03-16T01:10:48Z,1560000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612752.0,NYK,,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-03-16T01:11:22.1Z,2,REGULAR,period,start,[],0,,,1610612744,32,31,2025-03-16T01:11:22Z,1570000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M38.00S,2025-03-16T01:11:44.0Z,2,REGULAR,3pt,Jump Shot,[],1627780,69.54048948751642,25.222120098039213,1610612744,32,31,2025-03-16T01:13:45Z,1580000,False,-124.0,234.0,1,right,MISS G. Payton II 26' 3PT,[1627780],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,26.46,Missed,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,
164,PT11M36.00S,2025-03-16T01:11:46.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,32,31,2025-03-16T01:11:57Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,,,163.0,,,,,,,,,,,,,,,,,
166,PT11M36.00S,2025-03-16T01:11:44.1Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612744,32,31,2025-03-16T01:12:17Z,1610000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1626300.0,,,,,,,,,,
167,PT11M20.00S,2025-03-16T01:12:20.9Z,2,REGULAR,turnover,lost ball,[],1628384,,,1610612752,32,31,2025-03-16T01:14:32Z,1620000,False,,,0,,O. Anunoby lost ball TURNOVER (1 TO),"[1628384, 202710]",1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,1.0,Butler III,202710.0,
168,PT11M20.00S,2025-03-16T01:12:20.9Z,2,REGULAR,steal,,[],202710,,,1610612744,32,31,2025-03-16T01:12:23Z,1630000,False,,,0,,J. Butler III STEAL (1 STL),[202710],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
169,PT11M08.00S,2025-03-16T01:12:33.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,78.18659658344284,91.88878676470588,1610612744,32,31,2025-03-16T01:14:51Z,1640000,False,209.0,153.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
170,PT11M05.00S,2025-03-16T01:12:36.3Z,2,REGULAR,rebound,offensive,[],1642366,,,1610612744,32,31,2025-03-16T01:14:51Z,1650000,False,,,0,,Q. Post REBOUND (Off:2 Def:1),[1642366],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Post,Q. Post,169.0,3.0,1.0,2.0,,,,,,,,,,,,,,
171,PT10M52.00S,2025-03-16T01:12:49.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630541,95.26938239159001,3.8985906862745026,1610612744,32,31,2025-03-16T01:15:10Z,1660000,False,-231.0,-8.0,1,right,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,23.06,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
