actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
184,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,out,['startperiod'],1631119,,,1610612744,20,34,2025-01-30T03:51:29Z,1820000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,out,['startperiod'],1630598,,,1610612744,20,34,2025-01-30T03:51:29Z,1830000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,in,['startperiod'],1627780,,,1610612744,20,34,2025-01-30T03:51:29Z,1840000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,in,['startperiod'],203952,,,1610612744,20,34,2025-01-30T03:51:29Z,1850000,False,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,in,['startperiod'],1628392,,,1610612744,20,34,2025-01-30T03:51:29Z,1860000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,in,['startperiod'],1641717,,,1610612744,20,34,2025-01-30T03:51:29Z,1870000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2025-01-30T03:51:06.3Z,2,REGULAR,substitution,in,['startperiod'],1631172,,,1610612744,20,34,2025-01-30T03:51:29Z,1880000,False,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2025-01-30T03:52:10.5Z,2,REGULAR,period,start,[],0,,,1610612744,20,34,2025-01-30T03:52:10Z,1890000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT11M42.00S,2025-01-30T03:52:27.7Z,2,REGULAR,3pt,Jump Shot,[],1641764,26.363337713534822,84.06862745098039,1610612744,20,34,2025-01-30T03:52:31Z,1900000,False,-170.0,195.0,1,left,MISS B. Podziemski 25' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,,,25.91,Missed,,,,,,,,,,,,,
193,PT11M39.00S,2025-01-30T03:52:30.7Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612760,20,34,2025-01-30T03:52:31Z,1910000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,192.0,1.0,1.0,0.0,,,,,,,
194,PT11M32.00S,2025-01-30T03:52:42.1Z,2,REGULAR,foul,personal,[],1626172,,,1610612760,20,34,2025-01-30T03:52:48Z,1920000,False,,,0,,K. Looney personal FOUL (2 PF),"[1626172, 1631114]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,101284.0,2.0,0.0,Williams,1631114.0,,,,,,,,,,,,,,,
196,PT11M29.00S,2025-01-30T03:53:04.3Z,2,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,20,34,2025-01-30T03:53:16Z,1940000,False,,,0,,J. Williams lost ball out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,lost ball,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,101284.0,,,,,,,,,,,,,,1.0,,,,,
197,PT11M20.00S,2025-01-30T03:53:20.0Z,2,REGULAR,foul,offensive,[],1627780,,,1610612744,20,34,2025-01-30T03:55:21Z,1950000,False,,,0,,G. Payton II charge offensive FOUL (2 PF),"[1627780, 1630198]",1610612744.0,GSW,charge,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,101284.0,2.0,0.0,Joe,1630198.0,,,,,,,,,,,,,,,
201,PT11M20.00S,2025-01-30T03:53:20.0Z,2,REGULAR,turnover,offensive foul,[],1627780,,,1610612744,20,34,2025-01-30T03:53:20Z,1965000,False,,,0,,G. Payton II offensive foul TURNOVER (1 TO),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,,,,,,,1.0,,,,,
199,PT11M20.00S,2025-01-30T03:53:43.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,20,34,2025-01-30T03:53:20Z,1970000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT11M00.00S,2025-01-30T03:57:27.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628392,83.52496714848883,50.98039215686274,1610612760,20,34,2025-01-30T03:57:31Z,1990000,False,5.0,102.0,1,right,MISS I. Hartenstein 10' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.25,Missed,,,,,,,,,,,,,
203,PT10M57.00S,2025-01-30T03:57:30.1Z,2,REGULAR,rebound,defensive,[],1627780,,,1610612744,20,34,2025-01-30T03:57:31Z,2000000,False,,,0,,G. Payton II REBOUND (Off:0 Def:4),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,202.0,4.0,4.0,0.0,,,,,,,
205,PT10M46.00S,2025-01-30T03:57:52.2Z,2,REGULAR,2pt,Jump Shot,[],201939,22.026938239159,26.96078431372549,1610612744,22,34,2025-01-30T03:57:55Z,2020000,False,115.0,155.0,1,left,S. Curry 19' pullup Jump Shot (4 PTS) (B. Podziemski 1 AST),"[201939, 1641764]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right Center,,,,,,19.28,Made,,,,,,,4.0,,,,B. Podziemski,1641764.0,1.0
207,PT10M29.00S,2025-01-30T03:58:08.9Z,2,REGULAR,2pt,Jump Shot,[],1631114,88.51839684625493,70.58823529411765,1610612760,22,36,2025-01-30T03:58:12Z,2040000,False,103.0,55.0,1,right,J. Williams 11' fadeaway Jump Shot (6 PTS) (I. Hartenstein 3 AST),"[1631114, 1628392]",1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,,,,,,11.69,Made,,,,,,,6.0,,,,I. Hartenstein,1628392.0,3.0
208,PT10M14.00S,2025-01-30T03:58:26.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626172,7.5722733245729295,44.6078431372549,1610612744,24,36,2025-01-30T03:58:33Z,2050000,False,27.0,19.0,1,left,K. Looney Hook (6 PTS) (B. Podziemski 2 AST),"[1626172, 1641764]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,3.28,Made,,,,,,,6.0,,,,B. Podziemski,1641764.0,2.0
210,PT10M14.00S,2025-01-30T03:58:29.9Z,2,REGULAR,foul,personal,['1freethrow'],1631114,,,1610612744,24,36,2025-01-30T03:58:46Z,2070000,False,,,0,,J. Williams shooting personal FOUL (2 PF) (Looney 1 FT),"[1631114, 1626172]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1628487.0,2.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
212,PT10M14.00S,2025-01-30T03:58:53.5Z,2,REGULAR,freethrow,1 of 1,[],1626172,,,1610612744,25,36,2025-01-30T03:58:53Z,2090000,False,,,0,,K. Looney Free Throw 1 of 1 (7 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
213,PT09M50.00S,2025-01-30T03:59:19.5Z,2,REGULAR,turnover,bad pass,[],1631172,,,1610612760,25,36,2025-01-30T03:59:22Z,2100000,False,,,0,,O. Dieng bad pass TURNOVER (1 TO),"[1631172, 201939]",1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Curry,201939.0,,,
214,PT09M50.00S,2025-01-30T03:59:19.5Z,2,REGULAR,steal,,[],201939,,,1610612744,25,36,2025-01-30T03:59:21Z,2110000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
215,PT09M45.00S,2025-01-30T03:59:24.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627780,8.886333771353483,55.88235294117647,1610612744,25,36,2025-01-30T03:59:29Z,2120000,False,-29.0,31.0,1,left,MISS G. Payton II running Layup,[1627780],1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,4.27,Missed,,,,,,,,,,,,,
216,PT09M43.00S,2025-01-30T03:59:26.4Z,2,REGULAR,rebound,defensive,[],1631172,,,1610612760,25,36,2025-01-30T03:59:29Z,2130000,False,,,0,,O. Dieng REBOUND (Off:0 Def:1),[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,,,,,,,,,,215.0,1.0,1.0,0.0,,,,,,,
217,PT09M38.00S,2025-01-30T03:59:31.6Z,2,REGULAR,3pt,Jump Shot,[],1631114,77.87450722733246,93.13725490196079,1610612760,25,36,2025-01-30T04:00:13Z,2140000,False,216.0,155.0,1,right,MISS J. Williams 26' step back 3PT,[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,26.59,Missed,,,,,,,,,,,,,
218,PT09M34.00S,2025-01-30T03:59:35.6Z,2,REGULAR,rebound,defensive,[],1627780,,,1610612744,25,36,2025-01-30T03:59:38Z,2150000,False,,,0,,G. Payton II REBOUND (Off:0 Def:5),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,217.0,5.0,5.0,0.0,,,,,,,
219,PT09M31.00S,2025-01-30T03:59:44.0Z,2,REGULAR,foul,personal,[],1631114,,,1610612744,25,36,2025-01-30T03:59:49Z,2160000,False,,,0,,J. Williams personal FOUL (3 PF),"[1631114, 1626172]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,101284.0,3.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
221,PT09M31.00S,2025-01-30T03:59:58.7Z,2,REGULAR,substitution,out,[],1626172,,,1610612744,25,36,2025-01-30T04:00:04Z,2180000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M31.00S,2025-01-30T03:59:58.7Z,2,REGULAR,substitution,in,[],203937,,,1610612744,25,36,2025-01-30T04:00:04Z,2190000,False,,,0,,SUB in: K. Anderson,[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M31.00S,2025-01-30T04:00:07.4Z,2,REGULAR,substitution,out,[],1631114,,,1610612744,25,36,2025-01-30T04:00:13Z,2200000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M31.00S,2025-01-30T04:00:07.4Z,2,REGULAR,substitution,in,[],1630598,,,1610612744,25,36,2025-01-30T04:00:13Z,2210000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT09M29.00S,2025-01-30T04:00:28.5Z,2,REGULAR,foul,personal,[],1641717,,,1610612744,25,36,2025-01-30T04:00:43Z,2220000,False,,,0,,C. Wallace personal FOUL (1 PF),"[1641717, 201939]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Left Center,101284.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
227,PT09M23.00S,2025-01-30T04:00:48.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203952,9.543363994743759,51.470588235294116,1610612744,25,36,2025-01-30T04:00:52Z,2240000,False,-7.0,37.0,1,left,MISS A. Wiggins driving Layup - blocked,"[203952, 1628392]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,3.79,Missed,Hartenstein,1628392.0,,,,,,,,,,,
228,PT09M23.00S,2025-01-30T04:00:48.6Z,2,REGULAR,block,,[],1628392,,,1610612744,25,36,2025-01-30T04:00:50Z,2250000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
229,PT09M21.00S,2025-01-30T04:00:50.6Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612760,25,36,2025-01-30T04:00:52Z,2260000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:4),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,227.0,4.0,4.0,0.0,,,,,,,
230,PT09M12.00S,2025-01-30T04:00:59.1Z,2,REGULAR,turnover,bad pass,[],1641717,,,1610612760,25,36,2025-01-30T04:01:03Z,2270000,False,,,0,,C. Wallace bad pass TURNOVER (1 TO),"[1641717, 1627780]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,1.0,Payton II,1627780.0,,,
231,PT09M12.00S,2025-01-30T04:00:59.1Z,2,REGULAR,steal,,[],1627780,,,1610612744,25,36,2025-01-30T04:01:00Z,2280000,False,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
232,PT09M09.00S,2025-01-30T04:01:02.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627780,8.229303547963205,51.225490196078425,1610612744,27,36,2025-01-30T04:01:07Z,2290000,False,-6.0,25.0,1,left,G. Payton II running reverse DUNK (4 PTS),[1627780],1610612744.0,GSW,running reverse,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,2.56,Made,,,,,,,4.0,,,,,,
233,PT08M50.00S,2025-01-30T04:01:21.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630198,92.46057818659659,57.107843137254896,1610612760,27,38,2025-01-30T04:01:24Z,2300000,False,36.0,18.0,1,right,I. Joe driving Layup (5 PTS) (I. Hartenstein 4 AST),"[1630198, 1628392]",1610612760.0,OKC,driving,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,4.0,Made,,,,,,,5.0,,,,I. Hartenstein,1628392.0,4.0
235,PT08M37.00S,2025-01-30T04:01:34.5Z,2,REGULAR,3pt,Jump Shot,[],1641764,24.78646517739816,8.823529411764707,1610612744,27,38,2025-01-30T04:01:39Z,2320000,False,206.0,180.0,1,left,MISS B. Podziemski 27' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,,,27.38,Missed,,,,,,,,,,,,,
236,PT08M34.00S,2025-01-30T04:01:37.5Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612760,27,38,2025-01-30T04:01:39Z,2330000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:5),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,235.0,5.0,5.0,0.0,,,,,,,
237,PT08M23.00S,2025-01-30T04:01:48.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,83.78777923784494,48.529411764705884,1610612760,27,38,2025-01-30T04:01:53Z,2340000,False,-7.0,100.0,1,right,MISS I. Hartenstein 10' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.02,Missed,,,,,,,,,,,,,
238,PT08M20.00S,2025-01-30T04:01:51.0Z,2,REGULAR,rebound,defensive,[],1627780,,,1610612744,27,38,2025-01-30T04:01:53Z,2350000,False,,,0,,G. Payton II REBOUND (Off:0 Def:6),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,237.0,6.0,6.0,0.0,,,,,,,
239,PT08M15.00S,2025-01-30T04:01:57.3Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],201939,12.565703022339028,68.62745098039215,1610612744,27,38,2025-01-30T04:02:03Z,2360000,False,-93.0,66.0,1,left,MISS S. Curry 11' driving floating bank Shot,[201939],1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,,,11.39,Missed,,,,,,,,,,,,,
240,PT08M13.00S,2025-01-30T04:01:59.3Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612760,27,38,2025-01-30T04:02:03Z,2370000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:6),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,,,,239.0,6.0,6.0,0.0,,,,,,,
241,PT08M06.00S,2025-01-30T04:02:05.7Z,2,REGULAR,3pt,Jump Shot,[],1630198,77.08607095926413,10.53921568627451,1610612760,27,41,2025-01-30T04:02:11Z,2380000,False,-197.0,163.0,1,right,I. Joe 25' 3PT  (8 PTS) (O. Dieng 1 AST),"[1630198, 1631172]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,,,,25.59,Made,,,,,,,8.0,,,,O. Dieng,1631172.0,1.0
243,PT08M04.00S,2025-01-30T04:02:11.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,27,41,2025-01-30T04:02:11Z,2400000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,out,[],1627780,,,1610612744,27,41,2025-01-30T04:05:27Z,2410000,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,out,[],1641764,,,1610612744,27,41,2025-01-30T04:05:27Z,2420000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,out,[],201939,,,1610612744,27,41,2025-01-30T04:05:27Z,2430000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,out,[],1630598,,,1610612744,27,41,2025-01-30T04:05:27Z,2440000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,in,[],1630541,,,1610612744,27,41,2025-01-30T04:05:27Z,2450000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,in,[],1630611,,,1610612744,27,41,2025-01-30T04:05:27Z,2460000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,in,[],203471,,,1610612744,27,41,2025-01-30T04:05:27Z,2470000,False,,,0,,SUB in: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT08M04.00S,2025-01-30T04:05:00.0Z,2,REGULAR,substitution,in,[],1631114,,,1610612744,27,41,2025-01-30T04:05:27Z,2480000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M47.00S,2025-01-30T04:06:03.1Z,2,REGULAR,turnover,bad pass,[],1630611,,,1610612744,27,41,2025-01-30T04:06:07Z,2490000,False,,,0,,G. Santos bad pass TURNOVER (1 TO),"[1630611, 1641717]",1610612744.0,GSW,,,,Santos,G. Santos,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,Wallace,1641717.0,,,
253,PT07M47.00S,2025-01-30T04:06:03.1Z,2,REGULAR,steal,,[],1641717,,,1610612760,27,41,2025-01-30T04:06:05Z,2500000,False,,,0,,C. Wallace STEAL (2 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
254,PT07M44.00S,2025-01-30T04:06:06.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630198,75.90341655716163,11.029411764705882,1610612760,27,41,2025-01-30T04:06:53Z,2510000,False,-195.0,174.0,1,right,MISS I. Joe 26' running 3PT,[1630198],1610612760.0,OKC,running,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,,,,26.13,Missed,,,,,,,,,,,,,
255,PT07M40.00S,2025-01-30T04:06:10.5Z,2,REGULAR,rebound,offensive,[],1631172,,,1610612760,27,41,2025-01-30T04:06:10Z,2520000,False,,,0,,O. Dieng REBOUND (Off:1 Def:1),[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,254.0,2.0,1.0,1.0,,,,,,,
256,PT07M27.00S,2025-01-30T04:06:24.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641717,72.22404730617609,78.92156862745098,1610612760,27,41,2025-01-30T04:06:29Z,2530000,False,145.0,209.0,1,right,MISS C. Wallace 25' 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,25.38,Missed,,,,,,,,,,,,,
257,PT07M26.00S,2025-01-30T04:06:26.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,27,41,2025-01-30T04:06:26Z,2540000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,256.0,,,,,,,,,,
258,PT07M26.00S,2025-01-30T04:06:27.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612760,27,41,2025-01-30T04:06:33Z,2550000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Mid-Range,8-16 Left,1628487.0,,,,,,,,,,,,,,,,,,,
259,PT07M09.00S,2025-01-30T04:07:01.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203952,11.514454664914586,49.26470588235294,1610612744,29,41,2025-01-30T04:07:51Z,2560000,False,4.0,56.0,1,left,A. Wiggins driving floating Jump Shot (9 PTS),[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.58,Made,,,,,,,9.0,,,,,,
260,PT06M57.00S,2025-01-30T04:07:14.2Z,2,REGULAR,foul,personal,[],203471,,,1610612760,29,41,2025-01-30T04:07:22Z,2570000,False,,,0,,D. Schröder personal FOUL (1 PF),"[203471, 1631114]",1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,203593.0,1.0,0.0,Williams,1631114.0,,,,,,,,,,,,,,,
262,PT06M57.00S,2025-01-30T04:07:20.0Z,2,REGULAR,substitution,out,[],1641717,,,1610612760,29,41,2025-01-30T04:07:23Z,2590000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M57.00S,2025-01-30T04:07:20.0Z,2,REGULAR,substitution,in,[],1629652,,,1610612760,29,41,2025-01-30T04:07:23Z,2600000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M48.00S,2025-01-30T04:07:42.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631114,91.27792378449409,50.73529411764706,1610612760,29,43,2025-01-30T04:07:46Z,2610000,False,4.0,29.0,1,right,J. Williams driving DUNK (8 PTS),[1631114],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,2.97,Made,,,,,,,8.0,,,,,,
266,PT06M35.00S,2025-01-30T04:07:54.2Z,2,REGULAR,2pt,Jump Shot,[],203471,25.36136662286465,61.68428308823529,1610612744,31,43,2025-01-30T04:08:02Z,2620000,False,-58.0,186.0,1,left,D. Schröder 19' pullup Jump Shot (2 PTS),[203471],1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Mid-Range,16-24 Center,,,,,,19.49,Made,,,,,,,2.0,,,,,,
267,PT06M18.00S,2025-01-30T04:08:11.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,87.86136662286465,49.01960784313725,1610612760,31,43,2025-01-30T04:09:05Z,2630000,False,-5.0,62.0,1,right,MISS I. Hartenstein 6' floating Shot - blocked,"[1628392, 203937]",1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.18,Missed,Anderson,203937.0,,,,,,,,,,,
268,PT06M18.00S,2025-01-30T04:08:11.4Z,2,REGULAR,block,,[],203937,,,1610612760,31,43,2025-01-30T04:08:30Z,2640000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
