actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
88,PT05M42.00S,2024-11-26T00:25:44.4Z,1,REGULAR,substitution,in,[],1630191,,,1610612761,21,7,2024-11-26T00:27:29Z,860000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,
89,PT05M31.00S,2024-11-26T00:27:42.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628981,92.64126149802891,50.48636642156863,1610612761,21,9,2024-11-26T00:28:10Z,870000,False,2.0,17.0,1,right,B. Fernando cutting DUNK (2 PTS) (R. Barrett 1 AST),"[1628981, 1629628]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,1.69,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,
91,PT05M12.00S,2024-11-26T00:28:02.4Z,1,REGULAR,3pt,Jump Shot,[],1627736,34.37910643889619,52.450980392156865,1610612765,21,9,2024-11-26T00:28:51Z,890000,False,-12.0,271.0,1,left,MISS M. Beasley 27' 3PT,[1627736],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,Beasley,M. Beasley,,,27.1,Missed,,,,,,,,,,,,,,,,
92,PT05M08.00S,2024-11-26T00:28:06.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,21,9,2024-11-26T00:28:59Z,900000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,91.0,,,,,,,,,,,
94,PT04M59.00S,2024-11-26T00:28:18.5Z,1,REGULAR,2pt,Jump Shot,[],1629628,83.52496714848883,33.33333333333333,1610612761,21,11,2024-11-26T00:28:26Z,920000,False,-83.0,102.0,1,right,R. Barrett 13' driving floating Jump Shot (4 PTS) (B. Fernando 1 AST),"[1629628, 1628981]",1610612761.0,TOR,driving floating,,,,,,Mid-Range,8-16 Left,,Barrett,R. Barrett,,,13.2,Made,4.0,B. Fernando,1628981.0,1.0,,,,,,,,,,,,
95,PT04M57.00S,2024-11-26T00:28:27.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612765,21,11,2024-11-26T00:28:27Z,930000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M57.00S,2024-11-26T00:28:33.8Z,1,REGULAR,substitution,out,[],203501,,,1610612765,21,11,2024-11-26T00:30:08Z,940000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,
97,PT04M57.00S,2024-11-26T00:28:33.8Z,1,REGULAR,substitution,in,[],1641709,,,1610612765,21,11,2024-11-26T00:30:08Z,950000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,
99,PT04M43.00S,2024-11-26T00:30:27.4Z,1,REGULAR,3pt,Jump Shot,[],1631093,35.03613666228647,53.67647058823529,1610612765,24,11,2024-11-26T00:30:32Z,970000,False,-18.0,277.0,1,left,J. Ivey 27' 3PT  (5 PTS) (I. Stewart 1 AST),"[1631093, 1630191]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,Ivey,J. Ivey,,,27.74,Made,5.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,
101,PT04M21.00S,2024-11-26T00:30:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628449,85.62746386333771,47.05882352941176,1610612761,24,11,2024-11-26T00:32:13Z,990000,False,-15.0,83.0,1,right,MISS C. Boucher 8' driving floating Shot,[1628449],1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,Boucher,C. Boucher,,,8.39,Missed,,,,,,,,,,,,,,,,
102,PT04M19.00S,2024-11-26T00:30:52.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,24,11,2024-11-26T00:32:13Z,1000000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,Stewart,I. Stewart,,,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,
103,PT04M03.00S,2024-11-26T00:31:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1628981,,,1610612765,24,11,2024-11-26T00:31:19Z,1010000,False,,,0,,B. Fernando shooting personal FOUL (1 PF) (Harris 2 FT),"[1628981, 202699]",1610612761.0,TOR,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Fernando,B. Fernando,,,,,,,,,,,,,1830.0,1.0,0.0,Harris,202699.0,,,
105,PT04M03.00S,2024-11-26T00:31:35.8Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612765,25,11,2024-11-26T00:31:35Z,1030000,False,,,0,,T. Harris Free Throw 1 of 2 (3 PTS),[202699],1610612765.0,DET,,,,,,,,,,Harris,T. Harris,,,,Made,3.0,,,,,,,,,,,,,,,
106,PT04M03.00S,2024-11-26T00:31:36.7Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,25,11,2024-11-26T00:31:47Z,1040000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,,,,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,
107,PT04M03.00S,2024-11-26T00:31:36.7Z,1,REGULAR,substitution,out,[],1630534,,,1610612765,25,11,2024-11-26T00:31:47Z,1050000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,,,,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,
108,PT04M03.00S,2024-11-26T00:31:36.7Z,1,REGULAR,substitution,in,[],1631204,,,1610612765,25,11,2024-11-26T00:31:47Z,1060000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,,,,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,
109,PT04M03.00S,2024-11-26T00:31:36.7Z,1,REGULAR,substitution,in,[],1642419,,,1610612765,25,11,2024-11-26T00:31:47Z,1070000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,,,,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,
110,PT04M03.00S,2024-11-26T00:31:58.9Z,1,REGULAR,freethrow,2 of 2,[],202699,,,1610612765,26,11,2024-11-26T00:31:58Z,1080000,False,,,0,,T. Harris Free Throw 2 of 2 (4 PTS),[202699],1610612765.0,DET,,,,,,,,,,Harris,T. Harris,,,,Made,4.0,,,,,,,,,,,,,,,
111,PT03M48.00S,2024-11-26T00:32:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628981,92.19776609724047,55.88235294117647,1610612761,26,11,2024-11-26T00:33:32Z,1090000,False,29.0,21.0,1,right,MISS B. Fernando bank Shot,[1628981],1610612761.0,TOR,bank,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,3.6,Missed,,,,,,,,,,,,,,,,
112,PT03M46.00S,2024-11-26T00:32:22.5Z,1,REGULAR,rebound,offensive,[],1628981,,,1610612761,26,11,2024-11-26T00:33:32Z,1100000,False,,,0,,B. Fernando REBOUND (Off:2 Def:0),[1628981],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,,,,,,,111.0,2.0,0.0,2.0,,,,,,,,
113,PT03M46.00S,2024-11-26T00:32:27.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628981,94.40999984741211,50.0,1610612761,26,13,2024-11-26T00:33:36Z,1110000,False,0.0,0.0,1,right,B. Fernando tip Layup (4 PTS),[1628981],1610612761.0,TOR,tip,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,0.0,Made,4.0,,,,,,,,,,,,,,,
114,PT03M21.00S,2024-11-26T00:32:46.6Z,1,REGULAR,3pt,Jump Shot,[],1627736,29.77989487516426,30.637254901960787,1610612765,26,13,2024-11-26T00:34:08Z,1120000,False,97.0,227.0,1,left,MISS M. Beasley 24' pullup 3PT,[1627736],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Right Center,,Beasley,M. Beasley,,,24.71,Missed,,,,,,,,,,,,,,,,
115,PT03M19.00S,2024-11-26T00:32:48.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,26,13,2024-11-26T00:34:08Z,1130000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,Barrett,R. Barrett,,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,
116,PT03M16.00S,2024-11-26T00:32:52.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628981,90.48948751642575,47.05882352941176,1610612761,26,13,2024-11-26T00:34:59Z,1140000,False,-15.0,37.0,1,right,MISS B. Fernando running Layup - blocked,"[1628981, 1630191]",1610612761.0,TOR,running,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,3.97,Missed,,,,,,,,,,,,,,Stewart,1630191.0,
117,PT03M16.00S,2024-11-26T00:32:52.9Z,1,REGULAR,block,,[],1630191,,,1610612761,26,13,2024-11-26T00:32:55Z,1150000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,
118,PT03M15.00S,2024-11-26T00:32:53.9Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,26,13,2024-11-26T00:34:59Z,1160000,False,,,0,,C. Boucher REBOUND (Off:1 Def:0),[1628449],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,Boucher,C. Boucher,,,,,,,,,116.0,1.0,0.0,1.0,,,,,,,,
119,PT03M14.00S,2024-11-26T00:32:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628449,92.06636005256242,51.470588235294116,1610612761,26,15,2024-11-26T00:35:15Z,1170000,False,7.0,22.0,1,right,C. Boucher putback Layup (2 PTS),[1628449],1610612761.0,TOR,putback,,,,,,Restricted Area,0-8 Center,,Boucher,C. Boucher,,,2.33,Made,2.0,,,,,,,,,,,,,,,
120,PT02M51.00S,2024-11-26T00:33:16.7Z,1,REGULAR,3pt,Jump Shot,[],1627736,32.276609724047304,52.450980392156865,1610612765,26,15,2024-11-26T00:35:34Z,1180000,False,-12.0,251.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,Beasley,M. Beasley,,,25.12,Missed,,,,,,,,,,,,,,,,
121,PT02M49.00S,2024-11-26T00:33:18.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,26,15,2024-11-26T00:35:34Z,1190000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,Barrett,R. Barrett,,,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,
122,PT02M41.00S,2024-11-26T00:33:26.9Z,1,REGULAR,2pt,Jump Shot,[],1629628,78.97503285151117,52.71905637254902,1610612761,26,15,2024-11-26T00:35:56Z,1200000,False,14.0,145.0,1,right,MISS R. Barrett 14' pullup Shot,[1629628],1610612761.0,TOR,pullup,,,,,,Mid-Range,8-16 Center,,Barrett,R. Barrett,,,14.57,Missed,,,,,,,,,,,,,,,,
123,PT02M39.00S,2024-11-26T00:33:28.9Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,26,15,2024-11-26T00:35:56Z,1210000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,,,,Mid-Range,8-16 Center,,Thompson,A. Thompson,,,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,
124,PT02M35.00S,2024-11-26T00:33:34.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202699,5.995400788436268,38.23529411764706,1610612765,26,15,2024-11-26T01:01:36Z,1220000,False,59.0,4.0,1,left,MISS T. Harris running Layup - blocked,"[202699, 1642419]",1610612765.0,DET,running,,,,,,In The Paint (Non-RA),0-8 Center,,Harris,T. Harris,,,5.89,Missed,,,,,,,,,,,,,,Battle,1642419.0,
125,PT02M35.00S,2024-11-26T00:33:34.3Z,1,REGULAR,block,,[],1642419,,,1610612765,26,15,2024-11-26T00:33:37Z,1230000,False,,,0,,J. Battle BLOCK (1 BLK),[1642419],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,
126,PT02M33.00S,2024-11-26T00:33:36.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,26,15,2024-11-26T01:01:36Z,1240000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,124.0,,,,,,,,,,,
128,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,out,[],1627736,,,1610612765,26,15,2024-11-26T00:33:57Z,1260000,False,,,0,,SUB out: M. Beasley,[1627736],1610612765.0,DET,,,,,,,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,
129,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,out,[],202699,,,1610612765,26,15,2024-11-26T00:33:57Z,1270000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,
130,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,out,[],1630558,,,1610612765,26,15,2024-11-26T00:33:57Z,1280000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612761.0,TOR,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,
131,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,in,[],1631323,,,1610612765,26,15,2024-11-26T00:33:57Z,1290000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,,,,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,
132,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,in,[],1641842,,,1610612765,26,15,2024-11-26T00:33:57Z,1300000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,,,,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,
133,PT02M33.00S,2024-11-26T00:33:42.1Z,1,REGULAR,substitution,in,[],1630567,,,1610612765,26,15,2024-11-26T00:33:57Z,1310000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,
134,PT02M33.00S,2024-11-26T00:33:58.9Z,1,REGULAR,substitution,out,[],1629628,,,1610612765,26,15,2024-11-26T00:34:05Z,1320000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,
135,PT02M33.00S,2024-11-26T00:33:58.9Z,1,REGULAR,substitution,in,[],1642347,,,1610612765,26,15,2024-11-26T00:34:05Z,1330000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,
137,PT02M30.00S,2024-11-26T00:34:14.4Z,1,REGULAR,turnover,out-of-bounds,[],1631204,,,1610612765,26,15,2024-11-26T00:34:24Z,1350000,False,,,0,,M. Sasser bad pass out-of-bounds TURNOVER (1 TO),[1631204],1610612765.0,DET,bad pass,,,,,,In The Paint (Non-RA),8-16 Center,1.0,Sasser,M. Sasser,,,,,,,,,,,,,1628954.0,,,,,,,
138,PT02M22.00S,2024-11-26T00:34:28.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642419,78.26872536136662,42.15686274509804,1610612761,26,17,2024-11-26T00:39:30Z,1360000,False,-39.0,152.0,1,right,J. Battle 15' Jump Shot (2 PTS) (J. Shead 1 AST),"[1642419, 1642347]",1610612761.0,TOR,,,,,,,Mid-Range,8-16 Center,,Battle,J. Battle,,,15.68,Made,2.0,J. Shead,1642347.0,1.0,,,,,,,,,,,,
140,PT02M11.00S,2024-11-26T00:34:39.0Z,1,REGULAR,3pt,Jump Shot,[],1631204,30.305519053876477,25.49019607843137,1610612765,29,17,2024-11-26T00:34:44Z,1380000,False,123.0,232.0,1,left,M. Sasser 26' 3PT  (3 PTS) (A. Thompson 1 AST),"[1631204, 1641709]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,Sasser,M. Sasser,,,26.27,Made,3.0,A. Thompson,1641709.0,1.0,,,,,,,,,,,,
142,PT01M58.00S,2024-11-26T00:34:54.1Z,1,REGULAR,foul,personal,[],1631323,,,1610612761,29,17,2024-11-26T00:35:04Z,1400000,False,,,0,,S. Fontecchio personal FOUL (1 PF),"[1631323, 1642419]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,1628485.0,1.0,0.0,Battle,1642419.0,,,
144,PT01M51.00S,2024-11-26T00:35:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642347,90.88370565045992,55.14705882352941,1610612761,29,17,2024-11-26T00:40:41Z,1420000,False,26.0,33.0,1,right,MISS J. Shead driving Layup - blocked,"[1642347, 1630191]",1610612761.0,TOR,driving,,,,,,Restricted Area,0-8 Center,,Shead,J. Shead,,,4.2,Missed,,,,,,,,,,,,,,Stewart,1630191.0,
167,PT01M51.00S,2024-11-26T00:35:22.0Z,1,REGULAR,block,,[],1630191,,,1610612761,29,17,2024-11-26T00:40:41Z,1425000,False,,,0,,I. Stewart BLOCK (2 BLK),[1630191],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,
145,PT01M50.00S,2024-11-26T00:35:23.0Z,1,REGULAR,rebound,offensive,[],1628981,,,1610612761,29,17,2024-11-26T00:40:41Z,1430000,False,,,0,,B. Fernando REBOUND (Off:3 Def:0),[1628981],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,,,,,,,144.0,3.0,0.0,3.0,,,,,,,,
146,PT01M49.00S,2024-11-26T00:35:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628981,91.67214191852825,52.20588235294118,1610612761,29,19,2024-11-26T00:41:04Z,1440000,False,11.0,26.0,1,right,B. Fernando putback Layup (6 PTS),[1628981],1610612761.0,TOR,putback,,,,,,Restricted Area,0-8 Center,,Fernando,B. Fernando,,,2.8,Made,6.0,,,,,,,,,,,,,,,
147,PT01M34.00S,2024-11-26T00:35:40.1Z,1,REGULAR,violation,kicked ball,[],1628981,,,1610612765,29,19,2024-11-26T00:36:12Z,1450000,False,,,0,,B. Fernando kicked ball VIOLATION,[1628981],1610612761.0,TOR,,,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,1628954.0,,,,,,,
148,PT01M34.00S,2024-11-26T00:35:56.3Z,1,REGULAR,substitution,out,[],1628981,,,1610612765,29,19,2024-11-26T00:36:02Z,1460000,False,,,0,,SUB out: B. Fernando,[1628981],1610612761.0,TOR,,,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,
149,PT01M34.00S,2024-11-26T00:35:56.3Z,1,REGULAR,substitution,in,[],1642367,,,1610612765,29,19,2024-11-26T00:36:02Z,1470000,False,,,0,,SUB in: J. Mogbo,[1642367],1610612761.0,TOR,,,,,,,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,
150,PT01M28.00S,2024-11-26T00:36:16.4Z,1,REGULAR,3pt,Jump Shot,[],1641842,11.777266754270697,1.9607843137254901,1610612765,29,19,2024-11-26T00:41:42Z,1480000,False,240.0,58.0,1,left,MISS R. Holland II 24' 3PT,[1641842],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,Holland II,R. Holland II,,,24.72,Missed,,,,,,,,,,,,,,,,
151,PT01M25.00S,2024-11-26T00:36:19.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,29,19,2024-11-26T00:41:42Z,1490000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,150.0,,,,,,,,,,,
153,PT01M22.00S,2024-11-26T00:36:34.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631323,10.463206307490145,95.83333333333334,1610612765,29,19,2024-11-26T00:36:40Z,1510000,False,-229.0,46.0,1,left,MISS S. Fontecchio 3PT,[1631323],1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,,Fontecchio,S. Fontecchio,,,23.38,Missed,,,,,,,,,,,,,,,,
154,PT01M18.00S,2024-11-26T00:36:38.7Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,29,19,2024-11-26T00:36:40Z,1520000,False,,,0,,C. Boucher REBOUND (Off:1 Def:1),[1628449],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,Boucher,C. Boucher,,,,,,,,,153.0,2.0,1.0,1.0,,,,,,,,
155,PT01M09.00S,2024-11-26T00:36:49.8Z,1,REGULAR,turnover,bad pass,[],1642367,,,1610612761,29,19,2024-11-26T00:42:49Z,1530000,False,,,0,,J. Mogbo bad pass TURNOVER (1 TO),"[1642367, 1630191]",1610612761.0,TOR,,,,,,,Mid-Range,16-24 Right,1.0,Mogbo,J. Mogbo,Stewart,1630191.0,,,,,,,,,,,,,,,,,,
156,PT01M09.00S,2024-11-26T00:36:49.8Z,1,REGULAR,steal,,[],1630191,,,1610612765,29,19,2024-11-26T00:36:51Z,1540000,False,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,,,,Mid-Range,16-24 Right,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,
157,PT00M48.00S,2024-11-26T00:37:09.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630191,9.280551905387648,50.49019607843137,1610612765,29,19,2024-11-26T00:37:13Z,1550000,False,-2.0,35.0,1,left,MISS I. Stewart turnaround Hook,[1630191],1610612765.0,DET,turnaround,,,,,,Restricted Area,0-8 Center,,Stewart,I. Stewart,,,3.48,Missed,,,,,,,,,,,,,,,,
158,PT00M45.50S,2024-11-26T00:37:11.9Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,29,19,2024-11-26T00:37:13Z,1560000,False,,,0,,C. Boucher REBOUND (Off:1 Def:2),[1628449],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,Boucher,C. Boucher,,,,,,,,,157.0,3.0,2.0,1.0,,,,,,,,
159,PT00M34.80S,2024-11-26T00:37:22.9Z,1,REGULAR,3pt,Jump Shot,[],1642367,89.56964520367937,95.09803921568627,1610612761,29,22,2024-11-26T00:37:30Z,1570000,False,225.0,46.0,1,right,J. Mogbo 3PT bank (3 PTS) (S. Barnes 2 AST),"[1642367, 1630567]",1610612761.0,TOR,bank,,,,,,Right Corner 3,24+ Right,,Mogbo,J. Mogbo,,,23.0,Made,3.0,S. Barnes,1630567.0,2.0,,,,,,,,,,,,
161,PT00M11.00S,2024-11-26T00:37:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,5.075558475689881,49.26470588235294,1610612765,29,22,2024-11-26T00:38:03Z,1590000,False,4.0,-5.0,1,left,MISS A. Thompson reverse Layup - blocked,"[1641709, 1630567]",1610612765.0,DET,reverse,,,,,,Restricted Area,0-8 Center,,Thompson,A. Thompson,,,0.61,Missed,,,,,,,,,,,,,,Barnes,1630567.0,
172,PT00M11.00S,2024-11-26T00:37:49.9Z,1,REGULAR,block,,[],1630567,,,1610612765,29,22,2024-11-26T00:44:19Z,1595000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,
162,PT00M10.20S,2024-11-26T00:37:50.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,29,22,2024-11-26T00:38:03Z,1600000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,161.0,,,,,,,,,,,
164,PT00M00.00S,2024-11-26T00:38:12.1Z,1,REGULAR,3pt,Jump Shot,[],1642419,71.69842312746385,19.362745098039216,1610612761,29,22,2024-11-26T00:38:21Z,1620000,False,-153.0,214.0,1,right,MISS J. Battle 26' 3PT,[1642419],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,Battle,J. Battle,,,26.28,Missed,,,,,,,,,,,,,,,,
165,PT00M00.00S,2024-11-26T00:38:12.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,29,22,2024-11-26T00:38:21Z,1630000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,164.0,,,,,,,,,,,
166,PT00M00.00S,2024-11-26T00:38:19.6Z,1,REGULAR,period,end,[],0,,,1610612761,29,22,2024-11-26T00:38:19Z,1640000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-11-26T00:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1641709,,,1610612761,29,22,2024-11-26T00:44:13Z,1650000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-11-26T00:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1642367,,,1610612761,29,22,2024-11-26T00:44:13Z,1660000,False,,,0,,SUB out: J. Mogbo,[1642367],1610612761.0,TOR,,,,,,,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2024-11-26T00:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1627736,,,1610612761,29,22,2024-11-26T00:44:13Z,1670000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,,,,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2024-11-26T00:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1628981,,,1610612761,29,22,2024-11-26T00:44:13Z,1680000,False,,,0,,SUB in: B. Fernando,[1628981],1610612761.0,TOR,,,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2024-11-26T00:44:39.3Z,2,REGULAR,period,start,[],0,,,1610612761,29,22,2024-11-26T00:44:39Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
