actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
89,PT05M07.00S,2025-01-17T00:27:15.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1631105,91.11366622864652,45.833333333333336,1610612765,16,20,2025-01-17T00:29:05Z,820000,False,-21.0,31.0,1,right,J. Duren running alley-oop DUNK (2 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,running alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.73,Made,,,,,2.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,
91,PT05M01.00S,2025-01-17T00:27:27.0Z,1,REGULAR,turnover,out-of-bounds,[],1629614,,,1610612754,16,20,2025-01-17T00:27:40Z,840000,False,,,0,,A. Nembhard lost ball out-of-bounds TURNOVER (1 TO),[1629614],1610612754.0,IND,lost ball,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1629178.0,,,,,,
92,PT05M01.00S,2025-01-17T00:27:32.8Z,1,REGULAR,substitution,out,[],1627783,,,1610612765,16,20,2025-01-17T00:27:43Z,850000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M01.00S,2025-01-17T00:27:32.8Z,1,REGULAR,substitution,in,[],1630167,,,1610612765,16,20,2025-01-17T00:27:43Z,860000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M39.00S,2025-01-17T00:28:05.3Z,1,REGULAR,substitution,out,[],203501,,,1610612765,16,20,2025-01-17T00:28:11Z,880000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M39.00S,2025-01-17T00:28:05.3Z,1,REGULAR,substitution,in,[],1631323,,,1610612765,16,20,2025-01-17T00:28:11Z,890000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M34.00S,2025-01-17T00:28:25.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,85.98883048620237,39.4607843137255,1610612765,16,20,2025-01-17T00:29:33Z,900000,False,-53.0,79.0,1,right,MISS T. Harris 9' fadeaway Shot,[202699],1610612765.0,DET,fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Left,9.51,Missed,,,,,,,,,,,,,,,,,,
98,PT04M32.00S,2025-01-17T00:28:27.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,16,20,2025-01-17T00:29:33Z,910000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Left,,,97.0,2.0,2.0,0.0,,,,,,,,,,,,,,
99,PT04M25.00S,2025-01-17T00:28:33.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,33.6892247043364,44.36274509803921,1610612754,16,23,2025-01-17T00:28:42Z,920000,False,28.0,264.0,1,left,M. Turner 26' 3PT  (11 PTS) (A. Nembhard 3 AST),"[1626167, 1629614]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.57,Made,,,,,11.0,A. Nembhard,1629614.0,3.0,,,,,,,,,,
101,PT04M13.00S,2025-01-17T00:28:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,91.90210249671485,56.127450980392155,1610612765,16,23,2025-01-17T00:28:53Z,940000,False,31.0,24.0,1,right,MISS C. Cunningham driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,,,,,,,,,,,,,,
102,PT04M12.00S,2025-01-17T00:28:46.8Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,16,23,2025-01-17T00:28:53Z,950000,False,,,0,,J. Duren REBOUND (Off:1 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,101.0,5.0,4.0,1.0,,,,,,,,,,,,,,
103,PT04M11.00S,2025-01-17T00:28:50.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1631105,94.40999984741211,50.0,1610612765,18,23,2025-01-17T00:30:23Z,960000,False,0.0,0.0,1,right,J. Duren tip DUNK (4 PTS),[1631105],1610612765.0,DET,tip,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,,
104,PT03M52.00S,2025-01-17T00:29:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,5.699737187910642,41.666666666666664,1610612754,18,25,2025-01-17T00:29:12Z,970000,False,42.0,1.0,1,left,T. Haliburton driving Layup (2 PTS) (M. Turner 1 AST),"[1630169, 1626167]",1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,4.17,Made,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,
106,PT03M48.00S,2025-01-17T00:29:18.2Z,1,REGULAR,turnover,out-of-bounds,[],1627736,,,1610612765,18,25,2025-01-17T00:29:31Z,990000,False,,,0,,M. Beasley bad pass out-of-bounds TURNOVER (2 TO),[1627736],1610612765.0,DET,bad pass,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2.0,,,2714.0,,,,,,
107,PT03M48.00S,2025-01-17T00:29:22.8Z,1,REGULAR,substitution,out,[],1631105,,,1610612754,18,25,2025-01-17T00:29:26Z,1000000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M48.00S,2025-01-17T00:29:22.8Z,1,REGULAR,substitution,in,[],1630191,,,1610612754,18,25,2025-01-17T00:29:26Z,1010000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M29.00S,2025-01-17T00:29:47.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626167,10.561760840998687,42.40196078431373,1610612754,18,25,2025-01-17T00:29:52Z,1020000,False,38.0,47.0,1,left,MISS M. Turner 6' Hook,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,,,,,,,
110,PT03M27.00S,2025-01-17T00:29:49.7Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612765,18,25,2025-01-17T00:29:52Z,1030000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
111,PT03M16.00S,2025-01-17T00:30:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,93.87319316688567,57.84313725490196,1610612765,20,25,2025-01-17T00:31:10Z,1040000,False,39.0,5.0,1,right,T. Harris driving Layup (2 PTS) (C. Cunningham 3 AST),"[202699, 1630595]",1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.95,Made,,,,,2.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,
113,PT03M04.00S,2025-01-17T00:30:12.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,27.77595269382391,17.15686274509804,1610612754,20,25,2025-01-17T00:31:24Z,1060000,False,164.0,209.0,1,left,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
114,PT03M01.00S,2025-01-17T00:30:16.0Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,20,25,2025-01-17T00:30:16Z,1070000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,113.0,2.0,2.0,0.0,,,,,,,,,,,,,,
116,PT03M00.00S,2025-01-17T00:30:25.9Z,1,REGULAR,foul,personal,['2freethrow'],1630167,,,1610612765,20,25,2025-01-17T00:30:38Z,1090000,False,,,0,,O. Toppin shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1630167, 1630595]",1610612754.0,IND,shooting,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,,,Cunningham,1630595.0
118,PT03M00.00S,2025-01-17T00:30:45.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630595,,,1610612765,21,25,2025-01-17T00:30:45Z,1110000,False,,,0,,C. Cunningham Free Throw 1 of 2 (1 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
119,PT03M00.00S,2025-01-17T00:30:46.9Z,1,REGULAR,substitution,out,[],1630169,,,1610612765,21,25,2025-01-17T00:31:00Z,1120000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M00.00S,2025-01-17T00:30:46.9Z,1,REGULAR,substitution,out,[],1626167,,,1610612765,21,25,2025-01-17T00:31:00Z,1130000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M00.00S,2025-01-17T00:30:46.9Z,1,REGULAR,substitution,in,[],204456,,,1610612765,21,25,2025-01-17T00:31:00Z,1140000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M00.00S,2025-01-17T00:30:46.9Z,1,REGULAR,substitution,in,[],1628418,,,1610612765,21,25,2025-01-17T00:31:00Z,1150000,False,,,0,,SUB in: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M00.00S,2025-01-17T00:31:07.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630595,,,1610612765,22,25,2025-01-17T00:31:07Z,1160000,False,,,0,,C. Cunningham Free Throw 2 of 2 (2 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
124,PT02M39.00S,2025-01-17T00:31:28.7Z,1,REGULAR,2pt,Jump Shot,[],1641716,21.0742444152431,38.23529411764706,1610612754,22,27,2025-01-17T00:32:46Z,1170000,False,59.0,146.0,1,left,J. Walker 15' step back Jump Shot (4 PTS) (T. McConnell 1 AST),"[1641716, 204456]",1610612754.0,IND,step back,,,Walker,J. Walker,,,,,Mid-Range,8-16 Center,15.7,Made,,,,,4.0,T. McConnell,204456.0,1.0,,,,,,,,,,
126,PT02M20.00S,2025-01-17T00:31:50.9Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,22,27,2025-01-17T00:31:57Z,1190000,False,,,0,,C. Cunningham lost ball out-of-bounds TURNOVER (3 TO),[1630595],1610612765.0,DET,lost ball,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Right,,,,,,,,,,,3.0,,,1629178.0,,,,,,
127,PT02M20.00S,2025-01-17T00:31:54.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612754,22,27,2025-01-17T00:32:00Z,1200000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M20.00S,2025-01-17T00:31:54.8Z,1,REGULAR,substitution,in,[],1631204,,,1610612754,22,27,2025-01-17T00:32:00Z,1210000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M01.00S,2025-01-17T00:32:27.8Z,1,REGULAR,turnover,lost ball,[],1641716,,,1610612754,22,27,2025-01-17T00:32:34Z,1220000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1641716, 202699]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Harris,202699.0,,,,,,,
130,PT02M01.00S,2025-01-17T00:32:27.8Z,1,REGULAR,steal,,[],202699,,,1610612765,22,27,2025-01-17T00:32:30Z,1230000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
131,PT01M46.00S,2025-01-17T00:32:47.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631323,88.09132720105124,36.76470588235294,1610612765,22,27,2025-01-17T00:33:14Z,1240000,False,-66.0,59.0,1,right,MISS S. Fontecchio 8' pullup Shot,[1631323],1610612765.0,DET,pullup,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Left,8.89,Missed,,,,,,,,,,,,,,,,,,
132,PT01M45.00S,2025-01-17T00:32:48.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,22,27,2025-01-17T00:33:14Z,1250000,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Left,,,131.0,1.0,0.0,1.0,,,,,,,,,,,,,,
133,PT01M44.00S,2025-01-17T00:32:51.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630191,94.40999984741211,50.0,1610612765,22,27,2025-01-17T00:33:21Z,1260000,False,0.0,0.0,1,right,MISS I. Stewart tip Layup,[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
134,PT01M43.00S,2025-01-17T00:32:52.0Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,22,27,2025-01-17T00:33:21Z,1270000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,133.0,1.0,1.0,0.0,,,,,,,,,,,,,,
135,PT01M42.00S,2025-01-17T00:32:57.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612754,22,27,2025-01-17T00:32:57Z,1280000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M42.00S,2025-01-17T00:32:57.9Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,22,27,2025-01-17T00:34:24Z,1290000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M42.00S,2025-01-17T00:32:57.9Z,1,REGULAR,substitution,in,[],1641767,,,1610612754,22,27,2025-01-17T00:34:24Z,1300000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M30.00S,2025-01-17T00:34:33.0Z,1,REGULAR,2pt,Jump Shot,[],1630167,17.65768725361366,76.7156862745098,1610612754,22,27,2025-01-17T00:34:38Z,1310000,False,-134.0,113.0,1,left,MISS O. Toppin 17' pullup Shot,[1630167],1610612754.0,IND,pullup,,,Toppin,O. Toppin,,,,,Mid-Range,16-24 Left Center,17.53,Missed,,,,,,,,,,,,,,,,,,
140,PT01M26.00S,2025-01-17T00:34:36.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,22,27,2025-01-17T00:34:36Z,1320000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT01M20.00S,2025-01-17T00:34:42.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202699,93.47897503285151,57.35294117647059,1610612765,22,27,2025-01-17T00:35:30Z,1330000,False,37.0,9.0,1,right,MISS T. Harris running Layup,[202699],1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
142,PT01M20.00S,2025-01-17T00:34:42.3Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,22,27,2025-01-17T00:35:30Z,1340000,False,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,141.0,2.0,2.0,0.0,,,,,,,,,,,,,,
143,PT01M12.00S,2025-01-17T00:34:50.2Z,1,REGULAR,turnover,bad pass,[],1630167,,,1610612754,22,27,2025-01-17T00:34:54Z,1350000,False,,,0,,O. Toppin bad pass TURNOVER (1 TO),"[1630167, 1630191]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Stewart,1630191.0,,,,,,,
144,PT01M12.00S,2025-01-17T00:34:50.2Z,1,REGULAR,steal,,[],1630191,,,1610612765,22,27,2025-01-17T00:34:52Z,1360000,False,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
145,PT01M07.00S,2025-01-17T00:34:54.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,93.47897503285151,57.35294117647059,1610612765,24,27,2025-01-17T00:35:01Z,1370000,False,37.0,9.0,1,right,T. Harris running DUNK (4 PTS) (M. Sasser 1 AST),"[202699, 1631204]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.78,Made,,,,,4.0,M. Sasser,1631204.0,1.0,,,,,,,,,,
147,PT00M58.70S,2025-01-17T00:35:04.8Z,1,REGULAR,3pt,Jump Shot,[],1628418,33.03219448094612,31.372549019607845,1610612754,24,27,2025-01-17T00:35:11Z,1390000,False,93.0,258.0,1,left,MISS T. Bryant 27' 3PT,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
148,PT00M56.80S,2025-01-17T00:35:06.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,24,27,2025-01-17T00:35:20Z,1400000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,,
149,PT00M44.70S,2025-01-17T00:35:18.9Z,1,REGULAR,3pt,Jump Shot,[],1627736,76.26478318002628,12.009803921568633,1610612765,24,27,2025-01-17T00:35:23Z,1410000,False,-190.0,171.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
150,PT00M44.70S,2025-01-17T00:35:18.9Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,24,27,2025-01-17T00:35:23Z,1420000,False,,,0,,J. Walker REBOUND (Off:0 Def:2),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,149.0,2.0,2.0,0.0,,,,,,,,,,,,,,
151,PT00M26.70S,2025-01-17T00:35:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,7.802233902759525,41.91176470588235,1610612754,24,27,2025-01-17T00:35:41Z,1430000,False,40.0,21.0,1,left,MISS T. McConnell driving Layup,[204456],1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
152,PT00M24.00S,2025-01-17T00:35:39.5Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612754,24,27,2025-01-17T00:35:39Z,1440000,False,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,151.0,1.0,0.0,1.0,,,,,,,,,,,,,,
153,PT00M23.00S,2025-01-17T00:35:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628418,10.167542706964511,61.76470588235294,1610612754,24,27,2025-01-17T00:37:13Z,1450000,False,-59.0,43.0,1,left,MISS T. Bryant 7' putback Layup - blocked,"[1628418, 1630191]",1610612754.0,IND,putback,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,7.29,Missed,,,,,,,,,,,,,,,Stewart,1630191.0,,
154,PT00M23.00S,2025-01-17T00:35:40.5Z,1,REGULAR,block,,[],1630191,,,1610612754,24,27,2025-01-17T00:35:43Z,1460000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
155,PT00M20.10S,2025-01-17T00:35:43.4Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,24,27,2025-01-17T00:35:46Z,1470000,False,,,0,,M. Sasser REBOUND (Off:0 Def:1),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,In The Paint (Non-RA),0-8 Center,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,,
156,PT00M20.10S,2025-01-17T00:35:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,92.55913272010513,56.372549019607845,1610612765,26,27,2025-01-17T00:35:51Z,1480000,False,32.0,17.0,1,right,T. Harris running Layup (6 PTS) (M. Sasser 2 AST),"[202699, 1631204]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,6.0,M. Sasser,1631204.0,2.0,,,,,,,,,,
158,PT00M09.60S,2025-01-17T00:36:01.5Z,1,REGULAR,foul,personal,[],1631204,,,1610612754,26,27,2025-01-17T00:36:16Z,1500000,False,,,0,,M. Sasser personal FOUL (1 PF),"[1631204, 204456]",1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,101283.0,1.0,0.0,,,McConnell,204456.0
160,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,out,[],202699,,,1610612754,26,27,2025-01-17T00:36:29Z,1520000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,out,[],1628418,,,1610612754,26,27,2025-01-17T00:36:29Z,1530000,False,,,0,,SUB out: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,out,[],204456,,,1610612754,26,27,2025-01-17T00:36:29Z,1540000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,in,[],1641709,,,1610612754,26,27,2025-01-17T00:36:29Z,1550000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,in,[],1626167,,,1610612754,26,27,2025-01-17T00:36:29Z,1560000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M09.60S,2025-01-17T00:36:13.5Z,1,REGULAR,substitution,in,[],1630169,,,1610612754,26,27,2025-01-17T00:36:29Z,1570000,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M01.30S,2025-01-17T00:36:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,6.4881734559789805,40.44117647058824,1610612754,26,29,2025-01-17T00:38:02Z,1580000,False,48.0,8.0,1,left,T. Haliburton driving floating bank Jump Shot (4 PTS),[1630169],1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,4.85,Made,,,,,4.0,,,,,,,,,,,,,
167,PT00M00.30S,2025-01-17T00:36:53.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,42.75624178712221,52.205882352941174,1610612765,26,29,2025-01-17T00:38:16Z,1590000,False,11.0,486.0,1,right,MISS M. Beasley 48' pullup 3PT,[1627736],1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,48.57,Missed,,,,,,,,,,,,,,,,,,
168,PT00M00.10S,2025-01-17T00:36:53.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,26,29,2025-01-17T00:37:01Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,167.0,,,,,,,,,,,,,,,,,
169,PT00M00.00S,2025-01-17T00:37:00.6Z,1,REGULAR,period,end,[],0,,,1610612765,26,29,2025-01-17T00:37:00Z,1610000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-01-17T00:38:52.4Z,2,REGULAR,substitution,out,['startperiod'],1641709,,,1610612765,26,29,2025-01-17T00:39:26Z,1620000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-01-17T00:38:52.4Z,2,REGULAR,substitution,out,['startperiod'],1641716,,,1610612765,26,29,2025-01-17T00:39:26Z,1630000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2025-01-17T00:38:52.4Z,2,REGULAR,substitution,out,['startperiod'],1626167,,,1610612765,26,29,2025-01-17T00:39:26Z,1640000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
