actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
88,PT04M52.00S,2024-12-04T00:25:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,93.61038107752957,56.61764705882353,1610612749,18,19,2024-12-04T00:25:46Z,840000,False,33.0,8.0,1,right,MISS T. Prince driving Layup,[1627752],1610612749.0,MIL,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,,
89,PT04M50.00S,2024-12-04T00:25:44.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,18,19,2024-12-04T00:25:44Z,850000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,88.0,2.0,1.0,1.0,,,,,,,,,,,,,
91,PT04M39.00S,2024-12-04T00:26:17.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641748,67.59198423127464,60.294117647058826,1610612749,18,22,2024-12-04T00:26:24Z,870000,False,51.0,252.0,1,right,A. Jackson Jr. 25' 3PT  (5 PTS) (G. Antetokounmpo 2 AST),"[1641748, 203507]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Center,25.73,Made,5.0,,,,,,,,,,,,,G. Antetokounmpo,203507.0,2.0,,
93,PT04M17.00S,2024-12-04T00:26:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,13.978318002628114,52.205882352941174,1610612765,18,22,2024-12-04T00:30:19Z,890000,False,-11.0,79.0,1,left,MISS M. Beasley 7' driving floating Shot,[1627736],1610612765.0,DET,driving floating,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,7.97,Missed,,,,,,,,,,,,,,,,,,
94,PT04M16.00S,2024-12-04T00:26:39.4Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,18,22,2024-12-04T00:26:47Z,900000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,93.0,1.0,0.0,1.0,,,,,,,,,,,,,
95,PT04M15.00S,2024-12-04T00:26:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,5.831143232588701,47.30392156862745,1610612765,18,22,2024-12-04T00:30:42Z,910000,False,13.0,2.0,1,left,MISS A. Thompson putback Layup,[1641709],1610612765.0,DET,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,,,,
96,PT04M11.00S,2024-12-04T00:26:45.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,18,22,2024-12-04T00:26:49Z,920000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,
97,PT04M04.00S,2024-12-04T00:26:51.8Z,1,REGULAR,3pt,Jump Shot,[],1641748,94.66162943495401,2.4509803921568647,1610612749,18,22,2024-12-04T00:26:55Z,930000,False,-238.0,-2.0,1,right,MISS A. Jackson Jr. 3PT,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
98,PT04M02.00S,2024-12-04T00:26:53.8Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,18,22,2024-12-04T00:26:55Z,940000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Left Corner 3,24+ Left,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,,,
99,PT03M49.00S,2024-12-04T00:27:06.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,18.971747700394218,48.529411764705884,1610612765,20,22,2024-12-04T00:27:12Z,950000,False,7.0,126.0,1,left,T. Harris 12' pullup Jump Shot (4 PTS),[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,12.6,Made,4.0,,,,,,,,,,,,,,,,,
100,PT03M36.00S,2024-12-04T00:27:19.9Z,1,REGULAR,2pt,Jump Shot,[],1626171,90.8508541392904,32.1078431372549,1610612749,20,24,2024-12-04T00:27:24Z,960000,False,-89.0,34.0,1,right,B. Portis 9' Jump Shot (2 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,9.56,Made,2.0,,,,,,,,,,,,,,,,,
101,PT03M14.00S,2024-12-04T00:27:41.6Z,1,REGULAR,3pt,Jump Shot,[],1627736,27.38173455978975,84.80392156862746,1610612765,20,24,2024-12-04T00:27:46Z,970000,False,-174.0,205.0,1,left,MISS M. Beasley 26' 3PT - blocked,"[1627736, 1627752]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,,,,,,,,,,,Prince,1627752.0,,,,,
180,PT03M14.00S,2024-12-04T00:27:41.6Z,1,REGULAR,block,,[],1627752,,,1610612765,20,24,2024-12-04T00:39:15Z,975000,False,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
102,PT03M12.00S,2024-12-04T00:27:43.6Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,20,24,2024-12-04T00:27:43Z,980000,False,,,0,,A. Thompson REBOUND (Off:2 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,101.0,2.0,0.0,2.0,,,,,,,,,,,,,
103,PT03M09.00S,2024-12-04T00:27:46.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,29.747043363994734,21.813725490196077,1610612765,23,24,2024-12-04T01:02:20Z,990000,False,141.0,227.0,1,left,C. Cunningham 26' 3PT step back (5 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.73,Made,5.0,,,,,,,,,,,,,A. Thompson,1641709.0,1.0,,
105,PT02M58.00S,2024-12-04T00:27:57.6Z,1,REGULAR,2pt,Jump Shot,[],203507,94.92444152431011,30.392156862745097,1610612749,23,26,2024-12-04T00:33:50Z,1010000,False,-98.0,-5.0,1,right,G. Antetokounmpo 9' pullup Jump Shot (9 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,9.81,Made,9.0,,,,,,,,,,,,,,,,,
106,PT02M46.00S,2024-12-04T00:28:09.6Z,1,REGULAR,3pt,Jump Shot,[],202699,25.279237844940866,11.519607843137265,1610612765,23,26,2024-12-04T00:28:13Z,1020000,False,192.0,185.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,,
107,PT02M44.00S,2024-12-04T00:28:11.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,23,26,2024-12-04T00:28:13Z,1030000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,106.0,3.0,2.0,1.0,,,,,,,,,,,,,
108,PT02M37.00S,2024-12-04T00:28:20.2Z,1,REGULAR,3pt,Jump Shot,[],1641748,94.00459921156373,3.9215686274509807,1610612749,23,29,2024-12-04T00:28:25Z,1040000,False,-230.0,4.0,1,right,A. Jackson Jr. 3PT  (8 PTS) (T. Prince 1 AST),"[1641748, 1627752]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Left Corner 3,24+ Left,23.04,Made,8.0,,,,,,,,,,,,,T. Prince,1627752.0,1.0,,
110,PT02M37.00S,2024-12-04T00:28:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,23,29,2024-12-04T00:29:05Z,1060000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,23,29,2024-12-04T00:30:57Z,1070000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],202699,,,1610612765,23,29,2024-12-04T00:30:57Z,1080000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,23,29,2024-12-04T00:30:57Z,1090000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],1627752,,,1610612765,23,29,2024-12-04T00:30:57Z,1100000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],203507,,,1610612765,23,29,2024-12-04T00:30:57Z,1110000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,out,[],1641748,,,1610612765,23,29,2024-12-04T00:30:57Z,1120000,False,,,0,,SUB out: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],1641842,,,1610612765,23,29,2024-12-04T00:30:57Z,1130000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],1631323,,,1610612765,23,29,2024-12-04T00:30:57Z,1140000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],1631093,,,1610612765,23,29,2024-12-04T00:30:57Z,1150000,False,,,0,,SUB in: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],1629018,,,1610612765,23,29,2024-12-04T00:30:57Z,1160000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],1631260,,,1610612765,23,29,2024-12-04T00:30:57Z,1170000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M37.00S,2024-12-04T00:30:11.7Z,1,REGULAR,substitution,in,[],201572,,,1610612765,23,29,2024-12-04T00:30:57Z,1180000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M17.00S,2024-12-04T00:31:31.7Z,1,REGULAR,3pt,Jump Shot,[],1631093,26.461892247043366,87.74509803921569,1610612765,26,29,2024-12-04T00:35:01Z,1190000,False,-189.0,196.0,1,left,J. Ivey 27' 3PT step back (3 PTS),[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,27.22,Made,3.0,,,,,,,,,,,,,,,,,
125,PT02M00.00S,2024-12-04T00:31:48.3Z,1,REGULAR,2pt,Jump Shot,[],1626171,91.50788436268068,24.264705882352942,1610612749,26,29,2024-12-04T00:31:52Z,1200000,False,-129.0,27.0,1,right,MISS B. Portis 13' turnaround Shot,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,13.16,Missed,,,,,,,,,,,,,,,,,,
126,PT01M58.00S,2024-12-04T00:31:50.3Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,26,29,2024-12-04T00:31:52Z,1210000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Left,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,
127,PT01M55.00S,2024-12-04T00:31:54.8Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,26,29,2024-12-04T00:31:58Z,1220000,False,,,0,,J. Ivey lost ball TURNOVER (2 TO),"[1631093, 1631260]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Left,,,,,,,,,2.0,,,,,,,,,,Green,1631260.0
128,PT01M55.00S,2024-12-04T00:31:54.8Z,1,REGULAR,steal,,[],1631260,,,1610612749,26,29,2024-12-04T00:41:42Z,1230000,False,,,0,,A. Green STEAL (1 STL),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
129,PT01M49.00S,2024-12-04T00:31:59.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626171,93.61038107752957,52.94117647058824,1610612749,26,29,2024-12-04T00:36:11Z,1240000,False,15.0,8.0,1,right,MISS B. Portis running DUNK - blocked,"[1626171, 1631323]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,,,,,,,,Fontecchio,1631323.0,,,,,
130,PT01M49.00S,2024-12-04T00:31:59.4Z,1,REGULAR,block,,[],1631323,,,1610612749,26,29,2024-12-04T00:32:02Z,1250000,False,,,0,,S. Fontecchio BLOCK (1 BLK),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
131,PT01M46.00S,2024-12-04T00:32:02.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,26,29,2024-12-04T00:32:05Z,1260000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,
132,PT01M41.00S,2024-12-04T00:32:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641842,6.225361366622863,44.85294117647059,1610612765,26,29,2024-12-04T00:32:17Z,1270000,False,26.0,6.0,1,left,MISS R. Holland II running Layup,[1641842],1610612765.0,DET,running,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
133,PT01M38.00S,2024-12-04T00:32:11.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,26,29,2024-12-04T00:32:11Z,1280000,False,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,132.0,2.0,1.0,1.0,,,,,,,,,,,,,
134,PT01M38.00S,2024-12-04T00:32:11.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,5.590000152587891,50.0,1610612765,26,29,2024-12-04T00:32:11Z,1290000,False,0.0,0.0,1,left,MISS I. Stewart tip Layup,[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
135,PT01M36.00S,2024-12-04T00:32:12.4Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,26,29,2024-12-04T00:32:12Z,1300000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,
136,PT01M29.00S,2024-12-04T00:32:20.1Z,1,REGULAR,2pt,Jump Shot,[],1629018,81.91524310118265,80.14705882352942,1610612749,26,31,2024-12-04T00:32:26Z,1310000,False,151.0,117.0,1,right,G. Trent Jr. 19' pullup Jump Shot (2 PTS),[1629018],1610612749.0,MIL,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Right Center,19.11,Made,2.0,,,,,,,,,,,,,,,,,
137,PT01M10.00S,2024-12-04T00:32:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,9.379106438896187,43.13725490196079,1610612765,28,31,2024-12-04T00:32:45Z,1320000,False,34.0,36.0,1,left,M. Beasley driving floating Jump Shot (2 PTS) (I. Stewart 1 AST),"[1627736, 1630191]",1610612765.0,DET,driving floating,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,4.95,Made,2.0,,,,,,,,,,,,,I. Stewart,1630191.0,1.0,,
139,PT00M52.10S,2024-12-04T00:33:04.8Z,1,REGULAR,foul,personal,[],1631323,,,1610612749,28,31,2024-12-04T00:33:27Z,1340000,False,,,0,,S. Fontecchio personal FOUL (1 PF),"[1631323, 201572]",1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,8-16 Right,,,,,,,,1628487.0,,1.0,0.0,Lopez,201572.0,,,,,,,
141,PT00M52.10S,2024-12-04T00:33:12.2Z,1,REGULAR,substitution,out,[],1626153,,,1610612749,28,31,2024-12-04T00:33:20Z,1360000,False,,,0,,SUB out: D. Wright,[1626153],1610612749.0,MIL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M52.10S,2024-12-04T00:33:12.2Z,1,REGULAR,substitution,in,[],203081,,,1610612749,28,31,2024-12-04T00:33:20Z,1370000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M45.40S,2024-12-04T00:33:27.2Z,1,REGULAR,3pt,Jump Shot,[],203081,73.37385019710908,14.950980392156865,1610612749,28,34,2024-12-04T00:39:47Z,1380000,False,-175.0,198.0,1,right,D. Lillard 26' 3PT step back (10 PTS),[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.42,Made,10.0,,,,,,,,,,,,,,,,,
144,PT00M28.60S,2024-12-04T00:33:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627736,5.962549277266746,40.44117647058824,1610612765,28,34,2024-12-04T00:33:49Z,1390000,False,48.0,4.0,1,left,MISS M. Beasley driving Layup,[1627736],1610612765.0,DET,driving,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,,
145,PT00M26.00S,2024-12-04T00:33:47.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,28,34,2024-12-04T00:33:47Z,1400000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,
146,PT00M19.00S,2024-12-04T00:34:03.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641842,,,1610612749,28,34,2024-12-04T00:34:13Z,1410000,False,,,0,,R. Holland II personal FOUL (1 PF) (Lillard 2 FT),"[1641842, 203081]",1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Left Center,,,,,,,,202041.0,,1.0,0.0,Lillard,203081.0,,,,,,,
148,PT00M19.00S,2024-12-04T00:34:30.5Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,28,35,2024-12-04T00:34:30Z,1430000,False,,,0,,D. Lillard Free Throw 1 of 2 (11 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
151,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,out,[],1641842,,,1610612749,28,35,2024-12-04T00:35:01Z,1440000,False,,,0,,SUB out: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,out,[],1630191,,,1610612749,28,35,2024-12-04T00:35:01Z,1450000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,in,[],1630595,,,1610612749,28,35,2024-12-04T00:35:01Z,1460000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,in,[],203501,,,1610612749,28,35,2024-12-04T00:35:01Z,1470000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,out,[],201572,,,1610612749,28,35,2024-12-04T00:35:15Z,1475000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M19.00S,2024-12-04T00:34:31.3Z,1,REGULAR,substitution,in,[],1641748,,,1610612749,28,35,2024-12-04T00:35:15Z,1477500,False,,,0,,SUB in: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M19.00S,2024-12-04T00:35:02.2Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,28,36,2024-12-04T00:35:02Z,1480000,False,,,0,,D. Lillard Free Throw 2 of 2 (12 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
160,PT00M00.40S,2024-12-04T00:35:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,12.927069645203687,54.90196078431372,1610612765,28,36,2024-12-04T00:35:36Z,1510000,False,-25.0,69.0,1,left,MISS M. Beasley 7' pullup Shot,[1627736],1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,7.32,Missed,,,,,,,,,,,,,,,,,,
161,PT00M00.40S,2024-12-04T00:35:22.6Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,28,36,2024-12-04T00:35:22Z,1520000,False,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,160.0,2.0,1.0,1.0,,,,,,,,,,,,,
162,PT00M00.40S,2024-12-04T00:35:24.2Z,1,REGULAR,foul,personal,['2freethrow'],203081,,,1610612765,28,36,2024-12-04T00:35:37Z,1530000,False,,,0,,D. Lillard shooting personal FOUL (1 PF) (Ivey 2 FT),"[203081, 1631093]",1610612749.0,MIL,shooting,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202041.0,,1.0,0.0,Ivey,1631093.0,,,,,,,
164,PT00M00.40S,2024-12-04T00:35:44.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631093,,,1610612765,29,36,2024-12-04T00:35:44Z,1550000,False,,,0,,J. Ivey Free Throw 1 of 2 (4 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
165,PT00M00.40S,2024-12-04T00:35:53.2Z,1,REGULAR,substitution,out,[],203501,,,1610612765,29,36,2024-12-04T00:35:57Z,1560000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M00.40S,2024-12-04T00:35:53.2Z,1,REGULAR,substitution,in,[],1630191,,,1610612765,29,36,2024-12-04T00:35:57Z,1570000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M00.40S,2024-12-04T00:36:01.6Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,29,36,2024-12-04T00:36:15Z,1580000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M00.40S,2024-12-04T00:36:01.6Z,1,REGULAR,substitution,in,[],1641709,,,1610612765,29,36,2024-12-04T00:36:15Z,1590000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M00.40S,2024-12-04T00:35:44.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631093,,,1610612765,29,36,2024-12-04T00:36:28Z,1600000,False,,,0,,MISS J. Ivey Free Throw 2 of 2,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
170,PT00M00.40S,2024-12-04T00:35:44.5Z,1,REGULAR,rebound,offensive,[],1631323,,,1610612765,29,36,2024-12-04T00:36:28Z,1610000,False,,,0,,S. Fontecchio REBOUND (Off:1 Def:0),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,169.0,1.0,0.0,1.0,,,,,,,,,,,,,
171,PT00M00.10S,2024-12-04T00:36:24.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631323,5.590000152587891,50.0,1610612765,31,36,2024-12-04T00:36:32Z,1620000,False,0.0,0.0,1,left,S. Fontecchio tip Layup (2 PTS),[1631323],1610612765.0,DET,tip,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
