actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
82,PT03M53.00S,2024-11-10T20:24:18.5Z,1,REGULAR,2pt,Jump Shot,[],1628415,87.59855453350855,66.17647058823529,1610612745,13,16,2024-11-10T20:24:41Z,820000,False,81.0,64.0,1,right,MISS D. Brooks 10' Jump Shot - blocked,"[1628415, 202699]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,10.32,Missed,,,,,,Harris,202699.0,,,,,,,,,,,
83,PT03M53.00S,2024-11-10T20:24:18.5Z,1,REGULAR,block,,[],202699,,,1610612745,13,16,2024-11-10T20:24:21Z,830000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
84,PT03M49.00S,2024-11-10T20:24:22.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,13,16,2024-11-10T20:24:41Z,840000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,,
86,PT03M43.00S,2024-11-10T20:24:28.9Z,1,REGULAR,3pt,Jump Shot,[],203501,31.225361366622867,66.66666666666666,1610612765,13,16,2024-11-10T20:27:52Z,850000,False,-83.0,241.0,1,left,MISS T. Hardaway Jr. 25' pullup 3PT,[203501],1610612765.0,DET,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,,
87,PT03M39.00S,2024-11-10T20:24:32.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,13,16,2024-11-10T20:24:32Z,860000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:3),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,86.0,3.0,3.0,0.0,,,,,,,,,,,,,,
88,PT03M25.00S,2024-11-10T20:24:45.8Z,1,REGULAR,2pt,Layup,[],1628415,90.75229960578186,70.09803921568627,1610612745,13,16,2024-11-10T20:24:51Z,870000,False,100.0,34.0,1,right,MISS D. Brooks 10' driving Layup - blocked,"[1628415, 1630194]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,10.62,Missed,,,,,,Reed,1630194.0,,,,,,,,,,,
89,PT03M25.00S,2024-11-10T20:24:45.8Z,1,REGULAR,block,,[],1630194,,,1610612745,13,16,2024-11-10T20:24:49Z,880000,False,,,0,,P. Reed BLOCK (1 BLK),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
90,PT03M22.00S,2024-11-10T20:24:48.8Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,13,16,2024-11-10T20:24:51Z,890000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Mid-Range,8-16 Right,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,,
91,PT03M06.00S,2024-11-10T20:25:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,7.178055190538765,52.69607843137255,1610612765,13,16,2024-11-10T20:29:12Z,900000,False,-13.0,15.0,1,left,MISS T. Hardaway Jr. driving Layup,[203501],1610612765.0,DET,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
92,PT03M03.00S,2024-11-10T20:25:07.8Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,13,16,2024-11-10T20:25:50Z,910000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT02M45.00S,2024-11-10T20:25:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,83.26215505913272,41.66666666666667,1610612745,13,16,2024-11-10T20:25:32Z,920000,False,-42.0,105.0,1,right,MISS F. VanVleet 11' fadeaway Shot,[1627832],1610612745.0,HOU,fadeaway,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,11.28,Missed,,,,,,,,,,,,,,,,,,
95,PT02M42.00S,2024-11-10T20:25:28.3Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,13,16,2024-11-10T20:25:59Z,930000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,93.0,2.0,1.0,1.0,,,,,,,,,,,,,,
96,PT02M41.00S,2024-11-10T20:25:31.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641708,94.40999984741211,50.0,1610612745,13,16,2024-11-10T20:25:55Z,940000,False,0.0,0.0,1,right,MISS A. Thompson tip Layup,[1641708],1610612745.0,HOU,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
97,PT02M40.00S,2024-11-10T20:25:32.1Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,13,16,2024-11-10T20:25:55Z,950000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT02M40.00S,2024-11-10T20:25:40.3Z,1,REGULAR,foul,personal,[],1627832,,,1610612765,13,16,2024-11-10T20:25:48Z,960000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1627736]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Beasley,1627736.0,,,,,,
100,PT02M40.00S,2024-11-10T20:25:47.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,13,16,2024-11-10T20:25:47Z,980000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,out,[],203501,,,1610612765,13,16,2024-11-10T20:28:25Z,990000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,out,[],1627832,,,1610612765,13,16,2024-11-10T20:28:25Z,1000000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,out,[],1628415,,,1610612765,13,16,2024-11-10T20:28:25Z,1010000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,in,[],1631323,,,1610612765,13,16,2024-11-10T20:28:25Z,1020000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,in,[],1630224,,,1610612765,13,16,2024-11-10T20:28:25Z,1030000,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M40.00S,2024-11-10T20:26:06.3Z,1,REGULAR,substitution,in,[],1642263,,,1610612765,13,16,2024-11-10T20:28:25Z,1040000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M34.00S,2024-11-10T20:28:39.5Z,1,REGULAR,turnover,out-of-bounds,[],1627736,,,1610612765,13,16,2024-11-10T20:28:48Z,1050000,False,,,0,,M. Beasley bad pass out-of-bounds TURNOVER (1 TO),[1627736],1610612765.0,DET,bad pass,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,2530.0,,,,,1.0,,,,,
108,PT02M15.00S,2024-11-10T20:29:02.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,74.98357424441524,15.441176470588236,1610612745,13,16,2024-11-10T20:30:55Z,1060000,False,-173.0,183.0,1,right,MISS J. Green 25' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
109,PT02M13.00S,2024-11-10T20:29:04.2Z,1,REGULAR,rebound,offensive,[],1642263,,,1610612745,13,16,2024-11-10T20:29:06Z,1070000,False,,,0,,R. Sheppard REBOUND (Off:1 Def:0),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,,,108.0,1.0,0.0,1.0,,,,,,,,,,,,,,
110,PT02M08.00S,2024-11-10T20:29:09.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629111,90.22667542706965,65.44117647058823,1610612745,13,16,2024-11-10T20:29:16Z,1080000,False,77.0,39.0,1,right,MISS J. Landale 8' Jump Shot - blocked,"[1629111, 202699]",1610612745.0,HOU,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Right,8.67,Missed,,,,,,Harris,202699.0,,,,,,,,,,,
111,PT02M08.00S,2024-11-10T20:29:09.8Z,1,REGULAR,block,,[],202699,,,1610612745,13,16,2024-11-10T20:29:12Z,1090000,False,,,0,,T. Harris BLOCK (2 BLK),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
112,PT02M04.00S,2024-11-10T20:29:13.8Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,13,16,2024-11-10T20:29:16Z,1100000,False,,,0,,J. Ivey REBOUND (Off:0 Def:2),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Right,,,110.0,2.0,2.0,0.0,,,,,,,,,,,,,,
113,PT02M04.00S,2024-11-10T20:29:15.7Z,1,REGULAR,foul,personal,['2freethrow'],1641708,,,1610612765,13,16,2024-11-10T20:29:26Z,1110000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Harris 2 FT),"[1641708, 202699]",1610612745.0,HOU,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627519.0,1.0,0.0,Harris,202699.0,,,,,,
115,PT02M04.00S,2024-11-10T20:29:38.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202699,,,1610612765,14,16,2024-11-10T20:29:38Z,1130000,False,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
116,PT02M04.00S,2024-11-10T20:29:53.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202699,,,1610612765,15,16,2024-11-10T20:29:53Z,1140000,False,,,0,,T. Harris Free Throw 2 of 2 (2 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
117,PT01M45.00S,2024-11-10T20:30:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629111,90.88370565045992,52.20588235294118,1610612745,15,16,2024-11-10T20:32:00Z,1150000,False,11.0,33.0,1,right,MISS J. Landale cutting Layup,[1629111],1610612745.0,HOU,cutting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,3.5,Missed,,,,,,,,,,,,,,,,,,
118,PT01M43.00S,2024-11-10T20:30:15.6Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,15,16,2024-11-10T20:30:19Z,1160000,False,,,0,,P. Reed REBOUND (Off:0 Def:2),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,117.0,2.0,2.0,0.0,,,,,,,,,,,,,,
119,PT01M37.00S,2024-11-10T20:30:22.4Z,1,REGULAR,3pt,Jump Shot,[],1631323,6.389618922470433,3.431372549019608,1610612765,15,16,2024-11-10T20:30:28Z,1170000,False,233.0,8.0,1,left,MISS S. Fontecchio 3PT,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
120,PT01M33.00S,2024-11-10T20:30:25.8Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,15,16,2024-11-10T20:30:25Z,1180000,False,,,0,,P. Reed REBOUND (Off:1 Def:2),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Right Corner 3,24+ Right,,,119.0,3.0,2.0,1.0,,,,,,,,,,,,,,
121,PT01M32.00S,2024-11-10T20:30:27.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,32.40801576872536,41.42156862745098,1610612765,15,16,2024-11-10T20:30:31Z,1190000,False,43.0,252.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.57,Missed,,,,,,,,,,,,,,,,,,
122,PT01M29.00S,2024-11-10T20:30:30.2Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,15,16,2024-11-10T20:30:30Z,1200000,False,,,0,,P. Reed REBOUND (Off:2 Def:2),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Center,,,121.0,4.0,2.0,2.0,,,,,,,,,,,,,,
123,PT01M25.00S,2024-11-10T20:30:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,21.81340341655716,90.70925245098039,1610612765,15,16,2024-11-10T20:30:41Z,1210000,False,-204.0,153.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,,,,,,,,,,,,,,,,,
124,PT01M23.00S,2024-11-10T20:30:36.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,15,16,2024-11-10T20:30:41Z,1220000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Left Center,,,123.0,,,,,,,,,,,,,,,,,
126,PT01M14.00S,2024-11-10T20:31:01.0Z,1,REGULAR,turnover,bad pass,[],1630194,,,1610612765,15,16,2024-11-10T20:31:07Z,1240000,False,,,0,,P. Reed bad pass TURNOVER (1 TO),"[1630194, 1642263]",1610612765.0,DET,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,,,,Sheppard,1642263.0
127,PT01M14.00S,2024-11-10T20:31:01.0Z,1,REGULAR,steal,,[],1642263,,,1610612745,15,16,2024-11-10T20:34:21Z,1250000,False,,,0,,R. Sheppard STEAL (1 STL),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
128,PT01M10.00S,2024-11-10T20:31:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631106,92.9862023653088,56.127450980392155,1610612745,15,16,2024-11-10T20:31:12Z,1260000,False,31.0,13.0,1,right,MISS T. Eason running Layup,[1631106],1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
130,PT01M07.00S,2024-11-10T20:31:07.7Z,1,REGULAR,rebound,offensive,[],1642263,,,1610612745,15,16,2024-11-10T20:31:12Z,1280000,False,,,0,,R. Sheppard REBOUND (Off:2 Def:0),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Restricted Area,0-8 Center,,,128.0,2.0,0.0,2.0,,,,,,,,,,,,,,
131,PT01M05.00S,2024-11-10T20:31:10.6Z,1,REGULAR,turnover,bad pass,[],1631106,,,1610612745,15,16,2024-11-10T20:31:21Z,1290000,False,,,0,,T. Eason bad pass TURNOVER (1 TO),"[1631106, 202699]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,,,,Harris,202699.0
132,PT01M05.00S,2024-11-10T20:31:10.6Z,1,REGULAR,steal,,[],202699,,,1610612765,15,16,2024-11-10T20:31:16Z,1300000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
133,PT00M52.90S,2024-11-10T20:31:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202699,9.806176084099869,43.627450980392155,1610612765,15,16,2024-11-10T20:31:33Z,1310000,False,32.0,40.0,1,left,MISS T. Harris cutting Layup,[202699],1610612765.0,DET,cutting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,,,,,,,,,,,,,,,,,
134,PT00M50.10S,2024-11-10T20:31:25.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,15,16,2024-11-10T20:31:33Z,1320000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,133.0,3.0,3.0,0.0,,,,,,,,,,,,,,
135,PT00M47.40S,2024-11-10T20:31:28.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641708,92.59198423127464,45.34313725490196,1610612745,15,18,2024-11-10T20:31:39Z,1330000,False,-23.0,17.0,1,right,A. Thompson running DUNK (2 PTS) (J. Green 2 AST),"[1641708, 1630224]",1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,2.0,,,,,,,,,J. Green,1630224.0,2.0,,
137,PT00M35.90S,2024-11-10T20:31:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,6.964520367936925,44.59635416666667,1610612765,15,18,2024-11-10T20:31:50Z,1350000,False,27.0,13.0,1,left,MISS S. Fontecchio driving Layup,[1631323],1610612765.0,DET,driving,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,3.0,Missed,,,,,,,,,,,,,,,,,,
138,PT00M32.90S,2024-11-10T20:31:47.8Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612745,15,18,2024-11-10T20:31:50Z,1360000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,137.0,1.0,1.0,0.0,,,,,,,,,,,,,,
139,PT00M28.70S,2024-11-10T20:31:52.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,71.43561103810775,79.65686274509804,1610612745,15,18,2024-11-10T20:32:01Z,1370000,False,148.0,216.0,1,right,MISS J. Green 26' running pullup 3PT,[1630224],1610612745.0,HOU,running pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
140,PT00M26.10S,2024-11-10T20:31:54.6Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612765,15,18,2024-11-10T20:32:01Z,1380000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT00M05.60S,2024-11-10T20:32:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,5.995400788436268,52.450980392156865,1610612765,17,18,2024-11-10T20:32:19Z,1390000,False,-12.0,4.0,1,left,P. Reed reverse Layup (2 PTS) (S. Fontecchio 1 AST),"[1630194, 1631323]",1610612765.0,DET,reverse,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,1.29,Made,,,,,2.0,,,,,,,,,S. Fontecchio,1631323.0,1.0,,
143,PT00M00.90S,2024-11-10T20:32:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.1688567674113,55.63725490196079,1610612745,17,20,2024-11-10T20:37:32Z,1410000,False,28.0,2.0,1,right,J. Green driving Layup (7 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,7.0,,,,,,,,,,,,,
144,PT00M00.00S,2024-11-10T20:32:36.4Z,1,REGULAR,period,end,[],0,,,1610612765,17,20,2024-11-10T20:32:36Z,1420000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,out,['startperiod'],202699,,,1610612765,17,20,2024-11-10T20:35:22Z,1430000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,out,['startperiod'],1631093,,,1610612765,17,20,2024-11-10T20:35:22Z,1440000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,out,['startperiod'],1629111,,,1610612765,17,20,2024-11-10T20:35:22Z,1450000,False,,,0,,SUB out: J. Landale,[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,in,['startperiod'],1641842,,,1610612765,17,20,2024-11-10T20:35:22Z,1460000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,in,['startperiod'],1630595,,,1610612765,17,20,2024-11-10T20:35:22Z,1470000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-11-10T20:32:59.8Z,2,REGULAR,substitution,in,['startperiod'],1630578,,,1610612765,17,20,2024-11-10T20:35:22Z,1480000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-11-10T20:35:21.0Z,2,REGULAR,period,start,[],0,,,1610612745,17,20,2024-11-10T20:35:23Z,1490000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M47.00S,2024-11-10T20:35:32.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,90.48948751642575,51.470588235294116,1610612745,17,22,2024-11-10T20:35:40Z,1500000,False,7.0,37.0,1,right,A. Thompson driving Layup (4 PTS),[1641708],1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,4.0,,,,,,,,,,,,,
153,PT11M32.00S,2024-11-10T20:35:48.1Z,2,REGULAR,turnover,bad pass,[],1627736,,,1610612765,17,22,2024-11-10T20:38:17Z,1510000,False,,,0,,M. Beasley bad pass TURNOVER (2 TO),"[1627736, 1630224]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,2.0,,,,Green,1630224.0
154,PT11M32.00S,2024-11-10T20:35:48.1Z,2,REGULAR,steal,,[],1630224,,,1610612745,17,22,2024-11-10T20:35:50Z,1520000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
155,PT11M25.00S,2024-11-10T20:35:55.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630578,91.01511169513797,46.81372549019608,1610612745,17,24,2024-11-10T20:36:02Z,1530000,False,-16.0,32.0,1,right,A. Sengun cutting DUNK (8 PTS) (J. Green 3 AST),"[1630578, 1630224]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.57,Made,,,,,8.0,,,,,,,,,J. Green,1630224.0,3.0,,
158,PT11M04.00S,2024-11-10T20:36:30.4Z,2,REGULAR,3pt,Jump Shot,[],1630595,32.40801576872536,58.08823529411765,1610612765,20,24,2024-11-10T20:39:42Z,1560000,False,-40.0,252.0,1,left,C. Cunningham 25' 3PT pullup (5 PTS) (M. Beasley 1 AST),"[1630595, 1627736]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,25.53,Made,,,,,5.0,,,,,,,,,M. Beasley,1627736.0,1.0,,
159,PT10M42.00S,2024-11-10T20:36:53.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,89.70105124835742,51.225490196078425,1610612745,20,26,2024-11-10T20:37:04Z,1570000,False,6.0,44.0,1,right,A. Sengun driving finger roll Layup (10 PTS),[1630578],1610612745.0,HOU,driving finger roll,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,,,,,10.0,,,,,,,,,,,,,
160,PT10M42.00S,2024-11-10T20:36:58.4Z,2,REGULAR,foul,personal,['1freethrow'],1630194,,,1610612745,20,26,2024-11-10T20:37:06Z,1580000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Sengun 1 FT),"[1630194, 1630578]",1610612765.0,DET,shooting,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Sengun,1630578.0,,,,,,
162,PT10M42.00S,2024-11-10T20:37:30.9Z,2,REGULAR,freethrow,1 of 1,[],1630578,,,1610612745,20,26,2024-11-10T20:37:33Z,1600000,False,,,0,,MISS A. Sengun Free Throw 1 of 1,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT10M39.00S,2024-11-10T20:37:33.9Z,2,REGULAR,rebound,defensive,[],1630595,,,1610612765,20,26,2024-11-10T20:37:33Z,1610000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,
