actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
179,PT09M05.00S,2025-01-09T01:40:27.9Z,2,REGULAR,substitution,in,[],1642274,,,1610612757,28,46,2025-01-09T01:40:40Z,1740000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M57.00S,2025-01-09T01:40:47.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.38042049934296,50.245098039215684,1610612757,28,48,2025-01-09T01:40:53Z,1750000,False,1.0,10.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (D. Banton 2 AST),"[1629057, 1630625]",1610612757.0,POR,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,D. Banton,1630625.0,2.0,,,,,,,,,,,,,,
182,PT08M33.00S,2025-01-09T01:41:12.1Z,2,REGULAR,turnover,lost ball,[],1641722,,,1610612740,28,48,2025-01-09T01:41:17Z,1770000,False,,,0,,J. Hawkins lost ball TURNOVER (1 TO),"[1641722, 1631200]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,,,,Murray,1631200.0,,
183,PT08M33.00S,2025-01-09T01:41:12.1Z,2,REGULAR,steal,,[],1631200,,,1610612757,28,48,2025-01-09T01:41:14Z,1780000,False,,,0,,K. Murray STEAL (1 STL),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
184,PT08M30.00S,2025-01-09T01:41:16.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631200,93.38042049934296,50.73529411764706,1610612757,28,50,2025-01-09T01:41:21Z,1790000,False,4.0,10.0,1,right,K. Murray running DUNK (4 PTS),[1631200],1610612757.0,POR,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.04,Made,4.0,,,,,,,,,,,,,,,,,
185,PT08M30.00S,2025-01-09T01:41:21.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,28,50,2025-01-09T01:41:21Z,1800000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M30.00S,2025-01-09T01:43:46.1Z,2,REGULAR,substitution,out,[],1629014,,,1610612740,28,50,2025-01-09T01:44:01Z,1810000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M30.00S,2025-01-09T01:43:46.1Z,2,REGULAR,substitution,in,[],1630703,,,1610612740,28,50,2025-01-09T01:44:01Z,1820000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M23.00S,2025-01-09T01:44:20.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,12.697109067017081,46.07843137254902,1610612740,30,50,2025-01-09T01:44:29Z,1830000,False,20.0,67.0,1,left,J. Alvarado 6' driving floating Jump Shot (6 PTS),[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,6.0,,,,,,,,,,,,,,,,,
189,PT08M23.00S,2025-01-09T01:44:25.7Z,2,REGULAR,foul,personal,['1freethrow'],1630703,,,1610612740,30,50,2025-01-09T01:44:34Z,1840000,False,,,0,,S. Henderson shooting personal FOUL (1 PF) (Alvarado 1 FT),"[1630703, 1630631]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,1.0,0.0,Alvarado,1630631.0,,,,,,,,,
191,PT08M23.00S,2025-01-09T01:44:50.2Z,2,REGULAR,freethrow,1 of 1,[],1630631,,,1610612740,30,50,2025-01-09T01:44:50Z,1860000,False,,,0,,MISS J. Alvarado Free Throw 1 of 1,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
192,PT08M21.00S,2025-01-09T01:44:52.2Z,2,REGULAR,rebound,defensive,[],1630625,,,1610612757,30,50,2025-01-09T01:44:53Z,1870000,False,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,191.0,,1.0,1.0,0.0,,,,
193,PT08M03.00S,2025-01-09T01:45:10.1Z,2,REGULAR,2pt,Jump Shot,[],1631101,78.26872536136662,47.549019607843135,1610612757,30,52,2025-01-09T01:45:15Z,1880000,False,-12.0,152.0,1,right,S. Sharpe 15' fadeaway Jump Shot (18 PTS),[1631101],1610612757.0,POR,fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Center,15.23,Made,18.0,,,,,,,,,,,,,,,,,
194,PT07M48.00S,2025-01-09T01:45:24.8Z,2,REGULAR,3pt,Jump Shot,[],1630527,26.757555847568987,79.41176470588235,1610612740,30,52,2025-01-09T01:45:52Z,1890000,False,-147.0,199.0,1,left,MISS B. Boston 24' step back 3PT - blocked,"[1630527, 1629057]",1610612740.0,NOP,step back,,,Boston,B. Boston,,,,,Above the Break 3,24+ Left Center,24.75,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
195,PT07M48.00S,2025-01-09T01:45:24.8Z,2,REGULAR,block,,[],1629057,,,1610612740,30,52,2025-01-09T01:45:27Z,1900000,False,,,0,,R. Williams III BLOCK (3 BLK),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
196,PT07M47.00S,2025-01-09T01:45:25.8Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612757,30,52,2025-01-09T01:46:00Z,1910000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,194.0,,1.0,1.0,0.0,,,,
197,PT07M43.00S,2025-01-09T01:45:31.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631200,94.30026281208936,52.20588235294118,1610612757,30,54,2025-01-09T01:45:37Z,1920000,False,11.0,1.0,1,right,K. Murray running DUNK (6 PTS) (S. Sharpe 1 AST),"[1631200, 1631101]",1610612757.0,POR,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.11,Made,6.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,,,
199,PT07M27.00S,2025-01-09T01:45:46.2Z,2,REGULAR,turnover,bad pass,[],1630527,,,1610612740,30,54,2025-01-09T01:45:51Z,1940000,False,,,0,,B. Boston bad pass TURNOVER (1 TO),"[1630527, 1631101]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,,,,Sharpe,1631101.0,,
200,PT07M27.00S,2025-01-09T01:45:46.2Z,2,REGULAR,steal,,[],1631101,,,1610612757,30,54,2025-01-09T01:45:49Z,1950000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
201,PT07M21.00S,2025-01-09T01:45:52.7Z,2,REGULAR,turnover,bad pass,[],1631101,,,1610612757,30,54,2025-01-09T01:45:58Z,1960000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1630631]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,,Alvarado,1630631.0,,
202,PT07M21.00S,2025-01-09T01:45:52.7Z,2,REGULAR,steal,,[],1630631,,,1610612740,30,54,2025-01-09T01:45:56Z,1970000,False,,,0,,J. Alvarado STEAL (2 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
203,PT07M15.00S,2025-01-09T01:45:58.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641722,34.247700394218136,41.66666666666667,1610612740,30,54,2025-01-09T01:46:02Z,1980000,False,42.0,269.0,1,left,MISS J. Hawkins 27' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Center,27.26,Missed,,,,,,,,,,,,,,,,,,
204,PT07M12.00S,2025-01-09T01:46:01.1Z,2,REGULAR,rebound,offensive,[],1630527,,,1610612740,30,54,2025-01-09T01:46:01Z,1990000,False,,,0,,B. Boston REBOUND (Off:2 Def:0),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,203.0,,2.0,0.0,2.0,,,,
206,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,out,[],1630527,,,1610612740,30,54,2025-01-09T01:46:29Z,2010000,False,,,0,,SUB out: B. Boston,[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612740,30,54,2025-01-09T01:46:29Z,2020000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,out,[],1631200,,,1610612740,30,54,2025-01-09T01:46:29Z,2030000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612740,30,54,2025-01-09T01:46:29Z,2040000,False,,,0,,SUB out: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,in,[],203468,,,1610612740,30,54,2025-01-09T01:46:29Z,2050000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,in,[],1627749,,,1610612740,30,54,2025-01-09T01:46:29Z,2060000,False,,,0,,SUB in: D. Murray,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,in,[],1629028,,,1610612740,30,54,2025-01-09T01:46:29Z,2070000,False,,,0,,SUB in: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M03.00S,2025-01-09T01:46:16.7Z,2,REGULAR,substitution,in,[],1630166,,,1610612740,30,54,2025-01-09T01:46:29Z,2080000,False,,,0,,SUB in: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M59.00S,2025-01-09T01:46:41.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627749,17.69053876478318,94.11764705882352,1610612740,30,54,2025-01-09T01:47:05Z,2090000,False,-221.0,114.0,1,left,MISS D. Murray 24' pullup 3PT,[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,24.82,Missed,,,,,,,,,,,,,,,,,,
215,PT06M57.00S,2025-01-09T01:46:43.7Z,2,REGULAR,rebound,offensive,[],1629750,,,1610612740,30,54,2025-01-09T01:46:45Z,2100000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,214.0,,1.0,0.0,1.0,,,,
216,PT06M56.00S,2025-01-09T01:46:45.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629750,6.258212877792378,46.568627450980394,1610612740,30,54,2025-01-09T01:47:47Z,2110000,False,17.0,6.0,1,left,MISS J. Green putback Layup - blocked,"[1629750, 1630166]",1610612740.0,NOP,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.83,Missed,,,,,,,,,,,,,,,,,Avdija,1630166.0
217,PT06M56.00S,2025-01-09T01:46:45.9Z,2,REGULAR,block,,[],1630166,,,1610612740,30,54,2025-01-09T01:46:48Z,2120000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
218,PT06M55.00S,2025-01-09T01:46:46.9Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612757,30,54,2025-01-09T01:47:47Z,2130000,False,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,216.0,,3.0,2.0,1.0,,,,
219,PT06M47.00S,2025-01-09T01:46:53.5Z,2,REGULAR,3pt,Jump Shot,[],1631101,75.77201051248358,12.009803921568627,1610612757,30,54,2025-01-09T01:47:00Z,2140000,False,-190.0,175.0,1,right,MISS S. Sharpe 25' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,25.84,Missed,,,,,,,,,,,,,,,,,,
220,PT06M44.00S,2025-01-09T01:46:56.8Z,2,REGULAR,rebound,offensive,[],1630166,,,1610612757,30,54,2025-01-09T01:46:56Z,2150000,False,,,0,,D. Avdija REBOUND (Off:2 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,219.0,,4.0,2.0,2.0,,,,
221,PT06M38.00S,2025-01-09T01:47:02.9Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630166,91.40932982917214,49.50980392156863,1610612757,30,56,2025-01-09T01:48:10Z,2160000,False,-2.0,28.0,1,right,D. Avdija driving Hook (9 PTS),[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.84,Made,9.0,,,,,,,,,,,,,,,,,
222,PT06M24.00S,2025-01-09T01:47:16.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,8.492115637319317,46.81372549019608,1610612740,32,56,2025-01-09T01:47:26Z,2170000,False,16.0,27.0,1,left,D. Murray driving finger roll Layup (8 PTS),[1627749],1610612740.0,NOP,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,3.16,Made,8.0,,,,,,,,,,,,,,,,,
223,PT06M12.00S,2025-01-09T01:47:32.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630625,93.11760840998686,46.32352941176471,1610612757,32,58,2025-01-09T01:48:36Z,2180000,False,-18.0,12.0,1,right,D. Banton driving finger roll Layup (2 PTS) (D. Ayton 2 AST),"[1630625, 1629028]",1610612757.0,POR,driving finger roll,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,D. Ayton,1629028.0,2.0,,,,,,,,,,,,,,
225,PT06M12.00S,2025-01-09T01:47:35.0Z,2,REGULAR,violation,defensive goaltending,[],1642274,,,1610612757,32,58,2025-01-09T01:47:43Z,2200000,False,,,0,,Y. Missi defensive goaltending VIOLATION,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,202041.0,,,,,,,,,,,,,
226,PT06M04.00S,2025-01-09T01:47:49.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,5.995400788436268,52.69607843137255,1610612740,34,58,2025-01-09T01:48:48Z,2210000,False,-13.0,4.0,1,left,D. Murray driving finger roll Layup (10 PTS),[1627749],1610612740.0,NOP,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.41,Made,10.0,,,,,,,,,,,,,,,,,
227,PT06M03.00S,2025-01-09T01:47:56.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,34,58,2025-01-09T01:47:56Z,2220000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,out,[],1641722,,,1610612757,34,58,2025-01-09T01:50:24Z,2230000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,out,[],1630625,,,1610612757,34,58,2025-01-09T01:50:24Z,2240000,False,,,0,,SUB out: D. Banton,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,out,[],1631101,,,1610612757,34,58,2025-01-09T01:50:24Z,2250000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,in,[],1630529,,,1610612757,34,58,2025-01-09T01:50:24Z,2260000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,in,[],1641739,,,1610612757,34,58,2025-01-09T01:50:24Z,2270000,False,,,0,,SUB in: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M03.00S,2025-01-09T01:50:08.8Z,2,REGULAR,substitution,in,[],1629014,,,1610612757,34,58,2025-01-09T01:50:24Z,2280000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT05M45.00S,2025-01-09T01:50:59.1Z,2,REGULAR,turnover,bad pass,[],1630703,,,1610612757,34,58,2025-01-09T01:51:03Z,2290000,False,,,0,,S. Henderson bad pass TURNOVER (3 TO),"[1630703, 1630529]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,3.0,,,,Jones,1630529.0,,
235,PT05M45.00S,2025-01-09T01:50:59.1Z,2,REGULAR,steal,,[],1630529,,,1610612740,34,58,2025-01-09T01:51:02Z,2300000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
236,PT05M41.00S,2025-01-09T01:51:05.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630529,6.1268068331143235,52.69607843137255,1610612740,34,58,2025-01-09T01:52:24Z,2310000,False,-13.0,5.0,1,left,MISS H. Jones running Layup - blocked,"[1630529, 1641739]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.44,Missed,,,,,,,,,,,,,,,,,Camara,1641739.0
237,PT05M41.00S,2025-01-09T01:51:05.0Z,2,REGULAR,block,,[],1641739,,,1610612740,34,58,2025-01-09T01:51:08Z,2320000,False,,,0,,T. Camara BLOCK (1 BLK),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
238,PT05M39.00S,2025-01-09T01:51:07.0Z,2,REGULAR,rebound,defensive,[],1641739,,,1610612757,34,58,2025-01-09T01:52:24Z,2330000,False,,,0,,T. Camara REBOUND (Off:0 Def:2),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,236.0,,2.0,2.0,0.0,,,,
239,PT05M32.00S,2025-01-09T01:51:12.3Z,2,REGULAR,3pt,Jump Shot,[],1629014,75.90341655716163,9.313725490196079,1610612757,34,58,2025-01-09T01:51:20Z,2340000,False,-203.0,174.0,1,right,MISS A. Simons 26' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
240,PT05M29.00S,2025-01-09T01:51:15.3Z,2,REGULAR,rebound,defensive,[],1627749,,,1610612740,34,58,2025-01-09T01:52:46Z,2350000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,239.0,,1.0,1.0,0.0,,,,
241,PT05M18.00S,2025-01-09T01:51:26.7Z,2,REGULAR,turnover,bad pass,[],1627749,,,1610612740,34,58,2025-01-09T01:51:31Z,2360000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1641739]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,1.0,,,,Camara,1641739.0,,
242,PT05M18.00S,2025-01-09T01:51:26.7Z,2,REGULAR,steal,,[],1641739,,,1610612757,34,58,2025-01-09T01:51:29Z,2370000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
245,PT04M56.00S,2025-01-09T01:52:01.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,83.26215505913272,95.58823529411765,1610612757,34,61,2025-01-09T01:52:06Z,2400000,False,228.0,105.0,1,right,D. Avdija 25' 3PT  (12 PTS) (T. Camara 4 AST),"[1630166, 1641739]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.08,Made,12.0,T. Camara,1641739.0,4.0,,,,,,,,,,,,,,
247,PT04M34.00S,2025-01-09T01:52:23.3Z,2,REGULAR,3pt,Jump Shot,[],1627749,11.12023653088042,95.83333333333334,1610612740,37,61,2025-01-09T01:52:29Z,2420000,False,-229.0,52.0,1,left,D. Murray 3PT  (13 PTS) (Y. Missi 3 AST),"[1627749, 1642274]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,23.5,Made,13.0,Y. Missi,1642274.0,3.0,,,,,,,,,,,,,,
249,PT04M15.00S,2025-01-09T01:52:42.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,94.1688567674113,50.245098039215684,1610612757,37,63,2025-01-09T01:52:47Z,2440000,False,1.0,2.0,1,right,D. Ayton alley-oop DUNK (5 PTS) (S. Henderson 3 AST),"[1629028, 1630703]",1610612757.0,POR,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.26,Made,5.0,S. Henderson,1630703.0,3.0,,,,,,,,,,,,,,
251,PT03M59.00S,2025-01-09T01:52:59.3Z,2,REGULAR,3pt,Jump Shot,[],1629750,15.982260183968464,4.166666666666666,1610612740,37,63,2025-01-09T01:53:03Z,2460000,False,229.0,98.0,1,left,MISS J. Green 24' 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
252,PT03M56.00S,2025-01-09T01:53:02.3Z,2,REGULAR,rebound,defensive,[],1641739,,,1610612757,37,63,2025-01-09T01:53:03Z,2470000,False,,,0,,T. Camara REBOUND (Off:0 Def:3),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,251.0,,3.0,3.0,0.0,,,,
253,PT03M41.00S,2025-01-09T01:53:17.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,92.06636005256242,57.107843137254896,1610612757,37,63,2025-01-09T01:54:29Z,2480000,False,36.0,22.0,1,right,MISS D. Avdija finger roll Layup - blocked,"[1630166, 1642274]",1610612757.0,POR,finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,Missi,1642274.0
254,PT03M41.00S,2025-01-09T01:53:17.5Z,2,REGULAR,block,,[],1642274,,,1610612757,37,63,2025-01-09T01:53:20Z,2490000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
255,PT03M39.00S,2025-01-09T01:53:19.5Z,2,REGULAR,rebound,defensive,[],1642274,,,1610612740,37,63,2025-01-09T01:54:29Z,2500000,False,,,0,,Y. Missi REBOUND (Off:1 Def:3),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,253.0,,4.0,3.0,1.0,,,,
256,PT03M32.00S,2025-01-09T01:53:25.7Z,2,REGULAR,turnover,lost ball,[],203468,,,1610612740,37,63,2025-01-09T01:53:31Z,2510000,False,,,0,,C. McCollum lost ball TURNOVER (2 TO),"[203468, 1641739]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2.0,,,,Camara,1641739.0,,
257,PT03M32.00S,2025-01-09T01:53:25.7Z,2,REGULAR,steal,,[],1641739,,,1610612757,37,63,2025-01-09T01:53:28Z,2520000,False,,,0,,T. Camara STEAL (2 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
312,PT03M32.00S,2025-01-09T01:53:31.8Z,2,REGULAR,turnover,lost ball,[],1629028,,,1610612757,37,63,2025-01-09T02:14:47Z,2535000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1627749]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Murray,1627749.0,,
313,PT03M32.00S,2025-01-09T01:53:31.8Z,2,REGULAR,steal,,[],1627749,,,1610612740,37,63,2025-01-09T02:14:47Z,2542500,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
260,PT03M20.00S,2025-01-09T01:53:37.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203468,18.347568988173457,65.93137254901961,1610612740,37,63,2025-01-09T02:14:47Z,2550000,False,-80.0,120.0,1,left,MISS C. McCollum 14' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,14.41,Missed,,,,,,,,,,,,,,,,,,
