actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
83,PT04M38.00S,2024-12-27T01:23:54.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,18,23,2024-12-27T01:25:21Z,820000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,
84,PT04M33.00S,2024-12-27T01:23:58.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,94.82588699080158,47.05882352941176,1610612745,18,25,2024-12-27T01:26:37Z,830000,False,-15.0,-4.0,1,right,J. Green running alley-oop Layup (13 PTS) (F. VanVleet 2 AST),"[1630224, 1627832]",1610612745.0,HOU,running alley-oop,,,,,,Restricted Area,0-8 Center,1.52,Made,Green,J. Green,,,,,,,13.0,F. VanVleet,1627832.0,2.0,,,,,,,,
86,PT04M32.00S,2024-12-27T01:24:04.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612740,18,25,2024-12-27T01:24:04Z,850000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M22.00S,2024-12-27T01:27:04.3Z,1,REGULAR,2pt,Jump Shot,[],1641722,16.770696452036795,33.82352941176471,1610612740,20,25,2024-12-27T01:27:08Z,860000,False,81.0,105.0,1,left,J. Hawkins 13' pullup Jump Shot (2 PTS) (C. McCollum 2 AST),"[1641722, 203468]",1610612740.0,NOP,pullup,,,,,,Mid-Range,8-16 Right,13.26,Made,Hawkins,J. Hawkins,,,,,,,2.0,C. McCollum,203468.0,2.0,,,,,,,,
90,PT04M06.00S,2024-12-27T01:27:22.2Z,1,REGULAR,turnover,out-of-bounds,[],203500,,,1610612745,20,25,2024-12-27T01:27:30Z,880000,False,,,0,,S. Adams bad pass out-of-bounds TURNOVER (1 TO),[203500],1610612745.0,HOU,bad pass,,,,,,In The Paint (Non-RA),8-16 Center,,,Adams,S. Adams,,,,,,,,,,,201638.0,,,,,1.0,,
91,PT04M06.00S,2024-12-27T01:27:27.4Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,20,25,2024-12-27T01:27:37Z,890000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,,,,,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,
92,PT04M06.00S,2024-12-27T01:27:27.4Z,1,REGULAR,substitution,in,[],1629750,,,1610612740,20,25,2024-12-27T01:27:37Z,900000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
93,PT03M56.00S,2024-12-27T01:27:54.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641722,32.40801576872536,56.61764705882353,1610612740,20,25,2024-12-27T01:28:28Z,910000,False,-33.0,252.0,1,left,MISS J. Hawkins 25' 3PT,[1641722],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,25.43,Missed,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
94,PT03M53.00S,2024-12-27T01:27:57.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612745,20,25,2024-12-27T01:28:39Z,920000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Adams,S. Adams,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,
96,PT03M51.00S,2024-12-27T01:28:05.4Z,1,REGULAR,foul,personal,[],1629750,,,1610612745,20,25,2024-12-27T01:28:12Z,940000,False,,,0,,J. Green personal FOUL (1 PF),"[1629750, 203500]",1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,,,,,,,,,101283.0,1.0,0.0,Adams,203500.0,,,
98,PT03M51.00S,2024-12-27T01:28:11.5Z,1,REGULAR,substitution,out,[],1631095,,,1610612745,20,25,2024-12-27T01:28:15Z,960000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
99,PT03M51.00S,2024-12-27T01:28:11.5Z,1,REGULAR,substitution,in,[],1641715,,,1610612745,20,25,2024-12-27T01:28:15Z,970000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612745.0,HOU,,,,,,,,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,
100,PT03M40.00S,2024-12-27T01:28:31.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,77.87450722733246,9.558823529411764,1610612745,20,25,2024-12-27T01:29:01Z,980000,False,-202.0,155.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.51,Missed,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
101,PT03M36.00S,2024-12-27T01:28:35.3Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,20,25,2024-12-27T01:29:11Z,990000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,Murphy III,T. Murphy III,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,
102,PT03M32.00S,2024-12-27T01:28:38.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641722,6.1268068331143235,96.07843137254902,1610612740,20,25,2024-12-27T01:29:31Z,1000000,False,-230.0,5.0,1,left,MISS J. Hawkins running 3PT,[1641722],1610612740.0,NOP,running,,,,,,Left Corner 3,24+ Left,23.05,Missed,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
103,PT03M30.00S,2024-12-27T01:28:40.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,20,25,2024-12-27T01:29:31Z,1010000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,Green,J. Green,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,
104,PT03M24.00S,2024-12-27T01:28:48.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,90.27595269382391,61.661305147058826,1610612745,20,25,2024-12-27T01:30:14Z,1020000,False,58.0,39.0,1,right,MISS J. Green 7' running Layup,[1630224],1610612745.0,HOU,running,,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
105,PT03M21.00S,2024-12-27T01:28:51.0Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,20,25,2024-12-27T01:30:14Z,1030000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Green,J. Green,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,
106,PT03M10.00S,2024-12-27T01:29:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,11.12023653088042,59.068627450980394,1610612740,20,25,2024-12-27T01:31:05Z,1040000,False,-45.0,52.0,1,left,MISS C. McCollum 6' driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.9,Missed,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
107,PT03M08.00S,2024-12-27T01:29:03.5Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,20,25,2024-12-27T01:31:05Z,1050000,False,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Tate,J. Tate,,,106.0,1.0,1.0,0.0,,,,,,,,,,,,
108,PT03M02.00S,2024-12-27T01:29:08.7Z,1,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612745,20,25,2024-12-27T01:29:21Z,1060000,False,,,0,,J. Green shooting personal FOUL (2 PF) (Tate 2 FT),"[1629750, 1630256]",1610612740.0,NOP,shooting,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,,,,,,,,,201638.0,2.0,0.0,Tate,1630256.0,,,
110,PT03M02.00S,2024-12-27T01:29:37.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630256,,,1610612745,20,26,2024-12-27T01:32:28Z,1080000,False,,,0,,J. Tate Free Throw 1 of 2 (1 PTS),[1630256],1610612745.0,HOU,,,,,,,,,,Made,Tate,J. Tate,,,,,,,1.0,,,,,,,,,,,
115,PT03M02.00S,2024-12-27T01:29:37.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630256,,,1610612745,20,27,2024-12-27T01:32:28Z,1085000,False,,,0,,J. Tate Free Throw 2 of 2 (2 PTS),[1630256],1610612745.0,HOU,,,,,,,,,,Made,Tate,J. Tate,,,,,,,2.0,,,,,,,,,,,
111,PT03M02.00S,2024-12-27T01:29:40.4Z,1,REGULAR,substitution,out,[],203468,,,1610612740,20,27,2024-12-27T01:32:28Z,1090000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,,,,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
112,PT03M02.00S,2024-12-27T01:29:40.4Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,20,27,2024-12-27T01:32:28Z,1100000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,,,,,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
113,PT03M02.00S,2024-12-27T01:29:40.4Z,1,REGULAR,substitution,in,[],1627749,,,1610612740,20,27,2024-12-27T01:32:28Z,1110000,False,,,0,,SUB in: D. Murray,[1627749],1610612740.0,NOP,,,,,,,,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,
114,PT03M02.00S,2024-12-27T01:29:40.4Z,1,REGULAR,substitution,in,[],1628464,,,1610612740,20,27,2024-12-27T01:32:28Z,1120000,False,,,0,,SUB in: D. Theis,[1628464],1610612740.0,NOP,,,,,,,,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,
116,PT02M40.00S,2024-12-27T01:30:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641722,12.565703022339028,38.970588235294116,1610612740,20,27,2024-12-27T01:32:18Z,1125000,False,55.0,66.0,1,left,MISS J. Hawkins 8' driving floating Shot,[1641722],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,8.57,Missed,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
117,PT02M38.00S,2024-12-27T01:30:26.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,20,27,2024-12-27T01:32:18Z,1127500,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,116.0,,,,,,,,,,,,,,,
118,PT02M38.00S,2024-12-27T01:30:28.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,20,27,2024-12-27T01:30:34Z,1160000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,201638.0,,,,,,,
119,PT02M29.00S,2024-12-27T01:30:51.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627832,85.15111695137976,44.829963235294116,1610612745,20,27,2024-12-27T01:32:51Z,1170000,False,-26.0,87.0,1,right,MISS F. VanVleet 9' pullup Shot,[1627832],1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Center,9.09,Missed,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
120,PT02M27.00S,2024-12-27T01:30:53.6Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,20,27,2024-12-27T01:32:59Z,1180000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,VanVleet,F. VanVleet,,,119.0,1.0,0.0,1.0,,,,,,,,,,,,
121,PT02M25.00S,2024-12-27T01:30:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627832,90.14454664914587,49.11917892156863,1610612745,20,27,2024-12-27T01:33:51Z,1190000,False,-4.0,40.0,1,right,MISS F. VanVleet driving Layup,[1627832],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,4.03,Missed,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
122,PT02M22.00S,2024-12-27T01:30:58.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,20,27,2024-12-27T01:33:51Z,1200000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,,,,121.0,,,,,,,,,,,,,,,
124,PT02M06.00S,2024-12-27T01:31:20.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,28.203022339027594,74.50980392156863,1610612740,20,27,2024-12-27T01:34:10Z,1220000,False,-123.0,213.0,1,left,MISS D. Murray 24' pullup 3PT,[1627749],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Left Center,24.54,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
125,PT02M04.00S,2024-12-27T01:31:22.1Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612740,20,27,2024-12-27T01:34:10Z,1230000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,Green,J. Green,,,124.0,2.0,1.0,1.0,,,,,,,,,,,,
126,PT02M03.00S,2024-12-27T01:31:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,6.915243101182654,48.529411764705884,1610612740,20,27,2024-12-27T01:34:58Z,1240000,False,7.0,13.0,1,left,MISS J. Green putback Layup,[1629750],1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,1.45,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
127,PT02M02.00S,2024-12-27T01:31:26.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612745,20,27,2024-12-27T01:35:04Z,1250000,False,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Adams,S. Adams,,,126.0,2.0,2.0,0.0,,,,,,,,,,,,
128,PT01M56.00S,2024-12-27T01:31:32.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630530,,,1610612745,20,27,2024-12-27T01:31:59Z,1260000,False,,,0,,T. Murphy III personal FOUL (1 PF) (VanVleet 2 FT),"[1630530, 1627832]",1610612740.0,NOP,,,,,,,Mid-Range,8-16 Left,,,Murphy III,T. Murphy III,,,,,,,,,,,101283.0,1.0,0.0,VanVleet,1627832.0,,,
130,PT01M56.00S,2024-12-27T01:32:09.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612745,20,28,2024-12-27T01:35:27Z,1280000,False,,,0,,F. VanVleet Free Throw 1 of 2 (9 PTS),[1627832],1610612745.0,HOU,,,,,,,,,,Made,VanVleet,F. VanVleet,,,,,,,9.0,,,,,,,,,,,
131,PT01M56.00S,2024-12-27T01:32:09.9Z,1,REGULAR,substitution,out,[],203500,,,1610612745,20,28,2024-12-27T01:32:14Z,1290000,False,,,0,,SUB out: S. Adams,[203500],1610612745.0,HOU,,,,,,,,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,
132,PT01M56.00S,2024-12-27T01:32:09.9Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,20,28,2024-12-27T01:32:14Z,1300000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
133,PT01M56.00S,2024-12-27T01:32:09.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612745,20,29,2024-12-27T01:35:27Z,1310000,False,,,0,,F. VanVleet Free Throw 2 of 2 (10 PTS),[1627832],1610612745.0,HOU,,,,,,,,,,Made,VanVleet,F. VanVleet,,,,,,,10.0,,,,,,,,,,,
134,PT01M46.00S,2024-12-27T01:32:41.3Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612740,20,29,2024-12-27T01:32:48Z,1320000,False,,,0,,D. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627749],1610612740.0,NOP,bad pass,,,,,,Above the Break 3,24+ Center,,,Murray,D. Murray,,,,,,,,,,,1628485.0,,,,,1.0,,
135,PT01M46.00S,2024-12-27T01:32:45.5Z,1,REGULAR,substitution,out,[],1627832,,,1610612745,20,29,2024-12-27T01:32:49Z,1330000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,,,,,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
136,PT01M46.00S,2024-12-27T01:32:45.5Z,1,REGULAR,substitution,in,[],1641708,,,1610612745,20,29,2024-12-27T01:32:49Z,1340000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
137,PT01M34.00S,2024-12-27T01:33:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641715,87.86136662286465,3.6764705882352944,1610612745,20,32,2024-12-27T01:33:13Z,1350000,False,-232.0,62.0,1,right,C. Whitmore 3PT  (3 PTS) (J. Green 1 AST),"[1641715, 1630224]",1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,23.97,Made,Whitmore,C. Whitmore,,,,,,,3.0,J. Green,1630224.0,1.0,,,,,,,,
139,PT01M21.00S,2024-12-27T01:33:21.5Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612740,20,32,2024-12-27T01:33:26Z,1370000,False,,,0,,D. Murray bad pass out-of-bounds TURNOVER (2 TO),[1627749],1610612740.0,NOP,bad pass,,,,,,In The Paint (Non-RA),8-16 Center,,,Murray,D. Murray,,,,,,,,,,,201638.0,,,,,2.0,,
140,PT01M09.00S,2024-12-27T01:33:42.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,89.96386333771353,48.28431372549019,1610612745,20,32,2024-12-27T01:36:41Z,1380000,False,-9.0,42.0,1,right,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,,,,Restricted Area,0-8 Center,4.27,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
141,PT01M07.00S,2024-12-27T01:33:44.1Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,20,32,2024-12-27T01:36:41Z,1390000,False,,,0,,A. Sengun REBOUND (Off:2 Def:4),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,140.0,6.0,4.0,2.0,,,,,,,,,,,,
142,PT01M05.00S,2024-12-27T01:33:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630578,95.0886990801577,45.83333333333333,1610612745,20,34,2024-12-27T01:36:53Z,1400000,False,-21.0,-6.0,1,right,A. Sengun putback Layup (4 PTS),[1630578],1610612745.0,HOU,putback,,,,,,Restricted Area,0-8 Center,2.17,Made,Sengun,A. Sengun,,,,,,,4.0,,,,,,,,,,,
143,PT00M54.80S,2024-12-27T01:33:55.6Z,1,REGULAR,3pt,Jump Shot,[],1641722,20.213945466491452,9.290747549019613,1610612740,20,34,2024-12-27T01:37:11Z,1410000,False,204.0,138.0,1,left,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,24.56,Missed,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
144,PT00M52.70S,2024-12-27T01:33:57.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,20,34,2024-12-27T01:37:11Z,1420000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Green,J. Green,,,143.0,2.0,2.0,0.0,,,,,,,,,,,,
145,PT00M46.20S,2024-12-27T01:34:02.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,68.28186596583443,52.94117647058824,1610612745,20,37,2024-12-27T01:37:31Z,1430000,False,15.0,246.0,1,right,J. Green 24' 3PT running pullup (16 PTS),[1630224],1610612745.0,HOU,running pullup,,,,,,Above the Break 3,24+ Center,24.61,Made,Green,J. Green,,,,,,,16.0,,,,,,,,,,,
146,PT00M35.50S,2024-12-27T01:34:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,11.146928383705642,62.17064950980392,1610612740,20,37,2024-12-27T01:37:59Z,1440000,False,-61.0,52.0,1,left,MISS T. Murphy III 8' driving floating bank Shot,[1630530],1610612740.0,NOP,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,8.03,Missed,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
147,PT00M34.30S,2024-12-27T01:34:21.2Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612740,20,37,2024-12-27T01:37:59Z,1450000,False,,,0,,J. Green REBOUND (Off:2 Def:1),[1629750],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Green,J. Green,,,146.0,3.0,1.0,2.0,,,,,,,,,,,,
148,PT00M33.50S,2024-12-27T01:34:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,10.621304204993436,50.09957107843137,1610612740,22,37,2024-12-27T01:38:16Z,1460000,False,0.0,47.0,1,left,J. Green tip Layup (2 PTS),[1629750],1610612740.0,NOP,tip,,,,,,In The Paint (Non-RA),0-8 Center,4.73,Made,Green,J. Green,,,,,,,2.0,,,,,,,,,,,
149,PT00M11.50S,2024-12-27T01:34:44.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,88.25558475689881,50.98039215686274,1610612745,22,39,2024-12-27T01:34:49Z,1470000,False,5.0,58.0,1,right,J. Tate driving floating Jump Shot (4 PTS) (J. Green 2 AST),"[1630256, 1630224]",1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.81,Made,Tate,J. Tate,,,,,,,4.0,J. Green,1630224.0,2.0,,,,,,,,
152,PT00M03.70S,2024-12-27T01:35:05.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612740,22,39,2024-12-27T01:35:11Z,1500000,False,,,0,,SUB out: J. Green,[1629750],1610612740.0,NOP,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
153,PT00M03.70S,2024-12-27T01:35:05.6Z,1,REGULAR,substitution,in,[],1630527,,,1610612740,22,39,2024-12-27T01:35:11Z,1510000,False,,,0,,SUB in: B. Boston,[1630527],1610612740.0,NOP,,,,,,,,,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,
154,PT00M02.20S,2024-12-27T01:35:26.0Z,1,REGULAR,foul,personal,[],1630256,,,1610612740,22,39,2024-12-27T01:35:35Z,1520000,False,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1630530]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Tate,J. Tate,,,,,,,,,,,1628485.0,1.0,0.0,Murphy III,1630530.0,,,
156,PT00M02.20S,2024-12-27T01:35:35.7Z,1,REGULAR,substitution,out,[],1630578,,,1610612740,22,39,2024-12-27T01:35:37Z,1540000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
157,PT00M02.20S,2024-12-27T01:35:35.7Z,1,REGULAR,substitution,in,[],1627832,,,1610612740,22,39,2024-12-27T01:35:37Z,1550000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,,,,,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
158,PT00M00.50S,2024-12-27T01:35:51.2Z,1,REGULAR,turnover,lost ball,[],1630530,,,1610612740,22,39,2024-12-27T01:38:54Z,1560000,False,,,0,,T. Murphy III lost ball TURNOVER (1 TO),"[1630530, 1630224]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,1.0,Green,1630224.0
159,PT00M00.50S,2024-12-27T01:35:51.2Z,1,REGULAR,steal,,[],1630224,,,1610612745,22,39,2024-12-27T01:35:53Z,1570000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Green,J. Green,,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2024-12-27T01:35:56.4Z,1,REGULAR,period,end,[],0,,,1610612745,22,39,2024-12-27T01:35:56Z,1580000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,out,['startperiod'],1630530,,,1610612745,22,39,2024-12-27T01:38:32Z,1590000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,out,['startperiod'],1630224,,,1610612745,22,39,2024-12-27T01:38:32Z,1600000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,out,['startperiod'],1630256,,,1610612745,22,39,2024-12-27T01:38:32Z,1610000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612745,22,39,2024-12-27T01:38:32Z,1620000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,,,,,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,in,['startperiod'],1630529,,,1610612745,22,39,2024-12-27T01:38:32Z,1630000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,,,,,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,in,['startperiod'],1631095,,,1610612745,22,39,2024-12-27T01:38:32Z,1640000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,in,['startperiod'],1630578,,,1610612745,22,39,2024-12-27T01:38:32Z,1650000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
