actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
84,PT04M42.00S,2024-11-16T01:24:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,19.793035479632064,37.745098039215684,1610612743,13,18,2024-11-16T01:24:39Z,840000,False,61.0,134.0,1,left,MISS J. Murray 14' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,14.7,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
85,PT04M37.00S,2024-11-16T01:24:35.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,18,2024-11-16T01:24:39Z,850000,False,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,
86,PT04M29.00S,2024-11-16T01:24:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631288,86.02168199737189,43.38235294117647,1610612740,13,18,2024-11-16T01:26:45Z,860000,False,-33.0,79.0,1,right,MISS J. Cain 8' driving floating Shot,[1631288],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.56,Missed,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
87,PT04M26.00S,2024-11-16T01:24:46.7Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,13,18,2024-11-16T01:24:51Z,870000,False,,,0,,P. Watson REBOUND (Off:0 Def:4),[1631212],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Watson,P. Watson,,,,,,,86.0,4.0,4.0,0.0,,,,,,,,
88,PT04M17.00S,2024-11-16T01:24:55.5Z,1,REGULAR,3pt,Jump Shot,[],1631212,27.677398160315374,22.058823529411764,1610612743,13,18,2024-11-16T01:27:19Z,880000,False,140.0,208.0,1,left,MISS P. Watson 25' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.03,Missed,,Watson,P. Watson,,,,,,,,,,,,,,,,,,
89,PT04M14.00S,2024-11-16T01:24:58.5Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,13,18,2024-11-16T01:27:19Z,890000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Missi,Y. Missi,,,,,,,88.0,2.0,2.0,0.0,,,,,,,,
91,PT04M06.00S,2024-11-16T01:25:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,66.70499342969777,46.07843137254902,1610612740,16,18,2024-11-16T01:25:14Z,900000,False,-20.0,260.0,1,right,B. Ingram 26' 3PT pullup (5 PTS),[1627742],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Center,26.12,Made,5.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
92,PT03M49.00S,2024-11-16T01:25:23.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,12.697109067017081,80.88235294117648,1610612743,16,18,2024-11-16T02:10:22Z,910000,False,-154.0,67.0,1,left,MISS J. Murray 16' step back Shot,[1627750],1610612743.0,DEN,step back,,,,,,Mid-Range,16-24 Left,16.83,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
93,PT03M46.00S,2024-11-16T01:25:26.2Z,1,REGULAR,rebound,defensive,[],1631288,,,1610612740,16,18,2024-11-16T01:25:29Z,920000,False,,,0,,J. Cain REBOUND (Off:0 Def:1),[1631288],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left,,,,Cain,J. Cain,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,
94,PT03M35.00S,2024-11-16T01:25:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,90.3580814717477,48.77450980392157,1610612740,18,18,2024-11-16T01:25:44Z,930000,False,-6.0,38.0,1,right,B. Ingram driving finger roll Layup (7 PTS),[1627742],1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,3.86,Made,7.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
96,PT03M27.00S,2024-11-16T01:25:51.2Z,1,REGULAR,substitution,out,[],1630527,,,1610612743,18,18,2024-11-16T01:25:54Z,950000,False,,,0,,SUB out: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,,,,,,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
97,PT03M27.00S,2024-11-16T01:25:51.2Z,1,REGULAR,substitution,in,[],1629669,,,1610612743,18,18,2024-11-16T01:25:54Z,960000,False,,,0,,SUB in: J. Nowell,[1629669],1610612740.0,NOP,,,,,,,,,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
98,PT03M13.00S,2024-11-16T01:26:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631212,17.0335085413929,43.13725490196079,1610612743,18,18,2024-11-16T01:26:22Z,970000,False,34.0,108.0,1,left,MISS P. Watson 11' fadeaway Shot,[1631212],1610612743.0,DEN,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,11.29,Missed,,Watson,P. Watson,,,,,,,,,,,,,,,,,,
99,PT03M10.00S,2024-11-16T01:26:19.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,18,18,2024-11-16T01:26:22Z,980000,False,,,0,,Y. Missi REBOUND (Off:0 Def:3),[1642274],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Missi,Y. Missi,,,,,,,98.0,3.0,3.0,0.0,,,,,,,,
100,PT03M03.00S,2024-11-16T01:26:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,92.06636005256242,53.431372549019606,1610612740,18,18,2024-11-16T01:26:35Z,990000,False,17.0,22.0,1,right,MISS B. Ingram running Layup,[1627742],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,2.8,Missed,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
101,PT03M03.00S,2024-11-16T01:26:26.5Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612740,18,18,2024-11-16T01:26:35Z,1000000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,100.0,1.0,0.0,1.0,,,,,,,,
102,PT03M03.00S,2024-11-16T01:26:30.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630526,94.40999984741211,50.0,1610612740,20,18,2024-11-16T01:28:55Z,1010000,False,0.0,0.0,1,right,J. Robinson-Earl tip DUNK (2 PTS),[1630526],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
103,PT03M03.00S,2024-11-16T01:26:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,20,18,2024-11-16T01:26:34Z,1020000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,out,[],1642274,,,1610612743,20,18,2024-11-16T01:29:15Z,1030000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,,,,,,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
105,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,out,[],1631212,,,1610612743,20,18,2024-11-16T01:29:15Z,1040000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,
106,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,20,18,2024-11-16T01:29:15Z,1050000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
107,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,in,[],1641998,,,1610612743,20,18,2024-11-16T01:29:15Z,1060000,False,,,0,,SUB in: T. Jemison III,[1641998],1610612740.0,NOP,,,,,,,,,,,,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
108,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,in,[],201566,,,1610612743,20,18,2024-11-16T01:29:15Z,1070000,False,,,0,,SUB in: R. Westbrook,[201566],1610612743.0,DEN,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
109,PT03M03.00S,2024-11-16T01:28:22.8Z,1,REGULAR,substitution,in,[],1629008,,,1610612743,20,18,2024-11-16T01:29:15Z,1080000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
110,PT02M47.00S,2024-11-16T01:29:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,10.988830486202366,53.92156862745098,1610612743,20,18,2024-11-16T01:29:45Z,1090000,False,-20.0,51.0,1,left,MISS M. Porter Jr. fadeaway Shot,[1629008],1610612743.0,DEN,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,5.44,Missed,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
111,PT02M45.00S,2024-11-16T01:29:43.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,20,18,2024-11-16T01:29:43Z,1100000,False,,,0,,B. Ingram REBOUND (Off:0 Def:4),[1627742],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Ingram,B. Ingram,,,,,,,110.0,4.0,4.0,0.0,,,,,,,,
112,PT02M33.00S,2024-11-16T01:29:54.8Z,1,REGULAR,3pt,Jump Shot,[],1631288,94.95729303547962,96.56862745098039,1610612740,20,18,2024-11-16T01:29:59Z,1110000,False,233.0,-5.0,1,right,MISS J. Cain 3PT,[1631288],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,23.29,Missed,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
113,PT02M30.00S,2024-11-16T01:29:57.8Z,1,REGULAR,rebound,offensive,[],1641998,,,1610612740,20,18,2024-11-16T01:29:59Z,1120000,False,,,0,,T. Jemison III REBOUND (Off:1 Def:0),[1641998],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,,Jemison III,T. Jemison III,,,,,,,112.0,1.0,0.0,1.0,,,,,,,,
114,PT02M28.00S,2024-11-16T01:30:00.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,70.38436268068331,18.137254901960784,1610612740,23,18,2024-11-16T01:30:31Z,1130000,False,-159.0,226.0,1,right,B. Ingram 27' 3PT pullup (10 PTS) (T. Jemison III 1 AST),"[1627742, 1641998]",1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Left Center,27.64,Made,10.0,Ingram,B. Ingram,T. Jemison III,1641998.0,1.0,,,,,,,,,,,,,,,
116,PT02M18.00S,2024-11-16T01:30:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.389618922470433,52.94117647058824,1610612743,23,20,2024-11-16T01:30:19Z,1150000,False,-15.0,8.0,1,left,R. Westbrook driving Layup (2 PTS),[201566],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
239,PT01M58.00S,2024-11-16T01:30:23.5Z,1,REGULAR,turnover,bad pass,[],1631288,,,1610612740,23,20,2024-11-16T01:52:04Z,1170000,False,,,0,,J. Cain bad pass TURNOVER (1 TO),"[1631288, 1630192]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Cain,J. Cain,,,,1.0,Nnaji,1630192.0,,,,,,,,,,,,
240,PT01M58.00S,2024-11-16T01:30:23.5Z,1,REGULAR,steal,,[],1630192,,,1610612743,23,20,2024-11-16T01:52:04Z,1180000,False,,,0,,Z. Nnaji STEAL (1 STL),[1630192],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,
120,PT01M53.00S,2024-11-16T01:30:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1631128,6.915243101182654,49.01960784313725,1610612743,23,22,2024-11-16T01:52:04Z,1190000,False,5.0,13.0,1,left,C. Braun running Layup (4 PTS) (R. Westbrook 1 AST),"[1631128, 201566]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,1.34,Made,4.0,Braun,C. Braun,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
122,PT01M42.00S,2024-11-16T01:30:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630526,80.6340341655716,52.20588235294118,1610612740,23,22,2024-11-16T01:30:50Z,1210000,False,11.0,130.0,1,right,MISS J. Robinson-Earl 13' Jump Shot,[1630526],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,13.0,Missed,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
123,PT01M40.00S,2024-11-16T01:30:48.0Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,23,22,2024-11-16T01:30:50Z,1220000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Braun,C. Braun,,,,,,,122.0,2.0,2.0,0.0,,,,,,,,
124,PT01M23.00S,2024-11-16T01:31:04.7Z,1,REGULAR,3pt,Jump Shot,[],1630192,6.258212877792378,96.32352941176471,1610612743,23,22,2024-11-16T01:31:09Z,1230000,False,-232.0,6.0,1,left,MISS Z. Nnaji 3PT,[1630192],1610612743.0,DEN,,,,,,,Left Corner 3,24+ Left,23.17,Missed,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,
125,PT01M20.00S,2024-11-16T01:31:07.7Z,1,REGULAR,rebound,defensive,[],1629669,,,1610612740,23,22,2024-11-16T01:31:09Z,1240000,False,,,0,,J. Nowell REBOUND (Off:0 Def:1),[1629669],1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,,,,Nowell,J. Nowell,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,
126,PT01M17.00S,2024-11-16T01:31:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630526,92.06636005256242,54.166666666666664,1610612740,25,22,2024-11-16T01:31:21Z,1250000,False,21.0,22.0,1,right,J. Robinson-Earl running finger roll Layup (4 PTS) (J. Nowell 1 AST),"[1630526, 1629669]",1610612740.0,NOP,running finger roll,,,,,,Restricted Area,0-8 Center,3.03,Made,4.0,Robinson-Earl,J. Robinson-Earl,J. Nowell,1629669.0,1.0,,,,,,,,,,,,,,,
128,PT01M05.00S,2024-11-16T01:31:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,12.959921156373195,34.55882352941176,1610612743,25,22,2024-11-16T01:31:27Z,1270000,False,77.0,69.0,1,left,MISS R. Westbrook 10' fadeaway Shot,[201566],1610612743.0,DEN,fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,10.37,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
129,PT01M03.00S,2024-11-16T01:31:24.7Z,1,REGULAR,rebound,defensive,[],1641998,,,1610612740,25,22,2024-11-16T01:31:27Z,1280000,False,,,0,,T. Jemison III REBOUND (Off:1 Def:1),[1641998],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Jemison III,T. Jemison III,,,,,,,128.0,2.0,1.0,1.0,,,,,,,,
130,PT00M50.80S,2024-11-16T01:31:37.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.7496714848883,19.607843137254903,1610612740,28,22,2024-11-16T01:31:42Z,1290000,False,-152.0,204.0,1,right,B. Ingram 25' 3PT  (13 PTS) (J. Cain 1 AST),"[1627742, 1631288]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,25.42,Made,13.0,Ingram,B. Ingram,J. Cain,1631288.0,1.0,,,,,,,,,,,,,,,
132,PT00M46.80S,2024-11-16T01:31:51.4Z,1,REGULAR,foul,personal,[],1631288,,,1610612743,28,22,2024-11-16T01:31:58Z,1310000,False,,,0,,J. Cain personal FOUL (1 PF),"[1631288, 201566]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Cain,J. Cain,,,,,,,,,,,202049.0,1.0,0.0,Westbrook,201566.0,,,
134,PT00M46.80S,2024-11-16T01:31:57.3Z,1,REGULAR,substitution,out,[],1630526,,,1610612743,28,22,2024-11-16T01:32:09Z,1330000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
135,PT00M46.80S,2024-11-16T01:31:57.3Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,28,22,2024-11-16T01:32:09Z,1340000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,
136,PT00M46.80S,2024-11-16T01:31:57.3Z,1,REGULAR,substitution,in,[],1630530,,,1610612743,28,22,2024-11-16T01:32:09Z,1350000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
137,PT00M46.80S,2024-11-16T01:31:57.3Z,1,REGULAR,substitution,in,[],1641816,,,1610612743,28,22,2024-11-16T01:32:09Z,1360000,False,,,0,,SUB in: H. Tyson,[1641816],1610612743.0,DEN,,,,,,,,,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,
138,PT00M32.40S,2024-11-16T01:32:31.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630192,9.674770039421814,41.42156862745098,1610612743,28,22,2024-11-16T01:32:44Z,1370000,False,43.0,38.0,1,left,MISS Z. Nnaji cutting DUNK - blocked,"[1630192, 1641998]",1610612743.0,DEN,cutting,,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,Jemison III,1641998.0,
139,PT00M32.40S,2024-11-16T01:32:31.9Z,1,REGULAR,block,,[],1641998,,,1610612743,28,22,2024-11-16T01:32:37Z,1380000,False,,,0,,T. Jemison III BLOCK (1 BLK),[1641998],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
140,PT00M26.70S,2024-11-16T01:32:37.6Z,1,REGULAR,rebound,defensive,[],1631288,,,1610612740,28,22,2024-11-16T01:33:34Z,1390000,False,,,0,,J. Cain REBOUND (Off:0 Def:2),[1631288],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Cain,J. Cain,,,,,,,138.0,2.0,2.0,0.0,,,,,,,,
141,PT00M24.60S,2024-11-16T01:32:44.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641998,93.64323258869908,50.98039215686274,1610612740,30,22,2024-11-16T01:32:56Z,1400000,False,5.0,7.0,1,right,T. Jemison III running DUNK (2 PTS) (J. Cain 2 AST),"[1641998, 1631288]",1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,Jemison III,T. Jemison III,J. Cain,1631288.0,2.0,,,,,,,,,,,,,,,
143,PT00M05.80S,2024-11-16T01:33:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.4163107752956705,45.56525735294118,1610612743,30,22,2024-11-16T02:20:04Z,1420000,False,22.0,8.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,2.35,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
144,PT00M03.80S,2024-11-16T01:33:05.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,30,22,2024-11-16T01:33:07Z,1430000,False,,,0,,B. Ingram REBOUND (Off:0 Def:5),[1627742],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Ingram,B. Ingram,,,,,,,143.0,5.0,5.0,0.0,,,,,,,,
145,PT00M02.40S,2024-11-16T01:33:07.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630530,92.85479632063075,49.754901960784316,1610612740,32,22,2024-11-16T01:34:49Z,1440000,False,-1.0,15.0,1,right,T. Murphy III running Layup (6 PTS) (B. Ingram 2 AST),"[1630530, 1627742]",1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,1.47,Made,6.0,Murphy III,T. Murphy III,B. Ingram,1627742.0,2.0,,,,,,,,,,,,,,,
149,PT00M00.00S,2024-11-16T01:34:56.2Z,1,REGULAR,period,end,[],0,,,1610612743,32,22,2024-11-16T01:34:56Z,1480000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,out,['startperiod'],1627742,,,1610612743,32,22,2024-11-16T01:35:51Z,1490000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,,,,,,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,out,['startperiod'],1630192,,,1610612743,32,22,2024-11-16T01:35:51Z,1500000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,,,,,,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,out,['startperiod'],1641816,,,1610612743,32,22,2024-11-16T01:35:51Z,1510000,False,,,0,,SUB out: H. Tyson,[1641816],1610612743.0,DEN,,,,,,,,,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,in,['startperiod'],1630526,,,1610612743,32,22,2024-11-16T01:35:51Z,1520000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,in,['startperiod'],1627750,,,1610612743,32,22,2024-11-16T01:35:51Z,1530000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2024-11-16T01:35:31.9Z,2,REGULAR,substitution,in,['startperiod'],203967,,,1610612743,32,22,2024-11-16T01:35:51Z,1540000,False,,,0,,SUB in: D. Šarić,[203967],1610612743.0,DEN,,,,,,,,,,,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2024-11-16T01:36:04.6Z,2,REGULAR,period,start,[],0,,,1610612740,32,22,2024-11-16T01:36:04Z,1550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M35.00S,2024-11-16T01:36:28.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,87.72996057818659,43.627450980392155,1610612740,32,22,2024-11-16T01:38:34Z,1560000,False,-32.0,63.0,1,right,MISS J. Nowell 7' driving floating Shot,[1629669],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.04,Missed,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
158,PT11M34.00S,2024-11-16T01:36:29.0Z,2,REGULAR,rebound,defensive,[],1631124,,,1610612743,32,22,2024-11-16T01:36:33Z,1570000,False,,,0,,J. Strawther REBOUND (Off:0 Def:1),[1631124],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Strawther,J. Strawther,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,
159,PT11M30.00S,2024-11-16T01:36:36.5Z,2,REGULAR,turnover,traveling,[],1631124,,,1610612743,32,22,2024-11-16T01:36:51Z,1580000,False,,,0,,J. Strawther traveling TURNOVER (1 TO),[1631124],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Strawther,J. Strawther,,,,1.0,,,,,,,202049.0,,,,,,,
160,PT11M22.00S,2024-11-16T01:36:56.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,70.77858081471747,18.38235294117647,1610612740,32,22,2024-11-16T01:37:01Z,1590000,False,-158.0,222.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,27.27,Missed,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
161,PT11M18.00S,2024-11-16T01:37:00.0Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,32,22,2024-11-16T01:37:01Z,1600000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:2),[1629008],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,160.0,3.0,2.0,1.0,,,,,,,,
163,PT11M02.00S,2024-11-16T01:37:30.4Z,2,REGULAR,3pt,Jump Shot,[],1629008,8.360709592641262,3.6764705882352944,1610612743,32,25,2024-11-16T01:37:35Z,1620000,False,232.0,26.0,1,left,M. Porter Jr. 3PT  (9 PTS) (R. Westbrook 2 AST),"[1629008, 201566]",1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,23.31,Made,9.0,Porter Jr.,M. Porter Jr.,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,,
165,PT10M46.00S,2024-11-16T01:37:49.3Z,2,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612740,32,25,2024-11-16T01:37:55Z,1640000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Jemison III 2 FT),"[1629008, 1641998]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,202049.0,1.0,0.0,Jemison III,1641998.0,,,
167,PT10M46.00S,2024-11-16T01:38:15.1Z,2,REGULAR,freethrow,1 of 2,[],1641998,,,1610612740,33,25,2024-11-16T01:38:15Z,1660000,False,,,0,,T. Jemison III Free Throw 1 of 2 (3 PTS),[1641998],1610612740.0,NOP,,,,,,,,,,Made,3.0,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
