actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
82,PT05M01.00S,2023-11-02T00:22:48.2Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612750,18,7,2023-11-02T00:22:57Z,780000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Gobert 2 FT),"[203932, 203497]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,203054.0,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,
84,PT05M01.00S,2023-11-02T00:23:16.5Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,19,7,2023-11-02T00:23:16Z,800000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
85,PT05M01.00S,2023-11-02T00:23:17.1Z,1,REGULAR,substitution,out,[],201144,,,1610612750,19,7,2023-11-02T00:23:28Z,810000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M01.00S,2023-11-02T00:23:17.1Z,1,REGULAR,substitution,out,[],1629008,,,1610612750,19,7,2023-11-02T00:23:28Z,820000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M01.00S,2023-11-02T00:23:17.1Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,19,7,2023-11-02T00:23:28Z,830000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M01.00S,2023-11-02T00:23:17.1Z,1,REGULAR,substitution,in,[],1631128,,,1610612750,19,7,2023-11-02T00:23:28Z,840000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M01.00S,2023-11-02T00:23:38.8Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,20,7,2023-11-02T00:23:38Z,850000,False,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
90,PT04M47.00S,2023-11-02T00:23:56.2Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612743,20,7,2023-11-02T00:24:02Z,860000,False,,,0,,K. Towns shooting personal FOUL (2 PF) (Jokic 2 FT),"[1626157, 203999]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,1193.0,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,2.0,0.0,Jokic,203999.0,,,,,
92,PT04M47.00S,2023-11-02T00:24:24.0Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,20,8,2023-11-02T00:24:24Z,880000,False,,,0,,N. Jokic Free Throw 1 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
93,PT04M47.00S,2023-11-02T00:24:24.8Z,1,REGULAR,substitution,out,[],1626157,,,1610612743,20,8,2023-11-02T00:24:29Z,890000,False,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M47.00S,2023-11-02T00:24:24.8Z,1,REGULAR,substitution,in,[],1629675,,,1610612743,20,8,2023-11-02T00:24:29Z,900000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M47.00S,2023-11-02T00:25:04.1Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,20,9,2023-11-02T00:25:04Z,920000,False,,,0,,N. Jokic Free Throw 2 of 2 (7 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
97,PT04M35.00S,2023-11-02T00:25:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,17.16491458607096,47.794117647058826,1610612750,20,9,2023-11-02T00:25:22Z,930000,False,11.0,109.0,1,left,MISS K. Anderson 10' floating Shot,[203937],1610612750.0,MIN,floating,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),8-16 Center,10.95,Missed,,,,,,,,,,,,,,,,,
98,PT04M32.00S,2023-11-02T00:25:21.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,20,9,2023-11-02T00:25:22Z,940000,False,,,0,,N. Jokic REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,,,97.0,5.0,3.0,2.0,,,,,,,,,,,,,
99,PT04M19.00S,2023-11-02T00:25:35.3Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,20,9,2023-11-02T00:25:40Z,950000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,101283.0,Mid-Range,16-24 Center,,,,,,,,,,,,,,,1.0,,,,
100,PT04M09.00S,2023-11-02T00:25:50.2Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,20,9,2023-11-02T00:25:56Z,960000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,1193.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,,,,
101,PT04M09.00S,2023-11-02T00:25:52.5Z,1,REGULAR,substitution,out,[],203932,,,1610612743,20,9,2023-11-02T00:26:03Z,970000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M09.00S,2023-11-02T00:25:52.5Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,20,9,2023-11-02T00:26:03Z,980000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M59.00S,2023-11-02T00:26:17.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203484,80.1084099868594,55.14705882352941,1610612743,20,11,2023-11-02T00:26:21Z,990000,False,26.0,134.0,1,right,K. Caldwell-Pope 13' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,In The Paint (Non-RA),8-16 Center,13.69,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,
105,PT03M38.00S,2023-11-02T00:26:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.360709592641262,51.9607843137255,1610612750,20,11,2023-11-02T00:36:01Z,1010000,False,-10.0,26.0,1,left,MISS R. Gobert cutting Layup - blocked,"[203497, 1631128]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,Braun,1631128.0
106,PT03M38.00S,2023-11-02T00:26:39.2Z,1,REGULAR,block,,[],1631128,,,1610612750,20,11,2023-11-02T00:26:57Z,1020000,False,,,0,,C. Braun BLOCK (1 BLK),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
107,PT03M38.00S,2023-11-02T00:26:39.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,20,11,2023-11-02T00:26:42Z,1030000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,Restricted Area,0-8 Center,,,105.0,,,,,,,,,,,,,,,,
109,PT03M33.00S,2023-11-02T00:27:02.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629675,31.09395532194481,66.66666666666666,1610612750,23,11,2023-11-02T00:27:05Z,1050000,False,-83.0,240.0,1,left,N. Reid 25' 3PT  (3 PTS) (K. Anderson 1 AST),"[1629675, 203937]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Above the Break 3,24+ Left Center,25.39,Made,,,,,3.0,K. Anderson,203937.0,1.0,,,,,,,,,
111,PT03M18.00S,2023-11-02T00:27:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,91.93495400788436,53.92156862745098,1610612743,23,13,2023-11-02T00:36:16Z,1070000,False,20.0,23.0,1,right,N. Jokic driving Layup (9 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,9.0,,,,,,,,,,,,
112,PT03M03.00S,2023-11-02T00:27:31.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,23.603810775295663,36.51960784313725,1610612750,23,13,2023-11-02T00:27:35Z,1080000,False,67.0,169.0,1,left,MISS A. Edwards 18' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,Mid-Range,16-24 Right Center,18.23,Missed,,,,,,,,,,,,,,,,,
113,PT03M01.00S,2023-11-02T00:27:33.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,23,13,2023-11-02T00:27:35Z,1090000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Mid-Range,16-24 Right Center,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,,
114,PT02M56.00S,2023-11-02T00:27:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,7.046649145860711,51.9607843137255,1610612750,23,13,2023-11-02T00:27:46Z,1100000,False,-10.0,14.0,1,left,MISS R. Gobert Layup,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,
116,PT02M56.00S,2023-11-02T00:27:39.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,23,13,2023-11-02T00:27:46Z,1120000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,Restricted Area,0-8 Center,,,114.0,,,,,,,,,,,,,,,,
118,PT02M56.00S,2023-11-02T00:27:46.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,23,13,2023-11-02T00:27:46Z,1140000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M56.00S,2023-11-02T00:30:16.7Z,1,REGULAR,substitution,out,[],203484,,,1610612750,23,13,2023-11-02T00:30:36Z,1150000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M56.00S,2023-11-02T00:30:16.7Z,1,REGULAR,substitution,in,[],1627750,,,1610612750,23,13,2023-11-02T00:30:36Z,1160000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M54.00S,2023-11-02T00:30:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612750,23,13,2023-11-02T00:31:01Z,1170000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Edwards 2 FT),"[1627750, 1630162]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,101283.0,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Edwards,1630162.0,,,,,
123,PT02M54.00S,2023-11-02T00:31:14.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630162,,,1610612750,24,13,2023-11-02T00:31:14Z,1190000,False,,,0,,A. Edwards Free Throw 1 of 2 (8 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
124,PT02M54.00S,2023-11-02T00:31:14.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630162,,,1610612750,24,13,2023-11-02T00:31:29Z,1200000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
125,PT02M52.00S,2023-11-02T00:31:16.1Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,24,13,2023-11-02T00:31:29Z,1210000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,
126,PT02M41.00S,2023-11-02T00:31:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,83.52496714848883,51.71568627450981,1610612743,24,15,2023-11-02T00:31:47Z,1220000,False,9.0,102.0,1,right,N. Jokic 10' driving floating Jump Shot (11 PTS) (R. Jackson 2 AST),"[203999, 202704]",1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,10.28,Made,,,,,11.0,R. Jackson,202704.0,2.0,,,,,,,,,
128,PT02M26.00S,2023-11-02T00:31:54.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,30.831143232588698,32.84313725490196,1610612750,24,15,2023-11-02T00:31:58Z,1240000,False,86.0,237.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,
129,PT02M23.00S,2023-11-02T00:31:57.3Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,24,15,2023-11-02T00:31:58Z,1250000,False,,,0,,J. Murray REBOUND (Off:2 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Right Center,,,128.0,4.0,2.0,2.0,,,,,,,,,,,,,
130,PT02M17.00S,2023-11-02T00:32:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.41590013140605,52.94117647058824,1610612743,24,17,2023-11-02T00:32:08Z,1260000,False,15.0,75.0,1,right,N. Jokic 7' floating Jump Shot (13 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),0-8 Center,7.66,Made,,,,,13.0,C. Braun,1631128.0,1.0,,,,,,,,,
132,PT02M03.00S,2023-11-02T00:32:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.046649145860711,50.0,1610612750,24,17,2023-11-02T00:32:21Z,1280000,False,0.0,14.0,1,left,MISS R. Gobert driving Layup,[203497],1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,,,
133,PT02M01.00S,2023-11-02T00:32:20.2Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,24,17,2023-11-02T00:32:21Z,1290000,False,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Restricted Area,0-8 Center,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,
134,PT01M54.00S,2023-11-02T00:32:27.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630192,94.03745072273325,53.18627450980392,1610612743,24,17,2023-11-02T00:32:31Z,1300000,False,16.0,4.0,1,right,MISS Z. Nnaji cutting DUNK,[1630192],1610612743.0,DEN,cutting,,,Nnaji,Z. Nnaji,,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,
135,PT01M50.00S,2023-11-02T00:32:30.0Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,24,17,2023-11-02T00:32:30Z,1310000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Restricted Area,0-8 Center,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,
137,PT01M48.00S,2023-11-02T00:32:46.8Z,1,REGULAR,substitution,out,[],203497,,,1610612750,24,17,2023-11-02T00:32:52Z,1330000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M48.00S,2023-11-02T00:32:46.8Z,1,REGULAR,substitution,in,[],1629003,,,1610612750,24,17,2023-11-02T00:32:52Z,1340000,False,,,0,,SUB in: S. Milton,[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M48.00S,2023-11-02T00:32:46.8Z,1,REGULAR,substitution,out,[],203999,,,1610612750,24,17,2023-11-02T00:33:14Z,1345000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M48.00S,2023-11-02T00:32:46.8Z,1,REGULAR,substitution,in,[],1631212,,,1610612750,24,17,2023-11-02T00:33:14Z,1347500,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M37.00S,2023-11-02T00:33:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,10.726018396846255,51.9607843137255,1610612750,26,17,2023-11-02T00:33:12Z,1350000,False,-10.0,48.0,1,left,N. Alexander-Walker turnaround Jump Shot (2 PTS),[1629638],1610612750.0,MIN,turnaround,,,Alexander-Walker,N. Alexander-Walker,,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,,,,,2.0,,,,,,,,,,,,
142,PT01M16.00S,2023-11-02T00:33:28.0Z,1,REGULAR,2pt,Jump Shot,[],1627750,88.12417871222075,79.41176470588235,1610612743,26,17,2023-11-02T00:33:31Z,1360000,False,147.0,59.0,1,right,MISS J. Murray 15' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,,Mid-Range,8-16 Right,15.85,Missed,,,,,,,,,,,,,,,,,
143,PT01M14.00S,2023-11-02T00:33:30.0Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,26,17,2023-11-02T00:33:31Z,1370000,False,,,0,,N. Reid REBOUND (Off:0 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Mid-Range,8-16 Right,,,142.0,2.0,2.0,0.0,,,,,,,,,,,,,
144,PT01M06.00S,2023-11-02T00:33:38.6Z,1,REGULAR,turnover,bad pass,[],1629675,,,1610612750,26,17,2023-11-02T00:33:44Z,1380000,False,,,0,,N. Reid bad pass TURNOVER (1 TO),"[1629675, 202704]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,1.0,Jackson,202704.0,,
145,PT01M06.00S,2023-11-02T00:33:38.6Z,1,REGULAR,steal,,[],202704,,,1610612743,26,17,2023-11-02T00:33:40Z,1390000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
146,PT01M02.00S,2023-11-02T00:33:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,92.72339027595268,51.9607843137255,1610612743,26,19,2023-11-02T00:33:48Z,1400000,False,10.0,16.0,1,right,C. Braun running finger roll Layup (2 PTS) (R. Jackson 3 AST),"[1631128, 202704]",1610612743.0,DEN,running finger roll,,,Braun,C. Braun,,,,,,Restricted Area,0-8 Center,1.87,Made,,,,,2.0,R. Jackson,202704.0,3.0,,,,,,,,,
148,PT00M59.00S,2023-11-02T00:33:49.1Z,1,REGULAR,turnover,traveling,[],1630162,,,1610612750,26,19,2023-11-02T00:33:53Z,1420000,False,,,0,,A. Edwards traveling TURNOVER (2 TO),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,203054.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,2.0,,,,
149,PT00M46.50S,2023-11-02T00:34:13.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631212,89.30683311432325,42.64705882352941,1610612743,26,21,2023-11-02T00:34:17Z,1430000,False,-37.0,48.0,1,right,P. Watson 6' driving bank Jump Shot (2 PTS) (J. Murray 1 AST),"[1631212, 1627750]",1610612743.0,DEN,driving bank,,,Watson,P. Watson,,,,,,In The Paint (Non-RA),0-8 Center,6.05,Made,,,,,2.0,J. Murray,1627750.0,1.0,,,,,,,,,
150,PT00M31.80S,2023-11-02T00:34:39.0Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,26,21,2023-11-02T00:34:44Z,1440000,False,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (3 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,1193.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,3.0,,,,
151,PT00M11.50S,2023-11-02T00:35:05.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631128,71.82982917214193,76.22549019607843,1610612743,26,21,2023-11-02T00:35:08Z,1450000,False,131.0,212.0,1,right,MISS C. Braun 24' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Above the Break 3,24+ Right Center,24.95,Missed,,,,,,,,,,,,,,,,,
152,PT00M09.10S,2023-11-02T00:35:07.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,26,21,2023-11-02T00:35:07Z,1460000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,Above the Break 3,24+ Right Center,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,
153,PT00M03.80S,2023-11-02T00:35:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612750,26,21,2023-11-02T00:35:21Z,1470000,False,,,0,,Z. Nnaji shooting personal FOUL (1 PF) (Edwards 2 FT),"[1630192, 1630162]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,203054.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Edwards,1630162.0,,,,,
155,PT00M03.80S,2023-11-02T00:35:50.5Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,27,21,2023-11-02T00:35:50Z,1490000,False,,,0,,A. Edwards Free Throw 1 of 2 (9 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,
156,PT00M03.80S,2023-11-02T00:36:04.1Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,28,21,2023-11-02T00:36:04Z,1500000,False,,,0,,A. Edwards Free Throw 2 of 2 (10 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,
157,PT00M00.30S,2023-11-02T00:36:09.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,47.38830486202366,43.627450980392155,1610612743,28,21,2023-11-02T00:36:16Z,1510000,False,-32.0,442.0,1,right,MISS J. Murray 44' running 3PT,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Center,44.31,Missed,,,,,,,,,,,,,,,,,
158,PT00M00.30S,2023-11-02T00:36:09.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,28,21,2023-11-02T00:36:16Z,1520000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,Above the Break 3,24+ Center,,,157.0,,,,,,,,,,,,,,,,
159,PT00M00.00S,2023-11-02T00:36:13.5Z,1,REGULAR,period,end,[],0,,,1610612743,28,21,2023-11-02T00:36:13Z,1530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-11-02T00:38:20.9Z,2,REGULAR,substitution,out,['startperiod'],1630162,,,1610612743,28,21,2023-11-02T00:38:56Z,1540000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-11-02T00:38:20.9Z,2,REGULAR,substitution,in,['startperiod'],1626157,,,1610612743,28,21,2023-11-02T00:38:56Z,1550000,False,,,0,,SUB in: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-11-02T00:38:57.5Z,2,REGULAR,period,start,[],0,,,1610612750,28,21,2023-11-02T00:38:57Z,1560000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M45.00S,2023-11-02T00:39:11.3Z,2,REGULAR,2pt,Hook,[],1626157,7.835085413929041,67.40196078431373,1610612750,28,21,2023-11-02T00:39:15Z,1570000,False,-87.0,21.0,1,left,MISS K. Towns 8' turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,,Mid-Range,8-16 Left,8.95,Missed,,,,,,,,,,,,,,,,,
164,PT11M44.00S,2023-11-02T00:39:12.3Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,28,21,2023-11-02T00:39:15Z,1580000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Mid-Range,8-16 Left,,,163.0,2.0,2.0,0.0,,,,,,,,,,,,,
165,PT11M31.00S,2023-11-02T00:39:25.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630192,92.32917214191852,49.26470588235294,1610612743,28,23,2023-11-02T00:39:28Z,1590000,False,-4.0,20.0,1,right,Z. Nnaji cutting Layup (2 PTS) (J. Murray 2 AST),"[1630192, 1627750]",1610612743.0,DEN,cutting,,,Nnaji,Z. Nnaji,,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,2.0,J. Murray,1627750.0,2.0,,,,,,,,,
167,PT11M18.00S,2023-11-02T00:39:38.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,12.828515111695138,51.9607843137255,1610612750,30,23,2023-11-02T00:39:41Z,1610000,False,-10.0,68.0,1,left,K. Anderson 6' pullup Jump Shot (2 PTS),[203937],1610612750.0,MIN,pullup,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,6.88,Made,,,,,2.0,,,,,,,,,,,,
