actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
91,PT03M53.00S,2024-01-15T00:27:03.2Z,1,REGULAR,substitution,out,[],202331,,,1610612746,21,8,2024-01-15T00:28:55Z,890000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M53.00S,2024-01-15T00:27:03.2Z,1,REGULAR,substitution,in,[],1629599,,,1610612746,21,8,2024-01-15T00:28:55Z,900000,False,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M53.00S,2024-01-15T00:27:03.2Z,1,REGULAR,substitution,in,[],203486,,,1610612746,21,8,2024-01-15T00:28:55Z,910000,False,,,0,,SUB in: M. Plumlee,[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M31.00S,2024-01-15T00:29:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,11.695137976346912,62.27787990196079,1610612746,21,10,2024-01-15T00:30:00Z,920000,False,-61.0,57.0,1,left,K. Leonard 8' Jump Shot (6 PTS) (R. Westbrook 1 AST),"[202695, 201566]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Left,8.41,Made,,,,,6.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
96,PT03M20.00S,2024-01-15T00:29:39.8Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,21,10,2024-01-15T00:29:44Z,940000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 201566]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,
97,PT03M20.00S,2024-01-15T00:29:39.8Z,1,REGULAR,steal,,[],201566,,,1610612746,21,10,2024-01-15T00:29:41Z,950000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
98,PT03M16.00S,2024-01-15T00:29:43.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202695,6.258212877792378,49.754901960784316,1610612746,21,12,2024-01-15T00:29:50Z,960000,False,1.0,6.0,1,left,K. Leonard running DUNK (8 PTS) (R. Westbrook 2 AST),"[202695, 201566]",1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,8.0,R. Westbrook,201566.0,2.0,,,,,,,,,,
100,PT02M59.00S,2024-01-15T00:30:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,92.19776609724047,59.068627450980394,1610612750,23,12,2024-01-15T00:31:17Z,980000,False,45.0,21.0,1,right,K. Towns driving Layup (8 PTS) (K. Anderson 3 AST),"[1626157, 203937]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,4.98,Made,,,,,8.0,K. Anderson,203937.0,3.0,,,,,,,,,,
102,PT02M52.00S,2024-01-15T00:30:06.9Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612746,23,12,2024-01-15T00:30:10Z,1000000,False,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 203937]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Anderson,203937.0,,,,
103,PT02M52.00S,2024-01-15T00:30:06.9Z,1,REGULAR,steal,,[],203937,,,1610612750,23,12,2024-01-15T00:30:08Z,1010000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
104,PT02M44.00S,2024-01-15T00:30:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203937,92.19776609724047,46.81372549019608,1610612750,23,12,2024-01-15T00:30:35Z,1020000,False,-16.0,21.0,1,right,MISS K. Anderson driving reverse Layup,[203937],1610612750.0,MIN,driving reverse,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
105,PT02M43.00S,2024-01-15T00:30:16.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,23,12,2024-01-15T00:30:19Z,1030000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,104.0,,,,,,1.0,1.0,0.0,,,,,,,
106,PT02M36.00S,2024-01-15T00:30:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203486,5.601182654402102,48.28431372549019,1610612746,23,14,2024-01-15T00:32:28Z,1040000,False,9.0,0.0,1,left,M. Plumlee running Layup (2 PTS) (R. Westbrook 3 AST),"[203486, 201566]",1610612746.0,LAC,running,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,R. Westbrook,201566.0,3.0,,,,,,,,,,
108,PT02M13.00S,2024-01-15T00:30:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,89.56964520367937,39.46078431372549,1610612750,25,14,2024-01-15T00:32:46Z,1060000,False,-53.0,46.0,1,right,A. Edwards 6' pullup bank Jump Shot (6 PTS) (J. McDaniels 2 AST),"[1630162, 1630183]",1610612750.0,MIN,pullup bank,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.96,Made,,,,,6.0,J. McDaniels,1630183.0,2.0,,,,,,,,,,
110,PT01M54.00S,2024-01-15T00:31:05.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,27.808804204993432,23.284313725490197,1610612746,25,17,2024-01-15T00:33:39Z,1080000,False,134.0,209.0,1,left,N. Powell 24' 3PT step back (3 PTS),[1626181],1610612746.0,LAC,step back,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,24.8,Made,,,,,3.0,,,,,,,,,,,,,
111,PT01M33.00S,2024-01-15T00:31:26.7Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612750,25,17,2024-01-15T00:31:31Z,1090000,False,,,0,,K. Towns lost ball TURNOVER (3 TO),"[1626157, 1629599]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,3.0,Coffey,1629599.0,,,,
112,PT01M33.00S,2024-01-15T00:31:26.7Z,1,REGULAR,steal,,[],1629599,,,1610612746,25,17,2024-01-15T00:31:28Z,1100000,False,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
113,PT01M31.00S,2024-01-15T00:31:29.0Z,1,REGULAR,turnover,bad pass,[],1629599,,,1610612746,25,17,2024-01-15T00:31:33Z,1110000,False,,,0,,A. Coffey bad pass TURNOVER (1 TO),"[1629599, 1630183]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,
114,PT01M31.00S,2024-01-15T00:31:29.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,25,17,2024-01-15T00:31:30Z,1120000,False,,,0,,J. McDaniels STEAL (2 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
115,PT01M26.00S,2024-01-15T00:31:33.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203937,91.27792378449409,58.82352941176471,1610612750,27,17,2024-01-15T00:34:40Z,1130000,False,44.0,29.0,1,right,K. Anderson driving floating Jump Shot (2 PTS) (J. McDaniels 3 AST),"[203937, 1630183]",1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,,,,,2.0,J. McDaniels,1630183.0,3.0,,,,,,,,,,
117,PT01M04.00S,2024-01-15T00:31:55.0Z,1,REGULAR,2pt,Jump Shot,[],202695,13.222733245729303,26.715686274509803,1610612746,27,17,2024-01-15T00:31:59Z,1150000,False,116.0,72.0,1,left,MISS K. Leonard 13' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,13.68,Missed,,,,,,,,,,,,,,,,,,
118,PT01M02.00S,2024-01-15T00:31:57.0Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,27,17,2024-01-15T00:31:59Z,1160000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,,117.0,,,,,,2.0,2.0,0.0,,,,,,,
119,PT00M51.30S,2024-01-15T00:32:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,89.70105124835742,58.08823529411765,1610612750,29,17,2024-01-15T00:32:13Z,1170000,False,40.0,44.0,1,right,N. Reid 6' driving Layup (5 PTS),[1629675],1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,,,,,5.0,,,,,,,,,,,,,
120,PT00M30.10S,2024-01-15T00:32:34.8Z,1,REGULAR,foul,personal,[],1629675,,,1610612746,29,17,2024-01-15T00:32:44Z,1180000,False,,,0,,N. Reid personal FOUL (1 PF),"[1629675, 203486]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,2534.0,,,,,,,,,,,1.0,0.0,Plumlee,203486.0
122,PT00M30.10S,2024-01-15T00:32:49.7Z,1,REGULAR,substitution,out,[],1630183,,,1610612746,29,17,2024-01-15T00:33:08Z,1200000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT00M30.10S,2024-01-15T00:32:49.7Z,1,REGULAR,substitution,out,[],1626157,,,1610612746,29,17,2024-01-15T00:33:08Z,1210000,False,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT00M30.10S,2024-01-15T00:32:49.7Z,1,REGULAR,substitution,in,[],1629638,,,1610612746,29,17,2024-01-15T00:33:08Z,1220000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT00M30.10S,2024-01-15T00:32:49.7Z,1,REGULAR,substitution,in,[],201144,,,1610612746,29,17,2024-01-15T00:33:08Z,1230000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT00M23.30S,2024-01-15T00:33:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,6.521024967148489,52.20588235294118,1610612746,29,19,2024-01-15T00:33:20Z,1240000,False,-11.0,9.0,1,left,M. Plumlee alley-oop Layup (4 PTS) (R. Westbrook 4 AST),"[203486, 201566]",1610612746.0,LAC,alley-oop,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,4.0,R. Westbrook,201566.0,4.0,,,,,,,,,,
128,PT00M01.10S,2024-01-15T00:33:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,84.70762155059133,35.78431372549019,1610612750,29,19,2024-01-15T00:41:40Z,1260000,False,-71.0,91.0,1,right,MISS M. Conley 11' driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Left,11.56,Missed,,,,,,,,,,,,,,,,,,
129,PT00M00.10S,2024-01-15T00:33:42.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,29,19,2024-01-15T00:34:27Z,1270000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,128.0,,,,,,,,,,,,,,,
130,PT00M00.00S,2024-01-15T00:34:03.7Z,1,REGULAR,period,end,[],0,,,1610612750,29,19,2024-01-15T00:34:17Z,1280000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT12M00.00S,2024-01-15T00:35:58.3Z,2,REGULAR,substitution,out,['startperiod'],1630162,,,1610612750,29,19,2024-01-15T00:36:26Z,1290000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT12M00.00S,2024-01-15T00:35:58.3Z,2,REGULAR,substitution,out,['startperiod'],202695,,,1610612750,29,19,2024-01-15T00:36:26Z,1300000,False,,,0,,SUB out: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT12M00.00S,2024-01-15T00:35:58.3Z,2,REGULAR,substitution,in,['startperiod'],203497,,,1610612750,29,19,2024-01-15T00:36:26Z,1310000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT12M00.00S,2024-01-15T00:35:58.3Z,2,REGULAR,substitution,in,['startperiod'],202331,,,1610612750,29,19,2024-01-15T00:36:26Z,1320000,False,,,0,,SUB in: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2024-01-15T00:36:35.9Z,2,REGULAR,period,start,[],0,,,1610612746,29,19,2024-01-15T00:36:35Z,1330000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT11M47.00S,2024-01-15T00:36:48.4Z,2,REGULAR,3pt,Jump Shot,[],202331,26.757555847568987,21.568627450980394,1610612746,29,19,2024-01-15T00:36:52Z,1340000,False,142.0,199.0,1,left,MISS P. George 24' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,24.46,Missed,,,,,,,,,,,,,,,,,,
137,PT11M44.00S,2024-01-15T00:36:51.4Z,2,REGULAR,rebound,offensive,[],1629599,,,1610612746,29,19,2024-01-15T00:36:52Z,1350000,False,,,0,,A. Coffey REBOUND (Off:1 Def:0),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,,,,,136.0,,,,,,1.0,0.0,1.0,,,,,,,
138,PT11M36.00S,2024-01-15T00:36:59.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202331,12.565703022339028,51.71568627450981,1610612746,29,19,2024-01-15T00:37:04Z,1360000,False,-9.0,66.0,1,left,MISS P. George 6' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,6.62,Missed,,,,,,,,,,,,,,,,,,
139,PT11M32.00S,2024-01-15T00:37:03.0Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,29,19,2024-01-15T00:46:27Z,1370000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,138.0,,,,,,3.0,3.0,0.0,,,,,,,
140,PT11M24.00S,2024-01-15T00:37:10.1Z,2,REGULAR,3pt,Jump Shot,[],1629675,91.14651773981603,5.147058823529411,1610612750,32,19,2024-01-15T00:37:14Z,1380000,False,-224.0,31.0,1,right,N. Reid 3PT  (8 PTS) (M. Conley 2 AST),"[1629675, 201144]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,22.64,Made,,,,,8.0,M. Conley,201144.0,2.0,,,,,,,,,,
142,PT11M10.00S,2024-01-15T00:37:24.3Z,2,REGULAR,3pt,Jump Shot,[],1626181,32.670827858081466,48.03921568627451,1610612746,32,22,2024-01-15T00:40:59Z,1400000,False,10.0,255.0,1,left,N. Powell 25' 3PT bank (6 PTS) (R. Westbrook 5 AST),"[1626181, 201566]",1610612746.0,LAC,bank,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,25.48,Made,,,,,6.0,R. Westbrook,201566.0,5.0,,,,,,,,,,
144,PT10M47.00S,2024-01-15T00:37:47.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,89.30683311432325,52.69607843137255,1610612750,32,22,2024-01-15T00:41:48Z,1420000,False,13.0,48.0,1,right,MISS N. Reid driving Layup - blocked,"[1629675, 1626181]",1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,Powell,1626181.0,,,,,,,,,,,,,,,,
145,PT10M47.00S,2024-01-15T00:37:47.5Z,2,REGULAR,block,,[],1626181,,,1610612750,32,22,2024-01-15T01:44:02Z,1430000,False,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
146,PT10M45.00S,2024-01-15T00:37:49.5Z,2,REGULAR,rebound,defensive,[],203486,,,1610612746,32,22,2024-01-15T00:37:51Z,1440000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,144.0,,,,,,1.0,1.0,0.0,,,,,,,
148,PT10M44.00S,2024-01-15T00:37:55.8Z,2,REGULAR,substitution,out,[],1629599,,,1610612746,32,22,2024-01-15T00:38:07Z,1460000,False,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT10M44.00S,2024-01-15T00:37:55.8Z,2,REGULAR,substitution,in,[],201935,,,1610612746,32,22,2024-01-15T00:38:07Z,1470000,False,,,0,,SUB in: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT10M31.00S,2024-01-15T00:38:27.7Z,2,REGULAR,foul,personal,[],1629638,,,1610612746,32,22,2024-01-15T00:38:33Z,1480000,False,,,0,,N. Alexander-Walker personal FOUL (1 PF),"[1629638, 1626181]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Right Center,,,,,,1199.0,,,,,,,,,,,1.0,0.0,Powell,1626181.0
152,PT10M30.00S,2024-01-15T00:38:47.9Z,2,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,32,22,2024-01-15T00:38:58Z,1500000,False,,,0,,J. Harden bad pass out-of-bounds TURNOVER (2 TO),[201935],1610612746.0,LAC,bad pass,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,1199.0,,,,,,,,2.0,,,,,,
153,PT10M22.00S,2024-01-15T00:39:05.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629675,67.23061760840999,35.53921568627451,1610612750,32,22,2024-01-15T00:39:11Z,1510000,False,-72.0,256.0,1,right,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
154,PT10M18.00S,2024-01-15T00:39:09.4Z,2,REGULAR,rebound,defensive,[],203486,,,1610612746,32,22,2024-01-15T00:39:11Z,1520000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,153.0,,,,,,2.0,2.0,0.0,,,,,,,
155,PT10M05.00S,2024-01-15T00:39:21.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203486,9.543363994743759,51.71568627450981,1610612746,32,24,2024-01-15T00:39:27Z,1530000,False,-9.0,37.0,1,left,M. Plumlee cutting Layup (6 PTS) (J. Harden 2 AST),"[203486, 201935]",1610612746.0,LAC,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,3.82,Made,,,,,6.0,J. Harden,201935.0,2.0,,,,,,,,,,
157,PT09M48.00S,2024-01-15T00:39:38.7Z,2,REGULAR,3pt,Jump Shot,[],201144,74.98357424441524,85.29411764705883,1610612750,32,24,2024-01-15T00:39:49Z,1550000,False,176.0,183.0,1,right,MISS M. Conley 25' step back 3PT,[201144],1610612750.0,MIN,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
158,PT09M45.00S,2024-01-15T00:39:42.1Z,2,REGULAR,rebound,defensive,[],203486,,,1610612746,32,24,2024-01-15T00:39:42Z,1560000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:3),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,,,157.0,,,,,,3.0,3.0,0.0,,,,,,,
160,PT09M36.00S,2024-01-15T00:39:55.2Z,2,REGULAR,foul,personal,[],203497,,,1610612746,32,24,2024-01-15T00:40:05Z,1570000,False,,,0,,R. Gobert personal FOUL (1 PF),"[203497, 201935]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,,,,2534.0,,,,,,,,,,,1.0,0.0,Harden,201935.0
162,PT09M26.00S,2024-01-15T00:40:25.9Z,2,REGULAR,turnover,out-of-bounds,[],201566,,,1610612746,32,24,2024-01-15T00:40:35Z,1590000,False,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612746.0,LAC,lost ball,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1627524.0,,,,,,,,1.0,,,,,,
163,PT09M14.00S,2024-01-15T00:40:49.2Z,2,REGULAR,foul,personal,[],203486,,,1610612750,32,24,2024-01-15T00:40:55Z,1600000,False,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 203497]",1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Gobert,203497.0
165,PT09M06.00S,2024-01-15T00:41:19.0Z,2,REGULAR,foul,personal,[],201935,,,1610612750,32,24,2024-01-15T00:41:25Z,1620000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 203497]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,2534.0,,,,,,,,,,,1.0,0.0,Gobert,203497.0
167,PT09M04.00S,2024-01-15T00:41:44.8Z,2,REGULAR,foul,personal,[],203486,,,1610612750,32,24,2024-01-15T00:41:53Z,1640000,False,,,0,,M. Plumlee personal FOUL (2 PF),"[203486, 203497]",1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,,,,2534.0,,,,,,,,,,,2.0,0.0,Gobert,203497.0
169,PT08M55.00S,2024-01-15T00:42:05.8Z,2,REGULAR,turnover,bad pass,[],1629675,,,1610612750,32,24,2024-01-15T00:42:09Z,1660000,False,,,0,,N. Reid bad pass TURNOVER (1 TO),"[1629675, 203486]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Plumlee,203486.0,,,,
170,PT08M55.00S,2024-01-15T00:42:05.8Z,2,REGULAR,steal,,[],203486,,,1610612746,32,24,2024-01-15T00:42:07Z,1670000,False,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
171,PT08M48.00S,2024-01-15T00:42:13.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,14.4053876478318,52.94117647058824,1610612746,32,24,2024-01-15T00:42:17Z,1680000,False,-15.0,83.0,1,left,MISS J. Harden 8' driving Layup - blocked,"[201935, 1629638]",1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,8.42,Missed,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,,
172,PT08M48.00S,2024-01-15T00:42:13.4Z,2,REGULAR,block,,[],1629638,,,1610612746,32,24,2024-01-15T00:42:16Z,1690000,False,,,0,,N. Alexander-Walker BLOCK (1 BLK),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
173,PT08M44.00S,2024-01-15T00:42:17.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,32,24,2024-01-15T00:42:17Z,1700000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,171.0,,,,,,4.0,4.0,0.0,,,,,,,
174,PT08M40.00S,2024-01-15T00:42:21.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,67.36202365308804,53.67647058823529,1610612750,32,24,2024-01-15T00:48:33Z,1710000,False,18.0,254.0,1,right,MISS N. Alexander-Walker 25' running 3PT,[1629638],1610612750.0,MIN,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
175,PT08M36.00S,2024-01-15T00:42:25.1Z,2,REGULAR,rebound,offensive,[],201144,,,1610612750,32,24,2024-01-15T00:48:33Z,1720000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,,174.0,,,,,,1.0,0.0,1.0,,,,,,,
176,PT08M34.00S,2024-01-15T00:42:27.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629638,67.88764783180025,40.19607843137255,1610612750,35,24,2024-01-15T00:42:32Z,1730000,False,-49.0,249.0,1,right,N. Alexander-Walker 25' 3PT  (3 PTS) (M. Conley 3 AST),"[1629638, 201144]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,25.42,Made,,,,,3.0,M. Conley,201144.0,3.0,,,,,,,,,,
178,PT08M10.00S,2024-01-15T00:42:53.3Z,2,REGULAR,foul,personal,[],201144,,,1610612746,35,24,2024-01-15T00:43:02Z,1750000,False,,,0,,M. Conley personal FOUL (1 PF),"[201144, 1626181]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Right,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Powell,1626181.0
