actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
90,PT05M06.00S,2025-01-16T00:58:01.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,31.225361366622867,49.26470588235294,1610612738,20,17,2025-01-16T00:58:07Z,890000,False,4.0,241.0,1,left,MISS J. Tatum 24' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,,,24.1,Missed,,,,,,,,,,,,,,
91,PT05M06.00S,2025-01-16T00:58:01.9Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,20,17,2025-01-16T00:58:07Z,900000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,,,Dick,G. Dick,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT04M50.00S,2025-01-16T00:58:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,86.28449408672799,42.8921568627451,1610612761,20,17,2025-01-16T00:58:22Z,910000,False,-36.0,76.0,1,right,MISS R. Barrett 8' driving floating Shot,[1629628],1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Barrett,R. Barrett,,,8.42,Missed,,,,,,,,,,,,,,
93,PT04M47.00S,2025-01-16T00:58:20.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,17,2025-01-16T00:58:22Z,920000,False,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Tatum,J. Tatum,,,,,92.0,4.0,3.0,1.0,,,,,,,,,,
94,PT04M43.00S,2025-01-16T00:58:26.5Z,1,REGULAR,foul,personal,['2freethrow'],1642347,,,1610612738,20,17,2025-01-16T00:58:41Z,930000,False,,,0,,J. Shead shooting personal FOUL (1 PF) (Pritchard 2 FT),"[1642347, 1630202]",1610612761.0,TOR,shooting,,,,,,Restricted Area,0-8 Center,1830.0,1.0,0.0,Shead,J. Shead,Pritchard,1630202.0,,,,,,,,,,,,,,,,
96,PT04M43.00S,2025-01-16T00:58:51.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630202,,,1610612738,20,18,2025-01-16T00:58:51Z,950000,False,,,0,,P. Pritchard Free Throw 1 of 2 (1 PTS),[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,Made,,,,,1.0,,,,,,,,,
97,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,out,[],1641711,,,1610612738,20,18,2025-01-16T00:59:02Z,960000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,,,,,,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,
98,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,out,[],201950,,,1610612738,20,18,2025-01-16T00:59:02Z,970000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
99,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,out,[],204001,,,1610612738,20,18,2025-01-16T00:59:02Z,980000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,
100,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,in,[],1628971,,,1610612738,20,18,2025-01-16T00:59:02Z,990000,False,,,0,,SUB in: B. Brown,[1628971],1610612761.0,TOR,,,,,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,
101,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,20,18,2025-01-16T00:59:02Z,1000000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
102,PT04M43.00S,2025-01-16T00:58:52.4Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,20,18,2025-01-16T00:59:02Z,1010000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,
103,PT04M43.00S,2025-01-16T00:59:16.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630202,,,1610612738,20,19,2025-01-16T00:59:16Z,1020000,False,,,0,,P. Pritchard Free Throw 2 of 2 (2 PTS),[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,Made,,,,,2.0,,,,,,,,,
105,PT04M26.00S,2025-01-16T00:59:48.2Z,1,REGULAR,3pt,Jump Shot,[],1630534,94.95729303547962,2.941176470588235,1610612761,20,19,2025-01-16T00:59:53Z,1040000,False,-235.0,-5.0,1,right,MISS O. Agbaji 3PT - blocked,"[1630534, 1628436]",1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,,Agbaji,O. Agbaji,,,23.54,Missed,,,,,,,,,,,,Kornet,1628436.0,
106,PT04M26.00S,2025-01-16T00:59:48.2Z,1,REGULAR,block,,[],1628436,,,1610612761,20,19,2025-01-16T00:59:51Z,1050000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
107,PT04M22.00S,2025-01-16T00:59:52.2Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612761,20,19,2025-01-16T00:59:53Z,1060000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:1),[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,,Agbaji,O. Agbaji,,,,,105.0,2.0,1.0,1.0,,,,,,,,,,
108,PT04M19.00S,2025-01-16T00:59:55.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642347,95.74572930354796,2.696078431372549,1610612761,23,19,2025-01-16T00:59:59Z,1070000,False,-237.0,-13.0,1,right,J. Shead 3PT step back (5 PTS) (O. Agbaji 1 AST),"[1642347, 1630534]",1610612761.0,TOR,step back,,,,,,Left Corner 3,24+ Left,,,,Shead,J. Shead,,,23.68,Made,,,,,5.0,O. Agbaji,1630534.0,1.0,,,,,,
109,PT04M10.00S,2025-01-16T01:00:03.7Z,1,REGULAR,2pt,Jump Shot,[],1630573,13.797634691195796,89.92800245098039,1610612738,23,19,2025-01-16T01:08:13Z,1080000,False,-200.0,77.0,1,left,MISS S. Hauser 21' Jump Shot,[1630573],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Left,,,,Hauser,S. Hauser,,,21.4,Missed,,,,,,,,,,,,,,
110,PT04M07.00S,2025-01-16T01:00:06.7Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,23,19,2025-01-16T01:00:07Z,1090000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:2),[1630534],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,Agbaji,O. Agbaji,,,,,109.0,3.0,2.0,1.0,,,,,,,,,,
111,PT04M04.00S,2025-01-16T01:00:11.4Z,1,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612761,23,19,2025-01-16T01:00:24Z,1100000,False,,,0,,L. Kornet shooting personal FOUL (1 PF) (Barrett 2 FT),"[1628436, 1629628]",1610612738.0,BOS,shooting,,,,,,Restricted Area,0-8 Center,1830.0,1.0,0.0,Kornet,L. Kornet,Barrett,1629628.0,,,,,,,,,,,,,,,,
113,PT04M04.00S,2025-01-16T01:00:42.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,23,19,2025-01-16T01:00:59Z,1120000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612761.0,TOR,,,,,,,,,,,,Barrett,R. Barrett,,,,Missed,,,,,,,,,,,,,,
114,PT04M04.00S,2025-01-16T01:00:42.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612761,23,19,2025-01-16T01:00:59Z,1130000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,
115,PT04M04.00S,2025-01-16T01:00:42.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,23,19,2025-01-16T01:00:59Z,1140000,False,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612761.0,TOR,,,,,,,,,,,,Barrett,R. Barrett,,,,Missed,,,,,,,,,,,,,,
116,PT04M02.00S,2025-01-16T01:00:44.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,19,2025-01-16T01:00:59Z,1150000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,,,,,115.0,5.0,4.0,1.0,,,,,,,,,,
117,PT03M45.00S,2025-01-16T01:01:15.0Z,1,REGULAR,3pt,Jump Shot,[],201143,10.463206307490145,95.58823529411765,1610612738,23,19,2025-01-16T01:01:19Z,1160000,False,-228.0,46.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,,,Horford,A. Horford,,,23.25,Missed,,,,,,,,,,,,,,
118,PT03M42.00S,2025-01-16T01:01:18.0Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,23,19,2025-01-16T01:01:19Z,1170000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:3),[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,,Agbaji,O. Agbaji,,,,,117.0,4.0,3.0,1.0,,,,,,,,,,
119,PT03M28.00S,2025-01-16T01:01:31.6Z,1,REGULAR,3pt,Jump Shot,[],1629628,67.62483574244416,63.23529411764706,1610612761,23,19,2025-01-16T01:01:36Z,1180000,False,66.0,252.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,,,Barrett,R. Barrett,,,26.04,Missed,,,,,,,,,,,,,,
120,PT03M24.00S,2025-01-16T01:01:35.6Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,23,19,2025-01-16T01:01:36Z,1190000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Hauser,S. Hauser,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,
121,PT03M09.00S,2025-01-16T01:01:51.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,25.57490144546649,15.441176470588236,1610612738,23,22,2025-01-16T01:01:55Z,1200000,False,173.0,188.0,1,left,J. Tatum 25' 3PT  (4 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Tatum,J. Tatum,,,25.53,Made,,,,,4.0,A. Horford,201143.0,1.0,,,,,,
123,PT02M47.00S,2025-01-16T01:02:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.43166885676742,50.245098039215684,1610612761,25,22,2025-01-16T01:02:17Z,1220000,False,1.0,0.0,1,right,R. Barrett driving finger roll Layup (5 PTS) (J. Shead 1 AST),"[1629628, 1642347]",1610612761.0,TOR,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Barrett,R. Barrett,,,0.12,Made,,,,,5.0,J. Shead,1642347.0,1.0,,,,,,
125,PT02M36.00S,2025-01-16T01:02:23.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,25.969119579500656,15.441176470588236,1610612738,25,22,2025-01-16T01:02:31Z,1240000,False,173.0,192.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Tatum,J. Tatum,,,25.8,Missed,,,,,,,,,,,,,,
126,PT02M34.00S,2025-01-16T01:02:25.8Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,25,22,2025-01-16T01:02:31Z,1250000,False,,,0,,S. Hauser REBOUND (Off:1 Def:1),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Hauser,S. Hauser,,,,,125.0,2.0,1.0,1.0,,,,,,,,,,
127,PT02M28.00S,2025-01-16T01:02:31.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628436,5.863994743758213,49.26470588235294,1610612738,25,24,2025-01-16T01:02:35Z,1260000,False,4.0,3.0,1,left,L. Kornet alley-oop DUNK (2 PTS) (P. Pritchard 2 AST),"[1628436, 1630202]",1610612738.0,BOS,alley-oop,,,,,,Restricted Area,0-8 Center,,,,Kornet,L. Kornet,,,0.45,Made,,,,,2.0,P. Pritchard,1630202.0,2.0,,,,,,
129,PT02M16.00S,2025-01-16T01:02:44.0Z,1,REGULAR,turnover,bad pass,[],1642347,,,1610612761,25,24,2025-01-16T01:02:48Z,1280000,False,,,0,,J. Shead bad pass TURNOVER (1 TO),"[1642347, 1630573]",1610612761.0,TOR,,,,,,,Mid-Range,16-24 Right Center,,,,Shead,J. Shead,,,,,,,,,,,,,1.0,Hauser,1630573.0,,,
130,PT02M16.00S,2025-01-16T01:02:44.0Z,1,REGULAR,steal,,[],1630573,,,1610612738,25,24,2025-01-16T01:02:46Z,1290000,False,,,0,,S. Hauser STEAL (1 STL),[1630573],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,
131,PT02M02.00S,2025-01-16T01:02:57.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,11.251642575558476,14.705882352941178,1610612738,25,24,2025-01-16T01:03:02Z,1300000,False,176.0,53.0,1,left,MISS J. Tatum 18' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,,,,Mid-Range,16-24 Right,,,,Tatum,J. Tatum,,,18.44,Missed,,,,,,,,,,,,,,
132,PT01M59.00S,2025-01-16T01:03:00.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,25,24,2025-01-16T01:03:02Z,1310000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:4),[1627751],1610612761.0,TOR,,,,,,,Mid-Range,16-24 Right,,,,Poeltl,J. Poeltl,,,,,131.0,4.0,4.0,0.0,,,,,,,,,,
133,PT01M56.00S,2025-01-16T01:03:08.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612761,25,24,2025-01-16T01:03:08Z,1320000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M56.00S,2025-01-16T01:03:47.7Z,1,REGULAR,substitution,out,[],1629628,,,1610612761,25,24,2025-01-16T01:04:33Z,1330000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
135,PT01M56.00S,2025-01-16T01:03:47.7Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,25,24,2025-01-16T01:04:33Z,1340000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,,,,,,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,
136,PT01M56.00S,2025-01-16T01:03:47.7Z,1,REGULAR,substitution,in,[],203482,,,1610612761,25,24,2025-01-16T01:04:33Z,1350000,False,,,0,,SUB in: K. Olynyk,[203482],1610612761.0,TOR,,,,,,,,,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,
137,PT01M56.00S,2025-01-16T01:03:47.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,25,24,2025-01-16T01:04:33Z,1360000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,
138,PT01M45.00S,2025-01-16T01:04:56.0Z,1,REGULAR,foul,offensive,[],1642347,,,1610612761,25,24,2025-01-16T01:05:11Z,1370000,False,,,0,,J. Shead offensive FOUL (2 PF),"[1642347, 1628436]",1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,202026.0,2.0,0.0,Shead,J. Shead,Kornet,1628436.0,,,,,,,,,,,,,,,,
140,PT01M45.00S,2025-01-16T01:04:56.0Z,1,REGULAR,turnover,offensive foul,[],1642347,,,1610612761,25,24,2025-01-16T01:04:56Z,1390000,False,,,0,,J. Shead offensive foul TURNOVER (2 TO),[1642347],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,202026.0,,,Shead,J. Shead,,,,,,,,,,,,,2.0,,,,,
141,PT01M28.00S,2025-01-16T01:05:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,25.04927726675427,85.04901960784314,1610612738,25,27,2025-01-16T01:05:32Z,1400000,False,-175.0,183.0,1,left,P. Pritchard 25' 3PT  (5 PTS) (J. Tatum 2 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Pritchard,P. Pritchard,,,25.33,Made,,,,,5.0,J. Tatum,1628369.0,2.0,,,,,,
143,PT01M01.00S,2025-01-16T01:05:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,89.96386333771353,38.970588235294116,1610612761,25,27,2025-01-16T01:05:59Z,1420000,False,-55.0,42.0,1,right,MISS K. Olynyk 6' driving finger roll Layup,[203482],1610612761.0,TOR,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,,,,Olynyk,K. Olynyk,,,6.92,Missed,,,,,,,,,,,,,,
144,PT00M59.40S,2025-01-16T01:05:56.7Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,25,27,2025-01-16T01:12:49Z,1430000,False,,,0,,S. Hauser REBOUND (Off:1 Def:2),[1630573],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Hauser,S. Hauser,,,,,143.0,3.0,2.0,1.0,,,,,,,,,,
145,PT00M53.80S,2025-01-16T01:06:03.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,30.17411300919842,72.05882352941177,1610612738,25,27,2025-01-16T01:10:07Z,1440000,False,-110.0,231.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Hauser,S. Hauser,,,25.61,Missed,,,,,,,,,,,,,,
146,PT00M50.60S,2025-01-16T01:06:06.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,25,27,2025-01-16T01:06:12Z,1450000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,Barnes,S. Barnes,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,
147,PT00M48.00S,2025-01-16T01:06:09.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642347,77.7431011826544,91.42156862745098,1610612761,25,27,2025-01-16T01:06:34Z,1460000,False,207.0,157.0,1,right,MISS J. Shead 25' running 3PT,[1642347],1610612761.0,TOR,running,,,,,,Above the Break 3,24+ Right Center,,,,Shead,J. Shead,,,25.97,Missed,,,,,,,,,,,,,,
148,PT00M47.00S,2025-01-16T01:06:10.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,25,27,2025-01-16T01:06:34Z,1470000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Horford,A. Horford,,,,,147.0,1.0,1.0,0.0,,,,,,,,,,
149,PT00M32.90S,2025-01-16T01:06:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,6.521024967148489,49.01960784313725,1610612738,25,29,2025-01-16T01:06:29Z,1480000,False,5.0,9.0,1,left,A. Horford driving Layup (2 PTS) (J. Tatum 3 AST),"[201143, 1628369]",1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,,,Horford,A. Horford,,,1.01,Made,,,,,2.0,J. Tatum,1628369.0,3.0,,,,,,
151,PT00M21.20S,2025-01-16T01:06:39.9Z,1,REGULAR,foul,personal,[],1630202,,,1610612761,25,29,2025-01-16T01:06:45Z,1500000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1630567]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,202026.0,1.0,0.0,Pritchard,P. Pritchard,Barnes,1630567.0,,,,,,,,,,,,,,,,
153,PT00M21.20S,2025-01-16T01:06:55.1Z,1,REGULAR,substitution,out,[],1642347,,,1610612761,25,29,2025-01-16T01:06:57Z,1520000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,
154,PT00M21.20S,2025-01-16T01:06:55.1Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,25,29,2025-01-16T01:06:57Z,1530000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,,,,,,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,
155,PT00M18.90S,2025-01-16T01:07:10.3Z,1,REGULAR,2pt,Jump Shot,[],1628971,92.46057818659659,72.54901960784314,1610612761,25,29,2025-01-16T01:11:48Z,1540000,False,113.0,18.0,1,right,MISS B. Brown 11' driving floating Shot,[1628971],1610612761.0,TOR,driving floating,,,,,,Mid-Range,8-16 Right,,,,Brown,B. Brown,,,11.42,Missed,,,,,,,,,,,,,,
156,PT00M15.20S,2025-01-16T01:07:14.0Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612761,25,29,2025-01-16T01:07:14Z,1550000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Right,,,,Brown,B. Brown,,,,,155.0,1.0,0.0,1.0,,,,,,,,,,
157,PT00M15.20S,2025-01-16T01:07:14.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628971,94.40999984741211,50.0,1610612761,25,29,2025-01-16T01:07:25Z,1560000,False,0.0,0.0,1,right,MISS B. Brown tip Layup,[1628971],1610612761.0,TOR,tip,,,,,,Restricted Area,0-8 Center,,,,Brown,B. Brown,,,0.0,Missed,,,,,,,,,,,,,,
158,PT00M14.40S,2025-01-16T01:07:14.8Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,25,29,2025-01-16T01:07:14Z,1570000,False,,,0,,S. Hauser REBOUND (Off:1 Def:3),[1630573],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Left,,,,Hauser,S. Hauser,,,,,157.0,4.0,3.0,1.0,,,,,,,,,,
159,PT00M01.20S,2025-01-16T01:07:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,34.37910643889619,38.72549019607843,1610612738,25,29,2025-01-16T01:07:37Z,1580000,False,56.0,271.0,1,left,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,,,27.65,Missed,,,,,,,,,,,,,,
160,PT00M01.20S,2025-01-16T01:07:28.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,29,2025-01-16T01:07:37Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,159.0,,,,,,,,,,,,,
161,PT00M00.00S,2025-01-16T01:07:32.5Z,1,REGULAR,period,end,[],0,,,1610612738,25,29,2025-01-16T01:07:32Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,out,['startperiod'],1630534,,,1610612738,25,29,2025-01-16T01:10:04Z,1610000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,,,,,,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,25,29,2025-01-16T01:10:04Z,1620000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,out,['startperiod'],1628436,,,1610612738,25,29,2025-01-16T01:10:04Z,1630000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,25,29,2025-01-16T01:10:04Z,1640000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,in,['startperiod'],1642419,,,1610612738,25,29,2025-01-16T01:10:04Z,1650000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,,,,,,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612738,25,29,2025-01-16T01:10:04Z,1660000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,25,29,2025-01-16T01:10:04Z,1670000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2025-01-16T01:07:46.0Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,25,29,2025-01-16T01:10:04Z,1680000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-01-16T01:10:14.6Z,2,REGULAR,period,start,[],0,,,1610612761,25,29,2025-01-16T01:10:14Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M39.00S,2025-01-16T01:10:34.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,91.80354796320631,38.72549019607843,1610612761,25,29,2025-01-16T01:10:43Z,1700000,False,-56.0,25.0,1,right,MISS S. Barnes 6' Layup,[1630567],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Barnes,S. Barnes,,,6.15,Missed,,,,,,,,,,,,,,
